context: Whether or not anyone asked for you, response:	you will all be participating in internships with pros.
context: Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime.\That's right.\But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me. response:	Hero Killer... So elusive, he can't even be caught by the net of modern society.
context: Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime.\That's right.\But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society. response:	I know this might be in vain.
context: but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime.\That's right.\But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain. response:	Even so...
context: Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime.\That's right.\But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain.\Even so... response:	Even so, I cannot not go after him.
context: Street patrols become a way to suppress crime.\That's right.\But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain.\Even so...\Even so, I cannot not go after him. response:	I see.
context: That's right.\But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain.\Even so...\Even so, I cannot not go after him.\I see. response:	Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate
context: But man, I can't believe Ingenium's little brother is interning at my agency.\I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain.\Even so...\Even so, I cannot not go after him.\I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate response:	You were the ones who attacked U.A.
context: I'm sure you had offers from heroes more capable than me.\Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain.\Even so...\Even so, I cannot not go after him.\I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A. response:	And you want to add me to your numbers.
context: Hero Killer... So elusive, he can't even be caught by the net of modern society.\I know this might be in vain.\Even so...\Even so, I cannot not go after him.\I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A.\And you want to add me to your numbers. response:	Villain - Stain
context: I know this might be in vain.\Even so...\Even so, I cannot not go after him.\I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A.\And you want to add me to your numbers.\Villain - Stain response:	Yeah. Come on, you've got so much more experience as a villain, sir.
context: Even so...\Even so, I cannot not go after him.\I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A.\And you want to add me to your numbers.\Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir. response:	What are you after?
context: Even so, I cannot not go after him.\I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A.\And you want to add me to your numbers.\Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after? response:	For now, I just want to kill All Might.
context: I see.\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A.\And you want to add me to your numbers.\Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after?\For now, I just want to kill All Might. response:	I want to break everything I don't like.
context: Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\You were the ones who attacked U.A.\And you want to add me to your numbers.\Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after?\For now, I just want to kill All Might.\I want to break everything I don't like. response:	Damn kids like this, too... Everything...
context: You were the ones who attacked U.A.\And you want to add me to your numbers.\Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after?\For now, I just want to kill All Might.\I want to break everything I don't like.\Damn kids like this, too... Everything... response:	I was foolish to be interested.
context: And you want to add me to your numbers.\Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after?\For now, I just want to kill All Might.\I want to break everything I don't like.\Damn kids like this, too... Everything...\I was foolish to be interested. response:	You're the type of person I hate the most.
context: Villain - Stain\Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after?\For now, I just want to kill All Might.\I want to break everything I don't like.\Damn kids like this, too... Everything...\I was foolish to be interested.\You're the type of person I hate the most. response:	Huh?
context: Yeah. Come on, you've got so much more experience as a villain, sir.\What are you after?\For now, I just want to kill All Might.\I want to break everything I don't like.\Damn kids like this, too... Everything...\I was foolish to be interested.\You're the type of person I hate the most.\Huh? response:	You want me to go along with your childish tantrum?
context: What are you after?\For now, I just want to kill All Might.\I want to break everything I don't like.\Damn kids like this, too... Everything...\I was foolish to be interested.\You're the type of person I hate the most.\Huh?\You want me to go along with your childish tantrum? response:	What meaning is there in killing without conviction?
context: For now, I just want to kill All Might.\I want to break everything I don't like.\Damn kids like this, too... Everything...\I was foolish to be interested.\You're the type of person I hate the most.\Huh?\You want me to go along with your childish tantrum?\What meaning is there in killing without conviction? response:	Hero Killer: Stain...
context: I want to break everything I don't like.\Damn kids like this, too... Everything...\I was foolish to be interested.\You're the type of person I hate the most.\Huh?\You want me to go along with your childish tantrum?\What meaning is there in killing without conviction?\Hero Killer: Stain... response:	The man brought in to spur
context: Damn kids like this, too... Everything...\I was foolish to be interested.\You're the type of person I hate the most.\Huh?\You want me to go along with your childish tantrum?\What meaning is there in killing without conviction?\Hero Killer: Stain...\The man brought in to spur response:	Tomura Shigaraki's growth, since he cares only about destruction...
context: I was foolish to be interested.\You're the type of person I hate the most.\Huh?\You want me to go along with your childish tantrum?\What meaning is there in killing without conviction?\Hero Killer: Stain...\The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction... response:	However, this is...
context: You're the type of person I hate the most.\Huh?\You want me to go along with your childish tantrum?\What meaning is there in killing without conviction?\Hero Killer: Stain...\The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction...\However, this is... response:	Master, is it all right to let this continue?
context: Huh?\You want me to go along with your childish tantrum?\What meaning is there in killing without conviction?\Hero Killer: Stain...\The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction...\However, this is...\Master, is it all right to let this continue? response:	This is fine!
context: You want me to go along with your childish tantrum?\What meaning is there in killing without conviction?\Hero Killer: Stain...\The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction...\However, this is...\Master, is it all right to let this continue?\This is fine! response:	There's no point if we just tell him the answer.
context: What meaning is there in killing without conviction?\Hero Killer: Stain...\The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction...\However, this is...\Master, is it all right to let this continue?\This is fine!\There's no point if we just tell him the answer. response:	He should think about where he still needs to mature.
context: Hero Killer: Stain...\The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction...\However, this is...\Master, is it all right to let this continue?\This is fine!\There's no point if we just tell him the answer.\He should think about where he still needs to mature. response:	Spur on his growth!
context: The man brought in to spur\Tomura Shigaraki's growth, since he cares only about destruction...\However, this is...\Master, is it all right to let this continue?\This is fine!\There's no point if we just tell him the answer.\He should think about where he still needs to mature.\Spur on his growth! response:	That is what it means to educate.
context: Tomura Shigaraki's growth, since he cares only about destruction...\However, this is...\Master, is it all right to let this continue?\This is fine!\There's no point if we just tell him the answer.\He should think about where he still needs to mature.\Spur on his growth!\That is what it means to educate. response:	My admiration for All Might is a shackle.
context: However, this is...\Master, is it all right to let this continue?\This is fine!\There's no point if we just tell him the answer.\He should think about where he still needs to mature.\Spur on his growth!\That is what it means to educate.\My admiration for All Might is a shackle. response:	Even though I understand how to use it, there's discord in my mind...
context: Master, is it all right to let this continue?\This is fine!\There's no point if we just tell him the answer.\He should think about where he still needs to mature.\Spur on his growth!\That is what it means to educate.\My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind... response:	I'm thinking One For All is more special than it is.
context: This is fine!\There's no point if we just tell him the answer.\He should think about where he still needs to mature.\Spur on his growth!\That is what it means to educate.\My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is. response:	Is that what's making my movements stiff?
context: There's no point if we just tell him the answer.\He should think about where he still needs to mature.\Spur on his growth!\That is what it means to educate.\My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is.\Is that what's making my movements stiff? response:	What does stiff mean in the first place?
context: He should think about where he still needs to mature.\Spur on his growth!\That is what it means to educate.\My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is.\Is that what's making my movements stiff?\What does stiff mean in the first place? response:	Thinking about it another way, what makes movement flexible?
context: Spur on his growth!\That is what it means to educate.\My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is.\Is that what's making my movements stiff?\What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible? response:	Flexible...
context: That is what it means to educate.\My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is.\Is that what's making my movements stiff?\What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible?\Flexible... response:	I know!
context: My admiration for All Might is a shackle.\Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is.\Is that what's making my movements stiff?\What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible?\Flexible...\I know! response:	Hero Analysis for the Future
context: Even though I understand how to use it, there's discord in my mind...\I'm thinking One For All is more special than it is.\Is that what's making my movements stiff?\What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible?\Flexible...\I know!\Hero Analysis for the Future response:	I've been thinking about One For All and the smash as a special move.
context: I'm thinking One For All is more special than it is.\Is that what's making my movements stiff?\What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible?\Flexible...\I know!\Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move. response:	I saw it used up close-why didn't I notice?
context: Is that what's making my movements stiff?\What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible?\Flexible...\I know!\Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice? response:	That's right. Quirks are part of your body.
context: What does stiff mean in the first place?\Thinking about it another way, what makes movement flexible?\Flexible...\I know!\Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body. response:	I need to think of One For All more, more evenly!
context: Thinking about it another way, what makes movement flexible?\Flexible...\I know!\Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body.\I need to think of One For All more, more evenly! response:	That's it! I see!
context: Flexible...\I know!\Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body.\I need to think of One For All more, more evenly!\That's it! I see! response:	His thinking is flexible.
context: I know!\Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body.\I need to think of One For All more, more evenly!\That's it! I see!\His thinking is flexible. response:	I knew that from the way he moved at the sports festival.
context: Hero Analysis for the Future\I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body.\I need to think of One For All more, more evenly!\That's it! I see!\His thinking is flexible.\I knew that from the way he moved at the sports festival. response:	You found someone pretty good, huh, Toshinori?
context: I've been thinking about One For All and the smash as a special move.\I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body.\I need to think of One For All more, more evenly!\That's it! I see!\His thinking is flexible.\I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori? response:	All Might...
context: I saw it used up close-why didn't I notice?\That's right. Quirks are part of your body.\I need to think of One For All more, more evenly!\That's it! I see!\His thinking is flexible.\I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori?\All Might... response:	Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.
context: That's right. Quirks are part of your body.\I need to think of One For All more, more evenly!\That's it! I see!\His thinking is flexible.\I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori?\All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls
context: I need to think of One For All more, more evenly!\That's it! I see!\His thinking is flexible.\I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori?\All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls response:	Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.
context: That's it! I see!\His thinking is flexible.\I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori?\All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet. response:	Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki
context: His thinking is flexible.\I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori?\All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki response:	In the center of Tokyo
context: I knew that from the way he moved at the sports festival.\You found someone pretty good, huh, Toshinori?\All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo response:	Frankly, I don't like you.
context: You found someone pretty good, huh, Toshinori?\All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo\Frankly, I don't like you. response:	Huh?
context: All Might...\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo\Frankly, I don't like you.\Huh? response:	You only chose my agency because
context: Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo\Frankly, I don't like you.\Huh?\You only chose my agency because response:	No. 4 Hero Best Jeanist
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowls\Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo\Frankly, I don't like you.\Huh?\You only chose my agency because\No. 4 Hero Best Jeanist response:	I'm one of the top five most popular heroes, right?
context: Gran Torino Quirk: Jet He can move freely in the air with jet propulsion using the air that comes out of the soles of his feet.\Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo\Frankly, I don't like you.\Huh?\You only chose my agency because\No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right? response:	Katsuki Bakugo - Quirk: Explosion
context: Affiliation: Pro Hero Birthday: 1/28 Height: 120 cm Blood Type: B Likes: Taiyaki\In the center of Tokyo\Frankly, I don't like you.\Huh?\You only chose my agency because\No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion response:	You're the one that put in an offer!
context: In the center of Tokyo\Frankly, I don't like you.\Huh?\You only chose my agency because\No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer! response:	Yeah.
context: Frankly, I don't like you.\Huh?\You only chose my agency because\No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer!\Yeah. response:	Recently, I've only been getting good little kids,
context: Huh?\You only chose my agency because\No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer!\Yeah.\Recently, I've only been getting good little kids, response:	so you were the first one in a while to strike a chord.
context: You only chose my agency because\No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer!\Yeah.\Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord. response:	I watched you at the sports festival.
context: No. 4 Hero Best Jeanist\I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer!\Yeah.\Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord.\I watched you at the sports festival. response:	You were able to freely manipulate a Quirk with high potential,
context: I'm one of the top five most popular heroes, right?\Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer!\Yeah.\Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord.\I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential, response:	and had a good grasp of application as well.
context: Katsuki Bakugo - Quirk: Explosion\You're the one that put in an offer!\Yeah.\Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord.\I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well. response:	You're an outstanding talent already good enough to recruit as a sidekick.
context: You're the one that put in an offer!\Yeah.\Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord.\I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick. response:	However, you have a fatal flaw.
context: Yeah.\Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord.\I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw. response:	You believe yourself to be the strongest,
context: Recently, I've only been getting good little kids,\so you were the first one in a while to strike a chord.\I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw.\You believe yourself to be the strongest, response:	and you try to put that into practice not caring about how that looks-
context: so you were the first one in a while to strike a chord.\I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw.\You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks- response:	You have a ferocious nature.
context: I watched you at the sports festival.\You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw.\You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks-\You have a ferocious nature. response:	Did you choose me to give me a lecture-
context: You were able to freely manipulate a Quirk with high potential,\and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw.\You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks-\You have a ferocious nature.\Did you choose me to give me a lecture- response:	It is part of my work as a hero to correct people like you.
context: and had a good grasp of application as well.\You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw.\You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks-\You have a ferocious nature.\Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you. response:	Heroes and villains are two sides of the same coin.
context: You're an outstanding talent already good enough to recruit as a sidekick.\However, you have a fatal flaw.\You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks-\You have a ferocious nature.\Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin. response:	I'll show those glaring eyes of yours
context: However, you have a fatal flaw.\You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks-\You have a ferocious nature.\Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours response:	what makes someone a hero.
context: You believe yourself to be the strongest,\and you try to put that into practice not caring about how that looks-\You have a ferocious nature.\Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours\what makes someone a hero. response:	What're you trying to do?
context: and you try to put that into practice not caring about how that looks-\You have a ferocious nature.\Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours\what makes someone a hero.\What're you trying to do? response:	Isn't it obvious?
context: You have a ferocious nature.\Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours\what makes someone a hero.\What're you trying to do?\Isn't it obvious? response:	I'm educating you to become an exemplary hero.
context: Did you choose me to give me a lecture-\It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours\what makes someone a hero.\What're you trying to do?\Isn't it obvious?\I'm educating you to become an exemplary hero. response:	The way you speak, your appearance, controlling your emotions, enforcing your morals...
context: It is part of my work as a hero to correct people like you.\Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours\what makes someone a hero.\What're you trying to do?\Isn't it obvious?\I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals... response:	There are countless things to do.
context: Heroes and villains are two sides of the same coin.\I'll show those glaring eyes of yours\what makes someone a hero.\What're you trying to do?\Isn't it obvious?\I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do. response:	In the short period of a week,
context: I'll show those glaring eyes of yours\what makes someone a hero.\What're you trying to do?\Isn't it obvious?\I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do.\In the short period of a week, response:	I will sew all that into your body.
context: what makes someone a hero.\What're you trying to do?\Isn't it obvious?\I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do.\In the short period of a week,\I will sew all that into your body. response:	Fourth Kind Agency
context: What're you trying to do?\Isn't it obvious?\I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do.\In the short period of a week,\I will sew all that into your body.\Fourth Kind Agency response:	Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening
context: Isn't it obvious?\I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do.\In the short period of a week,\I will sew all that into your body.\Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening response:	Tetsutetsu!
context: I'm educating you to become an exemplary hero.\The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do.\In the short period of a week,\I will sew all that into your body.\Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu! response:	Kirishima!
context: The way you speak, your appearance, controlling your emotions, enforcing your morals...\There are countless things to do.\In the short period of a week,\I will sew all that into your body.\Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu!\Kirishima! response:	Why are you here?!
context: There are countless things to do.\In the short period of a week,\I will sew all that into your body.\Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu!\Kirishima!\Why are you here?! response:	Chivalrous Hero: Fourth Kind
context: In the short period of a week,\I will sew all that into your body.\Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu!\Kirishima!\Why are you here?!\Chivalrous Hero: Fourth Kind response:	We were able to put two offers in.
context: I will sew all that into your body.\Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu!\Kirishima!\Why are you here?!\Chivalrous Hero: Fourth Kind\We were able to put two offers in. response:	Let's get started without ado.
context: Fourth Kind Agency\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu!\Kirishima!\Why are you here?!\Chivalrous Hero: Fourth Kind\We were able to put two offers in.\Let's get started without ado. response:	I look forward to working with you!
context: Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Tetsutetsu!\Kirishima!\Why are you here?!\Chivalrous Hero: Fourth Kind\We were able to put two offers in.\Let's get started without ado.\I look forward to working with you! response:	I saw your guts at the sports festival.
context: Tetsutetsu!\Kirishima!\Why are you here?!\Chivalrous Hero: Fourth Kind\We were able to put two offers in.\Let's get started without ado.\I look forward to working with you!\I saw your guts at the sports festival. response:	I like you two.
context: Kirishima!\Why are you here?!\Chivalrous Hero: Fourth Kind\We were able to put two offers in.\Let's get started without ado.\I look forward to working with you!\I saw your guts at the sports festival.\I like you two. response:	However, being a hero's not so easy that you can rely on brute force alone.
context: Why are you here?!\Chivalrous Hero: Fourth Kind\We were able to put two offers in.\Let's get started without ado.\I look forward to working with you!\I saw your guts at the sports festival.\I like you two.\However, being a hero's not so easy that you can rely on brute force alone. response:	I will teach you that as someone with more experience.
context: Chivalrous Hero: Fourth Kind\We were able to put two offers in.\Let's get started without ado.\I look forward to working with you!\I saw your guts at the sports festival.\I like you two.\However, being a hero's not so easy that you can rely on brute force alone.\I will teach you that as someone with more experience. response:	As expected of the Chivalrous Hero!
