context: Yuueisha response:	Hey, Hattori!
context: So, you do have some sense in you?\That will definitely encourage Miho.\Okay, send!\That was fast!\Is that Miho's reply?\They're short, but when they write to each other, they're always fast.\Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she? response:	Tell her I said,'Stop talking so indiscreetly!'
context: That will definitely encourage Miho.\Okay, send!\That was fast!\Is that Miho's reply?\They're short, but when they write to each other, they're always fast.\Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!' response:	Ah. She found me out.
context: Okay, send!\That was fast!\Is that Miho's reply?\They're short, but when they write to each other, they're always fast.\Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out. response:	That's our Azuki-san.
context: That was fast!\Is that Miho's reply?\They're short, but when they write to each other, they're always fast.\Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out.\That's our Azuki-san. response:	I'm so jealous of you guys.
context: Is that Miho's reply?\They're short, but when they write to each other, they're always fast.\Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out.\That's our Azuki-san.\I'm so jealous of you guys. response:	I want a dream, too!
context: They're short, but when they write to each other, they're always fast.\Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out.\That's our Azuki-san.\I'm so jealous of you guys.\I want a dream, too! response:	Maybe you could do karate again or something?
context: Well? What did Miho say?\Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out.\That's our Azuki-san.\I'm so jealous of you guys.\I want a dream, too!\Maybe you could do karate again or something? response:	I don't like combat sports anymore.
context: Kaya told Mashiro to do something unnecessary, didn't she?\Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out.\That's our Azuki-san.\I'm so jealous of you guys.\I want a dream, too!\Maybe you could do karate again or something?\I don't like combat sports anymore. response:	I want a more girlish dream.
context: Tell her I said,'Stop talking so indiscreetly!'\Ah. She found me out.\That's our Azuki-san.\I'm so jealous of you guys.\I want a dream, too!\Maybe you could do karate again or something?\I don't like combat sports anymore.\I want a more girlish dream. response:	But I'll never be as good as you guys...
context: Ah. She found me out.\That's our Azuki-san.\I'm so jealous of you guys.\I want a dream, too!\Maybe you could do karate again or something?\I don't like combat sports anymore.\I want a more girlish dream.\But I'll never be as good as you guys... response:	I have no good features.
context: That's our Azuki-san.\I'm so jealous of you guys.\I want a dream, too!\Maybe you could do karate again or something?\I don't like combat sports anymore.\I want a more girlish dream.\But I'll never be as good as you guys...\I have no good features. response:	You're a nice person, Miyoshi.
context: I'm so jealous of you guys.\I want a dream, too!\Maybe you could do karate again or something?\I don't like combat sports anymore.\I want a more girlish dream.\But I'll never be as good as you guys...\I have no good features.\You're a nice person, Miyoshi. response:	You've got big tits, Miyoshi.
context: I want a dream, too!\Maybe you could do karate again or something?\I don't like combat sports anymore.\I want a more girlish dream.\But I'll never be as good as you guys...\I have no good features.\You're a nice person, Miyoshi.\You've got big tits, Miyoshi. response:	Is that the way you look at me, Takagi?!
context: Maybe you could do karate again or something?\I don't like combat sports anymore.\I want a more girlish dream.\But I'll never be as good as you guys...\I have no good features.\You're a nice person, Miyoshi.\You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?! response:	What Mashiro said was way better!
context: I don't like combat sports anymore.\I want a more girlish dream.\But I'll never be as good as you guys...\I have no good features.\You're a nice person, Miyoshi.\You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?!\What Mashiro said was way better! response:	Eh, well you're a girl, so having a big chest is a good feature!
context: I want a more girlish dream.\But I'll never be as good as you guys...\I have no good features.\You're a nice person, Miyoshi.\You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?!\What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature! response:	I wasn't talking about that!
context: But I'll never be as good as you guys...\I have no good features.\You're a nice person, Miyoshi.\You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?!\What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that! response:	Ah, you total pervert!
context: I have no good features.\You're a nice person, Miyoshi.\You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?!\What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that!\Ah, you total pervert! response:	You lech!
context: You're a nice person, Miyoshi.\You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?!\What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that!\Ah, you total pervert!\You lech! response:	Dreams, huh?
context: You've got big tits, Miyoshi.\Is that the way you look at me, Takagi?!\What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that!\Ah, you total pervert!\You lech!\Dreams, huh? response:	Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.
context: Is that the way you look at me, Takagi?!\What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that!\Ah, you total pervert!\You lech!\Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33. response:	Yes, sir!
context: What Mashiro said was way better!\Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that!\Ah, you total pervert!\You lech!\Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir! response:	My luck is finally turning around.
context: Eh, well you're a girl, so having a big chest is a good feature!\I wasn't talking about that!\Ah, you total pervert!\You lech!\Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir!\My luck is finally turning around. response:	Does he have the music blasting again?
context: I wasn't talking about that!\Ah, you total pervert!\You lech!\Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir!\My luck is finally turning around.\Does he have the music blasting again? response:	I told him several times that the serialization meeting was today.
context: Ah, you total pervert!\You lech!\Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir!\My luck is finally turning around.\Does he have the music blasting again?\I told him several times that the serialization meeting was today. response:	I'm going to go have a meeting with Niizuma-kun!
context: You lech!\Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir!\My luck is finally turning around.\Does he have the music blasting again?\I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun! response:	He's just lucky.
context: Dreams, huh?\Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir!\My luck is finally turning around.\Does he have the music blasting again?\I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun!\He's just lucky. response:	Niizuma had been submitting works for the Tezuka Award for a while,
context: Yuujirou, Niizuma Eiji will be starting YELLOW HIT in issue 33.\Yes, sir!\My luck is finally turning around.\Does he have the music blasting again?\I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun!\He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while, response:	and he was just the first one to notice.
context: Yes, sir!\My luck is finally turning around.\Does he have the music blasting again?\I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun!\He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice. response:	Niizuma-kun! Niizuma-kun!
context: My luck is finally turning around.\Does he have the music blasting again?\I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun!\He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice.\Niizuma-kun! Niizuma-kun! response:	NIIZUMA-KUN!
context: Does he have the music blasting again?\I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun!\He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice.\Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN! response:	Yo, what's up?
context: I told him several times that the serialization meeting was today.\I'm going to go have a meeting with Niizuma-kun!\He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice.\Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN!\Yo, what's up? response:	It's cool how you always suddenly appear like that.
context: I'm going to go have a meeting with Niizuma-kun!\He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice.\Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN!\Yo, what's up?\It's cool how you always suddenly appear like that. response:	Turn down the volume!
context: He's just lucky.\Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice.\Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN!\Yo, what's up?\It's cool how you always suddenly appear like that.\Turn down the volume! response:	I've told you to keep your phone nearby so you can answer it.
context: Niizuma had been submitting works for the Tezuka Award for a while,\and he was just the first one to notice.\Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN!\Yo, what's up?\It's cool how you always suddenly appear like that.\Turn down the volume!\I've told you to keep your phone nearby so you can answer it. response:	How?
context: and he was just the first one to notice.\Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN!\Yo, what's up?\It's cool how you always suddenly appear like that.\Turn down the volume!\I've told you to keep your phone nearby so you can answer it.\How? response:	You can just leave your cell phone in a place you can see it, right?
context: Niizuma-kun! Niizuma-kun!\NIIZUMA-KUN!\Yo, what's up?\It's cool how you always suddenly appear like that.\Turn down the volume!\I've told you to keep your phone nearby so you can answer it.\How?\You can just leave your cell phone in a place you can see it, right? response:	When you get a call, it will light up.
context: NIIZUMA-KUN!\Yo, what's up?\It's cool how you always suddenly appear like that.\Turn down the volume!\I've told you to keep your phone nearby so you can answer it.\How?\You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up. response:	Don't mess with what's on my desk! Don't touch it!
context: Yo, what's up?\It's cool how you always suddenly appear like that.\Turn down the volume!\I've told you to keep your phone nearby so you can answer it.\How?\You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it! response:	II got it, sorry!
context: It's cool how you always suddenly appear like that.\Turn down the volume!\I've told you to keep your phone nearby so you can answer it.\How?\You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it!\II got it, sorry! response:	Huh? What're you drawing?
context: Turn down the volume!\I've told you to keep your phone nearby so you can answer it.\How?\You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it!\II got it, sorry!\Huh? What're you drawing? response:	It just hit me.
context: I've told you to keep your phone nearby so you can answer it.\How?\You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it!\II got it, sorry!\Huh? What're you drawing?\It just hit me. response:	It's really interesting.
context: How?\You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it!\II got it, sorry!\Huh? What're you drawing?\It just hit me.\It's really interesting. response:	Kitchen trash, kitchen trash, combustible traaash...
context: You can just leave your cell phone in a place you can see it, right?\When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it!\II got it, sorry!\Huh? What're you drawing?\It just hit me.\It's really interesting.\Kitchen trash, kitchen trash, combustible traaash... response:	Kitchen trash, kitchen trash, combustible traaash...
context: When you get a call, it will light up.\Don't mess with what's on my desk! Don't touch it!\II got it, sorry!\Huh? What're you drawing?\It just hit me.\It's really interesting.\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash... response:	Kitchen trash, kitchen trash, combustible traaash...
context: Don't mess with what's on my desk! Don't touch it!\II got it, sorry!\Huh? What're you drawing?\It just hit me.\It's really interesting.\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash... response:	Don't draw stuff like that!
context: II got it, sorry!\Huh? What're you drawing?\It just hit me.\It's really interesting.\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that! response:	Here, YELLOW HIT's serialization was decided!
context: Huh? What're you drawing?\It just hit me.\It's really interesting.\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided! response:	Serialization?!
context: It just hit me.\It's really interesting.\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided!\Serialization?! response:	All right! All right! All right-pin!
context: It's really interesting.\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided!\Serialization?!\All right! All right! All right-pin! response:	I really wanted to be serialized.
context: Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided!\Serialization?!\All right! All right! All right-pin!\I really wanted to be serialized. response:	I'm happy.
context: Kitchen trash, kitchen trash, combustible traaash...\Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided!\Serialization?!\All right! All right! All right-pin!\I really wanted to be serialized.\I'm happy. response:	I'm going to be the most popular author!
context: Kitchen trash, kitchen trash, combustible traaash...\Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided!\Serialization?!\All right! All right! All right-pin!\I really wanted to be serialized.\I'm happy.\I'm going to be the most popular author! response:	CCongratulations.
context: Don't draw stuff like that!\Here, YELLOW HIT's serialization was decided!\Serialization?!\All right! All right! All right-pin!\I really wanted to be serialized.\I'm happy.\I'm going to be the most popular author!\CCongratulations. response:	What?
context: Here, YELLOW HIT's serialization was decided!\Serialization?!\All right! All right! All right-pin!\I really wanted to be serialized.\I'm happy.\I'm going to be the most popular author!\CCongratulations.\What? response:	He's actually happy.
context: Serialization?!\All right! All right! All right-pin!\I really wanted to be serialized.\I'm happy.\I'm going to be the most popular author!\CCongratulations.\What?\He's actually happy. response:	Then don't make it so hard for me to get in contact with you, dammit.
context: All right! All right! All right-pin!\I really wanted to be serialized.\I'm happy.\I'm going to be the most popular author!\CCongratulations.\What?\He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit. response:	Also starting is Takano-sensei.
context: I really wanted to be serialized.\I'm happy.\I'm going to be the most popular author!\CCongratulations.\What?\He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei. response:	You're going first, starting with issue 33.
context: I'm happy.\I'm going to be the most popular author!\CCongratulations.\What?\He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei.\You're going first, starting with issue 33. response:	The ending manga are..
context: I'm going to be the most popular author!\CCongratulations.\What?\He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei.\You're going first, starting with issue 33.\The ending manga are.. response:	When is my deadline?
context: CCongratulations.\What?\He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei.\You're going first, starting with issue 33.\The ending manga are..\When is my deadline? response:	It's starting issue 33, so...
context: What?\He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei.\You're going first, starting with issue 33.\The ending manga are..\When is my deadline?\It's starting issue 33, so... response:	for the color pages, it's the third of June.
context: He's actually happy.\Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei.\You're going first, starting with issue 33.\The ending manga are..\When is my deadline?\It's starting issue 33, so...\for the color pages, it's the third of June. response:	The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.
context: Then don't make it so hard for me to get in contact with you, dammit.\Also starting is Takano-sensei.\You're going first, starting with issue 33.\The ending manga are..\When is my deadline?\It's starting issue 33, so...\for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth. response:	Easy peasy.
context: Also starting is Takano-sensei.\You're going first, starting with issue 33.\The ending manga are..\When is my deadline?\It's starting issue 33, so...\for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy. response:	Crowy cawy.
context: You're going first, starting with issue 33.\The ending manga are..\When is my deadline?\It's starting issue 33, so...\for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy.\Crowy cawy. response:	I hope you'll come to pick it up then.
context: The ending manga are..\When is my deadline?\It's starting issue 33, so...\for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy.\Crowy cawy.\I hope you'll come to pick it up then. response:	Well, there are still a bunch of things, like assistants...
context: When is my deadline?\It's starting issue 33, so...\for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy.\Crowy cawy.\I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants... response:	I trust you on that.
context: It's starting issue 33, so...\for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy.\Crowy cawy.\I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants...\I trust you on that. response:	Do you think this is good for a protagonist?
context: for the color pages, it's the third of June.\The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy.\Crowy cawy.\I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants...\I trust you on that.\Do you think this is good for a protagonist? response:	I think it's fine, but...
context: The center color page for chapter two, plus the rest of the chapter, are due on the thirteenth.\Easy peasy.\Crowy cawy.\I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants...\I trust you on that.\Do you think this is good for a protagonist?\I think it's fine, but... response:	If you don't like it, then...
context: Easy peasy.\Crowy cawy.\I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants...\I trust you on that.\Do you think this is good for a protagonist?\I think it's fine, but...\If you don't like it, then... response:	next, similar to Ishinomori-sensei's Kamen Rider...
context: Crowy cawy.\I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants...\I trust you on that.\Do you think this is good for a protagonist?\I think it's fine, but...\If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider... response:	or Hara-sensei's Hokuto no Ken,
context: I hope you'll come to pick it up then.\Well, there are still a bunch of things, like assistants...\I trust you on that.\Do you think this is good for a protagonist?\I think it's fine, but...\If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken, response:	I was going for a dramatic battle story.
context: Well, there are still a bunch of things, like assistants...\I trust you on that.\Do you think this is good for a protagonist?\I think it's fine, but...\If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story. response:	Uh, I said this was fine.
context: I trust you on that.\Do you think this is good for a protagonist?\I think it's fine, but...\If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story.\Uh, I said this was fine. response:	Anyway, the name...
context: Do you think this is good for a protagonist?\I think it's fine, but...\If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story.\Uh, I said this was fine.\Anyway, the name... response:	Right...
context: I think it's fine, but...\If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story.\Uh, I said this was fine.\Anyway, the name...\Right... response:	In a world where demons run rampant,
context: If you don't like it, then...\next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story.\Uh, I said this was fine.\Anyway, the name...\Right...\In a world where demons run rampant, response:	there is a sword in which many demons dwell.
context: next, similar to Ishinomori-sensei's Kamen Rider...\or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story.\Uh, I said this was fine.\Anyway, the name...\Right...\In a world where demons run rampant,\there is a sword in which many demons dwell. response:	The protagonist is the only human who can wield that sword without giving into its evil magic power.
context: or Hara-sensei's Hokuto no Ken,\I was going for a dramatic battle story.\Uh, I said this was fine.\Anyway, the name...\Right...\In a world where demons run rampant,\there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power. response:	He defeats demons that try to steal the sword.
context: I was going for a dramatic battle story.\Uh, I said this was fine.\Anyway, the name...\Right...\In a world where demons run rampant,\there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword. response:	One demon appears from inside the sword,
context: Uh, I said this was fine.\Anyway, the name...\Right...\In a world where demons run rampant,\there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword.\One demon appears from inside the sword, response:	which he must also defeat.
context: Anyway, the name...\Right...\In a world where demons run rampant,\there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword.\One demon appears from inside the sword,\which he must also defeat. response:	If the sword is stolen, the world will be taken over by the demons.
context: Right...\In a world where demons run rampant,\there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword.\One demon appears from inside the sword,\which he must also defeat.\If the sword is stolen, the world will be taken over by the demons. response:	If he defeats all the demons dwelling inside the sword,
context: In a world where demons run rampant,\there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword.\One demon appears from inside the sword,\which he must also defeat.\If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword, response:	the world will be at peace.
context: there is a sword in which many demons dwell.\The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword.\One demon appears from inside the sword,\which he must also defeat.\If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword,\the world will be at peace. response:	I thought I should try to stay with swords, like we decided.
context: The protagonist is the only human who can wield that sword without giving into its evil magic power.\He defeats demons that try to steal the sword.\One demon appears from inside the sword,\which he must also defeat.\If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword,\the world will be at peace.\I thought I should try to stay with swords, like we decided. response:	Then I got the idea to have the sword be the main part of the setup.
context: He defeats demons that try to steal the sword.\One demon appears from inside the sword,\which he must also defeat.\If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword,\the world will be at peace.\I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup. response:	So honestly, what do you think?
context: One demon appears from inside the sword,\which he must also defeat.\If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword,\the world will be at peace.\I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think? response:	It kind of feels old.
context: which he must also defeat.\If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword,\the world will be at peace.\I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think?\It kind of feels old. response:	Like it's an idea that's been done to death...
context: If the sword is stolen, the world will be taken over by the demons.\If he defeats all the demons dwelling inside the sword,\the world will be at peace.\I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think?\It kind of feels old.\Like it's an idea that's been done to death... response:	No...
context: If he defeats all the demons dwelling inside the sword,\the world will be at peace.\I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think?\It kind of feels old.\Like it's an idea that's been done to death...\No... response:	Maybe it's all right to do this sort of cliche setup for a mainstream story.
context: the world will be at peace.\I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think?\It kind of feels old.\Like it's an idea that's been done to death...\No...\Maybe it's all right to do this sort of cliche setup for a mainstream story. response:	The problem will be how the story plays out and how we show the battles.
context: I thought I should try to stay with swords, like we decided.\Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think?\It kind of feels old.\Like it's an idea that's been done to death...\No...\Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles. response:	Anyway, I think we have to bring it and show it to him.
context: Then I got the idea to have the sword be the main part of the setup.\So honestly, what do you think?\It kind of feels old.\Like it's an idea that's been done to death...\No...\Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him. response:	Okay.
context: So honestly, what do you think?\It kind of feels old.\Like it's an idea that's been done to death...\No...\Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him.\Okay. response:	Thanks for waiting.
context: It kind of feels old.\Like it's an idea that's been done to death...\No...\Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him.\Okay.\Thanks for waiting. response:	Sorry for having to meet at the train station.
context: Like it's an idea that's been done to death...\No...\Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him.\Okay.\Thanks for waiting.\Sorry for having to meet at the train station. response:	No problem.
context: No...\Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him.\Okay.\Thanks for waiting.\Sorry for having to meet at the train station.\No problem. response:	Okay, let's go.
context: Maybe it's all right to do this sort of cliche setup for a mainstream story.\The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him.\Okay.\Thanks for waiting.\Sorry for having to meet at the train station.\No problem.\Okay, let's go. response:	I kind of feel pathetic though.
context: The problem will be how the story plays out and how we show the battles.\Anyway, I think we have to bring it and show it to him.\Okay.\Thanks for waiting.\Sorry for having to meet at the train station.\No problem.\Okay, let's go.\I kind of feel pathetic though. response:	Being an assistant to a sensei who's only in the second year of high school.
context: Anyway, I think we have to bring it and show it to him.\Okay.\Thanks for waiting.\Sorry for having to meet at the train station.\No problem.\Okay, let's go.\I kind of feel pathetic though.\Being an assistant to a sensei who's only in the second year of high school. response:	Don't say that.
context: Okay.\Thanks for waiting.\Sorry for having to meet at the train station.\No problem.\Okay, let's go.\I kind of feel pathetic though.\Being an assistant to a sensei who's only in the second year of high school.\Don't say that. response:	If you're upset about it, just try to get your own work serialized faster.
context: Thanks for waiting.\Sorry for having to meet at the train station.\No problem.\Okay, let's go.\I kind of feel pathetic though.\Being an assistant to a sensei who's only in the second year of high school.\Don't say that.\If you're upset about it, just try to get your own work serialized faster. response:	Nakai-san, wasn't it?
context: Sorry for having to meet at the train station.\No problem.\Okay, let's go.\I kind of feel pathetic though.\Being an assistant to a sensei who's only in the second year of high school.\Don't say that.\If you're upset about it, just try to get your own work serialized faster.\Nakai-san, wasn't it? response:	I'm twenty-one, but how old are you?
context: No problem.\Okay, let's go.\I kind of feel pathetic though.\Being an assistant to a sensei who's only in the second year of high school.\Don't say that.\If you're upset about it, just try to get your own work serialized faster.\Nakai-san, wasn't it?\I'm twenty-one, but how old are you? response:	Thirty-three.
context: Okay, let's go.\I kind of feel pathetic though.\Being an assistant to a sensei who's only in the second year of high school.\Don't say that.\If you're upset about it, just try to get your own work serialized faster.\Nakai-san, wasn't it?\I'm twenty-one, but how old are you?\Thirty-three. response:	Sorry.
