context: Hey, are we there yet? response:	It's just a little farther, Ben-chan.
context: Annoying creature!\If you get in my way, I'll kill you.\Her intent to kill is real.\What is all this racket?!\Lord Rokuro?\You! Wait!\Get Rokuro.\This is... response:	Lord Rokuro, wake up!
context: If you get in my way, I'll kill you.\Her intent to kill is real.\What is all this racket?!\Lord Rokuro?\You! Wait!\Get Rokuro.\This is...\Lord Rokuro, wake up! response:	What? What's going on? Who was that lady?
context: Her intent to kill is real.\What is all this racket?!\Lord Rokuro?\You! Wait!\Get Rokuro.\This is...\Lord Rokuro, wake up!\What? What's going on? Who was that lady? response:	Benmaru, get Yukimura-sama. Quickly!
context: What is all this racket?!\Lord Rokuro?\You! Wait!\Get Rokuro.\This is...\Lord Rokuro, wake up!\What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly! response:	Got it!
context: Lord Rokuro?\You! Wait!\Get Rokuro.\This is...\Lord Rokuro, wake up!\What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly!\Got it! response:	Ana?
context: You! Wait!\Get Rokuro.\This is...\Lord Rokuro, wake up!\What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly!\Got it!\Ana? response:	Ana, stop.
context: Get Rokuro.\This is...\Lord Rokuro, wake up!\What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly!\Got it!\Ana?\Ana, stop. response:	Iga Ice Technique.
context: This is...\Lord Rokuro, wake up!\What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly!\Got it!\Ana?\Ana, stop.\Iga Ice Technique. response:	Hyoso!
context: Lord Rokuro, wake up!\What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly!\Got it!\Ana?\Ana, stop.\Iga Ice Technique.\Hyoso! response:	You can't escape now.
context: What? What's going on? Who was that lady?\Benmaru, get Yukimura-sama. Quickly!\Got it!\Ana?\Ana, stop.\Iga Ice Technique.\Hyoso!\You can't escape now. response:	I'll freeze you to your core.
context: Benmaru, get Yukimura-sama. Quickly!\Got it!\Ana?\Ana, stop.\Iga Ice Technique.\Hyoso!\You can't escape now.\I'll freeze you to your core. response:	You hesitated, didn't you?
context: Got it!\Ana?\Ana, stop.\Iga Ice Technique.\Hyoso!\You can't escape now.\I'll freeze you to your core.\You hesitated, didn't you? response:	You're a fool.
context: Ana?\Ana, stop.\Iga Ice Technique.\Hyoso!\You can't escape now.\I'll freeze you to your core.\You hesitated, didn't you?\You're a fool. response:	A naIve little boy like you can't truly understand a ninja.
context: Ana, stop.\Iga Ice Technique.\Hyoso!\You can't escape now.\I'll freeze you to your core.\You hesitated, didn't you?\You're a fool.\A naIve little boy like you can't truly understand a ninja. response:	I liked you, too. How unfortunate.
context: Iga Ice Technique.\Hyoso!\You can't escape now.\I'll freeze you to your core.\You hesitated, didn't you?\You're a fool.\A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate. response:	You already noticed?
context: Hyoso!\You can't escape now.\I'll freeze you to your core.\You hesitated, didn't you?\You're a fool.\A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate.\You already noticed? response:	What's going on, Ana?!
context: You can't escape now.\I'll freeze you to your core.\You hesitated, didn't you?\You're a fool.\A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate.\You already noticed?\What's going on, Ana?! response:	Who knows?
context: I'll freeze you to your core.\You hesitated, didn't you?\You're a fool.\A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate.\You already noticed?\What's going on, Ana?!\Who knows? response:	What are you doing?
context: You hesitated, didn't you?\You're a fool.\A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate.\You already noticed?\What's going on, Ana?!\Who knows?\What are you doing? response:	What's wrong? Are you fighting?
context: You're a fool.\A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate.\You already noticed?\What's going on, Ana?!\Who knows?\What are you doing?\What's wrong? Are you fighting? response:	There's no such thing as a cozy place.
context: A naIve little boy like you can't truly understand a ninja.\I liked you, too. How unfortunate.\You already noticed?\What's going on, Ana?!\Who knows?\What are you doing?\What's wrong? Are you fighting?\There's no such thing as a cozy place. response:	Huh?
context: I liked you, too. How unfortunate.\You already noticed?\What's going on, Ana?!\Who knows?\What are you doing?\What's wrong? Are you fighting?\There's no such thing as a cozy place.\Huh? response:	This is...
context: You already noticed?\What's going on, Ana?!\Who knows?\What are you doing?\What's wrong? Are you fighting?\There's no such thing as a cozy place.\Huh?\This is... response:	The kunai was poisoned.
context: What's going on, Ana?!\Who knows?\What are you doing?\What's wrong? Are you fighting?\There's no such thing as a cozy place.\Huh?\This is...\The kunai was poisoned. response:	Rokuro!
context: Who knows?\What are you doing?\What's wrong? Are you fighting?\There's no such thing as a cozy place.\Huh?\This is...\The kunai was poisoned.\Rokuro! response:	Go boil some water.
context: What are you doing?\What's wrong? Are you fighting?\There's no such thing as a cozy place.\Huh?\This is...\The kunai was poisoned.\Rokuro!\Go boil some water. response:	Bring me an antidote, too.
context: What's wrong? Are you fighting?\There's no such thing as a cozy place.\Huh?\This is...\The kunai was poisoned.\Rokuro!\Go boil some water.\Bring me an antidote, too. response:	Yes, sir!
context: There's no such thing as a cozy place.\Huh?\This is...\The kunai was poisoned.\Rokuro!\Go boil some water.\Bring me an antidote, too.\Yes, sir! response:	Friends? Family?
context: Huh?\This is...\The kunai was poisoned.\Rokuro!\Go boil some water.\Bring me an antidote, too.\Yes, sir!\Friends? Family? response:	What you call home is a lie.
context: This is...\The kunai was poisoned.\Rokuro!\Go boil some water.\Bring me an antidote, too.\Yes, sir!\Friends? Family?\What you call home is a lie. response:	This world is simply kill or be killed.
context: The kunai was poisoned.\Rokuro!\Go boil some water.\Bring me an antidote, too.\Yes, sir!\Friends? Family?\What you call home is a lie.\This world is simply kill or be killed. response:	Sasuke!
context: Rokuro!\Go boil some water.\Bring me an antidote, too.\Yes, sir!\Friends? Family?\What you call home is a lie.\This world is simply kill or be killed.\Sasuke! response:	Iga Ice Technique.
context: Go boil some water.\Bring me an antidote, too.\Yes, sir!\Friends? Family?\What you call home is a lie.\This world is simply kill or be killed.\Sasuke!\Iga Ice Technique. response:	Kesshojin!
context: Bring me an antidote, too.\Yes, sir!\Friends? Family?\What you call home is a lie.\This world is simply kill or be killed.\Sasuke!\Iga Ice Technique.\Kesshojin! response:	My lord.
context: Yes, sir!\Friends? Family?\What you call home is a lie.\This world is simply kill or be killed.\Sasuke!\Iga Ice Technique.\Kesshojin!\My lord. response:	Just rest.
context: Friends? Family?\What you call home is a lie.\This world is simply kill or be killed.\Sasuke!\Iga Ice Technique.\Kesshojin!\My lord.\Just rest. response:	I am sorry.
context: What you call home is a lie.\This world is simply kill or be killed.\Sasuke!\Iga Ice Technique.\Kesshojin!\My lord.\Just rest.\I am sorry. response:	Don't be sorry.
context: This world is simply kill or be killed.\Sasuke!\Iga Ice Technique.\Kesshojin!\My lord.\Just rest.\I am sorry.\Don't be sorry. response:	You must not let anyone touch your right eye.
context: Sasuke!\Iga Ice Technique.\Kesshojin!\My lord.\Just rest.\I am sorry.\Don't be sorry.\You must not let anyone touch your right eye. response:	Yes, sir.
context: Iga Ice Technique.\Kesshojin!\My lord.\Just rest.\I am sorry.\Don't be sorry.\You must not let anyone touch your right eye.\Yes, sir. response:	You kept your promise to me.
context: Kesshojin!\My lord.\Just rest.\I am sorry.\Don't be sorry.\You must not let anyone touch your right eye.\Yes, sir.\You kept your promise to me. response:	I cannot say I kept it since I lost my eye.
context: My lord.\Just rest.\I am sorry.\Don't be sorry.\You must not let anyone touch your right eye.\Yes, sir.\You kept your promise to me.\I cannot say I kept it since I lost my eye. response:	You're too serious.
context: Just rest.\I am sorry.\Don't be sorry.\You must not let anyone touch your right eye.\Yes, sir.\You kept your promise to me.\I cannot say I kept it since I lost my eye.\You're too serious. response:	Yes.
context: I am sorry.\Don't be sorry.\You must not let anyone touch your right eye.\Yes, sir.\You kept your promise to me.\I cannot say I kept it since I lost my eye.\You're too serious.\Yes. response:	I'm sorry.
context: Don't be sorry.\You must not let anyone touch your right eye.\Yes, sir.\You kept your promise to me.\I cannot say I kept it since I lost my eye.\You're too serious.\Yes.\I'm sorry. response:	Why don't you explain yourself, Ana?
context: You must not let anyone touch your right eye.\Yes, sir.\You kept your promise to me.\I cannot say I kept it since I lost my eye.\You're too serious.\Yes.\I'm sorry.\Why don't you explain yourself, Ana? response:	Are you so stupid you need me to explain it to you, Saizo?
context: Yes, sir.\You kept your promise to me.\I cannot say I kept it since I lost my eye.\You're too serious.\Yes.\I'm sorry.\Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo? response:	You're a spy, aren't you?
context: You kept your promise to me.\I cannot say I kept it since I lost my eye.\You're too serious.\Yes.\I'm sorry.\Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you? response:	You finally noticed?
context: I cannot say I kept it since I lost my eye.\You're too serious.\Yes.\I'm sorry.\Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you?\You finally noticed? response:	I'm not one of Sanada's ninjas.
context: You're too serious.\Yes.\I'm sorry.\Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you?\You finally noticed?\I'm not one of Sanada's ninjas. response:	I serve another master.
context: Yes.\I'm sorry.\Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you?\You finally noticed?\I'm not one of Sanada's ninjas.\I serve another master. response:	You can only be so much of a coward, Saizo.
context: I'm sorry.\Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you?\You finally noticed?\I'm not one of Sanada's ninjas.\I serve another master.\You can only be so much of a coward, Saizo. response:	Oh, I'm sorry. Did I upset you?
context: Why don't you explain yourself, Ana?\Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you?\You finally noticed?\I'm not one of Sanada's ninjas.\I serve another master.\You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you? response:	Yeah, I'm pissed...
context: Are you so stupid you need me to explain it to you, Saizo?\You're a spy, aren't you?\You finally noticed?\I'm not one of Sanada's ninjas.\I serve another master.\You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed... response:	At how clouded my eyes were.
context: You're a spy, aren't you?\You finally noticed?\I'm not one of Sanada's ninjas.\I serve another master.\You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed...\At how clouded my eyes were. response:	You were just doing your job. That's all.
context: You finally noticed?\I'm not one of Sanada's ninjas.\I serve another master.\You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed...\At how clouded my eyes were.\You were just doing your job. That's all. response:	And now I...
context: I'm not one of Sanada's ninjas.\I serve another master.\You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed...\At how clouded my eyes were.\You were just doing your job. That's all.\And now I... response:	If you withdraw now, you won't have to.
context: I serve another master.\You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed...\At how clouded my eyes were.\You were just doing your job. That's all.\And now I...\If you withdraw now, you won't have to. response:	I don't know what you're after,
context: You can only be so much of a coward, Saizo.\Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed...\At how clouded my eyes were.\You were just doing your job. That's all.\And now I...\If you withdraw now, you won't have to.\I don't know what you're after, response:	but I won't let you get away with any information about Sanada.
context: Oh, I'm sorry. Did I upset you?\Yeah, I'm pissed...\At how clouded my eyes were.\You were just doing your job. That's all.\And now I...\If you withdraw now, you won't have to.\I don't know what you're after,\but I won't let you get away with any information about Sanada. response:	You won't leave this place alive.
context: Yeah, I'm pissed...\At how clouded my eyes were.\You were just doing your job. That's all.\And now I...\If you withdraw now, you won't have to.\I don't know what you're after,\but I won't let you get away with any information about Sanada.\You won't leave this place alive. response:	That's quite the line!
context: At how clouded my eyes were.\You were just doing your job. That's all.\And now I...\If you withdraw now, you won't have to.\I don't know what you're after,\but I won't let you get away with any information about Sanada.\You won't leave this place alive.\That's quite the line! response:	He's fast.
context: You were just doing your job. That's all.\And now I...\If you withdraw now, you won't have to.\I don't know what you're after,\but I won't let you get away with any information about Sanada.\You won't leave this place alive.\That's quite the line!\He's fast. response:	He doesn't hesitate like Sasuke.
context: And now I...\If you withdraw now, you won't have to.\I don't know what you're after,\but I won't let you get away with any information about Sanada.\You won't leave this place alive.\That's quite the line!\He's fast.\He doesn't hesitate like Sasuke. response:	At this rate...
context: If you withdraw now, you won't have to.\I don't know what you're after,\but I won't let you get away with any information about Sanada.\You won't leave this place alive.\That's quite the line!\He's fast.\He doesn't hesitate like Sasuke.\At this rate... response:	Ninpo Hayabusa Otoshi!
context: I don't know what you're after,\but I won't let you get away with any information about Sanada.\You won't leave this place alive.\That's quite the line!\He's fast.\He doesn't hesitate like Sasuke.\At this rate...\Ninpo Hayabusa Otoshi! response:	Iga Ice Technique.
context: but I won't let you get away with any information about Sanada.\You won't leave this place alive.\That's quite the line!\He's fast.\He doesn't hesitate like Sasuke.\At this rate...\Ninpo Hayabusa Otoshi!\Iga Ice Technique. response:	Ninpo Kirigakure Style.
context: You won't leave this place alive.\That's quite the line!\He's fast.\He doesn't hesitate like Sasuke.\At this rate...\Ninpo Hayabusa Otoshi!\Iga Ice Technique.\Ninpo Kirigakure Style. response:	Saihyozan!
context: That's quite the line!\He's fast.\He doesn't hesitate like Sasuke.\At this rate...\Ninpo Hayabusa Otoshi!\Iga Ice Technique.\Ninpo Kirigakure Style.\Saihyozan! response:	Zekkai!
context: He's fast.\He doesn't hesitate like Sasuke.\At this rate...\Ninpo Hayabusa Otoshi!\Iga Ice Technique.\Ninpo Kirigakure Style.\Saihyozan!\Zekkai! response:	There's nothing scary about your ice if I break it before it hardens.
context: He doesn't hesitate like Sasuke.\At this rate...\Ninpo Hayabusa Otoshi!\Iga Ice Technique.\Ninpo Kirigakure Style.\Saihyozan!\Zekkai!\There's nothing scary about your ice if I break it before it hardens. response:	I haven't known you since we were kids for nothing.
context: At this rate...\Ninpo Hayabusa Otoshi!\Iga Ice Technique.\Ninpo Kirigakure Style.\Saihyozan!\Zekkai!\There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing. response:	Is that so?
context: Ninpo Hayabusa Otoshi!\Iga Ice Technique.\Ninpo Kirigakure Style.\Saihyozan!\Zekkai!\There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing.\Is that so? response:	Now, let's hear you talk.
context: Iga Ice Technique.\Ninpo Kirigakure Style.\Saihyozan!\Zekkai!\There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing.\Is that so?\Now, let's hear you talk. response:	That blood lust... Even I can't go in there.
context: Ninpo Kirigakure Style.\Saihyozan!\Zekkai!\There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing.\Is that so?\Now, let's hear you talk.\That blood lust... Even I can't go in there. response:	What's wrong with them?
context: Saihyozan!\Zekkai!\There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing.\Is that so?\Now, let's hear you talk.\That blood lust... Even I can't go in there.\What's wrong with them? response:	Start with your master's name.
context: Zekkai!\There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing.\Is that so?\Now, let's hear you talk.\That blood lust... Even I can't go in there.\What's wrong with them?\Start with your master's name. response:	It won't work. We're close enough to it now.
context: There's nothing scary about your ice if I break it before it hardens.\I haven't known you since we were kids for nothing.\Is that so?\Now, let's hear you talk.\That blood lust... Even I can't go in there.\What's wrong with them?\Start with your master's name.\It won't work. We're close enough to it now. response:	You couldn't follow through, Saizo!
context: I haven't known you since we were kids for nothing.\Is that so?\Now, let's hear you talk.\That blood lust... Even I can't go in there.\What's wrong with them?\Start with your master's name.\It won't work. We're close enough to it now.\You couldn't follow through, Saizo! response:	The river?!
context: Is that so?\Now, let's hear you talk.\That blood lust... Even I can't go in there.\What's wrong with them?\Start with your master's name.\It won't work. We're close enough to it now.\You couldn't follow through, Saizo!\The river?! response:	Shit!
context: Now, let's hear you talk.\That blood lust... Even I can't go in there.\What's wrong with them?\Start with your master's name.\It won't work. We're close enough to it now.\You couldn't follow through, Saizo!\The river?!\Shit! response:	Sasuke, are you all right?
context: That blood lust... Even I can't go in there.\What's wrong with them?\Start with your master's name.\It won't work. We're close enough to it now.\You couldn't follow through, Saizo!\The river?!\Shit!\Sasuke, are you all right? response:	Ana is an enemy.
context: What's wrong with them?\Start with your master's name.\It won't work. We're close enough to it now.\You couldn't follow through, Saizo!\The river?!\Shit!\Sasuke, are you all right?\Ana is an enemy. response:	I faltered.
context: Start with your master's name.\It won't work. We're close enough to it now.\You couldn't follow through, Saizo!\The river?!\Shit!\Sasuke, are you all right?\Ana is an enemy.\I faltered. response:	I failed as a ninja.
context: It won't work. We're close enough to it now.\You couldn't follow through, Saizo!\The river?!\Shit!\Sasuke, are you all right?\Ana is an enemy.\I faltered.\I failed as a ninja. response:	I do not deserve to serve you, Yukimura-sama.
context: You couldn't follow through, Saizo!\The river?!\Shit!\Sasuke, are you all right?\Ana is an enemy.\I faltered.\I failed as a ninja.\I do not deserve to serve you, Yukimura-sama. response:	What are you talking about?
context: The river?!\Shit!\Sasuke, are you all right?\Ana is an enemy.\I faltered.\I failed as a ninja.\I do not deserve to serve you, Yukimura-sama.\What are you talking about? response:	You protected Rokuro just fine.
context: Shit!\Sasuke, are you all right?\Ana is an enemy.\I faltered.\I failed as a ninja.\I do not deserve to serve you, Yukimura-sama.\What are you talking about?\You protected Rokuro just fine. response:	You don't have time to feel sorry for yourself.
context: Sasuke, are you all right?\Ana is an enemy.\I faltered.\I failed as a ninja.\I do not deserve to serve you, Yukimura-sama.\What are you talking about?\You protected Rokuro just fine.\You don't have time to feel sorry for yourself. response:	We have to figure out who Anastasia is working for.
context: Ana is an enemy.\I faltered.\I failed as a ninja.\I do not deserve to serve you, Yukimura-sama.\What are you talking about?\You protected Rokuro just fine.\You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for. response:	Yes, sir.
context: I faltered.\I failed as a ninja.\I do not deserve to serve you, Yukimura-sama.\What are you talking about?\You protected Rokuro just fine.\You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for.\Yes, sir. response:	You hesitated, didn't you? You're a fool.
context: I failed as a ninja.\I do not deserve to serve you, Yukimura-sama.\What are you talking about?\You protected Rokuro just fine.\You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for.\Yes, sir.\You hesitated, didn't you? You're a fool. response:	Ana...
context: I do not deserve to serve you, Yukimura-sama.\What are you talking about?\You protected Rokuro just fine.\You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for.\Yes, sir.\You hesitated, didn't you? You're a fool.\Ana... response:	She escaped?
context: What are you talking about?\You protected Rokuro just fine.\You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for.\Yes, sir.\You hesitated, didn't you? You're a fool.\Ana...\She escaped? response:	Yeah.
context: You protected Rokuro just fine.\You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for.\Yes, sir.\You hesitated, didn't you? You're a fool.\Ana...\She escaped?\Yeah. response:	She must've been fighting for her life.
context: You don't have time to feel sorry for yourself.\We have to figure out who Anastasia is working for.\Yes, sir.\You hesitated, didn't you? You're a fool.\Ana...\She escaped?\Yeah.\She must've been fighting for her life. response:	How's Rokuro-san?
context: We have to figure out who Anastasia is working for.\Yes, sir.\You hesitated, didn't you? You're a fool.\Ana...\She escaped?\Yeah.\She must've been fighting for her life.\How's Rokuro-san? response:	I removed the poison.
context: Yes, sir.\You hesitated, didn't you? You're a fool.\Ana...\She escaped?\Yeah.\She must've been fighting for her life.\How's Rokuro-san?\I removed the poison. response:	However, his right eye has been ruined.
context: You hesitated, didn't you? You're a fool.\Ana...\She escaped?\Yeah.\She must've been fighting for her life.\How's Rokuro-san?\I removed the poison.\However, his right eye has been ruined. response:	I see.
context: Ana...\She escaped?\Yeah.\She must've been fighting for her life.\How's Rokuro-san?\I removed the poison.\However, his right eye has been ruined.\I see. response:	Does that yin-yang...
context: She escaped?\Yeah.\She must've been fighting for her life.\How's Rokuro-san?\I removed the poison.\However, his right eye has been ruined.\I see.\Does that yin-yang... response:	You're right.
context: Yeah.\She must've been fighting for her life.\How's Rokuro-san?\I removed the poison.\However, his right eye has been ruined.\I see.\Does that yin-yang...\You're right. response:	I'll have to tell you.
context: She must've been fighting for her life.\How's Rokuro-san?\I removed the poison.\However, his right eye has been ruined.\I see.\Does that yin-yang...\You're right.\I'll have to tell you. response:	I'd like to hear that story.
context: How's Rokuro-san?\I removed the poison.\However, his right eye has been ruined.\I see.\Does that yin-yang...\You're right.\I'll have to tell you.\I'd like to hear that story. response:	Looks like something happened while I was out.
context: I removed the poison.\However, his right eye has been ruined.\I see.\Does that yin-yang...\You're right.\I'll have to tell you.\I'd like to hear that story.\Looks like something happened while I was out. response:	Why don't you fill me in?
context: However, his right eye has been ruined.\I see.\Does that yin-yang...\You're right.\I'll have to tell you.\I'd like to hear that story.\Looks like something happened while I was out.\Why don't you fill me in? response:	We're not playing around.
context: I see.\Does that yin-yang...\You're right.\I'll have to tell you.\I'd like to hear that story.\Looks like something happened while I was out.\Why don't you fill me in?\We're not playing around. response:	Hold on, Saizo.
context: Does that yin-yang...\You're right.\I'll have to tell you.\I'd like to hear that story.\Looks like something happened while I was out.\Why don't you fill me in?\We're not playing around.\Hold on, Saizo. response:	As a newcomer, Jinpachi might be able to see the big picture.
context: You're right.\I'll have to tell you.\I'd like to hear that story.\Looks like something happened while I was out.\Why don't you fill me in?\We're not playing around.\Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture. response:	Big picture?
context: I'll have to tell you.\I'd like to hear that story.\Looks like something happened while I was out.\Why don't you fill me in?\We're not playing around.\Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture.\Big picture? response:	Why you're the Light and Isanami is the Darkness.
context: I'd like to hear that story.\Looks like something happened while I was out.\Why don't you fill me in?\We're not playing around.\Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture.\Big picture?\Why you're the Light and Isanami is the Darkness. response:	Let's hear it.
context: Looks like something happened while I was out.\Why don't you fill me in?\We're not playing around.\Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture.\Big picture?\Why you're the Light and Isanami is the Darkness.\Let's hear it. response:	The other eight members of my...
context: Why don't you fill me in?\We're not playing around.\Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture.\Big picture?\Why you're the Light and Isanami is the Darkness.\Let's hear it.\The other eight members of my... response:	You're Lightning, the pervert's Wind,
context: We're not playing around.\Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture.\Big picture?\Why you're the Light and Isanami is the Darkness.\Let's hear it.\The other eight members of my...\You're Lightning, the pervert's Wind, response:	the monkey's Grass, Kakei-san's Metal,
context: Hold on, Saizo.\As a newcomer, Jinpachi might be able to see the big picture.\Big picture?\Why you're the Light and Isanami is the Darkness.\Let's hear it.\The other eight members of my...\You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal, response:	Seikai's Earth, and the kid's Fire.
context: As a newcomer, Jinpachi might be able to see the big picture.\Big picture?\Why you're the Light and Isanami is the Darkness.\Let's hear it.\The other eight members of my...\You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire. response:	What are the others?
context: Big picture?\Why you're the Light and Isanami is the Darkness.\Let's hear it.\The other eight members of my...\You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire.\What are the others? response:	Ice and Water.
context: Why you're the Light and Isanami is the Darkness.\Let's hear it.\The other eight members of my...\You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire.\What are the others?\Ice and Water. response:	That makes sense.
context: Let's hear it.\The other eight members of my...\You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire.\What are the others?\Ice and Water.\That makes sense. response:	But what do you need all ten of us for?
context: The other eight members of my...\You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire.\What are the others?\Ice and Water.\That makes sense.\But what do you need all ten of us for? response:	The ten elements balance the universe by neutralizing each other's effects.
context: You're Lightning, the pervert's Wind,\the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire.\What are the others?\Ice and Water.\That makes sense.\But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects. response:	And that balance is now on the verge of collapse.
context: the monkey's Grass, Kakei-san's Metal,\Seikai's Earth, and the kid's Fire.\What are the others?\Ice and Water.\That makes sense.\But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse. response:	You brought us together to suppress the big power in the middle, right?
context: Seikai's Earth, and the kid's Fire.\What are the others?\Ice and Water.\That makes sense.\But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right? response:	The girl... Isanami, right?
context: What are the others?\Ice and Water.\That makes sense.\But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right? response:	What's her power of Darkness?
context: Ice and Water.\That makes sense.\But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right?\What's her power of Darkness? response:	What you call home is a lie.
context: That makes sense.\But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right?\What's her power of Darkness?\What you call home is a lie. response:	Who's there?
context: But what do you need all ten of us for?\The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right?\What's her power of Darkness?\What you call home is a lie.\Who's there? response:	I thought I'd come check on your wounds.
context: The ten elements balance the universe by neutralizing each other's effects.\And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right?\What's her power of Darkness?\What you call home is a lie.\Who's there?\I thought I'd come check on your wounds. response:	Also, I thought you might be hungry.
context: And that balance is now on the verge of collapse.\You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right?\What's her power of Darkness?\What you call home is a lie.\Who's there?\I thought I'd come check on your wounds.\Also, I thought you might be hungry. response:	Let's have some manju together.
context: You brought us together to suppress the big power in the middle, right?\The girl... Isanami, right?\What's her power of Darkness?\What you call home is a lie.\Who's there?\I thought I'd come check on your wounds.\Also, I thought you might be hungry.\Let's have some manju together. response:	I want some, too.
context: The girl... Isanami, right?\What's her power of Darkness?\What you call home is a lie.\Who's there?\I thought I'd come check on your wounds.\Also, I thought you might be hungry.\Let's have some manju together.\I want some, too. response:	My wounds aren't serious.
context: What's her power of Darkness?\What you call home is a lie.\Who's there?\I thought I'd come check on your wounds.\Also, I thought you might be hungry.\Let's have some manju together.\I want some, too.\My wounds aren't serious. response:	Sorry, I let my guard down.
context: What you call home is a lie.\Who's there?\I thought I'd come check on your wounds.\Also, I thought you might be hungry.\Let's have some manju together.\I want some, too.\My wounds aren't serious.\Sorry, I let my guard down. response:	Don't cry. Don't be sad, Isanami.
