context: Hey, that lndian prince who's visiting... response:	You think so? I wasn't that impressed...
context: I'll play a match with you, if you'd like.\Ah, Prince Hakim!\Please, let's play!\Isn't Hakim wonderful?\He truly is wonderful!\More than wondeful, he's a prince!\How lovely, to be a prince.\But being married to a prince would be difficult. response:	That's true. It would be difficult!
context: Ah, Prince Hakim!\Please, let's play!\Isn't Hakim wonderful?\He truly is wonderful!\More than wondeful, he's a prince!\How lovely, to be a prince.\But being married to a prince would be difficult.\That's true. It would be difficult! response:	But he's a prince that has elephants!
context: Please, let's play!\Isn't Hakim wonderful?\He truly is wonderful!\More than wondeful, he's a prince!\How lovely, to be a prince.\But being married to a prince would be difficult.\That's true. It would be difficult!\But he's a prince that has elephants! response:	What? He has elephants?
context: Isn't Hakim wonderful?\He truly is wonderful!\More than wondeful, he's a prince!\How lovely, to be a prince.\But being married to a prince would be difficult.\That's true. It would be difficult!\But he's a prince that has elephants!\What? He has elephants? response:	That's right!
context: He truly is wonderful!\More than wondeful, he's a prince!\How lovely, to be a prince.\But being married to a prince would be difficult.\That's true. It would be difficult!\But he's a prince that has elephants!\What? He has elephants?\That's right! response:	Phew, I'm saved. That's right!
context: More than wondeful, he's a prince!\How lovely, to be a prince.\But being married to a prince would be difficult.\That's true. It would be difficult!\But he's a prince that has elephants!\What? He has elephants?\That's right!\Phew, I'm saved. That's right! response:	Phew, I'm saved. How wonderful!
context: How lovely, to be a prince.\But being married to a prince would be difficult.\That's true. It would be difficult!\But he's a prince that has elephants!\What? He has elephants?\That's right!\Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful! response:	Come to think of it...
context: But being married to a prince would be difficult.\That's true. It would be difficult!\But he's a prince that has elephants!\What? He has elephants?\That's right!\Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful!\Come to think of it... response:	Arthur, I heard that you've become a school prefect.
context: That's true. It would be difficult!\But he's a prince that has elephants!\What? He has elephants?\That's right!\Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful!\Come to think of it...\Arthur, I heard that you've become a school prefect. response:	How wonderful! A prefect?
context: But he's a prince that has elephants!\What? He has elephants?\That's right!\Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful!\Come to think of it...\Arthur, I heard that you've become a school prefect.\How wonderful! A prefect? response:	I heard it from Grace!
context: What? He has elephants?\That's right!\Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful!\Come to think of it...\Arthur, I heard that you've become a school prefect.\How wonderful! A prefect?\I heard it from Grace! response:	Is that so?
context: That's right!\Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful!\Come to think of it...\Arthur, I heard that you've become a school prefect.\How wonderful! A prefect?\I heard it from Grace!\Is that so? response:	Well, yeah.
context: Phew, I'm saved. That's right!\Phew, I'm saved. How wonderful!\Come to think of it...\Arthur, I heard that you've become a school prefect.\How wonderful! A prefect?\I heard it from Grace!\Is that so?\Well, yeah. response:	Hey, what's a prefect?
context: Phew, I'm saved. How wonderful!\Come to think of it...\Arthur, I heard that you've become a school prefect.\How wonderful! A prefect?\I heard it from Grace!\Is that so?\Well, yeah.\Hey, what's a prefect? response:	You sure like being in charge, don't you?
context: Come to think of it...\Arthur, I heard that you've become a school prefect.\How wonderful! A prefect?\I heard it from Grace!\Is that so?\Well, yeah.\Hey, what's a prefect?\You sure like being in charge, don't you? response:	Well it's fine for you, you're inheriting the house.
context: Arthur, I heard that you've become a school prefect.\How wonderful! A prefect?\I heard it from Grace!\Is that so?\Well, yeah.\Hey, what's a prefect?\You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house. response:	But when it comes to my future...
context: How wonderful! A prefect?\I heard it from Grace!\Is that so?\Well, yeah.\Hey, what's a prefect?\You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house.\But when it comes to my future... response:	Hey... what's a prefect?
context: I heard it from Grace!\Is that so?\Well, yeah.\Hey, what's a prefect?\You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house.\But when it comes to my future...\Hey... what's a prefect? response:	Vivian! You're better than Charlotte Cooper at Wimbledon!
context: Is that so?\Well, yeah.\Hey, what's a prefect?\You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house.\But when it comes to my future...\Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon! response:	Really, Prince Hakim?
context: Well, yeah.\Hey, what's a prefect?\You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house.\But when it comes to my future...\Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim? response:	He's quite a character...
context: Hey, what's a prefect?\You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house.\But when it comes to my future...\Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim?\He's quite a character... response:	Hey, Arthur?
context: You sure like being in charge, don't you?\Well it's fine for you, you're inheriting the house.\But when it comes to my future...\Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim?\He's quite a character...\Hey, Arthur? response:	What is it, Colin?
context: Well it's fine for you, you're inheriting the house.\But when it comes to my future...\Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim?\He's quite a character...\Hey, Arthur?\What is it, Colin? response:	Ah, here she is.
context: But when it comes to my future...\Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim?\He's quite a character...\Hey, Arthur?\What is it, Colin?\Ah, here she is. response:	Indeed, here she is.
context: Hey... what's a prefect?\Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim?\He's quite a character...\Hey, Arthur?\What is it, Colin?\Ah, here she is.\Indeed, here she is. response:	We were waiting for you.
context: Vivian! You're better than Charlotte Cooper at Wimbledon!\Really, Prince Hakim?\He's quite a character...\Hey, Arthur?\What is it, Colin?\Ah, here she is.\Indeed, here she is.\We were waiting for you. response:	Good day, Eleanor.
context: Really, Prince Hakim?\He's quite a character...\Hey, Arthur?\What is it, Colin?\Ah, here she is.\Indeed, here she is.\We were waiting for you.\Good day, Eleanor. response:	Hello.
context: He's quite a character...\Hey, Arthur?\What is it, Colin?\Ah, here she is.\Indeed, here she is.\We were waiting for you.\Good day, Eleanor.\Hello. response:	Grace, what a lovely dress!
context: Hey, Arthur?\What is it, Colin?\Ah, here she is.\Indeed, here she is.\We were waiting for you.\Good day, Eleanor.\Hello.\Grace, what a lovely dress! response:	It really is lovely!
context: What is it, Colin?\Ah, here she is.\Indeed, here she is.\We were waiting for you.\Good day, Eleanor.\Hello.\Grace, what a lovely dress!\It really is lovely! response:	Thank you.
context: Ah, here she is.\Indeed, here she is.\We were waiting for you.\Good day, Eleanor.\Hello.\Grace, what a lovely dress!\It really is lovely!\Thank you. response:	Grace, please sit here.
context: Indeed, here she is.\We were waiting for you.\Good day, Eleanor.\Hello.\Grace, what a lovely dress!\It really is lovely!\Thank you.\Grace, please sit here. response:	Yes, please do!
context: We were waiting for you.\Good day, Eleanor.\Hello.\Grace, what a lovely dress!\It really is lovely!\Thank you.\Grace, please sit here.\Yes, please do! response:	Sister, you're such a gossip. Yes, please do!
context: Good day, Eleanor.\Hello.\Grace, what a lovely dress!\It really is lovely!\Thank you.\Grace, please sit here.\Yes, please do!\Sister, you're such a gossip. Yes, please do! response:	Sister, you're such a gossip.
context: Hello.\Grace, what a lovely dress!\It really is lovely!\Thank you.\Grace, please sit here.\Yes, please do!\Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip. response:	Eh? What are you talking about?
context: Grace, what a lovely dress!\It really is lovely!\Thank you.\Grace, please sit here.\Yes, please do!\Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip.\Eh? What are you talking about? response:	You told everyone about my becoming a prefect.
context: It really is lovely!\Thank you.\Grace, please sit here.\Yes, please do!\Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip.\Eh? What are you talking about?\You told everyone about my becoming a prefect. response:	Arthur, what's a prefect?
context: Thank you.\Grace, please sit here.\Yes, please do!\Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip.\Eh? What are you talking about?\You told everyone about my becoming a prefect.\Arthur, what's a prefect? response:	Well, why not?
context: Grace, please sit here.\Yes, please do!\Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip.\Eh? What are you talking about?\You told everyone about my becoming a prefect.\Arthur, what's a prefect?\Well, why not? response:	Arthur, you mustn't be mean to our dear Grace.
context: Yes, please do!\Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip.\Eh? What are you talking about?\You told everyone about my becoming a prefect.\Arthur, what's a prefect?\Well, why not?\Arthur, you mustn't be mean to our dear Grace. response:	Yes, don't be mean!
context: Sister, you're such a gossip. Yes, please do!\Sister, you're such a gossip.\Eh? What are you talking about?\You told everyone about my becoming a prefect.\Arthur, what's a prefect?\Well, why not?\Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean! response:	Arthur...!
context: Sister, you're such a gossip.\Eh? What are you talking about?\You told everyone about my becoming a prefect.\Arthur, what's a prefect?\Well, why not?\Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean!\Arthur...! response:	Wh-Why are you crying, Colin?
context: Eh? What are you talking about?\You told everyone about my becoming a prefect.\Arthur, what's a prefect?\Well, why not?\Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean!\Arthur...!\Wh-Why are you crying, Colin? response:	What's a pre-prefect?
context: You told everyone about my becoming a prefect.\Arthur, what's a prefect?\Well, why not?\Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean!\Arthur...!\Wh-Why are you crying, Colin?\What's a pre-prefect? response:	It means a student representative.
context: Arthur, what's a prefect?\Well, why not?\Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean!\Arthur...!\Wh-Why are you crying, Colin?\What's a pre-prefect?\It means a student representative. response:	A senior student, who's chosen to monitor and advise the younger students.
context: Well, why not?\Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean!\Arthur...!\Wh-Why are you crying, Colin?\What's a pre-prefect?\It means a student representative.\A senior student, who's chosen to monitor and advise the younger students. response:	There's no need to cry...
context: Arthur, you mustn't be mean to our dear Grace.\Yes, don't be mean!\Arthur...!\Wh-Why are you crying, Colin?\What's a pre-prefect?\It means a student representative.\A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry... response:	Arthur, you were being mean to Colin, weren't you?
context: Yes, don't be mean!\Arthur...!\Wh-Why are you crying, Colin?\What's a pre-prefect?\It means a student representative.\A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry...\Arthur, you were being mean to Colin, weren't you? response:	You were rather mean.
context: Arthur...!\Wh-Why are you crying, Colin?\What's a pre-prefect?\It means a student representative.\A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry...\Arthur, you were being mean to Colin, weren't you?\You were rather mean. response:	Of course he was being mean.
context: Wh-Why are you crying, Colin?\What's a pre-prefect?\It means a student representative.\A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry...\Arthur, you were being mean to Colin, weren't you?\You were rather mean.\Of course he was being mean. response:	Hello.
context: What's a pre-prefect?\It means a student representative.\A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry...\Arthur, you were being mean to Colin, weren't you?\You were rather mean.\Of course he was being mean.\Hello. response:	Hello. Nice weather we're having.
context: It means a student representative.\A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry...\Arthur, you were being mean to Colin, weren't you?\You were rather mean.\Of course he was being mean.\Hello.\Hello. Nice weather we're having. response:	Uh, um... If you don't mind...
context: A senior student, who's chosen to monitor and advise the younger students.\There's no need to cry...\Arthur, you were being mean to Colin, weren't you?\You were rather mean.\Of course he was being mean.\Hello.\Hello. Nice weather we're having.\Uh, um... If you don't mind... response:	Well, I'm not really good enough to teach people...
context: There's no need to cry...\Arthur, you were being mean to Colin, weren't you?\You were rather mean.\Of course he was being mean.\Hello.\Hello. Nice weather we're having.\Uh, um... If you don't mind...\Well, I'm not really good enough to teach people... response:	But I've never played before!
context: Arthur, you were being mean to Colin, weren't you?\You were rather mean.\Of course he was being mean.\Hello.\Hello. Nice weather we're having.\Uh, um... If you don't mind...\Well, I'm not really good enough to teach people...\But I've never played before! response:	Huh?
context: You were rather mean.\Of course he was being mean.\Hello.\Hello. Nice weather we're having.\Uh, um... If you don't mind...\Well, I'm not really good enough to teach people...\But I've never played before!\Huh? response:	Well then, If I can be of help.
context: Of course he was being mean.\Hello.\Hello. Nice weather we're having.\Uh, um... If you don't mind...\Well, I'm not really good enough to teach people...\But I've never played before!\Huh?\Well then, If I can be of help. response:	Really?!
context: Hello.\Hello. Nice weather we're having.\Uh, um... If you don't mind...\Well, I'm not really good enough to teach people...\But I've never played before!\Huh?\Well then, If I can be of help.\Really?! response:	Of course. Shall we?
context: Hello. Nice weather we're having.\Uh, um... If you don't mind...\Well, I'm not really good enough to teach people...\But I've never played before!\Huh?\Well then, If I can be of help.\Really?!\Of course. Shall we? response:	Let's rest a while, Vivian!
context: Uh, um... If you don't mind...\Well, I'm not really good enough to teach people...\But I've never played before!\Huh?\Well then, If I can be of help.\Really?!\Of course. Shall we?\Let's rest a while, Vivian! response:	Okay, Prince Hakim!
context: Well, I'm not really good enough to teach people...\But I've never played before!\Huh?\Well then, If I can be of help.\Really?!\Of course. Shall we?\Let's rest a while, Vivian!\Okay, Prince Hakim! response:	Hey!
context: But I've never played before!\Huh?\Well then, If I can be of help.\Really?!\Of course. Shall we?\Let's rest a while, Vivian!\Okay, Prince Hakim!\Hey! response:	Oh, I'm so thirsty!
context: Huh?\Well then, If I can be of help.\Really?!\Of course. Shall we?\Let's rest a while, Vivian!\Okay, Prince Hakim!\Hey!\Oh, I'm so thirsty! response:	Hey, Vivi!
context: Well then, If I can be of help.\Really?!\Of course. Shall we?\Let's rest a while, Vivian!\Okay, Prince Hakim!\Hey!\Oh, I'm so thirsty!\Hey, Vivi! response:	Say, would you look at that...
context: Really?!\Of course. Shall we?\Let's rest a while, Vivian!\Okay, Prince Hakim!\Hey!\Oh, I'm so thirsty!\Hey, Vivi!\Say, would you look at that... response:	Those two look very happy!
context: Of course. Shall we?\Let's rest a while, Vivian!\Okay, Prince Hakim!\Hey!\Oh, I'm so thirsty!\Hey, Vivi!\Say, would you look at that...\Those two look very happy! response:	They make a nice couple!
context: Let's rest a while, Vivian!\Okay, Prince Hakim!\Hey!\Oh, I'm so thirsty!\Hey, Vivi!\Say, would you look at that...\Those two look very happy!\They make a nice couple! response:	I'm a bit jealous.
context: Okay, Prince Hakim!\Hey!\Oh, I'm so thirsty!\Hey, Vivi!\Say, would you look at that...\Those two look very happy!\They make a nice couple!\I'm a bit jealous. response:	One, two, three! One, two, three!
context: Hey!\Oh, I'm so thirsty!\Hey, Vivi!\Say, would you look at that...\Those two look very happy!\They make a nice couple!\I'm a bit jealous.\One, two, three! One, two, three! response:	One, two, three! One, two, three!
context: Oh, I'm so thirsty!\Hey, Vivi!\Say, would you look at that...\Those two look very happy!\They make a nice couple!\I'm a bit jealous.\One, two, three! One, two, three!\One, two, three! One, two, three! response:	Just like that. You're doing great!
context: Hey, Vivi!\Say, would you look at that...\Those two look very happy!\They make a nice couple!\I'm a bit jealous.\One, two, three! One, two, three!\One, two, three! One, two, three!\Just like that. You're doing great! response:	When you hit the ball, bring your wrist back.
context: Say, would you look at that...\Those two look very happy!\They make a nice couple!\I'm a bit jealous.\One, two, three! One, two, three!\One, two, three! One, two, three!\Just like that. You're doing great!\When you hit the ball, bring your wrist back. response:	One, two, three! One, two, three!
context: Those two look very happy!\They make a nice couple!\I'm a bit jealous.\One, two, three! One, two, three!\One, two, three! One, two, three!\Just like that. You're doing great!\When you hit the ball, bring your wrist back.\One, two, three! One, two, three! response:	It seems he's no fool after all.
context: They make a nice couple!\I'm a bit jealous.\One, two, three! One, two, three!\One, two, three! One, two, three!\Just like that. You're doing great!\When you hit the ball, bring your wrist back.\One, two, three! One, two, three!\It seems he's no fool after all. response:	Eh?
context: I'm a bit jealous.\One, two, three! One, two, three!\One, two, three! One, two, three!\Just like that. You're doing great!\When you hit the ball, bring your wrist back.\One, two, three! One, two, three!\It seems he's no fool after all.\Eh? response:	If all goes well between those two, we could have a title in the family.
context: One, two, three! One, two, three!\One, two, three! One, two, three!\Just like that. You're doing great!\When you hit the ball, bring your wrist back.\One, two, three! One, two, three!\It seems he's no fool after all.\Eh?\If all goes well between those two, we could have a title in the family. response:	Arthur...
context: One, two, three! One, two, three!\Just like that. You're doing great!\When you hit the ball, bring your wrist back.\One, two, three! One, two, three!\It seems he's no fool after all.\Eh?\If all goes well between those two, we could have a title in the family.\Arthur... response:	It's more than the Jones family could have hoped for.
context: Just like that. You're doing great!\When you hit the ball, bring your wrist back.\One, two, three! One, two, three!\It seems he's no fool after all.\Eh?\If all goes well between those two, we could have a title in the family.\Arthur...\It's more than the Jones family could have hoped for. response:	Stop it, Arthur!
context: When you hit the ball, bring your wrist back.\One, two, three! One, two, three!\It seems he's no fool after all.\Eh?\If all goes well between those two, we could have a title in the family.\Arthur...\It's more than the Jones family could have hoped for.\Stop it, Arthur! response:	One, two, three! One, two, three!
context: One, two, three! One, two, three!\It seems he's no fool after all.\Eh?\If all goes well between those two, we could have a title in the family.\Arthur...\It's more than the Jones family could have hoped for.\Stop it, Arthur!\One, two, three! One, two, three! response:	William.
context: It seems he's no fool after all.\Eh?\If all goes well between those two, we could have a title in the family.\Arthur...\It's more than the Jones family could have hoped for.\Stop it, Arthur!\One, two, three! One, two, three!\William. response:	Hakim...?
context: Eh?\If all goes well between those two, we could have a title in the family.\Arthur...\It's more than the Jones family could have hoped for.\Stop it, Arthur!\One, two, three! One, two, three!\William.\Hakim...? response:	And then, Annie...
context: If all goes well between those two, we could have a title in the family.\Arthur...\It's more than the Jones family could have hoped for.\Stop it, Arthur!\One, two, three! One, two, three!\William.\Hakim...?\And then, Annie... response:	William had said that he couldn't play tennis well.
context: Arthur...\It's more than the Jones family could have hoped for.\Stop it, Arthur!\One, two, three! One, two, three!\William.\Hakim...?\And then, Annie...\William had said that he couldn't play tennis well. response:	But you know, that prince from lndia?
context: It's more than the Jones family could have hoped for.\Stop it, Arthur!\One, two, three! One, two, three!\William.\Hakim...?\And then, Annie...\William had said that he couldn't play tennis well.\But you know, that prince from lndia? response:	Prince Hakim?
context: Stop it, Arthur!\One, two, three! One, two, three!\William.\Hakim...?\And then, Annie...\William had said that he couldn't play tennis well.\But you know, that prince from lndia?\Prince Hakim? response:	That's right!
context: One, two, three! One, two, three!\William.\Hakim...?\And then, Annie...\William had said that he couldn't play tennis well.\But you know, that prince from lndia?\Prince Hakim?\That's right! response:	He beat Prince Hakim!
context: William.\Hakim...?\And then, Annie...\William had said that he couldn't play tennis well.\But you know, that prince from lndia?\Prince Hakim?\That's right!\He beat Prince Hakim! response:	He was so modest.
context: Hakim...?\And then, Annie...\William had said that he couldn't play tennis well.\But you know, that prince from lndia?\Prince Hakim?\That's right!\He beat Prince Hakim!\He was so modest. response:	William is very quiet, but he can be forceful too.
context: And then, Annie...\William had said that he couldn't play tennis well.\But you know, that prince from lndia?\Prince Hakim?\That's right!\He beat Prince Hakim!\He was so modest.\William is very quiet, but he can be forceful too. response:	What time do you think it is?
context: William had said that he couldn't play tennis well.\But you know, that prince from lndia?\Prince Hakim?\That's right!\He beat Prince Hakim!\He was so modest.\William is very quiet, but he can be forceful too.\What time do you think it is? response:	I can't sleep.
context: But you know, that prince from lndia?\Prince Hakim?\That's right!\He beat Prince Hakim!\He was so modest.\William is very quiet, but he can be forceful too.\What time do you think it is?\I can't sleep. response:	Of course you can't sleep, with all this commotion.
context: Prince Hakim?\That's right!\He beat Prince Hakim!\He was so modest.\William is very quiet, but he can be forceful too.\What time do you think it is?\I can't sleep.\Of course you can't sleep, with all this commotion. response:	I held this party because I couldn't sleep.
context: That's right!\He beat Prince Hakim!\He was so modest.\William is very quiet, but he can be forceful too.\What time do you think it is?\I can't sleep.\Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep. response:	Smoke?
context: He beat Prince Hakim!\He was so modest.\William is very quiet, but he can be forceful too.\What time do you think it is?\I can't sleep.\Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep.\Smoke? response:	No, thanks.
context: He was so modest.\William is very quiet, but he can be forceful too.\What time do you think it is?\I can't sleep.\Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep.\Smoke?\No, thanks. response:	I was thinking...
context: William is very quiet, but he can be forceful too.\What time do you think it is?\I can't sleep.\Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep.\Smoke?\No, thanks.\I was thinking... response:	Eh?
context: What time do you think it is?\I can't sleep.\Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep.\Smoke?\No, thanks.\I was thinking...\Eh? response:	There's something I want to tell you.
context: I can't sleep.\Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep.\Smoke?\No, thanks.\I was thinking...\Eh?\There's something I want to tell you. response:	W-What is it?
context: Of course you can't sleep, with all this commotion.\I held this party because I couldn't sleep.\Smoke?\No, thanks.\I was thinking...\Eh?\There's something I want to tell you.\W-What is it? response:	William...
context: I held this party because I couldn't sleep.\Smoke?\No, thanks.\I was thinking...\Eh?\There's something I want to tell you.\W-What is it?\William... response:	I confessed to Emma.
context: Smoke?\No, thanks.\I was thinking...\Eh?\There's something I want to tell you.\W-What is it?\William...\I confessed to Emma. response:	Co-confessed...
context: No, thanks.\I was thinking...\Eh?\There's something I want to tell you.\W-What is it?\William...\I confessed to Emma.\Co-confessed... response:	In other words, I proposed to her.
context: I was thinking...\Eh?\There's something I want to tell you.\W-What is it?\William...\I confessed to Emma.\Co-confessed...\In other words, I proposed to her. response:	I see...
context: Eh?\There's something I want to tell you.\W-What is it?\William...\I confessed to Emma.\Co-confessed...\In other words, I proposed to her.\I see... response:	But she turned me down.
context: There's something I want to tell you.\W-What is it?\William...\I confessed to Emma.\Co-confessed...\In other words, I proposed to her.\I see...\But she turned me down. response:	What?
context: W-What is it?\William...\I confessed to Emma.\Co-confessed...\In other words, I proposed to her.\I see...\But she turned me down.\What? response:	Is that so...
context: William...\I confessed to Emma.\Co-confessed...\In other words, I proposed to her.\I see...\But she turned me down.\What?\Is that so... response:	No, not that I'm happy...
context: I confessed to Emma.\Co-confessed...\In other words, I proposed to her.\I see...\But she turned me down.\What?\Is that so...\No, not that I'm happy... response:	I'm sorry...
context: Co-confessed...\In other words, I proposed to her.\I see...\But she turned me down.\What?\Is that so...\No, not that I'm happy...\I'm sorry... response:	It's all right.
context: In other words, I proposed to her.\I see...\But she turned me down.\What?\Is that so...\No, not that I'm happy...\I'm sorry...\It's all right. response:	I know how you feel.
context: I see...\But she turned me down.\What?\Is that so...\No, not that I'm happy...\I'm sorry...\It's all right.\I know how you feel. response:	You do?
context: But she turned me down.\What?\Is that so...\No, not that I'm happy...\I'm sorry...\It's all right.\I know how you feel.\You do? response:	You're easy to read.
context: What?\Is that so...\No, not that I'm happy...\I'm sorry...\It's all right.\I know how you feel.\You do?\You're easy to read. response:	Then why?!
context: Is that so...\No, not that I'm happy...\I'm sorry...\It's all right.\I know how you feel.\You do?\You're easy to read.\Then why?! response:	You love her, but you haven't done anything about it yet, have you? Then why?!
context: No, not that I'm happy...\I'm sorry...\It's all right.\I know how you feel.\You do?\You're easy to read.\Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?! response:	You love her, but you haven't done anything about it yet, have you?
context: I'm sorry...\It's all right.\I know how you feel.\You do?\You're easy to read.\Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you? response:	If you've exchanged promises, that's different.
context: It's all right.\I know how you feel.\You do?\You're easy to read.\Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different. response:	Why don't you tell her?
context: I know how you feel.\You do?\You're easy to read.\Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different.\Why don't you tell her? response:	Why...? I've only just met her.
context: You do?\You're easy to read.\Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different.\Why don't you tell her?\Why...? I've only just met her. response:	Besides, I don't know how Emma feels...
context: You're easy to read.\Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different.\Why don't you tell her?\Why...? I've only just met her.\Besides, I don't know how Emma feels... response:	And what about how you feel?
context: Then why?!\You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different.\Why don't you tell her?\Why...? I've only just met her.\Besides, I don't know how Emma feels...\And what about how you feel? response:	If you hesitate, I'll take her from you.
context: You love her, but you haven't done anything about it yet, have you? Then why?!\You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different.\Why don't you tell her?\Why...? I've only just met her.\Besides, I don't know how Emma feels...\And what about how you feel?\If you hesitate, I'll take her from you. response:	What are you saying? She turned you down.
context: You love her, but you haven't done anything about it yet, have you?\If you've exchanged promises, that's different.\Why don't you tell her?\Why...? I've only just met her.\Besides, I don't know how Emma feels...\And what about how you feel?\If you hesitate, I'll take her from you.\What are you saying? She turned you down. response:	That's not really much of a problem.
context: If you've exchanged promises, that's different.\Why don't you tell her?\Why...? I've only just met her.\Besides, I don't know how Emma feels...\And what about how you feel?\If you hesitate, I'll take her from you.\What are you saying? She turned you down.\That's not really much of a problem. response:	What...?
context: Why don't you tell her?\Why...? I've only just met her.\Besides, I don't know how Emma feels...\And what about how you feel?\If you hesitate, I'll take her from you.\What are you saying? She turned you down.\That's not really much of a problem.\What...? response:	Hakim...
context: Why...? I've only just met her.\Besides, I don't know how Emma feels...\And what about how you feel?\If you hesitate, I'll take her from you.\What are you saying? She turned you down.\That's not really much of a problem.\What...?\Hakim... response:	It will be a wonderful day for both of them.
context: Besides, I don't know how Emma feels...\And what about how you feel?\If you hesitate, I'll take her from you.\What are you saying? She turned you down.\That's not really much of a problem.\What...?\Hakim...\It will be a wonderful day for both of them. response:	What?
context: And what about how you feel?\If you hesitate, I'll take her from you.\What are you saying? She turned you down.\That's not really much of a problem.\What...?\Hakim...\It will be a wonderful day for both of them.\What? response:	Call it women's intuition.
context: If you hesitate, I'll take her from you.\What are you saying? She turned you down.\That's not really much of a problem.\What...?\Hakim...\It will be a wonderful day for both of them.\What?\Call it women's intuition. response:	Emma!
context: What are you saying? She turned you down.\That's not really much of a problem.\What...?\Hakim...\It will be a wonderful day for both of them.\What?\Call it women's intuition.\Emma! response:	Mr. Jones?
context: That's not really much of a problem.\What...?\Hakim...\It will be a wonderful day for both of them.\What?\Call it women's intuition.\Emma!\Mr. Jones? response:	Um...
context: What...?\Hakim...\It will be a wonderful day for both of them.\What?\Call it women's intuition.\Emma!\Mr. Jones?\Um... response:	Yes?
context: Hakim...\It will be a wonderful day for both of them.\What?\Call it women's intuition.\Emma!\Mr. Jones?\Um...\Yes? response:	Nothing...
context: It will be a wonderful day for both of them.\What?\Call it women's intuition.\Emma!\Mr. Jones?\Um...\Yes?\Nothing... response:	Well... shall we go back?
context: What?\Call it women's intuition.\Emma!\Mr. Jones?\Um...\Yes?\Nothing...\Well... shall we go back? response:	Yes...
context: Call it women's intuition.\Emma!\Mr. Jones?\Um...\Yes?\Nothing...\Well... shall we go back?\Yes... response:	Um, Hakim told me.
context: Emma!\Mr. Jones?\Um...\Yes?\Nothing...\Well... shall we go back?\Yes...\Um, Hakim told me. response:	Eh?
