context: Once upon a time, there was a handsome slave. response:	What bound him were not heavy chains, but the princess's love.
context: The prince took his very own heart...\Out of his body!\What?\It can't be!\He took out his heart himself?\It's true.\Rue-chan!\You don't know anything, do you, Ahiru? response:	Do you know about Princess Tutu?
context: Out of his body!\What?\It can't be!\He took out his heart himself?\It's true.\Rue-chan!\You don't know anything, do you, Ahiru?\Do you know about Princess Tutu? response:	Princess Tutu?! I don't... really know... anything...
context: What?\It can't be!\He took out his heart himself?\It's true.\Rue-chan!\You don't know anything, do you, Ahiru?\Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything... response:	You see, in the Prince and the Raven,
context: It can't be!\He took out his heart himself?\It's true.\Rue-chan!\You don't know anything, do you, Ahiru?\Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven, response:	Princess Tutu is only presented in a few sentences.
context: He took out his heart himself?\It's true.\Rue-chan!\You don't know anything, do you, Ahiru?\Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences. response:	A miserable existence that not even any of the characters in the story wanted to be.
context: It's true.\Rue-chan!\You don't know anything, do you, Ahiru?\Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be. response:	An insignificant existence that was forsaken even by the story somewhere along the way.
context: Rue-chan!\You don't know anything, do you, Ahiru?\Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way. response:	Someone who could never hope to catch the prince's eye.
context: You don't know anything, do you, Ahiru?\Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye. response:	Just a little additional flare to the story.
context: Do you know about Princess Tutu?\Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story. response:	Poor thing.
context: Princess Tutu?! I don't... really know... anything...\You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story.\Poor thing. response:	Rue-chan, why are you telling me this story?
context: You see, in the Prince and the Raven,\Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story.\Poor thing.\Rue-chan, why are you telling me this story? response:	So, you still haven't figured it out.
context: Princess Tutu is only presented in a few sentences.\A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story.\Poor thing.\Rue-chan, why are you telling me this story?\So, you still haven't figured it out. response:	Rue doesn't even really exist.
context: A miserable existence that not even any of the characters in the story wanted to be.\An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story.\Poor thing.\Rue-chan, why are you telling me this story?\So, you still haven't figured it out.\Rue doesn't even really exist. response:	What?
context: An insignificant existence that was forsaken even by the story somewhere along the way.\Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story.\Poor thing.\Rue-chan, why are you telling me this story?\So, you still haven't figured it out.\Rue doesn't even really exist.\What? response:	What?!
context: Someone who could never hope to catch the prince's eye.\Just a little additional flare to the story.\Poor thing.\Rue-chan, why are you telling me this story?\So, you still haven't figured it out.\Rue doesn't even really exist.\What?\What?! response:	Have you finally figured it out, Princess Tutu?
context: Just a little additional flare to the story.\Poor thing.\Rue-chan, why are you telling me this story?\So, you still haven't figured it out.\Rue doesn't even really exist.\What?\What?!\Have you finally figured it out, Princess Tutu? response:	Princess Kraehe?!
context: Poor thing.\Rue-chan, why are you telling me this story?\So, you still haven't figured it out.\Rue doesn't even really exist.\What?\What?!\Have you finally figured it out, Princess Tutu?\Princess Kraehe?! response:	You can't be!
context: Rue-chan, why are you telling me this story?\So, you still haven't figured it out.\Rue doesn't even really exist.\What?\What?!\Have you finally figured it out, Princess Tutu?\Princess Kraehe?!\You can't be! response:	Because you're my friend!
context: So, you still haven't figured it out.\Rue doesn't even really exist.\What?\What?!\Have you finally figured it out, Princess Tutu?\Princess Kraehe?!\You can't be!\Because you're my friend! response:	We chatted together and danced together and...
context: Rue doesn't even really exist.\What?\What?!\Have you finally figured it out, Princess Tutu?\Princess Kraehe?!\You can't be!\Because you're my friend!\We chatted together and danced together and... response:	Stop it!
context: What?\What?!\Have you finally figured it out, Princess Tutu?\Princess Kraehe?!\You can't be!\Because you're my friend!\We chatted together and danced together and...\Stop it! response:	That's true, but all that foolishness is over now.
context: What?!\Have you finally figured it out, Princess Tutu?\Princess Kraehe?!\You can't be!\Because you're my friend!\We chatted together and danced together and...\Stop it!\That's true, but all that foolishness is over now. response:	Rue-chan!
context: Have you finally figured it out, Princess Tutu?\Princess Kraehe?!\You can't be!\Because you're my friend!\We chatted together and danced together and...\Stop it!\That's true, but all that foolishness is over now.\Rue-chan! response:	I only came to get something the prince left behind, so I will excuse myself now.
context: Princess Kraehe?!\You can't be!\Because you're my friend!\We chatted together and danced together and...\Stop it!\That's true, but all that foolishness is over now.\Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now. response:	Left behind?
context: You can't be!\Because you're my friend!\We chatted together and danced together and...\Stop it!\That's true, but all that foolishness is over now.\Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now.\Left behind? response:	It is not something for a mere failure of a knight to have.
context: Because you're my friend!\We chatted together and danced together and...\Stop it!\That's true, but all that foolishness is over now.\Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now.\Left behind?\It is not something for a mere failure of a knight to have. response:	The prince's sword!
context: We chatted together and danced together and...\Stop it!\That's true, but all that foolishness is over now.\Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now.\Left behind?\It is not something for a mere failure of a knight to have.\The prince's sword! response:	When did she...
context: Stop it!\That's true, but all that foolishness is over now.\Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now.\Left behind?\It is not something for a mere failure of a knight to have.\The prince's sword!\When did she... response:	Rue-chan!
context: That's true, but all that foolishness is over now.\Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now.\Left behind?\It is not something for a mere failure of a knight to have.\The prince's sword!\When did she...\Rue-chan! response:	Hurry up and come rescue the prince.
context: Rue-chan!\I only came to get something the prince left behind, so I will excuse myself now.\Left behind?\It is not something for a mere failure of a knight to have.\The prince's sword!\When did she...\Rue-chan!\Hurry up and come rescue the prince. response:	Oh, Edel-san.
context: I only came to get something the prince left behind, so I will excuse myself now.\Left behind?\It is not something for a mere failure of a knight to have.\The prince's sword!\When did she...\Rue-chan!\Hurry up and come rescue the prince.\Oh, Edel-san. response:	Edel-san...
context: Left behind?\It is not something for a mere failure of a knight to have.\The prince's sword!\When did she...\Rue-chan!\Hurry up and come rescue the prince.\Oh, Edel-san.\Edel-san... response:	Water is drawn to fire, fire to darkness and darkness to silence.
context: It is not something for a mere failure of a knight to have.\The prince's sword!\When did she...\Rue-chan!\Hurry up and come rescue the prince.\Oh, Edel-san.\Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence. response:	Now, let us go.
context: The prince's sword!\When did she...\Rue-chan!\Hurry up and come rescue the prince.\Oh, Edel-san.\Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go. response:	Go where?
context: When did she...\Rue-chan!\Hurry up and come rescue the prince.\Oh, Edel-san.\Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go.\Go where? response:	Where you must go.
context: Rue-chan!\Hurry up and come rescue the prince.\Oh, Edel-san.\Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go.\Go where?\Where you must go. response:	This place...
context: Hurry up and come rescue the prince.\Oh, Edel-san.\Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go.\Go where?\Where you must go.\This place... response:	Edel-san?
context: Oh, Edel-san.\Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go.\Go where?\Where you must go.\This place...\Edel-san? response:	It's locked.
context: Edel-san...\Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go.\Go where?\Where you must go.\This place...\Edel-san?\It's locked. response:	You can go to where the prince and Kraehe are from here.
context: Water is drawn to fire, fire to darkness and darkness to silence.\Now, let us go.\Go where?\Where you must go.\This place...\Edel-san?\It's locked.\You can go to where the prince and Kraehe are from here. response:	An entrance in a place like this?
context: Now, let us go.\Go where?\Where you must go.\This place...\Edel-san?\It's locked.\You can go to where the prince and Kraehe are from here.\An entrance in a place like this? response:	Go on.
context: Go where?\Where you must go.\This place...\Edel-san?\It's locked.\You can go to where the prince and Kraehe are from here.\An entrance in a place like this?\Go on. response:	Thank you, Edel-san, for always being so kind to me.
context: Where you must go.\This place...\Edel-san?\It's locked.\You can go to where the prince and Kraehe are from here.\An entrance in a place like this?\Go on.\Thank you, Edel-san, for always being so kind to me. response:	This is not kindness.
context: This place...\Edel-san?\It's locked.\You can go to where the prince and Kraehe are from here.\An entrance in a place like this?\Go on.\Thank you, Edel-san, for always being so kind to me.\This is not kindness. response:	What?
context: Edel-san?\It's locked.\You can go to where the prince and Kraehe are from here.\An entrance in a place like this?\Go on.\Thank you, Edel-san, for always being so kind to me.\This is not kindness.\What? response:	Puppets follow orders.
context: It's locked.\You can go to where the prince and Kraehe are from here.\An entrance in a place like this?\Go on.\Thank you, Edel-san, for always being so kind to me.\This is not kindness.\What?\Puppets follow orders. response:	Puppets?
context: You can go to where the prince and Kraehe are from here.\An entrance in a place like this?\Go on.\Thank you, Edel-san, for always being so kind to me.\This is not kindness.\What?\Puppets follow orders.\Puppets? response:	Yes, I am a puppet.
context: An entrance in a place like this?\Go on.\Thank you, Edel-san, for always being so kind to me.\This is not kindness.\What?\Puppets follow orders.\Puppets?\Yes, I am a puppet. response:	I have neither feelings nor a heart.
context: Go on.\Thank you, Edel-san, for always being so kind to me.\This is not kindness.\What?\Puppets follow orders.\Puppets?\Yes, I am a puppet.\I have neither feelings nor a heart. response:	But Edel-san, you've always taught me all sorts of things and you've been so nice.
context: Thank you, Edel-san, for always being so kind to me.\This is not kindness.\What?\Puppets follow orders.\Puppets?\Yes, I am a puppet.\I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice. response:	So, I think of you as...
context: This is not kindness.\What?\Puppets follow orders.\Puppets?\Yes, I am a puppet.\I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as... response:	It was because that was the role given to me.
context: What?\Puppets follow orders.\Puppets?\Yes, I am a puppet.\I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as...\It was because that was the role given to me. response:	My orders end here. Now, go on.
context: Puppets follow orders.\Puppets?\Yes, I am a puppet.\I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as...\It was because that was the role given to me.\My orders end here. Now, go on. response:	Whose orders?
context: Puppets?\Yes, I am a puppet.\I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as...\It was because that was the role given to me.\My orders end here. Now, go on.\Whose orders? response:	Edel-san...
context: Yes, I am a puppet.\I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as...\It was because that was the role given to me.\My orders end here. Now, go on.\Whose orders?\Edel-san... response:	Now, go on.
context: I have neither feelings nor a heart.\But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as...\It was because that was the role given to me.\My orders end here. Now, go on.\Whose orders?\Edel-san...\Now, go on. response:	Ahiru?
context: But Edel-san, you've always taught me all sorts of things and you've been so nice.\So, I think of you as...\It was because that was the role given to me.\My orders end here. Now, go on.\Whose orders?\Edel-san...\Now, go on.\Ahiru? response:	Edel-san, thank you. We'll be going now.
context: So, I think of you as...\It was because that was the role given to me.\My orders end here. Now, go on.\Whose orders?\Edel-san...\Now, go on.\Ahiru?\Edel-san, thank you. We'll be going now. response:	Ahiru...
context: It was because that was the role given to me.\My orders end here. Now, go on.\Whose orders?\Edel-san...\Now, go on.\Ahiru?\Edel-san, thank you. We'll be going now.\Ahiru... response:	So warm...
context: My orders end here. Now, go on.\Whose orders?\Edel-san...\Now, go on.\Ahiru?\Edel-san, thank you. We'll be going now.\Ahiru...\So warm... response:	And so soft...
context: Whose orders?\Edel-san...\Now, go on.\Ahiru?\Edel-san, thank you. We'll be going now.\Ahiru...\So warm...\And so soft... response:	Edel-san...
context: Edel-san...\Now, go on.\Ahiru?\Edel-san, thank you. We'll be going now.\Ahiru...\So warm...\And so soft...\Edel-san... response:	Now, hurry.
context: Now, go on.\Ahiru?\Edel-san, thank you. We'll be going now.\Ahiru...\So warm...\And so soft...\Edel-san...\Now, hurry. response:	Okay, let's go!
context: Ahiru?\Edel-san, thank you. We'll be going now.\Ahiru...\So warm...\And so soft...\Edel-san...\Now, hurry.\Okay, let's go! response:	Right...
context: Edel-san, thank you. We'll be going now.\Ahiru...\So warm...\And so soft...\Edel-san...\Now, hurry.\Okay, let's go!\Right... response:	Good grief, if you use a puppet for too long, it can be such a pain
context: Ahiru...\So warm...\And so soft...\Edel-san...\Now, hurry.\Okay, let's go!\Right...\Good grief, if you use a puppet for too long, it can be such a pain response:	because they begin to take interest in things like people's feelings.
context: So warm...\And so soft...\Edel-san...\Now, hurry.\Okay, let's go!\Right...\Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings. response:	Don't you forget.
context: And so soft...\Edel-san...\Now, hurry.\Okay, let's go!\Right...\Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings.\Don't you forget. response:	Your role is to add a glow to the story in my place.
context: Edel-san...\Now, hurry.\Okay, let's go!\Right...\Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings.\Don't you forget.\Your role is to add a glow to the story in my place. response:	That's about all you're capable of doing.
context: Now, hurry.\Okay, let's go!\Right...\Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings.\Don't you forget.\Your role is to add a glow to the story in my place.\That's about all you're capable of doing. response:	Not knowing your place in the world is dangerous, you know.
context: Okay, let's go!\Right...\Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings.\Don't you forget.\Your role is to add a glow to the story in my place.\That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know. response:	Scary...
context: Right...\Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings.\Don't you forget.\Your role is to add a glow to the story in my place.\That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know.\Scary... response:	Owowow!
context: Good grief, if you use a puppet for too long, it can be such a pain\because they begin to take interest in things like people's feelings.\Don't you forget.\Your role is to add a glow to the story in my place.\That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know.\Scary...\Owowow! response:	You idiot! Walk more towards the middle!
context: because they begin to take interest in things like people's feelings.\Don't you forget.\Your role is to add a glow to the story in my place.\That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know.\Scary...\Owowow!\You idiot! Walk more towards the middle! response:	You're already careless enough as it is.
context: Don't you forget.\Your role is to add a glow to the story in my place.\That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know.\Scary...\Owowow!\You idiot! Walk more towards the middle!\You're already careless enough as it is. response:	Wow, this place is kind of incredible...
context: Your role is to add a glow to the story in my place.\That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know.\Scary...\Owowow!\You idiot! Walk more towards the middle!\You're already careless enough as it is.\Wow, this place is kind of incredible... response:	I better walk with my eyes forward.
context: That's about all you're capable of doing.\Not knowing your place in the world is dangerous, you know.\Scary...\Owowow!\You idiot! Walk more towards the middle!\You're already careless enough as it is.\Wow, this place is kind of incredible...\I better walk with my eyes forward. response:	You're really Princess Tutu, aren't you?
context: Not knowing your place in the world is dangerous, you know.\Scary...\Owowow!\You idiot! Walk more towards the middle!\You're already careless enough as it is.\Wow, this place is kind of incredible...\I better walk with my eyes forward.\You're really Princess Tutu, aren't you? response:	Well, yeah. What about it?
context: Scary...\Owowow!\You idiot! Walk more towards the middle!\You're already careless enough as it is.\Wow, this place is kind of incredible...\I better walk with my eyes forward.\You're really Princess Tutu, aren't you?\Well, yeah. What about it? response:	Well, I thought Princess Tutu was more... sort of... you know...
context: Owowow!\You idiot! Walk more towards the middle!\You're already careless enough as it is.\Wow, this place is kind of incredible...\I better walk with my eyes forward.\You're really Princess Tutu, aren't you?\Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know... response:	Huh?
context: You idiot! Walk more towards the middle!\You're already careless enough as it is.\Wow, this place is kind of incredible...\I better walk with my eyes forward.\You're really Princess Tutu, aren't you?\Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know...\Huh? response:	No, never mind.
context: You're already careless enough as it is.\Wow, this place is kind of incredible...\I better walk with my eyes forward.\You're really Princess Tutu, aren't you?\Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know...\Huh?\No, never mind. response:	Say, Fakir?
context: Wow, this place is kind of incredible...\I better walk with my eyes forward.\You're really Princess Tutu, aren't you?\Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know...\Huh?\No, never mind.\Say, Fakir? response:	What is it?
context: I better walk with my eyes forward.\You're really Princess Tutu, aren't you?\Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know...\Huh?\No, never mind.\Say, Fakir?\What is it? response:	Never mind, it's nothing.
context: You're really Princess Tutu, aren't you?\Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know...\Huh?\No, never mind.\Say, Fakir?\What is it?\Never mind, it's nothing. response:	What the heck?
context: Well, yeah. What about it?\Well, I thought Princess Tutu was more... sort of... you know...\Huh?\No, never mind.\Say, Fakir?\What is it?\Never mind, it's nothing.\What the heck? response:	If you didn't want to say, keep your mouth shut to begin with!
context: Well, I thought Princess Tutu was more... sort of... you know...\Huh?\No, never mind.\Say, Fakir?\What is it?\Never mind, it's nothing.\What the heck?\If you didn't want to say, keep your mouth shut to begin with! response:	Oh, um, it's nothing like that, but...
context: Huh?\No, never mind.\Say, Fakir?\What is it?\Never mind, it's nothing.\What the heck?\If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but... response:	I don't think you're no good as a knight or anything, you know.
context: No, never mind.\Say, Fakir?\What is it?\Never mind, it's nothing.\What the heck?\If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know. response:	What are you trying to get at?
context: Say, Fakir?\What is it?\Never mind, it's nothing.\What the heck?\If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know.\What are you trying to get at? response:	It's not that I'm really trying to get at anything, but...
context: What is it?\Never mind, it's nothing.\What the heck?\If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know.\What are you trying to get at?\It's not that I'm really trying to get at anything, but... response:	I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...
context: Never mind, it's nothing.\What the heck?\If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know.\What are you trying to get at?\It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so... response:	I'll say this right now, but I have no intention of cooperating with you, all right?
context: What the heck?\If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know.\What are you trying to get at?\It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right? response:	I'll help Mytho in my own way. That's all there is to it.
context: If you didn't want to say, keep your mouth shut to begin with!\Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know.\What are you trying to get at?\It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it. response:	Yeah, I know.
context: Oh, um, it's nothing like that, but...\I don't think you're no good as a knight or anything, you know.\What are you trying to get at?\It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it.\Yeah, I know. response:	You know...
context: I don't think you're no good as a knight or anything, you know.\What are you trying to get at?\It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it.\Yeah, I know.\You know... response:	Hmm?
context: What are you trying to get at?\It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it.\Yeah, I know.\You know...\Hmm? response:	Never mind, it's nothing.
context: It's not that I'm really trying to get at anything, but...\I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it.\Yeah, I know.\You know...\Hmm?\Never mind, it's nothing. response:	What's your problem?!
context: I didn't think you were very nice when I first met you, but now, I feel like I understand you just a bit, so...\I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it.\Yeah, I know.\You know...\Hmm?\Never mind, it's nothing.\What's your problem?! response:	Don't stop in the middle when you've started to say something!
context: I'll say this right now, but I have no intention of cooperating with you, all right?\I'll help Mytho in my own way. That's all there is to it.\Yeah, I know.\You know...\Hmm?\Never mind, it's nothing.\What's your problem?!\Don't stop in the middle when you've started to say something! response:	The truth is, I've never thought about things like...
context: I'll help Mytho in my own way. That's all there is to it.\Yeah, I know.\You know...\Hmm?\Never mind, it's nothing.\What's your problem?!\Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like... response:	What exactly do I like about Mytho?
context: Yeah, I know.\You know...\Hmm?\Never mind, it's nothing.\What's your problem?!\Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like...\What exactly do I like about Mytho? response:	When I first saw him, it was just that I thought he was handsome,
context: You know...\Hmm?\Never mind, it's nothing.\What's your problem?!\Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like...\What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome, response:	but when I looked closer, his eyes looked so lonely.
context: Hmm?\Never mind, it's nothing.\What's your problem?!\Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like...\What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely. response:	And I thought if I became Princess Tutu, I could do something for him.
context: Never mind, it's nothing.\What's your problem?!\Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like...\What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him. response:	At first, that's really all there was to it.
context: What's your problem?!\Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like...\What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it. response:	But now, I...
context: Don't stop in the middle when you've started to say something!\The truth is, I've never thought about things like...\What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it.\But now, I... response:	Damn!
context: The truth is, I've never thought about things like...\What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it.\But now, I...\Damn! response:	Fakir?!
context: What exactly do I like about Mytho?\When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it.\But now, I...\Damn!\Fakir?! response:	Run!
context: When I first saw him, it was just that I thought he was handsome,\but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it.\But now, I...\Damn!\Fakir?!\Run! response:	You idiot!
context: but when I looked closer, his eyes looked so lonely.\And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it.\But now, I...\Damn!\Fakir?!\Run!\You idiot! response:	I'm sorry. Are you hurt?
context: And I thought if I became Princess Tutu, I could do something for him.\At first, that's really all there was to it.\But now, I...\Damn!\Fakir?!\Run!\You idiot!\I'm sorry. Are you hurt? response:	It's a miracle I'm not.
context: At first, that's really all there was to it.\But now, I...\Damn!\Fakir?!\Run!\You idiot!\I'm sorry. Are you hurt?\It's a miracle I'm not. response:	What is this place?
context: But now, I...\Damn!\Fakir?!\Run!\You idiot!\I'm sorry. Are you hurt?\It's a miracle I'm not.\What is this place? response:	I guess we have no choice but to climb up again.
context: Damn!\Fakir?!\Run!\You idiot!\I'm sorry. Are you hurt?\It's a miracle I'm not.\What is this place?\I guess we have no choice but to climb up again. response:	We might be able to get out through the water.
context: Fakir?!\Run!\You idiot!\I'm sorry. Are you hurt?\It's a miracle I'm not.\What is this place?\I guess we have no choice but to climb up again.\We might be able to get out through the water. response:	I could go check it out if I became a bird, but...
context: Run!\You idiot!\I'm sorry. Are you hurt?\It's a miracle I'm not.\What is this place?\I guess we have no choice but to climb up again.\We might be able to get out through the water.\I could go check it out if I became a bird, but... response:	It's covered with moss. I don't think we can climb this.
context: You idiot!\I'm sorry. Are you hurt?\It's a miracle I'm not.\What is this place?\I guess we have no choice but to climb up again.\We might be able to get out through the water.\I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this. response:	Damn...
context: I'm sorry. Are you hurt?\It's a miracle I'm not.\What is this place?\I guess we have no choice but to climb up again.\We might be able to get out through the water.\I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this.\Damn... response:	If it's Fakir...
context: It's a miracle I'm not.\What is this place?\I guess we have no choice but to climb up again.\We might be able to get out through the water.\I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this.\Damn...\If it's Fakir... response:	Fakir...
context: What is this place?\I guess we have no choice but to climb up again.\We might be able to get out through the water.\I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this.\Damn...\If it's Fakir...\Fakir... response:	What is it?
context: I guess we have no choice but to climb up again.\We might be able to get out through the water.\I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this.\Damn...\If it's Fakir...\Fakir...\What is it? response:	Once before, when I lost this necklace, you held onto it for me. Remember, Fakir?
context: We might be able to get out through the water.\I could go check it out if I became a bird, but...\It's covered with moss. I don't think we can climb this.\Damn...\If it's Fakir...\Fakir...\What is it?\Once before, when I lost this necklace, you held onto it for me. Remember, Fakir? response:	Huh? What about it?
