context: It's no good, I can't get close. response:	Show it your perseverance.
context: Do you not like milk?\You're a cat aren't you?\No I'm not.\Oh, it's over.\Oh no, I spoke.\You have an interesting meow.\Your name is Chau-chan right?\No. response:	It is Chau-chan!
context: You're a cat aren't you?\No I'm not.\Oh, it's over.\Oh no, I spoke.\You have an interesting meow.\Your name is Chau-chan right?\No.\It is Chau-chan! response:	Can you help me a bit?
context: No I'm not.\Oh, it's over.\Oh no, I spoke.\You have an interesting meow.\Your name is Chau-chan right?\No.\It is Chau-chan!\Can you help me a bit? response:	OK, Mama!
context: Oh, it's over.\Oh no, I spoke.\You have an interesting meow.\Your name is Chau-chan right?\No.\It is Chau-chan!\Can you help me a bit?\OK, Mama! response:	Wait a bit, OK Chau-chan?
context: Oh no, I spoke.\You have an interesting meow.\Your name is Chau-chan right?\No.\It is Chau-chan!\Can you help me a bit?\OK, Mama!\Wait a bit, OK Chau-chan? response:	Chau? It's not Chau.
context: You have an interesting meow.\Your name is Chau-chan right?\No.\It is Chau-chan!\Can you help me a bit?\OK, Mama!\Wait a bit, OK Chau-chan?\Chau? It's not Chau. response:	No, no.
context: Your name is Chau-chan right?\No.\It is Chau-chan!\Can you help me a bit?\OK, Mama!\Wait a bit, OK Chau-chan?\Chau? It's not Chau.\No, no. response:	I left the window open all night
context: No.\It is Chau-chan!\Can you help me a bit?\OK, Mama!\Wait a bit, OK Chau-chan?\Chau? It's not Chau.\No, no.\I left the window open all night response:	so he could come home any time.
context: It is Chau-chan!\Can you help me a bit?\OK, Mama!\Wait a bit, OK Chau-chan?\Chau? It's not Chau.\No, no.\I left the window open all night\so he could come home any time. response:	Kero-chan is so obstinate.
context: Can you help me a bit?\OK, Mama!\Wait a bit, OK Chau-chan?\Chau? It's not Chau.\No, no.\I left the window open all night\so he could come home any time.\Kero-chan is so obstinate. response:	Where did he go?
context: OK, Mama!\Wait a bit, OK Chau-chan?\Chau? It's not Chau.\No, no.\I left the window open all night\so he could come home any time.\Kero-chan is so obstinate.\Where did he go? response:	Hmm?
context: Wait a bit, OK Chau-chan?\Chau? It's not Chau.\No, no.\I left the window open all night\so he could come home any time.\Kero-chan is so obstinate.\Where did he go?\Hmm? response:	No, it's nothing.
context: Chau? It's not Chau.\No, no.\I left the window open all night\so he could come home any time.\Kero-chan is so obstinate.\Where did he go?\Hmm?\No, it's nothing. response:	Huh?
context: No, no.\I left the window open all night\so he could come home any time.\Kero-chan is so obstinate.\Where did he go?\Hmm?\No, it's nothing.\Huh? response:	I said it's nothing.
context: I left the window open all night\so he could come home any time.\Kero-chan is so obstinate.\Where did he go?\Hmm?\No, it's nothing.\Huh?\I said it's nothing. response:	I see.
context: so he could come home any time.\Kero-chan is so obstinate.\Where did he go?\Hmm?\No, it's nothing.\Huh?\I said it's nothing.\I see. response:	I'm leaving.
context: Kero-chan is so obstinate.\Where did he go?\Hmm?\No, it's nothing.\Huh?\I said it's nothing.\I see.\I'm leaving. response:	I was thirsty
context: Where did he go?\Hmm?\No, it's nothing.\Huh?\I said it's nothing.\I see.\I'm leaving.\I was thirsty response:	so this milk tastes good.
context: Hmm?\No, it's nothing.\Huh?\I said it's nothing.\I see.\I'm leaving.\I was thirsty\so this milk tastes good. response:	Well then, I am heading out.
context: No, it's nothing.\Huh?\I said it's nothing.\I see.\I'm leaving.\I was thirsty\so this milk tastes good.\Well then, I am heading out. response:	See you later!
context: Huh?\I said it's nothing.\I see.\I'm leaving.\I was thirsty\so this milk tastes good.\Well then, I am heading out.\See you later! response:	Chau-chan, did you eat it up?
context: I said it's nothing.\I see.\I'm leaving.\I was thirsty\so this milk tastes good.\Well then, I am heading out.\See you later!\Chau-chan, did you eat it up? response:	That's good.
context: I see.\I'm leaving.\I was thirsty\so this milk tastes good.\Well then, I am heading out.\See you later!\Chau-chan, did you eat it up?\That's good. response:	Good boy.
context: I'm leaving.\I was thirsty\so this milk tastes good.\Well then, I am heading out.\See you later!\Chau-chan, did you eat it up?\That's good.\Good boy. response:	Mama went out to work,
context: I was thirsty\so this milk tastes good.\Well then, I am heading out.\See you later!\Chau-chan, did you eat it up?\That's good.\Good boy.\Mama went out to work, response:	so it is up to Akane and Chau-chan to look after things.
context: so this milk tastes good.\Well then, I am heading out.\See you later!\Chau-chan, did you eat it up?\That's good.\Good boy.\Mama went out to work,\so it is up to Akane and Chau-chan to look after things. response:	So this kid's name is Akane?
context: Well then, I am heading out.\See you later!\Chau-chan, did you eat it up?\That's good.\Good boy.\Mama went out to work,\so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane? response:	Such a small kid
context: See you later!\Chau-chan, did you eat it up?\That's good.\Good boy.\Mama went out to work,\so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane?\Such a small kid response:	has to stay home alone?
context: Chau-chan, did you eat it up?\That's good.\Good boy.\Mama went out to work,\so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane?\Such a small kid\has to stay home alone? response:	Chau-chan,
context: That's good.\Good boy.\Mama went out to work,\so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane?\Such a small kid\has to stay home alone?\Chau-chan, response:	your face looks a little dirty.
context: Good boy.\Mama went out to work,\so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane?\Such a small kid\has to stay home alone?\Chau-chan,\your face looks a little dirty. response:	Stay still,
context: Mama went out to work,\so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane?\Such a small kid\has to stay home alone?\Chau-chan,\your face looks a little dirty.\Stay still, response:	I'll make you clean.
context: so it is up to Akane and Chau-chan to look after things.\So this kid's name is Akane?\Such a small kid\has to stay home alone?\Chau-chan,\your face looks a little dirty.\Stay still,\I'll make you clean. response:	Isn't this cold water?
context: So this kid's name is Akane?\Such a small kid\has to stay home alone?\Chau-chan,\your face looks a little dirty.\Stay still,\I'll make you clean.\Isn't this cold water? response:	Wash me with warm water.
context: Such a small kid\has to stay home alone?\Chau-chan,\your face looks a little dirty.\Stay still,\I'll make you clean.\Isn't this cold water?\Wash me with warm water. response:	There, all done.
context: has to stay home alone?\Chau-chan,\your face looks a little dirty.\Stay still,\I'll make you clean.\Isn't this cold water?\Wash me with warm water.\There, all done. response:	Oh yeah! I'll put on a ribbon too.
context: Chau-chan,\your face looks a little dirty.\Stay still,\I'll make you clean.\Isn't this cold water?\Wash me with warm water.\There, all done.\Oh yeah! I'll put on a ribbon too. response:	Where is this?
context: your face looks a little dirty.\Stay still,\I'll make you clean.\Isn't this cold water?\Wash me with warm water.\There, all done.\Oh yeah! I'll put on a ribbon too.\Where is this? response:	If I don't do something in a hurry'
context: Stay still,\I'll make you clean.\Isn't this cold water?\Wash me with warm water.\There, all done.\Oh yeah! I'll put on a ribbon too.\Where is this?\If I don't do something in a hurry' response:	That is my Papa who is in heaven.
context: I'll make you clean.\Isn't this cold water?\Wash me with warm water.\There, all done.\Oh yeah! I'll put on a ribbon too.\Where is this?\If I don't do something in a hurry'\That is my Papa who is in heaven. response:	My dad went to a place called heaven they say.
context: Isn't this cold water?\Wash me with warm water.\There, all done.\Oh yeah! I'll put on a ribbon too.\Where is this?\If I don't do something in a hurry'\That is my Papa who is in heaven.\My dad went to a place called heaven they say. response:	That is why
context: Wash me with warm water.\There, all done.\Oh yeah! I'll put on a ribbon too.\Where is this?\If I don't do something in a hurry'\That is my Papa who is in heaven.\My dad went to a place called heaven they say.\That is why response:	I have to watch over the house.
context: There, all done.\Oh yeah! I'll put on a ribbon too.\Where is this?\If I don't do something in a hurry'\That is my Papa who is in heaven.\My dad went to a place called heaven they say.\That is why\I have to watch over the house. response:	You'll help me look over the house too, right?
context: Oh yeah! I'll put on a ribbon too.\Where is this?\If I don't do something in a hurry'\That is my Papa who is in heaven.\My dad went to a place called heaven they say.\That is why\I have to watch over the house.\You'll help me look over the house too, right? response:	I got it!
context: Where is this?\If I don't do something in a hurry'\That is my Papa who is in heaven.\My dad went to a place called heaven they say.\That is why\I have to watch over the house.\You'll help me look over the house too, right?\I got it! response:	Ah, Mama?
context: If I don't do something in a hurry'\That is my Papa who is in heaven.\My dad went to a place called heaven they say.\That is why\I have to watch over the house.\You'll help me look over the house too, right?\I got it!\Ah, Mama? response:	Yeah this is Akane.
context: That is my Papa who is in heaven.\My dad went to a place called heaven they say.\That is why\I have to watch over the house.\You'll help me look over the house too, right?\I got it!\Ah, Mama?\Yeah this is Akane. response:	Yeah. Yeah. I understand.
context: My dad went to a place called heaven they say.\That is why\I have to watch over the house.\You'll help me look over the house too, right?\I got it!\Ah, Mama?\Yeah this is Akane.\Yeah. Yeah. I understand. response:	Good luck at work.
context: That is why\I have to watch over the house.\You'll help me look over the house too, right?\I got it!\Ah, Mama?\Yeah this is Akane.\Yeah. Yeah. I understand.\Good luck at work. response:	Yeah. Bye, bye.
context: I have to watch over the house.\You'll help me look over the house too, right?\I got it!\Ah, Mama?\Yeah this is Akane.\Yeah. Yeah. I understand.\Good luck at work.\Yeah. Bye, bye. response:	Kumiko!
context: You'll help me look over the house too, right?\I got it!\Ah, Mama?\Yeah this is Akane.\Yeah. Yeah. I understand.\Good luck at work.\Yeah. Bye, bye.\Kumiko! response:	Papa?
context: I got it!\Ah, Mama?\Yeah this is Akane.\Yeah. Yeah. I understand.\Good luck at work.\Yeah. Bye, bye.\Kumiko!\Papa? response:	You were alive?
context: Ah, Mama?\Yeah this is Akane.\Yeah. Yeah. I understand.\Good luck at work.\Yeah. Bye, bye.\Kumiko!\Papa?\You were alive? response:	Kumiko!
context: Yeah this is Akane.\Yeah. Yeah. I understand.\Good luck at work.\Yeah. Bye, bye.\Kumiko!\Papa?\You were alive?\Kumiko! response:	Papa!
context: Yeah. Yeah. I understand.\Good luck at work.\Yeah. Bye, bye.\Kumiko!\Papa?\You were alive?\Kumiko!\Papa! response:	Huh? Chau-chan?
context: Good luck at work.\Yeah. Bye, bye.\Kumiko!\Papa?\You were alive?\Kumiko!\Papa!\Huh? Chau-chan? response:	Chau-chan?
context: Yeah. Bye, bye.\Kumiko!\Papa?\You were alive?\Kumiko!\Papa!\Huh? Chau-chan?\Chau-chan? response:	Chau-chan?
context: Kumiko!\Papa?\You were alive?\Kumiko!\Papa!\Huh? Chau-chan?\Chau-chan?\Chau-chan? response:	Chau-chan?
context: Papa?\You were alive?\Kumiko!\Papa!\Huh? Chau-chan?\Chau-chan?\Chau-chan?\Chau-chan? response:	Ha'
context: You were alive?\Kumiko!\Papa!\Huh? Chau-chan?\Chau-chan?\Chau-chan?\Chau-chan?\Ha' response:	Chau-chan?
context: Kumiko!\Papa!\Huh? Chau-chan?\Chau-chan?\Chau-chan?\Chau-chan?\Ha'\Chau-chan? response:	Chau-chan?
context: Papa!\Huh? Chau-chan?\Chau-chan?\Chau-chan?\Chau-chan?\Ha'\Chau-chan?\Chau-chan? response:	Ha'
context: Huh? Chau-chan?\Chau-chan?\Chau-chan?\Chau-chan?\Ha'\Chau-chan?\Chau-chan?\Ha' response:	Kero-chan left home?
context: Chau-chan?\Chau-chan?\Chau-chan?\Ha'\Chau-chan?\Chau-chan?\Ha'\Kero-chan left home? response:	I don't know,
context: Chau-chan?\Chau-chan?\Ha'\Chau-chan?\Chau-chan?\Ha'\Kero-chan left home?\I don't know, response:	but he hasn't come back home.
context: Chau-chan?\Ha'\Chau-chan?\Chau-chan?\Ha'\Kero-chan left home?\I don't know,\but he hasn't come back home. response:	Perhaps he got angry
context: Ha'\Chau-chan?\Chau-chan?\Ha'\Kero-chan left home?\I don't know,\but he hasn't come back home.\Perhaps he got angry response:	because of how I reacted.
context: Chau-chan?\Chau-chan?\Ha'\Kero-chan left home?\I don't know,\but he hasn't come back home.\Perhaps he got angry\because of how I reacted. response:	I am sure that Kero-chan also regrets fighting.
context: Chau-chan?\Ha'\Kero-chan left home?\I don't know,\but he hasn't come back home.\Perhaps he got angry\because of how I reacted.\I am sure that Kero-chan also regrets fighting. response:	The same as you are now.
context: Ha'\Kero-chan left home?\I don't know,\but he hasn't come back home.\Perhaps he got angry\because of how I reacted.\I am sure that Kero-chan also regrets fighting.\The same as you are now. response:	I wonder.
context: Kero-chan left home?\I don't know,\but he hasn't come back home.\Perhaps he got angry\because of how I reacted.\I am sure that Kero-chan also regrets fighting.\The same as you are now.\I wonder. response:	Let's go look for him, OK?
context: I don't know,\but he hasn't come back home.\Perhaps he got angry\because of how I reacted.\I am sure that Kero-chan also regrets fighting.\The same as you are now.\I wonder.\Let's go look for him, OK? response:	Yeah.
context: but he hasn't come back home.\Perhaps he got angry\because of how I reacted.\I am sure that Kero-chan also regrets fighting.\The same as you are now.\I wonder.\Let's go look for him, OK?\Yeah. response:	Even if we say that'
context: Perhaps he got angry\because of how I reacted.\I am sure that Kero-chan also regrets fighting.\The same as you are now.\I wonder.\Let's go look for him, OK?\Yeah.\Even if we say that' response:	It's too long.
context: because of how I reacted.\I am sure that Kero-chan also regrets fighting.\The same as you are now.\I wonder.\Let's go look for him, OK?\Yeah.\Even if we say that'\It's too long. response:	Really.
context: I am sure that Kero-chan also regrets fighting.\The same as you are now.\I wonder.\Let's go look for him, OK?\Yeah.\Even if we say that'\It's too long.\Really. response:	Where should we search?
context: The same as you are now.\I wonder.\Let's go look for him, OK?\Yeah.\Even if we say that'\It's too long.\Really.\Where should we search? response:	Sakura-chan. What are you doing?
context: I wonder.\Let's go look for him, OK?\Yeah.\Even if we say that'\It's too long.\Really.\Where should we search?\Sakura-chan. What are you doing? response:	Yukito-san!
context: Let's go look for him, OK?\Yeah.\Even if we say that'\It's too long.\Really.\Where should we search?\Sakura-chan. What are you doing?\Yukito-san! response:	Nothing at all.
context: Yeah.\Even if we say that'\It's too long.\Really.\Where should we search?\Sakura-chan. What are you doing?\Yukito-san!\Nothing at all. response:	He saw me at the worst possible time.
context: Even if we say that'\It's too long.\Really.\Where should we search?\Sakura-chan. What are you doing?\Yukito-san!\Nothing at all.\He saw me at the worst possible time. response:	I suppose this method is impossible too.
context: It's too long.\Really.\Where should we search?\Sakura-chan. What are you doing?\Yukito-san!\Nothing at all.\He saw me at the worst possible time.\I suppose this method is impossible too. response:	I'm home.
context: Really.\Where should we search?\Sakura-chan. What are you doing?\Yukito-san!\Nothing at all.\He saw me at the worst possible time.\I suppose this method is impossible too.\I'm home. response:	I forgot,
context: Where should we search?\Sakura-chan. What are you doing?\Yukito-san!\Nothing at all.\He saw me at the worst possible time.\I suppose this method is impossible too.\I'm home.\I forgot, response:	I was supposed to make dinner today.
context: Sakura-chan. What are you doing?\Yukito-san!\Nothing at all.\He saw me at the worst possible time.\I suppose this method is impossible too.\I'm home.\I forgot,\I was supposed to make dinner today. response:	You do it on Sunday.
context: Yukito-san!\Nothing at all.\He saw me at the worst possible time.\I suppose this method is impossible too.\I'm home.\I forgot,\I was supposed to make dinner today.\You do it on Sunday. response:	Why did you switch with me?
context: Nothing at all.\He saw me at the worst possible time.\I suppose this method is impossible too.\I'm home.\I forgot,\I was supposed to make dinner today.\You do it on Sunday.\Why did you switch with me? response:	No reason.
context: He saw me at the worst possible time.\I suppose this method is impossible too.\I'm home.\I forgot,\I was supposed to make dinner today.\You do it on Sunday.\Why did you switch with me?\No reason. response:	There was just something I wanted to eat.
context: I suppose this method is impossible too.\I'm home.\I forgot,\I was supposed to make dinner today.\You do it on Sunday.\Why did you switch with me?\No reason.\There was just something I wanted to eat. response:	If you walk around with that spaced out expression, you'll fall over.
context: I'm home.\I forgot,\I was supposed to make dinner today.\You do it on Sunday.\Why did you switch with me?\No reason.\There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over. response:	Eh!
context: I forgot,\I was supposed to make dinner today.\You do it on Sunday.\Why did you switch with me?\No reason.\There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over.\Eh! response:	Yuki was worried and called.
context: I was supposed to make dinner today.\You do it on Sunday.\Why did you switch with me?\No reason.\There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over.\Eh!\Yuki was worried and called. response:	Yukito-san did?
context: You do it on Sunday.\Why did you switch with me?\No reason.\There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over.\Eh!\Yuki was worried and called.\Yukito-san did? response:	Thanks, big brother.
context: Why did you switch with me?\No reason.\There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over.\Eh!\Yuki was worried and called.\Yukito-san did?\Thanks, big brother. response:	I'll answer that.
context: No reason.\There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over.\Eh!\Yuki was worried and called.\Yukito-san did?\Thanks, big brother.\I'll answer that. response:	Hurry and go. Hurry and go.
context: There was just something I wanted to eat.\If you walk around with that spaced out expression, you'll fall over.\Eh!\Yuki was worried and called.\Yukito-san did?\Thanks, big brother.\I'll answer that.\Hurry and go. Hurry and go. response:	Hurry. Hurry.
context: If you walk around with that spaced out expression, you'll fall over.\Eh!\Yuki was worried and called.\Yukito-san did?\Thanks, big brother.\I'll answer that.\Hurry and go. Hurry and go.\Hurry. Hurry. response:	Where is it from?
context: Eh!\Yuki was worried and called.\Yukito-san did?\Thanks, big brother.\I'll answer that.\Hurry and go. Hurry and go.\Hurry. Hurry.\Where is it from? response:	A friend.
context: Yuki was worried and called.\Yukito-san did?\Thanks, big brother.\I'll answer that.\Hurry and go. Hurry and go.\Hurry. Hurry.\Where is it from?\A friend. response:	A very important friend.
context: Yukito-san did?\Thanks, big brother.\I'll answer that.\Hurry and go. Hurry and go.\Hurry. Hurry.\Where is it from?\A friend.\A very important friend. response:	Eh!
context: Thanks, big brother.\I'll answer that.\Hurry and go. Hurry and go.\Hurry. Hurry.\Where is it from?\A friend.\A very important friend.\Eh! response:	To Sakura, I am fine. I'll contact you again.
context: I'll answer that.\Hurry and go. Hurry and go.\Hurry. Hurry.\Where is it from?\A friend.\A very important friend.\Eh!\To Sakura, I am fine. I'll contact you again. response:	Kero-chan contacted you?
context: Hurry and go. Hurry and go.\Hurry. Hurry.\Where is it from?\A friend.\A very important friend.\Eh!\To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you? response:	It was a fax,
context: Hurry. Hurry.\Where is it from?\A friend.\A very important friend.\Eh!\To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you?\It was a fax, response:	but it had Kero-chan's writing.
context: Where is it from?\A friend.\A very important friend.\Eh!\To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you?\It was a fax,\but it had Kero-chan's writing. response:	Do you know the phone number it was sent from?
context: A friend.\A very important friend.\Eh!\To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you?\It was a fax,\but it had Kero-chan's writing.\Do you know the phone number it was sent from? response:	Let's see'
context: A very important friend.\Eh!\To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you?\It was a fax,\but it had Kero-chan's writing.\Do you know the phone number it was sent from?\Let's see' response:	The transfer data should be
context: Eh!\To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you?\It was a fax,\but it had Kero-chan's writing.\Do you know the phone number it was sent from?\Let's see'\The transfer data should be response:	On the top of the fax sheet.
context: To Sakura, I am fine. I'll contact you again.\Kero-chan contacted you?\It was a fax,\but it had Kero-chan's writing.\Do you know the phone number it was sent from?\Let's see'\The transfer data should be\On the top of the fax sheet. response:	Let's see, 5,2,2'
context: Kero-chan contacted you?\It was a fax,\but it had Kero-chan's writing.\Do you know the phone number it was sent from?\Let's see'\The transfer data should be\On the top of the fax sheet.\Let's see, 5,2,2' response:	I think I know the general area now.
context: It was a fax,\but it had Kero-chan's writing.\Do you know the phone number it was sent from?\Let's see'\The transfer data should be\On the top of the fax sheet.\Let's see, 5,2,2'\I think I know the general area now. response:	As you can see a large low pressure zone
context: but it had Kero-chan's writing.\Do you know the phone number it was sent from?\Let's see'\The transfer data should be\On the top of the fax sheet.\Let's see, 5,2,2'\I think I know the general area now.\As you can see a large low pressure zone response:	is moving into the area.
context: Do you know the phone number it was sent from?\Let's see'\The transfer data should be\On the top of the fax sheet.\Let's see, 5,2,2'\I think I know the general area now.\As you can see a large low pressure zone\is moving into the area. response:	Strong winds are expected,
context: Let's see'\The transfer data should be\On the top of the fax sheet.\Let's see, 5,2,2'\I think I know the general area now.\As you can see a large low pressure zone\is moving into the area.\Strong winds are expected, response:	so please be careful.
context: The transfer data should be\On the top of the fax sheet.\Let's see, 5,2,2'\I think I know the general area now.\As you can see a large low pressure zone\is moving into the area.\Strong winds are expected,\so please be careful. response:	Next is the report for the surrounding area'
context: On the top of the fax sheet.\Let's see, 5,2,2'\I think I know the general area now.\As you can see a large low pressure zone\is moving into the area.\Strong winds are expected,\so please be careful.\Next is the report for the surrounding area' response:	What should I do?
context: Let's see, 5,2,2'\I think I know the general area now.\As you can see a large low pressure zone\is moving into the area.\Strong winds are expected,\so please be careful.\Next is the report for the surrounding area'\What should I do? response:	I can't leave her alone.
context: I think I know the general area now.\As you can see a large low pressure zone\is moving into the area.\Strong winds are expected,\so please be careful.\Next is the report for the surrounding area'\What should I do?\I can't leave her alone. response:	I have to get back to Sakura's place tho'
context: As you can see a large low pressure zone\is moving into the area.\Strong winds are expected,\so please be careful.\Next is the report for the surrounding area'\What should I do?\I can't leave her alone.\I have to get back to Sakura's place tho' response:	Eh!
context: is moving into the area.\Strong winds are expected,\so please be careful.\Next is the report for the surrounding area'\What should I do?\I can't leave her alone.\I have to get back to Sakura's place tho'\Eh! response:	Chau-chan, you can fly!
context: Strong winds are expected,\so please be careful.\Next is the report for the surrounding area'\What should I do?\I can't leave her alone.\I have to get back to Sakura's place tho'\Eh!\Chau-chan, you can fly! response:	Eh?
context: so please be careful.\Next is the report for the surrounding area'\What should I do?\I can't leave her alone.\I have to get back to Sakura's place tho'\Eh!\Chau-chan, you can fly!\Eh? response:	Oh!
context: Next is the report for the surrounding area'\What should I do?\I can't leave her alone.\I have to get back to Sakura's place tho'\Eh!\Chau-chan, you can fly!\Eh?\Oh! response:	Chau-chau'
context: What should I do?\I can't leave her alone.\I have to get back to Sakura's place tho'\Eh!\Chau-chan, you can fly!\Eh?\Oh!\Chau-chau' response:	That's amazing, Chau-chan!
context: I can't leave her alone.\I have to get back to Sakura's place tho'\Eh!\Chau-chan, you can fly!\Eh?\Oh!\Chau-chau'\That's amazing, Chau-chan! response:	I wish I could fly too,
context: I have to get back to Sakura's place tho'\Eh!\Chau-chan, you can fly!\Eh?\Oh!\Chau-chau'\That's amazing, Chau-chan!\I wish I could fly too, response:	Then I could
context: Eh!\Chau-chan, you can fly!\Eh?\Oh!\Chau-chau'\That's amazing, Chau-chan!\I wish I could fly too,\Then I could response:	Meet my father in heaven.
context: Chau-chan, you can fly!\Eh?\Oh!\Chau-chau'\That's amazing, Chau-chan!\I wish I could fly too,\Then I could\Meet my father in heaven. response:	Even if you can fly you won't meet people who are dead.
context: Eh?\Oh!\Chau-chau'\That's amazing, Chau-chan!\I wish I could fly too,\Then I could\Meet my father in heaven.\Even if you can fly you won't meet people who are dead. response:	I understand wanting to meet him though.
context: Oh!\Chau-chau'\That's amazing, Chau-chan!\I wish I could fly too,\Then I could\Meet my father in heaven.\Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though. response:	Eh?
context: Chau-chau'\That's amazing, Chau-chan!\I wish I could fly too,\Then I could\Meet my father in heaven.\Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though.\Eh? response:	Ha'
context: That's amazing, Chau-chan!\I wish I could fly too,\Then I could\Meet my father in heaven.\Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though.\Eh?\Ha' response:	What is this?
context: I wish I could fly too,\Then I could\Meet my father in heaven.\Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though.\Eh?\Ha'\What is this? response:	I flew! I flew!
context: Then I could\Meet my father in heaven.\Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though.\Eh?\Ha'\What is this?\I flew! I flew! response:	Look!
context: Meet my father in heaven.\Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though.\Eh?\Ha'\What is this?\I flew! I flew!\Look! response:	I can fly too.
context: Even if you can fly you won't meet people who are dead.\I understand wanting to meet him though.\Eh?\Ha'\What is this?\I flew! I flew!\Look!\I can fly too. response:	That's not it, she's not flying.
context: I understand wanting to meet him though.\Eh?\Ha'\What is this?\I flew! I flew!\Look!\I can fly too.\That's not it, she's not flying. response:	This is'
context: Eh?\Ha'\What is this?\I flew! I flew!\Look!\I can fly too.\That's not it, she's not flying.\This is' response:	A Clow Card!
context: Ha'\What is this?\I flew! I flew!\Look!\I can fly too.\That's not it, she's not flying.\This is'\A Clow Card! response:	Chau-chan!
context: What is this?\I flew! I flew!\Look!\I can fly too.\That's not it, she's not flying.\This is'\A Clow Card!\Chau-chan! response:	Eh!
context: I flew! I flew!\Look!\I can fly too.\That's not it, she's not flying.\This is'\A Clow Card!\Chau-chan!\Eh! response:	Join me over here.
context: Look!\I can fly too.\That's not it, she's not flying.\This is'\A Clow Card!\Chau-chan!\Eh!\Join me over here. response:	Oh no!
context: I can fly too.\That's not it, she's not flying.\This is'\A Clow Card!\Chau-chan!\Eh!\Join me over here.\Oh no! response:	Oh!
context: That's not it, she's not flying.\This is'\A Clow Card!\Chau-chan!\Eh!\Join me over here.\Oh no!\Oh! response:	Akane!
context: This is'\A Clow Card!\Chau-chan!\Eh!\Join me over here.\Oh no!\Oh!\Akane! response:	Chau-chan, I can't stop!
context: A Clow Card!\Chau-chan!\Eh!\Join me over here.\Oh no!\Oh!\Akane!\Chau-chan, I can't stop! response:	That is the Float card.
context: Chau-chan!\Eh!\Join me over here.\Oh no!\Oh!\Akane!\Chau-chan, I can't stop!\That is the Float card. response:	Give back Akane!
context: Eh!\Join me over here.\Oh no!\Oh!\Akane!\Chau-chan, I can't stop!\That is the Float card.\Give back Akane! response:	Chau-chan!
context: Join me over here.\Oh no!\Oh!\Akane!\Chau-chan, I can't stop!\That is the Float card.\Give back Akane!\Chau-chan! response:	Stop!
context: Oh no!\Oh!\Akane!\Chau-chan, I can't stop!\That is the Float card.\Give back Akane!\Chau-chan!\Stop! response:	If this goes on
context: Oh!\Akane!\Chau-chan, I can't stop!\That is the Float card.\Give back Akane!\Chau-chan!\Stop!\If this goes on response:	you really will go to where your papa is.
context: Akane!\Chau-chan, I can't stop!\That is the Float card.\Give back Akane!\Chau-chan!\Stop!\If this goes on\you really will go to where your papa is. response:	Damn.
context: Chau-chan, I can't stop!\That is the Float card.\Give back Akane!\Chau-chan!\Stop!\If this goes on\you really will go to where your papa is.\Damn. response:	Akane, wait for me!
context: That is the Float card.\Give back Akane!\Chau-chan!\Stop!\If this goes on\you really will go to where your papa is.\Damn.\Akane, wait for me! response:	I'll show you my perseverance!
context: Give back Akane!\Chau-chan!\Stop!\If this goes on\you really will go to where your papa is.\Damn.\Akane, wait for me!\I'll show you my perseverance! response:	Oh, no. I'm falling.
context: Chau-chan!\Stop!\If this goes on\you really will go to where your papa is.\Damn.\Akane, wait for me!\I'll show you my perseverance!\Oh, no. I'm falling. response:	Kero-chan.
context: Stop!\If this goes on\you really will go to where your papa is.\Damn.\Akane, wait for me!\I'll show you my perseverance!\Oh, no. I'm falling.\Kero-chan. response:	Sakura,
context: If this goes on\you really will go to where your papa is.\Damn.\Akane, wait for me!\I'll show you my perseverance!\Oh, no. I'm falling.\Kero-chan.\Sakura, response:	you saved me.
context: you really will go to where your papa is.\Damn.\Akane, wait for me!\I'll show you my perseverance!\Oh, no. I'm falling.\Kero-chan.\Sakura,\you saved me. response:	But why are you here?
context: Damn.\Akane, wait for me!\I'll show you my perseverance!\Oh, no. I'm falling.\Kero-chan.\Sakura,\you saved me.\But why are you here? response:	Tomoyo-chan searched for it.
context: Akane, wait for me!\I'll show you my perseverance!\Oh, no. I'm falling.\Kero-chan.\Sakura,\you saved me.\But why are you here?\Tomoyo-chan searched for it. response:	Is that because of a card?
