context: How's it going, Lucy-neesan? Have you found the ancient letters? response:	Nope. I'm not having any luck at all...
context: Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival!\Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed!\Hey!\What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time! response:	You're the cause of this!
context: Festival, I say! Festival!\Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed!\Hey!\What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time!\You're the cause of this! response:	This is wonderful! There are so many food stands!
context: Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed!\Hey!\What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time!\You're the cause of this!\This is wonderful! There are so many food stands! response:	You've really got an appetite tonight...
context: That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed!\Hey!\What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time!\You're the cause of this!\This is wonderful! There are so many food stands!\You've really got an appetite tonight... response:	What's this festival about?
context: Agreed!\Hey!\What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time!\You're the cause of this!\This is wonderful! There are so many food stands!\You've really got an appetite tonight...\What's this festival about? response:	We heard the news about your duel...
context: Hey!\What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time!\You're the cause of this!\This is wonderful! There are so many food stands!\You've really got an appetite tonight...\What's this festival about?\We heard the news about your duel... response:	They said it's a festival to get pumped up about the main event tomorrow.
context: What the heck is this?! There's a festival goin' on?!\Looks like everyone's having a good time!\You're the cause of this!\This is wonderful! There are so many food stands!\You've really got an appetite tonight...\What's this festival about?\We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow. response:	Huh...
context: Looks like everyone's having a good time!\You're the cause of this!\This is wonderful! There are so many food stands!\You've really got an appetite tonight...\What's this festival about?\We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow.\Huh... response:	It's really because everyone here loves a good festival.
context: You're the cause of this!\This is wonderful! There are so many food stands!\You've really got an appetite tonight...\What's this festival about?\We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow.\Huh...\It's really because everyone here loves a good festival. response:	Well, we haven't been getting anywhere with those ancient letters,
context: This is wonderful! There are so many food stands!\You've really got an appetite tonight...\What's this festival about?\We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow.\Huh...\It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters, response:	so this is a perfect way for us to let off some steam, too...
context: You've really got an appetite tonight...\What's this festival about?\We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow.\Huh...\It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too... response:	That over there looks delicious, too!
context: What's this festival about?\We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow.\Huh...\It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too! response:	Cool! Cool! Coool!
context: We heard the news about your duel...\They said it's a festival to get pumped up about the main event tomorrow.\Huh...\It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too!\Cool! Cool! Coool! response:	Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!
context: They said it's a festival to get pumped up about the main event tomorrow.\Huh...\It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too!\Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer! response:	Meeting again after seven years! And a festival to celebrate a duel!
context: Huh...\It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too!\Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel! response:	I've been waiting for this day to come!
context: It's really because everyone here loves a good festival.\Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too!\Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come! response:	Pipe down!
context: Well, we haven't been getting anywhere with those ancient letters,\so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too!\Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come!\Pipe down! response:	Just get the show on the road!
context: so this is a perfect way for us to let off some steam, too...\That over there looks delicious, too!\Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come!\Pipe down!\Just get the show on the road! response:	Alright, alright, let me introduce the guest you've all been waiting for...
context: That over there looks delicious, too!\Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come!\Pipe down!\Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for... response:	The eternal songstress, Mirajane!
context: Cool! Cool! Coool!\Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come!\Pipe down!\Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane! response:	Yay!
context: Long time no see, everyone! Your reporter Jason here, from Weekly Sorcerer!\Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come!\Pipe down!\Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane!\Yay! response:	You're gonna get some rock tonight.
context: Meeting again after seven years! And a festival to celebrate a duel!\I've been waiting for this day to come!\Pipe down!\Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane!\Yay!\You're gonna get some rock tonight. response:	Attagirl, Neechan!
context: I've been waiting for this day to come!\Pipe down!\Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane!\Yay!\You're gonna get some rock tonight.\Attagirl, Neechan! response:	Do it up!
context: Pipe down!\Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane!\Yay!\You're gonna get some rock tonight.\Attagirl, Neechan!\Do it up! response:	That's what I had in mind, anyway, but I've got a sore throat...
context: Just get the show on the road!\Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane!\Yay!\You're gonna get some rock tonight.\Attagirl, Neechan!\Do it up!\That's what I had in mind, anyway, but I've got a sore throat... response:	Natsu, shouldn't you do something to get ready for tomorrow's fight?
context: Alright, alright, let me introduce the guest you've all been waiting for...\The eternal songstress, Mirajane!\Yay!\You're gonna get some rock tonight.\Attagirl, Neechan!\Do it up!\That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight? response:	Not necessary.
context: The eternal songstress, Mirajane!\Yay!\You're gonna get some rock tonight.\Attagirl, Neechan!\Do it up!\That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary. response:	All I gotta do is pound the hell outta him with the power I've got.
context: Yay!\You're gonna get some rock tonight.\Attagirl, Neechan!\Do it up!\That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary.\All I gotta do is pound the hell outta him with the power I've got. response:	I see. So you haven't put any thought into it at all...
context: You're gonna get some rock tonight.\Attagirl, Neechan!\Do it up!\That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary.\All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all... response:	Come to think of it, I wonder what Gajeel's up to...
context: Attagirl, Neechan!\Do it up!\That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary.\All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to... response:	That bastard hates to lose,
context: Do it up!\That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary.\All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose, response:	so he's probably off doin' some special training somewhere.
context: That's what I had in mind, anyway, but I've got a sore throat...\Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary.\All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose,\so he's probably off doin' some special training somewhere. response:	And so, I would like to introduce a soulful singer in my stead!
context: Natsu, shouldn't you do something to get ready for tomorrow's fight?\Not necessary.\All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose,\so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead! response:	Take it away!
context: Not necessary.\All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose,\so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead!\Take it away! response:	That's Gajeel!
context: All I gotta do is pound the hell outta him with the power I've got.\I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose,\so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead!\Take it away!\That's Gajeel! response:	That's special training?!
context: I see. So you haven't put any thought into it at all...\Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose,\so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead!\Take it away!\That's Gajeel!\That's special training?! response:	Thanks for comin' here tonight on my behalf.
context: Come to think of it, I wonder what Gajeel's up to...\That bastard hates to lose,\so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead!\Take it away!\That's Gajeel!\That's special training?!\Thanks for comin' here tonight on my behalf. response:	We didn't come for you!
context: That bastard hates to lose,\so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead!\Take it away!\That's Gajeel!\That's special training?!\Thanks for comin' here tonight on my behalf.\We didn't come for you! response:	Well, since you demanded it, I'm gonna favor you with an original song!
context: so he's probably off doin' some special training somewhere.\And so, I would like to introduce a soulful singer in my stead!\Take it away!\That's Gajeel!\That's special training?!\Thanks for comin' here tonight on my behalf.\We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song! response:	Nobody demanded it!
context: And so, I would like to introduce a soulful singer in my stead!\Take it away!\That's Gajeel!\That's special training?!\Thanks for comin' here tonight on my behalf.\We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it! response:	Listen up now, to... Best Friend!
context: Take it away!\That's Gajeel!\That's special training?!\Thanks for comin' here tonight on my behalf.\We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it!\Listen up now, to... Best Friend! response:	That again?!
context: That's Gajeel!\That's special training?!\Thanks for comin' here tonight on my behalf.\We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it!\Listen up now, to... Best Friend!\That again?! response:	Colorful, colorful... Shooby doo bop!
context: That's special training?!\Thanks for comin' here tonight on my behalf.\We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it!\Listen up now, to... Best Friend!\That again?!\Colorful, colorful... Shooby doo bop! response:	Tremble with love, steel grey metallic!
context: Thanks for comin' here tonight on my behalf.\We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it!\Listen up now, to... Best Friend!\That again?!\Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic! response:	A guitar and a white suit just doesn't go with Gajeel...
context: We didn't come for you!\Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it!\Listen up now, to... Best Friend!\That again?!\Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel... response:	And his song is weird, too...
context: Well, since you demanded it, I'm gonna favor you with an original song!\Nobody demanded it!\Listen up now, to... Best Friend!\That again?!\Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too... response:	Yeah, right?!
context: Nobody demanded it!\Listen up now, to... Best Friend!\That again?!\Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too...\Yeah, right?! response:	Levy-chan, you're back?!
context: Listen up now, to... Best Friend!\That again?!\Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too...\Yeah, right?!\Levy-chan, you're back?! response:	Yeah. I was out on my first job with Shadow Gear for a long time.
context: That again?!\Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too...\Yeah, right?!\Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time. response:	Bite into it, hard! Sweet honey...
context: Colorful, colorful... Shooby doo bop!\Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too...\Yeah, right?!\Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey... response:	Actually, there are some characters I'd like you to figure out, Levy-chan!
context: Tremble with love, steel grey metallic!\A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too...\Yeah, right?!\Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan! response:	Thank you!
context: A guitar and a white suit just doesn't go with Gajeel...\And his song is weird, too...\Yeah, right?!\Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you! response:	Guess we'll camp out here for the night...
context: And his song is weird, too...\Yeah, right?!\Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you!\Guess we'll camp out here for the night... response:	Even though I thought we'd have this wrapped up while it was still light out...
context: Yeah, right?!\Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you!\Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out... response:	At least we know where their hideout is.
context: Levy-chan, you're back?!\Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you!\Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is. response:	All we have to do now is wait'til they come back with the gold.
context: Yeah. I was out on my first job with Shadow Gear for a long time.\Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you!\Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold. response:	Right...
context: Bite into it, hard! Sweet honey...\Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you!\Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold.\Right... response:	Still, this is awkward...
context: Actually, there are some characters I'd like you to figure out, Levy-chan!\Thank you!\Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold.\Right...\Still, this is awkward... response:	Being alone with Erza...
context: Thank you!\Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold.\Right...\Still, this is awkward...\Being alone with Erza... response:	It's like we've got nothing to say to each other...
context: Guess we'll camp out here for the night...\Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold.\Right...\Still, this is awkward...\Being alone with Erza...\It's like we've got nothing to say to each other... response:	Gray...
context: Even though I thought we'd have this wrapped up while it was still light out...\At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold.\Right...\Still, this is awkward...\Being alone with Erza...\It's like we've got nothing to say to each other...\Gray... response:	Aren't you going to strip?
context: At least we know where their hideout is.\All we have to do now is wait'til they come back with the gold.\Right...\Still, this is awkward...\Being alone with Erza...\It's like we've got nothing to say to each other...\Gray...\Aren't you going to strip? response:	You can sleep better in the buff, yes?
context: All we have to do now is wait'til they come back with the gold.\Right...\Still, this is awkward...\Being alone with Erza...\It's like we've got nothing to say to each other...\Gray...\Aren't you going to strip?\You can sleep better in the buff, yes? response:	Where is this going?!
context: Right...\Still, this is awkward...\Being alone with Erza...\It's like we've got nothing to say to each other...\Gray...\Aren't you going to strip?\You can sleep better in the buff, yes?\Where is this going?! response:	Yeah, well, it depends on my mood...
context: Still, this is awkward...\Being alone with Erza...\It's like we've got nothing to say to each other...\Gray...\Aren't you going to strip?\You can sleep better in the buff, yes?\Where is this going?!\Yeah, well, it depends on my mood... response:	I mean, look at you, still wearing your armor...
context: Being alone with Erza...\It's like we've got nothing to say to each other...\Gray...\Aren't you going to strip?\You can sleep better in the buff, yes?\Where is this going?!\Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor... response:	Now that you mention it... Good point.
context: It's like we've got nothing to say to each other...\Gray...\Aren't you going to strip?\You can sleep better in the buff, yes?\Where is this going?!\Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor...\Now that you mention it... Good point. response:	Gray...
context: Gray...\Aren't you going to strip?\You can sleep better in the buff, yes?\Where is this going?!\Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor...\Now that you mention it... Good point.\Gray... response:	To bed.
context: Aren't you going to strip?\You can sleep better in the buff, yes?\Where is this going?!\Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor...\Now that you mention it... Good point.\Gray...\To bed. response:	Y-Yeah...
context: You can sleep better in the buff, yes?\Where is this going?!\Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor...\Now that you mention it... Good point.\Gray...\To bed.\Y-Yeah... response:	What's happening here?! What's happening here?!
context: Where is this going?!\Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor...\Now that you mention it... Good point.\Gray...\To bed.\Y-Yeah...\What's happening here?! What's happening here?! response:	Telling him right out, To bed?!
context: Yeah, well, it depends on my mood...\I mean, look at you, still wearing your armor...\Now that you mention it... Good point.\Gray...\To bed.\Y-Yeah...\What's happening here?! What's happening here?!\Telling him right out, To bed?! response:	Oh, if only he said it like that to Juvia...
context: I mean, look at you, still wearing your armor...\Now that you mention it... Good point.\Gray...\To bed.\Y-Yeah...\What's happening here?! What's happening here?!\Telling him right out, To bed?!\Oh, if only he said it like that to Juvia... response:	Juvia, let's go to bed.
context: Now that you mention it... Good point.\Gray...\To bed.\Y-Yeah...\What's happening here?! What's happening here?!\Telling him right out, To bed?!\Oh, if only he said it like that to Juvia...\Juvia, let's go to bed. response:	This is no time to be imagining that!
context: Gray...\To bed.\Y-Yeah...\What's happening here?! What's happening here?!\Telling him right out, To bed?!\Oh, if only he said it like that to Juvia...\Juvia, let's go to bed.\This is no time to be imagining that! response:	She's sleeping already?
context: To bed.\Y-Yeah...\What's happening here?! What's happening here?!\Telling him right out, To bed?!\Oh, if only he said it like that to Juvia...\Juvia, let's go to bed.\This is no time to be imagining that!\She's sleeping already? response:	Jeez, doesn't she have even an ounce of caution?
context: Y-Yeah...\What's happening here?! What's happening here?!\Telling him right out, To bed?!\Oh, if only he said it like that to Juvia...\Juvia, let's go to bed.\This is no time to be imagining that!\She's sleeping already?\Jeez, doesn't she have even an ounce of caution? response:	Yeesh. She's got a pretty face when she's quiet like this...
context: What's happening here?! What's happening here?!\Telling him right out, To bed?!\Oh, if only he said it like that to Juvia...\Juvia, let's go to bed.\This is no time to be imagining that!\She's sleeping already?\Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this... response:	They're back.
context: Telling him right out, To bed?!\Oh, if only he said it like that to Juvia...\Juvia, let's go to bed.\This is no time to be imagining that!\She's sleeping already?\Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this...\They're back. response:	R-Right...
context: Oh, if only he said it like that to Juvia...\Juvia, let's go to bed.\This is no time to be imagining that!\She's sleeping already?\Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this...\They're back.\R-Right... response:	Let's go.
context: Juvia, let's go to bed.\This is no time to be imagining that!\She's sleeping already?\Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this...\They're back.\R-Right...\Let's go. response:	Alright!
context: This is no time to be imagining that!\She's sleeping already?\Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this...\They're back.\R-Right...\Let's go.\Alright! response:	Thank goodness nothing happened...
context: She's sleeping already?\Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this...\They're back.\R-Right...\Let's go.\Alright!\Thank goodness nothing happened... response:	Halt!
context: Jeez, doesn't she have even an ounce of caution?\Yeesh. She's got a pretty face when she's quiet like this...\They're back.\R-Right...\Let's go.\Alright!\Thank goodness nothing happened...\Halt! response:	Who the hell are you?!
context: Yeesh. She's got a pretty face when she's quiet like this...\They're back.\R-Right...\Let's go.\Alright!\Thank goodness nothing happened...\Halt!\Who the hell are you?! response:	I'm Erza Scarlet of Fairy Tail!
context: They're back.\R-Right...\Let's go.\Alright!\Thank goodness nothing happened...\Halt!\Who the hell are you?!\I'm Erza Scarlet of Fairy Tail! response:	I don't think there's any need to introduce ourselves to these bums.
context: R-Right...\Let's go.\Alright!\Thank goodness nothing happened...\Halt!\Who the hell are you?!\I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums. response:	We're here by request of the owner of that gold you stole.
context: Let's go.\Alright!\Thank goodness nothing happened...\Halt!\Who the hell are you?!\I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole. response:	Don't bother resisting. Just hand over the gold.
context: Alright!\Thank goodness nothing happened...\Halt!\Who the hell are you?!\I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold. response:	We thought something like this could happen,
context: Thank goodness nothing happened...\Halt!\Who the hell are you?!\I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold.\We thought something like this could happen, response:	so we hired a couple bodyguards!
context: Halt!\Who the hell are you?!\I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold.\We thought something like this could happen,\so we hired a couple bodyguards! response:	That's your cue!
context: Who the hell are you?!\I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold.\We thought something like this could happen,\so we hired a couple bodyguards!\That's your cue! response:	If you want a big chunk of the loot, do a good job, gentlemen!
context: I'm Erza Scarlet of Fairy Tail!\I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold.\We thought something like this could happen,\so we hired a couple bodyguards!\That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen! response:	Good evening.
context: I don't think there's any need to introduce ourselves to these bums.\We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold.\We thought something like this could happen,\so we hired a couple bodyguards!\That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen!\Good evening. response:	We're the notorious Vanish Brothers!
context: We're here by request of the owner of that gold you stole.\Don't bother resisting. Just hand over the gold.\We thought something like this could happen,\so we hired a couple bodyguards!\That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen!\Good evening.\We're the notorious Vanish Brothers! response:	Vanish Brothers... I've heard of you.
context: Don't bother resisting. Just hand over the gold.\We thought something like this could happen,\so we hired a couple bodyguards!\That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen!\Good evening.\We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you. response:	If I recall, you're the guys Natsu beat the hell out of
context: We thought something like this could happen,\so we hired a couple bodyguards!\That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen!\Good evening.\We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of response:	at Duke Everlue's mansion.
context: so we hired a couple bodyguards!\That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen!\Good evening.\We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion. response:	That was a long time ago.
context: That's your cue!\If you want a big chunk of the loot, do a good job, gentlemen!\Good evening.\We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion.\That was a long time ago. response:	Since then, we've had so much training that we're powerful enough
context: If you want a big chunk of the loot, do a good job, gentlemen!\Good evening.\We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion.\That was a long time ago.\Since then, we've had so much training that we're powerful enough response:	to face even Erza of Fairy Tail without fear.
context: Good evening.\We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion.\That was a long time ago.\Since then, we've had so much training that we're powerful enough\to face even Erza of Fairy Tail without fear. response:	Amusing. Yes, show us how powerful a mercenary guild is.
context: We're the notorious Vanish Brothers!\Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion.\That was a long time ago.\Since then, we've had so much training that we're powerful enough\to face even Erza of Fairy Tail without fear.\Amusing. Yes, show us how powerful a mercenary guild is. response:	No, I'm going to handle these two alone.
context: Vanish Brothers... I've heard of you.\If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion.\That was a long time ago.\Since then, we've had so much training that we're powerful enough\to face even Erza of Fairy Tail without fear.\Amusing. Yes, show us how powerful a mercenary guild is.\No, I'm going to handle these two alone. response:	What?!
context: If I recall, you're the guys Natsu beat the hell out of\at Duke Everlue's mansion.\That was a long time ago.\Since then, we've had so much training that we're powerful enough\to face even Erza of Fairy Tail without fear.\Amusing. Yes, show us how powerful a mercenary guild is.\No, I'm going to handle these two alone.\What?! response:	Natsu beat you by himself, didn't he? Then naturally, so will I.
context: at Duke Everlue's mansion.\That was a long time ago.\Since then, we've had so much training that we're powerful enough\to face even Erza of Fairy Tail without fear.\Amusing. Yes, show us how powerful a mercenary guild is.\No, I'm going to handle these two alone.\What?!\Natsu beat you by himself, didn't he? Then naturally, so will I. response:	Brother, this guy is making light of us.
