context: My first time switching schools... response:	Dad decided to open a studio in the countryside,
context: Twelve more seconds.\Fine, fine.\Your routine is important to you. I get it.\That girl...\Fukami-san?\Yeah?\She's cute, don't you think?\So cold. response:	What's keeping him? He should be on his shorter route today.
context: Fine, fine.\Your routine is important to you. I get it.\That girl...\Fukami-san?\Yeah?\She's cute, don't you think?\So cold.\What's keeping him? He should be on his shorter route today. response:	I'm home.
context: Your routine is important to you. I get it.\That girl...\Fukami-san?\Yeah?\She's cute, don't you think?\So cold.\What's keeping him? He should be on his shorter route today.\I'm home. response:	Are you going to the fireworks with everyone, like always?
context: That girl...\Fukami-san?\Yeah?\She's cute, don't you think?\So cold.\What's keeping him? He should be on his shorter route today.\I'm home.\Are you going to the fireworks with everyone, like always? response:	Yeah, I plan to.
context: Fukami-san?\Yeah?\She's cute, don't you think?\So cold.\What's keeping him? He should be on his shorter route today.\I'm home.\Are you going to the fireworks with everyone, like always?\Yeah, I plan to. response:	What about you two?
context: Yeah?\She's cute, don't you think?\So cold.\What's keeping him? He should be on his shorter route today.\I'm home.\Are you going to the fireworks with everyone, like always?\Yeah, I plan to.\What about you two? response:	We'll be watching from the rooftop as usual.
context: She's cute, don't you think?\So cold.\What's keeping him? He should be on his shorter route today.\I'm home.\Are you going to the fireworks with everyone, like always?\Yeah, I plan to.\What about you two?\We'll be watching from the rooftop as usual. response:	We've invited the Fukami-san family, too.
context: So cold.\What's keeping him? He should be on his shorter route today.\I'm home.\Are you going to the fireworks with everyone, like always?\Yeah, I plan to.\What about you two?\We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too. response:	Fukami-san?
context: What's keeping him? He should be on his shorter route today.\I'm home.\Are you going to the fireworks with everyone, like always?\Yeah, I plan to.\What about you two?\We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too.\Fukami-san? response:	They have daughters in high school and middle school.
context: I'm home.\Are you going to the fireworks with everyone, like always?\Yeah, I plan to.\What about you two?\We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too.\Fukami-san?\They have daughters in high school and middle school. response:	Didn't I mention?
context: Are you going to the fireworks with everyone, like always?\Yeah, I plan to.\What about you two?\We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too.\Fukami-san?\They have daughters in high school and middle school.\Didn't I mention? response:	They're opening a glassware studio nearby.
context: Yeah, I plan to.\What about you two?\We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too.\Fukami-san?\They have daughters in high school and middle school.\Didn't I mention?\They're opening a glassware studio nearby. response:	Isn't it nice?
context: What about you two?\We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too.\Fukami-san?\They have daughters in high school and middle school.\Didn't I mention?\They're opening a glassware studio nearby.\Isn't it nice? response:	It turns out they're in my fan club, too.
context: We'll be watching from the rooftop as usual.\We've invited the Fukami-san family, too.\Fukami-san?\They have daughters in high school and middle school.\Didn't I mention?\They're opening a glassware studio nearby.\Isn't it nice?\It turns out they're in my fan club, too. response:	I have plans to meet up with the older girl at Hinode-hama Shrine later.
context: We've invited the Fukami-san family, too.\Fukami-san?\They have daughters in high school and middle school.\Didn't I mention?\They're opening a glassware studio nearby.\Isn't it nice?\It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later. response:	What?
context: Fukami-san?\They have daughters in high school and middle school.\Didn't I mention?\They're opening a glassware studio nearby.\Isn't it nice?\It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later.\What? response:	It just kinda happened.
context: They have daughters in high school and middle school.\Didn't I mention?\They're opening a glassware studio nearby.\Isn't it nice?\It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later.\What?\It just kinda happened. response:	It's going to be really crowded.
context: Didn't I mention?\They're opening a glassware studio nearby.\Isn't it nice?\It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later.\What?\It just kinda happened.\It's going to be really crowded. response:	It's her first time in Hinode-hama, right?
context: They're opening a glassware studio nearby.\Isn't it nice?\It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later.\What?\It just kinda happened.\It's going to be really crowded.\It's her first time in Hinode-hama, right? response:	Do you think you can find her?
context: Isn't it nice?\It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later.\What?\It just kinda happened.\It's going to be really crowded.\It's her first time in Hinode-hama, right?\Do you think you can find her? response:	Oh, yeah, I guess I should go pick her up.
context: It turns out they're in my fan club, too.\I have plans to meet up with the older girl at Hinode-hama Shrine later.\What?\It just kinda happened.\It's going to be really crowded.\It's her first time in Hinode-hama, right?\Do you think you can find her?\Oh, yeah, I guess I should go pick her up. response:	Oh, looks like they're already here.
context: I have plans to meet up with the older girl at Hinode-hama Shrine later.\What?\It just kinda happened.\It's going to be really crowded.\It's her first time in Hinode-hama, right?\Do you think you can find her?\Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here. response:	She called me on her cell phone before we got here,
context: What?\It just kinda happened.\It's going to be really crowded.\It's her first time in Hinode-hama, right?\Do you think you can find her?\Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here.\She called me on her cell phone before we got here, response:	and she said she wanted to look around the city.
context: It just kinda happened.\It's going to be really crowded.\It's her first time in Hinode-hama, right?\Do you think you can find her?\Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here.\She called me on her cell phone before we got here,\and she said she wanted to look around the city. response:	I see.
context: It's going to be really crowded.\It's her first time in Hinode-hama, right?\Do you think you can find her?\Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here.\She called me on her cell phone before we got here,\and she said she wanted to look around the city.\I see. response:	Do you need Touko's cell phone number?
context: It's her first time in Hinode-hama, right?\Do you think you can find her?\Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here.\She called me on her cell phone before we got here,\and she said she wanted to look around the city.\I see.\Do you need Touko's cell phone number? response:	Yes, please.
context: Do you think you can find her?\Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here.\She called me on her cell phone before we got here,\and she said she wanted to look around the city.\I see.\Do you need Touko's cell phone number?\Yes, please. response:	Onee-chan moves fast.
context: Oh, yeah, I guess I should go pick her up.\Oh, looks like they're already here.\She called me on her cell phone before we got here,\and she said she wanted to look around the city.\I see.\Do you need Touko's cell phone number?\Yes, please.\Onee-chan moves fast. response:	I know, in a blink of an eye. I wonder who she got that from.
context: Oh, looks like they're already here.\She called me on her cell phone before we got here,\and she said she wanted to look around the city.\I see.\Do you need Touko's cell phone number?\Yes, please.\Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from. response:	She seems to have a fever.
context: She called me on her cell phone before we got here,\and she said she wanted to look around the city.\I see.\Do you need Touko's cell phone number?\Yes, please.\Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever. response:	Anyway, come in.
context: and she said she wanted to look around the city.\I see.\Do you need Touko's cell phone number?\Yes, please.\Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever.\Anyway, come in. response:	Thank you.
context: I see.\Do you need Touko's cell phone number?\Yes, please.\Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever.\Anyway, come in.\Thank you. response:	Sacchan, are you okay?
context: Do you need Touko's cell phone number?\Yes, please.\Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever.\Anyway, come in.\Thank you.\Sacchan, are you okay? response:	Do you think you can make it?
context: Yes, please.\Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever.\Anyway, come in.\Thank you.\Sacchan, are you okay?\Do you think you can make it? response:	Sorry.
context: Onee-chan moves fast.\I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever.\Anyway, come in.\Thank you.\Sacchan, are you okay?\Do you think you can make it?\Sorry. response:	Damn, I don't have my phone, either.
context: I know, in a blink of an eye. I wonder who she got that from.\She seems to have a fever.\Anyway, come in.\Thank you.\Sacchan, are you okay?\Do you think you can make it?\Sorry.\Damn, I don't have my phone, either. response:	Wow.
context: She seems to have a fever.\Anyway, come in.\Thank you.\Sacchan, are you okay?\Do you think you can make it?\Sorry.\Damn, I don't have my phone, either.\Wow. response:	It's so pretty.
context: Anyway, come in.\Thank you.\Sacchan, are you okay?\Do you think you can make it?\Sorry.\Damn, I don't have my phone, either.\Wow.\It's so pretty. response:	I'll be at the neighborhood association.
context: Thank you.\Sacchan, are you okay?\Do you think you can make it?\Sorry.\Damn, I don't have my phone, either.\Wow.\It's so pretty.\I'll be at the neighborhood association. response:	Okay. Don't be too late.
context: Sacchan, are you okay?\Do you think you can make it?\Sorry.\Damn, I don't have my phone, either.\Wow.\It's so pretty.\I'll be at the neighborhood association.\Okay. Don't be too late. response:	Okay.
context: Do you think you can make it?\Sorry.\Damn, I don't have my phone, either.\Wow.\It's so pretty.\I'll be at the neighborhood association.\Okay. Don't be too late.\Okay. response:	Sorry, please take care of Sachi for me.
context: Sorry.\Damn, I don't have my phone, either.\Wow.\It's so pretty.\I'll be at the neighborhood association.\Okay. Don't be too late.\Okay.\Sorry, please take care of Sachi for me. response:	I will. Leave it to me.
context: Damn, I don't have my phone, either.\Wow.\It's so pretty.\I'll be at the neighborhood association.\Okay. Don't be too late.\Okay.\Sorry, please take care of Sachi for me.\I will. Leave it to me. response:	Yuki, that idiot. It's already starting!
context: Wow.\It's so pretty.\I'll be at the neighborhood association.\Okay. Don't be too late.\Okay.\Sorry, please take care of Sachi for me.\I will. Leave it to me.\Yuki, that idiot. It's already starting! response:	Hey.
context: It's so pretty.\I'll be at the neighborhood association.\Okay. Don't be too late.\Okay.\Sorry, please take care of Sachi for me.\I will. Leave it to me.\Yuki, that idiot. It's already starting!\Hey. response:	Hey, don't take off on your own!
context: I'll be at the neighborhood association.\Okay. Don't be too late.\Okay.\Sorry, please take care of Sachi for me.\I will. Leave it to me.\Yuki, that idiot. It's already starting!\Hey.\Hey, don't take off on your own! response:	What? You're late.
context: Okay. Don't be too late.\Okay.\Sorry, please take care of Sachi for me.\I will. Leave it to me.\Yuki, that idiot. It's already starting!\Hey.\Hey, don't take off on your own!\What? You're late. response:	Hey!
context: Okay.\Sorry, please take care of Sachi for me.\I will. Leave it to me.\Yuki, that idiot. It's already starting!\Hey.\Hey, don't take off on your own!\What? You're late.\Hey! response:	Yeah?
context: Sorry, please take care of Sachi for me.\I will. Leave it to me.\Yuki, that idiot. It's already starting!\Hey.\Hey, don't take off on your own!\What? You're late.\Hey!\Yeah? response:	What is it?
context: I will. Leave it to me.\Yuki, that idiot. It's already starting!\Hey.\Hey, don't take off on your own!\What? You're late.\Hey!\Yeah?\What is it? response:	No, I
context: Yuki, that idiot. It's already starting!\Hey.\Hey, don't take off on your own!\What? You're late.\Hey!\Yeah?\What is it?\No, I response:	What? Is something wrong?
context: Hey.\Hey, don't take off on your own!\What? You're late.\Hey!\Yeah?\What is it?\No, I\What? Is something wrong? response:	What, they don't remember me?
context: Hey, don't take off on your own!\What? You're late.\Hey!\Yeah?\What is it?\No, I\What? Is something wrong?\What, they don't remember me? response:	But we just met.
context: What? You're late.\Hey!\Yeah?\What is it?\No, I\What? Is something wrong?\What, they don't remember me?\But we just met. response:	Are they acting?
context: Hey!\Yeah?\What is it?\No, I\What? Is something wrong?\What, they don't remember me?\But we just met.\Are they acting? response:	Is this a prank?
context: Yeah?\What is it?\No, I\What? Is something wrong?\What, they don't remember me?\But we just met.\Are they acting?\Is this a prank? response:	Are they serious?
context: What is it?\No, I\What? Is something wrong?\What, they don't remember me?\But we just met.\Are they acting?\Is this a prank?\Are they serious? response:	They seriously don't recognize me?
context: No, I\What? Is something wrong?\What, they don't remember me?\But we just met.\Are they acting?\Is this a prank?\Are they serious?\They seriously don't recognize me? response:	It's nothing, thanks.
context: What? Is something wrong?\What, they don't remember me?\But we just met.\Are they acting?\Is this a prank?\Are they serious?\They seriously don't recognize me?\It's nothing, thanks. response:	Is there anything we can
context: What, they don't remember me?\But we just met.\Are they acting?\Is this a prank?\Are they serious?\They seriously don't recognize me?\It's nothing, thanks.\Is there anything we can response:	No, it's fine, really.
context: But we just met.\Are they acting?\Is this a prank?\Are they serious?\They seriously don't recognize me?\It's nothing, thanks.\Is there anything we can\No, it's fine, really. response:	Weird girl.
context: Are they acting?\Is this a prank?\Are they serious?\They seriously don't recognize me?\It's nothing, thanks.\Is there anything we can\No, it's fine, really.\Weird girl. response:	Yeah.
context: Is this a prank?\Are they serious?\They seriously don't recognize me?\It's nothing, thanks.\Is there anything we can\No, it's fine, really.\Weird girl.\Yeah. response:	Hina, I bet you wanted to go with Kakeru-kun.
context: Are they serious?\They seriously don't recognize me?\It's nothing, thanks.\Is there anything we can\No, it's fine, really.\Weird girl.\Yeah.\Hina, I bet you wanted to go with Kakeru-kun. response:	Nope, I don't like crowds.
context: They seriously don't recognize me?\It's nothing, thanks.\Is there anything we can\No, it's fine, really.\Weird girl.\Yeah.\Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds. response:	Oh, yeah?
context: It's nothing, thanks.\Is there anything we can\No, it's fine, really.\Weird girl.\Yeah.\Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds.\Oh, yeah? response:	I wonder if Onee-chan's making the most of it.
context: Is there anything we can\No, it's fine, really.\Weird girl.\Yeah.\Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds.\Oh, yeah?\I wonder if Onee-chan's making the most of it. response:	Tamaya!
context: No, it's fine, really.\Weird girl.\Yeah.\Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds.\Oh, yeah?\I wonder if Onee-chan's making the most of it.\Tamaya! response:	You know some pretty old cheers, Hina-chan.
context: Weird girl.\Yeah.\Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds.\Oh, yeah?\I wonder if Onee-chan's making the most of it.\Tamaya!\You know some pretty old cheers, Hina-chan. response:	It's pretty awesome this year, too.
context: Yeah.\Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds.\Oh, yeah?\I wonder if Onee-chan's making the most of it.\Tamaya!\You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too. response:	Sorry.
context: Hina, I bet you wanted to go with Kakeru-kun.\Nope, I don't like crowds.\Oh, yeah?\I wonder if Onee-chan's making the most of it.\Tamaya!\You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too.\Sorry. response:	It's okay.
context: Nope, I don't like crowds.\Oh, yeah?\I wonder if Onee-chan's making the most of it.\Tamaya!\You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too.\Sorry.\It's okay. response:	I finally found you.
context: Oh, yeah?\I wonder if Onee-chan's making the most of it.\Tamaya!\You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too.\Sorry.\It's okay.\I finally found you. response:	Hurry!
context: I wonder if Onee-chan's making the most of it.\Tamaya!\You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too.\Sorry.\It's okay.\I finally found you.\Hurry! response:	Wait up!
context: Tamaya!\You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too.\Sorry.\It's okay.\I finally found you.\Hurry!\Wait up! response:	I thought I'd lost you.
context: You know some pretty old cheers, Hina-chan.\It's pretty awesome this year, too.\Sorry.\It's okay.\I finally found you.\Hurry!\Wait up!\I thought I'd lost you. response:	You can see me?
context: It's pretty awesome this year, too.\Sorry.\It's okay.\I finally found you.\Hurry!\Wait up!\I thought I'd lost you.\You can see me? response:	Never mind.
context: Sorry.\It's okay.\I finally found you.\Hurry!\Wait up!\I thought I'd lost you.\You can see me?\Never mind. response:	I was worried. You wouldn't pick up your phone either.
context: It's okay.\I finally found you.\Hurry!\Wait up!\I thought I'd lost you.\You can see me?\Never mind.\I was worried. You wouldn't pick up your phone either. response:	It's turned off.
context: I finally found you.\Hurry!\Wait up!\I thought I'd lost you.\You can see me?\Never mind.\I was worried. You wouldn't pick up your phone either.\It's turned off. response:	Is everyone else here yet?
context: Hurry!\Wait up!\I thought I'd lost you.\You can see me?\Never mind.\I was worried. You wouldn't pick up your phone either.\It's turned off.\Is everyone else here yet? response:	Over there.
context: Wait up!\I thought I'd lost you.\You can see me?\Never mind.\I was worried. You wouldn't pick up your phone either.\It's turned off.\Is everyone else here yet?\Over there. response:	But it's weird.
context: I thought I'd lost you.\You can see me?\Never mind.\I was worried. You wouldn't pick up your phone either.\It's turned off.\Is everyone else here yet?\Over there.\But it's weird. response:	It's like they can't see me.
context: You can see me?\Never mind.\I was worried. You wouldn't pick up your phone either.\It's turned off.\Is everyone else here yet?\Over there.\But it's weird.\It's like they can't see me. response:	The fireworks are starting already.
context: Never mind.\I was worried. You wouldn't pick up your phone either.\It's turned off.\Is everyone else here yet?\Over there.\But it's weird.\It's like they can't see me.\The fireworks are starting already. response:	It kinda hurts.
context: I was worried. You wouldn't pick up your phone either.\It's turned off.\Is everyone else here yet?\Over there.\But it's weird.\It's like they can't see me.\The fireworks are starting already.\It kinda hurts. response:	Do you want to watch from here?
context: It's turned off.\Is everyone else here yet?\Over there.\But it's weird.\It's like they can't see me.\The fireworks are starting already.\It kinda hurts.\Do you want to watch from here? response:	Aren't they waiting at the shrine?
context: Is everyone else here yet?\Over there.\But it's weird.\It's like they can't see me.\The fireworks are starting already.\It kinda hurts.\Do you want to watch from here?\Aren't they waiting at the shrine? response:	It'll be nice for a change.
context: Over there.\But it's weird.\It's like they can't see me.\The fireworks are starting already.\It kinda hurts.\Do you want to watch from here?\Aren't they waiting at the shrine?\It'll be nice for a change. response:	Doesn't look like we'll be able to make it to the shrine.
context: But it's weird.\It's like they can't see me.\The fireworks are starting already.\It kinda hurts.\Do you want to watch from here?\Aren't they waiting at the shrine?\It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine. response:	Sorry.
context: It's like they can't see me.\The fireworks are starting already.\It kinda hurts.\Do you want to watch from here?\Aren't they waiting at the shrine?\It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine.\Sorry. response:	It's okay. We'll make do by ourselves this year.
context: The fireworks are starting already.\It kinda hurts.\Do you want to watch from here?\Aren't they waiting at the shrine?\It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine.\Sorry.\It's okay. We'll make do by ourselves this year. response:	Variety is the, uh, what was it
context: It kinda hurts.\Do you want to watch from here?\Aren't they waiting at the shrine?\It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine.\Sorry.\It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it response:	Spice of life?
context: Do you want to watch from here?\Aren't they waiting at the shrine?\It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine.\Sorry.\It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it\Spice of life? response:	Yeah, that's it.
context: Aren't they waiting at the shrine?\It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine.\Sorry.\It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it\Spice of life?\Yeah, that's it. response:	Another spice of life.
context: It'll be nice for a change.\Doesn't look like we'll be able to make it to the shrine.\Sorry.\It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it\Spice of life?\Yeah, that's it.\Another spice of life. response:	It's so pretty.
context: Doesn't look like we'll be able to make it to the shrine.\Sorry.\It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it\Spice of life?\Yeah, that's it.\Another spice of life.\It's so pretty. response:	Can I see, too, Sachi?
context: Sorry.\It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it\Spice of life?\Yeah, that's it.\Another spice of life.\It's so pretty.\Can I see, too, Sachi? response:	I'm next.
context: It's okay. We'll make do by ourselves this year.\Variety is the, uh, what was it\Spice of life?\Yeah, that's it.\Another spice of life.\It's so pretty.\Can I see, too, Sachi?\I'm next. response:	You're so obvious.
context: Variety is the, uh, what was it\Spice of life?\Yeah, that's it.\Another spice of life.\It's so pretty.\Can I see, too, Sachi?\I'm next.\You're so obvious. response:	About what?
context: Spice of life?\Yeah, that's it.\Another spice of life.\It's so pretty.\Can I see, too, Sachi?\I'm next.\You're so obvious.\About what? response:	Fine, fine, you're next.
context: Yeah, that's it.\Another spice of life.\It's so pretty.\Can I see, too, Sachi?\I'm next.\You're so obvious.\About what?\Fine, fine, you're next. response:	I don't think that counts as an indirect kiss, though.
context: Another spice of life.\It's so pretty.\Can I see, too, Sachi?\I'm next.\You're so obvious.\About what?\Fine, fine, you're next.\I don't think that counts as an indirect kiss, though. response:	Indirect what?
context: It's so pretty.\Can I see, too, Sachi?\I'm next.\You're so obvious.\About what?\Fine, fine, you're next.\I don't think that counts as an indirect kiss, though.\Indirect what? response:	Here.
context: Can I see, too, Sachi?\I'm next.\You're so obvious.\About what?\Fine, fine, you're next.\I don't think that counts as an indirect kiss, though.\Indirect what?\Here. response:	Is this the world of my fragments of the future?
context: I'm next.\You're so obvious.\About what?\Fine, fine, you're next.\I don't think that counts as an indirect kiss, though.\Indirect what?\Here.\Is this the world of my fragments of the future? response:	Seems like it.
context: You're so obvious.\About what?\Fine, fine, you're next.\I don't think that counts as an indirect kiss, though.\Indirect what?\Here.\Is this the world of my fragments of the future?\Seems like it. response:	So you're the Kakeru-kun that I imagined?
context: About what?\Fine, fine, you're next.\I don't think that counts as an indirect kiss, though.\Indirect what?\Here.\Is this the world of my fragments of the future?\Seems like it.\So you're the Kakeru-kun that I imagined? response:	Yeah,
context: Fine, fine, you're next.\I don't think that counts as an indirect kiss, though.\Indirect what?\Here.\Is this the world of my fragments of the future?\Seems like it.\So you're the Kakeru-kun that I imagined?\Yeah, response:	and I'm different again from my earlier self.
context: I don't think that counts as an indirect kiss, though.\Indirect what?\Here.\Is this the world of my fragments of the future?\Seems like it.\So you're the Kakeru-kun that I imagined?\Yeah,\and I'm different again from my earlier self. response:	You could say I'm a projection of
context: Indirect what?\Here.\Is this the world of my fragments of the future?\Seems like it.\So you're the Kakeru-kun that I imagined?\Yeah,\and I'm different again from my earlier self.\You could say I'm a projection of response:	myself from your reality.
context: Here.\Is this the world of my fragments of the future?\Seems like it.\So you're the Kakeru-kun that I imagined?\Yeah,\and I'm different again from my earlier self.\You could say I'm a projection of\myself from your reality. response:	So you are Kakeru-kun from my imaginary world.
context: Is this the world of my fragments of the future?\Seems like it.\So you're the Kakeru-kun that I imagined?\Yeah,\and I'm different again from my earlier self.\You could say I'm a projection of\myself from your reality.\So you are Kakeru-kun from my imaginary world. response:	That would be correct.
context: Seems like it.\So you're the Kakeru-kun that I imagined?\Yeah,\and I'm different again from my earlier self.\You could say I'm a projection of\myself from your reality.\So you are Kakeru-kun from my imaginary world.\That would be correct. response:	So what about Yana-chan and the others, over there?
context: So you're the Kakeru-kun that I imagined?\Yeah,\and I'm different again from my earlier self.\You could say I'm a projection of\myself from your reality.\So you are Kakeru-kun from my imaginary world.\That would be correct.\So what about Yana-chan and the others, over there? response:	They're not real either,
context: Yeah,\and I'm different again from my earlier self.\You could say I'm a projection of\myself from your reality.\So you are Kakeru-kun from my imaginary world.\That would be correct.\So what about Yana-chan and the others, over there?\They're not real either, response:	in a different sense.
context: and I'm different again from my earlier self.\You could say I'm a projection of\myself from your reality.\So you are Kakeru-kun from my imaginary world.\That would be correct.\So what about Yana-chan and the others, over there?\They're not real either,\in a different sense. response:	They're not real?
context: You could say I'm a projection of\myself from your reality.\So you are Kakeru-kun from my imaginary world.\That would be correct.\So what about Yana-chan and the others, over there?\They're not real either,\in a different sense.\They're not real? response:	They might have had some reasons that they couldn't get together here.
context: myself from your reality.\So you are Kakeru-kun from my imaginary world.\That would be correct.\So what about Yana-chan and the others, over there?\They're not real either,\in a different sense.\They're not real?\They might have had some reasons that they couldn't get together here. response:	Are you real?
context: So you are Kakeru-kun from my imaginary world.\That would be correct.\So what about Yana-chan and the others, over there?\They're not real either,\in a different sense.\They're not real?\They might have had some reasons that they couldn't get together here.\Are you real? response:	Yeah, I'm definitely real.
context: That would be correct.\So what about Yana-chan and the others, over there?\They're not real either,\in a different sense.\They're not real?\They might have had some reasons that they couldn't get together here.\Are you real?\Yeah, I'm definitely real. response:	And my loneliness earlier?
context: So what about Yana-chan and the others, over there?\They're not real either,\in a different sense.\They're not real?\They might have had some reasons that they couldn't get together here.\Are you real?\Yeah, I'm definitely real.\And my loneliness earlier? response:	During the fireworks show,
context: They're not real either,\in a different sense.\They're not real?\They might have had some reasons that they couldn't get together here.\Are you real?\Yeah, I'm definitely real.\And my loneliness earlier?\During the fireworks show, response:	I can't be seen by the Yana-chan and Sacchan
context: in a different sense.\They're not real?\They might have had some reasons that they couldn't get together here.\Are you real?\Yeah, I'm definitely real.\And my loneliness earlier?\During the fireworks show,\I can't be seen by the Yana-chan and Sacchan response:	and Hiro-kun and Yuki-kun of this world.
context: They're not real?\They might have had some reasons that they couldn't get together here.\Are you real?\Yeah, I'm definitely real.\And my loneliness earlier?\During the fireworks show,\I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world. response:	Because I don't have an unforgettable place
context: They might have had some reasons that they couldn't get together here.\Are you real?\Yeah, I'm definitely real.\And my loneliness earlier?\During the fireworks show,\I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place response:	where I spent time with them.
context: Are you real?\Yeah, I'm definitely real.\And my loneliness earlier?\During the fireworks show,\I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place\where I spent time with them. response:	Right, Kakeru-kun?
context: Yeah, I'm definitely real.\And my loneliness earlier?\During the fireworks show,\I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place\where I spent time with them.\Right, Kakeru-kun? response:	Nothing.
context: And my loneliness earlier?\During the fireworks show,\I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place\where I spent time with them.\Right, Kakeru-kun?\Nothing. response:	It's nothing.
context: During the fireworks show,\I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place\where I spent time with them.\Right, Kakeru-kun?\Nothing.\It's nothing. response:	I like the name Touko.
context: I can't be seen by the Yana-chan and Sacchan\and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place\where I spent time with them.\Right, Kakeru-kun?\Nothing.\It's nothing.\I like the name Touko. response:	I'll hear it later.
context: and Hiro-kun and Yuki-kun of this world.\Because I don't have an unforgettable place\where I spent time with them.\Right, Kakeru-kun?\Nothing.\It's nothing.\I like the name Touko.\I'll hear it later. response:	Keep your promise.
context: Because I don't have an unforgettable place\where I spent time with them.\Right, Kakeru-kun?\Nothing.\It's nothing.\I like the name Touko.\I'll hear it later.\Keep your promise. response:	It changed?
context: where I spent time with them.\Right, Kakeru-kun?\Nothing.\It's nothing.\I like the name Touko.\I'll hear it later.\Keep your promise.\It changed? response:	It's my fault.
context: Right, Kakeru-kun?\Nothing.\It's nothing.\I like the name Touko.\I'll hear it later.\Keep your promise.\It changed?\It's my fault. response:	Final Episode Shooting Star
context: Nothing.\It's nothing.\I like the name Touko.\I'll hear it later.\Keep your promise.\It changed?\It's my fault.\Final Episode Shooting Star response:	Don't go.
