context: Mongolia response:	Pub
context: Ah!\Hinata just...\When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball?\Yeah.\You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up... response:	It's the best feeling.
context: Hinata just...\When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball?\Yeah.\You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up...\It's the best feeling. response:	A feint?!
context: When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball?\Yeah.\You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up...\It's the best feeling.\A feint?! response:	You're the one who taught it to him.
context: there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball?\Yeah.\You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up...\It's the best feeling.\A feint?!\You're the one who taught it to him. response:	You actually used your head?
context: You know how a handful of receivers will dive for the falling ball?\Yeah.\You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up...\It's the best feeling.\A feint?!\You're the one who taught it to him.\You actually used your head? response:	You're gonna get a fever.
context: Yeah.\You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up...\It's the best feeling.\A feint?!\You're the one who taught it to him.\You actually used your head?\You're gonna get a fever. response:	You are the only person who doesn't get to say stuff like that to me.
context: You're usually eye level with them or above,\but the moment they try to reach for the ball, miss, then look up...\It's the best feeling.\A feint?!\You're the one who taught it to him.\You actually used your head?\You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me. response:	Hmph! I'm not gonna let them get any more points.
context: but the moment they try to reach for the ball, miss, then look up...\It's the best feeling.\A feint?!\You're the one who taught it to him.\You actually used your head?\You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points. response:	I don't think that's going to be possible.
context: It's the best feeling.\A feint?!\You're the one who taught it to him.\You actually used your head?\You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible. response:	Akaashi, back me up once in a while!
context: A feint?!\You're the one who taught it to him.\You actually used your head?\You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible.\Akaashi, back me up once in a while! response:	Damn that little Shrimpy!
context: You're the one who taught it to him.\You actually used your head?\You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible.\Akaashi, back me up once in a while!\Damn that little Shrimpy! response:	We're not gonna lose!
context: You actually used your head?\You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible.\Akaashi, back me up once in a while!\Damn that little Shrimpy!\We're not gonna lose! response:	Karasuno Fukurodani
context: You're gonna get a fever.\You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible.\Akaashi, back me up once in a while!\Damn that little Shrimpy!\We're not gonna lose!\Karasuno Fukurodani response:	2! 2!
context: You are the only person who doesn't get to say stuff like that to me.\Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible.\Akaashi, back me up once in a while!\Damn that little Shrimpy!\We're not gonna lose!\Karasuno Fukurodani\2! 2! response:	All right!
context: Hmph! I'm not gonna let them get any more points.\I don't think that's going to be possible.\Akaashi, back me up once in a while!\Damn that little Shrimpy!\We're not gonna lose!\Karasuno Fukurodani\2! 2!\All right! response:	Ready and...
context: I don't think that's going to be possible.\Akaashi, back me up once in a while!\Damn that little Shrimpy!\We're not gonna lose!\Karasuno Fukurodani\2! 2!\All right!\Ready and... response:	They all seem to be enjoying themselves.
context: Akaashi, back me up once in a while!\Damn that little Shrimpy!\We're not gonna lose!\Karasuno Fukurodani\2! 2!\All right!\Ready and...\They all seem to be enjoying themselves. response:	One touch!
context: Damn that little Shrimpy!\We're not gonna lose!\Karasuno Fukurodani\2! 2!\All right!\Ready and...\They all seem to be enjoying themselves.\One touch! response:	Got it!
context: We're not gonna lose!\Karasuno Fukurodani\2! 2!\All right!\Ready and...\They all seem to be enjoying themselves.\One touch!\Got it! response:	I wonder if it's because of Bokuto-kun's influence.
context: Karasuno Fukurodani\2! 2!\All right!\Ready and...\They all seem to be enjoying themselves.\One touch!\Got it!\I wonder if it's because of Bokuto-kun's influence. response:	All right!
context: 2! 2!\All right!\Ready and...\They all seem to be enjoying themselves.\One touch!\Got it!\I wonder if it's because of Bokuto-kun's influence.\All right! response:	Wow, a dump!
context: All right!\Ready and...\They all seem to be enjoying themselves.\One touch!\Got it!\I wonder if it's because of Bokuto-kun's influence.\All right!\Wow, a dump! response:	Kageyama-kun's doing very well.
context: Ready and...\They all seem to be enjoying themselves.\One touch!\Got it!\I wonder if it's because of Bokuto-kun's influence.\All right!\Wow, a dump!\Kageyama-kun's doing very well. response:	He hasn't missed a jump serve today, either.
context: They all seem to be enjoying themselves.\One touch!\Got it!\I wonder if it's because of Bokuto-kun's influence.\All right!\Wow, a dump!\Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either. response:	Yeah, Kageyama today is like...
context: One touch!\Got it!\I wonder if it's because of Bokuto-kun's influence.\All right!\Wow, a dump!\Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like... response:	Calm and collected.
context: Got it!\I wonder if it's because of Bokuto-kun's influence.\All right!\Wow, a dump!\Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like...\Calm and collected. response:	He gives you the same uneasy feeling as the calm before a storm.
context: I wonder if it's because of Bokuto-kun's influence.\All right!\Wow, a dump!\Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like...\Calm and collected.\He gives you the same uneasy feeling as the calm before a storm. response:	One more, Tsukishima! Nice serve!
context: All right!\Wow, a dump!\Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like...\Calm and collected.\He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve! response:	I feel like everything I ate this morning is gone from my stomach,
context: Wow, a dump!\Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like...\Calm and collected.\He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach, response:	but I'm still not hungry.
context: Kageyama-kun's doing very well.\He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like...\Calm and collected.\He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry. response:	My body's more responsive than usual,
context: He hasn't missed a jump serve today, either.\Yeah, Kageyama today is like...\Calm and collected.\He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry.\My body's more responsive than usual, response:	and I can see everyone moving around me.
context: Yeah, Kageyama today is like...\Calm and collected.\He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry.\My body's more responsive than usual,\and I can see everyone moving around me. response:	I can tell how well I'm doing, too.
context: Calm and collected.\He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry.\My body's more responsive than usual,\and I can see everyone moving around me.\I can tell how well I'm doing, too. response:	All right!
context: He gives you the same uneasy feeling as the calm before a storm.\One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry.\My body's more responsive than usual,\and I can see everyone moving around me.\I can tell how well I'm doing, too.\All right! response:	The same goes for everyone else.
context: One more, Tsukishima! Nice serve!\I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry.\My body's more responsive than usual,\and I can see everyone moving around me.\I can tell how well I'm doing, too.\All right!\The same goes for everyone else. response:	Nice, Daichi-san!
context: I feel like everything I ate this morning is gone from my stomach,\but I'm still not hungry.\My body's more responsive than usual,\and I can see everyone moving around me.\I can tell how well I'm doing, too.\All right!\The same goes for everyone else.\Nice, Daichi-san! response:	Is this because of the barbecue?
context: but I'm still not hungry.\My body's more responsive than usual,\and I can see everyone moving around me.\I can tell how well I'm doing, too.\All right!\The same goes for everyone else.\Nice, Daichi-san!\Is this because of the barbecue? response:	Hinata's doing well, too.
context: My body's more responsive than usual,\and I can see everyone moving around me.\I can tell how well I'm doing, too.\All right!\The same goes for everyone else.\Nice, Daichi-san!\Is this because of the barbecue?\Hinata's doing well, too. response:	He's not making any unnecessary movements.
context: and I can see everyone moving around me.\I can tell how well I'm doing, too.\All right!\The same goes for everyone else.\Nice, Daichi-san!\Is this because of the barbecue?\Hinata's doing well, too.\He's not making any unnecessary movements. response:	We just might...
context: I can tell how well I'm doing, too.\All right!\The same goes for everyone else.\Nice, Daichi-san!\Is this because of the barbecue?\Hinata's doing well, too.\He's not making any unnecessary movements.\We just might... response:	But...
context: All right!\The same goes for everyone else.\Nice, Daichi-san!\Is this because of the barbecue?\Hinata's doing well, too.\He's not making any unnecessary movements.\We just might...\But... response:	Asahi-san, nice receive!
context: The same goes for everyone else.\Nice, Daichi-san!\Is this because of the barbecue?\Hinata's doing well, too.\He's not making any unnecessary movements.\We just might...\But...\Asahi-san, nice receive! response:	Is he planning on doing the new quick?
context: Nice, Daichi-san!\Is this because of the barbecue?\Hinata's doing well, too.\He's not making any unnecessary movements.\We just might...\But...\Asahi-san, nice receive!\Is he planning on doing the new quick? response:	But if we miss, the good atmosphere surrounding the team might shatter.
context: Is this because of the barbecue?\Hinata's doing well, too.\He's not making any unnecessary movements.\We just might...\But...\Asahi-san, nice receive!\Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter. response:	We should just hold off on the new quick
context: Hinata's doing well, too.\He's not making any unnecessary movements.\We just might...\But...\Asahi-san, nice receive!\Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick response:	until the chance of success is higher...
context: He's not making any unnecessary movements.\We just might...\But...\Asahi-san, nice receive!\Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick\until the chance of success is higher... response:	You're not gonna do it?
context: We just might...\But...\Asahi-san, nice receive!\Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick\until the chance of success is higher...\You're not gonna do it? response:	The ball's coming...
context: But...\Asahi-san, nice receive!\Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick\until the chance of success is higher...\You're not gonna do it?\The ball's coming... response:	And...
context: Asahi-san, nice receive!\Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick\until the chance of success is higher...\You're not gonna do it?\The ball's coming...\And... response:	It stops.
context: Is he planning on doing the new quick?\But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick\until the chance of success is higher...\You're not gonna do it?\The ball's coming...\And...\It stops. response:	You've got to be kidding me!
context: But if we miss, the good atmosphere surrounding the team might shatter.\We should just hold off on the new quick\until the chance of success is higher...\You're not gonna do it?\The ball's coming...\And...\It stops.\You've got to be kidding me! response:	If you're gonna do that, let me know sooner!
context: We should just hold off on the new quick\until the chance of success is higher...\You're not gonna do it?\The ball's coming...\And...\It stops.\You've got to be kidding me!\If you're gonna do that, let me know sooner! response:	I just felt like we could pull it off! Didn't you?!
context: until the chance of success is higher...\You're not gonna do it?\The ball's coming...\And...\It stops.\You've got to be kidding me!\If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?! response:	What the heck? Is the weirdo quick making a comeback?
context: You're not gonna do it?\The ball's coming...\And...\It stops.\You've got to be kidding me!\If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback? response:	I did, but it was too sudden!
context: The ball's coming...\And...\It stops.\You've got to be kidding me!\If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden! response:	Not quite.
context: And...\It stops.\You've got to be kidding me!\If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden!\Not quite. response:	I've got to mentally prepare, and stuff!
context: It stops.\You've got to be kidding me!\If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden!\Not quite.\I've got to mentally prepare, and stuff! response:	That was... different from the quick they were doing in the beginning.
context: You've got to be kidding me!\If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden!\Not quite.\I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning. response:	Who cares?! We actually did it!
context: If you're gonna do that, let me know sooner!\I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden!\Not quite.\I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it! response:	The first...
context: I just felt like we could pull it off! Didn't you?!\What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden!\Not quite.\I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it!\The first... response:	Haikyu!!
context: What the heck? Is the weirdo quick making a comeback?\I did, but it was too sudden!\Not quite.\I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it!\The first...\Haikyu!! response:	Haikyu!!
context: I did, but it was too sudden!\Not quite.\I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it!\The first...\Haikyu!!\Haikyu!! response:	The ball's coming...
context: Not quite.\I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it!\The first...\Haikyu!!\Haikyu!!\The ball's coming... response:	And...
context: I've got to mentally prepare, and stuff!\That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it!\The first...\Haikyu!!\Haikyu!!\The ball's coming...\And... response:	It stops.
context: That was... different from the quick they were doing in the beginning.\Who cares?! We actually did it!\The first...\Haikyu!!\Haikyu!!\The ball's coming...\And...\It stops. response:	Karasuno Fukurodani
context: Who cares?! We actually did it!\The first...\Haikyu!!\Haikyu!!\The ball's coming...\And...\It stops.\Karasuno Fukurodani response:	All right!
context: The first...\Haikyu!!\Haikyu!!\The ball's coming...\And...\It stops.\Karasuno Fukurodani\All right! response:	All right!
context: Haikyu!!\Haikyu!!\The ball's coming...\And...\It stops.\Karasuno Fukurodani\All right!\All right! response:	What the heck was that?!
context: Haikyu!!\The ball's coming...\And...\It stops.\Karasuno Fukurodani\All right!\All right!\What the heck was that?! response:	That was awesome!
context: The ball's coming...\And...\It stops.\Karasuno Fukurodani\All right!\All right!\What the heck was that?!\That was awesome! response:	Nice, Hinata, Kageyama!
context: And...\It stops.\Karasuno Fukurodani\All right!\All right!\What the heck was that?!\That was awesome!\Nice, Hinata, Kageyama! response:	Hey, Akaashi. Was that really that amazing?
context: It stops.\Karasuno Fukurodani\All right!\All right!\What the heck was that?!\That was awesome!\Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing? response:	Could we do it, too?
context: Karasuno Fukurodani\All right!\All right!\What the heck was that?!\That was awesome!\Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing?\Could we do it, too? response:	That's something we should never try.
context: All right!\All right!\What the heck was that?!\That was awesome!\Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing?\Could we do it, too?\That's something we should never try. response:	Hinata hit it like it was nothing,
context: All right!\What the heck was that?!\That was awesome!\Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing?\Could we do it, too?\That's something we should never try.\Hinata hit it like it was nothing, response:	but I believe it would take a lot of practice to hit a toss like that.
context: What the heck was that?!\That was awesome!\Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing?\Could we do it, too?\That's something we should never try.\Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that. response:	Not to mention...
context: That was awesome!\Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing?\Could we do it, too?\That's something we should never try.\Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that.\Not to mention... response:	Making a toss float at the point of impact is an incredible move.
context: Nice, Hinata, Kageyama!\Hey, Akaashi. Was that really that amazing?\Could we do it, too?\That's something we should never try.\Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that.\Not to mention...\Making a toss float at the point of impact is an incredible move. response:	At my skill level, that's impossible.
context: Hey, Akaashi. Was that really that amazing?\Could we do it, too?\That's something we should never try.\Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that.\Not to mention...\Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible. response:	You're not gonna do it?
context: Could we do it, too?\That's something we should never try.\Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that.\Not to mention...\Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible.\You're not gonna do it? response:	He encouraged me again, damn it.
context: That's something we should never try.\Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that.\Not to mention...\Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible.\You're not gonna do it?\He encouraged me again, damn it. response:	What? You wanna start somethin'?
context: Hinata hit it like it was nothing,\but I believe it would take a lot of practice to hit a toss like that.\Not to mention...\Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible.\You're not gonna do it?\He encouraged me again, damn it.\What? You wanna start somethin'? response:	But that was awesome! So cool!
context: but I believe it would take a lot of practice to hit a toss like that.\Not to mention...\Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible.\You're not gonna do it?\He encouraged me again, damn it.\What? You wanna start somethin'?\But that was awesome! So cool! response:	It stopped right before my eyes!
context: Not to mention...\Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible.\You're not gonna do it?\He encouraged me again, damn it.\What? You wanna start somethin'?\But that was awesome! So cool!\It stopped right before my eyes! response:	It was like shoop!
context: Making a toss float at the point of impact is an incredible move.\At my skill level, that's impossible.\You're not gonna do it?\He encouraged me again, damn it.\What? You wanna start somethin'?\But that was awesome! So cool!\It stopped right before my eyes!\It was like shoop! response:	I totally thought it was coming this time,
context: At my skill level, that's impossible.\You're not gonna do it?\He encouraged me again, damn it.\What? You wanna start somethin'?\But that was awesome! So cool!\It stopped right before my eyes!\It was like shoop!\I totally thought it was coming this time, response:	but when it actually stops right in front of you, it's sorta scary!
context: You're not gonna do it?\He encouraged me again, damn it.\What? You wanna start somethin'?\But that was awesome! So cool!\It stopped right before my eyes!\It was like shoop!\I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary! response:	You really are awesome!
context: He encouraged me again, damn it.\What? You wanna start somethin'?\But that was awesome! So cool!\It stopped right before my eyes!\It was like shoop!\I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary!\You really are awesome! response:	Wh-What... You dumbass...
context: What? You wanna start somethin'?\But that was awesome! So cool!\It stopped right before my eyes!\It was like shoop!\I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary!\You really are awesome!\Wh-What... You dumbass... response:	Awesome! So awesome!
context: But that was awesome! So cool!\It stopped right before my eyes!\It was like shoop!\I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary!\You really are awesome!\Wh-What... You dumbass...\Awesome! So awesome! response:	Kageyama's expression right now is indescribable.
context: It stopped right before my eyes!\It was like shoop!\I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary!\You really are awesome!\Wh-What... You dumbass...\Awesome! So awesome!\Kageyama's expression right now is indescribable. response:	You're so awesome, Kageyama!
context: It was like shoop!\I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary!\You really are awesome!\Wh-What... You dumbass...\Awesome! So awesome!\Kageyama's expression right now is indescribable.\You're so awesome, Kageyama! response:	What happened to his mimetic muscles?
context: I totally thought it was coming this time,\but when it actually stops right in front of you, it's sorta scary!\You really are awesome!\Wh-What... You dumbass...\Awesome! So awesome!\Kageyama's expression right now is indescribable.\You're so awesome, Kageyama!\What happened to his mimetic muscles? response:	It's not often that Hinata compliments Kageyama
context: but when it actually stops right in front of you, it's sorta scary!\You really are awesome!\Wh-What... You dumbass...\Awesome! So awesome!\Kageyama's expression right now is indescribable.\You're so awesome, Kageyama!\What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama response:	in such a straightforward way.
context: You really are awesome!\Wh-What... You dumbass...\Awesome! So awesome!\Kageyama's expression right now is indescribable.\You're so awesome, Kageyama!\What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama\in such a straightforward way. response:	I'm glad we actually believed in this and waited.
context: Wh-What... You dumbass...\Awesome! So awesome!\Kageyama's expression right now is indescribable.\You're so awesome, Kageyama!\What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama\in such a straightforward way.\I'm glad we actually believed in this and waited. response:	Yeah.
context: Awesome! So awesome!\Kageyama's expression right now is indescribable.\You're so awesome, Kageyama!\What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama\in such a straightforward way.\I'm glad we actually believed in this and waited.\Yeah. response:	Anyway, next time, make sure you
context: Kageyama's expression right now is indescribable.\You're so awesome, Kageyama!\What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama\in such a straightforward way.\I'm glad we actually believed in this and waited.\Yeah.\Anyway, next time, make sure you response:	You did it!
context: You're so awesome, Kageyama!\What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama\in such a straightforward way.\I'm glad we actually believed in this and waited.\Yeah.\Anyway, next time, make sure you\You did it! response:	You did it! You did it!
context: What happened to his mimetic muscles?\It's not often that Hinata compliments Kageyama\in such a straightforward way.\I'm glad we actually believed in this and waited.\Yeah.\Anyway, next time, make sure you\You did it!\You did it! You did it! response:	Nice kill, Hinata! Kageyama-kun!
context: It's not often that Hinata compliments Kageyama\in such a straightforward way.\I'm glad we actually believed in this and waited.\Yeah.\Anyway, next time, make sure you\You did it!\You did it! You did it!\Nice kill, Hinata! Kageyama-kun! response:	Finally, after three weeks...
context: in such a straightforward way.\I'm glad we actually believed in this and waited.\Yeah.\Anyway, next time, make sure you\You did it!\You did it! You did it!\Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks... response:	Ever since that fight,
context: I'm glad we actually believed in this and waited.\Yeah.\Anyway, next time, make sure you\You did it!\You did it! You did it!\Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks...\Ever since that fight, response:	Hinata and Kageyama-kun stopped talking to each other.
context: Yeah.\Anyway, next time, make sure you\You did it!\You did it! You did it!\Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks...\Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other. response:	But both of them worked hard on improving.
context: Anyway, next time, make sure you\You did it!\You did it! You did it!\Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks...\Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving. response:	And, now...
context: You did it!\You did it! You did it!\Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks...\Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving.\And, now... response:	The weirdo duo is back in action!
context: You did it! You did it!\Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks...\Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving.\And, now...\The weirdo duo is back in action! response:	One more time!
context: Nice kill, Hinata! Kageyama-kun!\Finally, after three weeks...\Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving.\And, now...\The weirdo duo is back in action!\One more time! response:	I'm so jealous!
context: Finally, after three weeks...\Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving.\And, now...\The weirdo duo is back in action!\One more time!\I'm so jealous! response:	Let me look cool, too!
context: Ever since that fight,\Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving.\And, now...\The weirdo duo is back in action!\One more time!\I'm so jealous!\Let me look cool, too! response:	We can't let them beat us.
context: Hinata and Kageyama-kun stopped talking to each other.\But both of them worked hard on improving.\And, now...\The weirdo duo is back in action!\One more time!\I'm so jealous!\Let me look cool, too!\We can't let them beat us. response:	Let's keep up!
context: But both of them worked hard on improving.\And, now...\The weirdo duo is back in action!\One more time!\I'm so jealous!\Let me look cool, too!\We can't let them beat us.\Let's keep up! response:	Hey, hey, hey!
context: And, now...\The weirdo duo is back in action!\One more time!\I'm so jealous!\Let me look cool, too!\We can't let them beat us.\Let's keep up!\Hey, hey, hey! response:	Don't get cocky, you guys!
context: The weirdo duo is back in action!\One more time!\I'm so jealous!\Let me look cool, too!\We can't let them beat us.\Let's keep up!\Hey, hey, hey!\Don't get cocky, you guys! response:	Hey, hey, hey!
context: One more time!\I'm so jealous!\Let me look cool, too!\We can't let them beat us.\Let's keep up!\Hey, hey, hey!\Don't get cocky, you guys!\Hey, hey, hey! response:	All right!
context: I'm so jealous!\Let me look cool, too!\We can't let them beat us.\Let's keep up!\Hey, hey, hey!\Don't get cocky, you guys!\Hey, hey, hey!\All right! response:	All right!
context: Let me look cool, too!\We can't let them beat us.\Let's keep up!\Hey, hey, hey!\Don't get cocky, you guys!\Hey, hey, hey!\All right!\All right! response:	Shoyo...
context: We can't let them beat us.\Let's keep up!\Hey, hey, hey!\Don't get cocky, you guys!\Hey, hey, hey!\All right!\All right!\Shoyo... response:	Maybe if Shrimpy came to our team,
context: Let's keep up!\Hey, hey, hey!\Don't get cocky, you guys!\Hey, hey, hey!\All right!\All right!\Shoyo...\Maybe if Shrimpy came to our team, response:	you'd feel a bit more motivated.
context: Hey, hey, hey!\Don't get cocky, you guys!\Hey, hey, hey!\All right!\All right!\Shoyo...\Maybe if Shrimpy came to our team,\you'd feel a bit more motivated. response:	I wouldn't be able to be on the same team as Shoyo.
context: Don't get cocky, you guys!\Hey, hey, hey!\All right!\All right!\Shoyo...\Maybe if Shrimpy came to our team,\you'd feel a bit more motivated.\I wouldn't be able to be on the same team as Shoyo. response:	Huh? Why?
context: Hey, hey, hey!\All right!\All right!\Shoyo...\Maybe if Shrimpy came to our team,\you'd feel a bit more motivated.\I wouldn't be able to be on the same team as Shoyo.\Huh? Why? response:	If I'm not able to keep doing new things,
context: All right!\All right!\Shoyo...\Maybe if Shrimpy came to our team,\you'd feel a bit more motivated.\I wouldn't be able to be on the same team as Shoyo.\Huh? Why?\If I'm not able to keep doing new things, response:	I wouldn't be able to keep up with Shoyo.
context: All right!\Shoyo...\Maybe if Shrimpy came to our team,\you'd feel a bit more motivated.\I wouldn't be able to be on the same team as Shoyo.\Huh? Why?\If I'm not able to keep doing new things,\I wouldn't be able to keep up with Shoyo. response:	No matter how well I were to play hookie,
context: Shoyo...\Maybe if Shrimpy came to our team,\you'd feel a bit more motivated.\I wouldn't be able to be on the same team as Shoyo.\Huh? Why?\If I'm not able to keep doing new things,\I wouldn't be able to keep up with Shoyo.\No matter how well I were to play hookie, response:	Shoyo would probably find me out.
context: Maybe if Shrimpy came to our team,\you'd feel a bit more motivated.\I wouldn't be able to be on the same team as Shoyo.\Huh? Why?\If I'm not able to keep doing new things,\I wouldn't be able to keep up with Shoyo.\No matter how well I were to play hookie,\Shoyo would probably find me out. response:	Even that genius first-year setter
