context: I have to rescue Kagome! response:	So don't bother me at a time like this!
context: Stupid!\Hey Shippo! You're all right?\Miroku! Sango!\Look! Inuyasha's been captured!\Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies. response:	Kagome is in the den of the Wolf-Demon Tribe.
context: Hey Shippo! You're all right?\Miroku! Sango!\Look! Inuyasha's been captured!\Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe. response:	I see.
context: Miroku! Sango!\Look! Inuyasha's been captured!\Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe.\I see. response:	And there's a mountain of wolf bones.
context: Look! Inuyasha's been captured!\Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe.\I see.\And there's a mountain of wolf bones. response:	So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!
context: Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe.\I see.\And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?! response:	Inuyasha... you heard?
context: We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe.\I see.\And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard? response:	Damn!
context: What are you saying?!\The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe.\I see.\And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard?\Damn! response:	At this moment, I'm not angry at Wolf-Demons or you birds!
context: The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.\Kagome is in the den of the Wolf-Demon Tribe.\I see.\And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard?\Damn!\At this moment, I'm not angry at Wolf-Demons or you birds! response:	Lemme go!
context: Kagome is in the den of the Wolf-Demon Tribe.\I see.\And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard?\Damn!\At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go! response:	Ouch...
context: I see.\And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard?\Damn!\At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go!\Ouch... response:	The one I wanna kill right now... is you, Miroku!
context: And there's a mountain of wolf bones.\So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard?\Damn!\At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go!\Ouch...\The one I wanna kill right now... is you, Miroku! response:	Come down here and fight me, Miroku!
context: So the Birds of Paradise and the Wolf-Demon Tribe are enemies?!\Inuyasha... you heard?\Damn!\At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go!\Ouch...\The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku! response:	Did you hear him?
context: Inuyasha... you heard?\Damn!\At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go!\Ouch...\The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku!\Did you hear him? response:	We must hurry and rescue Kagome.
context: Damn!\At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go!\Ouch...\The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku!\Did you hear him?\We must hurry and rescue Kagome. response:	Hey! Wait up! Miroku!
context: At this moment, I'm not angry at Wolf-Demons or you birds!\Lemme go!\Ouch...\The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku!\Did you hear him?\We must hurry and rescue Kagome.\Hey! Wait up! Miroku! response:	Don't you dare leave me!
context: Lemme go!\Ouch...\The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku!\Did you hear him?\We must hurry and rescue Kagome.\Hey! Wait up! Miroku!\Don't you dare leave me! response:	Everyone, are you ready?
context: Ouch...\The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku!\Did you hear him?\We must hurry and rescue Kagome.\Hey! Wait up! Miroku!\Don't you dare leave me!\Everyone, are you ready? response:	Yeah!
context: The one I wanna kill right now... is you, Miroku!\Come down here and fight me, Miroku!\Did you hear him?\We must hurry and rescue Kagome.\Hey! Wait up! Miroku!\Don't you dare leave me!\Everyone, are you ready?\Yeah! response:	The Birds of Paradise nest in this mountain?
context: Come down here and fight me, Miroku!\Did you hear him?\We must hurry and rescue Kagome.\Hey! Wait up! Miroku!\Don't you dare leave me!\Everyone, are you ready?\Yeah!\The Birds of Paradise nest in this mountain? response:	Yeah.
context: Did you hear him?\We must hurry and rescue Kagome.\Hey! Wait up! Miroku!\Don't you dare leave me!\Everyone, are you ready?\Yeah!\The Birds of Paradise nest in this mountain?\Yeah. response:	Somewhere in this mountain is one who has the Sacred Jewel.
context: We must hurry and rescue Kagome.\Hey! Wait up! Miroku!\Don't you dare leave me!\Everyone, are you ready?\Yeah!\The Birds of Paradise nest in this mountain?\Yeah.\Somewhere in this mountain is one who has the Sacred Jewel. response:	You must find him.
context: Hey! Wait up! Miroku!\Don't you dare leave me!\Everyone, are you ready?\Yeah!\The Birds of Paradise nest in this mountain?\Yeah.\Somewhere in this mountain is one who has the Sacred Jewel.\You must find him. response:	All right.
context: Don't you dare leave me!\Everyone, are you ready?\Yeah!\The Birds of Paradise nest in this mountain?\Yeah.\Somewhere in this mountain is one who has the Sacred Jewel.\You must find him.\All right. response:	There is a Sacred Jewel fragment here in this mountain.
context: Everyone, are you ready?\Yeah!\The Birds of Paradise nest in this mountain?\Yeah.\Somewhere in this mountain is one who has the Sacred Jewel.\You must find him.\All right.\There is a Sacred Jewel fragment here in this mountain. response:	I must get the Jewel.
context: Yeah!\The Birds of Paradise nest in this mountain?\Yeah.\Somewhere in this mountain is one who has the Sacred Jewel.\You must find him.\All right.\There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel. response:	But Inuyasha...hurry!
context: The Birds of Paradise nest in this mountain?\Yeah.\Somewhere in this mountain is one who has the Sacred Jewel.\You must find him.\All right.\There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel.\But Inuyasha...hurry! response:	Huh?!
context: Yeah.\Somewhere in this mountain is one who has the Sacred Jewel.\You must find him.\All right.\There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel.\But Inuyasha...hurry!\Huh?! response:	They're on to us!
context: Somewhere in this mountain is one who has the Sacred Jewel.\You must find him.\All right.\There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel.\But Inuyasha...hurry!\Huh?!\They're on to us! response:	Hey guys! I'm leaving the small fry to you!
context: You must find him.\All right.\There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel.\But Inuyasha...hurry!\Huh?!\They're on to us!\Hey guys! I'm leaving the small fry to you! response:	Let's go, Kagome!
context: All right.\There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel.\But Inuyasha...hurry!\Huh?!\They're on to us!\Hey guys! I'm leaving the small fry to you!\Let's go, Kagome! response:	Kagome! Do you see the Sacred Jewel fragment?
context: There is a Sacred Jewel fragment here in this mountain.\I must get the Jewel.\But Inuyasha...hurry!\Huh?!\They're on to us!\Hey guys! I'm leaving the small fry to you!\Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment? response:	I can't look while you fight!
context: I must get the Jewel.\But Inuyasha...hurry!\Huh?!\They're on to us!\Hey guys! I'm leaving the small fry to you!\Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight! response:	There!
context: But Inuyasha...hurry!\Huh?!\They're on to us!\Hey guys! I'm leaving the small fry to you!\Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight!\There! response:	I see it right before us!
context: Huh?!\They're on to us!\Hey guys! I'm leaving the small fry to you!\Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight!\There!\I see it right before us! response:	We've been waiting, Wolf-Demon brat.
context: They're on to us!\Hey guys! I'm leaving the small fry to you!\Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight!\There!\I see it right before us!\We've been waiting, Wolf-Demon brat. response:	You have Sacred Jewel fragments on your body.
context: Hey guys! I'm leaving the small fry to you!\Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight!\There!\I see it right before us!\We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body. response:	We brothers have sought your fragments.
context: Let's go, Kagome!\Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight!\There!\I see it right before us!\We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body.\We brothers have sought your fragments. response:	To think you'd come to us.
context: Kagome! Do you see the Sacred Jewel fragment?\I can't look while you fight!\There!\I see it right before us!\We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body.\We brothers have sought your fragments.\To think you'd come to us. response:	Kagome, where's the Sacred Jewel fragment?
context: I can't look while you fight!\There!\I see it right before us!\We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body.\We brothers have sought your fragments.\To think you'd come to us.\Kagome, where's the Sacred Jewel fragment? response:	The fragment is inside its mouth.
context: There!\I see it right before us!\We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body.\We brothers have sought your fragments.\To think you'd come to us.\Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth. response:	Exactly!
context: I see it right before us!\We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body.\We brothers have sought your fragments.\To think you'd come to us.\Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth.\Exactly! response:	If you want the Sacred Jewel fragment, you must come inside our mouth!
context: We've been waiting, Wolf-Demon brat.\You have Sacred Jewel fragments on your body.\We brothers have sought your fragments.\To think you'd come to us.\Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth.\Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth! response:	Hey you!
context: You have Sacred Jewel fragments on your body.\We brothers have sought your fragments.\To think you'd come to us.\Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth.\Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you! response:	Koga?
context: We brothers have sought your fragments.\To think you'd come to us.\Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth.\Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you!\Koga? response:	Protect Kagome!
context: To think you'd come to us.\Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth.\Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you!\Koga?\Protect Kagome! response:	But what're you gonna do, Koga?
context: Kagome, where's the Sacred Jewel fragment?\The fragment is inside its mouth.\Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you!\Koga?\Protect Kagome!\But what're you gonna do, Koga? response:	I'll cut up its mouth with this!
context: The fragment is inside its mouth.\Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you!\Koga?\Protect Kagome!\But what're you gonna do, Koga?\I'll cut up its mouth with this! response:	You're going after the fragment in its mouth? Impossible for you alone!
context: Exactly!\If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you!\Koga?\Protect Kagome!\But what're you gonna do, Koga?\I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone! response:	Only I can take on that giant ugly bird!
context: If you want the Sacred Jewel fragment, you must come inside our mouth!\Hey you!\Koga?\Protect Kagome!\But what're you gonna do, Koga?\I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird! response:	Here I go!
context: Hey you!\Koga?\Protect Kagome!\But what're you gonna do, Koga?\I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird!\Here I go! response:	Awright, Sis! We'll get you to safety.
context: Koga?\Protect Kagome!\But what're you gonna do, Koga?\I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird!\Here I go!\Awright, Sis! We'll get you to safety. response:	Sis? You mean me?
context: Protect Kagome!\But what're you gonna do, Koga?\I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird!\Here I go!\Awright, Sis! We'll get you to safety.\Sis? You mean me? response:	Of course! You're the boss's woman!
context: But what're you gonna do, Koga?\I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird!\Here I go!\Awright, Sis! We'll get you to safety.\Sis? You mean me?\Of course! You're the boss's woman! response:	Hey! What are you thinking?!
context: I'll cut up its mouth with this!\You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird!\Here I go!\Awright, Sis! We'll get you to safety.\Sis? You mean me?\Of course! You're the boss's woman!\Hey! What are you thinking?! response:	Hey!
context: You're going after the fragment in its mouth? Impossible for you alone!\Only I can take on that giant ugly bird!\Here I go!\Awright, Sis! We'll get you to safety.\Sis? You mean me?\Of course! You're the boss's woman!\Hey! What are you thinking?!\Hey! response:	It's coming your way!
context: Only I can take on that giant ugly bird!\Here I go!\Awright, Sis! We'll get you to safety.\Sis? You mean me?\Of course! You're the boss's woman!\Hey! What are you thinking?!\Hey!\It's coming your way! response:	Sis, watch out!
context: Here I go!\Awright, Sis! We'll get you to safety.\Sis? You mean me?\Of course! You're the boss's woman!\Hey! What are you thinking?!\Hey!\It's coming your way!\Sis, watch out! response:	Sis!
context: Awright, Sis! We'll get you to safety.\Sis? You mean me?\Of course! You're the boss's woman!\Hey! What are you thinking?!\Hey!\It's coming your way!\Sis, watch out!\Sis! response:	I have to save him!
context: Sis? You mean me?\Of course! You're the boss's woman!\Hey! What are you thinking?!\Hey!\It's coming your way!\Sis, watch out!\Sis!\I have to save him! response:	It's too late! He'll be taken to their nest and devoured!
context: Of course! You're the boss's woman!\Hey! What are you thinking?!\Hey!\It's coming your way!\Sis, watch out!\Sis!\I have to save him!\It's too late! He'll be taken to their nest and devoured! response:	Sis!
context: Hey! What are you thinking?!\Hey!\It's coming your way!\Sis, watch out!\Sis!\I have to save him!\It's too late! He'll be taken to their nest and devoured!\Sis! response:	Please hit the mark!
context: Hey!\It's coming your way!\Sis, watch out!\Sis!\I have to save him!\It's too late! He'll be taken to their nest and devoured!\Sis!\Please hit the mark! response:	Bull's eye!
context: It's coming your way!\Sis, watch out!\Sis!\I have to save him!\It's too late! He'll be taken to their nest and devoured!\Sis!\Please hit the mark!\Bull's eye! response:	I'm so glad! Are you all right?
context: Sis, watch out!\Sis!\I have to save him!\It's too late! He'll be taken to their nest and devoured!\Sis!\Please hit the mark!\Bull's eye!\I'm so glad! Are you all right? response:	- Amazing! - Who is she anyway?!
context: Sis!\I have to save him!\It's too late! He'll be taken to their nest and devoured!\Sis!\Please hit the mark!\Bull's eye!\I'm so glad! Are you all right?\- Amazing! - Who is she anyway?! response:	Thanks... it's coming again!
context: I have to save him!\It's too late! He'll be taken to their nest and devoured!\Sis!\Please hit the mark!\Bull's eye!\I'm so glad! Are you all right?\- Amazing! - Who is she anyway?!\Thanks... it's coming again! response:	Kagome!
context: It's too late! He'll be taken to their nest and devoured!\Sis!\Please hit the mark!\Bull's eye!\I'm so glad! Are you all right?\- Amazing! - Who is she anyway?!\Thanks... it's coming again!\Kagome! response:	Inu... yasha!
context: Sis!\Please hit the mark!\Bull's eye!\I'm so glad! Are you all right?\- Amazing! - Who is she anyway?!\Thanks... it's coming again!\Kagome!\Inu... yasha! response:	I was so scared!
context: Please hit the mark!\Bull's eye!\I'm so glad! Are you all right?\- Amazing! - Who is she anyway?!\Thanks... it's coming again!\Kagome!\Inu... yasha!\I was so scared! response:	Kagome, are you all right?
context: Bull's eye!\I'm so glad! Are you all right?\- Amazing! - Who is she anyway?!\Thanks... it's coming again!\Kagome!\Inu... yasha!\I was so scared!\Kagome, are you all right? response:	Sango! Miroku!
context: I'm so glad! Are you all right?\- Amazing! - Who is she anyway?!\Thanks... it's coming again!\Kagome!\Inu... yasha!\I was so scared!\Kagome, are you all right?\Sango! Miroku! response:	Kagome!
context: - Amazing! - Who is she anyway?!\Thanks... it's coming again!\Kagome!\Inu... yasha!\I was so scared!\Kagome, are you all right?\Sango! Miroku!\Kagome! response:	Shippo!
context: Thanks... it's coming again!\Kagome!\Inu... yasha!\I was so scared!\Kagome, are you all right?\Sango! Miroku!\Kagome!\Shippo! response:	Kagome, what's going on?
context: Kagome!\Inu... yasha!\I was so scared!\Kagome, are you all right?\Sango! Miroku!\Kagome!\Shippo!\Kagome, what's going on? response:	The Wolf-Demons and the Birds of Paradise...
context: Inu... yasha!\I was so scared!\Kagome, are you all right?\Sango! Miroku!\Kagome!\Shippo!\Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise... response:	are fighting an all-out war.
context: I was so scared!\Kagome, are you all right?\Sango! Miroku!\Kagome!\Shippo!\Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war. response:	We have to do something about the Birds of Paradise!
context: Kagome, are you all right?\Sango! Miroku!\Kagome!\Shippo!\Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war.\We have to do something about the Birds of Paradise! response:	All right. I'll take care of them.
context: Sango! Miroku!\Kagome!\Shippo!\Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war.\We have to do something about the Birds of Paradise!\All right. I'll take care of them. response:	If you value your life... stand back!
context: Kagome!\Shippo!\Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war.\We have to do something about the Birds of Paradise!\All right. I'll take care of them.\If you value your life... stand back! response:	- Amazing! - What was that?!
context: Shippo!\Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war.\We have to do something about the Birds of Paradise!\All right. I'll take care of them.\If you value your life... stand back!\- Amazing! - What was that?! response:	That mutt-face... what a time for him to show up.
context: Kagome, what's going on?\The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war.\We have to do something about the Birds of Paradise!\All right. I'll take care of them.\If you value your life... stand back!\- Amazing! - What was that?!\That mutt-face... what a time for him to show up. response:	I have no time to take you on right now.
context: The Wolf-Demons and the Birds of Paradise...\are fighting an all-out war.\We have to do something about the Birds of Paradise!\All right. I'll take care of them.\If you value your life... stand back!\- Amazing! - What was that?!\That mutt-face... what a time for him to show up.\I have no time to take you on right now. response:	I'll let you go for today. So just go!
context: are fighting an all-out war.\We have to do something about the Birds of Paradise!\All right. I'll take care of them.\If you value your life... stand back!\- Amazing! - What was that?!\That mutt-face... what a time for him to show up.\I have no time to take you on right now.\I'll let you go for today. So just go! response:	Shaddup!
context: We have to do something about the Birds of Paradise!\All right. I'll take care of them.\If you value your life... stand back!\- Amazing! - What was that?!\That mutt-face... what a time for him to show up.\I have no time to take you on right now.\I'll let you go for today. So just go!\Shaddup! response:	You dared to kidnap Kagome and you're gonna pay right now!
context: All right. I'll take care of them.\If you value your life... stand back!\- Amazing! - What was that?!\That mutt-face... what a time for him to show up.\I have no time to take you on right now.\I'll let you go for today. So just go!\Shaddup!\You dared to kidnap Kagome and you're gonna pay right now! response:	Kagome?
context: If you value your life... stand back!\- Amazing! - What was that?!\That mutt-face... what a time for him to show up.\I have no time to take you on right now.\I'll let you go for today. So just go!\Shaddup!\You dared to kidnap Kagome and you're gonna pay right now!\Kagome? response:	Hey, mutt-face.
context: - Amazing! - What was that?!\That mutt-face... what a time for him to show up.\I have no time to take you on right now.\I'll let you go for today. So just go!\Shaddup!\You dared to kidnap Kagome and you're gonna pay right now!\Kagome?\Hey, mutt-face. response:	You can run away, but keep your hands off my woman.
context: That mutt-face... what a time for him to show up.\I have no time to take you on right now.\I'll let you go for today. So just go!\Shaddup!\You dared to kidnap Kagome and you're gonna pay right now!\Kagome?\Hey, mutt-face.\You can run away, but keep your hands off my woman. response:	Your woman?!
context: I have no time to take you on right now.\I'll let you go for today. So just go!\Shaddup!\You dared to kidnap Kagome and you're gonna pay right now!\Kagome?\Hey, mutt-face.\You can run away, but keep your hands off my woman.\Your woman?! response:	A woman who can see the Sacred Jewel... Now she's perfect for me.
context: I'll let you go for today. So just go!\Shaddup!\You dared to kidnap Kagome and you're gonna pay right now!\Kagome?\Hey, mutt-face.\You can run away, but keep your hands off my woman.\Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me. response:	W-what?!
context: Shaddup!\You dared to kidnap Kagome and you're gonna pay right now!\Kagome?\Hey, mutt-face.\You can run away, but keep your hands off my woman.\Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?! response:	Kagome, did you hear what he said?
context: You dared to kidnap Kagome and you're gonna pay right now!\Kagome?\Hey, mutt-face.\You can run away, but keep your hands off my woman.\Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?!\Kagome, did you hear what he said? response:	l-It's a lie!
context: Kagome?\Hey, mutt-face.\You can run away, but keep your hands off my woman.\Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?!\Kagome, did you hear what he said?\l-It's a lie! response:	He's just making it all up!
context: Hey, mutt-face.\You can run away, but keep your hands off my woman.\Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?!\Kagome, did you hear what he said?\l-It's a lie!\He's just making it all up! response:	W-why you! How dare you tell such lies?!
context: You can run away, but keep your hands off my woman.\Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?!\Kagome, did you hear what he said?\l-It's a lie!\He's just making it all up!\W-why you! How dare you tell such lies?! response:	I'm not lying! Kagome is my woman!
context: Your woman?!\A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?!\Kagome, did you hear what he said?\l-It's a lie!\He's just making it all up!\W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman! response:	I'm in love with Kagome!
context: A woman who can see the Sacred Jewel... Now she's perfect for me.\W-what?!\Kagome, did you hear what he said?\l-It's a lie!\He's just making it all up!\W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman!\I'm in love with Kagome! response:	Kagome is better off with me!
context: W-what?!\Kagome, did you hear what he said?\l-It's a lie!\He's just making it all up!\W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman!\I'm in love with Kagome!\Kagome is better off with me! response:	Much better than sticking to some weak mutt!
context: Kagome, did you hear what he said?\l-It's a lie!\He's just making it all up!\W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman!\I'm in love with Kagome!\Kagome is better off with me!\Much better than sticking to some weak mutt! response:	So that she can make a clean break from you...
context: l-It's a lie!\He's just making it all up!\W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman!\I'm in love with Kagome!\Kagome is better off with me!\Much better than sticking to some weak mutt!\So that she can make a clean break from you... response:	I'm gonna kill you one day!
context: He's just making it all up!\W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman!\I'm in love with Kagome!\Kagome is better off with me!\Much better than sticking to some weak mutt!\So that she can make a clean break from you...\I'm gonna kill you one day! response:	Then Kagome... you'll be free to fall in love with me!
context: W-why you! How dare you tell such lies?!\I'm not lying! Kagome is my woman!\I'm in love with Kagome!\Kagome is better off with me!\Much better than sticking to some weak mutt!\So that she can make a clean break from you...\I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me! response:	What a forceful guy!
context: I'm not lying! Kagome is my woman!\I'm in love with Kagome!\Kagome is better off with me!\Much better than sticking to some weak mutt!\So that she can make a clean break from you...\I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me!\What a forceful guy! response:	Actually, I'm quite envious of his personality.
context: I'm in love with Kagome!\Kagome is better off with me!\Much better than sticking to some weak mutt!\So that she can make a clean break from you...\I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me!\What a forceful guy!\Actually, I'm quite envious of his personality. response:	Why you.
context: Kagome is better off with me!\Much better than sticking to some weak mutt!\So that she can make a clean break from you...\I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me!\What a forceful guy!\Actually, I'm quite envious of his personality.\Why you. response:	Calling her Kagome, Kagome, Kagome...
context: Much better than sticking to some weak mutt!\So that she can make a clean break from you...\I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me!\What a forceful guy!\Actually, I'm quite envious of his personality.\Why you.\Calling her Kagome, Kagome, Kagome... response:	Acting so familiar with her!
context: So that she can make a clean break from you...\I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me!\What a forceful guy!\Actually, I'm quite envious of his personality.\Why you.\Calling her Kagome, Kagome, Kagome...\Acting so familiar with her! response:	Fool! I'm too busy, I said. Go away!
context: I'm gonna kill you one day!\Then Kagome... you'll be free to fall in love with me!\What a forceful guy!\Actually, I'm quite envious of his personality.\Why you.\Calling her Kagome, Kagome, Kagome...\Acting so familiar with her!\Fool! I'm too busy, I said. Go away! response:	The Sacred Jewel fragment!
context: Then Kagome... you'll be free to fall in love with me!\What a forceful guy!\Actually, I'm quite envious of his personality.\Why you.\Calling her Kagome, Kagome, Kagome...\Acting so familiar with her!\Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment! response:	Koga! It's up higher!
context: What a forceful guy!\Actually, I'm quite envious of his personality.\Why you.\Calling her Kagome, Kagome, Kagome...\Acting so familiar with her!\Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment!\Koga! It's up higher! response:	W-what?!
context: Actually, I'm quite envious of his personality.\Why you.\Calling her Kagome, Kagome, Kagome...\Acting so familiar with her!\Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment!\Koga! It's up higher!\W-what?! response:	She's calling out to him?!
context: Why you.\Calling her Kagome, Kagome, Kagome...\Acting so familiar with her!\Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment!\Koga! It's up higher!\W-what?!\She's calling out to him?! response:	Even higher? This is the peak!
context: Calling her Kagome, Kagome, Kagome...\Acting so familiar with her!\Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment!\Koga! It's up higher!\W-what?!\She's calling out to him?!\Even higher? This is the peak! response:	Take that!
context: Acting so familiar with her!\Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment!\Koga! It's up higher!\W-what?!\She's calling out to him?!\Even higher? This is the peak!\Take that! response:	First, we'll tear off your right arm!
context: Fool! I'm too busy, I said. Go away!\The Sacred Jewel fragment!\Koga! It's up higher!\W-what?!\She's calling out to him?!\Even higher? This is the peak!\Take that!\First, we'll tear off your right arm! response:	Damn!
context: The Sacred Jewel fragment!\Koga! It's up higher!\W-what?!\She's calling out to him?!\Even higher? This is the peak!\Take that!\First, we'll tear off your right arm!\Damn! response:	The fragment on my right arm!
context: Koga! It's up higher!\W-what?!\She's calling out to him?!\Even higher? This is the peak!\Take that!\First, we'll tear off your right arm!\Damn!\The fragment on my right arm! response:	It's coming back!
context: W-what?!\She's calling out to him?!\Even higher? This is the peak!\Take that!\First, we'll tear off your right arm!\Damn!\The fragment on my right arm!\It's coming back! response:	It's after the fragments on my legs!
