context: Once upon a time, a witch's curse put a princess into an eternal sleep, response:	and one young man appeared, intending to awake her.
context: Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader?\Come on, steady supply!\The angle is the key in getting him to keep it up.\Was our troupe leader an eel?\What? Come to think of it, before we got to this town...\But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill. response:	That's true.
context: Troupe leader?\Come on, steady supply!\The angle is the key in getting him to keep it up.\Was our troupe leader an eel?\What? Come to think of it, before we got to this town...\But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill.\That's true. response:	Is Rue Princess Tutu?
context: Come on, steady supply!\The angle is the key in getting him to keep it up.\Was our troupe leader an eel?\What? Come to think of it, before we got to this town...\But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill.\That's true.\Is Rue Princess Tutu? response:	What?
context: The angle is the key in getting him to keep it up.\Was our troupe leader an eel?\What? Come to think of it, before we got to this town...\But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill.\That's true.\Is Rue Princess Tutu?\What? response:	What's wrong?
context: Was our troupe leader an eel?\What? Come to think of it, before we got to this town...\But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill.\That's true.\Is Rue Princess Tutu?\What?\What's wrong? response:	Oh, it's nothing. I'm sorry.
context: What? Come to think of it, before we got to this town...\But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill.\That's true.\Is Rue Princess Tutu?\What?\What's wrong?\Oh, it's nothing. I'm sorry. response:	Really? Then let's continue.
context: But of course that can't be, right?\Yeah, no way. Oh, well, it'll save us on the power bill.\That's true.\Is Rue Princess Tutu?\What?\What's wrong?\Oh, it's nothing. I'm sorry.\Really? Then let's continue. response:	Say, just watching is boring, isn't it?
context: Yeah, no way. Oh, well, it'll save us on the power bill.\That's true.\Is Rue Princess Tutu?\What?\What's wrong?\Oh, it's nothing. I'm sorry.\Really? Then let's continue.\Say, just watching is boring, isn't it? response:	Let's see someone else dance.
context: That's true.\Is Rue Princess Tutu?\What?\What's wrong?\Oh, it's nothing. I'm sorry.\Really? Then let's continue.\Say, just watching is boring, isn't it?\Let's see someone else dance. response:	What?
context: Is Rue Princess Tutu?\What?\What's wrong?\Oh, it's nothing. I'm sorry.\Really? Then let's continue.\Say, just watching is boring, isn't it?\Let's see someone else dance.\What? response:	Hey, Paulamoni, this is too sudden...
context: What?\What's wrong?\Oh, it's nothing. I'm sorry.\Really? Then let's continue.\Say, just watching is boring, isn't it?\Let's see someone else dance.\What?\Hey, Paulamoni, this is too sudden... response:	What does it matter? I want to see.
context: What's wrong?\Oh, it's nothing. I'm sorry.\Really? Then let's continue.\Say, just watching is boring, isn't it?\Let's see someone else dance.\What?\Hey, Paulamoni, this is too sudden...\What does it matter? I want to see. response:	But...
context: Oh, it's nothing. I'm sorry.\Really? Then let's continue.\Say, just watching is boring, isn't it?\Let's see someone else dance.\What?\Hey, Paulamoni, this is too sudden...\What does it matter? I want to see.\But... response:	Certainly!
context: Really? Then let's continue.\Say, just watching is boring, isn't it?\Let's see someone else dance.\What?\Hey, Paulamoni, this is too sudden...\What does it matter? I want to see.\But...\Certainly! response:	I shall show you the results of MY lessons!
context: Say, just watching is boring, isn't it?\Let's see someone else dance.\What?\Hey, Paulamoni, this is too sudden...\What does it matter? I want to see.\But...\Certainly!\I shall show you the results of MY lessons! response:	Now, are there any volunteers?
context: Let's see someone else dance.\What?\Hey, Paulamoni, this is too sudden...\What does it matter? I want to see.\But...\Certainly!\I shall show you the results of MY lessons!\Now, are there any volunteers? response:	This is your chance to earn brownie points!
context: What?\Hey, Paulamoni, this is too sudden...\What does it matter? I want to see.\But...\Certainly!\I shall show you the results of MY lessons!\Now, are there any volunteers?\This is your chance to earn brownie points! response:	Even if you lose points, you're just back where you were!
context: Hey, Paulamoni, this is too sudden...\What does it matter? I want to see.\But...\Certainly!\I shall show you the results of MY lessons!\Now, are there any volunteers?\This is your chance to earn brownie points!\Even if you lose points, you're just back where you were! response:	No, no, no! I can't, I can't, I can't!
context: What does it matter? I want to see.\But...\Certainly!\I shall show you the results of MY lessons!\Now, are there any volunteers?\This is your chance to earn brownie points!\Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't! response:	It cannot be helped then. I will pick someone.
context: But...\Certainly!\I shall show you the results of MY lessons!\Now, are there any volunteers?\This is your chance to earn brownie points!\Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone. response:	Rue-s...
context: Certainly!\I shall show you the results of MY lessons!\Now, are there any volunteers?\This is your chance to earn brownie points!\Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone.\Rue-s... response:	You.
context: I shall show you the results of MY lessons!\Now, are there any volunteers?\This is your chance to earn brownie points!\Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone.\Rue-s...\You. response:	Meow?
context: Now, are there any volunteers?\This is your chance to earn brownie points!\Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone.\Rue-s...\You.\Meow? response:	What?!
context: This is your chance to earn brownie points!\Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone.\Rue-s...\You.\Meow?\What?! response:	What do you say?
context: Even if you lose points, you're just back where you were!\No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone.\Rue-s...\You.\Meow?\What?!\What do you say? response:	I can't do it! That is...
context: No, no, no! I can't, I can't, I can't!\It cannot be helped then. I will pick someone.\Rue-s...\You.\Meow?\What?!\What do you say?\I can't do it! That is... response:	I can't, I can't!
context: It cannot be helped then. I will pick someone.\Rue-s...\You.\Meow?\What?!\What do you say?\I can't do it! That is...\I can't, I can't! response:	Since she's saying she can't, let's not have her do it!
context: Rue-s...\You.\Meow?\What?!\What do you say?\I can't do it! That is...\I can't, I can't!\Since she's saying she can't, let's not have her do it! response:	Please enjoy another student's dance!
context: You.\Meow?\What?!\What do you say?\I can't do it! That is...\I can't, I can't!\Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance! response:	If you'd like, I will perform myself...
context: Meow?\What?!\What do you say?\I can't do it! That is...\I can't, I can't!\Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance!\If you'd like, I will perform myself... response:	Oh, I suppose it was too sudden after all. I'm sorry.
context: What?!\What do you say?\I can't do it! That is...\I can't, I can't!\Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance!\If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry. response:	No, we'll dance! We were actually wanting to dance!
context: What do you say?\I can't do it! That is...\I can't, I can't!\Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance!\If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance! response:	Really, it's fine.
context: I can't do it! That is...\I can't, I can't!\Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance!\If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance!\Really, it's fine. response:	Oh, that sure scared me.
context: I can't, I can't!\Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance!\If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance!\Really, it's fine.\Oh, that sure scared me. response:	What?
context: Since she's saying she can't, let's not have her do it!\Please enjoy another student's dance!\If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance!\Really, it's fine.\Oh, that sure scared me.\What? response:	A shard of Mytho's heart?
context: Please enjoy another student's dance!\If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance!\Really, it's fine.\Oh, that sure scared me.\What?\A shard of Mytho's heart? response:	Huh? Did I imagine that?
context: If you'd like, I will perform myself...\Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance!\Really, it's fine.\Oh, that sure scared me.\What?\A shard of Mytho's heart?\Huh? Did I imagine that? response:	We'll have a run-through tomorrow, so please come watch!
context: Oh, I suppose it was too sudden after all. I'm sorry.\No, we'll dance! We were actually wanting to dance!\Really, it's fine.\Oh, that sure scared me.\What?\A shard of Mytho's heart?\Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch! response:	We will! Gladly!
context: No, we'll dance! We were actually wanting to dance!\Really, it's fine.\Oh, that sure scared me.\What?\A shard of Mytho's heart?\Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch!\We will! Gladly! response:	I'm always nervous when I get up on stage,
context: Really, it's fine.\Oh, that sure scared me.\What?\A shard of Mytho's heart?\Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch!\We will! Gladly!\I'm always nervous when I get up on stage, response:	but I've never felt like this.
context: Oh, that sure scared me.\What?\A shard of Mytho's heart?\Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch!\We will! Gladly!\I'm always nervous when I get up on stage,\but I've never felt like this. response:	I fell in love with that Princess Aurora I saw when I was a child.
context: What?\A shard of Mytho's heart?\Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch!\We will! Gladly!\I'm always nervous when I get up on stage,\but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child. response:	She seemed to still be dreaming even when awakened.
context: A shard of Mytho's heart?\Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch!\We will! Gladly!\I'm always nervous when I get up on stage,\but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened. response:	I wanted to become like that someday.
context: Huh? Did I imagine that?\We'll have a run-through tomorrow, so please come watch!\We will! Gladly!\I'm always nervous when I get up on stage,\but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened.\I wanted to become like that someday. response:	So, I danced the part of Princess Aurora all this time, but...
context: We'll have a run-through tomorrow, so please come watch!\We will! Gladly!\I'm always nervous when I get up on stage,\but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened.\I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but... response:	I'd begun to be aware that it was no use, no matter how I polished my technique.
context: We will! Gladly!\I'm always nervous when I get up on stage,\but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened.\I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique. response:	It's because I wasn't born with the same talent.
context: I'm always nervous when I get up on stage,\but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened.\I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent. response:	My dream, never to come true...
context: but I've never felt like this.\I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened.\I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent.\My dream, never to come true... response:	But...
context: I fell in love with that Princess Aurora I saw when I was a child.\She seemed to still be dreaming even when awakened.\I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent.\My dream, never to come true...\But... response:	No matter how depressed I was, I never felt like this before.
context: She seemed to still be dreaming even when awakened.\I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent.\My dream, never to come true...\But...\No matter how depressed I was, I never felt like this before. response:	What's the matter with me? I'm afraid of performing?
context: I wanted to become like that someday.\So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent.\My dream, never to come true...\But...\No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing? response:	Hey, Paulamoni!
context: So, I danced the part of Princess Aurora all this time, but...\I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent.\My dream, never to come true...\But...\No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing?\Hey, Paulamoni! response:	Yes?
context: I'd begun to be aware that it was no use, no matter how I polished my technique.\It's because I wasn't born with the same talent.\My dream, never to come true...\But...\No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing?\Hey, Paulamoni!\Yes? response:	Help me out with making dinner for everyone.
context: It's because I wasn't born with the same talent.\My dream, never to come true...\But...\No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing?\Hey, Paulamoni!\Yes?\Help me out with making dinner for everyone. response:	Okay.
context: My dream, never to come true...\But...\No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing?\Hey, Paulamoni!\Yes?\Help me out with making dinner for everyone.\Okay. response:	Ooh, that smells great!
context: But...\No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing?\Hey, Paulamoni!\Yes?\Help me out with making dinner for everyone.\Okay.\Ooh, that smells great! response:	If we don't feed our troupe leader soon, we'll have a power outage.
context: No matter how depressed I was, I never felt like this before.\What's the matter with me? I'm afraid of performing?\Hey, Paulamoni!\Yes?\Help me out with making dinner for everyone.\Okay.\Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage. response:	You want to postpone opening day?
context: What's the matter with me? I'm afraid of performing?\Hey, Paulamoni!\Yes?\Help me out with making dinner for everyone.\Okay.\Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day? response:	What?
context: Hey, Paulamoni!\Yes?\Help me out with making dinner for everyone.\Okay.\Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day?\What? response:	You've got something on your mind, don't you?
context: Yes?\Help me out with making dinner for everyone.\Okay.\Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day?\What?\You've got something on your mind, don't you? response:	Thank you for worrying about me.
context: Help me out with making dinner for everyone.\Okay.\Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day?\What?\You've got something on your mind, don't you?\Thank you for worrying about me. response:	But I couldn't trouble everyone else.
context: Okay.\Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day?\What?\You've got something on your mind, don't you?\Thank you for worrying about me.\But I couldn't trouble everyone else. response:	Don't worry, I can do it.
context: Ooh, that smells great!\If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day?\What?\You've got something on your mind, don't you?\Thank you for worrying about me.\But I couldn't trouble everyone else.\Don't worry, I can do it. response:	Would anyone like some gems?
context: If we don't feed our troupe leader soon, we'll have a power outage.\You want to postpone opening day?\What?\You've got something on your mind, don't you?\Thank you for worrying about me.\But I couldn't trouble everyone else.\Don't worry, I can do it.\Would anyone like some gems? response:	Would anyone like some beautiful gems?
context: You want to postpone opening day?\What?\You've got something on your mind, don't you?\Thank you for worrying about me.\But I couldn't trouble everyone else.\Don't worry, I can do it.\Would anyone like some gems?\Would anyone like some beautiful gems? response:	I didn't know you sold gems, Edel-san.
context: What?\You've got something on your mind, don't you?\Thank you for worrying about me.\But I couldn't trouble everyone else.\Don't worry, I can do it.\Would anyone like some gems?\Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san. response:	And Fakir said that he doesn't need a heart.
context: You've got something on your mind, don't you?\Thank you for worrying about me.\But I couldn't trouble everyone else.\Don't worry, I can do it.\Would anyone like some gems?\Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart. response:	There's no way that's true, right? He's weird. He's definitely weird.
context: Thank you for worrying about me.\But I couldn't trouble everyone else.\Don't worry, I can do it.\Would anyone like some gems?\Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird. response:	You know, Mytho doesn't even know what it feels like to be in love.
context: But I couldn't trouble everyone else.\Don't worry, I can do it.\Would anyone like some gems?\Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love. response:	Even though Rue-chan loves Mytho. Isn't that sad?
context: Don't worry, I can do it.\Would anyone like some gems?\Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad? response:	Sad?
context: Would anyone like some gems?\Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad?\Sad? response:	You think so, don't you?
context: Would anyone like some beautiful gems?\I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad?\Sad?\You think so, don't you? response:	Is it sad for Mytho? For Rue? Or for you?
context: I didn't know you sold gems, Edel-san.\And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad?\Sad?\You think so, don't you?\Is it sad for Mytho? For Rue? Or for you? response:	What?
context: And Fakir said that he doesn't need a heart.\There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad?\Sad?\You think so, don't you?\Is it sad for Mytho? For Rue? Or for you?\What? response:	I'm not really...
context: There's no way that's true, right? He's weird. He's definitely weird.\You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad?\Sad?\You think so, don't you?\Is it sad for Mytho? For Rue? Or for you?\What?\I'm not really... response:	So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.
context: You know, Mytho doesn't even know what it feels like to be in love.\Even though Rue-chan loves Mytho. Isn't that sad?\Sad?\You think so, don't you?\Is it sad for Mytho? For Rue? Or for you?\What?\I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back. response:	Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.
context: Even though Rue-chan loves Mytho. Isn't that sad?\Sad?\You think so, don't you?\Is it sad for Mytho? For Rue? Or for you?\What?\I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him. response:	That's pretty!
context: Sad?\You think so, don't you?\Is it sad for Mytho? For Rue? Or for you?\What?\I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty! response:	The name of this gem is dream.
context: You think so, don't you?\Is it sad for Mytho? For Rue? Or for you?\What?\I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty!\The name of this gem is dream. response:	Between a person who continues to dream and a person who's awoken from a dream, who is happier?
context: Is it sad for Mytho? For Rue? Or for you?\What?\I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty!\The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier? response:	Huh? Hmm, which would it be?
context: What?\I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty!\The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be? response:	Anyway, what's this gem called?
context: I'm not really...\So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty!\The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be?\Anyway, what's this gem called? response:	Hope.
context: So, no matter what Fakir does to get in my way, I'm definitely going to get all of his heart back.\Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty!\The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be?\Anyway, what's this gem called?\Hope. response:	What about this one?
context: Rue-chan can make Mytho happy, but for a bird like me, that's all I can do for him.\That's pretty!\The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be?\Anyway, what's this gem called?\Hope.\What about this one? response:	Adventure.
context: That's pretty!\The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be?\Anyway, what's this gem called?\Hope.\What about this one?\Adventure. response:	Then how about this one?
context: The name of this gem is dream.\Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be?\Anyway, what's this gem called?\Hope.\What about this one?\Adventure.\Then how about this one? response:	Mystery.
context: Between a person who continues to dream and a person who's awoken from a dream, who is happier?\Huh? Hmm, which would it be?\Anyway, what's this gem called?\Hope.\What about this one?\Adventure.\Then how about this one?\Mystery. response:	Okay, what about this one?
context: Huh? Hmm, which would it be?\Anyway, what's this gem called?\Hope.\What about this one?\Adventure.\Then how about this one?\Mystery.\Okay, what about this one? response:	The author's convenience.
context: Anyway, what's this gem called?\Hope.\What about this one?\Adventure.\Then how about this one?\Mystery.\Okay, what about this one?\The author's convenience. response:	Weird name...
context: Hope.\What about this one?\Adventure.\Then how about this one?\Mystery.\Okay, what about this one?\The author's convenience.\Weird name... response:	At any rate, my wish is to get Mytho to smile again. That's all!
context: What about this one?\Adventure.\Then how about this one?\Mystery.\Okay, what about this one?\The author's convenience.\Weird name...\At any rate, my wish is to get Mytho to smile again. That's all! response:	Bye!
context: Adventure.\Then how about this one?\Mystery.\Okay, what about this one?\The author's convenience.\Weird name...\At any rate, my wish is to get Mytho to smile again. That's all!\Bye! response:	That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!
context: Then how about this one?\Mystery.\Okay, what about this one?\The author's convenience.\Weird name...\At any rate, my wish is to get Mytho to smile again. That's all!\Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him! response:	All right! Go for it, Ahiru!
context: Mystery.\Okay, what about this one?\The author's convenience.\Weird name...\At any rate, my wish is to get Mytho to smile again. That's all!\Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru! response:	Yes, I'll do my best!
context: Okay, what about this one?\The author's convenience.\Weird name...\At any rate, my wish is to get Mytho to smile again. That's all!\Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru!\Yes, I'll do my best! response:	Mytho.
context: The author's convenience.\Weird name...\At any rate, my wish is to get Mytho to smile again. That's all!\Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru!\Yes, I'll do my best!\Mytho. response:	What?
context: Weird name...\At any rate, my wish is to get Mytho to smile again. That's all!\Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru!\Yes, I'll do my best!\Mytho.\What? response:	Go on the ballet field trip tomorrow.
context: At any rate, my wish is to get Mytho to smile again. That's all!\Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru!\Yes, I'll do my best!\Mytho.\What?\Go on the ballet field trip tomorrow. response:	I can go?
context: Bye!\That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru!\Yes, I'll do my best!\Mytho.\What?\Go on the ballet field trip tomorrow.\I can go? response:	On one condition. Don't listen to what Rue tells you.
context: That's right. I'm going to work harder and get back all the shards of Mytho's heart for him!\All right! Go for it, Ahiru!\Yes, I'll do my best!\Mytho.\What?\Go on the ballet field trip tomorrow.\I can go?\On one condition. Don't listen to what Rue tells you. response:	Okay.
context: All right! Go for it, Ahiru!\Yes, I'll do my best!\Mytho.\What?\Go on the ballet field trip tomorrow.\I can go?\On one condition. Don't listen to what Rue tells you.\Okay. response:	I'll come along too. Hurry up and go to sleep.
context: Yes, I'll do my best!\Mytho.\What?\Go on the ballet field trip tomorrow.\I can go?\On one condition. Don't listen to what Rue tells you.\Okay.\I'll come along too. Hurry up and go to sleep. response:	Thank you, Fakir.
context: Mytho.\What?\Go on the ballet field trip tomorrow.\I can go?\On one condition. Don't listen to what Rue tells you.\Okay.\I'll come along too. Hurry up and go to sleep.\Thank you, Fakir. response:	Idiot.
context: What?\Go on the ballet field trip tomorrow.\I can go?\On one condition. Don't listen to what Rue tells you.\Okay.\I'll come along too. Hurry up and go to sleep.\Thank you, Fakir.\Idiot. response:	The girl you called on today...
context: Go on the ballet field trip tomorrow.\I can go?\On one condition. Don't listen to what Rue tells you.\Okay.\I'll come along too. Hurry up and go to sleep.\Thank you, Fakir.\Idiot.\The girl you called on today... response:	I wanted to see her dance too.
context: I can go?\On one condition. Don't listen to what Rue tells you.\Okay.\I'll come along too. Hurry up and go to sleep.\Thank you, Fakir.\Idiot.\The girl you called on today...\I wanted to see her dance too. response:	She had this glow about her, kind of a mysterious charm that she just had innately.
context: On one condition. Don't listen to what Rue tells you.\Okay.\I'll come along too. Hurry up and go to sleep.\Thank you, Fakir.\Idiot.\The girl you called on today...\I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately. response:	Just had innately... Yes.
context: Okay.\I'll come along too. Hurry up and go to sleep.\Thank you, Fakir.\Idiot.\The girl you called on today...\I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes. response:	I'm sure she's pursuing a wonderful dream.
context: I'll come along too. Hurry up and go to sleep.\Thank you, Fakir.\Idiot.\The girl you called on today...\I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes.\I'm sure she's pursuing a wonderful dream. response:	And she's probably also in love.
context: Thank you, Fakir.\Idiot.\The girl you called on today...\I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes.\I'm sure she's pursuing a wonderful dream.\And she's probably also in love. response:	I can tell.
context: Idiot.\The girl you called on today...\I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes.\I'm sure she's pursuing a wonderful dream.\And she's probably also in love.\I can tell. response:	You certainly can tell a lot.
context: The girl you called on today...\I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes.\I'm sure she's pursuing a wonderful dream.\And she's probably also in love.\I can tell.\You certainly can tell a lot. response:	Yeah, because she's the same as you when you were younger.
context: I wanted to see her dance too.\She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes.\I'm sure she's pursuing a wonderful dream.\And she's probably also in love.\I can tell.\You certainly can tell a lot.\Yeah, because she's the same as you when you were younger. response:	You will always wake from a dream.
context: She had this glow about her, kind of a mysterious charm that she just had innately.\Just had innately... Yes.\I'm sure she's pursuing a wonderful dream.\And she's probably also in love.\I can tell.\You certainly can tell a lot.\Yeah, because she's the same as you when you were younger.\You will always wake from a dream. response:	No, it's something you MUST wake from.
