context: From the news chopper to the studio- response:	I'm reporting live from the skies of Hosu City!
context: This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements.\Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry.\All right. You'll cause trouble for others! response:	If you understand, then don't do it again!
context: But this would also mean no one would know about your good judgment or achievements.\Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry.\All right. You'll cause trouble for others!\If you understand, then don't do it again! response:	I won't!
context: Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry.\All right. You'll cause trouble for others!\If you understand, then don't do it again!\I won't! response:	I-I'm sorry.
context: Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry.\All right. You'll cause trouble for others!\If you understand, then don't do it again!\I won't!\I-I'm sorry. response:	Please take care of it.
context: because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry.\All right. You'll cause trouble for others!\If you understand, then don't do it again!\I won't!\I-I'm sorry.\Please take care of it. response:	Because of the unfairness of adults,
context: Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry.\All right. You'll cause trouble for others!\If you understand, then don't do it again!\I won't!\I-I'm sorry.\Please take care of it.\Because of the unfairness of adults, response:	you will not be able to receive the praise you would probably have gotten,
context: I am truly sorry.\All right. You'll cause trouble for others!\If you understand, then don't do it again!\I won't!\I-I'm sorry.\Please take care of it.\Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten, response:	but at least,
context: All right. You'll cause trouble for others!\If you understand, then don't do it again!\I won't!\I-I'm sorry.\Please take care of it.\Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten,\but at least, response:	as someone who also protects the peace,
context: If you understand, then don't do it again!\I won't!\I-I'm sorry.\Please take care of it.\Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten,\but at least,\as someone who also protects the peace, response:	I can say thank you.
context: I won't!\I-I'm sorry.\Please take care of it.\Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten,\but at least,\as someone who also protects the peace,\I can say thank you. response:	Please start with that next time.
context: I-I'm sorry.\Please take care of it.\Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten,\but at least,\as someone who also protects the peace,\I can say thank you.\Please start with that next time. response:	Todoroki...
context: Please take care of it.\Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten,\but at least,\as someone who also protects the peace,\I can say thank you.\Please start with that next time.\Todoroki... response:	The fight in the alley that started in an unexpected way
context: Because of the unfairness of adults,\you will not be able to receive the praise you would probably have gotten,\but at least,\as someone who also protects the peace,\I can say thank you.\Please start with that next time.\Todoroki...\The fight in the alley that started in an unexpected way response:	ended like this without anyone knowing about it.
context: you will not be able to receive the praise you would probably have gotten,\but at least,\as someone who also protects the peace,\I can say thank you.\Please start with that next time.\Todoroki...\The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it. response:	But its influence would continue to eat away at us without anyone the wiser...
context: but at least,\as someone who also protects the peace,\I can say thank you.\Please start with that next time.\Todoroki...\The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser... response:	They said they arrested the hero killer!
context: as someone who also protects the peace,\I can say thank you.\Please start with that next time.\Todoroki...\The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer! response:	Wow! Amazing!
context: I can say thank you.\Please start with that next time.\Todoroki...\The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer!\Wow! Amazing! response:	Hero Killer Arrested
context: Please start with that next time.\Todoroki...\The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer!\Wow! Amazing!\Hero Killer Arrested response:	Seriously? Who beat him?
context: Todoroki...\The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer!\Wow! Amazing!\Hero Killer Arrested\Seriously? Who beat him? response:	Endeavor! As expected of the number two hero!
context: The fight in the alley that started in an unexpected way\ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer!\Wow! Amazing!\Hero Killer Arrested\Seriously? Who beat him?\Endeavor! As expected of the number two hero! response:	Riots in Hosu City Were the crimes connected?
context: ended like this without anyone knowing about it.\But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer!\Wow! Amazing!\Hero Killer Arrested\Seriously? Who beat him?\Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected? response:	Good Job, Endeavor The End of the Hero Killer
context: But its influence would continue to eat away at us without anyone the wiser...\They said they arrested the hero killer!\Wow! Amazing!\Hero Killer Arrested\Seriously? Who beat him?\Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer response:	I feel better, but it's kind of unfortunate.
context: They said they arrested the hero killer!\Wow! Amazing!\Hero Killer Arrested\Seriously? Who beat him?\Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate. response:	Yeah, I know what you mean.
context: Wow! Amazing!\Hero Killer Arrested\Seriously? Who beat him?\Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate.\Yeah, I know what you mean. response:	Special Report: Hero Killer!
context: Hero Killer Arrested\Seriously? Who beat him?\Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate.\Yeah, I know what you mean.\Special Report: Hero Killer! response:	The three villains arrested and restrained during Hosu City's riots
context: Seriously? Who beat him?\Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate.\Yeah, I know what you mean.\Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots response:	are all men with unknown addresses and identities.
context: Endeavor! As expected of the number two hero!\Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate.\Yeah, I know what you mean.\Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities. response:	How are they connected to the League of Villains?
context: Riots in Hosu City Were the crimes connected?\Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate.\Yeah, I know what you mean.\Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities.\How are they connected to the League of Villains? response:	Based on their distinctive appearance
context: Good Job, Endeavor The End of the Hero Killer\I feel better, but it's kind of unfortunate.\Yeah, I know what you mean.\Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities.\How are they connected to the League of Villains?\Based on their distinctive appearance response:	and the presence of two people NHA TV filmed by chance,
context: I feel better, but it's kind of unfortunate.\Yeah, I know what you mean.\Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities.\How are they connected to the League of Villains?\Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance, response:	there are those saying they are connected to the League of Villains
context: Yeah, I know what you mean.\Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities.\How are they connected to the League of Villains?\Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains response:	that attacked U.A. High School last month.
context: Special Report: Hero Killer!\The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities.\How are they connected to the League of Villains?\Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains\that attacked U.A. High School last month. response:	The hero killer, Stain, has killed more people on his own
context: The three villains arrested and restrained during Hosu City's riots\are all men with unknown addresses and identities.\How are they connected to the League of Villains?\Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains\that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own response:	since the appearance of All Might than any other individual criminal.
context: are all men with unknown addresses and identities.\How are they connected to the League of Villains?\Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains\that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal. response:	With his arrest, everyone around Japan can rest a little easier.
context: How are they connected to the League of Villains?\Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains\that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier. response:	The seriously wounded hero killer, Stain,
context: Based on their distinctive appearance\and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains\that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain, response:	is currently receiving treatment at a hospital under police guard.
context: and the presence of two people NHA TV filmed by chance,\there are those saying they are connected to the League of Villains\that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard. response:	The police are awaiting the recovery of the victims
context: there are those saying they are connected to the League of Villains\that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims response:	to investigate further into the motive behind the crime.
context: that attacked U.A. High School last month.\The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime. response:	This villain will certainly leave his mark in the history of crime in Japan-no, the world-
context: The hero killer, Stain, has killed more people on his own\since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world- response:	Hero Killer: Stain!
context: since the appearance of All Might than any other individual criminal.\With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain! response:	Why did he keep committing crimes? What is he after?
context: With his arrest, everyone around Japan can rest a little easier.\The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain!\Why did he keep committing crimes? What is he after? response:	I'm reporting live from Ekou Street in Hosu City.
context: The seriously wounded hero killer, Stain,\is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain!\Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City. response:	Hero Kil
context: is currently receiving treatment at a hospital under police guard.\The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain!\Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City.\Hero Kil response:	Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.
context: The police are awaiting the recovery of the victims\to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain!\Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City.\Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street. response:	It's all anyone's talking about.
context: to investigate further into the motive behind the crime.\This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain!\Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City.\Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about. response:	Are the Nomus just secondary?
context: This villain will certainly leave his mark in the history of crime in Japan-no, the world-\Hero Killer: Stain!\Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City.\Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about.\Are the Nomus just secondary? response:	Once the night is over, the world will have forgotten about you.
context: Hero Killer: Stain!\Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City.\Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about.\Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you. response:	Not only have they not forgotten, but we ended up being the side story.
context: Why did he keep committing crimes? What is he after?\I'm reporting live from Ekou Street in Hosu City.\Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about.\Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story. response:	Genius
context: I'm reporting live from Ekou Street in Hosu City.\Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about.\Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story.\Genius response:	Regarding the incident last night in Hosu City in west Tokyo
context: Hero Kil\Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about.\Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story.\Genius\Regarding the incident last night in Hosu City in west Tokyo response:	with the arrest of Hero Killer: Stain
context: Last night, just after 8 pm, Hero Killer: Stain was arrested by Endeavor on this street.\It's all anyone's talking about.\Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story.\Genius\Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain response:	and the villains that resembled the Nomu who attacked U.A...
context: It's all anyone's talking about.\Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story.\Genius\Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A... response:	You are probably all worried about that right now.
context: Are the Nomus just secondary?\Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story.\Genius\Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now. response:	Pro Hero - Best Jeanist
context: Once the night is over, the world will have forgotten about you.\Not only have they not forgotten, but we ended up being the side story.\Genius\Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now.\Pro Hero - Best Jeanist response:	Yes, it is something I am also very worried about.
context: Not only have they not forgotten, but we ended up being the side story.\Genius\Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now.\Pro Hero - Best Jeanist\Yes, it is something I am also very worried about. response:	People tend to only pay attention to big events.
context: Genius\Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now.\Pro Hero - Best Jeanist\Yes, it is something I am also very worried about.\People tend to only pay attention to big events. response:	However, it is especially at times like this that heroes must remain calm.
context: Regarding the incident last night in Hosu City in west Tokyo\with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now.\Pro Hero - Best Jeanist\Yes, it is something I am also very worried about.\People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm. response:	Chaos can sometimes tempt people
context: with the arrest of Hero Killer: Stain\and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now.\Pro Hero - Best Jeanist\Yes, it is something I am also very worried about.\People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people response:	and draw out the cruelty that lies sleeping inside them at their core.
context: and the villains that resembled the Nomu who attacked U.A...\You are probably all worried about that right now.\Pro Hero - Best Jeanist\Yes, it is something I am also very worried about.\People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core. response:	Which means, it will be business as usual for us today, as well.
context: You are probably all worried about that right now.\Pro Hero - Best Jeanist\Yes, it is something I am also very worried about.\People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well. response:	Let us brace our minds and bodies with our tight jeans.
context: Pro Hero - Best Jeanist\Yes, it is something I am also very worried about.\People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans. response:	Sure, Best Jeanist!
context: Yes, it is something I am also very worried about.\People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist! response:	Katsuki Bakugo - Quirk: Explosion
context: People tend to only pay attention to big events.\However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion response:	Fourth Kind Agency
context: However, it is especially at times like this that heroes must remain calm.\Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency response:	Oh, I got a reply from Midoriya!
context: Chaos can sometimes tempt people\and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency\Oh, I got a reply from Midoriya! response:	Eijiro Kirishima - Quirk: Hardening
context: and draw out the cruelty that lies sleeping inside them at their core.\Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency\Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening response:	It was at Hosu City, so that location information was an SOS after all, huh?
context: Which means, it will be business as usual for us today, as well.\Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency\Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh? response:	I'm glad I reported it.
context: Let us brace our minds and bodies with our tight jeans.\Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency\Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it. response:	Hey!
context: Sure, Best Jeanist!\Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency\Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it.\Hey! response:	Tetsutetsu Tetsutetsu - Quirk: Steel
context: Katsuki Bakugo - Quirk: Explosion\Fourth Kind Agency\Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it.\Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel response:	Fourth Kind's gonna hit you!
context: Fourth Kind Agency\Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it.\Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you! response:	Let's get going!
context: Oh, I got a reply from Midoriya!\Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it.\Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you!\Let's get going! response:	Wait a sec! I'm gonna reply.
context: Eijiro Kirishima - Quirk: Hardening\It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it.\Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you!\Let's get going!\Wait a sec! I'm gonna reply. response:	Pro Hero - Fourth Kind
context: It was at Hosu City, so that location information was an SOS after all, huh?\I'm glad I reported it.\Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you!\Let's get going!\Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind response:	Didn't I tell you that you must always be punctual?!
context: I'm glad I reported it.\Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you!\Let's get going!\Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?! response:	S-Sorry, sir!
context: Hey!\Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you!\Let's get going!\Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?!\S-Sorry, sir! response:	Chivalrous Hero Justice
context: Tetsutetsu Tetsutetsu - Quirk: Steel\Fourth Kind's gonna hit you!\Let's get going!\Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?!\S-Sorry, sir!\Chivalrous Hero Justice response:	All right, we're going on patrol!
context: Fourth Kind's gonna hit you!\Let's get going!\Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?!\S-Sorry, sir!\Chivalrous Hero Justice\All right, we're going on patrol! response:	Yes, sir!
context: Let's get going!\Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?!\S-Sorry, sir!\Chivalrous Hero Justice\All right, we're going on patrol!\Yes, sir! response:	No matter how damaged your hair,
context: Wait a sec! I'm gonna reply.\Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?!\S-Sorry, sir!\Chivalrous Hero Justice\All right, we're going on patrol!\Yes, sir!\No matter how damaged your hair, response:	the new ingredient, U008 will penetrate deep into each hair.
context: Pro Hero - Fourth Kind\Didn't I tell you that you must always be punctual?!\S-Sorry, sir!\Chivalrous Hero Justice\All right, we're going on patrol!\Yes, sir!\No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair. response:	Curl...
context: Didn't I tell you that you must always be punctual?!\S-Sorry, sir!\Chivalrous Hero Justice\All right, we're going on patrol!\Yes, sir!\No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair.\Curl... response:	Curl...
context: S-Sorry, sir!\Chivalrous Hero Justice\All right, we're going on patrol!\Yes, sir!\No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair.\Curl...\Curl... response:	Curl, all you want.
context: Chivalrous Hero Justice\All right, we're going on patrol!\Yes, sir!\No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair.\Curl...\Curl...\Curl, all you want. response:	Easy curls with just a spritz!
context: All right, we're going on patrol!\Yes, sir!\No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair.\Curl...\Curl...\Curl, all you want.\Easy curls with just a spritz! response:	Hair spray, UNERI.
context: Yes, sir!\No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair.\Curl...\Curl...\Curl, all you want.\Easy curls with just a spritz!\Hair spray, UNERI. response:	Letting women ride the waves of the times.
context: No matter how damaged your hair,\the new ingredient, U008 will penetrate deep into each hair.\Curl...\Curl...\Curl, all you want.\Easy curls with just a spritz!\Hair spray, UNERI.\Letting women ride the waves of the times. response:	They sure work fast.
context: the new ingredient, U008 will penetrate deep into each hair.\Curl...\Curl...\Curl, all you want.\Easy curls with just a spritz!\Hair spray, UNERI.\Letting women ride the waves of the times.\They sure work fast. response:	This is a demo, so it'll air on TV in about a month.
context: Curl...\Curl...\Curl, all you want.\Easy curls with just a spritz!\Hair spray, UNERI.\Letting women ride the waves of the times.\They sure work fast.\This is a demo, so it'll air on TV in about a month. response:	With lots of CG!
context: Curl...\Curl, all you want.\Easy curls with just a spritz!\Hair spray, UNERI.\Letting women ride the waves of the times.\They sure work fast.\This is a demo, so it'll air on TV in about a month.\With lots of CG! response:	Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist
context: Curl, all you want.\Easy curls with just a spritz!\Hair spray, UNERI.\Letting women ride the waves of the times.\They sure work fast.\This is a demo, so it'll air on TV in about a month.\With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist response:	We're gonna be on TV, huh?
context: Easy curls with just a spritz!\Hair spray, UNERI.\Letting women ride the waves of the times.\They sure work fast.\This is a demo, so it'll air on TV in about a month.\With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh? response:	Heroes... We are heroes...
context: Hair spray, UNERI.\Letting women ride the waves of the times.\They sure work fast.\This is a demo, so it'll air on TV in about a month.\With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh?\Heroes... We are heroes... response:	Pro Hero - Uwabami
context: Letting women ride the waves of the times.\They sure work fast.\This is a demo, so it'll air on TV in about a month.\With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh?\Heroes... We are heroes...\Pro Hero - Uwabami response:	Now, shall we go on patrol?
context: They sure work fast.\This is a demo, so it'll air on TV in about a month.\With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh?\Heroes... We are heroes...\Pro Hero - Uwabami\Now, shall we go on patrol? response:	Yes, ma'am!
context: This is a demo, so it'll air on TV in about a month.\With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh?\Heroes... We are heroes...\Pro Hero - Uwabami\Now, shall we go on patrol?\Yes, ma'am! response:	Mind, Skill, Body
context: With lots of CG!\Momo Yaoyorozu - Quirk: Creation Itsuka Kendo - Quirk: Big Fist\We're gonna be on TV, huh?\Heroes... We are heroes...\Pro Hero - Uwabami\Now, shall we go on patrol?\Yes, ma'am!\Mind, Skill, Body response:	I see, well, I'm just glad you and Iida are both okay.
