context: What the hell's going on? response:	Is this the Witch Cult's doing?
context: If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that!\You guys seriously believe that?\That it's the fault of the half-elf in the mansion?!\The village, huh?\But it might cause trouble for you.\Does that mean I'm just being selfish again?\Lift your head. Don't look down. response:	That's what Crusch-sama would say.
context: Even the village children know that!\You guys seriously believe that?\That it's the fault of the half-elf in the mansion?!\The village, huh?\But it might cause trouble for you.\Does that mean I'm just being selfish again?\Lift your head. Don't look down.\That's what Crusch-sama would say. response:	You...
context: You guys seriously believe that?\That it's the fault of the half-elf in the mansion?!\The village, huh?\But it might cause trouble for you.\Does that mean I'm just being selfish again?\Lift your head. Don't look down.\That's what Crusch-sama would say.\You... response:	Do you think what you're doing is wrong?
context: That it's the fault of the half-elf in the mansion?!\The village, huh?\But it might cause trouble for you.\Does that mean I'm just being selfish again?\Lift your head. Don't look down.\That's what Crusch-sama would say.\You...\Do you think what you're doing is wrong? response:	If not, there's no reason to look down.
context: The village, huh?\But it might cause trouble for you.\Does that mean I'm just being selfish again?\Lift your head. Don't look down.\That's what Crusch-sama would say.\You...\Do you think what you're doing is wrong?\If not, there's no reason to look down. response:	Or is it harder to lift your head here
context: But it might cause trouble for you.\Does that mean I'm just being selfish again?\Lift your head. Don't look down.\That's what Crusch-sama would say.\You...\Do you think what you're doing is wrong?\If not, there's no reason to look down.\Or is it harder to lift your head here response:	than to throw a tantrum in the castle?
context: Does that mean I'm just being selfish again?\Lift your head. Don't look down.\That's what Crusch-sama would say.\You...\Do you think what you're doing is wrong?\If not, there's no reason to look down.\Or is it harder to lift your head here\than to throw a tantrum in the castle? response:	Now, listen...
context: Lift your head. Don't look down.\That's what Crusch-sama would say.\You...\Do you think what you're doing is wrong?\If not, there's no reason to look down.\Or is it harder to lift your head here\than to throw a tantrum in the castle?\Now, listen... response:	You're right.
context: That's what Crusch-sama would say.\You...\Do you think what you're doing is wrong?\If not, there's no reason to look down.\Or is it harder to lift your head here\than to throw a tantrum in the castle?\Now, listen...\You're right. response:	Compared to that, this is nothing!
context: You...\Do you think what you're doing is wrong?\If not, there's no reason to look down.\Or is it harder to lift your head here\than to throw a tantrum in the castle?\Now, listen...\You're right.\Compared to that, this is nothing! response:	I understand your feelings and concerns very well!
context: Do you think what you're doing is wrong?\If not, there's no reason to look down.\Or is it harder to lift your head here\than to throw a tantrum in the castle?\Now, listen...\You're right.\Compared to that, this is nothing!\I understand your feelings and concerns very well! response:	I won't tell you to try to change them now.
context: If not, there's no reason to look down.\Or is it harder to lift your head here\than to throw a tantrum in the castle?\Now, listen...\You're right.\Compared to that, this is nothing!\I understand your feelings and concerns very well!\I won't tell you to try to change them now. response:	Obviously, you'll have your own opinions.
context: Or is it harder to lift your head here\than to throw a tantrum in the castle?\Now, listen...\You're right.\Compared to that, this is nothing!\I understand your feelings and concerns very well!\I won't tell you to try to change them now.\Obviously, you'll have your own opinions. response:	It hurts, but I understand.
context: than to throw a tantrum in the castle?\Now, listen...\You're right.\Compared to that, this is nothing!\I understand your feelings and concerns very well!\I won't tell you to try to change them now.\Obviously, you'll have your own opinions.\It hurts, but I understand. response:	But for now, please accept my request.
context: Now, listen...\You're right.\Compared to that, this is nothing!\I understand your feelings and concerns very well!\I won't tell you to try to change them now.\Obviously, you'll have your own opinions.\It hurts, but I understand.\But for now, please accept my request. response:	Please do as I say!
context: You're right.\Compared to that, this is nothing!\I understand your feelings and concerns very well!\I won't tell you to try to change them now.\Obviously, you'll have your own opinions.\It hurts, but I understand.\But for now, please accept my request.\Please do as I say! response:	Staying in the village is dangerous.
context: Compared to that, this is nothing!\I understand your feelings and concerns very well!\I won't tell you to try to change them now.\Obviously, you'll have your own opinions.\It hurts, but I understand.\But for now, please accept my request.\Please do as I say!\Staying in the village is dangerous. response:	That's the truth!
context: I understand your feelings and concerns very well!\I won't tell you to try to change them now.\Obviously, you'll have your own opinions.\It hurts, but I understand.\But for now, please accept my request.\Please do as I say!\Staying in the village is dangerous.\That's the truth! response:	The words of my household's employee
context: I won't tell you to try to change them now.\Obviously, you'll have your own opinions.\It hurts, but I understand.\But for now, please accept my request.\Please do as I say!\Staying in the village is dangerous.\That's the truth!\The words of my household's employee response:	are those of our master, Roswaal-sama, himself.
context: Obviously, you'll have your own opinions.\It hurts, but I understand.\But for now, please accept my request.\Please do as I say!\Staying in the village is dangerous.\That's the truth!\The words of my household's employee\are those of our master, Roswaal-sama, himself. response:	Ram...
context: It hurts, but I understand.\But for now, please accept my request.\Please do as I say!\Staying in the village is dangerous.\That's the truth!\The words of my household's employee\are those of our master, Roswaal-sama, himself.\Ram... response:	Follow his instructions immediately.
context: But for now, please accept my request.\Please do as I say!\Staying in the village is dangerous.\That's the truth!\The words of my household's employee\are those of our master, Roswaal-sama, himself.\Ram...\Follow his instructions immediately. response:	You saved me back there. Thanks.
context: Please do as I say!\Staying in the village is dangerous.\That's the truth!\The words of my household's employee\are those of our master, Roswaal-sama, himself.\Ram...\Follow his instructions immediately.\You saved me back there. Thanks. response:	But...
context: Staying in the village is dangerous.\That's the truth!\The words of my household's employee\are those of our master, Roswaal-sama, himself.\Ram...\Follow his instructions immediately.\You saved me back there. Thanks.\But... response:	What?
context: That's the truth!\The words of my household's employee\are those of our master, Roswaal-sama, himself.\Ram...\Follow his instructions immediately.\You saved me back there. Thanks.\But...\What? response:	Having you take my side so easily is kind of a new feeling.
context: The words of my household's employee\are those of our master, Roswaal-sama, himself.\Ram...\Follow his instructions immediately.\You saved me back there. Thanks.\But...\What?\Having you take my side so easily is kind of a new feeling. response:	Does that mean you've acknowledged me?
context: are those of our master, Roswaal-sama, himself.\Ram...\Follow his instructions immediately.\You saved me back there. Thanks.\But...\What?\Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me? response:	Subaru!
context: Ram...\Follow his instructions immediately.\You saved me back there. Thanks.\But...\What?\Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me?\Subaru! response:	Hey, Petra... What's up?
context: Follow his instructions immediately.\You saved me back there. Thanks.\But...\What?\Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me?\Subaru!\Hey, Petra... What's up? response:	U-Um, will the lady from the mansion run away with us?
context: You saved me back there. Thanks.\But...\What?\Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me?\Subaru!\Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us? response:	Huh?
context: But...\What?\Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me?\Subaru!\Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us?\Huh? response:	She came to the village yesterday.
context: What?\Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me?\Subaru!\Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us?\Huh?\She came to the village yesterday. response:	She told us
context: Having you take my side so easily is kind of a new feeling.\Does that mean you've acknowledged me?\Subaru!\Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us?\Huh?\She came to the village yesterday.\She told us response:	we should take refuge in the mansion because
context: Does that mean you've acknowledged me?\Subaru!\Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us?\Huh?\She came to the village yesterday.\She told us\we should take refuge in the mansion because response:	it's dangerous here, just like you said.
context: Subaru!\Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us?\Huh?\She came to the village yesterday.\She told us\we should take refuge in the mansion because\it's dangerous here, just like you said. response:	But no one in the village would listen to her.
context: Hey, Petra... What's up?\U-Um, will the lady from the mansion run away with us?\Huh?\She came to the village yesterday.\She told us\we should take refuge in the mansion because\it's dangerous here, just like you said.\But no one in the village would listen to her. response:	It's okay.
context: U-Um, will the lady from the mansion run away with us?\Huh?\She came to the village yesterday.\She told us\we should take refuge in the mansion because\it's dangerous here, just like you said.\But no one in the village would listen to her.\It's okay. response:	She wouldn't get mad or anything.
context: Huh?\She came to the village yesterday.\She told us\we should take refuge in the mansion because\it's dangerous here, just like you said.\But no one in the village would listen to her.\It's okay.\She wouldn't get mad or anything. response:	Anyway, you should hurry and run.
context: She came to the village yesterday.\She told us\we should take refuge in the mansion because\it's dangerous here, just like you said.\But no one in the village would listen to her.\It's okay.\She wouldn't get mad or anything.\Anyway, you should hurry and run. response:	Okay!
context: She told us\we should take refuge in the mansion because\it's dangerous here, just like you said.\But no one in the village would listen to her.\It's okay.\She wouldn't get mad or anything.\Anyway, you should hurry and run.\Okay! response:	What happened to Emilia after that?
context: we should take refuge in the mansion because\it's dangerous here, just like you said.\But no one in the village would listen to her.\It's okay.\She wouldn't get mad or anything.\Anyway, you should hurry and run.\Okay!\What happened to Emilia after that? response:	You should know that she isn't so perceptive as to back down
context: it's dangerous here, just like you said.\But no one in the village would listen to her.\It's okay.\She wouldn't get mad or anything.\Anyway, you should hurry and run.\Okay!\What happened to Emilia after that?\You should know that she isn't so perceptive as to back down response:	the moment someone denies her.
context: But no one in the village would listen to her.\It's okay.\She wouldn't get mad or anything.\Anyway, you should hurry and run.\Okay!\What happened to Emilia after that?\You should know that she isn't so perceptive as to back down\the moment someone denies her. response:	But I also know she's not the kind of girl who wouldn't be hurt by mean words.
context: It's okay.\She wouldn't get mad or anything.\Anyway, you should hurry and run.\Okay!\What happened to Emilia after that?\You should know that she isn't so perceptive as to back down\the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words. response:	She tried to convince the villagers to leave, but they refused.
context: She wouldn't get mad or anything.\Anyway, you should hurry and run.\Okay!\What happened to Emilia after that?\You should know that she isn't so perceptive as to back down\the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused. response:	But she couldn't do nothing,
context: Anyway, you should hurry and run.\Okay!\What happened to Emilia after that?\You should know that she isn't so perceptive as to back down\the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing, response:	so she repaired the forest barrier.
context: Okay!\What happened to Emilia after that?\You should know that she isn't so perceptive as to back down\the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing,\so she repaired the forest barrier. response:	She feared there might be a mabeast attack.
context: What happened to Emilia after that?\You should know that she isn't so perceptive as to back down\the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing,\so she repaired the forest barrier.\She feared there might be a mabeast attack. response:	In and of itself, that's not a bad decision, but still...
context: You should know that she isn't so perceptive as to back down\the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing,\so she repaired the forest barrier.\She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still... response:	Julius...
context: the moment someone denies her.\But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing,\so she repaired the forest barrier.\She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still...\Julius... response:	Come with me.
context: But I also know she's not the kind of girl who wouldn't be hurt by mean words.\She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing,\so she repaired the forest barrier.\She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still...\Julius...\Come with me. response:	I'm going to explain things to Emilia and the loli in the mansion.
context: She tried to convince the villagers to leave, but they refused.\But she couldn't do nothing,\so she repaired the forest barrier.\She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still...\Julius...\Come with me.\I'm going to explain things to Emilia and the loli in the mansion. response:	With you there, it'll be more convincing.
context: But she couldn't do nothing,\so she repaired the forest barrier.\She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still...\Julius...\Come with me.\I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing. response:	Just take it as a sign of my repentance for going nuts in the castle.
context: so she repaired the forest barrier.\She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still...\Julius...\Come with me.\I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle. response:	I see. Understood.
context: She feared there might be a mabeast attack.\In and of itself, that's not a bad decision, but still...\Julius...\Come with me.\I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood. response:	If that will help the discussion to go more smoothly,
context: In and of itself, that's not a bad decision, but still...\Julius...\Come with me.\I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood.\If that will help the discussion to go more smoothly, response:	do not hesitate to use me.
context: Julius...\Come with me.\I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood.\If that will help the discussion to go more smoothly,\do not hesitate to use me. response:	Also...
context: Come with me.\I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood.\If that will help the discussion to go more smoothly,\do not hesitate to use me.\Also... response:	You were the one who put a spirit on me, weren't you?
context: I'm going to explain things to Emilia and the loli in the mansion.\With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood.\If that will help the discussion to go more smoothly,\do not hesitate to use me.\Also...\You were the one who put a spirit on me, weren't you? response:	Explain that.
context: With you there, it'll be more convincing.\Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood.\If that will help the discussion to go more smoothly,\do not hesitate to use me.\Also...\You were the one who put a spirit on me, weren't you?\Explain that. response:	I get that you're a spirit arts user.
context: Just take it as a sign of my repentance for going nuts in the castle.\I see. Understood.\If that will help the discussion to go more smoothly,\do not hesitate to use me.\Also...\You were the one who put a spirit on me, weren't you?\Explain that.\I get that you're a spirit arts user. response:	More precisely, I prefer to be called a spirit knight.
context: I see. Understood.\If that will help the discussion to go more smoothly,\do not hesitate to use me.\Also...\You were the one who put a spirit on me, weren't you?\Explain that.\I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight. response:	I do use the spirit arts, of course.
context: If that will help the discussion to go more smoothly,\do not hesitate to use me.\Also...\You were the one who put a spirit on me, weren't you?\Explain that.\I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course. response:	But that has not prevented me from training with the sword.
context: do not hesitate to use me.\Also...\You were the one who put a spirit on me, weren't you?\Explain that.\I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course.\But that has not prevented me from training with the sword. response:	And you were the one who set the little red one on me?
context: Also...\You were the one who put a spirit on me, weren't you?\Explain that.\I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course.\But that has not prevented me from training with the sword.\And you were the one who set the little red one on me? response:	I was only having her, Ia, secretly protect you.
context: You were the one who put a spirit on me, weren't you?\Explain that.\I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course.\But that has not prevented me from training with the sword.\And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you. response:	By the way, what was that thing you did when you broke the illusion?
context: Explain that.\I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course.\But that has not prevented me from training with the sword.\And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion? response:	A high class of magic known as Nect.
context: I get that you're a spirit arts user.\More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course.\But that has not prevented me from training with the sword.\And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect. response:	It connects the gates of all who are in range,
context: More precisely, I prefer to be called a spirit knight.\I do use the spirit arts, of course.\But that has not prevented me from training with the sword.\And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect.\It connects the gates of all who are in range, response:	so they can communicate with each other.
context: I do use the spirit arts, of course.\But that has not prevented me from training with the sword.\And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect.\It connects the gates of all who are in range,\so they can communicate with each other. response:	However, it appeared to work a bit too well on you.
context: But that has not prevented me from training with the sword.\And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect.\It connects the gates of all who are in range,\so they can communicate with each other.\However, it appeared to work a bit too well on you. response:	I thought I was about to lose myself.
context: And you were the one who set the little red one on me?\I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect.\It connects the gates of all who are in range,\so they can communicate with each other.\However, it appeared to work a bit too well on you.\I thought I was about to lose myself. response:	For the spirits to mistake the tuning is unusual.
context: I was only having her, Ia, secretly protect you.\By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect.\It connects the gates of all who are in range,\so they can communicate with each other.\However, it appeared to work a bit too well on you.\I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual. response:	You may have a strong affinity with spirits, perhaps.
context: By the way, what was that thing you did when you broke the illusion?\A high class of magic known as Nect.\It connects the gates of all who are in range,\so they can communicate with each other.\However, it appeared to work a bit too well on you.\I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps. response:	Sadly, the only spirit I ever made friends with was a gray cat.
context: A high class of magic known as Nect.\It connects the gates of all who are in range,\so they can communicate with each other.\However, it appeared to work a bit too well on you.\I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat. response:	Well? Did you patch things up with Julius?
context: It connects the gates of all who are in range,\so they can communicate with each other.\However, it appeared to work a bit too well on you.\I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius? response:	Did it work out?
context: so they can communicate with each other.\However, it appeared to work a bit too well on you.\I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius?\Did it work out? response:	I'm taking that matter back with me,
context: However, it appeared to work a bit too well on you.\I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius?\Did it work out?\I'm taking that matter back with me, response:	to mull over carefully before I make an optimistic decision.
context: I thought I was about to lose myself.\For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius?\Did it work out?\I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision. response:	Come to the mansion with me.
context: For the spirits to mistake the tuning is unusual.\You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius?\Did it work out?\I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision.\Come to the mansion with me. response:	I'll need at least one person from the Crusch camp with me,
context: You may have a strong affinity with spirits, perhaps.\Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius?\Did it work out?\I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision.\Come to the mansion with me.\I'll need at least one person from the Crusch camp with me, response:	to smooth over the misunderstanding with the letter.
context: Sadly, the only spirit I ever made friends with was a gray cat.\Well? Did you patch things up with Julius?\Did it work out?\I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision.\Come to the mansion with me.\I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter. response:	I'll do that after I finish my work here.
context: Well? Did you patch things up with Julius?\Did it work out?\I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision.\Come to the mansion with me.\I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here. response:	Subaru- kyun, come help us, too.
context: Did it work out?\I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision.\Come to the mansion with me.\I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here.\Subaru- kyun, come help us, too. response:	It's dangerous work involving the Witch's Cult.
context: I'm taking that matter back with me,\to mull over carefully before I make an optimistic decision.\Come to the mansion with me.\I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here.\Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult. response:	The contract said he'd buy their cargo at the asking price,
context: to mull over carefully before I make an optimistic decision.\Come to the mansion with me.\I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here.\Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price, response:	so we must thoroughly inspect the goods.
context: Come to the mansion with me.\I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here.\Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods. response:	Huh? But that shouldn't be our job.
context: I'll need at least one person from the Crusch camp with me,\to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here.\Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job. response:	Isn't this more importa
context: to smooth over the misunderstanding with the letter.\I'll do that after I finish my work here.\Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job.\Isn't this more importa response:	Oh, come on!
context: I'll do that after I finish my work here.\Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job.\Isn't this more importa\Oh, come on! response:	Hey, hey... No lovers' quarrels in my carriage!
context: Subaru- kyun, come help us, too.\It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job.\Isn't this more importa\Oh, come on!\Hey, hey... No lovers' quarrels in my carriage! response:	Hee-hee! You got in trouble, Subaru- kyun!
context: It's dangerous work involving the Witch's Cult.\The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job.\Isn't this more importa\Oh, come on!\Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun! response:	Really, what a troublemaker!
context: The contract said he'd buy their cargo at the asking price,\so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job.\Isn't this more importa\Oh, come on!\Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker! response:	There. He lowered his guard.
context: so we must thoroughly inspect the goods.\Huh? But that shouldn't be our job.\Isn't this more importa\Oh, come on!\Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker!\There. He lowered his guard. response:	This guy's one of the Witch's Cult.
context: Huh? But that shouldn't be our job.\Isn't this more importa\Oh, come on!\Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker!\There. He lowered his guard.\This guy's one of the Witch's Cult. response:	I touched him earlier to confirm it.
context: Isn't this more importa\Oh, come on!\Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker!\There. He lowered his guard.\This guy's one of the Witch's Cult.\I touched him earlier to confirm it. response:	A weird spell is implanted in him,
context: Oh, come on!\Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker!\There. He lowered his guard.\This guy's one of the Witch's Cult.\I touched him earlier to confirm it.\A weird spell is implanted in him, response:	just like the fingers of the Sin Archbishops.
context: Hey, hey... No lovers' quarrels in my carriage!\Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker!\There. He lowered his guard.\This guy's one of the Witch's Cult.\I touched him earlier to confirm it.\A weird spell is implanted in him,\just like the fingers of the Sin Archbishops. response:	One was among the merchants?
context: Hee-hee! You got in trouble, Subaru- kyun!\Really, what a troublemaker!\There. He lowered his guard.\This guy's one of the Witch's Cult.\I touched him earlier to confirm it.\A weird spell is implanted in him,\just like the fingers of the Sin Archbishops.\One was among the merchants? response:	That's why I stole into his carriage, to get under his guard.
context: Really, what a troublemaker!\There. He lowered his guard.\This guy's one of the Witch's Cult.\I touched him earlier to confirm it.\A weird spell is implanted in him,\just like the fingers of the Sin Archbishops.\One was among the merchants?\That's why I stole into his carriage, to get under his guard. response:	Now, tell us all the details concerning what you're plotting.
context: There. He lowered his guard.\This guy's one of the Witch's Cult.\I touched him earlier to confirm it.\A weird spell is implanted in him,\just like the fingers of the Sin Archbishops.\One was among the merchants?\That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting. response:	My hands are the gentlest in the world,
context: This guy's one of the Witch's Cult.\I touched him earlier to confirm it.\A weird spell is implanted in him,\just like the fingers of the Sin Archbishops.\One was among the merchants?\That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world, response:	but they can do some nasty things, too.
context: I touched him earlier to confirm it.\A weird spell is implanted in him,\just like the fingers of the Sin Archbishops.\One was among the merchants?\That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world,\but they can do some nasty things, too. response:	That's...
context: A weird spell is implanted in him,\just like the fingers of the Sin Archbishops.\One was among the merchants?\That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world,\but they can do some nasty things, too.\That's... response:	What?
context: just like the fingers of the Sin Archbishops.\One was among the merchants?\That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world,\but they can do some nasty things, too.\That's...\What? response:	And now, it's the beginning
context: One was among the merchants?\That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world,\but they can do some nasty things, too.\That's...\What?\And now, it's the beginning response:	Protect him!
context: That's why I stole into his carriage, to get under his guard.\Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world,\but they can do some nasty things, too.\That's...\What?\And now, it's the beginning\Protect him! response:	of the end!
context: Now, tell us all the details concerning what you're plotting.\My hands are the gentlest in the world,\but they can do some nasty things, too.\That's...\What?\And now, it's the beginning\Protect him!\of the end! response:	Thank goodness... You're awake.
context: My hands are the gentlest in the world,\but they can do some nasty things, too.\That's...\What?\And now, it's the beginning\Protect him!\of the end!\Thank goodness... You're awake. response:	Why are... you dressed like that?
context: but they can do some nasty things, too.\That's...\What?\And now, it's the beginning\Protect him!\of the end!\Thank goodness... You're awake.\Why are... you dressed like that? response:	I had no choice.
context: That's...\What?\And now, it's the beginning\Protect him!\of the end!\Thank goodness... You're awake.\Why are... you dressed like that?\I had no choice. response:	I can't reproduce clothes with healing magic.
context: What?\And now, it's the beginning\Protect him!\of the end!\Thank goodness... You're awake.\Why are... you dressed like that?\I had no choice.\I can't reproduce clothes with healing magic. response:	Regardless, given the situation,
