context: So, Taihei... can I come by your place for dinner tonight? response:	Sure. Not a problem.
context: Yay!\Go, go! Go, go!\Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER!\Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick?\Umaru used it and left it lying out... response:	Tanukichi must have it rough right now, huh?
context: Go, go! Go, go!\Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER!\Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick?\Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh? response:	What? She just used it yesterday.
context: Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER!\Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick?\Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh?\What? She just used it yesterday. response:	But it's right after you use it that the itching is worst.
context: HELP ME, BIG BROTHER!\Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick?\Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh?\What? She just used it yesterday.\But it's right after you use it that the itching is worst. response:	Right, Alex?
context: Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick?\Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh?\What? She just used it yesterday.\But it's right after you use it that the itching is worst.\Right, Alex? response:	Now that you mention it...
context: I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick?\Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh?\What? She just used it yesterday.\But it's right after you use it that the itching is worst.\Right, Alex?\Now that you mention it... response:	My ears itch! Help me, Big Brother!
context: Your ear pick?\Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh?\What? She just used it yesterday.\But it's right after you use it that the itching is worst.\Right, Alex?\Now that you mention it...\My ears itch! Help me, Big Brother! response:	My ears aren't right! They just aren't right!
context: Umaru used it and left it lying out...\Tanukichi must have it rough right now, huh?\What? She just used it yesterday.\But it's right after you use it that the itching is worst.\Right, Alex?\Now that you mention it...\My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right! response:	But my finger can't go all the way in!
context: Tanukichi must have it rough right now, huh?\What? She just used it yesterday.\But it's right after you use it that the itching is worst.\Right, Alex?\Now that you mention it...\My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right!\But my finger can't go all the way in! response:	I'm home.
context: What? She just used it yesterday.\But it's right after you use it that the itching is worst.\Right, Alex?\Now that you mention it...\My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right!\But my finger can't go all the way in!\I'm home. response:	B-Big Brother!
context: But it's right after you use it that the itching is worst.\Right, Alex?\Now that you mention it...\My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right!\But my finger can't go all the way in!\I'm home.\B-Big Brother! response:	See? I told you Tanukichi would be suffering...
context: Right, Alex?\Now that you mention it...\My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right!\But my finger can't go all the way in!\I'm home.\B-Big Brother!\See? I told you Tanukichi would be suffering... response:	It's your own fault for not putting things away, Umaru.
context: Now that you mention it...\My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right!\But my finger can't go all the way in!\I'm home.\B-Big Brother!\See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru. response:	Whatever, just hand it over, Bomba!
context: My ears itch! Help me, Big Brother!\My ears aren't right! They just aren't right!\But my finger can't go all the way in!\I'm home.\B-Big Brother!\See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba! response:	Here.
context: My ears aren't right! They just aren't right!\But my finger can't go all the way in!\I'm home.\B-Big Brother!\See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba!\Here. response:	Whoa!
context: But my finger can't go all the way in!\I'm home.\B-Big Brother!\See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba!\Here.\Whoa! response:	We bought one of each that they had at the store.
context: I'm home.\B-Big Brother!\See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba!\Here.\Whoa!\We bought one of each that they had at the store. response:	Bomba said he wanted to try out some different kinds...
context: B-Big Brother!\See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba!\Here.\Whoa!\We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds... response:	Who knew there were so many different ear picks?
context: See? I told you Tanukichi would be suffering...\It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba!\Here.\Whoa!\We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks? response:	Check this out. This thing looks AWESOME.
context: It's your own fault for not putting things away, Umaru.\Whatever, just hand it over, Bomba!\Here.\Whoa!\We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME. response:	Whoa!
context: Whatever, just hand it over, Bomba!\Here.\Whoa!\We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME.\Whoa! response:	The Screwdriver!
context: Here.\Whoa!\We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME.\Whoa!\The Screwdriver! response:	It's effective not just in one direction, but in ALL directions!
context: Whoa!\We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME.\Whoa!\The Screwdriver!\It's effective not just in one direction, but in ALL directions! response:	I don't like this!
context: We bought one of each that they had at the store.\Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME.\Whoa!\The Screwdriver!\It's effective not just in one direction, but in ALL directions!\I don't like this! response:	Three tiers of wires!
context: Bomba said he wanted to try out some different kinds...\Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME.\Whoa!\The Screwdriver!\It's effective not just in one direction, but in ALL directions!\I don't like this!\Three tiers of wires! response:	Each twist has three times the results, which means less work!
context: Who knew there were so many different ear picks?\Check this out. This thing looks AWESOME.\Whoa!\The Screwdriver!\It's effective not just in one direction, but in ALL directions!\I don't like this!\Three tiers of wires!\Each twist has three times the results, which means less work! response:	Help me, Boss!
context: Check this out. This thing looks AWESOME.\Whoa!\The Screwdriver!\It's effective not just in one direction, but in ALL directions!\I don't like this!\Three tiers of wires!\Each twist has three times the results, which means less work!\Help me, Boss! response:	A FLASHLIGHT!
context: Whoa!\The Screwdriver!\It's effective not just in one direction, but in ALL directions!\I don't like this!\Three tiers of wires!\Each twist has three times the results, which means less work!\Help me, Boss!\A FLASHLIGHT! response:	This will let you see the deepest parts of your ear,
context: The Screwdriver!\It's effective not just in one direction, but in ALL directions!\I don't like this!\Three tiers of wires!\Each twist has three times the results, which means less work!\Help me, Boss!\A FLASHLIGHT!\This will let you see the deepest parts of your ear, response:	for maximum focus yet little strain on your aural orifice!
context: It's effective not just in one direction, but in ALL directions!\I don't like this!\Three tiers of wires!\Each twist has three times the results, which means less work!\Help me, Boss!\A FLASHLIGHT!\This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice! response:	And there are other options as well!
context: I don't like this!\Three tiers of wires!\Each twist has three times the results, which means less work!\Help me, Boss!\A FLASHLIGHT!\This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice!\And there are other options as well! response:	Yeah!
context: Three tiers of wires!\Each twist has three times the results, which means less work!\Help me, Boss!\A FLASHLIGHT!\This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice!\And there are other options as well!\Yeah! response:	We did good, huh? She looks happy.
context: Each twist has three times the results, which means less work!\Help me, Boss!\A FLASHLIGHT!\This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice!\And there are other options as well!\Yeah!\We did good, huh? She looks happy. response:	You're going to pay me back for all this stuff, right?
context: Help me, Boss!\A FLASHLIGHT!\This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice!\And there are other options as well!\Yeah!\We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right? response:	Which one's easiest to use?
context: A FLASHLIGHT!\This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice!\And there are other options as well!\Yeah!\We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right?\Which one's easiest to use? response:	I haven't tried them all yet, so I'm not sure.
context: This will let you see the deepest parts of your ear,\for maximum focus yet little strain on your aural orifice!\And there are other options as well!\Yeah!\We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right?\Which one's easiest to use?\I haven't tried them all yet, so I'm not sure. response:	This sure takes me back...
context: for maximum focus yet little strain on your aural orifice!\And there are other options as well!\Yeah!\We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right?\Which one's easiest to use?\I haven't tried them all yet, so I'm not sure.\This sure takes me back... response:	The only time someone cleans your ears for you is when you're a kid, right?
context: And there are other options as well!\Yeah!\We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right?\Which one's easiest to use?\I haven't tried them all yet, so I'm not sure.\This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right? response:	And your mom does it...
context: Yeah!\We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right?\Which one's easiest to use?\I haven't tried them all yet, so I'm not sure.\This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it... response:	Yeah.
context: We did good, huh? She looks happy.\You're going to pay me back for all this stuff, right?\Which one's easiest to use?\I haven't tried them all yet, so I'm not sure.\This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it...\Yeah. response:	I guess you're right.
context: You're going to pay me back for all this stuff, right?\Which one's easiest to use?\I haven't tried them all yet, so I'm not sure.\This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it...\Yeah.\I guess you're right. response:	Say, Taihei, do me next.
context: Which one's easiest to use?\I haven't tried them all yet, so I'm not sure.\This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it...\Yeah.\I guess you're right.\Say, Taihei, do me next. response:	Do it yourself.
context: I haven't tried them all yet, so I'm not sure.\This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it...\Yeah.\I guess you're right.\Say, Taihei, do me next.\Do it yourself. response:	Hey, have you heard?
context: This sure takes me back...\The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it...\Yeah.\I guess you're right.\Say, Taihei, do me next.\Do it yourself.\Hey, have you heard? response:	Heard what?
context: The only time someone cleans your ears for you is when you're a kid, right?\And your mom does it...\Yeah.\I guess you're right.\Say, Taihei, do me next.\Do it yourself.\Hey, have you heard?\Heard what? response:	They say Umaru's brother is some totally handsome actor.
context: And your mom does it...\Yeah.\I guess you're right.\Say, Taihei, do me next.\Do it yourself.\Hey, have you heard?\Heard what?\They say Umaru's brother is some totally handsome actor. response:	Huh?!
context: Yeah.\I guess you're right.\Say, Taihei, do me next.\Do it yourself.\Hey, have you heard?\Heard what?\They say Umaru's brother is some totally handsome actor.\Huh?! response:	And supposedly, her dad is German!
context: I guess you're right.\Say, Taihei, do me next.\Do it yourself.\Hey, have you heard?\Heard what?\They say Umaru's brother is some totally handsome actor.\Huh?!\And supposedly, her dad is German! response:	That's awesome!
context: Say, Taihei, do me next.\Do it yourself.\Hey, have you heard?\Heard what?\They say Umaru's brother is some totally handsome actor.\Huh?!\And supposedly, her dad is German!\That's awesome! response:	She really is cool, huh?
context: Do it yourself.\Hey, have you heard?\Heard what?\They say Umaru's brother is some totally handsome actor.\Huh?!\And supposedly, her dad is German!\That's awesome!\She really is cool, huh? response:	My dad's German... and Taihei is a handsome actor? She really is cool, huh?
context: Hey, have you heard?\Heard what?\They say Umaru's brother is some totally handsome actor.\Huh?!\And supposedly, her dad is German!\That's awesome!\She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh? response:	My dad's German... and Taihei is a handsome actor? I know, right?
context: Heard what?\They say Umaru's brother is some totally handsome actor.\Huh?!\And supposedly, her dad is German!\That's awesome!\She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right? response:	My dad's German... and Taihei is a handsome actor? So cool!
context: They say Umaru's brother is some totally handsome actor.\Huh?!\And supposedly, her dad is German!\That's awesome!\She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool! response:	Yeah!
context: Huh?!\And supposedly, her dad is German!\That's awesome!\She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool!\Yeah! response:	Totally!
context: And supposedly, her dad is German!\That's awesome!\She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool!\Yeah!\Totally! response:	I don't know where these rumors are coming from, but they keep spreading and changing...
context: That's awesome!\She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool!\Yeah!\Totally!\I don't know where these rumors are coming from, but they keep spreading and changing... response:	UMR!
context: She really is cool, huh?\My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool!\Yeah!\Totally!\I don't know where these rumors are coming from, but they keep spreading and changing...\UMR! response:	Shwpa-pa-pa-pa-pa...!
context: My dad's German... and Taihei is a handsome actor? She really is cool, huh?\My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool!\Yeah!\Totally!\I don't know where these rumors are coming from, but they keep spreading and changing...\UMR!\Shwpa-pa-pa-pa-pa...! response:	Shbwaaa!
context: My dad's German... and Taihei is a handsome actor? I know, right?\My dad's German... and Taihei is a handsome actor? So cool!\Yeah!\Totally!\I don't know where these rumors are coming from, but they keep spreading and changing...\UMR!\Shwpa-pa-pa-pa-pa...!\Shbwaaa! response:	I've kept you waiting indeed!
context: My dad's German... and Taihei is a handsome actor? So cool!\Yeah!\Totally!\I don't know where these rumors are coming from, but they keep spreading and changing...\UMR!\Shwpa-pa-pa-pa-pa...!\Shbwaaa!\I've kept you waiting indeed! response:	I wish to ask your advice on something...
context: Yeah!\Totally!\I don't know where these rumors are coming from, but they keep spreading and changing...\UMR!\Shwpa-pa-pa-pa-pa...!\Shbwaaa!\I've kept you waiting indeed!\I wish to ask your advice on something... response:	You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...
context: Totally!\I don't know where these rumors are coming from, but they keep spreading and changing...\UMR!\Shwpa-pa-pa-pa-pa...!\Shbwaaa!\I've kept you waiting indeed!\I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but... response:	sure enough, you can't trust every rumor you hear.
context: I don't know where these rumors are coming from, but they keep spreading and changing...\UMR!\Shwpa-pa-pa-pa-pa...!\Shbwaaa!\I've kept you waiting indeed!\I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear. response:	So, what do you think?
context: UMR!\Shwpa-pa-pa-pa-pa...!\Shbwaaa!\I've kept you waiting indeed!\I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear.\So, what do you think? response:	Huh? Sorry, I didn't catch what you said.
context: Shwpa-pa-pa-pa-pa...!\Shbwaaa!\I've kept you waiting indeed!\I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear.\So, what do you think?\Huh? Sorry, I didn't catch what you said. response:	UMR, I would like to invite you over to my house today. Indeed!
context: Shbwaaa!\I've kept you waiting indeed!\I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear.\So, what do you think?\Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed! response:	This is the place!
context: I've kept you waiting indeed!\I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear.\So, what do you think?\Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed!\This is the place! response:	It's so Japanese...
context: I wish to ask your advice on something...\You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear.\So, what do you think?\Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed!\This is the place!\It's so Japanese... response:	And we have hopscotch stepping stones!
context: You know, I didn't think Sylphyn would be the type to sit down and talk like this, but...\sure enough, you can't trust every rumor you hear.\So, what do you think?\Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed!\This is the place!\It's so Japanese...\And we have hopscotch stepping stones! response:	One, two, three! One, two, three! One, two, three!
context: sure enough, you can't trust every rumor you hear.\So, what do you think?\Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed!\This is the place!\It's so Japanese...\And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three! response:	One, two...
context: So, what do you think?\Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed!\This is the place!\It's so Japanese...\And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three!\One, two... response:	One, two, three!
context: Huh? Sorry, I didn't catch what you said.\UMR, I would like to invite you over to my house today. Indeed!\This is the place!\It's so Japanese...\And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three!\One, two...\One, two, three! response:	I am sliding indeed!
context: UMR, I would like to invite you over to my house today. Indeed!\This is the place!\It's so Japanese...\And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three!\One, two...\One, two, three!\I am sliding indeed! response:	This place is so big...
context: This is the place!\It's so Japanese...\And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three!\One, two...\One, two, three!\I am sliding indeed!\This place is so big... response:	It seems like it has some history to it.
context: It's so Japanese...\And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three!\One, two...\One, two, three!\I am sliding indeed!\This place is so big...\It seems like it has some history to it. response:	This is...
context: And we have hopscotch stepping stones!\One, two, three! One, two, three! One, two, three!\One, two...\One, two, three!\I am sliding indeed!\This place is so big...\It seems like it has some history to it.\This is... response:	Anime is a part of Japanese culture!
context: One, two, three! One, two, three! One, two, three!\One, two...\One, two, three!\I am sliding indeed!\This place is so big...\It seems like it has some history to it.\This is...\Anime is a part of Japanese culture! response:	OH, yeah... Sylphyn and Alex are brother and sister, right?
context: One, two...\One, two, three!\I am sliding indeed!\This place is so big...\It seems like it has some history to it.\This is...\Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right? response:	It's a weekday, so I guess he's not here.
context: One, two, three!\I am sliding indeed!\This place is so big...\It seems like it has some history to it.\This is...\Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here. response:	It's right down this stairway, UMR!
context: I am sliding indeed!\This place is so big...\It seems like it has some history to it.\This is...\Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here.\It's right down this stairway, UMR! response:	Wh-what's going on?
context: This place is so big...\It seems like it has some history to it.\This is...\Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here.\It's right down this stairway, UMR!\Wh-what's going on? response:	Is she going to try something down there in the basement?
context: It seems like it has some history to it.\This is...\Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here.\It's right down this stairway, UMR!\Wh-what's going on?\Is she going to try something down there in the basement? response:	Wow! Look at all these books!
context: This is...\Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here.\It's right down this stairway, UMR!\Wh-what's going on?\Is she going to try something down there in the basement?\Wow! Look at all these books! response:	Indeed, we should study for our tests!
context: Anime is a part of Japanese culture!\OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here.\It's right down this stairway, UMR!\Wh-what's going on?\Is she going to try something down there in the basement?\Wow! Look at all these books!\Indeed, we should study for our tests! response:	What?!
context: OH, yeah... Sylphyn and Alex are brother and sister, right?\It's a weekday, so I guess he's not here.\It's right down this stairway, UMR!\Wh-what's going on?\Is she going to try something down there in the basement?\Wow! Look at all these books!\Indeed, we should study for our tests!\What?! response:	It's almost time for midterm exams.
context: It's a weekday, so I guess he's not here.\It's right down this stairway, UMR!\Wh-what's going on?\Is she going to try something down there in the basement?\Wow! Look at all these books!\Indeed, we should study for our tests!\What?!\It's almost time for midterm exams. response:	I assume you have them at your school as well.
context: It's right down this stairway, UMR!\Wh-what's going on?\Is she going to try something down there in the basement?\Wow! Look at all these books!\Indeed, we should study for our tests!\What?!\It's almost time for midterm exams.\I assume you have them at your school as well. response:	We do, but... wait, we're at the SAME school.
context: Wh-what's going on?\Is she going to try something down there in the basement?\Wow! Look at all these books!\Indeed, we should study for our tests!\What?!\It's almost time for midterm exams.\I assume you have them at your school as well.\We do, but... wait, we're at the SAME school. response:	This time, I WILL get a better score than Umaru!
context: Is she going to try something down there in the basement?\Wow! Look at all these books!\Indeed, we should study for our tests!\What?!\It's almost time for midterm exams.\I assume you have them at your school as well.\We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru! response:	You really think you can beat me?
context: Wow! Look at all these books!\Indeed, we should study for our tests!\What?!\It's almost time for midterm exams.\I assume you have them at your school as well.\We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru!\You really think you can beat me? response:	The Umaru you're talking about is right here in front of you...
context: Indeed, we should study for our tests!\What?!\It's almost time for midterm exams.\I assume you have them at your school as well.\We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru!\You really think you can beat me?\The Umaru you're talking about is right here in front of you... response:	Like, I read poetry in our house's library.
context: What?!\It's almost time for midterm exams.\I assume you have them at your school as well.\We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru!\You really think you can beat me?\The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library. response:	But this is a one-room apartment
context: It's almost time for midterm exams.\I assume you have them at your school as well.\We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru!\You really think you can beat me?\The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library.\But this is a one-room apartment response:	What's your score?
context: I assume you have them at your school as well.\We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru!\You really think you can beat me?\The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library.\But this is a one-room apartment\What's your score? response:	This is what it will take to beat me!
context: We do, but... wait, we're at the SAME school.\This time, I WILL get a better score than Umaru!\You really think you can beat me?\The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library.\But this is a one-room apartment\What's your score?\This is what it will take to beat me! response:	I always study in our private library.
context: This time, I WILL get a better score than Umaru!\You really think you can beat me?\The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library.\But this is a one-room apartment\What's your score?\This is what it will take to beat me!\I always study in our private library. response:	Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!
context: You really think you can beat me?\The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library.\But this is a one-room apartment\What's your score?\This is what it will take to beat me!\I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese! response:	They say Umaru's house has its own library.
context: The Umaru you're talking about is right here in front of you...\Like, I read poetry in our house's library.\But this is a one-room apartment\What's your score?\This is what it will take to beat me!\I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library. response:	Wow... I wonder if she studies poetry.
context: Like, I read poetry in our house's library.\But this is a one-room apartment\What's your score?\This is what it will take to beat me!\I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library.\Wow... I wonder if she studies poetry. response:	Wait, are you serious?!
context: But this is a one-room apartment\What's your score?\This is what it will take to beat me!\I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library.\Wow... I wonder if she studies poetry.\Wait, are you serious?! response:	What's the matter, UMR?
context: What's your score?\This is what it will take to beat me!\I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library.\Wow... I wonder if she studies poetry.\Wait, are you serious?!\What's the matter, UMR? response:	No, it's just... you can't trust rumors, can you?
context: This is what it will take to beat me!\I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library.\Wow... I wonder if she studies poetry.\Wait, are you serious?!\What's the matter, UMR?\No, it's just... you can't trust rumors, can you? response:	Rumors? I would like to hear more of this indeed!
context: I always study in our private library.\Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library.\Wow... I wonder if she studies poetry.\Wait, are you serious?!\What's the matter, UMR?\No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed! response:	So, what sort of rumors are these, UMR?
context: Nice to meet you. I am Sylphynford Tachibana. My father is German and my mother is Japanese!\They say Umaru's house has its own library.\Wow... I wonder if she studies poetry.\Wait, are you serious?!\What's the matter, UMR?\No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR? response:	UMARU!
context: They say Umaru's house has its own library.\Wow... I wonder if she studies poetry.\Wait, are you serious?!\What's the matter, UMR?\No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR?\UMARU! response:	Gah! What, what happened?!
context: Wow... I wonder if she studies poetry.\Wait, are you serious?!\What's the matter, UMR?\No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR?\UMARU!\Gah! What, what happened?! response:	Big Brother, I swear.
context: Wait, are you serious?!\What's the matter, UMR?\No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR?\UMARU!\Gah! What, what happened?!\Big Brother, I swear. response:	It's not even time for spring cleaning yet!
context: What's the matter, UMR?\No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR?\UMARU!\Gah! What, what happened?!\Big Brother, I swear.\It's not even time for spring cleaning yet! response:	Listen closely, Umaru.
context: No, it's just... you can't trust rumors, can you?\Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR?\UMARU!\Gah! What, what happened?!\Big Brother, I swear.\It's not even time for spring cleaning yet!\Listen closely, Umaru. response:	Gah!
context: Rumors? I would like to hear more of this indeed!\So, what sort of rumors are these, UMR?\UMARU!\Gah! What, what happened?!\Big Brother, I swear.\It's not even time for spring cleaning yet!\Listen closely, Umaru.\Gah! response:	It's about your attitude, and how you don't care how dirty things get.
context: So, what sort of rumors are these, UMR?\UMARU!\Gah! What, what happened?!\Big Brother, I swear.\It's not even time for spring cleaning yet!\Listen closely, Umaru.\Gah!\It's about your attitude, and how you don't care how dirty things get. response:	This is a detox, for the soul!
