context: All right! I'm off! response:	Okay! Hurry back!
context: I'll do anything if it's to master the technique.\Train?\Hey, you!\Huh?\Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training! response:	He's the one who jumped to the wrong conclusions.
context: Train?\Hey, you!\Huh?\Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions. response:	I've never seen Inuyasha looking so earnest.
context: Hey, you!\Huh?\Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest. response:	If he learns the truth, I fear what will happen!
context: Huh?\Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen! response:	What?!
context: Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen!\What?! response:	All you wanted was bath water?!
context: Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen!\What?!\All you wanted was bath water?! response:	How frightening! It's making me shiver with fear!
context: When one is old, fetching water is so difficult.\When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen!\What?!\All you wanted was bath water?!\How frightening! It's making me shiver with fear! response:	Oh... I'm getting chicken skin.
context: When I mentioned it, before I knew it, he decided it was training!\He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen!\What?!\All you wanted was bath water?!\How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin. response:	Huh? I came to wash your back.
context: He's the one who jumped to the wrong conclusions.\I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen!\What?!\All you wanted was bath water?!\How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin.\Huh? I came to wash your back. response:	If you're cold, I'd better burn more wood.
context: I've never seen Inuyasha looking so earnest.\If he learns the truth, I fear what will happen!\What?!\All you wanted was bath water?!\How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin.\Huh? I came to wash your back.\If you're cold, I'd better burn more wood. response:	Here, have mine.
context: If he learns the truth, I fear what will happen!\What?!\All you wanted was bath water?!\How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin.\Huh? I came to wash your back.\If you're cold, I'd better burn more wood.\Here, have mine. response:	You sure?
context: What?!\All you wanted was bath water?!\How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin.\Huh? I came to wash your back.\If you're cold, I'd better burn more wood.\Here, have mine.\You sure? response:	You're sick. Don't question!
context: All you wanted was bath water?!\How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin.\Huh? I came to wash your back.\If you're cold, I'd better burn more wood.\Here, have mine.\You sure?\You're sick. Don't question! response:	Sorry.
context: How frightening! It's making me shiver with fear!\Oh... I'm getting chicken skin.\Huh? I came to wash your back.\If you're cold, I'd better burn more wood.\Here, have mine.\You sure?\You're sick. Don't question!\Sorry. response:	Why do you want to train?
context: Oh... I'm getting chicken skin.\Huh? I came to wash your back.\If you're cold, I'd better burn more wood.\Here, have mine.\You sure?\You're sick. Don't question!\Sorry.\Why do you want to train? response:	Well, you don't have to talk if you don't feel like it.
context: Huh? I came to wash your back.\If you're cold, I'd better burn more wood.\Here, have mine.\You sure?\You're sick. Don't question!\Sorry.\Why do you want to train?\Well, you don't have to talk if you don't feel like it. response:	A demon named Nanafushi took over the mountain where we,
context: If you're cold, I'd better burn more wood.\Here, have mine.\You sure?\You're sick. Don't question!\Sorry.\Why do you want to train?\Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we, response:	the Lynx Demon tribe, lived.
context: Here, have mine.\You sure?\You're sick. Don't question!\Sorry.\Why do you want to train?\Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived. response:	And he built a barrier around it.
context: You sure?\You're sick. Don't question!\Sorry.\Why do you want to train?\Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived.\And he built a barrier around it. response:	We weren't able to go into the mountain, couldn't gather food...
context: You're sick. Don't question!\Sorry.\Why do you want to train?\Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived.\And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food... response:	our entire lives were disrupted.
context: Sorry.\Why do you want to train?\Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived.\And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted. response:	According to Pa, who's the tribe leader,
context: Why do you want to train?\Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived.\And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted.\According to Pa, who's the tribe leader, response:	only Totosai can make a weapon that would break the barrier.
context: Well, you don't have to talk if you don't feel like it.\A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived.\And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted.\According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier. response:	And Totosai would know a special technique.
context: A demon named Nanafushi took over the mountain where we,\the Lynx Demon tribe, lived.\And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted.\According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique. response:	But Totosai is an old eccentric,
context: the Lynx Demon tribe, lived.\And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted.\According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique.\But Totosai is an old eccentric, response:	who refuses to teach just anyone.
context: And he built a barrier around it.\We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted.\According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique.\But Totosai is an old eccentric,\who refuses to teach just anyone. response:	The members of the tribe are beginning to turn their backs on Pa.
context: We weren't able to go into the mountain, couldn't gather food...\our entire lives were disrupted.\According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique.\But Totosai is an old eccentric,\who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa. response:	I want everyone to recognize Pa as their leader once more!
context: our entire lives were disrupted.\According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique.\But Totosai is an old eccentric,\who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more! response:	For Pa's sake, I must learn and master the technique!
context: According to Pa, who's the tribe leader,\only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique.\But Totosai is an old eccentric,\who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique! response:	That's!
context: only Totosai can make a weapon that would break the barrier.\And Totosai would know a special technique.\But Totosai is an old eccentric,\who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique!\That's! response:	Torako! Is that you, Torako?
context: And Totosai would know a special technique.\But Totosai is an old eccentric,\who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique!\That's!\Torako! Is that you, Torako? response:	Why've you come here?
context: But Totosai is an old eccentric,\who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique!\That's!\Torako! Is that you, Torako?\Why've you come here? response:	What?!
context: who refuses to teach just anyone.\The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique!\That's!\Torako! Is that you, Torako?\Why've you come here?\What?! response:	Huh? What's wrong, Bunza?
context: The members of the tribe are beginning to turn their backs on Pa.\I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique!\That's!\Torako! Is that you, Torako?\Why've you come here?\What?!\Huh? What's wrong, Bunza? response:	Pa went to get Nanafushi!
context: I want everyone to recognize Pa as their leader once more!\For Pa's sake, I must learn and master the technique!\That's!\Torako! Is that you, Torako?\Why've you come here?\What?!\Huh? What's wrong, Bunza?\Pa went to get Nanafushi! response:	He went inside the barrier to take back the mountain...
context: For Pa's sake, I must learn and master the technique!\That's!\Torako! Is that you, Torako?\Why've you come here?\What?!\Huh? What's wrong, Bunza?\Pa went to get Nanafushi!\He went inside the barrier to take back the mountain... response:	even if he doesn't know the technique!
context: That's!\Torako! Is that you, Torako?\Why've you come here?\What?!\Huh? What's wrong, Bunza?\Pa went to get Nanafushi!\He went inside the barrier to take back the mountain...\even if he doesn't know the technique! response:	Bunza!
context: Torako! Is that you, Torako?\Why've you come here?\What?!\Huh? What's wrong, Bunza?\Pa went to get Nanafushi!\He went inside the barrier to take back the mountain...\even if he doesn't know the technique!\Bunza! response:	Huh? I sensed something just now...
context: Why've you come here?\What?!\Huh? What's wrong, Bunza?\Pa went to get Nanafushi!\He went inside the barrier to take back the mountain...\even if he doesn't know the technique!\Bunza!\Huh? I sensed something just now... response:	Huh? Sensed something?
context: What?!\Huh? What's wrong, Bunza?\Pa went to get Nanafushi!\He went inside the barrier to take back the mountain...\even if he doesn't know the technique!\Bunza!\Huh? I sensed something just now...\Huh? Sensed something? response:	Hey! Did Bunza come this way?
context: Huh? What's wrong, Bunza?\Pa went to get Nanafushi!\He went inside the barrier to take back the mountain...\even if he doesn't know the technique!\Bunza!\Huh? I sensed something just now...\Huh? Sensed something?\Hey! Did Bunza come this way? response:	Huh? Oh, that may've been Bunza just now.
context: Pa went to get Nanafushi!\He went inside the barrier to take back the mountain...\even if he doesn't know the technique!\Bunza!\Huh? I sensed something just now...\Huh? Sensed something?\Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now. response:	Which way'd he go?
context: He went inside the barrier to take back the mountain...\even if he doesn't know the technique!\Bunza!\Huh? I sensed something just now...\Huh? Sensed something?\Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now.\Which way'd he go? response:	Atta way.
context: even if he doesn't know the technique!\Bunza!\Huh? I sensed something just now...\Huh? Sensed something?\Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now.\Which way'd he go?\Atta way. response:	That Bunza!
context: Bunza!\Huh? I sensed something just now...\Huh? Sensed something?\Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now.\Which way'd he go?\Atta way.\That Bunza! response:	I'm not itchy at all.
context: Huh? I sensed something just now...\Huh? Sensed something?\Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now.\Which way'd he go?\Atta way.\That Bunza!\I'm not itchy at all. response:	Is it this way, Torako?
context: Huh? Sensed something?\Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now.\Which way'd he go?\Atta way.\That Bunza!\I'm not itchy at all.\Is it this way, Torako? response:	There!
context: Hey! Did Bunza come this way?\Huh? Oh, that may've been Bunza just now.\Which way'd he go?\Atta way.\That Bunza!\I'm not itchy at all.\Is it this way, Torako?\There! response:	Bunza!
context: Huh? Oh, that may've been Bunza just now.\Which way'd he go?\Atta way.\That Bunza!\I'm not itchy at all.\Is it this way, Torako?\There!\Bunza! response:	Bunza!
context: Which way'd he go?\Atta way.\That Bunza!\I'm not itchy at all.\Is it this way, Torako?\There!\Bunza!\Bunza! response:	Inuyasha?
context: Atta way.\That Bunza!\I'm not itchy at all.\Is it this way, Torako?\There!\Bunza!\Bunza!\Inuyasha? response:	We'll go together! I'll help.
context: That Bunza!\I'm not itchy at all.\Is it this way, Torako?\There!\Bunza!\Bunza!\Inuyasha?\We'll go together! I'll help. response:	I refuse!
context: I'm not itchy at all.\Is it this way, Torako?\There!\Bunza!\Bunza!\Inuyasha?\We'll go together! I'll help.\I refuse! response:	Why?
context: Is it this way, Torako?\There!\Bunza!\Bunza!\Inuyasha?\We'll go together! I'll help.\I refuse!\Why? response:	He's my Pa! I'll rescue him myself.
context: There!\Bunza!\Bunza!\Inuyasha?\We'll go together! I'll help.\I refuse!\Why?\He's my Pa! I'll rescue him myself. response:	It's got nothing to do with you. You're under no obligation to help.
context: Bunza!\Bunza!\Inuyasha?\We'll go together! I'll help.\I refuse!\Why?\He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help. response:	Cut it out!
context: Bunza!\Inuyasha?\We'll go together! I'll help.\I refuse!\Why?\He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help.\Cut it out! response:	Didn't you say we were brother apprentices?!
context: Inuyasha?\We'll go together! I'll help.\I refuse!\Why?\He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help.\Cut it out!\Didn't you say we were brother apprentices?! response:	The senior apprentice and the junior.
context: We'll go together! I'll help.\I refuse!\Why?\He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help.\Cut it out!\Didn't you say we were brother apprentices?!\The senior apprentice and the junior. response:	Isn't that connection enough to help?
context: I refuse!\Why?\He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help.\Cut it out!\Didn't you say we were brother apprentices?!\The senior apprentice and the junior.\Isn't that connection enough to help? response:	Well, ain't it?!
context: Why?\He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help.\Cut it out!\Didn't you say we were brother apprentices?!\The senior apprentice and the junior.\Isn't that connection enough to help?\Well, ain't it?! response:	Wait!
context: He's my Pa! I'll rescue him myself.\It's got nothing to do with you. You're under no obligation to help.\Cut it out!\Didn't you say we were brother apprentices?!\The senior apprentice and the junior.\Isn't that connection enough to help?\Well, ain't it?!\Wait! response:	Your Pa's inside the barrier!
context: It's got nothing to do with you. You're under no obligation to help.\Cut it out!\Didn't you say we were brother apprentices?!\The senior apprentice and the junior.\Isn't that connection enough to help?\Well, ain't it?!\Wait!\Your Pa's inside the barrier! response:	Huh? You're right!
context: Cut it out!\Didn't you say we were brother apprentices?!\The senior apprentice and the junior.\Isn't that connection enough to help?\Well, ain't it?!\Wait!\Your Pa's inside the barrier!\Huh? You're right! response:	But how'd he get inside the barrier?
context: Didn't you say we were brother apprentices?!\The senior apprentice and the junior.\Isn't that connection enough to help?\Well, ain't it?!\Wait!\Your Pa's inside the barrier!\Huh? You're right!\But how'd he get inside the barrier? response:	Nanafushi opened the barrier so he could kill Pa!
context: The senior apprentice and the junior.\Isn't that connection enough to help?\Well, ain't it?!\Wait!\Your Pa's inside the barrier!\Huh? You're right!\But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa! response:	Pa knew it was a trap!
context: Isn't that connection enough to help?\Well, ain't it?!\Wait!\Your Pa's inside the barrier!\Huh? You're right!\But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap! response:	Still, in order to save the others...
context: Well, ain't it?!\Wait!\Your Pa's inside the barrier!\Huh? You're right!\But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap!\Still, in order to save the others... response:	He chose to fight as the leader of the Lynx tribe!
context: Wait!\Your Pa's inside the barrier!\Huh? You're right!\But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap!\Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe! response:	Wait!
context: Your Pa's inside the barrier!\Huh? You're right!\But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap!\Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe!\Wait! response:	I'll go.
context: Huh? You're right!\But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap!\Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe!\Wait!\I'll go. response:	He's my father! It's a son's duty to save his father!
context: But how'd he get inside the barrier?\Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap!\Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe!\Wait!\I'll go.\He's my father! It's a son's duty to save his father! response:	Then I'm coming along as your junior!
context: Nanafushi opened the barrier so he could kill Pa!\Pa knew it was a trap!\Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe!\Wait!\I'll go.\He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior! response:	That okay, senior?
context: Pa knew it was a trap!\Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe!\Wait!\I'll go.\He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior!\That okay, senior? response:	Yeah... Brother.
context: Still, in order to save the others...\He chose to fight as the leader of the Lynx tribe!\Wait!\I'll go.\He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior!\That okay, senior?\Yeah... Brother. response:	Your father's okay. We made it in time to save him.
context: He chose to fight as the leader of the Lynx tribe!\Wait!\I'll go.\He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior!\That okay, senior?\Yeah... Brother.\Your father's okay. We made it in time to save him. response:	Hey!
context: Wait!\I'll go.\He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior!\That okay, senior?\Yeah... Brother.\Your father's okay. We made it in time to save him.\Hey! response:	Don't be hasty!
context: I'll go.\He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior!\That okay, senior?\Yeah... Brother.\Your father's okay. We made it in time to save him.\Hey!\Don't be hasty! response:	It didn't work!
context: He's my father! It's a son's duty to save his father!\Then I'm coming along as your junior!\That okay, senior?\Yeah... Brother.\Your father's okay. We made it in time to save him.\Hey!\Don't be hasty!\It didn't work! response:	It didn't work at all. I'm no good!
context: Then I'm coming along as your junior!\That okay, senior?\Yeah... Brother.\Your father's okay. We made it in time to save him.\Hey!\Don't be hasty!\It didn't work!\It didn't work at all. I'm no good! response:	No such thing.
context: That okay, senior?\Yeah... Brother.\Your father's okay. We made it in time to save him.\Hey!\Don't be hasty!\It didn't work!\It didn't work at all. I'm no good!\No such thing. response:	Your attack has Nanafushi scared.
context: Yeah... Brother.\Your father's okay. We made it in time to save him.\Hey!\Don't be hasty!\It didn't work!\It didn't work at all. I'm no good!\No such thing.\Your attack has Nanafushi scared. response:	It's him!
context: Your father's okay. We made it in time to save him.\Hey!\Don't be hasty!\It didn't work!\It didn't work at all. I'm no good!\No such thing.\Your attack has Nanafushi scared.\It's him! response:	He's coming!
context: Hey!\Don't be hasty!\It didn't work!\It didn't work at all. I'm no good!\No such thing.\Your attack has Nanafushi scared.\It's him!\He's coming! response:	Quit hiding and come on out!
context: Don't be hasty!\It didn't work!\It didn't work at all. I'm no good!\No such thing.\Your attack has Nanafushi scared.\It's him!\He's coming!\Quit hiding and come on out! response:	Awright... perfect.
context: It didn't work!\It didn't work at all. I'm no good!\No such thing.\Your attack has Nanafushi scared.\It's him!\He's coming!\Quit hiding and come on out!\Awright... perfect. response:	Taking up the safe spot all for yourself.
context: It didn't work at all. I'm no good!\No such thing.\Your attack has Nanafushi scared.\It's him!\He's coming!\Quit hiding and come on out!\Awright... perfect.\Taking up the safe spot all for yourself. response:	You've got some nerve!
context: No such thing.\Your attack has Nanafushi scared.\It's him!\He's coming!\Quit hiding and come on out!\Awright... perfect.\Taking up the safe spot all for yourself.\You've got some nerve! response:	Wow!
context: Your attack has Nanafushi scared.\It's him!\He's coming!\Quit hiding and come on out!\Awright... perfect.\Taking up the safe spot all for yourself.\You've got some nerve!\Wow! response:	It was a short time,
context: It's him!\He's coming!\Quit hiding and come on out!\Awright... perfect.\Taking up the safe spot all for yourself.\You've got some nerve!\Wow!\It was a short time, response:	but I'll see what my training with Totosai yields.
context: He's coming!\Quit hiding and come on out!\Awright... perfect.\Taking up the safe spot all for yourself.\You've got some nerve!\Wow!\It was a short time,\but I'll see what my training with Totosai yields. response:	My training with you.
context: Quit hiding and come on out!\Awright... perfect.\Taking up the safe spot all for yourself.\You've got some nerve!\Wow!\It was a short time,\but I'll see what my training with Totosai yields.\My training with you. response:	Although it was for just a day.
context: Awright... perfect.\Taking up the safe spot all for yourself.\You've got some nerve!\Wow!\It was a short time,\but I'll see what my training with Totosai yields.\My training with you.\Although it was for just a day. response:	But I'll put it all into this sword!
context: Taking up the safe spot all for yourself.\You've got some nerve!\Wow!\It was a short time,\but I'll see what my training with Totosai yields.\My training with you.\Although it was for just a day.\But I'll put it all into this sword! response:	Do it, Brother!
context: You've got some nerve!\Wow!\It was a short time,\but I'll see what my training with Totosai yields.\My training with you.\Although it was for just a day.\But I'll put it all into this sword!\Do it, Brother! response:	Gotcha!
context: Wow!\It was a short time,\but I'll see what my training with Totosai yields.\My training with you.\Although it was for just a day.\But I'll put it all into this sword!\Do it, Brother!\Gotcha! response:	Wind... Scar!
context: It was a short time,\but I'll see what my training with Totosai yields.\My training with you.\Although it was for just a day.\But I'll put it all into this sword!\Do it, Brother!\Gotcha!\Wind... Scar! response:	You did it!
context: but I'll see what my training with Totosai yields.\My training with you.\Although it was for just a day.\But I'll put it all into this sword!\Do it, Brother!\Gotcha!\Wind... Scar!\You did it! response:	Oh-oh-oh!
context: My training with you.\Although it was for just a day.\But I'll put it all into this sword!\Do it, Brother!\Gotcha!\Wind... Scar!\You did it!\Oh-oh-oh! response:	Why, you!
context: Although it was for just a day.\But I'll put it all into this sword!\Do it, Brother!\Gotcha!\Wind... Scar!\You did it!\Oh-oh-oh!\Why, you! response:	Not giving up?
context: But I'll put it all into this sword!\Do it, Brother!\Gotcha!\Wind... Scar!\You did it!\Oh-oh-oh!\Why, you!\Not giving up? response:	That's fun.
context: Do it, Brother!\Gotcha!\Wind... Scar!\You did it!\Oh-oh-oh!\Why, you!\Not giving up?\That's fun. response:	Take this!
context: Gotcha!\Wind... Scar!\You did it!\Oh-oh-oh!\Why, you!\Not giving up?\That's fun.\Take this! response:	Amazing!
context: Wind... Scar!\You did it!\Oh-oh-oh!\Why, you!\Not giving up?\That's fun.\Take this!\Amazing! response:	It... it was Master Totosai's training, after all.
context: You did it!\Oh-oh-oh!\Why, you!\Not giving up?\That's fun.\Take this!\Amazing!\It... it was Master Totosai's training, after all. response:	I guess!
context: Oh-oh-oh!\Why, you!\Not giving up?\That's fun.\Take this!\Amazing!\It... it was Master Totosai's training, after all.\I guess! response:	I kinda feel like I'm stronger than before.
context: Why, you!\Not giving up?\That's fun.\Take this!\Amazing!\It... it was Master Totosai's training, after all.\I guess!\I kinda feel like I'm stronger than before. response:	Keep up with your training!
context: Not giving up?\That's fun.\Take this!\Amazing!\It... it was Master Totosai's training, after all.\I guess!\I kinda feel like I'm stronger than before.\Keep up with your training! response:	Yeah! You too.
context: That's fun.\Take this!\Amazing!\It... it was Master Totosai's training, after all.\I guess!\I kinda feel like I'm stronger than before.\Keep up with your training!\Yeah! You too. response:	You've saved your Pa. Now train to become the leader of your tribe!
context: Take this!\Amazing!\It... it was Master Totosai's training, after all.\I guess!\I kinda feel like I'm stronger than before.\Keep up with your training!\Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe! response:	We'll meet again, won't we?
context: Amazing!\It... it was Master Totosai's training, after all.\I guess!\I kinda feel like I'm stronger than before.\Keep up with your training!\Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we? response:	Yeah!
context: It... it was Master Totosai's training, after all.\I guess!\I kinda feel like I'm stronger than before.\Keep up with your training!\Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we?\Yeah! response:	Come see us... Brother!
context: I guess!\I kinda feel like I'm stronger than before.\Keep up with your training!\Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we?\Yeah!\Come see us... Brother! response:	Oh, Inuyasha? Where've you been?
context: I kinda feel like I'm stronger than before.\Keep up with your training!\Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we?\Yeah!\Come see us... Brother!\Oh, Inuyasha? Where've you been? response:	Well... just out.
context: Keep up with your training!\Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we?\Yeah!\Come see us... Brother!\Oh, Inuyasha? Where've you been?\Well... just out. response:	But listen, your training worked. I'm stronger.
context: Yeah! You too.\You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we?\Yeah!\Come see us... Brother!\Oh, Inuyasha? Where've you been?\Well... just out.\But listen, your training worked. I'm stronger. response:	Huh?
context: You've saved your Pa. Now train to become the leader of your tribe!\We'll meet again, won't we?\Yeah!\Come see us... Brother!\Oh, Inuyasha? Where've you been?\Well... just out.\But listen, your training worked. I'm stronger.\Huh? response:	Sorry... I made you do those things.
context: We'll meet again, won't we?\Yeah!\Come see us... Brother!\Oh, Inuyasha? Where've you been?\Well... just out.\But listen, your training worked. I'm stronger.\Huh?\Sorry... I made you do those things. response:	Those things?
context: Yeah!\Come see us... Brother!\Oh, Inuyasha? Where've you been?\Well... just out.\But listen, your training worked. I'm stronger.\Huh?\Sorry... I made you do those things.\Those things? response:	Hmm... It's hard to say...
context: Come see us... Brother!\Oh, Inuyasha? Where've you been?\Well... just out.\But listen, your training worked. I'm stronger.\Huh?\Sorry... I made you do those things.\Those things?\Hmm... It's hard to say... response:	But you mistakenly thought that you would become stronger.
context: Oh, Inuyasha? Where've you been?\Well... just out.\But listen, your training worked. I'm stronger.\Huh?\Sorry... I made you do those things.\Those things?\Hmm... It's hard to say...\But you mistakenly thought that you would become stronger. response:	And if you had gone in search of Naraku's barrier,
context: Well... just out.\But listen, your training worked. I'm stronger.\Huh?\Sorry... I made you do those things.\Those things?\Hmm... It's hard to say...\But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier, response:	you may've been in grave danger...
context: But listen, your training worked. I'm stronger.\Huh?\Sorry... I made you do those things.\Those things?\Hmm... It's hard to say...\But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier,\you may've been in grave danger... response:	And so, that's...
context: Huh?\Sorry... I made you do those things.\Those things?\Hmm... It's hard to say...\But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier,\you may've been in grave danger...\And so, that's... response:	So what?
context: Sorry... I made you do those things.\Those things?\Hmm... It's hard to say...\But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier,\you may've been in grave danger...\And so, that's...\So what? response:	Well, there's no way you've gotten stronger...
context: Those things?\Hmm... It's hard to say...\But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier,\you may've been in grave danger...\And so, that's...\So what?\Well, there's no way you've gotten stronger... response:	T-Then the training?!
context: Hmm... It's hard to say...\But you mistakenly thought that you would become stronger.\And if you had gone in search of Naraku's barrier,\you may've been in grave danger...\And so, that's...\So what?\Well, there's no way you've gotten stronger...\T-Then the training?! response:	l just wanted to take a bath.
