context: Humans! response:	If you wish not for annihilation, take heed!
context: Dammit.\You arrogant\Lightning Flying Backwards Roundhouse Kick!\Class S hero,\Puri-puri Prisoner.\I escaped from prison just to see you!\Well, well.\A hero serving time in prison? response:	I tagged along and was able to escape too.
context: You arrogant\Lightning Flying Backwards Roundhouse Kick!\Class S hero,\Puri-puri Prisoner.\I escaped from prison just to see you!\Well, well.\A hero serving time in prison?\I tagged along and was able to escape too. response:	My thanks.
context: Lightning Flying Backwards Roundhouse Kick!\Class S hero,\Puri-puri Prisoner.\I escaped from prison just to see you!\Well, well.\A hero serving time in prison?\I tagged along and was able to escape too.\My thanks. response:	Prisoner number 4188, Sonic, right?
context: Class S hero,\Puri-puri Prisoner.\I escaped from prison just to see you!\Well, well.\A hero serving time in prison?\I tagged along and was able to escape too.\My thanks.\Prisoner number 4188, Sonic, right? response:	Surprised I know?
context: Puri-puri Prisoner.\I escaped from prison just to see you!\Well, well.\A hero serving time in prison?\I tagged along and was able to escape too.\My thanks.\Prisoner number 4188, Sonic, right?\Surprised I know? response:	You see, I check up on all the boys who catch my eye.
context: I escaped from prison just to see you!\Well, well.\A hero serving time in prison?\I tagged along and was able to escape too.\My thanks.\Prisoner number 4188, Sonic, right?\Surprised I know?\You see, I check up on all the boys who catch my eye. response:	I'm serving a life sentence because I can't resist attacking beautiful men.
context: Well, well.\A hero serving time in prison?\I tagged along and was able to escape too.\My thanks.\Prisoner number 4188, Sonic, right?\Surprised I know?\You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men. response:	Oh my.
context: A hero serving time in prison?\I tagged along and was able to escape too.\My thanks.\Prisoner number 4188, Sonic, right?\Surprised I know?\You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my. response:	More soldiers come for me?
context: I tagged along and was able to escape too.\My thanks.\Prisoner number 4188, Sonic, right?\Surprised I know?\You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my.\More soldiers come for me? response:	Goodness!
context: My thanks.\Prisoner number 4188, Sonic, right?\Surprised I know?\You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my.\More soldiers come for me?\Goodness! response:	I feel the strength about to erupt out of him!
context: Prisoner number 4188, Sonic, right?\Surprised I know?\You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my.\More soldiers come for me?\Goodness!\I feel the strength about to erupt out of him! response:	Sonic, dear, you hang back.
context: Surprised I know?\You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my.\More soldiers come for me?\Goodness!\I feel the strength about to erupt out of him!\Sonic, dear, you hang back. response:	Class A rank 11, sweet Stinger.
context: You see, I check up on all the boys who catch my eye.\I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my.\More soldiers come for me?\Goodness!\I feel the strength about to erupt out of him!\Sonic, dear, you hang back.\Class A rank 11, sweet Stinger. response:	Class A rank 20, Lighting Max.
context: I'm serving a life sentence because I can't resist attacking beautiful men.\Oh my.\More soldiers come for me?\Goodness!\I feel the strength about to erupt out of him!\Sonic, dear, you hang back.\Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max. response:	I fancied them both.
context: Oh my.\More soldiers come for me?\Goodness!\I feel the strength about to erupt out of him!\Sonic, dear, you hang back.\Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max.\I fancied them both. response:	And yet you ruined them!
context: More soldiers come for me?\Goodness!\I feel the strength about to erupt out of him!\Sonic, dear, you hang back.\Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max.\I fancied them both.\And yet you ruined them! response:	Now that Genos has passed me, I am the lowest in rank
context: Goodness!\I feel the strength about to erupt out of him!\Sonic, dear, you hang back.\Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max.\I fancied them both.\And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank response:	but I am still Class S!
context: I feel the strength about to erupt out of him!\Sonic, dear, you hang back.\Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max.\I fancied them both.\And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank\but I am still Class S! response:	I am unlike either of them.
context: Sonic, dear, you hang back.\Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max.\I fancied them both.\And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank\but I am still Class S!\I am unlike either of them. response:	I'll begin at half-power, to gauge how much you can take.
context: Class A rank 11, sweet Stinger.\Class A rank 20, Lighting Max.\I fancied them both.\And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank\but I am still Class S!\I am unlike either of them.\I'll begin at half-power, to gauge how much you can take. response:	You made me rip the hand-knit sweater my boyfriend made!
context: Class A rank 20, Lighting Max.\I fancied them both.\And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank\but I am still Class S!\I am unlike either of them.\I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made! response:	I will never, ever forgive you!
context: I fancied them both.\And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank\but I am still Class S!\I am unlike either of them.\I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you! response:	A delectable slab of meat, quite prime.
context: And yet you ruined them!\Now that Genos has passed me, I am the lowest in rank\but I am still Class S!\I am unlike either of them.\I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you!\A delectable slab of meat, quite prime. response:	My appetite's up!
context: Now that Genos has passed me, I am the lowest in rank\but I am still Class S!\I am unlike either of them.\I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you!\A delectable slab of meat, quite prime.\My appetite's up! response:	Huh?
context: but I am still Class S!\I am unlike either of them.\I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you!\A delectable slab of meat, quite prime.\My appetite's up!\Huh? response:	Oh my
context: I am unlike either of them.\I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you!\A delectable slab of meat, quite prime.\My appetite's up!\Huh?\Oh my response:	I felt that
context: I'll begin at half-power, to gauge how much you can take.\You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you!\A delectable slab of meat, quite prime.\My appetite's up!\Huh?\Oh my\I felt that response:	just a little.
context: You made me rip the hand-knit sweater my boyfriend made!\I will never, ever forgive you!\A delectable slab of meat, quite prime.\My appetite's up!\Huh?\Oh my\I felt that\just a little. response:	I felt that tooa little.
context: I will never, ever forgive you!\A delectable slab of meat, quite prime.\My appetite's up!\Huh?\Oh my\I felt that\just a little.\I felt that tooa little. response:	Puri-puri Prisoner is acting tough, but he's hurting
context: A delectable slab of meat, quite prime.\My appetite's up!\Huh?\Oh my\I felt that\just a little.\I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting response:	So this is what a fight between a demon-level monster
context: My appetite's up!\Huh?\Oh my\I felt that\just a little.\I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster response:	and a Class S hero looks like?
context: Huh?\Oh my\I felt that\just a little.\I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster\and a Class S hero looks like? response:	It's almost comical.
context: Oh my\I felt that\just a little.\I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster\and a Class S hero looks like?\It's almost comical. response:	Neither one could defeat me.
context: I felt that\just a little.\I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster\and a Class S hero looks like?\It's almost comical.\Neither one could defeat me. response:	Dammit His punch was stronger than I expected.
context: just a little.\I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster\and a Class S hero looks like?\It's almost comical.\Neither one could defeat me.\Dammit His punch was stronger than I expected. response:	But I must not lose to him.
context: I felt that tooa little.\Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster\and a Class S hero looks like?\It's almost comical.\Neither one could defeat me.\Dammit His punch was stronger than I expected.\But I must not lose to him. response:	I can't have any more of my boys destroyed by this monster
context: Puri-puri Prisoner is acting tough, but he's hurting\So this is what a fight between a demon-level monster\and a Class S hero looks like?\It's almost comical.\Neither one could defeat me.\Dammit His punch was stronger than I expected.\But I must not lose to him.\I can't have any more of my boys destroyed by this monster response:	I have no choice.
context: So this is what a fight between a demon-level monster\and a Class S hero looks like?\It's almost comical.\Neither one could defeat me.\Dammit His punch was stronger than I expected.\But I must not lose to him.\I can't have any more of my boys destroyed by this monster\I have no choice. response:	I'll have to transform.
context: and a Class S hero looks like?\It's almost comical.\Neither one could defeat me.\Dammit His punch was stronger than I expected.\But I must not lose to him.\I can't have any more of my boys destroyed by this monster\I have no choice.\I'll have to transform. response:	Ready
context: It's almost comical.\Neither one could defeat me.\Dammit His punch was stronger than I expected.\But I must not lose to him.\I can't have any more of my boys destroyed by this monster\I have no choice.\I'll have to transform.\Ready response:	Transform!
context: Neither one could defeat me.\Dammit His punch was stronger than I expected.\But I must not lose to him.\I can't have any more of my boys destroyed by this monster\I have no choice.\I'll have to transform.\Ready\Transform! response:	Puri-puri Prisoner Angel Style!
context: Dammit His punch was stronger than I expected.\But I must not lose to him.\I can't have any more of my boys destroyed by this monster\I have no choice.\I'll have to transform.\Ready\Transform!\Puri-puri Prisoner Angel Style! response:	He's naked.
context: But I must not lose to him.\I can't have any more of my boys destroyed by this monster\I have no choice.\I'll have to transform.\Ready\Transform!\Puri-puri Prisoner Angel Style!\He's naked. response:	And he's definitely no angel.
context: I can't have any more of my boys destroyed by this monster\I have no choice.\I'll have to transform.\Ready\Transform!\Puri-puri Prisoner Angel Style!\He's naked.\And he's definitely no angel. response:	Nor is he human.
context: I have no choice.\I'll have to transform.\Ready\Transform!\Puri-puri Prisoner Angel Style!\He's naked.\And he's definitely no angel.\Nor is he human. response:	Nor do I want to watch.
context: I'll have to transform.\Ready\Transform!\Puri-puri Prisoner Angel Style!\He's naked.\And he's definitely no angel.\Nor is he human.\Nor do I want to watch. response:	I'm out.
context: Ready\Transform!\Puri-puri Prisoner Angel Style!\He's naked.\And he's definitely no angel.\Nor is he human.\Nor do I want to watch.\I'm out. response:	No one has ever seen my Angel Style and lived to tell about it.
context: Transform!\Puri-puri Prisoner Angel Style!\He's naked.\And he's definitely no angel.\Nor is he human.\Nor do I want to watch.\I'm out.\No one has ever seen my Angel Style and lived to tell about it. response:	All the more reason to leave.
context: Puri-puri Prisoner Angel Style!\He's naked.\And he's definitely no angel.\Nor is he human.\Nor do I want to watch.\I'm out.\No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave. response:	Quite unsightly.
context: He's naked.\And he's definitely no angel.\Nor is he human.\Nor do I want to watch.\I'm out.\No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave.\Quite unsightly. response:	Are thoseyour last words?
context: And he's definitely no angel.\Nor is he human.\Nor do I want to watch.\I'm out.\No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave.\Quite unsightly.\Are thoseyour last words? response:	Angel Rush!
context: Nor is he human.\Nor do I want to watch.\I'm out.\No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave.\Quite unsightly.\Are thoseyour last words?\Angel Rush! response:	Elevated energy levels nearby.
context: Nor do I want to watch.\I'm out.\No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave.\Quite unsightly.\Are thoseyour last words?\Angel Rush!\Elevated energy levels nearby. response:	That must be it.
context: I'm out.\No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave.\Quite unsightly.\Are thoseyour last words?\Angel Rush!\Elevated energy levels nearby.\That must be it. response:	Damn it! I have no way to reach Master!
context: No one has ever seen my Angel Style and lived to tell about it.\All the more reason to leave.\Quite unsightly.\Are thoseyour last words?\Angel Rush!\Elevated energy levels nearby.\That must be it.\Damn it! I have no way to reach Master! response:	It cannot be helped.
context: All the more reason to leave.\Quite unsightly.\Are thoseyour last words?\Angel Rush!\Elevated energy levels nearby.\That must be it.\Damn it! I have no way to reach Master!\It cannot be helped. response:	Done with your combo?
context: Quite unsightly.\Are thoseyour last words?\Angel Rush!\Elevated energy levels nearby.\That must be it.\Damn it! I have no way to reach Master!\It cannot be helped.\Done with your combo? response:	I felt thata little.
context: Are thoseyour last words?\Angel Rush!\Elevated energy levels nearby.\That must be it.\Damn it! I have no way to reach Master!\It cannot be helped.\Done with your combo?\I felt thata little. response:	Hear me.
context: Angel Rush!\Elevated energy levels nearby.\That must be it.\Damn it! I have no way to reach Master!\It cannot be helped.\Done with your combo?\I felt thata little.\Hear me. response:	The objective of a combination move is to finish your opponent.
context: Elevated energy levels nearby.\That must be it.\Damn it! I have no way to reach Master!\It cannot be helped.\Done with your combo?\I felt thata little.\Hear me.\The objective of a combination move is to finish your opponent. response:	Each separate attack must be delivered with intent to kill.
context: That must be it.\Damn it! I have no way to reach Master!\It cannot be helped.\Done with your combo?\I felt thata little.\Hear me.\The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill. response:	Like this.
context: Damn it! I have no way to reach Master!\It cannot be helped.\Done with your combo?\I felt thata little.\Hear me.\The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill.\Like this. response:	Isn't this fun?
context: It cannot be helped.\Done with your combo?\I felt thata little.\Hear me.\The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill.\Like this.\Isn't this fun? response:	Just who are you?
context: Done with your combo?\I felt thata little.\Hear me.\The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill.\Like this.\Isn't this fun?\Just who are you? response:	I am the Deep Sea King.
context: I felt thata little.\Hear me.\The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill.\Like this.\Isn't this fun?\Just who are you?\I am the Deep Sea King. response:	As lord of the Clan of the Seafolk, this world is mine to rule.
context: Hear me.\The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill.\Like this.\Isn't this fun?\Just who are you?\I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule. response:	Do you dare defy me too?
context: The objective of a combination move is to finish your opponent.\Each separate attack must be delivered with intent to kill.\Like this.\Isn't this fun?\Just who are you?\I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too? response:	You think you have the strength to rule the surface all alone?
context: Each separate attack must be delivered with intent to kill.\Like this.\Isn't this fun?\Just who are you?\I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too?\You think you have the strength to rule the surface all alone? response:	That's pathetic.
context: Like this.\Isn't this fun?\Just who are you?\I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too?\You think you have the strength to rule the surface all alone?\That's pathetic. response:	Oh?
context: Isn't this fun?\Just who are you?\I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too?\You think you have the strength to rule the surface all alone?\That's pathetic.\Oh? response:	Then I suppose you must die.
context: Just who are you?\I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too?\You think you have the strength to rule the surface all alone?\That's pathetic.\Oh?\Then I suppose you must die. response:	That's my line.
context: I am the Deep Sea King.\As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too?\You think you have the strength to rule the surface all alone?\That's pathetic.\Oh?\Then I suppose you must die.\That's my line. response:	I would have let you live if you'd shown me the respect I'm due.
context: As lord of the Clan of the Seafolk, this world is mine to rule.\Do you dare defy me too?\You think you have the strength to rule the surface all alone?\That's pathetic.\Oh?\Then I suppose you must die.\That's my line.\I would have let you live if you'd shown me the respect I'm due. response:	I'm no hero, but I will eliminate you.
context: Do you dare defy me too?\You think you have the strength to rule the surface all alone?\That's pathetic.\Oh?\Then I suppose you must die.\That's my line.\I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you. response:	The rainis falling.
context: You think you have the strength to rule the surface all alone?\That's pathetic.\Oh?\Then I suppose you must die.\That's my line.\I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you.\The rainis falling. response:	Too slow.
context: That's pathetic.\Oh?\Then I suppose you must die.\That's my line.\I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you.\The rainis falling.\Too slow. response:	Wind Blade Leg!
context: Oh?\Then I suppose you must die.\That's my line.\I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you.\The rainis falling.\Too slow.\Wind Blade Leg! response:	Deep Sea King, I see right through your moves.
context: Then I suppose you must die.\That's my line.\I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you.\The rainis falling.\Too slow.\Wind Blade Leg!\Deep Sea King, I see right through your moves. response:	Are you sure of that?
context: That's my line.\I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you.\The rainis falling.\Too slow.\Wind Blade Leg!\Deep Sea King, I see right through your moves.\Are you sure of that? response:	Once it bites, my little moray here never lets go!
context: I would have let you live if you'd shown me the respect I'm due.\I'm no hero, but I will eliminate you.\The rainis falling.\Too slow.\Wind Blade Leg!\Deep Sea King, I see right through your moves.\Are you sure of that?\Once it bites, my little moray here never lets go! response:	Let me be clear.
context: I'm no hero, but I will eliminate you.\The rainis falling.\Too slow.\Wind Blade Leg!\Deep Sea King, I see right through your moves.\Are you sure of that?\Once it bites, my little moray here never lets go!\Let me be clear. response:	There's no way I'd ever lose to you.
context: The rainis falling.\Too slow.\Wind Blade Leg!\Deep Sea King, I see right through your moves.\Are you sure of that?\Once it bites, my little moray here never lets go!\Let me be clear.\There's no way I'd ever lose to you. response:	It's useless.
context: Too slow.\Wind Blade Leg!\Deep Sea King, I see right through your moves.\Are you sure of that?\Once it bites, my little moray here never lets go!\Let me be clear.\There's no way I'd ever lose to you.\It's useless. response:	You may have power
context: Wind Blade Leg!\Deep Sea King, I see right through your moves.\Are you sure of that?\Once it bites, my little moray here never lets go!\Let me be clear.\There's no way I'd ever lose to you.\It's useless.\You may have power response:	but you're too slow to fight me.
context: Deep Sea King, I see right through your moves.\Are you sure of that?\Once it bites, my little moray here never lets go!\Let me be clear.\There's no way I'd ever lose to you.\It's useless.\You may have power\but you're too slow to fight me. response:	I'm glad, Deep Sea King!
context: Are you sure of that?\Once it bites, my little moray here never lets go!\Let me be clear.\There's no way I'd ever lose to you.\It's useless.\You may have power\but you're too slow to fight me.\I'm glad, Deep Sea King! response:	Fighting something like you just confirms how strong I really am!
context: Once it bites, my little moray here never lets go!\Let me be clear.\There's no way I'd ever lose to you.\It's useless.\You may have power\but you're too slow to fight me.\I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am! response:	You see, my moves are the fastest and the strongest!
context: Let me be clear.\There's no way I'd ever lose to you.\It's useless.\You may have power\but you're too slow to fight me.\I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest! response:	Now what, lost your mind?
context: There's no way I'd ever lose to you.\It's useless.\You may have power\but you're too slow to fight me.\I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest!\Now what, lost your mind? response:	He's faster!
context: It's useless.\You may have power\but you're too slow to fight me.\I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest!\Now what, lost your mind?\He's faster! response:	Stronger too?!
context: You may have power\but you're too slow to fight me.\I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest!\Now what, lost your mind?\He's faster!\Stronger too?! response:	What happened to him?
context: but you're too slow to fight me.\I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest!\Now what, lost your mind?\He's faster!\Stronger too?!\What happened to him? response:	He's huge!
context: I'm glad, Deep Sea King!\Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest!\Now what, lost your mind?\He's faster!\Stronger too?!\What happened to him?\He's huge! response:	The air of the surface shriveled me up a bit,
context: Fighting something like you just confirms how strong I really am!\You see, my moves are the fastest and the strongest!\Now what, lost your mind?\He's faster!\Stronger too?!\What happened to him?\He's huge!\The air of the surface shriveled me up a bit, response:	but thanks to this rain, I feel like myself again.
context: You see, my moves are the fastest and the strongest!\Now what, lost your mind?\He's faster!\Stronger too?!\What happened to him?\He's huge!\The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again. response:	Your attacks don't hurt me even a little!
context: Now what, lost your mind?\He's faster!\Stronger too?!\What happened to him?\He's huge!\The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little! response:	At this time,
context: He's faster!\Stronger too?!\What happened to him?\He's huge!\The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little!\At this time, response:	the whereabouts of the Seafolk that attacked City J are unknown.
context: Stronger too?!\What happened to him?\He's huge!\The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little!\At this time,\the whereabouts of the Seafolk that attacked City J are unknown. response:	Several heroes who tried to stop them
context: What happened to him?\He's huge!\The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little!\At this time,\the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them response:	have been found unconscious at the scene
context: He's huge!\The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little!\At this time,\the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them\have been found unconscious at the scene response:	and remain in critical condition.
context: The air of the surface shriveled me up a bit,\but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little!\At this time,\the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them\have been found unconscious at the scene\and remain in critical condition. response:	Of all the times to hit a red light
context: but thanks to this rain, I feel like myself again.\Your attacks don't hurt me even a little!\At this time,\the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them\have been found unconscious at the scene\and remain in critical condition.\Of all the times to hit a red light response:	Where'd he run off to?
context: Your attacks don't hurt me even a little!\At this time,\the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them\have been found unconscious at the scene\and remain in critical condition.\Of all the times to hit a red light\Where'd he run off to? response:	Wait, you're
context: At this time,\the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them\have been found unconscious at the scene\and remain in critical condition.\Of all the times to hit a red light\Where'd he run off to?\Wait, you're response:	Class C, rank 2.
context: the whereabouts of the Seafolk that attacked City J are unknown.\Several heroes who tried to stop them\have been found unconscious at the scene\and remain in critical condition.\Of all the times to hit a red light\Where'd he run off to?\Wait, you're\Class C, rank 2. response:	You a hero too?
context: Several heroes who tried to stop them\have been found unconscious at the scene\and remain in critical condition.\Of all the times to hit a red light\Where'd he run off to?\Wait, you're\Class C, rank 2.\You a hero too? response:	Have you seen Genos?
context: have been found unconscious at the scene\and remain in critical condition.\Of all the times to hit a red light\Where'd he run off to?\Wait, you're\Class C, rank 2.\You a hero too?\Have you seen Genos? response:	Genos?
context: and remain in critical condition.\Of all the times to hit a red light\Where'd he run off to?\Wait, you're\Class C, rank 2.\You a hero too?\Have you seen Genos?\Genos? response:	Today, as our guest, we have the top-ranked, Class A superhero
context: Of all the times to hit a red light\Where'd he run off to?\Wait, you're\Class C, rank 2.\You a hero too?\Have you seen Genos?\Genos?\Today, as our guest, we have the top-ranked, Class A superhero response:	who has also been number one in popularity rankings
context: Where'd he run off to?\Wait, you're\Class C, rank 2.\You a hero too?\Have you seen Genos?\Genos?\Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings response:	for 28 weeks straight.
context: Wait, you're\Class C, rank 2.\You a hero too?\Have you seen Genos?\Genos?\Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings\for 28 weeks straight. response:	He's also a successful model, actor and singer.
context: Class C, rank 2.\You a hero too?\Have you seen Genos?\Genos?\Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings\for 28 weeks straight.\He's also a successful model, actor and singer. response:	Thank you for having me.
context: You a hero too?\Have you seen Genos?\Genos?\Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings\for 28 weeks straight.\He's also a successful model, actor and singer.\Thank you for having me. response:	We are currently facing a threat level of Demon.
context: Have you seen Genos?\Genos?\Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings\for 28 weeks straight.\He's also a successful model, actor and singer.\Thank you for having me.\We are currently facing a threat level of Demon. response:	How do you assess the situation?
context: Genos?\Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings\for 28 weeks straight.\He's also a successful model, actor and singer.\Thank you for having me.\We are currently facing a threat level of Demon.\How do you assess the situation? response:	That is a difficult question.
context: Today, as our guest, we have the top-ranked, Class A superhero\who has also been number one in popularity rankings\for 28 weeks straight.\He's also a successful model, actor and singer.\Thank you for having me.\We are currently facing a threat level of Demon.\How do you assess the situation?\That is a difficult question. response:	Why is that?
context: who has also been number one in popularity rankings\for 28 weeks straight.\He's also a successful model, actor and singer.\Thank you for having me.\We are currently facing a threat level of Demon.\How do you assess the situation?\That is a difficult question.\Why is that? response:	I'm only a hero when I confront evil.
context: for 28 weeks straight.\He's also a successful model, actor and singer.\Thank you for having me.\We are currently facing a threat level of Demon.\How do you assess the situation?\That is a difficult question.\Why is that?\I'm only a hero when I confront evil. response:	The rest of the time, I'm focused on my career as an artist.
context: He's also a successful model, actor and singer.\Thank you for having me.\We are currently facing a threat level of Demon.\How do you assess the situation?\That is a difficult question.\Why is that?\I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist. response:	I see.
context: Thank you for having me.\We are currently facing a threat level of Demon.\How do you assess the situation?\That is a difficult question.\Why is that?\I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist.\I see. response:	I'm only here today to promote my new song.
context: We are currently facing a threat level of Demon.\How do you assess the situation?\That is a difficult question.\Why is that?\I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist.\I see.\I'm only here today to promote my new song. response:	My apologies.
context: How do you assess the situation?\That is a difficult question.\Why is that?\I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist.\I see.\I'm only here today to promote my new song.\My apologies. response:	In that case, let's discuss your song.
context: That is a difficult question.\Why is that?\I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist.\I see.\I'm only here today to promote my new song.\My apologies.\In that case, let's discuss your song. response:	Let me just say this.
context: Why is that?\I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist.\I see.\I'm only here today to promote my new song.\My apologies.\In that case, let's discuss your song.\Let me just say this. response:	To assuage the public's fears and worries,
context: I'm only a hero when I confront evil.\The rest of the time, I'm focused on my career as an artist.\I see.\I'm only here today to promote my new song.\My apologies.\In that case, let's discuss your song.\Let me just say this.\To assuage the public's fears and worries, response:	heroes need to be both tough and strong
context: The rest of the time, I'm focused on my career as an artist.\I see.\I'm only here today to promote my new song.\My apologies.\In that case, let's discuss your song.\Let me just say this.\To assuage the public's fears and worries,\heroes need to be both tough and strong response:	so that they can defeat evil with speed, grace, and brilliance.
context: I see.\I'm only here today to promote my new song.\My apologies.\In that case, let's discuss your song.\Let me just say this.\To assuage the public's fears and worries,\heroes need to be both tough and strong\so that they can defeat evil with speed, grace, and brilliance. response:	I find it regrettable that there were heroes
