context: What the hell is this? response:	Work, damn sensors!
context: Just stop being a nuisance.\A nuisance?!\Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely.\Wh-Why?\If I win, no studying today.\Y-You're not going to accept, right? response:	I'll end this quickly. Just sit and wait, Futaro.
context: A nuisance?!\Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely.\Wh-Why?\If I win, no studying today.\Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro. response:	You sit down!
context: Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely.\Wh-Why?\If I win, no studying today.\Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro.\You sit down! response:	Why is absolutely nothing going my way?
context: Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely.\Wh-Why?\If I win, no studying today.\Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro.\You sit down!\Why is absolutely nothing going my way? response:	Ta-da!
context: Let's have a cooking battle to see who's more homely.\Wh-Why?\If I win, no studying today.\Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro.\You sit down!\Why is absolutely nothing going my way?\Ta-da! response:	A dutch baby with seasonal veggies and ham.
context: Wh-Why?\If I win, no studying today.\Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro.\You sit down!\Why is absolutely nothing going my way?\Ta-da!\A dutch baby with seasonal veggies and ham. response:	Omurice
context: If I win, no studying today.\Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro.\You sit down!\Why is absolutely nothing going my way?\Ta-da!\A dutch baby with seasonal veggies and ham.\Omurice response:	O-Omurice.
context: Y-You're not going to accept, right?\I'll end this quickly. Just sit and wait, Futaro.\You sit down!\Why is absolutely nothing going my way?\Ta-da!\A dutch baby with seasonal veggies and ham.\Omurice\O-Omurice. response:	Well, it's up to you to judge which one's better.
context: I'll end this quickly. Just sit and wait, Futaro.\You sit down!\Why is absolutely nothing going my way?\Ta-da!\A dutch baby with seasonal veggies and ham.\Omurice\O-Omurice.\Well, it's up to you to judge which one's better. response:	Actually, never mind. I'll eat it myself.
context: You sit down!\Why is absolutely nothing going my way?\Ta-da!\A dutch baby with seasonal veggies and ham.\Omurice\O-Omurice.\Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself. response:	You made it, so you might as well have him eat it.
context: Why is absolutely nothing going my way?\Ta-da!\A dutch baby with seasonal veggies and ham.\Omurice\O-Omurice.\Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it. response:	Thank you.
context: Ta-da!\A dutch baby with seasonal veggies and ham.\Omurice\O-Omurice.\Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it.\Thank you. response:	Okay, yeah.
context: A dutch baby with seasonal veggies and ham.\Omurice\O-Omurice.\Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it.\Thank you.\Okay, yeah. response:	Both are pretty good.
context: Omurice\O-Omurice.\Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it.\Thank you.\Okay, yeah.\Both are pretty good. response:	It's true.
context: O-Omurice.\Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it.\Thank you.\Okay, yeah.\Both are pretty good.\It's true. response:	Not a Gourmet
context: Well, it's up to you to judge which one's better.\Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it.\Thank you.\Okay, yeah.\Both are pretty good.\It's true.\Not a Gourmet response:	Too Poor
context: Actually, never mind. I'll eat it myself.\You made it, so you might as well have him eat it.\Thank you.\Okay, yeah.\Both are pretty good.\It's true.\Not a Gourmet\Too Poor response:	They're both good.
context: You made it, so you might as well have him eat it.\Thank you.\Okay, yeah.\Both are pretty good.\It's true.\Not a Gourmet\Too Poor\They're both good. response:	What?!
context: Thank you.\Okay, yeah.\Both are pretty good.\It's true.\Not a Gourmet\Too Poor\They're both good.\What?! response:	No way.
context: Okay, yeah.\Both are pretty good.\It's true.\Not a Gourmet\Too Poor\They're both good.\What?!\No way. response:	What the heck?
context: Both are pretty good.\It's true.\Not a Gourmet\Too Poor\They're both good.\What?!\No way.\What the heck? response:	Lame.
context: It's true.\Not a Gourmet\Too Poor\They're both good.\What?!\No way.\What the heck?\Lame. response:	Jeez, that girl...
context: Not a Gourmet\Too Poor\They're both good.\What?!\No way.\What the heck?\Lame.\Jeez, that girl... response:	It's gotten so late.
context: Too Poor\They're both good.\What?!\No way.\What the heck?\Lame.\Jeez, that girl...\It's gotten so late. response:	We fell right into Nino's trap.
context: They're both good.\What?!\No way.\What the heck?\Lame.\Jeez, that girl...\It's gotten so late.\We fell right into Nino's trap. response:	I'll have to try again another time.
context: What?!\No way.\What the heck?\Lame.\Jeez, that girl...\It's gotten so late.\We fell right into Nino's trap.\I'll have to try again another time. response:	Sorry.
context: No way.\What the heck?\Lame.\Jeez, that girl...\It's gotten so late.\We fell right into Nino's trap.\I'll have to try again another time.\Sorry. response:	But now it's all clear.
context: What the heck?\Lame.\Jeez, that girl...\It's gotten so late.\We fell right into Nino's trap.\I'll have to try again another time.\Sorry.\But now it's all clear. response:	I don't know why, but Nino especially hates me.
context: Lame.\Jeez, that girl...\It's gotten so late.\We fell right into Nino's trap.\I'll have to try again another time.\Sorry.\But now it's all clear.\I don't know why, but Nino especially hates me. response:	I don't feel like I'll ever get to be on good terms with her.
context: Jeez, that girl...\It's gotten so late.\We fell right into Nino's trap.\I'll have to try again another time.\Sorry.\But now it's all clear.\I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her. response:	You're wrong...
context: It's gotten so late.\We fell right into Nino's trap.\I'll have to try again another time.\Sorry.\But now it's all clear.\I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her.\You're wrong... response:	I think.
context: We fell right into Nino's trap.\I'll have to try again another time.\Sorry.\But now it's all clear.\I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her.\You're wrong...\I think. response:	Huh?
context: I'll have to try again another time.\Sorry.\But now it's all clear.\I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her.\You're wrong...\I think.\Huh? response:	Miku?
context: Sorry.\But now it's all clear.\I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her.\You're wrong...\I think.\Huh?\Miku? response:	If you face her in good faith, she'll come around.
context: But now it's all clear.\I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her.\You're wrong...\I think.\Huh?\Miku?\If you face her in good faith, she'll come around. response:	In good faith?
context: I don't know why, but Nino especially hates me.\I don't feel like I'll ever get to be on good terms with her.\You're wrong...\I think.\Huh?\Miku?\If you face her in good faith, she'll come around.\In good faith? response:	What am I supposed to do?
context: I don't feel like I'll ever get to be on good terms with her.\You're wrong...\I think.\Huh?\Miku?\If you face her in good faith, she'll come around.\In good faith?\What am I supposed to do? response:	Don't ask me.
context: You're wrong...\I think.\Huh?\Miku?\If you face her in good faith, she'll come around.\In good faith?\What am I supposed to do?\Don't ask me. response:	It's your job to figure that out.
context: I think.\Huh?\Miku?\If you face her in good faith, she'll come around.\In good faith?\What am I supposed to do?\Don't ask me.\It's your job to figure that out. response:	Face her in good faith...
context: Huh?\Miku?\If you face her in good faith, she'll come around.\In good faith?\What am I supposed to do?\Don't ask me.\It's your job to figure that out.\Face her in good faith... response:	Good faith...
context: Miku?\If you face her in good faith, she'll come around.\In good faith?\What am I supposed to do?\Don't ask me.\It's your job to figure that out.\Face her in good faith...\Good faith... response:	Shoot.
context: If you face her in good faith, she'll come around.\In good faith?\What am I supposed to do?\Don't ask me.\It's your job to figure that out.\Face her in good faith...\Good faith...\Shoot. response:	Uh...
context: In good faith?\What am I supposed to do?\Don't ask me.\It's your job to figure that out.\Face her in good faith...\Good faith...\Shoot.\Uh... response:	What?
context: What am I supposed to do?\Don't ask me.\It's your job to figure that out.\Face her in good faith...\Good faith...\Shoot.\Uh...\What? response:	Sorry, I forgot my flash cards.
context: Don't ask me.\It's your job to figure that out.\Face her in good faith...\Good faith...\Shoot.\Uh...\What?\Sorry, I forgot my flash cards. response:	I'm taking a shower. Feel free to come in and grab them.
context: It's your job to figure that out.\Face her in good faith...\Good faith...\Shoot.\Uh...\What?\Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them. response:	Wait, Miku, you're okay with that?
context: Face her in good faith...\Good faith...\Shoot.\Uh...\What?\Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that? response:	P-Pardon me.
context: Good faith...\Shoot.\Uh...\What?\Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that?\P-Pardon me. response:	M-Miku?!
context: Shoot.\Uh...\What?\Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that?\P-Pardon me.\M-Miku?! response:	You're already out of the shower?!
context: Uh...\What?\Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that?\P-Pardon me.\M-Miku?!\You're already out of the shower?! response:	Come to think of it, she's not one to care about these things.
context: What?\Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that?\P-Pardon me.\M-Miku?!\You're already out of the shower?!\Come to think of it, she's not one to care about these things. response:	I'll just grab my cards and leave.
context: Sorry, I forgot my flash cards.\I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that?\P-Pardon me.\M-Miku?!\You're already out of the shower?!\Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave. response:	Who's there?
context: I'm taking a shower. Feel free to come in and grab them.\Wait, Miku, you're okay with that?\P-Pardon me.\M-Miku?!\You're already out of the shower?!\Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave.\Who's there? response:	Miku?
context: Wait, Miku, you're okay with that?\P-Pardon me.\M-Miku?!\You're already out of the shower?!\Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave.\Who's there?\Miku? response:	I thought you were going to take a bath.
context: P-Pardon me.\M-Miku?!\You're already out of the shower?!\Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave.\Who's there?\Miku?\I thought you were going to take a bath. response:	It's free now.
context: M-Miku?!\You're already out of the shower?!\Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave.\Who's there?\Miku?\I thought you were going to take a bath.\It's free now. response:	Nino!
context: You're already out of the shower?!\Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave.\Who's there?\Miku?\I thought you were going to take a bath.\It's free now.\Nino! response:	My contacts are on the usual shelf. Could you get them for me?
context: Come to think of it, she's not one to care about these things.\I'll just grab my cards and leave.\Who's there?\Miku?\I thought you were going to take a bath.\It's free now.\Nino!\My contacts are on the usual shelf. Could you get them for me? response:	Her eyesight is so bad that she can't see me?
context: I'll just grab my cards and leave.\Who's there?\Miku?\I thought you were going to take a bath.\It's free now.\Nino!\My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me? response:	Sh-Shit...
context: Who's there?\Miku?\I thought you were going to take a bath.\It's free now.\Nino!\My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me?\Sh-Shit... response:	What should I do, then?
context: Miku?\I thought you were going to take a bath.\It's free now.\Nino!\My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me?\Sh-Shit...\What should I do, then? response:	Good faith? If she finds out I'm here, there'll be no faith left!
context: I thought you were going to take a bath.\It's free now.\Nino!\My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me?\Sh-Shit...\What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left! response:	No Faith
context: It's free now.\Nino!\My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me?\Sh-Shit...\What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left!\No Faith response:	What do I do?
context: Nino!\My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me?\Sh-Shit...\What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left!\No Faith\What do I do? response:	What?
context: My contacts are on the usual shelf. Could you get them for me?\Her eyesight is so bad that she can't see me?\Sh-Shit...\What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left!\No Faith\What do I do?\What? response:	Are you still mad about me messing with you at lunch?
context: Her eyesight is so bad that she can't see me?\Sh-Shit...\What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left!\No Faith\What do I do?\What?\Are you still mad about me messing with you at lunch? response:	Sh-Shit!
context: Sh-Shit...\What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left!\No Faith\What do I do?\What?\Are you still mad about me messing with you at lunch?\Sh-Shit! response:	C-Contacts...
context: What should I do, then?\Good faith? If she finds out I'm here, there'll be no faith left!\No Faith\What do I do?\What?\Are you still mad about me messing with you at lunch?\Sh-Shit!\C-Contacts... response:	Where are they?
context: Good faith? If she finds out I'm here, there'll be no faith left!\No Faith\What do I do?\What?\Are you still mad about me messing with you at lunch?\Sh-Shit!\C-Contacts...\Where are they? response:	Here?
context: No Faith\What do I do?\What?\Are you still mad about me messing with you at lunch?\Sh-Shit!\C-Contacts...\Where are they?\Here? response:	I just got carried away.
context: What do I do?\What?\Are you still mad about me messing with you at lunch?\Sh-Shit!\C-Contacts...\Where are they?\Here?\I just got carried away. response:	I feel bad about it, okay?
context: What?\Are you still mad about me messing with you at lunch?\Sh-Shit!\C-Contacts...\Where are they?\Here?\I just got carried away.\I feel bad about it, okay? response:	Damn it, where are they?
context: Are you still mad about me messing with you at lunch?\Sh-Shit!\C-Contacts...\Where are they?\Here?\I just got carried away.\I feel bad about it, okay?\Damn it, where are they? response:	What are you doing? That's not where they are.
context: Sh-Shit!\C-Contacts...\Where are they?\Here?\I just got carried away.\I feel bad about it, okay?\Damn it, where are they?\What are you doing? That's not where they are. response:	They're on the shelf above.
context: C-Contacts...\Where are they?\Here?\I just got carried away.\I feel bad about it, okay?\Damn it, where are they?\What are you doing? That's not where they are.\They're on the shelf above. response:	Huh?
context: Where are they?\Here?\I just got carried away.\I feel bad about it, okay?\Damn it, where are they?\What are you doing? That's not where they are.\They're on the shelf above.\Huh? response:	I though they were on this shelf.
context: Here?\I just got carried away.\I feel bad about it, okay?\Damn it, where are they?\What are you doing? That's not where they are.\They're on the shelf above.\Huh?\I though they were on this shelf. response:	I can't face her now!
context: I just got carried away.\I feel bad about it, okay?\Damn it, where are they?\What are you doing? That's not where they are.\They're on the shelf above.\Huh?\I though they were on this shelf.\I can't face her now! response:	I can't take any more!
context: I feel bad about it, okay?\Damn it, where are they?\What are you doing? That's not where they are.\They're on the shelf above.\Huh?\I though they were on this shelf.\I can't face her now!\I can't take any more! response:	Run for it!
context: Damn it, where are they?\What are you doing? That's not where they are.\They're on the shelf above.\Huh?\I though they were on this shelf.\I can't face her now!\I can't take any more!\Run for it! response:	So you are mad.
context: What are you doing? That's not where they are.\They're on the shelf above.\Huh?\I though they were on this shelf.\I can't face her now!\I can't take any more!\Run for it!\So you are mad. response:	It's his fault.
context: They're on the shelf above.\Huh?\I though they were on this shelf.\I can't face her now!\I can't take any more!\Run for it!\So you are mad.\It's his fault. response:	It's all his fault.
context: Huh?\I though they were on this shelf.\I can't face her now!\I can't take any more!\Run for it!\So you are mad.\It's his fault.\It's all his fault. response:	He keeps coming into our home just because Dad ordered it.
context: I though they were on this shelf.\I can't face her now!\I can't take any more!\Run for it!\So you are mad.\It's his fault.\It's all his fault.\He keeps coming into our home just because Dad ordered it. response:	This home is for us five. There's no place for him here.
context: I can't face her now!\I can't take any more!\Run for it!\So you are mad.\It's his fault.\It's all his fault.\He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here. response:	Is she...
context: I can't take any more!\Run for it!\So you are mad.\It's his fault.\It's all his fault.\He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here.\Is she... response:	That's it!
context: Run for it!\So you are mad.\It's his fault.\It's all his fault.\He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here.\Is she...\That's it! response:	From now on, he's banned from our place!
context: So you are mad.\It's his fault.\It's all his fault.\He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here.\Is she...\That's it!\From now on, he's banned from our place! response:	Look out!
context: It's his fault.\It's all his fault.\He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here.\Is she...\That's it!\From now on, he's banned from our place!\Look out! response:	Above you!
context: It's all his fault.\He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here.\Is she...\That's it!\From now on, he's banned from our place!\Look out!\Above you! response:	At that point, I still didn't know...
context: He keeps coming into our home just because Dad ordered it.\This home is for us five. There's no place for him here.\Is she...\That's it!\From now on, he's banned from our place!\Look out!\Above you!\At that point, I still didn't know... response:	Wh-Who's there?
context: This home is for us five. There's no place for him here.\Is she...\That's it!\From now on, he's banned from our place!\Look out!\Above you!\At that point, I still didn't know...\Wh-Who's there? response:	Thank you.
context: Is she...\That's it!\From now on, he's banned from our place!\Look out!\Above you!\At that point, I still didn't know...\Wh-Who's there?\Thank you. response:	You were great as always today, Ichika-chan.
context: That's it!\From now on, he's banned from our place!\Look out!\Above you!\At that point, I still didn't know...\Wh-Who's there?\Thank you.\You were great as always today, Ichika-chan. response:	See you next time.
context: From now on, he's banned from our place!\Look out!\Above you!\At that point, I still didn't know...\Wh-Who's there?\Thank you.\You were great as always today, Ichika-chan.\See you next time. response:	Sure.
context: Look out!\Above you!\At that point, I still didn't know...\Wh-Who's there?\Thank you.\You were great as always today, Ichika-chan.\See you next time.\Sure. response:	I didn't know how hard it would be to face these five idiots one at a time.
context: Above you!\At that point, I still didn't know...\Wh-Who's there?\Thank you.\You were great as always today, Ichika-chan.\See you next time.\Sure.\I didn't know how hard it would be to face these five idiots one at a time. response:	Thanks so much.
context: At that point, I still didn't know...\Wh-Who's there?\Thank you.\You were great as always today, Ichika-chan.\See you next time.\Sure.\I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much. response:	You're so good, Nakano-san. We're lucky to have you.
context: Wh-Who's there?\Thank you.\You were great as always today, Ichika-chan.\See you next time.\Sure.\I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much.\You're so good, Nakano-san. We're lucky to have you. response:	Let's kill it next time, too.
context: Thank you.\You were great as always today, Ichika-chan.\See you next time.\Sure.\I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much.\You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too. response:	Hey, I want to ask you something...
context: You were great as always today, Ichika-chan.\See you next time.\Sure.\I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much.\You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too.\Hey, I want to ask you something... response:	Would you be up for officially joining the basketball team?
context: See you next time.\Sure.\I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much.\You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too.\Hey, I want to ask you something...\Would you be up for officially joining the basketball team? response:	And I'd be taught a lesson, too.
context: Sure.\I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much.\You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too.\Hey, I want to ask you something...\Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too. response:	It's because of what she said.
context: I didn't know how hard it would be to face these five idiots one at a time.\Thanks so much.\You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too.\Hey, I want to ask you something...\Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too.\It's because of what she said. response:	So you have a thing for dull-looking guys, huh?
context: Thanks so much.\You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too.\Hey, I want to ask you something...\Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too.\It's because of what she said.\So you have a thing for dull-looking guys, huh? response:	It's not even true.
context: You're so good, Nakano-san. We're lucky to have you.\Let's kill it next time, too.\Hey, I want to ask you something...\Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too.\It's because of what she said.\So you have a thing for dull-looking guys, huh?\It's not even true. response:	That I'm a complete idiot, too.
context: Let's kill it next time, too.\Hey, I want to ask you something...\Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too.\It's because of what she said.\So you have a thing for dull-looking guys, huh?\It's not even true.\That I'm a complete idiot, too. response:	I-Intruder!
context: Hey, I want to ask you something...\Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too.\It's because of what she said.\So you have a thing for dull-looking guys, huh?\It's not even true.\That I'm a complete idiot, too.\I-Intruder! response:	N-No!
context: Would you be up for officially joining the basketball team?\And I'd be taught a lesson, too.\It's because of what she said.\So you have a thing for dull-looking guys, huh?\It's not even true.\That I'm a complete idiot, too.\I-Intruder!\N-No! response:	I just came to take something.
context: And I'd be taught a lesson, too.\It's because of what she said.\So you have a thing for dull-looking guys, huh?\It's not even true.\That I'm a complete idiot, too.\I-Intruder!\N-No!\I just came to take something. response:	Take what?
context: It's because of what she said.\So you have a thing for dull-looking guys, huh?\It's not even true.\That I'm a complete idiot, too.\I-Intruder!\N-No!\I just came to take something.\Take what? response:	Nudes of me?
context: So you have a thing for dull-looking guys, huh?\It's not even true.\That I'm a complete idiot, too.\I-Intruder!\N-No!\I just came to take something.\Take what?\Nudes of me? response:	You pervert!
context: It's not even true.\That I'm a complete idiot, too.\I-Intruder!\N-No!\I just came to take something.\Take what?\Nudes of me?\You pervert! response:	Molester!
context: That I'm a complete idiot, too.\I-Intruder!\N-No!\I just came to take something.\Take what?\Nudes of me?\You pervert!\Molester! response:	Voyeur!
context: I-Intruder!\N-No!\I just came to take something.\Take what?\Nudes of me?\You pervert!\Molester!\Voyeur! response:	That's not what I meant!
context: N-No!\I just came to take something.\Take what?\Nudes of me?\You pervert!\Molester!\Voyeur!\That's not what I meant! response:	You're the worst.
context: I just came to take something.\Take what?\Nudes of me?\You pervert!\Molester!\Voyeur!\That's not what I meant!\You're the worst. response:	Order in the court.
context: Take what?\Nudes of me?\You pervert!\Molester!\Voyeur!\That's not what I meant!\You're the worst.\Order in the court. response:	Your Honor, please have a look at this.
context: Nudes of me?\You pervert!\Molester!\Voyeur!\That's not what I meant!\You're the worst.\Order in the court.\Your Honor, please have a look at this. response:	The defendant, a tutor,
context: You pervert!\Molester!\Voyeur!\That's not what I meant!\You're the worst.\Order in the court.\Your Honor, please have a look at this.\The defendant, a tutor, response:	lost control of his urges in front of a young high school girl.
context: Molester!\Voyeur!\That's not what I meant!\You're the worst.\Order in the court.\Your Honor, please have a look at this.\The defendant, a tutor,\lost control of his urges in front of a young high school girl. response:	Defendant Uesugi... This is you in this photo, is it not?
context: Voyeur!\That's not what I meant!\You're the worst.\Order in the court.\Your Honor, please have a look at this.\The defendant, a tutor,\lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not? response:	I-It's a false charge.
context: That's not what I meant!\You're the worst.\Order in the court.\Your Honor, please have a look at this.\The defendant, a tutor,\lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge. response:	Absent due to basketball team duties
context: You're the worst.\Order in the court.\Your Honor, please have a look at this.\The defendant, a tutor,\lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge.\Absent due to basketball team duties response:	Your Honor...
context: Order in the court.\Your Honor, please have a look at this.\The defendant, a tutor,\lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge.\Absent due to basketball team duties\Your Honor... response:	Yes, Plaintiff Nino-kun.
context: Your Honor, please have a look at this.\The defendant, a tutor,\lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge.\Absent due to basketball team duties\Your Honor...\Yes, Plaintiff Nino-kun. response:	This guy pretended to leave the apartment
context: The defendant, a tutor,\lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge.\Absent due to basketball team duties\Your Honor...\Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment response:	and waited for me to exit the shower.
context: lost control of his urges in front of a young high school girl.\Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge.\Absent due to basketball team duties\Your Honor...\Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment\and waited for me to exit the shower. response:	H-Hey!
context: Defendant Uesugi... This is you in this photo, is it not?\I-It's a false charge.\Absent due to basketball team duties\Your Honor...\Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment\and waited for me to exit the shower.\H-Hey! response:	That's a fabrication!
context: I-It's a false charge.\Absent due to basketball team duties\Your Honor...\Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment\and waited for me to exit the shower.\H-Hey!\That's a fabrication! response:	For his heinous crimes, I request that he be barred permanently from entering here.
context: Absent due to basketball team duties\Your Honor...\Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment\and waited for me to exit the shower.\H-Hey!\That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here. response:	Th-That's too much!
context: Your Honor...\Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment\and waited for me to exit the shower.\H-Hey!\That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much! response:	I can't say I approve of your actions.
context: Yes, Plaintiff Nino-kun.\This guy pretended to leave the apartment\and waited for me to exit the shower.\H-Hey!\That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much!\I can't say I approve of your actions. response:	Ichika...
context: This guy pretended to leave the apartment\and waited for me to exit the shower.\H-Hey!\That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much!\I can't say I approve of your actions.\Ichika... response:	I just came to get something.
context: and waited for me to exit the shower.\H-Hey!\That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much!\I can't say I approve of your actions.\Ichika...\I just came to get something. response:	Y-Your Honor?
context: H-Hey!\That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much!\I can't say I approve of your actions.\Ichika...\I just came to get something.\Y-Your Honor? response:	Objection.
context: That's a fabrication!\For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much!\I can't say I approve of your actions.\Ichika...\I just came to get something.\Y-Your Honor?\Objection. response:	Futaro may look like a criminal, but he's innocent.
context: For his heinous crimes, I request that he be barred permanently from entering here.\Th-That's too much!\I can't say I approve of your actions.\Ichika...\I just came to get something.\Y-Your Honor?\Objection.\Futaro may look like a criminal, but he's innocent. response:	What do you mean, I look like a criminal?
context: Th-That's too much!\I can't say I approve of your actions.\Ichika...\I just came to get something.\Y-Your Honor?\Objection.\Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal? response:	I let him in over the intercom.
context: I can't say I approve of your actions.\Ichika...\I just came to get something.\Y-Your Honor?\Objection.\Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal?\I let him in over the intercom. response:	There's a recording, too.
context: Ichika...\I just came to get something.\Y-Your Honor?\Objection.\Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal?\I let him in over the intercom.\There's a recording, too. response:	This was an unforeseen accident.
context: I just came to get something.\Y-Your Honor?\Objection.\Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal?\I let him in over the intercom.\There's a recording, too.\This was an unforeseen accident. response:	Miku!
