context: Phil? response:	I'm playing hide-and-seek with Naila and Eugene.
context: But I think it's worth looking into.\Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away.\Let's live.\No matter what the world is like.\Hold on, Phil. I'll be there in a moment.\But I'm surprised. response:	It's expected from Ray who reads books all the time, but...
context: Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away.\Let's live.\No matter what the world is like.\Hold on, Phil. I'll be there in a moment.\But I'm surprised.\It's expected from Ray who reads books all the time, but... response:	For Emma to notice those bookplates...
context: We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away.\Let's live.\No matter what the world is like.\Hold on, Phil. I'll be there in a moment.\But I'm surprised.\It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates... response:	I wasn't the one who noticed them.
context: Yeah. Let's run away.\Let's live.\No matter what the world is like.\Hold on, Phil. I'll be there in a moment.\But I'm surprised.\It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates...\I wasn't the one who noticed them. response:	Phil found them and told me.
context: Let's live.\No matter what the world is like.\Hold on, Phil. I'll be there in a moment.\But I'm surprised.\It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates...\I wasn't the one who noticed them.\Phil found them and told me. response:	Phil?
context: No matter what the world is like.\Hold on, Phil. I'll be there in a moment.\But I'm surprised.\It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates...\I wasn't the one who noticed them.\Phil found them and told me.\Phil? response:	Yeah. He was reading a childrens book and it was one of Mr. Minerva's.
context: Hold on, Phil. I'll be there in a moment.\But I'm surprised.\It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates...\I wasn't the one who noticed them.\Phil found them and told me.\Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's. response:	It was a book that had Morse code in the story.
context: But I'm surprised.\It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates...\I wasn't the one who noticed them.\Phil found them and told me.\Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story. response:	Can you get the plates?
context: It's expected from Ray who reads books all the time, but...\For Emma to notice those bookplates...\I wasn't the one who noticed them.\Phil found them and told me.\Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story.\Can you get the plates? response:	Thanks.
context: For Emma to notice those bookplates...\I wasn't the one who noticed them.\Phil found them and told me.\Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story.\Can you get the plates?\Thanks. response:	Where are Don and Gilda?
context: I wasn't the one who noticed them.\Phil found them and told me.\Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story.\Can you get the plates?\Thanks.\Where are Don and Gilda? response:	They're not here either.
context: Phil found them and told me.\Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story.\Can you get the plates?\Thanks.\Where are Don and Gilda?\They're not here either. response:	They can't be...
context: Phil?\Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story.\Can you get the plates?\Thanks.\Where are Don and Gilda?\They're not here either.\They can't be... response:	Mom!
context: Yeah. He was reading a childrens book and it was one of Mr. Minerva's.\It was a book that had Morse code in the story.\Can you get the plates?\Thanks.\Where are Don and Gilda?\They're not here either.\They can't be...\Mom! response:	Oh. Whats wrong, Eugene?
context: It was a book that had Morse code in the story.\Can you get the plates?\Thanks.\Where are Don and Gilda?\They're not here either.\They can't be...\Mom!\Oh. Whats wrong, Eugene? response:	I found this on the floor.
context: Can you get the plates?\Thanks.\Where are Don and Gilda?\They're not here either.\They can't be...\Mom!\Oh. Whats wrong, Eugene?\I found this on the floor. response:	Thank you.
context: Thanks.\Where are Don and Gilda?\They're not here either.\They can't be...\Mom!\Oh. Whats wrong, Eugene?\I found this on the floor.\Thank you. response:	I'm hungry.
context: Where are Don and Gilda?\They're not here either.\They can't be...\Mom!\Oh. Whats wrong, Eugene?\I found this on the floor.\Thank you.\I'm hungry. response:	Don. Gilda.
context: They're not here either.\They can't be...\Mom!\Oh. Whats wrong, Eugene?\I found this on the floor.\Thank you.\I'm hungry.\Don. Gilda. response:	Thank goodness, I thought you'd...
context: They can't be...\Mom!\Oh. Whats wrong, Eugene?\I found this on the floor.\Thank you.\I'm hungry.\Don. Gilda.\Thank goodness, I thought you'd... response:	Where were you?
context: Mom!\Oh. Whats wrong, Eugene?\I found this on the floor.\Thank you.\I'm hungry.\Don. Gilda.\Thank goodness, I thought you'd...\Where were you? response:	So?
context: Oh. Whats wrong, Eugene?\I found this on the floor.\Thank you.\I'm hungry.\Don. Gilda.\Thank goodness, I thought you'd...\Where were you?\So? response:	We went in to Mom's secret room.
context: I found this on the floor.\Thank you.\I'm hungry.\Don. Gilda.\Thank goodness, I thought you'd...\Where were you?\So?\We went in to Mom's secret room. response:	How?
context: Thank you.\I'm hungry.\Don. Gilda.\Thank goodness, I thought you'd...\Where were you?\So?\We went in to Mom's secret room.\How? response:	Don stole the key.
context: I'm hungry.\Don. Gilda.\Thank goodness, I thought you'd...\Where were you?\So?\We went in to Mom's secret room.\How?\Don stole the key. response:	From Mom?
context: Don. Gilda.\Thank goodness, I thought you'd...\Where were you?\So?\We went in to Mom's secret room.\How?\Don stole the key.\From Mom? response:	And, did Mom...
context: Thank goodness, I thought you'd...\Where were you?\So?\We went in to Mom's secret room.\How?\Don stole the key.\From Mom?\And, did Mom... response:	I don't think she noticed. We already returned the key, too. So probably...
context: Where were you?\So?\We went in to Mom's secret room.\How?\Don stole the key.\From Mom?\And, did Mom...\I don't think she noticed. We already returned the key, too. So probably... response:	You did something really stupid.
context: So?\We went in to Mom's secret room.\How?\Don stole the key.\From Mom?\And, did Mom...\I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid. response:	What would you do if the room was equipped with either a camera, a bug, or an alarm?
context: We went in to Mom's secret room.\How?\Don stole the key.\From Mom?\And, did Mom...\I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm? response:	If Mom or Sister found out, you two... no, all of us would be
context: How?\Don stole the key.\From Mom?\And, did Mom...\I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be response:	Tell us what would happen.
context: Don stole the key.\From Mom?\And, did Mom...\I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen. response:	Would we get killed?
context: From Mom?\And, did Mom...\I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen.\Would we get killed? response:	We found Conny's Little Bunny in the secret room.
context: And, did Mom...\I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen.\Would we get killed?\We found Conny's Little Bunny in the secret room. response:	So much for your I don't know and let's go save them.
context: I don't think she noticed. We already returned the key, too. So probably...\You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen.\Would we get killed?\We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them. response:	We can't even go save them, right?
context: You did something really stupid.\What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen.\Would we get killed?\We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them.\We can't even go save them, right? response:	Because Conny...
context: What would you do if the room was equipped with either a camera, a bug, or an alarm?\If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen.\Would we get killed?\We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them.\We can't even go save them, right?\Because Conny... response:	Conny and everyone else is...
context: If Mom or Sister found out, you two... no, all of us would be\Tell us what would happen.\Would we get killed?\We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them.\We can't even go save them, right?\Because Conny...\Conny and everyone else is... response:	I'm sorry.
context: Tell us what would happen.\Would we get killed?\We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them.\We can't even go save them, right?\Because Conny...\Conny and everyone else is...\I'm sorry. response:	I'm really sorry!
context: Would we get killed?\We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them.\We can't even go save them, right?\Because Conny...\Conny and everyone else is...\I'm sorry.\I'm really sorry! response:	So they're really...
context: We found Conny's Little Bunny in the secret room.\So much for your I don't know and let's go save them.\We can't even go save them, right?\Because Conny...\Conny and everyone else is...\I'm sorry.\I'm really sorry!\So they're really... response:	I told you, Gilda.
context: So much for your I don't know and let's go save them.\We can't even go save them, right?\Because Conny...\Conny and everyone else is...\I'm sorry.\I'm really sorry!\So they're really...\I told you, Gilda. response:	They were lying after all.
context: We can't even go save them, right?\Because Conny...\Conny and everyone else is...\I'm sorry.\I'm really sorry!\So they're really...\I told you, Gilda.\They were lying after all. response:	What are you hiding? Tell us the whole truth.
context: Because Conny...\Conny and everyone else is...\I'm sorry.\I'm really sorry!\So they're really...\I told you, Gilda.\They were lying after all.\What are you hiding? Tell us the whole truth. response:	Demons? A farm?
context: Conny and everyone else is...\I'm sorry.\I'm really sorry!\So they're really...\I told you, Gilda.\They were lying after all.\What are you hiding? Tell us the whole truth.\Demons? A farm? response:	No. Just to be eaten...
context: I'm sorry.\I'm really sorry!\So they're really...\I told you, Gilda.\They were lying after all.\What are you hiding? Tell us the whole truth.\Demons? A farm?\No. Just to be eaten... response:	And you're a spy? This whole time?
context: I'm really sorry!\So they're really...\I told you, Gilda.\They were lying after all.\What are you hiding? Tell us the whole truth.\Demons? A farm?\No. Just to be eaten...\And you're a spy? This whole time? response:	It was for our sake.
context: So they're really...\I told you, Gilda.\They were lying after all.\What are you hiding? Tell us the whole truth.\Demons? A farm?\No. Just to be eaten...\And you're a spy? This whole time?\It was for our sake. response:	Then Ray, you knew what was going to happen to Conny that day?
context: I told you, Gilda.\They were lying after all.\What are you hiding? Tell us the whole truth.\Demons? A farm?\No. Just to be eaten...\And you're a spy? This whole time?\It was for our sake.\Then Ray, you knew what was going to happen to Conny that day? response:	Emma and Norman, you both tried to trick us and take us out into a world full of enemies?
context: They were lying after all.\What are you hiding? Tell us the whole truth.\Demons? A farm?\No. Just to be eaten...\And you're a spy? This whole time?\It was for our sake.\Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies? response:	You're kidding me!
context: What are you hiding? Tell us the whole truth.\Demons? A farm?\No. Just to be eaten...\And you're a spy? This whole time?\It was for our sake.\Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me! response:	Hey, Don!
context: Demons? A farm?\No. Just to be eaten...\And you're a spy? This whole time?\It was for our sake.\Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me!\Hey, Don! response:	Don.
context: No. Just to be eaten...\And you're a spy? This whole time?\It was for our sake.\Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me!\Hey, Don!\Don. response:	Are we that much of a burden?
context: And you're a spy? This whole time?\It was for our sake.\Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me!\Hey, Don!\Don.\Are we that much of a burden? response:	Are we that weak and useless to you that you feel the need to protect us?
context: It was for our sake.\Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me!\Hey, Don!\Don.\Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us? response:	That time, when you asked us to help you, I thought you were relying on us.
context: Then Ray, you knew what was going to happen to Conny that day?\Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me!\Hey, Don!\Don.\Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us. response:	Was that a lie?
context: Emma and Norman, you both tried to trick us and take us out into a world full of enemies?\You're kidding me!\Hey, Don!\Don.\Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us.\Was that a lie? response:	We're not as smart as you three.
context: You're kidding me!\Hey, Don!\Don.\Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us.\Was that a lie?\We're not as smart as you three. response:	We're not, but still...
context: Hey, Don!\Don.\Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us.\Was that a lie?\We're not as smart as you three.\We're not, but still... response:	Aren't we siblings?
context: Don.\Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us.\Was that a lie?\We're not as smart as you three.\We're not, but still...\Aren't we siblings? response:	I just want you to have a little faith in us!
context: Are we that much of a burden?\Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us.\Was that a lie?\We're not as smart as you three.\We're not, but still...\Aren't we siblings?\I just want you to have a little faith in us! response:	Sorry, I'm acting a little weird right now. I'm going to go cool off.
context: Are we that weak and useless to you that you feel the need to protect us?\That time, when you asked us to help you, I thought you were relying on us.\Was that a lie?\We're not as smart as you three.\We're not, but still...\Aren't we siblings?\I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off. response:	Don.
context: That time, when you asked us to help you, I thought you were relying on us.\Was that a lie?\We're not as smart as you three.\We're not, but still...\Aren't we siblings?\I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don. response:	I was wrong.
context: Was that a lie?\We're not as smart as you three.\We're not, but still...\Aren't we siblings?\I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don.\I was wrong. response:	That's not it.
context: We're not as smart as you three.\We're not, but still...\Aren't we siblings?\I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don.\I was wrong.\That's not it. response:	I'm just taking it out on them.
context: We're not, but still...\Aren't we siblings?\I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don.\I was wrong.\That's not it.\I'm just taking it out on them. response:	I'm not frustrated because they treated us like weaklings.
context: Aren't we siblings?\I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don.\I was wrong.\That's not it.\I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings. response:	I made them lie.
context: I just want you to have a little faith in us!\Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don.\I was wrong.\That's not it.\I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings.\I made them lie. response:	I couldn't do anything for Conny and the others.
context: Sorry, I'm acting a little weird right now. I'm going to go cool off.\Don.\I was wrong.\That's not it.\I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings.\I made them lie.\I couldn't do anything for Conny and the others. response:	I'm ignorant and powerless.
context: Don.\I was wrong.\That's not it.\I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings.\I made them lie.\I couldn't do anything for Conny and the others.\I'm ignorant and powerless. response:	It's frustrating because I really am a weakling.
context: I was wrong.\That's not it.\I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings.\I made them lie.\I couldn't do anything for Conny and the others.\I'm ignorant and powerless.\It's frustrating because I really am a weakling. response:	It's so frustrating!
context: That's not it.\I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings.\I made them lie.\I couldn't do anything for Conny and the others.\I'm ignorant and powerless.\It's frustrating because I really am a weakling.\It's so frustrating! response:	I want to become stronger.
context: I'm just taking it out on them.\I'm not frustrated because they treated us like weaklings.\I made them lie.\I couldn't do anything for Conny and the others.\I'm ignorant and powerless.\It's frustrating because I really am a weakling.\It's so frustrating!\I want to become stronger. response:	I want to become stronger.
context: I'm not frustrated because they treated us like weaklings.\I made them lie.\I couldn't do anything for Conny and the others.\I'm ignorant and powerless.\It's frustrating because I really am a weakling.\It's so frustrating!\I want to become stronger.\I want to become stronger. response:	Yeah.
context: I made them lie.\I couldn't do anything for Conny and the others.\I'm ignorant and powerless.\It's frustrating because I really am a weakling.\It's so frustrating!\I want to become stronger.\I want to become stronger.\Yeah. response:	Don! Gilda!
context: I couldn't do anything for Conny and the others.\I'm ignorant and powerless.\It's frustrating because I really am a weakling.\It's so frustrating!\I want to become stronger.\I want to become stronger.\Yeah.\Don! Gilda! response:	Emma.
context: I'm ignorant and powerless.\It's frustrating because I really am a weakling.\It's so frustrating!\I want to become stronger.\I want to become stronger.\Yeah.\Don! Gilda!\Emma. response:	Sorry. I didn't understand.
context: It's frustrating because I really am a weakling.\It's so frustrating!\I want to become stronger.\I want to become stronger.\Yeah.\Don! Gilda!\Emma.\Sorry. I didn't understand. response:	I was prepared to be resented, but I didn't have enough resolve to believe in you!
context: It's so frustrating!\I want to become stronger.\I want to become stronger.\Yeah.\Don! Gilda!\Emma.\Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you! response:	I'm also...
context: I want to become stronger.\I want to become stronger.\Yeah.\Don! Gilda!\Emma.\Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also... response:	Sorry.
context: I want to become stronger.\Yeah.\Don! Gilda!\Emma.\Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also...\Sorry. response:	No, well, I'm also sorry that I suddenly punched you.
context: Yeah.\Don! Gilda!\Emma.\Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also...\Sorry.\No, well, I'm also sorry that I suddenly punched you. response:	Are you okay? You're not, huh?
context: Don! Gilda!\Emma.\Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also...\Sorry.\No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh? response:	I'll be okay.
context: Emma.\Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also...\Sorry.\No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh?\I'll be okay. response:	I'm sorry, too, about acting on our own.
context: Sorry. I didn't understand.\I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also...\Sorry.\No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh?\I'll be okay.\I'm sorry, too, about acting on our own. response:	Yeah. Of course Ray would get mad.
context: I was prepared to be resented, but I didn't have enough resolve to believe in you!\I'm also...\Sorry.\No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh?\I'll be okay.\I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad. response:	So we're really...
context: I'm also...\Sorry.\No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh?\I'll be okay.\I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad.\So we're really... response:	Come on, Ray.
context: Sorry.\No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh?\I'll be okay.\I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad.\So we're really...\Come on, Ray. response:	Geez, fine.
context: No, well, I'm also sorry that I suddenly punched you.\Are you okay? You're not, huh?\I'll be okay.\I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad.\So we're really...\Come on, Ray.\Geez, fine. response:	Even if the worst happens, I'll take care of it somehow.
context: Are you okay? You're not, huh?\I'll be okay.\I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad.\So we're really...\Come on, Ray.\Geez, fine.\Even if the worst happens, I'll take care of it somehow. response:	I'm also sorry for the other things I did. I apologize.
context: I'll be okay.\I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad.\So we're really...\Come on, Ray.\Geez, fine.\Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize. response:	Don. Gilda. There's no more lying, so let me ask again.
context: I'm sorry, too, about acting on our own.\Yeah. Of course Ray would get mad.\So we're really...\Come on, Ray.\Geez, fine.\Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again. response:	If we mess up, we die.
context: Yeah. Of course Ray would get mad.\So we're really...\Come on, Ray.\Geez, fine.\Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die. response:	The outside is, at worst, a world full of demons.
context: So we're really...\Come on, Ray.\Geez, fine.\Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die.\The outside is, at worst, a world full of demons. response:	Even so, will you run away with us?
context: Come on, Ray.\Geez, fine.\Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die.\The outside is, at worst, a world full of demons.\Even so, will you run away with us? response:	Of course we will!
context: Geez, fine.\Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die.\The outside is, at worst, a world full of demons.\Even so, will you run away with us?\Of course we will! response:	I feel better now that we told them the truth.
context: Even if the worst happens, I'll take care of it somehow.\I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die.\The outside is, at worst, a world full of demons.\Even so, will you run away with us?\Of course we will!\I feel better now that we told them the truth. response:	Yeah.
context: I'm also sorry for the other things I did. I apologize.\Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die.\The outside is, at worst, a world full of demons.\Even so, will you run away with us?\Of course we will!\I feel better now that we told them the truth.\Yeah. response:	One week until we carry out our plan. The preparations are going well, too.
context: Don. Gilda. There's no more lying, so let me ask again.\If we mess up, we die.\The outside is, at worst, a world full of demons.\Even so, will you run away with us?\Of course we will!\I feel better now that we told them the truth.\Yeah.\One week until we carry out our plan. The preparations are going well, too. response:	We just have to figure out how to escape with everyone.
context: If we mess up, we die.\The outside is, at worst, a world full of demons.\Even so, will you run away with us?\Of course we will!\I feel better now that we told them the truth.\Yeah.\One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone. response:	Hey, Norman, about that...
context: The outside is, at worst, a world full of demons.\Even so, will you run away with us?\Of course we will!\I feel better now that we told them the truth.\Yeah.\One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone.\Hey, Norman, about that... response:	I tried to figure out on my own how to escape with everyone.
context: Even so, will you run away with us?\Of course we will!\I feel better now that we told them the truth.\Yeah.\One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone.\Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone. response:	Do you think it's reckless?
context: Of course we will!\I feel better now that we told them the truth.\Yeah.\One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone.\Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone.\Do you think it's reckless? response:	It is.
context: I feel better now that we told them the truth.\Yeah.\One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone.\Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone.\Do you think it's reckless?\It is. response:	But with this plan, we can catch Mom off guard.
context: Yeah.\One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone.\Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard. response:	Realistically, this is the only way to escape with everyone.
context: One week until we carry out our plan. The preparations are going well, too.\We just have to figure out how to escape with everyone.\Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone. response:	Yeah.
context: We just have to figure out how to escape with everyone.\Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\Yeah. response:	Should we tell Ray?
context: Hey, Norman, about that...\I tried to figure out on my own how to escape with everyone.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\Yeah.\Should we tell Ray? response:	No.
context: I tried to figure out on my own how to escape with everyone.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\Yeah.\Should we tell Ray?\No. response:	Do you think Ray would really have everyone escape?
context: Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\Yeah.\Should we tell Ray?\No.\Do you think Ray would really have everyone escape? response:	Of course he would.
context: It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\Yeah.\Should we tell Ray?\No.\Do you think Ray would really have everyone escape?\Of course he would. response:	Ray's been moving all this time while thinking about us.
context: But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\Yeah.\Should we tell Ray?\No.\Do you think Ray would really have everyone escape?\Of course he would.\Ray's been moving all this time while thinking about us. response:	Always, for the both of us.
context: Realistically, this is the only way to escape with everyone.\Yeah.\Should we tell Ray?\No.\Do you think Ray would really have everyone escape?\Of course he would.\Ray's been moving all this time while thinking about us.\Always, for the both of us. response:	Both of us?
context: Yeah.\Should we tell Ray?\No.\Do you think Ray would really have everyone escape?\Of course he would.\Ray's been moving all this time while thinking about us.\Always, for the both of us.\Both of us? response:	Oh. Don't worry. I'll bring it up to Ray sometime soon.
context: Should we tell Ray?\No.\Do you think Ray would really have everyone escape?\Of course he would.\Ray's been moving all this time while thinking about us.\Always, for the both of us.\Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon. response:	Okay.
context: No.\Do you think Ray would really have everyone escape?\Of course he would.\Ray's been moving all this time while thinking about us.\Always, for the both of us.\Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay. response:	All this to make sure you two don't get killed.
context: Do you think Ray would really have everyone escape?\Of course he would.\Ray's been moving all this time while thinking about us.\Always, for the both of us.\Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay.\All this to make sure you two don't get killed. response:	I see. You're amazing, Ray.
context: Of course he would.\Ray's been moving all this time while thinking about us.\Always, for the both of us.\Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay.\All this to make sure you two don't get killed.\I see. You're amazing, Ray. response:	I stole them, just like you wanted.
context: Ray's been moving all this time while thinking about us.\Always, for the both of us.\Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay.\All this to make sure you two don't get killed.\I see. You're amazing, Ray.\I stole them, just like you wanted. response:	Detergent and herbicide.
context: Always, for the both of us.\Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay.\All this to make sure you two don't get killed.\I see. You're amazing, Ray.\I stole them, just like you wanted.\Detergent and herbicide. response:	What are you going to use these for?
context: Both of us?\Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay.\All this to make sure you two don't get killed.\I see. You're amazing, Ray.\I stole them, just like you wanted.\Detergent and herbicide.\What are you going to use these for? response:	They'll come in handy for our investigation.
context: Oh. Don't worry. I'll bring it up to Ray sometime soon.\Okay.\All this to make sure you two don't get killed.\I see. You're amazing, Ray.\I stole them, just like you wanted.\Detergent and herbicide.\What are you going to use these for?\They'll come in handy for our investigation. response:	By investigation, you mean we'll go past the fence to climb the wall and look outside, right?
