context: It's okay. response:	Bell-kun is alive.
context: As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark.\Where are we?\Bell-sama?\Lili!\Welf!\Are you okay? response:	Do you recognize me?
context: That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark.\Where are we?\Bell-sama?\Lili!\Welf!\Are you okay?\Do you recognize me? response:	I could never forget who you are, Bell-sama.
context: It really did get dark.\Where are we?\Bell-sama?\Lili!\Welf!\Are you okay?\Do you recognize me?\I could never forget who you are, Bell-sama. response:	Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.
context: Where are we?\Bell-sama?\Lili!\Welf!\Are you okay?\Do you recognize me?\I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine. response:	I'm sorry, Bell-sama.
context: Bell-sama?\Lili!\Welf!\Are you okay?\Do you recognize me?\I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama. response:	We really did slow you down.
context: Lili!\Welf!\Are you okay?\Do you recognize me?\I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama.\We really did slow you down. response:	I'm sorry.
context: Welf!\Are you okay?\Do you recognize me?\I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama.\We really did slow you down.\I'm sorry. response:	That's not true!
context: Are you okay?\Do you recognize me?\I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama.\We really did slow you down.\I'm sorry.\That's not true! response:	If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.
context: Do you recognize me?\I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama.\We really did slow you down.\I'm sorry.\That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor. response:	And if it weren't for Welf, the Hellhounds would've barbecued us!
context: I could never forget who you are, Bell-sama.\Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama.\We really did slow you down.\I'm sorry.\That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us! response:	That was all thanks to you two. Because our whole party was there,
context: Yeah... if I can hear Li'l Lili prattling on, it means I'm fine.\I'm sorry, Bell-sama.\We really did slow you down.\I'm sorry.\That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there, response:	we were able to survive all that.
context: I'm sorry, Bell-sama.\We really did slow you down.\I'm sorry.\That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there,\we were able to survive all that. response:	You're right.
context: We really did slow you down.\I'm sorry.\That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there,\we were able to survive all that.\You're right. response:	We couldn't have done it without everyone, right?
context: I'm sorry.\That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there,\we were able to survive all that.\You're right.\We couldn't have done it without everyone, right? response:	Dinner's ready.
context: That's not true!\If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there,\we were able to survive all that.\You're right.\We couldn't have done it without everyone, right?\Dinner's ready. response:	Are you okay?
context: If it weren't for you, Lili, I never would have thought to go to the Eighteenth floor.\And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there,\we were able to survive all that.\You're right.\We couldn't have done it without everyone, right?\Dinner's ready.\Are you okay? response:	Th-The Sword Princess!
context: And if it weren't for Welf, the Hellhounds would've barbecued us!\That was all thanks to you two. Because our whole party was there,\we were able to survive all that.\You're right.\We couldn't have done it without everyone, right?\Dinner's ready.\Are you okay?\Th-The Sword Princess! response:	Aiz Wallenstein!
context: That was all thanks to you two. Because our whole party was there,\we were able to survive all that.\You're right.\We couldn't have done it without everyone, right?\Dinner's ready.\Are you okay?\Th-The Sword Princess!\Aiz Wallenstein! response:	They are brave adventurers who risked their lives for each other.
context: we were able to survive all that.\You're right.\We couldn't have done it without everyone, right?\Dinner's ready.\Are you okay?\Th-The Sword Princess!\Aiz Wallenstein!\They are brave adventurers who risked their lives for each other. response:	As fellow adventurers, please treat them with respect.
context: You're right.\We couldn't have done it without everyone, right?\Dinner's ready.\Are you okay?\Th-The Sword Princess!\Aiz Wallenstein!\They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect. response:	Here.
context: We couldn't have done it without everyone, right?\Dinner's ready.\Are you okay?\Th-The Sword Princess!\Aiz Wallenstein!\They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect.\Here. response:	Um...
context: Dinner's ready.\Are you okay?\Th-The Sword Princess!\Aiz Wallenstein!\They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect.\Here.\Um... response:	What's this?
context: Are you okay?\Th-The Sword Princess!\Aiz Wallenstein!\They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect.\Here.\Um...\What's this? response:	A fruit from the Eighteenth floor.
context: Th-The Sword Princess!\Aiz Wallenstein!\They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect.\Here.\Um...\What's this?\A fruit from the Eighteenth floor. response:	Fruit from the dungeon?
context: Aiz Wallenstein!\They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect.\Here.\Um...\What's this?\A fruit from the Eighteenth floor.\Fruit from the dungeon? response:	So sweet!
context: They are brave adventurers who risked their lives for each other.\As fellow adventurers, please treat them with respect.\Here.\Um...\What's this?\A fruit from the Eighteenth floor.\Fruit from the dungeon?\So sweet! response:	Bell-sama! Bell-sama!
context: As fellow adventurers, please treat them with respect.\Here.\Um...\What's this?\A fruit from the Eighteenth floor.\Fruit from the dungeon?\So sweet!\Bell-sama! Bell-sama! response:	If you don't like it, I'll take it.
context: Here.\Um...\What's this?\A fruit from the Eighteenth floor.\Fruit from the dungeon?\So sweet!\Bell-sama! Bell-sama!\If you don't like it, I'll take it. response:	Here.
context: Um...\What's this?\A fruit from the Eighteenth floor.\Fruit from the dungeon?\So sweet!\Bell-sama! Bell-sama!\If you don't like it, I'll take it.\Here. response:	This is too sweet, yeah.
context: What's this?\A fruit from the Eighteenth floor.\Fruit from the dungeon?\So sweet!\Bell-sama! Bell-sama!\If you don't like it, I'll take it.\Here.\This is too sweet, yeah. response:	Argonaut-kun!
context: A fruit from the Eighteenth floor.\Fruit from the dungeon?\So sweet!\Bell-sama! Bell-sama!\If you don't like it, I'll take it.\Here.\This is too sweet, yeah.\Argonaut-kun! response:	Hey, hey, how can I get S ranked in my abilities?
context: Fruit from the dungeon?\So sweet!\Bell-sama! Bell-sama!\If you don't like it, I'll take it.\Here.\This is too sweet, yeah.\Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities? response:	Tell us all about it!
context: So sweet!\Bell-sama! Bell-sama!\If you don't like it, I'll take it.\Here.\This is too sweet, yeah.\Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities?\Tell us all about it! response:	Why you...
context: Bell-sama! Bell-sama!\If you don't like it, I'll take it.\Here.\This is too sweet, yeah.\Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities?\Tell us all about it!\Why you... response:	Damn it! Nobody told me about that huge thing!
context: If you don't like it, I'll take it.\Here.\This is too sweet, yeah.\Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities?\Tell us all about it!\Why you...\Damn it! Nobody told me about that huge thing! response:	Goddess!
context: Here.\This is too sweet, yeah.\Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities?\Tell us all about it!\Why you...\Damn it! Nobody told me about that huge thing!\Goddess! response:	Bell-kun!
context: This is too sweet, yeah.\Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities?\Tell us all about it!\Why you...\Damn it! Nobody told me about that huge thing!\Goddess!\Bell-kun! response:	Bell-kun! Bell-kun!
context: Argonaut-kun!\Hey, hey, how can I get S ranked in my abilities?\Tell us all about it!\Why you...\Damn it! Nobody told me about that huge thing!\Goddess!\Bell-kun!\Bell-kun! Bell-kun! response:	Bell-kun! Bell-kun! Bell-kun!
context: Hey, hey, how can I get S ranked in my abilities?\Tell us all about it!\Why you...\Damn it! Nobody told me about that huge thing!\Goddess!\Bell-kun!\Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun! response:	Goddess!
context: Tell us all about it!\Why you...\Damn it! Nobody told me about that huge thing!\Goddess!\Bell-kun!\Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun!\Goddess! response:	Bell-kun!
context: Why you...\Damn it! Nobody told me about that huge thing!\Goddess!\Bell-kun!\Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun!\Goddess!\Bell-kun! response:	Is it really you?
context: Damn it! Nobody told me about that huge thing!\Goddess!\Bell-kun!\Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun!\Goddess!\Bell-kun!\Is it really you? response:	Goddess...
context: Goddess!\Bell-kun!\Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun!\Goddess!\Bell-kun!\Is it really you?\Goddess... response:	I'm so glad.
context: Bell-kun!\Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun!\Goddess!\Bell-kun!\Is it really you?\Goddess...\I'm so glad. response:	Goddess?
context: Bell-kun! Bell-kun!\Bell-kun! Bell-kun! Bell-kun!\Goddess!\Bell-kun!\Is it really you?\Goddess...\I'm so glad.\Goddess? response:	I'm sorry I worried you.
context: Bell-kun! Bell-kun! Bell-kun!\Goddess!\Bell-kun!\Is it really you?\Goddess...\I'm so glad.\Goddess?\I'm sorry I worried you. response:	Enough already, Hestia-sama!
context: Goddess!\Bell-kun!\Is it really you?\Goddess...\I'm so glad.\Goddess?\I'm sorry I worried you.\Enough already, Hestia-sama! response:	Hey!
context: Bell-kun!\Is it really you?\Goddess...\I'm so glad.\Goddess?\I'm sorry I worried you.\Enough already, Hestia-sama!\Hey! response:	Don't ruin my moving reunion scene!
context: Is it really you?\Goddess...\I'm so glad.\Goddess?\I'm sorry I worried you.\Enough already, Hestia-sama!\Hey!\Don't ruin my moving reunion scene! response:	Bell-sama got hurt protecting us, and he needs to rest!
context: Goddess...\I'm so glad.\Goddess?\I'm sorry I worried you.\Enough already, Hestia-sama!\Hey!\Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest! response:	Wallenwhatsit?!
context: I'm so glad.\Goddess?\I'm sorry I worried you.\Enough already, Hestia-sama!\Hey!\Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?! response:	Why are you here, too?
context: Goddess?\I'm sorry I worried you.\Enough already, Hestia-sama!\Hey!\Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?!\Why are you here, too? response:	Cranel-san.
context: I'm sorry I worried you.\Enough already, Hestia-sama!\Hey!\Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?!\Why are you here, too?\Cranel-san. response:	You're safe?
context: Enough already, Hestia-sama!\Hey!\Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?!\Why are you here, too?\Cranel-san.\You're safe? response:	R-Ryu-san?
context: Hey!\Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?!\Why are you here, too?\Cranel-san.\You're safe?\R-Ryu-san? response:	So you're Bell Cranel?
context: Don't ruin my moving reunion scene!\Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?!\Why are you here, too?\Cranel-san.\You're safe?\R-Ryu-san?\So you're Bell Cranel? response:	Yes!
context: Bell-sama got hurt protecting us, and he needs to rest!\Wallenwhatsit?!\Why are you here, too?\Cranel-san.\You're safe?\R-Ryu-san?\So you're Bell Cranel?\Yes! response:	I see. So you're it, huh?
context: Wallenwhatsit?!\Why are you here, too?\Cranel-san.\You're safe?\R-Ryu-san?\So you're Bell Cranel?\Yes!\I see. So you're it, huh? response:	I've been looking forward to meeting you.
context: Why are you here, too?\Cranel-san.\You're safe?\R-Ryu-san?\So you're Bell Cranel?\Yes!\I see. So you're it, huh?\I've been looking forward to meeting you. response:	My name is Hermes.
context: Cranel-san.\You're safe?\R-Ryu-san?\So you're Bell Cranel?\Yes!\I see. So you're it, huh?\I've been looking forward to meeting you.\My name is Hermes. response:	Nice to meet you.
context: You're safe?\R-Ryu-san?\So you're Bell Cranel?\Yes!\I see. So you're it, huh?\I've been looking forward to meeting you.\My name is Hermes.\Nice to meet you. response:	Thank you.
context: R-Ryu-san?\So you're Bell Cranel?\Yes!\I see. So you're it, huh?\I've been looking forward to meeting you.\My name is Hermes.\Nice to meet you.\Thank you. response:	Don't worry. I'm just doing this for my dear friend Hestia.
context: So you're Bell Cranel?\Yes!\I see. So you're it, huh?\I've been looking forward to meeting you.\My name is Hermes.\Nice to meet you.\Thank you.\Don't worry. I'm just doing this for my dear friend Hestia. response:	And if you're going to thank somebody, thank these children, not me.
context: Yes!\I see. So you're it, huh?\I've been looking forward to meeting you.\My name is Hermes.\Nice to meet you.\Thank you.\Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me. response:	It's thanks to them that we made it here.
context: I see. So you're it, huh?\I've been looking forward to meeting you.\My name is Hermes.\Nice to meet you.\Thank you.\Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here. response:	I'm so sorry!
context: I've been looking forward to meeting you.\My name is Hermes.\Nice to meet you.\Thank you.\Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here.\I'm so sorry! response:	No, please don't...
context: My name is Hermes.\Nice to meet you.\Thank you.\Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here.\I'm so sorry!\No, please don't... response:	No matter how much you apologize, it won't be easy to forgive you.
context: Nice to meet you.\Thank you.\Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here.\I'm so sorry!\No, please don't...\No matter how much you apologize, it won't be easy to forgive you. response:	We almost died.
context: Thank you.\Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here.\I'm so sorry!\No, please don't...\No matter how much you apologize, it won't be easy to forgive you.\We almost died. response:	Yeah.
context: Don't worry. I'm just doing this for my dear friend Hestia.\And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here.\I'm so sorry!\No, please don't...\No matter how much you apologize, it won't be easy to forgive you.\We almost died.\Yeah. response:	We can't just let it go.
context: And if you're going to thank somebody, thank these children, not me.\It's thanks to them that we made it here.\I'm so sorry!\No, please don't...\No matter how much you apologize, it won't be easy to forgive you.\We almost died.\Yeah.\We can't just let it go. response:	I'm really sorry.
context: It's thanks to them that we made it here.\I'm so sorry!\No, please don't...\No matter how much you apologize, it won't be easy to forgive you.\We almost died.\Yeah.\We can't just let it go.\I'm really sorry. response:	You're right to be angry.
context: I'm so sorry!\No, please don't...\No matter how much you apologize, it won't be easy to forgive you.\We almost died.\Yeah.\We can't just let it go.\I'm really sorry.\You're right to be angry. response:	If you need to take it out on me
context: No, please don't...\No matter how much you apologize, it won't be easy to forgive you.\We almost died.\Yeah.\We can't just let it go.\I'm really sorry.\You're right to be angry.\If you need to take it out on me response:	Blame me, if you've got to blame somebody.
context: No matter how much you apologize, it won't be easy to forgive you.\We almost died.\Yeah.\We can't just let it go.\I'm really sorry.\You're right to be angry.\If you need to take it out on me\Blame me, if you've got to blame somebody. response:	It was my order.
context: We almost died.\Yeah.\We can't just let it go.\I'm really sorry.\You're right to be angry.\If you need to take it out on me\Blame me, if you've got to blame somebody.\It was my order. response:	And I still think it was the right thing to do.
context: Yeah.\We can't just let it go.\I'm really sorry.\You're right to be angry.\If you need to take it out on me\Blame me, if you've got to blame somebody.\It was my order.\And I still think it was the right thing to do. response:	I'm amazed you can say that right in front of us, big guy.
context: We can't just let it go.\I'm really sorry.\You're right to be angry.\If you need to take it out on me\Blame me, if you've got to blame somebody.\It was my order.\And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy. response:	No, he's right.
context: I'm really sorry.\You're right to be angry.\If you need to take it out on me\Blame me, if you've got to blame somebody.\It was my order.\And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy.\No, he's right. response:	Lili, Welf...
context: You're right to be angry.\If you need to take it out on me\Blame me, if you've got to blame somebody.\It was my order.\And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy.\No, he's right.\Lili, Welf... response:	If your lives were on the line,
context: If you need to take it out on me\Blame me, if you've got to blame somebody.\It was my order.\And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy.\No, he's right.\Lili, Welf...\If your lives were on the line, response:	I might have done the same thing.
context: Blame me, if you've got to blame somebody.\It was my order.\And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy.\No, he's right.\Lili, Welf...\If your lives were on the line,\I might have done the same thing. response:	If you say so, Bell-sama.
context: It was my order.\And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy.\No, he's right.\Lili, Welf...\If your lives were on the line,\I might have done the same thing.\If you say so, Bell-sama. response:	I'll get over this.
context: And I still think it was the right thing to do.\I'm amazed you can say that right in front of us, big guy.\No, he's right.\Lili, Welf...\If your lives were on the line,\I might have done the same thing.\If you say so, Bell-sama.\I'll get over this. response:	But I am never going to be okay with it.
context: I'm amazed you can say that right in front of us, big guy.\No, he's right.\Lili, Welf...\If your lives were on the line,\I might have done the same thing.\If you say so, Bell-sama.\I'll get over this.\But I am never going to be okay with it. response:	Right. That's as it should be.
context: No, he's right.\Lili, Welf...\If your lives were on the line,\I might have done the same thing.\If you say so, Bell-sama.\I'll get over this.\But I am never going to be okay with it.\Right. That's as it should be. response:	Okay, let's talk about what comes next.
context: Lili, Welf...\If your lives were on the line,\I might have done the same thing.\If you say so, Bell-sama.\I'll get over this.\But I am never going to be okay with it.\Right. That's as it should be.\Okay, let's talk about what comes next. response:	Asfi.
context: If your lives were on the line,\I might have done the same thing.\If you say so, Bell-sama.\I'll get over this.\But I am never going to be okay with it.\Right. That's as it should be.\Okay, let's talk about what comes next.\Asfi. response:	First, as for our return to the surface,
context: I might have done the same thing.\If you say so, Bell-sama.\I'll get over this.\But I am never going to be okay with it.\Right. That's as it should be.\Okay, let's talk about what comes next.\Asfi.\First, as for our return to the surface, response:	we'll leave after the Loki Familia defeats the Goliath.
context: If you say so, Bell-sama.\I'll get over this.\But I am never going to be okay with it.\Right. That's as it should be.\Okay, let's talk about what comes next.\Asfi.\First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath. response:	It's going to be at least two days before they move.
context: I'll get over this.\But I am never going to be okay with it.\Right. That's as it should be.\Okay, let's talk about what comes next.\Asfi.\First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move. response:	In other words, you've all got a day off.
context: But I am never going to be okay with it.\Right. That's as it should be.\Okay, let's talk about what comes next.\Asfi.\First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move.\In other words, you've all got a day off. response:	Why not take a break and rest tomorrow?
context: Right. That's as it should be.\Okay, let's talk about what comes next.\Asfi.\First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move.\In other words, you've all got a day off.\Why not take a break and rest tomorrow? response:	Goodnight, Bell-sama!
context: Okay, let's talk about what comes next.\Asfi.\First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move.\In other words, you've all got a day off.\Why not take a break and rest tomorrow?\Goodnight, Bell-sama! response:	Yeah. Goodnight.
context: Asfi.\First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move.\In other words, you've all got a day off.\Why not take a break and rest tomorrow?\Goodnight, Bell-sama!\Yeah. Goodnight. response:	Welf-kun.
context: First, as for our return to the surface,\we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move.\In other words, you've all got a day off.\Why not take a break and rest tomorrow?\Goodnight, Bell-sama!\Yeah. Goodnight.\Welf-kun. response:	Hephaestus wanted me to give this to you.
context: we'll leave after the Loki Familia defeats the Goliath.\It's going to be at least two days before they move.\In other words, you've all got a day off.\Why not take a break and rest tomorrow?\Goodnight, Bell-sama!\Yeah. Goodnight.\Welf-kun.\Hephaestus wanted me to give this to you. response:	I have a message for you, too.
context: It's going to be at least two days before they move.\In other words, you've all got a day off.\Why not take a break and rest tomorrow?\Goodnight, Bell-sama!\Yeah. Goodnight.\Welf-kun.\Hephaestus wanted me to give this to you.\I have a message for you, too. response:	I still can't believe this is in the dungeon.
context: In other words, you've all got a day off.\Why not take a break and rest tomorrow?\Goodnight, Bell-sama!\Yeah. Goodnight.\Welf-kun.\Hephaestus wanted me to give this to you.\I have a message for you, too.\I still can't believe this is in the dungeon. response:	What's wrong?
context: Why not take a break and rest tomorrow?\Goodnight, Bell-sama!\Yeah. Goodnight.\Welf-kun.\Hephaestus wanted me to give this to you.\I have a message for you, too.\I still can't believe this is in the dungeon.\What's wrong? response:	Oh, well...
context: Goodnight, Bell-sama!\Yeah. Goodnight.\Welf-kun.\Hephaestus wanted me to give this to you.\I have a message for you, too.\I still can't believe this is in the dungeon.\What's wrong?\Oh, well... response:	I couldn't sleep.
context: Yeah. Goodnight.\Welf-kun.\Hephaestus wanted me to give this to you.\I have a message for you, too.\I still can't believe this is in the dungeon.\What's wrong?\Oh, well...\I couldn't sleep. response:	Um, what are you doing here, Aiz-san?
context: Welf-kun.\Hephaestus wanted me to give this to you.\I have a message for you, too.\I still can't believe this is in the dungeon.\What's wrong?\Oh, well...\I couldn't sleep.\Um, what are you doing here, Aiz-san? response:	I saw you walking.
context: Hephaestus wanted me to give this to you.\I have a message for you, too.\I still can't believe this is in the dungeon.\What's wrong?\Oh, well...\I couldn't sleep.\Um, what are you doing here, Aiz-san?\I saw you walking. response:	And... I was a little worried.
context: I have a message for you, too.\I still can't believe this is in the dungeon.\What's wrong?\Oh, well...\I couldn't sleep.\Um, what are you doing here, Aiz-san?\I saw you walking.\And... I was a little worried. response:	Am I bothering you?
context: I still can't believe this is in the dungeon.\What's wrong?\Oh, well...\I couldn't sleep.\Um, what are you doing here, Aiz-san?\I saw you walking.\And... I was a little worried.\Am I bothering you? response:	No, that's not what I meant!
context: What's wrong?\Oh, well...\I couldn't sleep.\Um, what are you doing here, Aiz-san?\I saw you walking.\And... I was a little worried.\Am I bothering you?\No, that's not what I meant! response:	I'm so happy
context: Oh, well...\I couldn't sleep.\Um, what are you doing here, Aiz-san?\I saw you walking.\And... I was a little worried.\Am I bothering you?\No, that's not what I meant!\I'm so happy response:	No!
context: I couldn't sleep.\Um, what are you doing here, Aiz-san?\I saw you walking.\And... I was a little worried.\Am I bothering you?\No, that's not what I meant!\I'm so happy\No! response:	You're always nervous, aren't you, Bell?
context: Um, what are you doing here, Aiz-san?\I saw you walking.\And... I was a little worried.\Am I bothering you?\No, that's not what I meant!\I'm so happy\No!\You're always nervous, aren't you, Bell? response:	When do you leave?
context: I saw you walking.\And... I was a little worried.\Am I bothering you?\No, that's not what I meant!\I'm so happy\No!\You're always nervous, aren't you, Bell?\When do you leave? response:	Well... after you do.
context: And... I was a little worried.\Am I bothering you?\No, that's not what I meant!\I'm so happy\No!\You're always nervous, aren't you, Bell?\When do you leave?\Well... after you do. response:	So we're going to rest tomorrow.
context: Am I bothering you?\No, that's not what I meant!\I'm so happy\No!\You're always nervous, aren't you, Bell?\When do you leave?\Well... after you do.\So we're going to rest tomorrow. response:	I see.
context: No, that's not what I meant!\I'm so happy\No!\You're always nervous, aren't you, Bell?\When do you leave?\Well... after you do.\So we're going to rest tomorrow.\I see. response:	So are you going to see the town?
context: I'm so happy\No!\You're always nervous, aren't you, Bell?\When do you leave?\Well... after you do.\So we're going to rest tomorrow.\I see.\So are you going to see the town? response:	There's a town in the dungeon?
context: No!\You're always nervous, aren't you, Bell?\When do you leave?\Well... after you do.\So we're going to rest tomorrow.\I see.\So are you going to see the town?\There's a town in the dungeon? response:	Want to go tomorrow?
context: You're always nervous, aren't you, Bell?\When do you leave?\Well... after you do.\So we're going to rest tomorrow.\I see.\So are you going to see the town?\There's a town in the dungeon?\Want to go tomorrow? response:	Sure!
context: When do you leave?\Well... after you do.\So we're going to rest tomorrow.\I see.\So are you going to see the town?\There's a town in the dungeon?\Want to go tomorrow?\Sure! response:	A town, huh?
context: Well... after you do.\So we're going to rest tomorrow.\I see.\So are you going to see the town?\There's a town in the dungeon?\Want to go tomorrow?\Sure!\A town, huh? response:	I wonder what it's like!
context: So we're going to rest tomorrow.\I see.\So are you going to see the town?\There's a town in the dungeon?\Want to go tomorrow?\Sure!\A town, huh?\I wonder what it's like! response:	A town, huh?
context: I see.\So are you going to see the town?\There's a town in the dungeon?\Want to go tomorrow?\Sure!\A town, huh?\I wonder what it's like!\A town, huh? response:	Come on, Bell-kun.
context: So are you going to see the town?\There's a town in the dungeon?\Want to go tomorrow?\Sure!\A town, huh?\I wonder what it's like!\A town, huh?\Come on, Bell-kun. response:	If you're going, you need to invite me first!
context: There's a town in the dungeon?\Want to go tomorrow?\Sure!\A town, huh?\I wonder what it's like!\A town, huh?\Come on, Bell-kun.\If you're going, you need to invite me first! response:	Me and you, Bell-kun...
context: Want to go tomorrow?\Sure!\A town, huh?\I wonder what it's like!\A town, huh?\Come on, Bell-kun.\If you're going, you need to invite me first!\Me and you, Bell-kun... response:	We're inseparable, right?!
context: Sure!\A town, huh?\I wonder what it's like!\A town, huh?\Come on, Bell-kun.\If you're going, you need to invite me first!\Me and you, Bell-kun...\We're inseparable, right?! response:	I-I'm sorry!
context: A town, huh?\I wonder what it's like!\A town, huh?\Come on, Bell-kun.\If you're going, you need to invite me first!\Me and you, Bell-kun...\We're inseparable, right?!\I-I'm sorry! response:	So that's how it is, Wallenwhatsit!
context: I wonder what it's like!\A town, huh?\Come on, Bell-kun.\If you're going, you need to invite me first!\Me and you, Bell-kun...\We're inseparable, right?!\I-I'm sorry!\So that's how it is, Wallenwhatsit! response:	You won't run off with him without my permission!
context: A town, huh?\Come on, Bell-kun.\If you're going, you need to invite me first!\Me and you, Bell-kun...\We're inseparable, right?!\I-I'm sorry!\So that's how it is, Wallenwhatsit!\You won't run off with him without my permission! response:	And I'll never let you go on a date with him!
context: Come on, Bell-kun.\If you're going, you need to invite me first!\Me and you, Bell-kun...\We're inseparable, right?!\I-I'm sorry!\So that's how it is, Wallenwhatsit!\You won't run off with him without my permission!\And I'll never let you go on a date with him! response:	A date?
context: If you're going, you need to invite me first!\Me and you, Bell-kun...\We're inseparable, right?!\I-I'm sorry!\So that's how it is, Wallenwhatsit!\You won't run off with him without my permission!\And I'll never let you go on a date with him!\A date? response:	N-No!
