context: FIVE YEARS AGO response:	REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME
context: Figures, he is their intel chief.\We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see.\She's even faster than I predicted?\I know your type.\You guys are always spouting crap like, response:	I've analyzed all your capabilities or I can anticipate all your moves!
context: We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see.\She's even faster than I predicted?\I know your type.\You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves! response:	To be reckless!
context: Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see.\She's even faster than I predicted?\I know your type.\You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless! response:	I see.
context: So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see.\She's even faster than I predicted?\I know your type.\You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless!\I see. response:	That's why you exerted yourself right away and boosted
context: Ah, I see.\She's even faster than I predicted?\I know your type.\You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless!\I see.\That's why you exerted yourself right away and boosted response:	your reaction speed higher than I predicted.
context: She's even faster than I predicted?\I know your type.\You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless!\I see.\That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted. response:	Boosting your Life Fiber link through force of will, eh?
context: I know your type.\You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless!\I see.\That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh? response:	The methodology is the same as that of the Goku Uniforms,
context: You guys are always spouting crap like,\I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless!\I see.\That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms, response:	but, given that yours is 100 Life Fibers, its effect is that much greater.
context: I've analyzed all your capabilities or I can anticipate all your moves!\To be reckless!\I see.\That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater. response:	But I wonder, how long can your body keep this up?
context: To be reckless!\I see.\That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up? response:	It ain't about if I can or not, I will make it last.
context: I see.\That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last. response:	I expect nothing less from Ryuko Matoi!
context: That's why you exerted yourself right away and boosted\your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi! response:	Why is it that the human body can move like that
context: your reaction speed higher than I predicted.\Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that response:	simply by putting on clothing made of Life Fibers?
context: Boosting your Life Fiber link through force of will, eh?\The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers? response:	Show me the reason why with your actions!
context: The methodology is the same as that of the Goku Uniforms,\but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions! response:	What the?!
context: but, given that yours is 100 Life Fibers, its effect is that much greater.\But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions!\What the?! response:	He vanished?!
context: But I wonder, how long can your body keep this up?\It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions!\What the?!\He vanished?! response:	He disappeared!
context: It ain't about if I can or not, I will make it last.\I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions!\What the?!\He vanished?!\He disappeared! response:	When Houka Inumuta's Goku Uniform shines,
context: I expect nothing less from Ryuko Matoi!\Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions!\What the?!\He vanished?!\He disappeared!\When Houka Inumuta's Goku Uniform shines, response:	white butterflies flutter and come to rest on a snowman.
context: Why is it that the human body can move like that\simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions!\What the?!\He vanished?!\He disappeared!\When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman. response:	He did not vanish!
context: simply by putting on clothing made of Life Fibers?\Show me the reason why with your actions!\What the?!\He vanished?!\He disappeared!\When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman.\He did not vanish! response:	OPTICAL CAMOUFLAGE
context: Show me the reason why with your actions!\What the?!\He vanished?!\He disappeared!\When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman.\He did not vanish!\OPTICAL CAMOUFLAGE response:	This is optical camouflage!
context: What the?!\He vanished?!\He disappeared!\When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman.\He did not vanish!\OPTICAL CAMOUFLAGE\This is optical camouflage! response:	Nuh-uh! There's no butterflies in winter!
context: He vanished?!\He disappeared!\When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman.\He did not vanish!\OPTICAL CAMOUFLAGE\This is optical camouflage!\Nuh-uh! There's no butterflies in winter! response:	They die when it snows!
context: He disappeared!\When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman.\He did not vanish!\OPTICAL CAMOUFLAGE\This is optical camouflage!\Nuh-uh! There's no butterflies in winter!\They die when it snows! response:	I should have known, Mankanshoku.
context: When Houka Inumuta's Goku Uniform shines,\white butterflies flutter and come to rest on a snowman.\He did not vanish!\OPTICAL CAMOUFLAGE\This is optical camouflage!\Nuh-uh! There's no butterflies in winter!\They die when it snows!\I should have known, Mankanshoku. response:	You totally missed the point.
context: white butterflies flutter and come to rest on a snowman.\He did not vanish!\OPTICAL CAMOUFLAGE\This is optical camouflage!\Nuh-uh! There's no butterflies in winter!\They die when it snows!\I should have known, Mankanshoku.\You totally missed the point. response:	When it comes to haphazard attacks,
context: He did not vanish!\OPTICAL CAMOUFLAGE\This is optical camouflage!\Nuh-uh! There's no butterflies in winter!\They die when it snows!\I should have known, Mankanshoku.\You totally missed the point.\When it comes to haphazard attacks, response:	the most effective thing to do is dodge them.
context: OPTICAL CAMOUFLAGE\This is optical camouflage!\Nuh-uh! There's no butterflies in winter!\They die when it snows!\I should have known, Mankanshoku.\You totally missed the point.\When it comes to haphazard attacks,\the most effective thing to do is dodge them. response:	What's more, if the target is counterattacked,
context: This is optical camouflage!\Nuh-uh! There's no butterflies in winter!\They die when it snows!\I should have known, Mankanshoku.\You totally missed the point.\When it comes to haphazard attacks,\the most effective thing to do is dodge them.\What's more, if the target is counterattacked, response:	the psychological damage is all the greater.
context: Nuh-uh! There's no butterflies in winter!\They die when it snows!\I should have known, Mankanshoku.\You totally missed the point.\When it comes to haphazard attacks,\the most effective thing to do is dodge them.\What's more, if the target is counterattacked,\the psychological damage is all the greater. response:	There's nowhere to run!
context: They die when it snows!\I should have known, Mankanshoku.\You totally missed the point.\When it comes to haphazard attacks,\the most effective thing to do is dodge them.\What's more, if the target is counterattacked,\the psychological damage is all the greater.\There's nowhere to run! response:	If I can only gather obvious data like this,
context: I should have known, Mankanshoku.\You totally missed the point.\When it comes to haphazard attacks,\the most effective thing to do is dodge them.\What's more, if the target is counterattacked,\the psychological damage is all the greater.\There's nowhere to run!\If I can only gather obvious data like this, response:	I'll be very disappointed!
context: You totally missed the point.\When it comes to haphazard attacks,\the most effective thing to do is dodge them.\What's more, if the target is counterattacked,\the psychological damage is all the greater.\There's nowhere to run!\If I can only gather obvious data like this,\I'll be very disappointed! response:	Senketsu, time for Plan 2!
context: When it comes to haphazard attacks,\the most effective thing to do is dodge them.\What's more, if the target is counterattacked,\the psychological damage is all the greater.\There's nowhere to run!\If I can only gather obvious data like this,\I'll be very disappointed!\Senketsu, time for Plan 2! response:	Get Really Reckless!
context: the most effective thing to do is dodge them.\What's more, if the target is counterattacked,\the psychological damage is all the greater.\There's nowhere to run!\If I can only gather obvious data like this,\I'll be very disappointed!\Senketsu, time for Plan 2!\Get Really Reckless! response:	Understood!
context: What's more, if the target is counterattacked,\the psychological damage is all the greater.\There's nowhere to run!\If I can only gather obvious data like this,\I'll be very disappointed!\Senketsu, time for Plan 2!\Get Really Reckless!\Understood! response:	Eat this!
context: the psychological damage is all the greater.\There's nowhere to run!\If I can only gather obvious data like this,\I'll be very disappointed!\Senketsu, time for Plan 2!\Get Really Reckless!\Understood!\Eat this! response:	What?
context: There's nowhere to run!\If I can only gather obvious data like this,\I'll be very disappointed!\Senketsu, time for Plan 2!\Get Really Reckless!\Understood!\Eat this!\What? response:	That eye is totally huge!
context: If I can only gather obvious data like this,\I'll be very disappointed!\Senketsu, time for Plan 2!\Get Really Reckless!\Understood!\Eat this!\What?\That eye is totally huge! response:	If I can't see where you are,
context: I'll be very disappointed!\Senketsu, time for Plan 2!\Get Really Reckless!\Understood!\Eat this!\What?\That eye is totally huge!\If I can't see where you are, response:	I'll just have to attack everywhere at the same time!
context: Senketsu, time for Plan 2!\Get Really Reckless!\Understood!\Eat this!\What?\That eye is totally huge!\If I can't see where you are,\I'll just have to attack everywhere at the same time! response:	EVASION IMPOSSIBLE
context: Get Really Reckless!\Understood!\Eat this!\What?\That eye is totally huge!\If I can't see where you are,\I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE response:	E-Evasion...
context: Understood!\Eat this!\What?\That eye is totally huge!\If I can't see where you are,\I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE\E-Evasion... response:	I can see him!
context: Eat this!\What?\That eye is totally huge!\If I can't see where you are,\I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE\E-Evasion...\I can see him! response:	Oh, dear. It looks like the shock of that attack
context: What?\That eye is totally huge!\If I can't see where you are,\I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE\E-Evasion...\I can see him!\Oh, dear. It looks like the shock of that attack response:	has wrecked that hide-and-seek ability of his.
context: That eye is totally huge!\If I can't see where you are,\I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE\E-Evasion...\I can see him!\Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his. response:	That's what happens when you rely on your eyes.
context: If I can't see where you are,\I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE\E-Evasion...\I can see him!\Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes. response:	Yeah, just like a certain somebody!
context: I'll just have to attack everywhere at the same time!\EVASION IMPOSSIBLE\E-Evasion...\I can see him!\Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes.\Yeah, just like a certain somebody! response:	See that?
context: EVASION IMPOSSIBLE\E-Evasion...\I can see him!\Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes.\Yeah, just like a certain somebody!\See that? response:	Make a crazy attack even crazier, and it'll hit.
context: E-Evasion...\I can see him!\Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes.\Yeah, just like a certain somebody!\See that?\Make a crazy attack even crazier, and it'll hit. response:	Let's do it, Senketsu!
context: I can see him!\Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes.\Yeah, just like a certain somebody!\See that?\Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu! response:	Your blood is boiling even hotter than usual.
context: Oh, dear. It looks like the shock of that attack\has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes.\Yeah, just like a certain somebody!\See that?\Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu!\Your blood is boiling even hotter than usual. response:	Yeah,'cause I can't stop here!
context: has wrecked that hide-and-seek ability of his.\That's what happens when you rely on your eyes.\Yeah, just like a certain somebody!\See that?\Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu!\Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here! response:	DOES NOT COMPUTE
context: That's what happens when you rely on your eyes.\Yeah, just like a certain somebody!\See that?\Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu!\Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here!\DOES NOT COMPUTE response:	I'm at at the limits of my processing capacity?
context: Yeah, just like a certain somebody!\See that?\Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu!\Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here!\DOES NOT COMPUTE\I'm at at the limits of my processing capacity? response:	Houka Inumuta hereby forfeits this battle!
context: See that?\Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu!\Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here!\DOES NOT COMPUTE\I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle! response:	FORFEIT
context: Make a crazy attack even crazier, and it'll hit.\Let's do it, Senketsu!\Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here!\DOES NOT COMPUTE\I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle!\FORFEIT response:	What are you up to?
context: Let's do it, Senketsu!\Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here!\DOES NOT COMPUTE\I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle!\FORFEIT\What are you up to? response:	If I continue fighting, the data I've gathered so far would be damaged.
context: Your blood is boiling even hotter than usual.\Yeah,'cause I can't stop here!\DOES NOT COMPUTE\I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle!\FORFEIT\What are you up to?\If I continue fighting, the data I've gathered so far would be damaged. response:	Say what?
context: Yeah,'cause I can't stop here!\DOES NOT COMPUTE\I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle!\FORFEIT\What are you up to?\If I continue fighting, the data I've gathered so far would be damaged.\Say what? response:	What I want is data.
context: DOES NOT COMPUTE\I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle!\FORFEIT\What are you up to?\If I continue fighting, the data I've gathered so far would be damaged.\Say what?\What I want is data. response:	Not victory.
context: I'm at at the limits of my processing capacity?\Houka Inumuta hereby forfeits this battle!\FORFEIT\What are you up to?\If I continue fighting, the data I've gathered so far would be damaged.\Say what?\What I want is data.\Not victory. response:	That data-lover is grandstanding again...
context: Houka Inumuta hereby forfeits this battle!\FORFEIT\What are you up to?\If I continue fighting, the data I've gathered so far would be damaged.\Say what?\What I want is data.\Not victory.\That data-lover is grandstanding again... response:	Still, Lady Satsuki is allowing it.
context: FORFEIT\What are you up to?\If I continue fighting, the data I've gathered so far would be damaged.\Say what?\What I want is data.\Not victory.\That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it. response:	Jakuzure. Prepare for battle.
context: What are you up to?\If I continue fighting, the data I've gathered so far would be damaged.\Say what?\What I want is data.\Not victory.\That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle. response:	What's the matter?
context: If I continue fighting, the data I've gathered so far would be damaged.\Say what?\What I want is data.\Not victory.\That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle.\What's the matter? response:	What are you so flustered about?
context: Say what?\What I want is data.\Not victory.\That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle.\What's the matter?\What are you so flustered about? response:	I thought you two went back further than any of the rest of us.
context: What I want is data.\Not victory.\That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle.\What's the matter?\What are you so flustered about?\I thought you two went back further than any of the rest of us. response:	Oh, shut up!
context: Not victory.\That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle.\What's the matter?\What are you so flustered about?\I thought you two went back further than any of the rest of us.\Oh, shut up! response:	Hey! I'm the one who's going to fight next!
context: That data-lover is grandstanding again...\Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle.\What's the matter?\What are you so flustered about?\I thought you two went back further than any of the rest of us.\Oh, shut up!\Hey! I'm the one who's going to fight next! response:	I know that.
context: Still, Lady Satsuki is allowing it.\Jakuzure. Prepare for battle.\What's the matter?\What are you so flustered about?\I thought you two went back further than any of the rest of us.\Oh, shut up!\Hey! I'm the one who's going to fight next!\I know that. response:	But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.
context: Jakuzure. Prepare for battle.\What's the matter?\What are you so flustered about?\I thought you two went back further than any of the rest of us.\Oh, shut up!\Hey! I'm the one who's going to fight next!\I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII. response:	What are you saying?!
context: What's the matter?\What are you so flustered about?\I thought you two went back further than any of the rest of us.\Oh, shut up!\Hey! I'm the one who's going to fight next!\I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?! response:	You're assuming that I'm gonna lose?! Nobody mocks me!
context: What are you so flustered about?\I thought you two went back further than any of the rest of us.\Oh, shut up!\Hey! I'm the one who's going to fight next!\I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me! response:	She's cleared the second one, too...
context: I thought you two went back further than any of the rest of us.\Oh, shut up!\Hey! I'm the one who's going to fight next!\I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too... response:	That's way better than I expected, but still...
context: Oh, shut up!\Hey! I'm the one who's going to fight next!\I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too...\That's way better than I expected, but still... response:	10 MINUTES/ S1
context: Hey! I'm the one who's going to fight next!\I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too...\That's way better than I expected, but still...\10 MINUTES/ S1 response:	A dollar per 10 minutes?!
context: I know that.\But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too...\That's way better than I expected, but still...\10 MINUTES/ S1\A dollar per 10 minutes?! response:	Where do you get off, mac?!
context: But I have to go break in my Three-Star Goku Uniform: Blade Regalia MKII.\What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too...\That's way better than I expected, but still...\10 MINUTES/ S1\A dollar per 10 minutes?!\Where do you get off, mac?! response:	The electricity to run those TV's ain't free, you know!
context: What are you saying?!\You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too...\That's way better than I expected, but still...\10 MINUTES/ S1\A dollar per 10 minutes?!\Where do you get off, mac?!\The electricity to run those TV's ain't free, you know! response:	You're gonna pay for it!
context: You're assuming that I'm gonna lose?! Nobody mocks me!\She's cleared the second one, too...\That's way better than I expected, but still...\10 MINUTES/ S1\A dollar per 10 minutes?!\Where do you get off, mac?!\The electricity to run those TV's ain't free, you know!\You're gonna pay for it! response:	- You greedy old fart! - What the hell, man?!
context: She's cleared the second one, too...\That's way better than I expected, but still...\10 MINUTES/ S1\A dollar per 10 minutes?!\Where do you get off, mac?!\The electricity to run those TV's ain't free, you know!\You're gonna pay for it!\- You greedy old fart! - What the hell, man?! response:	Yes, yes!
context: That's way better than I expected, but still...\10 MINUTES/ S1\A dollar per 10 minutes?!\Where do you get off, mac?!\The electricity to run those TV's ain't free, you know!\You're gonna pay for it!\- You greedy old fart! - What the hell, man?!\Yes, yes! response:	You don't like it, go somewhere else.
context: 10 MINUTES/ S1\A dollar per 10 minutes?!\Where do you get off, mac?!\The electricity to run those TV's ain't free, you know!\You're gonna pay for it!\- You greedy old fart! - What the hell, man?!\Yes, yes!\You don't like it, go somewhere else. response:	Don't mess with us, you senile old fart!
context: A dollar per 10 minutes?!\Where do you get off, mac?!\The electricity to run those TV's ain't free, you know!\You're gonna pay for it!\- You greedy old fart! - What the hell, man?!\Yes, yes!\You don't like it, go somewhere else.\Don't mess with us, you senile old fart! response:	Son! Come here, boy!
context: Where do you get off, mac?!\The electricity to run those TV's ain't free, you know!\You're gonna pay for it!\- You greedy old fart! - What the hell, man?!\Yes, yes!\You don't like it, go somewhere else.\Don't mess with us, you senile old fart!\Son! Come here, boy! response:	We'll pay, we'll pay!
context: The electricity to run those TV's ain't free, you know!\You're gonna pay for it!\- You greedy old fart! - What the hell, man?!\Yes, yes!\You don't like it, go somewhere else.\Don't mess with us, you senile old fart!\Son! Come here, boy!\We'll pay, we'll pay! response:	10 MINUTES/ S1
context: You're gonna pay for it!\- You greedy old fart! - What the hell, man?!\Yes, yes!\You don't like it, go somewhere else.\Don't mess with us, you senile old fart!\Son! Come here, boy!\We'll pay, we'll pay!\10 MINUTES/ S1 response:	You're here, too, Inumuta?!
context: - You greedy old fart! - What the hell, man?!\Yes, yes!\You don't like it, go somewhere else.\Don't mess with us, you senile old fart!\Son! Come here, boy!\We'll pay, we'll pay!\10 MINUTES/ S1\You're here, too, Inumuta?! response:	I'm just like you.
context: Yes, yes!\You don't like it, go somewhere else.\Don't mess with us, you senile old fart!\Son! Come here, boy!\We'll pay, we'll pay!\10 MINUTES/ S1\You're here, too, Inumuta?!\I'm just like you. response:	I'm going to observe the fight from here.
context: You don't like it, go somewhere else.\Don't mess with us, you senile old fart!\Son! Come here, boy!\We'll pay, we'll pay!\10 MINUTES/ S1\You're here, too, Inumuta?!\I'm just like you.\I'm going to observe the fight from here. response:	I won't broach the topic of you forfeiting.
context: Don't mess with us, you senile old fart!\Son! Come here, boy!\We'll pay, we'll pay!\10 MINUTES/ S1\You're here, too, Inumuta?!\I'm just like you.\I'm going to observe the fight from here.\I won't broach the topic of you forfeiting. response:	The way each man fights is his own path to choose.
context: Son! Come here, boy!\We'll pay, we'll pay!\10 MINUTES/ S1\You're here, too, Inumuta?!\I'm just like you.\I'm going to observe the fight from here.\I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose. response:	But Inumuta, why are you wearing a tracksuit?!
context: We'll pay, we'll pay!\10 MINUTES/ S1\You're here, too, Inumuta?!\I'm just like you.\I'm going to observe the fight from here.\I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?! response:	Have you no shame?!
context: 10 MINUTES/ S1\You're here, too, Inumuta?!\I'm just like you.\I'm going to observe the fight from here.\I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?!\Have you no shame?! response:	The loser is stripped of his Goku Uniform.
context: You're here, too, Inumuta?!\I'm just like you.\I'm going to observe the fight from here.\I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?!\Have you no shame?!\The loser is stripped of his Goku Uniform. response:	Still, I don't recall there being a rule about having to go naked.
context: I'm just like you.\I'm going to observe the fight from here.\I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?!\Have you no shame?!\The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked. response:	Surely it's more important to know the rules
context: I'm going to observe the fight from here.\I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?!\Have you no shame?!\The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules response:	than it is to know shame, Mr. Disciplinary Committee Chair.
context: I won't broach the topic of you forfeiting.\The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?!\Have you no shame?!\The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair. response:	Oh, my apologies! Former Disciplinary Chair!
context: The way each man fights is his own path to choose.\But Inumuta, why are you wearing a tracksuit?!\Have you no shame?!\The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair! response:	Thank you for your kind advice,
context: But Inumuta, why are you wearing a tracksuit?!\Have you no shame?!\The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair!\Thank you for your kind advice, response:	Former Information and Strategy Committee Chair.
context: Have you no shame?!\The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair!\Thank you for your kind advice,\Former Information and Strategy Committee Chair. response:	What's with all this tension?
context: The loser is stripped of his Goku Uniform.\Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair!\Thank you for your kind advice,\Former Information and Strategy Committee Chair.\What's with all this tension? response:	The spectator seats have turned into a battleground, too!
context: Still, I don't recall there being a rule about having to go naked.\Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair!\Thank you for your kind advice,\Former Information and Strategy Committee Chair.\What's with all this tension?\The spectator seats have turned into a battleground, too! response:	Fine, I'm not gonna lose, either! Go for it, Mako!
context: Surely it's more important to know the rules\than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair!\Thank you for your kind advice,\Former Information and Strategy Committee Chair.\What's with all this tension?\The spectator seats have turned into a battleground, too!\Fine, I'm not gonna lose, either! Go for it, Mako! response:	Stand strong, Mako Mankanshoku! Hooray! Hooray!
context: than it is to know shame, Mr. Disciplinary Committee Chair.\Oh, my apologies! Former Disciplinary Chair!\Thank you for your kind advice,\Former Information and Strategy Committee Chair.\What's with all this tension?\The spectator seats have turned into a battleground, too!\Fine, I'm not gonna lose, either! Go for it, Mako!\Stand strong, Mako Mankanshoku! Hooray! Hooray! response:	Your friend has finally started cheering for herself.
