context: When we were kids, there was a time that Manaka and I got lost. response:	We had gone to the outskirts of the village,
context: Then he'll send it to an academic journal,\and the official presentation comes after that.\I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu.\There is a reason for that, right?\If the thesis isn't acknowledged, response:	we won't receive funding anymore.
context: and the official presentation comes after that.\I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu.\There is a reason for that, right?\If the thesis isn't acknowledged,\we won't receive funding anymore. response:	All his research to avert disaster
context: I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu.\There is a reason for that, right?\If the thesis isn't acknowledged,\we won't receive funding anymore.\All his research to avert disaster response:	from occurring on the surface by establishing the link
context: Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu.\There is a reason for that, right?\If the thesis isn't acknowledged,\we won't receive funding anymore.\All his research to avert disaster\from occurring on the surface by establishing the link response:	between the abnormal weather and the sea village will cease.
context: to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu.\There is a reason for that, right?\If the thesis isn't acknowledged,\we won't receive funding anymore.\All his research to avert disaster\from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease. response:	And then the media will also get involved and
context: Hey, Tsumugu.\There is a reason for that, right?\If the thesis isn't acknowledged,\we won't receive funding anymore.\All his research to avert disaster\from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease.\And then the media will also get involved and response:	Miuna will go through a lot of trouble.
context: There is a reason for that, right?\If the thesis isn't acknowledged,\we won't receive funding anymore.\All his research to avert disaster\from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease.\And then the media will also get involved and\Miuna will go through a lot of trouble. response:	Jeez...
context: If the thesis isn't acknowledged,\we won't receive funding anymore.\All his research to avert disaster\from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease.\And then the media will also get involved and\Miuna will go through a lot of trouble.\Jeez... response:	Tsumugu, you never explain enough.
context: we won't receive funding anymore.\All his research to avert disaster\from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease.\And then the media will also get involved and\Miuna will go through a lot of trouble.\Jeez...\Tsumugu, you never explain enough. response:	Hey, Kaname.
context: All his research to avert disaster\from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease.\And then the media will also get involved and\Miuna will go through a lot of trouble.\Jeez...\Tsumugu, you never explain enough.\Hey, Kaname. response:	Will you give him a chance?
context: from occurring on the surface by establishing the link\between the abnormal weather and the sea village will cease.\And then the media will also get involved and\Miuna will go through a lot of trouble.\Jeez...\Tsumugu, you never explain enough.\Hey, Kaname.\Will you give him a chance? response:	There is a lot going on...
context: between the abnormal weather and the sea village will cease.\And then the media will also get involved and\Miuna will go through a lot of trouble.\Jeez...\Tsumugu, you never explain enough.\Hey, Kaname.\Will you give him a chance?\There is a lot going on... response:	You're such an adult, Chisaki.
context: And then the media will also get involved and\Miuna will go through a lot of trouble.\Jeez...\Tsumugu, you never explain enough.\Hey, Kaname.\Will you give him a chance?\There is a lot going on...\You're such an adult, Chisaki. response:	Thanks for the food.
context: Miuna will go through a lot of trouble.\Jeez...\Tsumugu, you never explain enough.\Hey, Kaname.\Will you give him a chance?\There is a lot going on...\You're such an adult, Chisaki.\Thanks for the food. response:	Kaname, wai
context: Jeez...\Tsumugu, you never explain enough.\Hey, Kaname.\Will you give him a chance?\There is a lot going on...\You're such an adult, Chisaki.\Thanks for the food.\Kaname, wai response:	Damn it.
context: Tsumugu, you never explain enough.\Hey, Kaname.\Will you give him a chance?\There is a lot going on...\You're such an adult, Chisaki.\Thanks for the food.\Kaname, wai\Damn it. response:	An adult, huh...
context: Hey, Kaname.\Will you give him a chance?\There is a lot going on...\You're such an adult, Chisaki.\Thanks for the food.\Kaname, wai\Damn it.\An adult, huh... response:	Wow!
context: Will you give him a chance?\There is a lot going on...\You're such an adult, Chisaki.\Thanks for the food.\Kaname, wai\Damn it.\An adult, huh...\Wow! response:	How nostalgic!
context: There is a lot going on...\You're such an adult, Chisaki.\Thanks for the food.\Kaname, wai\Damn it.\An adult, huh...\Wow!\How nostalgic! response:	Huh?
context: You're such an adult, Chisaki.\Thanks for the food.\Kaname, wai\Damn it.\An adult, huh...\Wow!\How nostalgic!\Huh? response:	Huh? You're kidding...
context: Thanks for the food.\Kaname, wai\Damn it.\An adult, huh...\Wow!\How nostalgic!\Huh?\Huh? You're kidding... response:	Take that!
context: Kaname, wai\Damn it.\An adult, huh...\Wow!\How nostalgic!\Huh?\Huh? You're kidding...\Take that! response:	Oh, no... It's...
context: Damn it.\An adult, huh...\Wow!\How nostalgic!\Huh?\Huh? You're kidding...\Take that!\Oh, no... It's... response:	Chisaki, the bath is getting cold.
context: An adult, huh...\Wow!\How nostalgic!\Huh?\Huh? You're kidding...\Take that!\Oh, no... It's...\Chisaki, the bath is getting cold. response:	R-Right. I'll be right there!
context: Wow!\How nostalgic!\Huh?\Huh? You're kidding...\Take that!\Oh, no... It's...\Chisaki, the bath is getting cold.\R-Right. I'll be right there! response:	Whoa!
context: How nostalgic!\Huh?\Huh? You're kidding...\Take that!\Oh, no... It's...\Chisaki, the bath is getting cold.\R-Right. I'll be right there!\Whoa! response:	What's wrong?
context: Huh?\Huh? You're kidding...\Take that!\Oh, no... It's...\Chisaki, the bath is getting cold.\R-Right. I'll be right there!\Whoa!\What's wrong? response:	Chisaki, I'm opening the door!
context: Huh? You're kidding...\Take that!\Oh, no... It's...\Chisaki, the bath is getting cold.\R-Right. I'll be right there!\Whoa!\What's wrong?\Chisaki, I'm opening the door! response:	H-Hey, wait!
context: Take that!\Oh, no... It's...\Chisaki, the bath is getting cold.\R-Right. I'll be right there!\Whoa!\What's wrong?\Chisaki, I'm opening the door!\H-Hey, wait! response:	H-How long are you going to stare, you idiots!
context: Oh, no... It's...\Chisaki, the bath is getting cold.\R-Right. I'll be right there!\Whoa!\What's wrong?\Chisaki, I'm opening the door!\H-Hey, wait!\H-How long are you going to stare, you idiots! response:	S-Sorry!
context: Chisaki, the bath is getting cold.\R-Right. I'll be right there!\Whoa!\What's wrong?\Chisaki, I'm opening the door!\H-Hey, wait!\H-How long are you going to stare, you idiots!\S-Sorry! response:	Sorry.
context: R-Right. I'll be right there!\Whoa!\What's wrong?\Chisaki, I'm opening the door!\H-Hey, wait!\H-How long are you going to stare, you idiots!\S-Sorry!\Sorry. response:	Jeez...
context: Whoa!\What's wrong?\Chisaki, I'm opening the door!\H-Hey, wait!\H-How long are you going to stare, you idiots!\S-Sorry!\Sorry.\Jeez... response:	Are you hungry?
context: What's wrong?\Chisaki, I'm opening the door!\H-Hey, wait!\H-How long are you going to stare, you idiots!\S-Sorry!\Sorry.\Jeez...\Are you hungry? response:	Oh, it's just you, Tsumugu.
context: Chisaki, I'm opening the door!\H-Hey, wait!\H-How long are you going to stare, you idiots!\S-Sorry!\Sorry.\Jeez...\Are you hungry?\Oh, it's just you, Tsumugu. response:	Jeez, don't scare me like that.
context: H-Hey, wait!\H-How long are you going to stare, you idiots!\S-Sorry!\Sorry.\Jeez...\Are you hungry?\Oh, it's just you, Tsumugu.\Jeez, don't scare me like that. response:	Pickled Shallots
context: H-How long are you going to stare, you idiots!\S-Sorry!\Sorry.\Jeez...\Are you hungry?\Oh, it's just you, Tsumugu.\Jeez, don't scare me like that.\Pickled Shallots response:	Chile Oil
context: S-Sorry!\Sorry.\Jeez...\Are you hungry?\Oh, it's just you, Tsumugu.\Jeez, don't scare me like that.\Pickled Shallots\Chile Oil response:	Marinated in Soy
context: Sorry.\Jeez...\Are you hungry?\Oh, it's just you, Tsumugu.\Jeez, don't scare me like that.\Pickled Shallots\Chile Oil\Marinated in Soy response:	Oh...
context: Jeez...\Are you hungry?\Oh, it's just you, Tsumugu.\Jeez, don't scare me like that.\Pickled Shallots\Chile Oil\Marinated in Soy\Oh... response:	Um, I was just looking for Grandpa's plum wine.
context: Are you hungry?\Oh, it's just you, Tsumugu.\Jeez, don't scare me like that.\Pickled Shallots\Chile Oil\Marinated in Soy\Oh...\Um, I was just looking for Grandpa's plum wine. response:	You're still a minor.
context: Oh, it's just you, Tsumugu.\Jeez, don't scare me like that.\Pickled Shallots\Chile Oil\Marinated in Soy\Oh...\Um, I was just looking for Grandpa's plum wine.\You're still a minor. response:	It's fine!
context: Jeez, don't scare me like that.\Pickled Shallots\Chile Oil\Marinated in Soy\Oh...\Um, I was just looking for Grandpa's plum wine.\You're still a minor.\It's fine! response:	I'm in the mood to drink some.
context: Pickled Shallots\Chile Oil\Marinated in Soy\Oh...\Um, I was just looking for Grandpa's plum wine.\You're still a minor.\It's fine!\I'm in the mood to drink some. response:	Since I'm an adult and some lonely housewife!
context: Chile Oil\Marinated in Soy\Oh...\Um, I was just looking for Grandpa's plum wine.\You're still a minor.\It's fine!\I'm in the mood to drink some.\Since I'm an adult and some lonely housewife! response:	Just wait a sec.
context: Marinated in Soy\Oh...\Um, I was just looking for Grandpa's plum wine.\You're still a minor.\It's fine!\I'm in the mood to drink some.\Since I'm an adult and some lonely housewife!\Just wait a sec. response:	I'll prepare it for you.
context: Oh...\Um, I was just looking for Grandpa's plum wine.\You're still a minor.\It's fine!\I'm in the mood to drink some.\Since I'm an adult and some lonely housewife!\Just wait a sec.\I'll prepare it for you. response:	Plum Wine
context: Um, I was just looking for Grandpa's plum wine.\You're still a minor.\It's fine!\I'm in the mood to drink some.\Since I'm an adult and some lonely housewife!\Just wait a sec.\I'll prepare it for you.\Plum Wine response:	That's not how you're supposed to drink it.
context: You're still a minor.\It's fine!\I'm in the mood to drink some.\Since I'm an adult and some lonely housewife!\Just wait a sec.\I'll prepare it for you.\Plum Wine\That's not how you're supposed to drink it. response:	Hmph!
context: It's fine!\I'm in the mood to drink some.\Since I'm an adult and some lonely housewife!\Just wait a sec.\I'll prepare it for you.\Plum Wine\That's not how you're supposed to drink it.\Hmph! response:	I was told that alcohol tastes better when you're an adult,
context: I'm in the mood to drink some.\Since I'm an adult and some lonely housewife!\Just wait a sec.\I'll prepare it for you.\Plum Wine\That's not how you're supposed to drink it.\Hmph!\I was told that alcohol tastes better when you're an adult, response:	Plum Juice Without Shochu
context: Since I'm an adult and some lonely housewife!\Just wait a sec.\I'll prepare it for you.\Plum Wine\That's not how you're supposed to drink it.\Hmph!\I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu response:	but apparently that's true.
context: Just wait a sec.\I'll prepare it for you.\Plum Wine\That's not how you're supposed to drink it.\Hmph!\I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu\but apparently that's true. response:	You're saying that after just drinking this...
context: I'll prepare it for you.\Plum Wine\That's not how you're supposed to drink it.\Hmph!\I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu\but apparently that's true.\You're saying that after just drinking this... response:	Even if it's just plum wine, alcohol is alcohol!
context: Plum Wine\That's not how you're supposed to drink it.\Hmph!\I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu\but apparently that's true.\You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol! response:	Yeah... plum wine is.
context: That's not how you're supposed to drink it.\Hmph!\I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu\but apparently that's true.\You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is. response:	Quit trying to act like an adult.
context: Hmph!\I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu\but apparently that's true.\You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is.\Quit trying to act like an adult. response:	Give me more!
context: I was told that alcohol tastes better when you're an adult,\Plum Juice Without Shochu\but apparently that's true.\You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is.\Quit trying to act like an adult.\Give me more! response:	I feel great.
context: Plum Juice Without Shochu\but apparently that's true.\You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is.\Quit trying to act like an adult.\Give me more!\I feel great. response:	I want to see what Shioshishio looks like now.
context: but apparently that's true.\You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is.\Quit trying to act like an adult.\Give me more!\I feel great.\I want to see what Shioshishio looks like now. response:	Maybe I'll go.
context: You're saying that after just drinking this...\Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is.\Quit trying to act like an adult.\Give me more!\I feel great.\I want to see what Shioshishio looks like now.\Maybe I'll go. response:	Today,
context: Even if it's just plum wine, alcohol is alcohol!\Yeah... plum wine is.\Quit trying to act like an adult.\Give me more!\I feel great.\I want to see what Shioshishio looks like now.\Maybe I'll go.\Today, response:	Hikari was talking to Manaka while she slept.
context: Yeah... plum wine is.\Quit trying to act like an adult.\Give me more!\I feel great.\I want to see what Shioshishio looks like now.\Maybe I'll go.\Today,\Hikari was talking to Manaka while she slept. response:	That wasn't much of a shock, but...
context: Quit trying to act like an adult.\Give me more!\I feel great.\I want to see what Shioshishio looks like now.\Maybe I'll go.\Today,\Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but... response:	I don't think I'll be able to have eyes like that ever again.
context: Give me more!\I feel great.\I want to see what Shioshishio looks like now.\Maybe I'll go.\Today,\Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again. response:	My body got all big on its own...
context: I feel great.\I want to see what Shioshishio looks like now.\Maybe I'll go.\Today,\Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again.\My body got all big on its own... response:	and yet things are spilling out.
context: I want to see what Shioshishio looks like now.\Maybe I'll go.\Today,\Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again.\My body got all big on its own...\and yet things are spilling out. response:	Does becoming an adult mean you lose a lot of things?
context: Maybe I'll go.\Today,\Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again.\My body got all big on its own...\and yet things are spilling out.\Does becoming an adult mean you lose a lot of things? response:	You probably do lose a lot.
context: Today,\Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again.\My body got all big on its own...\and yet things are spilling out.\Does becoming an adult mean you lose a lot of things?\You probably do lose a lot. response:	But that just means you need fulfill what you lost with new things.
context: Hikari was talking to Manaka while she slept.\That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again.\My body got all big on its own...\and yet things are spilling out.\Does becoming an adult mean you lose a lot of things?\You probably do lose a lot.\But that just means you need fulfill what you lost with new things. response:	Our time together these five years has been like that for me...
context: That wasn't much of a shock, but...\I don't think I'll be able to have eyes like that ever again.\My body got all big on its own...\and yet things are spilling out.\Does becoming an adult mean you lose a lot of things?\You probably do lose a lot.\But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me... response:	You don't plan on doing anything more than that, do you?
context: I don't think I'll be able to have eyes like that ever again.\My body got all big on its own...\and yet things are spilling out.\Does becoming an adult mean you lose a lot of things?\You probably do lose a lot.\But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you? response:	Yeah.
context: My body got all big on its own...\and yet things are spilling out.\Does becoming an adult mean you lose a lot of things?\You probably do lose a lot.\But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you?\Yeah. response:	But we need to get her to bed.
context: and yet things are spilling out.\Does becoming an adult mean you lose a lot of things?\You probably do lose a lot.\But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you?\Yeah.\But we need to get her to bed. response:	Give me a hand.
context: Does becoming an adult mean you lose a lot of things?\You probably do lose a lot.\But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you?\Yeah.\But we need to get her to bed.\Give me a hand. response:	R-Right.
context: You probably do lose a lot.\But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you?\Yeah.\But we need to get her to bed.\Give me a hand.\R-Right. response:	I never did tell you, did I?
context: But that just means you need fulfill what you lost with new things.\Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you?\Yeah.\But we need to get her to bed.\Give me a hand.\R-Right.\I never did tell you, did I? response:	Tell me what?
context: Our time together these five years has been like that for me...\You don't plan on doing anything more than that, do you?\Yeah.\But we need to get her to bed.\Give me a hand.\R-Right.\I never did tell you, did I?\Tell me what? response:	My gratitude for saving me at the Ofunehiki.
context: You don't plan on doing anything more than that, do you?\Yeah.\But we need to get her to bed.\Give me a hand.\R-Right.\I never did tell you, did I?\Tell me what?\My gratitude for saving me at the Ofunehiki. response:	Thank you.
context: Yeah.\But we need to get her to bed.\Give me a hand.\R-Right.\I never did tell you, did I?\Tell me what?\My gratitude for saving me at the Ofunehiki.\Thank you. response:	It's not something to thank me for.
context: But we need to get her to bed.\Give me a hand.\R-Right.\I never did tell you, did I?\Tell me what?\My gratitude for saving me at the Ofunehiki.\Thank you.\It's not something to thank me for. response:	Just so you know, I'm not being modest.
context: Give me a hand.\R-Right.\I never did tell you, did I?\Tell me what?\My gratitude for saving me at the Ofunehiki.\Thank you.\It's not something to thank me for.\Just so you know, I'm not being modest. response:	At the time, it really crossed my mind...
context: R-Right.\I never did tell you, did I?\Tell me what?\My gratitude for saving me at the Ofunehiki.\Thank you.\It's not something to thank me for.\Just so you know, I'm not being modest.\At the time, it really crossed my mind... response:	If I just overlook it, you'll disappear.
context: I never did tell you, did I?\Tell me what?\My gratitude for saving me at the Ofunehiki.\Thank you.\It's not something to thank me for.\Just so you know, I'm not being modest.\At the time, it really crossed my mind...\If I just overlook it, you'll disappear. response:	And then I'll be able to be with Chisaki.
context: Tell me what?\My gratitude for saving me at the Ofunehiki.\Thank you.\It's not something to thank me for.\Just so you know, I'm not being modest.\At the time, it really crossed my mind...\If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki. response:	Don't save him.
context: My gratitude for saving me at the Ofunehiki.\Thank you.\It's not something to thank me for.\Just so you know, I'm not being modest.\At the time, it really crossed my mind...\If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki.\Don't save him. response:	Just abandon him.
context: Thank you.\It's not something to thank me for.\Just so you know, I'm not being modest.\At the time, it really crossed my mind...\If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki.\Don't save him.\Just abandon him. response:	But you dove in.
context: It's not something to thank me for.\Just so you know, I'm not being modest.\At the time, it really crossed my mind...\If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki.\Don't save him.\Just abandon him.\But you dove in. response:	Also,
context: Just so you know, I'm not being modest.\At the time, it really crossed my mind...\If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki.\Don't save him.\Just abandon him.\But you dove in.\Also, response:	if you were able to just overlook something like that,
context: At the time, it really crossed my mind...\If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki.\Don't save him.\Just abandon him.\But you dove in.\Also,\if you were able to just overlook something like that, response:	I'd never let you have Chisaki.
context: If I just overlook it, you'll disappear.\And then I'll be able to be with Chisaki.\Don't save him.\Just abandon him.\But you dove in.\Also,\if you were able to just overlook something like that,\I'd never let you have Chisaki. response:	So the truth comes out.
context: And then I'll be able to be with Chisaki.\Don't save him.\Just abandon him.\But you dove in.\Also,\if you were able to just overlook something like that,\I'd never let you have Chisaki.\So the truth comes out. response:	Yeah.
context: Don't save him.\Just abandon him.\But you dove in.\Also,\if you were able to just overlook something like that,\I'd never let you have Chisaki.\So the truth comes out.\Yeah. response:	But...
context: Just abandon him.\But you dove in.\Also,\if you were able to just overlook something like that,\I'd never let you have Chisaki.\So the truth comes out.\Yeah.\But... response:	I really am grateful that you guys came back.
context: But you dove in.\Also,\if you were able to just overlook something like that,\I'd never let you have Chisaki.\So the truth comes out.\Yeah.\But...\I really am grateful that you guys came back. response:	Things were suspended this whole time.
context: Also,\if you were able to just overlook something like that,\I'd never let you have Chisaki.\So the truth comes out.\Yeah.\But...\I really am grateful that you guys came back.\Things were suspended this whole time. response:	Now both Chisaki and I
context: if you were able to just overlook something like that,\I'd never let you have Chisaki.\So the truth comes out.\Yeah.\But...\I really am grateful that you guys came back.\Things were suspended this whole time.\Now both Chisaki and I response:	can move forward.
context: I'd never let you have Chisaki.\So the truth comes out.\Yeah.\But...\I really am grateful that you guys came back.\Things were suspended this whole time.\Now both Chisaki and I\can move forward. response:	I drank quite a bit, but I didn't get a hangover at all.
context: So the truth comes out.\Yeah.\But...\I really am grateful that you guys came back.\Things were suspended this whole time.\Now both Chisaki and I\can move forward.\I drank quite a bit, but I didn't get a hangover at all. response:	Maybe I'm pretty strong.
context: Yeah.\But...\I really am grateful that you guys came back.\Things were suspended this whole time.\Now both Chisaki and I\can move forward.\I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong. response:	From this point, I dive down seven meters...
context: But...\I really am grateful that you guys came back.\Things were suspended this whole time.\Now both Chisaki and I\can move forward.\I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong.\From this point, I dive down seven meters... response:	How to get to Shioshishio
context: I really am grateful that you guys came back.\Things were suspended this whole time.\Now both Chisaki and I\can move forward.\I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong.\From this point, I dive down seven meters...\How to get to Shioshishio response:	I have to face it one day...
context: Things were suspended this whole time.\Now both Chisaki and I\can move forward.\I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong.\From this point, I dive down seven meters...\How to get to Shioshishio\I have to face it one day... response:	Then...
context: Now both Chisaki and I\can move forward.\I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong.\From this point, I dive down seven meters...\How to get to Shioshishio\I have to face it one day...\Then... response:	I'm being swept away a little...
context: can move forward.\I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong.\From this point, I dive down seven meters...\How to get to Shioshishio\I have to face it one day...\Then...\I'm being swept away a little... response:	Um...
context: I drank quite a bit, but I didn't get a hangover at all.\Maybe I'm pretty strong.\From this point, I dive down seven meters...\How to get to Shioshishio\I have to face it one day...\Then...\I'm being swept away a little...\Um... response:	Huh? You're kidding...
context: Maybe I'm pretty strong.\From this point, I dive down seven meters...\How to get to Shioshishio\I have to face it one day...\Then...\I'm being swept away a little...\Um...\Huh? You're kidding... response:	Chisaki!
context: From this point, I dive down seven meters...\How to get to Shioshishio\I have to face it one day...\Then...\I'm being swept away a little...\Um...\Huh? You're kidding...\Chisaki! response:	Hikari?!
context: How to get to Shioshishio\I have to face it one day...\Then...\I'm being swept away a little...\Um...\Huh? You're kidding...\Chisaki!\Hikari?! response:	Are you okay?
context: I have to face it one day...\Then...\I'm being swept away a little...\Um...\Huh? You're kidding...\Chisaki!\Hikari?!\Are you okay? response:	Yeah, thanks.
context: Then...\I'm being swept away a little...\Um...\Huh? You're kidding...\Chisaki!\Hikari?!\Are you okay?\Yeah, thanks. response:	You're always so careful,
context: I'm being swept away a little...\Um...\Huh? You're kidding...\Chisaki!\Hikari?!\Are you okay?\Yeah, thanks.\You're always so careful, response:	but at times, you end up being really reckless.
context: Um...\Huh? You're kidding...\Chisaki!\Hikari?!\Are you okay?\Yeah, thanks.\You're always so careful,\but at times, you end up being really reckless. response:	Eh? You think so?
context: Huh? You're kidding...\Chisaki!\Hikari?!\Are you okay?\Yeah, thanks.\You're always so careful,\but at times, you end up being really reckless.\Eh? You think so? response:	Anyway, what are you doing here?
context: Chisaki!\Hikari?!\Are you okay?\Yeah, thanks.\You're always so careful,\but at times, you end up being really reckless.\Eh? You think so?\Anyway, what are you doing here? response:	What do you mean?
context: Hikari?!\Are you okay?\Yeah, thanks.\You're always so careful,\but at times, you end up being really reckless.\Eh? You think so?\Anyway, what are you doing here?\What do you mean? response:	If we're able to get in now, of course I'd come to see...
context: Are you okay?\Yeah, thanks.\You're always so careful,\but at times, you end up being really reckless.\Eh? You think so?\Anyway, what are you doing here?\What do you mean?\If we're able to get in now, of course I'd come to see... response:	Well, I guess you have a point.
context: Yeah, thanks.\You're always so careful,\but at times, you end up being really reckless.\Eh? You think so?\Anyway, what are you doing here?\What do you mean?\If we're able to get in now, of course I'd come to see...\Well, I guess you have a point. response:	When he held me back there, it surprised me.
context: You're always so careful,\but at times, you end up being really reckless.\Eh? You think so?\Anyway, what are you doing here?\What do you mean?\If we're able to get in now, of course I'd come to see...\Well, I guess you have a point.\When he held me back there, it surprised me. response:	He didn't feel rugged at all,
context: but at times, you end up being really reckless.\Eh? You think so?\Anyway, what are you doing here?\What do you mean?\If we're able to get in now, of course I'd come to see...\Well, I guess you have a point.\When he held me back there, it surprised me.\He didn't feel rugged at all, response:	unlike the men I have to touch during self-study...
context: Eh? You think so?\Anyway, what are you doing here?\What do you mean?\If we're able to get in now, of course I'd come to see...\Well, I guess you have a point.\When he held me back there, it surprised me.\He didn't feel rugged at all,\unlike the men I have to touch during self-study... response:	Of course...
context: Anyway, what are you doing here?\What do you mean?\If we're able to get in now, of course I'd come to see...\Well, I guess you have a point.\When he held me back there, it surprised me.\He didn't feel rugged at all,\unlike the men I have to touch during self-study...\Of course... response:	Because his smile, his body, and his heart are...
context: What do you mean?\If we're able to get in now, of course I'd come to see...\Well, I guess you have a point.\When he held me back there, it surprised me.\He didn't feel rugged at all,\unlike the men I have to touch during self-study...\Of course...\Because his smile, his body, and his heart are... response:	Exactly the same as you were five years ago... aren't you?
context: If we're able to get in now, of course I'd come to see...\Well, I guess you have a point.\When he held me back there, it surprised me.\He didn't feel rugged at all,\unlike the men I have to touch during self-study...\Of course...\Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you? response:	Huh?
context: Well, I guess you have a point.\When he held me back there, it surprised me.\He didn't feel rugged at all,\unlike the men I have to touch during self-study...\Of course...\Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you?\Huh? response:	Of course you are.
context: When he held me back there, it surprised me.\He didn't feel rugged at all,\unlike the men I have to touch during self-study...\Of course...\Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you?\Huh?\Of course you are. response:	For you, the Ofunehiki was really recent.
context: He didn't feel rugged at all,\unlike the men I have to touch during self-study...\Of course...\Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you?\Huh?\Of course you are.\For you, the Ofunehiki was really recent. response:	Well, yeah...
context: unlike the men I have to touch during self-study...\Of course...\Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you?\Huh?\Of course you are.\For you, the Ofunehiki was really recent.\Well, yeah... response:	But you haven't changed either.
context: Of course...\Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you?\Huh?\Of course you are.\For you, the Ofunehiki was really recent.\Well, yeah...\But you haven't changed either. response:	You're just the normal Chisaki.
context: Because his smile, his body, and his heart are...\Exactly the same as you were five years ago... aren't you?\Huh?\Of course you are.\For you, the Ofunehiki was really recent.\Well, yeah...\But you haven't changed either.\You're just the normal Chisaki. response:	You think so?
context: Exactly the same as you were five years ago... aren't you?\Huh?\Of course you are.\For you, the Ofunehiki was really recent.\Well, yeah...\But you haven't changed either.\You're just the normal Chisaki.\You think so? response:	I thought I had changed quite a bit...
context: Huh?\Of course you are.\For you, the Ofunehiki was really recent.\Well, yeah...\But you haven't changed either.\You're just the normal Chisaki.\You think so?\I thought I had changed quite a bit... response:	Nah, not at all.
context: Of course you are.\For you, the Ofunehiki was really recent.\Well, yeah...\But you haven't changed either.\You're just the normal Chisaki.\You think so?\I thought I had changed quite a bit...\Nah, not at all. response:	You still look like you're listening and yet not listening at all.
