context: Feelings (Continued) response:	A-Anti-bullying measures?!
context: so be sure to listen patiently to all of her feelings on the matter.\I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not.\Well...\Tell me about Hina. response:	About Hina?
context: I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not.\Well...\Tell me about Hina.\About Hina? response:	Hina, let's see.
context: SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not.\Well...\Tell me about Hina.\About Hina?\Hina, let's see. response:	Um...
context: But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not.\Well...\Tell me about Hina.\About Hina?\Hina, let's see.\Um... response:	She's really energetic, with a loud voice...
context: when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not.\Well...\Tell me about Hina.\About Hina?\Hina, let's see.\Um...\She's really energetic, with a loud voice... response:	Uh-huh. What else?
context: That all rides on whether she's the type of person who can say that or not.\Well...\Tell me about Hina.\About Hina?\Hina, let's see.\Um...\She's really energetic, with a loud voice...\Uh-huh. What else? response:	She laughs a lot, and gets angry or dejected easily.
context: Well...\Tell me about Hina.\About Hina?\Hina, let's see.\Um...\She's really energetic, with a loud voice...\Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily. response:	You could say she's relatively complex.
context: Tell me about Hina.\About Hina?\Hina, let's see.\Um...\She's really energetic, with a loud voice...\Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex. response:	And pretty vain...
context: About Hina?\Hina, let's see.\Um...\She's really energetic, with a loud voice...\Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex.\And pretty vain... response:	And for someone who's so cheerful, she doesn't have much confidence in herself.
context: Hina, let's see.\Um...\She's really energetic, with a loud voice...\Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex.\And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself. response:	But she's strong at heart. Very strong.
context: Um...\She's really energetic, with a loud voice...\Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex.\And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong. response:	Kiriyama's been watching her closely, huh?
context: She's really energetic, with a loud voice...\Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex.\And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh? response:	Huh?
context: Uh-huh. What else?\She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex.\And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh?\Huh? response:	Could this be...
context: She laughs a lot, and gets angry or dejected easily.\You could say she's relatively complex.\And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh?\Huh?\Could this be... response:	Could it possibly be...
context: You could say she's relatively complex.\And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh?\Huh?\Could this be...\Could it possibly be... response:	H-Huh. You don't say.
context: And pretty vain...\And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh?\Huh?\Could this be...\Could it possibly be...\H-Huh. You don't say. response:	So, um... Uh, what?
context: And for someone who's so cheerful, she doesn't have much confidence in herself.\But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh?\Huh?\Could this be...\Could it possibly be...\H-Huh. You don't say.\So, um... Uh, what? response:	I-Is she cute?
context: But she's strong at heart. Very strong.\Kiriyama's been watching her closely, huh?\Huh?\Could this be...\Could it possibly be...\H-Huh. You don't say.\So, um... Uh, what?\I-Is she cute? response:	Yes, she's cute.
context: Kiriyama's been watching her closely, huh?\Huh?\Could this be...\Could it possibly be...\H-Huh. You don't say.\So, um... Uh, what?\I-Is she cute?\Yes, she's cute. response:	Oh, I'm just asking for data purposes...
context: Huh?\Could this be...\Could it possibly be...\H-Huh. You don't say.\So, um... Uh, what?\I-Is she cute?\Yes, she's cute.\Oh, I'm just asking for data purposes... response:	Um, so, in what way is she cute?
context: Could this be...\Could it possibly be...\H-Huh. You don't say.\So, um... Uh, what?\I-Is she cute?\Yes, she's cute.\Oh, I'm just asking for data purposes...\Um, so, in what way is she cute? response:	Uh, she has big eyes, small, thin arms and legs, long, glossy hair...
context: Could it possibly be...\H-Huh. You don't say.\So, um... Uh, what?\I-Is she cute?\Yes, she's cute.\Oh, I'm just asking for data purposes...\Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair... response:	CREAK
context: H-Huh. You don't say.\So, um... Uh, what?\I-Is she cute?\Yes, she's cute.\Oh, I'm just asking for data purposes...\Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK response:	NERVOUS NERVOUS
context: So, um... Uh, what?\I-Is she cute?\Yes, she's cute.\Oh, I'm just asking for data purposes...\Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK\NERVOUS NERVOUS response:	And then there's this, to confirm, just in case...
context: I-Is she cute?\Yes, she's cute.\Oh, I'm just asking for data purposes...\Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK\NERVOUS NERVOUS\And then there's this, to confirm, just in case... response:	Kiriyama...
context: Yes, she's cute.\Oh, I'm just asking for data purposes...\Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK\NERVOUS NERVOUS\And then there's this, to confirm, just in case...\Kiriyama... response:	Um, about that girl... How can I put this?
context: Oh, I'm just asking for data purposes...\Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK\NERVOUS NERVOUS\And then there's this, to confirm, just in case...\Kiriyama...\Um, about that girl... How can I put this? response:	I-Is she important to you?
context: Um, so, in what way is she cute?\Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK\NERVOUS NERVOUS\And then there's this, to confirm, just in case...\Kiriyama...\Um, about that girl... How can I put this?\I-Is she important to you? response:	Yes. She's very important to me.
context: Uh, she has big eyes, small, thin arms and legs, long, glossy hair...\CREAK\NERVOUS NERVOUS\And then there's this, to confirm, just in case...\Kiriyama...\Um, about that girl... How can I put this?\I-Is she important to you?\Yes. She's very important to me. response:	BLUNT
context: CREAK\NERVOUS NERVOUS\And then there's this, to confirm, just in case...\Kiriyama...\Um, about that girl... How can I put this?\I-Is she important to you?\Yes. She's very important to me.\BLUNT response:	I intend to do anything I can for her.
context: NERVOUS NERVOUS\And then there's this, to confirm, just in case...\Kiriyama...\Um, about that girl... How can I put this?\I-Is she important to you?\Yes. She's very important to me.\BLUNT\I intend to do anything I can for her. response:	Diving into the atmosphere of adolescence!!
context: And then there's this, to confirm, just in case...\Kiriyama...\Um, about that girl... How can I put this?\I-Is she important to you?\Yes. She's very important to me.\BLUNT\I intend to do anything I can for her.\Diving into the atmosphere of adolescence!! response:	Kiriyama!
context: Kiriyama...\Um, about that girl... How can I put this?\I-Is she important to you?\Yes. She's very important to me.\BLUNT\I intend to do anything I can for her.\Diving into the atmosphere of adolescence!!\Kiriyama! response:	If she's in trouble, I want to do anything I can to help.
context: Um, about that girl... How can I put this?\I-Is she important to you?\Yes. She's very important to me.\BLUNT\I intend to do anything I can for her.\Diving into the atmosphere of adolescence!!\Kiriyama!\If she's in trouble, I want to do anything I can to help. response:	After all, she's my lifesaver.
context: I-Is she important to you?\Yes. She's very important to me.\BLUNT\I intend to do anything I can for her.\Diving into the atmosphere of adolescence!!\Kiriyama!\If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver. response:	I have an obligation to pay her back. That's my duty as a human being.
context: Yes. She's very important to me.\BLUNT\I intend to do anything I can for her.\Diving into the atmosphere of adolescence!!\Kiriyama!\If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being. response:	Um, Kiriyama?
context: BLUNT\I intend to do anything I can for her.\Diving into the atmosphere of adolescence!!\Kiriyama!\If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama? response:	Kind of has a bad feeling about this
context: I intend to do anything I can for her.\Diving into the atmosphere of adolescence!!\Kiriyama!\If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama?\Kind of has a bad feeling about this response:	Whoa!
context: Diving into the atmosphere of adolescence!!\Kiriyama!\If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama?\Kind of has a bad feeling about this\Whoa! response:	HOME TUTORING
context: Kiriyama!\If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama?\Kind of has a bad feeling about this\Whoa!\HOME TUTORING response:	Sorry, I got carried away there.
context: If she's in trouble, I want to do anything I can to help.\After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama?\Kind of has a bad feeling about this\Whoa!\HOME TUTORING\Sorry, I got carried away there. response:	No, no, you were fine.
context: After all, she's my lifesaver.\I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama?\Kind of has a bad feeling about this\Whoa!\HOME TUTORING\Sorry, I got carried away there.\No, no, you were fine. response:	I was thrilled to see a new side of you, Kiriyama...
context: I have an obligation to pay her back. That's my duty as a human being.\Um, Kiriyama?\Kind of has a bad feeling about this\Whoa!\HOME TUTORING\Sorry, I got carried away there.\No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama... response:	HEAPS
context: Um, Kiriyama?\Kind of has a bad feeling about this\Whoa!\HOME TUTORING\Sorry, I got carried away there.\No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama...\HEAPS response:	280,000 per month x 9 months Total 2,520,000
context: Kind of has a bad feeling about this\Whoa!\HOME TUTORING\Sorry, I got carried away there.\No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama...\HEAPS\280,000 per month x 9 months Total 2,520,000 response:	Say, Kiriyama.
context: Whoa!\HOME TUTORING\Sorry, I got carried away there.\No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama...\HEAPS\280,000 per month x 9 months Total 2,520,000\Say, Kiriyama. response:	What is this?
context: HOME TUTORING\Sorry, I got carried away there.\No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama...\HEAPS\280,000 per month x 9 months Total 2,520,000\Say, Kiriyama.\What is this? response:	Shishi-ou Tournament Total 3,600,000 8,000,000
context: Sorry, I got carried away there.\No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama...\HEAPS\280,000 per month x 9 months Total 2,520,000\Say, Kiriyama.\What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000 response:	Um... And what's this?
context: No, no, you were fine.\I was thrilled to see a new side of you, Kiriyama...\HEAPS\280,000 per month x 9 months Total 2,520,000\Say, Kiriyama.\What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this? response:	It's a bracket for a shogi tournament, right?
context: I was thrilled to see a new side of you, Kiriyama...\HEAPS\280,000 per month x 9 months Total 2,520,000\Say, Kiriyama.\What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this?\It's a bracket for a shogi tournament, right? response:	And maybe all of these scrawled numbers are...
context: HEAPS\280,000 per month x 9 months Total 2,520,000\Say, Kiriyama.\What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this?\It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are... response:	Total: 3,600,000-8,000,000
context: 280,000 per month x 9 months Total 2,520,000\Say, Kiriyama.\What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this?\It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000 response:	Total: 1,500,000
context: Say, Kiriyama.\What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this?\It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000\Total: 1,500,000 response:	No, but since I was making a proposal, and if I didn't hold it down to realistic figures,
context: What is this?\Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this?\It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000\Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures, response:	it would just be irresponsible lip service.
context: Shishi-ou Tournament Total 3,600,000 8,000,000\Um... And what's this?\It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000\Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service. response:	I have a debt to repay, so I just can't be dreaming all day.
context: Um... And what's this?\It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000\Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day. response:	Oh, good. My calculator still works.
context: It's a bracket for a shogi tournament, right?\And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000\Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works. response:	And so...
context: And maybe all of these scrawled numbers are...\Total: 3,600,000-8,000,000\Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works.\And so... response:	Serious Eyes
context: Total: 3,600,000-8,000,000\Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works.\And so...\Serious Eyes response:	I can't afford to lose any matches.
context: Total: 1,500,000\No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works.\And so...\Serious Eyes\I can't afford to lose any matches. response:	Wood Carving
context: No, but since I was making a proposal, and if I didn't hold it down to realistic figures,\it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works.\And so...\Serious Eyes\I can't afford to lose any matches.\Wood Carving response:	Is that what you said without any hesitation?
context: it would just be irresponsible lip service.\I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works.\And so...\Serious Eyes\I can't afford to lose any matches.\Wood Carving\Is that what you said without any hesitation? response:	Oh, it's about time for my workshop. I have to run!
context: I have a debt to repay, so I just can't be dreaming all day.\Oh, good. My calculator still works.\And so...\Serious Eyes\I can't afford to lose any matches.\Wood Carving\Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run! response:	Mr. Hayashida!
context: Oh, good. My calculator still works.\And so...\Serious Eyes\I can't afford to lose any matches.\Wood Carving\Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run!\Mr. Hayashida! response:	Thank you very much for your advice.
context: And so...\Serious Eyes\I can't afford to lose any matches.\Wood Carving\Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run!\Mr. Hayashida!\Thank you very much for your advice. response:	It's given me food for thought.
context: Serious Eyes\I can't afford to lose any matches.\Wood Carving\Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run!\Mr. Hayashida!\Thank you very much for your advice.\It's given me food for thought. response:	I would appreciate it if we could talk again about this.
context: I can't afford to lose any matches.\Wood Carving\Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run!\Mr. Hayashida!\Thank you very much for your advice.\It's given me food for thought.\I would appreciate it if we could talk again about this. response:	He's a little off.
context: Wood Carving\Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run!\Mr. Hayashida!\Thank you very much for your advice.\It's given me food for thought.\I would appreciate it if we could talk again about this.\He's a little off. response:	Well, excuse me!
context: Is that what you said without any hesitation?\Oh, it's about time for my workshop. I have to run!\Mr. Hayashida!\Thank you very much for your advice.\It's given me food for thought.\I would appreciate it if we could talk again about this.\He's a little off.\Well, excuse me! response:	This kid is just off about something!
context: Oh, it's about time for my workshop. I have to run!\Mr. Hayashida!\Thank you very much for your advice.\It's given me food for thought.\I would appreciate it if we could talk again about this.\He's a little off.\Well, excuse me!\This kid is just off about something! response:	That's what the teacher's heart was yelling out.
context: Mr. Hayashida!\Thank you very much for your advice.\It's given me food for thought.\I would appreciate it if we could talk again about this.\He's a little off.\Well, excuse me!\This kid is just off about something!\That's what the teacher's heart was yelling out. response:	I have to check!
context: Thank you very much for your advice.\It's given me food for thought.\I would appreciate it if we could talk again about this.\He's a little off.\Well, excuse me!\This kid is just off about something!\That's what the teacher's heart was yelling out.\I have to check! response:	I have to put my life as a teacher on the line and do something!
context: It's given me food for thought.\I would appreciate it if we could talk again about this.\He's a little off.\Well, excuse me!\This kid is just off about something!\That's what the teacher's heart was yelling out.\I have to check!\I have to put my life as a teacher on the line and do something! response:	Before Kiriyama takes those documents to her house and makes a speech!
context: I would appreciate it if we could talk again about this.\He's a little off.\Well, excuse me!\This kid is just off about something!\That's what the teacher's heart was yelling out.\I have to check!\I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech! response:	Otherwise he's going to lose her!
context: He's a little off.\Well, excuse me!\This kid is just off about something!\That's what the teacher's heart was yelling out.\I have to check!\I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her! response:	Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene
context: Well, excuse me!\This kid is just off about something!\That's what the teacher's heart was yelling out.\I have to check!\I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene response:	in the life of that girl to whom he owes a debt.
context: This kid is just off about something!\That's what the teacher's heart was yelling out.\I have to check!\I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt. response:	Oh no! What am I going to do?!
context: That's what the teacher's heart was yelling out.\I have to check!\I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?! response:	Would Hayashida, his homeroom teacher from last year,
context: I have to check!\I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year, response:	be able to stop him from running amok?
context: I have to put my life as a teacher on the line and do something!\Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok? response:	Stay tuned and you'll find out.
context: Before Kiriyama takes those documents to her house and makes a speech!\Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok?\Stay tuned and you'll find out. response:	Feelings
context: Otherwise he's going to lose her!\Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok?\Stay tuned and you'll find out.\Feelings response:	Confession
context: Rei Kiriyama, 5th dan, 18 years old, with calculator in hand, will intervene\in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok?\Stay tuned and you'll find out.\Feelings\Confession response:	SHOGI HALL
context: in the life of that girl to whom he owes a debt.\Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok?\Stay tuned and you'll find out.\Feelings\Confession\SHOGI HALL response:	Damn it!
context: Oh no! What am I going to do?!\Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok?\Stay tuned and you'll find out.\Feelings\Confession\SHOGI HALL\Damn it! response:	What's wrong with Kiriyama?
context: Would Hayashida, his homeroom teacher from last year,\be able to stop him from running amok?\Stay tuned and you'll find out.\Feelings\Confession\SHOGI HALL\Damn it!\What's wrong with Kiriyama? response:	I've never seen him this frustrated after losing before!
context: be able to stop him from running amok?\Stay tuned and you'll find out.\Feelings\Confession\SHOGI HALL\Damn it!\What's wrong with Kiriyama?\I've never seen him this frustrated after losing before! response:	Damn it.
context: Stay tuned and you'll find out.\Feelings\Confession\SHOGI HALL\Damn it!\What's wrong with Kiriyama?\I've never seen him this frustrated after losing before!\Damn it. response:	Finally... Does he finally have the motivation?!
context: Feelings\Confession\SHOGI HALL\Damn it!\What's wrong with Kiriyama?\I've never seen him this frustrated after losing before!\Damn it.\Finally... Does he finally have the motivation?! response:	QUIVER QUIVER
context: Confession\SHOGI HALL\Damn it!\What's wrong with Kiriyama?\I've never seen him this frustrated after losing before!\Damn it.\Finally... Does he finally have the motivation?!\QUIVER QUIVER response:	Has he come around to the idea of burning together
context: SHOGI HALL\Damn it!\What's wrong with Kiriyama?\I've never seen him this frustrated after losing before!\Damn it.\Finally... Does he finally have the motivation?!\QUIVER QUIVER\Has he come around to the idea of burning together response:	in the surging flames of passion?!
context: Damn it!\What's wrong with Kiriyama?\I've never seen him this frustrated after losing before!\Damn it.\Finally... Does he finally have the motivation?!\QUIVER QUIVER\Has he come around to the idea of burning together\in the surging flames of passion?! response:	GOOD
context: What's wrong with Kiriyama?\I've never seen him this frustrated after losing before!\Damn it.\Finally... Does he finally have the motivation?!\QUIVER QUIVER\Has he come around to the idea of burning together\in the surging flames of passion?!\GOOD response:	GRIND GRIND GRIND
context: I've never seen him this frustrated after losing before!\Damn it.\Finally... Does he finally have the motivation?!\QUIVER QUIVER\Has he come around to the idea of burning together\in the surging flames of passion?!\GOOD\GRIND GRIND GRIND response:	Dammit!
context: Damn it.\Finally... Does he finally have the motivation?!\QUIVER QUIVER\Has he come around to the idea of burning together\in the surging flames of passion?!\GOOD\GRIND GRIND GRIND\Dammit! response:	One more win and I would've gone to the semifinals, where the pay gets doubled!
context: Finally... Does he finally have the motivation?!\QUIVER QUIVER\Has he come around to the idea of burning together\in the surging flames of passion?!\GOOD\GRIND GRIND GRIND\Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled! response:	Damn it! I'm an idiot!
context: QUIVER QUIVER\Has he come around to the idea of burning together\in the surging flames of passion?!\GOOD\GRIND GRIND GRIND\Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot! response:	GRIND GRIND GRIND
context: Has he come around to the idea of burning together\in the surging flames of passion?!\GOOD\GRIND GRIND GRIND\Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot!\GRIND GRIND GRIND response:	Were you just talking big about the debt repayment, Rei Kiriyama?!
context: in the surging flames of passion?!\GOOD\GRIND GRIND GRIND\Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot!\GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?! response:	If something happens and she ends up going to another school,
context: GOOD\GRIND GRIND GRIND\Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot!\GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school, response:	or she stops going and has to rely on private tutors,
context: GRIND GRIND GRIND\Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot!\GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors, response:	or consults with a lawyer, all of these things take money!
context: Dammit!\One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot!\GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money! response:	Whatever happens to Hina, it's my job to prepare a place for her to go!
context: One more win and I would've gone to the semifinals, where the pay gets doubled!\Damn it! I'm an idiot!\GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go! response:	Hey, Nikaidou! Are you here?
context: Damn it! I'm an idiot!\GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here? response:	Oh! What is it, best friend?
context: GRIND GRIND GRIND\Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here?\Oh! What is it, best friend? response:	I need to practice. Would you play me?
context: Were you just talking big about the debt repayment, Rei Kiriyama?!\If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here?\Oh! What is it, best friend?\I need to practice. Would you play me? response:	Of course, my best friend!
context: If something happens and she ends up going to another school,\or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here?\Oh! What is it, best friend?\I need to practice. Would you play me?\Of course, my best friend! response:	BEST FRIEND
context: or she stops going and has to rely on private tutors,\or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here?\Oh! What is it, best friend?\I need to practice. Would you play me?\Of course, my best friend!\BEST FRIEND response:	I'm happy for you, Nikaidou!
context: or consults with a lawyer, all of these things take money!\Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here?\Oh! What is it, best friend?\I need to practice. Would you play me?\Of course, my best friend!\BEST FRIEND\I'm happy for you, Nikaidou! response:	GOOD
context: Whatever happens to Hina, it's my job to prepare a place for her to go!\Hey, Nikaidou! Are you here?\Oh! What is it, best friend?\I need to practice. Would you play me?\Of course, my best friend!\BEST FRIEND\I'm happy for you, Nikaidou!\GOOD response:	Is my place okay?
