context: Come on, Kousei! Don't cry over a skinned knee! response:	You're a man, aren't you?
context: Bye.\Yeah, see you tomorrow.\Hey there.\I'm on my way home from practice now.\I was wondering what you were up to.\I'm on my way home now, too.\We're always heading home at the same time these days, huh?\Tsubaki? response:	In that we...
context: Yeah, see you tomorrow.\Hey there.\I'm on my way home from practice now.\I was wondering what you were up to.\I'm on my way home now, too.\We're always heading home at the same time these days, huh?\Tsubaki?\In that we... response:	Huh? What's that?
context: Hey there.\I'm on my way home from practice now.\I was wondering what you were up to.\I'm on my way home now, too.\We're always heading home at the same time these days, huh?\Tsubaki?\In that we...\Huh? What's that? response:	Senpai?
context: I'm on my way home from practice now.\I was wondering what you were up to.\I'm on my way home now, too.\We're always heading home at the same time these days, huh?\Tsubaki?\In that we...\Huh? What's that?\Senpai? response:	Yeah?
context: I was wondering what you were up to.\I'm on my way home now, too.\We're always heading home at the same time these days, huh?\Tsubaki?\In that we...\Huh? What's that?\Senpai?\Yeah? response:	Why don't we... go out?
context: I'm on my way home now, too.\We're always heading home at the same time these days, huh?\Tsubaki?\In that we...\Huh? What's that?\Senpai?\Yeah?\Why don't we... go out? response:	Music Preparation Room
context: We're always heading home at the same time these days, huh?\Tsubaki?\In that we...\Huh? What's that?\Senpai?\Yeah?\Why don't we... go out?\Music Preparation Room response:	How do I want to play this piece of music, I wonder?
context: Tsubaki?\In that we...\Huh? What's that?\Senpai?\Yeah?\Why don't we... go out?\Music Preparation Room\How do I want to play this piece of music, I wonder? response:	For what?
context: In that we...\Huh? What's that?\Senpai?\Yeah?\Why don't we... go out?\Music Preparation Room\How do I want to play this piece of music, I wonder?\For what? response:	Good job.
context: Huh? What's that?\Senpai?\Yeah?\Why don't we... go out?\Music Preparation Room\How do I want to play this piece of music, I wonder?\For what?\Good job. response:	Who do I want to play it for?
context: Senpai?\Yeah?\Why don't we... go out?\Music Preparation Room\How do I want to play this piece of music, I wonder?\For what?\Good job.\Who do I want to play it for? response:	Why don't you pack it in for today?
context: Yeah?\Why don't we... go out?\Music Preparation Room\How do I want to play this piece of music, I wonder?\For what?\Good job.\Who do I want to play it for?\Why don't you pack it in for today? response:	It's totally dark outside. The moon's so pretty!
context: Why don't we... go out?\Music Preparation Room\How do I want to play this piece of music, I wonder?\For what?\Good job.\Who do I want to play it for?\Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty! response:	Just a little longer.
context: Music Preparation Room\How do I want to play this piece of music, I wonder?\For what?\Good job.\Who do I want to play it for?\Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty!\Just a little longer. response:	Do you resent me?
context: How do I want to play this piece of music, I wonder?\For what?\Good job.\Who do I want to play it for?\Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty!\Just a little longer.\Do you resent me? response:	Something Tsubaki-chan said. That you're suffering.
context: For what?\Good job.\Who do I want to play it for?\Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty!\Just a little longer.\Do you resent me?\Something Tsubaki-chan said. That you're suffering. response:	I've known that as well.
context: Good job.\Who do I want to play it for?\Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty!\Just a little longer.\Do you resent me?\Something Tsubaki-chan said. That you're suffering.\I've known that as well. response:	I realized it when I saw your room.
context: Who do I want to play it for?\Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty!\Just a little longer.\Do you resent me?\Something Tsubaki-chan said. That you're suffering.\I've known that as well.\I realized it when I saw your room. response:	Unable to hear your music,
context: Why don't you pack it in for today?\It's totally dark outside. The moon's so pretty!\Just a little longer.\Do you resent me?\Something Tsubaki-chan said. That you're suffering.\I've known that as well.\I realized it when I saw your room.\Unable to hear your music, response:	you try to abandon the piano... Even as you cling to it for support.
context: It's totally dark outside. The moon's so pretty!\Just a little longer.\Do you resent me?\Something Tsubaki-chan said. That you're suffering.\I've known that as well.\I realized it when I saw your room.\Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support. response:	That's why, as if you're turning your back on it,
context: Just a little longer.\Do you resent me?\Something Tsubaki-chan said. That you're suffering.\I've known that as well.\I realized it when I saw your room.\Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it, response:	you try to hide it under dust and books.
context: Do you resent me?\Something Tsubaki-chan said. That you're suffering.\I've known that as well.\I realized it when I saw your room.\Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it,\you try to hide it under dust and books. response:	You love it, but you can't go near it. You miss it, but you can't touch it.
context: Something Tsubaki-chan said. That you're suffering.\I've known that as well.\I realized it when I saw your room.\Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it,\you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it. response:	Even though you're grieving, though you're hurting.
context: I've known that as well.\I realized it when I saw your room.\Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it,\you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting. response:	And I pretend that I don't see that.
context: I realized it when I saw your room.\Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it,\you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting.\And I pretend that I don't see that. response:	Play the piano! Work hard at it! Irresponsible things like that - that's all I say.
context: Unable to hear your music,\you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it,\you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting.\And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say. response:	You're suffering because of me...
context: you try to abandon the piano... Even as you cling to it for support.\That's why, as if you're turning your back on it,\you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting.\And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me... response:	I'm sorry... I'm sorry...
context: That's why, as if you're turning your back on it,\you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting.\And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me...\I'm sorry... I'm sorry... response:	It was you who swept away all that dust.
context: you try to hide it under dust and books.\You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting.\And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me...\I'm sorry... I'm sorry...\It was you who swept away all that dust. response:	I look like I'm suffering, huh? That's not good...
context: You love it, but you can't go near it. You miss it, but you can't touch it.\Even though you're grieving, though you're hurting.\And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me...\I'm sorry... I'm sorry...\It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good... response:	But of course I'd be suffering.
context: Even though you're grieving, though you're hurting.\And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me...\I'm sorry... I'm sorry...\It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good...\But of course I'd be suffering. response:	I mean, I'm gonna sail in uncharted waters, right?
context: And I pretend that I don't see that.\Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me...\I'm sorry... I'm sorry...\It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good...\But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right? response:	Both taking on a challenge, and creating something, is painful.
context: Play the piano! Work hard at it! Irresponsible things like that - that's all I say.\You're suffering because of me...\I'm sorry... I'm sorry...\It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good...\But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful. response:	But it's fulfilling. So thank you.
context: You're suffering because of me...\I'm sorry... I'm sorry...\It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good...\But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you. response:	My world had already changed long ago.
context: I'm sorry... I'm sorry...\It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good...\But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you.\My world had already changed long ago. response:	It's just that I never realized it.
context: It was you who swept away all that dust.\I look like I'm suffering, huh? That's not good...\But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you.\My world had already changed long ago.\It's just that I never realized it. response:	For sweeping away the dust that had collected on my body...
context: I look like I'm suffering, huh? That's not good...\But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you.\My world had already changed long ago.\It's just that I never realized it.\For sweeping away the dust that had collected on my body... response:	Thank you...
context: But of course I'd be suffering.\I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you.\My world had already changed long ago.\It's just that I never realized it.\For sweeping away the dust that had collected on my body...\Thank you... response:	For encountering me...
context: I mean, I'm gonna sail in uncharted waters, right?\Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you.\My world had already changed long ago.\It's just that I never realized it.\For sweeping away the dust that had collected on my body...\Thank you...\For encountering me... response:	Ever since that day, my world... even the keyboard...
context: Both taking on a challenge, and creating something, is painful.\But it's fulfilling. So thank you.\My world had already changed long ago.\It's just that I never realized it.\For sweeping away the dust that had collected on my body...\Thank you...\For encountering me...\Ever since that day, my world... even the keyboard... response:	became colorful...
context: But it's fulfilling. So thank you.\My world had already changed long ago.\It's just that I never realized it.\For sweeping away the dust that had collected on my body...\Thank you...\For encountering me...\Ever since that day, my world... even the keyboard...\became colorful... response:	You stink...
context: My world had already changed long ago.\It's just that I never realized it.\For sweeping away the dust that had collected on my body...\Thank you...\For encountering me...\Ever since that day, my world... even the keyboard...\became colorful...\You stink... response:	The girl that my best friend likes.
context: It's just that I never realized it.\For sweeping away the dust that had collected on my body...\Thank you...\For encountering me...\Ever since that day, my world... even the keyboard...\became colorful...\You stink...\The girl that my best friend likes. response:	As if we're hiding from the silver moon,
context: For sweeping away the dust that had collected on my body...\Thank you...\For encountering me...\Ever since that day, my world... even the keyboard...\became colorful...\You stink...\The girl that my best friend likes.\As if we're hiding from the silver moon, response:	the two of us in this music room, in the middle of the night...
context: Thank you...\For encountering me...\Ever since that day, my world... even the keyboard...\became colorful...\You stink...\The girl that my best friend likes.\As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night... response:	It's like there's no one in the world but us.
context: For encountering me...\Ever since that day, my world... even the keyboard...\became colorful...\You stink...\The girl that my best friend likes.\As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us. response:	Uh, we will now begin the rally for Regionals.
context: Ever since that day, my world... even the keyboard...\became colorful...\You stink...\The girl that my best friend likes.\As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals. response:	Now then, let's hear how pumped up
context: became colorful...\You stink...\The girl that my best friend likes.\As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up response:	What lucky boys you are to have been born in this era!
context: You stink...\The girl that my best friend likes.\As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up\What lucky boys you are to have been born in this era! response:	After all, you're going to be there when a star named Ryota Watari is born!
context: The girl that my best friend likes.\As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up\What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born! response:	Man, I'm cool!
context: As if we're hiding from the silver moon,\the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up\What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool! response:	I'll show you all,
context: the two of us in this music room, in the middle of the night...\It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up\What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool!\I'll show you all, response:	a good time!
context: It's like there's no one in the world but us.\Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up\What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool!\I'll show you all,\a good time! response:	Uh, let's start over. Next...
context: Uh, we will now begin the rally for Regionals.\Now then, let's hear how pumped up\What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool!\I'll show you all,\a good time!\Uh, let's start over. Next... response:	Music Preparation Room
context: Now then, let's hear how pumped up\What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool!\I'll show you all,\a good time!\Uh, let's start over. Next...\Music Preparation Room response:	Lame.
context: What lucky boys you are to have been born in this era!\After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool!\I'll show you all,\a good time!\Uh, let's start over. Next...\Music Preparation Room\Lame. response:	This is boring.
context: After all, you're going to be there when a star named Ryota Watari is born!\Man, I'm cool!\I'll show you all,\a good time!\Uh, let's start over. Next...\Music Preparation Room\Lame.\This is boring. response:	Average.
context: Man, I'm cool!\I'll show you all,\a good time!\Uh, let's start over. Next...\Music Preparation Room\Lame.\This is boring.\Average. response:	Pedestrian.
context: I'll show you all,\a good time!\Uh, let's start over. Next...\Music Preparation Room\Lame.\This is boring.\Average.\Pedestrian. response:	But I can see you've got the set piece down pat.
context: a good time!\Uh, let's start over. Next...\Music Preparation Room\Lame.\This is boring.\Average.\Pedestrian.\But I can see you've got the set piece down pat. response:	Even if I can play the sheet music perfectly, it doesn't change anything.
context: Uh, let's start over. Next...\Music Preparation Room\Lame.\This is boring.\Average.\Pedestrian.\But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything. response:	Chopin's whispering to me.
context: Music Preparation Room\Lame.\This is boring.\Average.\Pedestrian.\But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me. response:	Where are you in all this?
context: Lame.\This is boring.\Average.\Pedestrian.\But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me.\Where are you in all this? response:	Hey.
context: This is boring.\Average.\Pedestrian.\But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me.\Where are you in all this?\Hey. response:	Why don't we go cheer at Regionals? For a change of scenery.
context: Average.\Pedestrian.\But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me.\Where are you in all this?\Hey.\Why don't we go cheer at Regionals? For a change of scenery. response:	I'll pass on that. I'll only be the same as before if I leave it like this.
context: Pedestrian.\But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me.\Where are you in all this?\Hey.\Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this. response:	I'm going to transcend perfection.
context: But I can see you've got the set piece down pat.\Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me.\Where are you in all this?\Hey.\Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection. response:	Like you.
context: Even if I can play the sheet music perfectly, it doesn't change anything.\Chopin's whispering to me.\Where are you in all this?\Hey.\Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection.\Like you. response:	Nothing doing. We're gonna go cheer!
context: Chopin's whispering to me.\Where are you in all this?\Hey.\Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection.\Like you.\Nothing doing. We're gonna go cheer! response:	If you shut yourself up in here, you'll suffocate.
context: Where are you in all this?\Hey.\Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection.\Like you.\Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate. response:	Musicians need time to gaze up at the sky!
context: Hey.\Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection.\Like you.\Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky! response:	Last inning!
context: Why don't we go cheer at Regionals? For a change of scenery.\I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection.\Like you.\Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky!\Last inning! response:	Tighten up the defense in the hole!
context: I'll pass on that. I'll only be the same as before if I leave it like this.\I'm going to transcend perfection.\Like you.\Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky!\Last inning!\Tighten up the defense in the hole! response:	Don't let anything get through!
context: I'm going to transcend perfection.\Like you.\Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky!\Last inning!\Tighten up the defense in the hole!\Don't let anything get through! response:	Just do it!
context: Like you.\Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky!\Last inning!\Tighten up the defense in the hole!\Don't let anything get through!\Just do it! response:	We're counting on you, Tsubaki. If we don't at least tie it up...
context: Nothing doing. We're gonna go cheer!\If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky!\Last inning!\Tighten up the defense in the hole!\Don't let anything get through!\Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up... response:	I know.
context: If you shut yourself up in here, you'll suffocate.\Musicians need time to gaze up at the sky!\Last inning!\Tighten up the defense in the hole!\Don't let anything get through!\Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up...\I know. response:	Let's go, Tsubaki!
context: Musicians need time to gaze up at the sky!\Last inning!\Tighten up the defense in the hole!\Don't let anything get through!\Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up...\I know.\Let's go, Tsubaki! response:	Kousei...
context: Last inning!\Tighten up the defense in the hole!\Don't let anything get through!\Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up...\I know.\Let's go, Tsubaki!\Kousei... response:	Play ball!
context: Tighten up the defense in the hole!\Don't let anything get through!\Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up...\I know.\Let's go, Tsubaki!\Kousei...\Play ball! response:	A famous violinist once said...
context: Don't let anything get through!\Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up...\I know.\Let's go, Tsubaki!\Kousei...\Play ball!\A famous violinist once said... response:	Music transcends words.
context: Just do it!\We're counting on you, Tsubaki. If we don't at least tie it up...\I know.\Let's go, Tsubaki!\Kousei...\Play ball!\A famous violinist once said...\Music transcends words. response:	Strike!
context: We're counting on you, Tsubaki. If we don't at least tie it up...\I know.\Let's go, Tsubaki!\Kousei...\Play ball!\A famous violinist once said...\Music transcends words.\Strike! response:	Tsubaki!
context: I know.\Let's go, Tsubaki!\Kousei...\Play ball!\A famous violinist once said...\Music transcends words.\Strike!\Tsubaki! response:	By exchanging notes, you get to know one another,
context: Let's go, Tsubaki!\Kousei...\Play ball!\A famous violinist once said...\Music transcends words.\Strike!\Tsubaki!\By exchanging notes, you get to know one another, response:	to understand one another.
context: Kousei...\Play ball!\A famous violinist once said...\Music transcends words.\Strike!\Tsubaki!\By exchanging notes, you get to know one another,\to understand one another. response:	Ball!
context: Play ball!\A famous violinist once said...\Music transcends words.\Strike!\Tsubaki!\By exchanging notes, you get to know one another,\to understand one another.\Ball! response:	Let's go, Triple Crown champ!
context: A famous violinist once said...\Music transcends words.\Strike!\Tsubaki!\By exchanging notes, you get to know one another,\to understand one another.\Ball!\Let's go, Triple Crown champ! response:	As if your souls were connected, and your hearts were overlapping.
context: Music transcends words.\Strike!\Tsubaki!\By exchanging notes, you get to know one another,\to understand one another.\Ball!\Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping. response:	Don't miss any meatballs!
context: Strike!\Tsubaki!\By exchanging notes, you get to know one another,\to understand one another.\Ball!\Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs! response:	It's a conversation through instruments. A miracle that creates harmony.
context: Tsubaki!\By exchanging notes, you get to know one another,\to understand one another.\Ball!\Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony. response:	In that moment, music transcends words.
context: By exchanging notes, you get to know one another,\to understand one another.\Ball!\Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words. response:	Don't you think that's awful?
context: to understand one another.\Ball!\Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words.\Don't you think that's awful? response:	Making a girl carry him on her shoulders!
context: Ball!\Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words.\Don't you think that's awful?\Making a girl carry him on her shoulders! response:	Well, but girls are bigger during childhood.
context: Let's go, Triple Crown champ!\As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words.\Don't you think that's awful?\Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood. response:	That's not the point! I'm talking about a maiden's heart.
context: As if your souls were connected, and your hearts were overlapping.\Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words.\Don't you think that's awful?\Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart. response:	But even though he's normally hopeless,
context: Don't miss any meatballs!\It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words.\Don't you think that's awful?\Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless, response:	he's amazing when he plays the piano.
context: It's a conversation through instruments. A miracle that creates harmony.\In that moment, music transcends words.\Don't you think that's awful?\Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless,\he's amazing when he plays the piano. response:	I mean, the other day he got a standing ovation...
context: In that moment, music transcends words.\Don't you think that's awful?\Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless,\he's amazing when he plays the piano.\I mean, the other day he got a standing ovation... response:	Did I say something funny?
context: Don't you think that's awful?\Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless,\he's amazing when he plays the piano.\I mean, the other day he got a standing ovation...\Did I say something funny? response:	It's always the same.
context: Making a girl carry him on her shoulders!\Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless,\he's amazing when he plays the piano.\I mean, the other day he got a standing ovation...\Did I say something funny?\It's always the same. response:	You're always going on and on about Arima-kun.
context: Well, but girls are bigger during childhood.\That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless,\he's amazing when he plays the piano.\I mean, the other day he got a standing ovation...\Did I say something funny?\It's always the same.\You're always going on and on about Arima-kun. response:	All right! Through the gap!
context: That's not the point! I'm talking about a maiden's heart.\But even though he's normally hopeless,\he's amazing when he plays the piano.\I mean, the other day he got a standing ovation...\Did I say something funny?\It's always the same.\You're always going on and on about Arima-kun.\All right! Through the gap! response:	Yay, Tsubaki-chan!
context: But even though he's normally hopeless,\he's amazing when he plays the piano.\I mean, the other day he got a standing ovation...\Did I say something funny?\It's always the same.\You're always going on and on about Arima-kun.\All right! Through the gap!\Yay, Tsubaki-chan! response:	I don't like this, I don't like this, I don't like this.
context: he's amazing when he plays the piano.\I mean, the other day he got a standing ovation...\Did I say something funny?\It's always the same.\You're always going on and on about Arima-kun.\All right! Through the gap!\Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this. response:	Sure, I know. That I have no right to be feeling this way.
context: I mean, the other day he got a standing ovation...\Did I say something funny?\It's always the same.\You're always going on and on about Arima-kun.\All right! Through the gap!\Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way. response:	But I still don't like it!
context: Did I say something funny?\It's always the same.\You're always going on and on about Arima-kun.\All right! Through the gap!\Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way.\But I still don't like it! response:	I just don't like it.
context: It's always the same.\You're always going on and on about Arima-kun.\All right! Through the gap!\Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way.\But I still don't like it!\I just don't like it. response:	We were always together. I was always by his side.
context: You're always going on and on about Arima-kun.\All right! Through the gap!\Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way.\But I still don't like it!\I just don't like it.\We were always together. I was always by his side. response:	During times of joy, and of grief as well.
context: All right! Through the gap!\Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way.\But I still don't like it!\I just don't like it.\We were always together. I was always by his side.\During times of joy, and of grief as well. response:	But...
context: Yay, Tsubaki-chan!\I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way.\But I still don't like it!\I just don't like it.\We were always together. I was always by his side.\During times of joy, and of grief as well.\But... response:	I realize he's faraway from me now...
context: I don't like this, I don't like this, I don't like this.\Sure, I know. That I have no right to be feeling this way.\But I still don't like it!\I just don't like it.\We were always together. I was always by his side.\During times of joy, and of grief as well.\But...\I realize he's faraway from me now... response:	I'm not by his side... There's somebody else there...
context: Sure, I know. That I have no right to be feeling this way.\But I still don't like it!\I just don't like it.\We were always together. I was always by his side.\During times of joy, and of grief as well.\But...\I realize he's faraway from me now...\I'm not by his side... There's somebody else there... response:	What the...! Tsubaki!
context: But I still don't like it!\I just don't like it.\We were always together. I was always by his side.\During times of joy, and of grief as well.\But...\I realize he's faraway from me now...\I'm not by his side... There's somebody else there...\What the...! Tsubaki! response:	Tsubaki
context: I just don't like it.\We were always together. I was always by his side.\During times of joy, and of grief as well.\But...\I realize he's faraway from me now...\I'm not by his side... There's somebody else there...\What the...! Tsubaki!\Tsubaki response:	Stop! Stop!
context: We were always together. I was always by his side.\During times of joy, and of grief as well.\But...\I realize he's faraway from me now...\I'm not by his side... There's somebody else there...\What the...! Tsubaki!\Tsubaki\Stop! Stop! response:	I don't like this! Look at me! Look at me, will you?
context: During times of joy, and of grief as well.\But...\I realize he's faraway from me now...\I'm not by his side... There's somebody else there...\What the...! Tsubaki!\Tsubaki\Stop! Stop!\I don't like this! Look at me! Look at me, will you? response:	Not with those eyes...
