context: All right, we're going to begin the match between Class 1 and Class 7. response:	Sports Day
context: He says it depends on his club.\Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup.\What should I do?\It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki\Today response:	Stay here after class
context: Okay.\So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup.\What should I do?\It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki\Today\Stay here after class response:	Will he agree to stay?
context: So you two are coming for sure, right, Yo-chan? Chii-chan?\Yup.\What should I do?\It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki\Today\Stay here after class\Will he agree to stay? response:	Crap, my battery's dead.
context: Yup.\What should I do?\It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki\Today\Stay here after class\Will he agree to stay?\Crap, my battery's dead. response:	One, two, three, four...
context: What should I do?\It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki\Today\Stay here after class\Will he agree to stay?\Crap, my battery's dead.\One, two, three, four... response:	Five, six, seven, eight...
context: It'll be weird trying to meet Chiaki once summer break starts.\Uchimura Chiaki\Today\Stay here after class\Will he agree to stay?\Crap, my battery's dead.\One, two, three, four...\Five, six, seven, eight... response:	There's actually no club work that day. I could go.
context: Uchimura Chiaki\Today\Stay here after class\Will he agree to stay?\Crap, my battery's dead.\One, two, three, four...\Five, six, seven, eight...\There's actually no club work that day. I could go. response:	But going to the beach will make me think about Takano again,
context: Today\Stay here after class\Will he agree to stay?\Crap, my battery's dead.\One, two, three, four...\Five, six, seven, eight...\There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again, response:	even though I know there's nothing between us.
context: Stay here after class\Will he agree to stay?\Crap, my battery's dead.\One, two, three, four...\Five, six, seven, eight...\There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again,\even though I know there's nothing between us. response:	Come on, dude.
context: Will he agree to stay?\Crap, my battery's dead.\One, two, three, four...\Five, six, seven, eight...\There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again,\even though I know there's nothing between us.\Come on, dude. response:	She doesn't think anything of it, does she?
context: Crap, my battery's dead.\One, two, three, four...\Five, six, seven, eight...\There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again,\even though I know there's nothing between us.\Come on, dude.\She doesn't think anything of it, does she? response:	I'd just be miserable, going when she doesn't think anything of me.
context: One, two, three, four...\Five, six, seven, eight...\There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again,\even though I know there's nothing between us.\Come on, dude.\She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me. response:	It doesn't even say he read it.
context: Five, six, seven, eight...\There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again,\even though I know there's nothing between us.\Come on, dude.\She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it. response:	Did Chiaki actually go home?
context: There's actually no club work that day. I could go.\But going to the beach will make me think about Takano again,\even though I know there's nothing between us.\Come on, dude.\She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it.\Did Chiaki actually go home? response:	Oh, can we practice here?
context: But going to the beach will make me think about Takano again,\even though I know there's nothing between us.\Come on, dude.\She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it.\Did Chiaki actually go home?\Oh, can we practice here? response:	Hey, Suga-yan, what's up?
context: even though I know there's nothing between us.\Come on, dude.\She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it.\Did Chiaki actually go home?\Oh, can we practice here?\Hey, Suga-yan, what's up? response:	I forgot something.
context: Come on, dude.\She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it.\Did Chiaki actually go home?\Oh, can we practice here?\Hey, Suga-yan, what's up?\I forgot something. response:	So are you going to the beach or not?
context: She doesn't think anything of it, does she?\I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it.\Did Chiaki actually go home?\Oh, can we practice here?\Hey, Suga-yan, what's up?\I forgot something.\So are you going to the beach or not? response:	I'm not going.
context: I'd just be miserable, going when she doesn't think anything of me.\It doesn't even say he read it.\Did Chiaki actually go home?\Oh, can we practice here?\Hey, Suga-yan, what's up?\I forgot something.\So are you going to the beach or not?\I'm not going. response:	It'll suck if Sugawara-kun doesn't come, huh?
context: It doesn't even say he read it.\Did Chiaki actually go home?\Oh, can we practice here?\Hey, Suga-yan, what's up?\I forgot something.\So are you going to the beach or not?\I'm not going.\It'll suck if Sugawara-kun doesn't come, huh? response:	You still like Sugawara-kun, Yo-chan?
context: Did Chiaki actually go home?\Oh, can we practice here?\Hey, Suga-yan, what's up?\I forgot something.\So are you going to the beach or not?\I'm not going.\It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan? response:	N-No, not anymore.
context: Oh, can we practice here?\Hey, Suga-yan, what's up?\I forgot something.\So are you going to the beach or not?\I'm not going.\It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan?\N-No, not anymore. response:	I knew I didn't have a chance to begin with.
context: Hey, Suga-yan, what's up?\I forgot something.\So are you going to the beach or not?\I'm not going.\It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan?\N-No, not anymore.\I knew I didn't have a chance to begin with. response:	Really?
context: I forgot something.\So are you going to the beach or not?\I'm not going.\It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan?\N-No, not anymore.\I knew I didn't have a chance to begin with.\Really? response:	What about you?
context: So are you going to the beach or not?\I'm not going.\It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan?\N-No, not anymore.\I knew I didn't have a chance to begin with.\Really?\What about you? response:	I guess Chiaki doesn't want to patch things up anymore.
context: I'm not going.\It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan?\N-No, not anymore.\I knew I didn't have a chance to begin with.\Really?\What about you?\I guess Chiaki doesn't want to patch things up anymore. response:	He really did leave.
context: It'll suck if Sugawara-kun doesn't come, huh?\You still like Sugawara-kun, Yo-chan?\N-No, not anymore.\I knew I didn't have a chance to begin with.\Really?\What about you?\I guess Chiaki doesn't want to patch things up anymore.\He really did leave. response:	I guess I'm going to be alone this summer.
context: You still like Sugawara-kun, Yo-chan?\N-No, not anymore.\I knew I didn't have a chance to begin with.\Really?\What about you?\I guess Chiaki doesn't want to patch things up anymore.\He really did leave.\I guess I'm going to be alone this summer. response:	Sorry, that was a weird thing to ask.
context: N-No, not anymore.\I knew I didn't have a chance to begin with.\Really?\What about you?\I guess Chiaki doesn't want to patch things up anymore.\He really did leave.\I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask. response:	I'm going to the bathroom!
context: I knew I didn't have a chance to begin with.\Really?\What about you?\I guess Chiaki doesn't want to patch things up anymore.\He really did leave.\I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask.\I'm going to the bathroom! response:	O-Okay.
context: Really?\What about you?\I guess Chiaki doesn't want to patch things up anymore.\He really did leave.\I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask.\I'm going to the bathroom!\O-Okay. response:	It's true that I'm always thinking about Sugawara-kun these days.
context: What about you?\I guess Chiaki doesn't want to patch things up anymore.\He really did leave.\I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask.\I'm going to the bathroom!\O-Okay.\It's true that I'm always thinking about Sugawara-kun these days. response:	And if Sugawara-kun doesn't come to the beach...
context: I guess Chiaki doesn't want to patch things up anymore.\He really did leave.\I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask.\I'm going to the bathroom!\O-Okay.\It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach... response:	Huh?
context: He really did leave.\I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask.\I'm going to the bathroom!\O-Okay.\It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach...\Huh? response:	What's wrong, Yo-cha
context: I guess I'm going to be alone this summer.\Sorry, that was a weird thing to ask.\I'm going to the bathroom!\O-Okay.\It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach...\Huh?\What's wrong, Yo-cha response:	Took you a while.
context: Sorry, that was a weird thing to ask.\I'm going to the bathroom!\O-Okay.\It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach...\Huh?\What's wrong, Yo-cha\Took you a while. response:	Were you doing something?
context: I'm going to the bathroom!\O-Okay.\It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach...\Huh?\What's wrong, Yo-cha\Took you a while.\Were you doing something? response:	You didn't see my message?
context: O-Okay.\It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach...\Huh?\What's wrong, Yo-cha\Took you a while.\Were you doing something?\You didn't see my message? response:	Sorry, my battery died.
context: It's true that I'm always thinking about Sugawara-kun these days.\And if Sugawara-kun doesn't come to the beach...\Huh?\What's wrong, Yo-cha\Took you a while.\Were you doing something?\You didn't see my message?\Sorry, my battery died. response:	I was waiting for you, so we could talk in person.
context: And if Sugawara-kun doesn't come to the beach...\Huh?\What's wrong, Yo-cha\Took you a while.\Were you doing something?\You didn't see my message?\Sorry, my battery died.\I was waiting for you, so we could talk in person. response:	Why?
context: Huh?\What's wrong, Yo-cha\Took you a while.\Were you doing something?\You didn't see my message?\Sorry, my battery died.\I was waiting for you, so we could talk in person.\Why? response:	You're going to patch things up with me?
context: What's wrong, Yo-cha\Took you a while.\Were you doing something?\You didn't see my message?\Sorry, my battery died.\I was waiting for you, so we could talk in person.\Why?\You're going to patch things up with me? response:	No, we've broken up already.
context: Took you a while.\Were you doing something?\You didn't see my message?\Sorry, my battery died.\I was waiting for you, so we could talk in person.\Why?\You're going to patch things up with me?\No, we've broken up already. response:	Wh-What's wrong, Sugawara-kun?
context: Were you doing something?\You didn't see my message?\Sorry, my battery died.\I was waiting for you, so we could talk in person.\Why?\You're going to patch things up with me?\No, we've broken up already.\Wh-What's wrong, Sugawara-kun? response:	I forgot my wallet.
context: You didn't see my message?\Sorry, my battery died.\I was waiting for you, so we could talk in person.\Why?\You're going to patch things up with me?\No, we've broken up already.\Wh-What's wrong, Sugawara-kun?\I forgot my wallet. response:	What about you?
context: Sorry, my battery died.\I was waiting for you, so we could talk in person.\Why?\You're going to patch things up with me?\No, we've broken up already.\Wh-What's wrong, Sugawara-kun?\I forgot my wallet.\What about you? response:	Practicing by yourself?
context: I was waiting for you, so we could talk in person.\Why?\You're going to patch things up with me?\No, we've broken up already.\Wh-What's wrong, Sugawara-kun?\I forgot my wallet.\What about you?\Practicing by yourself? response:	No, Yo-chan's in the bathroom right now.
context: Why?\You're going to patch things up with me?\No, we've broken up already.\Wh-What's wrong, Sugawara-kun?\I forgot my wallet.\What about you?\Practicing by yourself?\No, Yo-chan's in the bathroom right now. response:	Ah.
context: You're going to patch things up with me?\No, we've broken up already.\Wh-What's wrong, Sugawara-kun?\I forgot my wallet.\What about you?\Practicing by yourself?\No, Yo-chan's in the bathroom right now.\Ah. response:	Later!
context: No, we've broken up already.\Wh-What's wrong, Sugawara-kun?\I forgot my wallet.\What about you?\Practicing by yourself?\No, Yo-chan's in the bathroom right now.\Ah.\Later! response:	Aren't you going to the beach?
context: Wh-What's wrong, Sugawara-kun?\I forgot my wallet.\What about you?\Practicing by yourself?\No, Yo-chan's in the bathroom right now.\Ah.\Later!\Aren't you going to the beach? response:	Honestly, I didn't think you would break up with me, no matter what.
context: I forgot my wallet.\What about you?\Practicing by yourself?\No, Yo-chan's in the bathroom right now.\Ah.\Later!\Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what. response:	I got too comfortable.
context: What about you?\Practicing by yourself?\No, Yo-chan's in the bathroom right now.\Ah.\Later!\Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable. response:	If we patched things up now, it would be like that never happened.
context: Practicing by yourself?\No, Yo-chan's in the bathroom right now.\Ah.\Later!\Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable.\If we patched things up now, it would be like that never happened. response:	It would feel bad.
context: No, Yo-chan's in the bathroom right now.\Ah.\Later!\Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable.\If we patched things up now, it would be like that never happened.\It would feel bad. response:	I don't think our relationship would last like that.
context: Ah.\Later!\Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable.\If we patched things up now, it would be like that never happened.\It would feel bad.\I don't think our relationship would last like that. response:	So let's break up properly.
context: Later!\Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable.\If we patched things up now, it would be like that never happened.\It would feel bad.\I don't think our relationship would last like that.\So let's break up properly. response:	Once that's done, I want to confess again.
context: Aren't you going to the beach?\Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable.\If we patched things up now, it would be like that never happened.\It would feel bad.\I don't think our relationship would last like that.\So let's break up properly.\Once that's done, I want to confess again. response:	Oh, I decided not to go.
context: Honestly, I didn't think you would break up with me, no matter what.\I got too comfortable.\If we patched things up now, it would be like that never happened.\It would feel bad.\I don't think our relationship would last like that.\So let's break up properly.\Once that's done, I want to confess again.\Oh, I decided not to go. response:	Why not?
context: I got too comfortable.\If we patched things up now, it would be like that never happened.\It would feel bad.\I don't think our relationship would last like that.\So let's break up properly.\Once that's done, I want to confess again.\Oh, I decided not to go.\Why not? response:	Your club?
context: If we patched things up now, it would be like that never happened.\It would feel bad.\I don't think our relationship would last like that.\So let's break up properly.\Once that's done, I want to confess again.\Oh, I decided not to go.\Why not?\Your club? response:	Nah, I just don't really like that kind of thing.
context: It would feel bad.\I don't think our relationship would last like that.\So let's break up properly.\Once that's done, I want to confess again.\Oh, I decided not to go.\Why not?\Your club?\Nah, I just don't really like that kind of thing. response:	You're going, right?
context: I don't think our relationship would last like that.\So let's break up properly.\Once that's done, I want to confess again.\Oh, I decided not to go.\Why not?\Your club?\Nah, I just don't really like that kind of thing.\You're going, right? response:	Have fun.
context: So let's break up properly.\Once that's done, I want to confess again.\Oh, I decided not to go.\Why not?\Your club?\Nah, I just don't really like that kind of thing.\You're going, right?\Have fun. response:	I don't think it'll be fun if you aren't there.
context: Once that's done, I want to confess again.\Oh, I decided not to go.\Why not?\Your club?\Nah, I just don't really like that kind of thing.\You're going, right?\Have fun.\I don't think it'll be fun if you aren't there. response:	Fine. Try confessing, then.
context: Oh, I decided not to go.\Why not?\Your club?\Nah, I just don't really like that kind of thing.\You're going, right?\Have fun.\I don't think it'll be fun if you aren't there.\Fine. Try confessing, then. response:	I'll reject you a hundred times.
context: Why not?\Your club?\Nah, I just don't really like that kind of thing.\You're going, right?\Have fun.\I don't think it'll be fun if you aren't there.\Fine. Try confessing, then.\I'll reject you a hundred times. response:	A-All right.
context: Your club?\Nah, I just don't really like that kind of thing.\You're going, right?\Have fun.\I don't think it'll be fun if you aren't there.\Fine. Try confessing, then.\I'll reject you a hundred times.\A-All right. response:	You better mean it.
context: Nah, I just don't really like that kind of thing.\You're going, right?\Have fun.\I don't think it'll be fun if you aren't there.\Fine. Try confessing, then.\I'll reject you a hundred times.\A-All right.\You better mean it. response:	Okay.
context: You're going, right?\Have fun.\I don't think it'll be fun if you aren't there.\Fine. Try confessing, then.\I'll reject you a hundred times.\A-All right.\You better mean it.\Okay. response:	I don't want to lose you anymore, Kana.
context: Have fun.\I don't think it'll be fun if you aren't there.\Fine. Try confessing, then.\I'll reject you a hundred times.\A-All right.\You better mean it.\Okay.\I don't want to lose you anymore, Kana. response:	Please...
context: I don't think it'll be fun if you aren't there.\Fine. Try confessing, then.\I'll reject you a hundred times.\A-All right.\You better mean it.\Okay.\I don't want to lose you anymore, Kana.\Please... response:	Please go out with me.
context: Fine. Try confessing, then.\I'll reject you a hundred times.\A-All right.\You better mean it.\Okay.\I don't want to lose you anymore, Kana.\Please...\Please go out with me. response:	Okay.
context: I'll reject you a hundred times.\A-All right.\You better mean it.\Okay.\I don't want to lose you anymore, Kana.\Please...\Please go out with me.\Okay. response:	Shucks.
context: A-All right.\You better mean it.\Okay.\I don't want to lose you anymore, Kana.\Please...\Please go out with me.\Okay.\Shucks. response:	I'll have to buy a swimsuit for the beach, then.
context: You better mean it.\Okay.\I don't want to lose you anymore, Kana.\Please...\Please go out with me.\Okay.\Shucks.\I'll have to buy a swimsuit for the beach, then. response:	Me, too.
context: Okay.\I don't want to lose you anymore, Kana.\Please...\Please go out with me.\Okay.\Shucks.\I'll have to buy a swimsuit for the beach, then.\Me, too. response:	Summer begins.
