context: Oh, so this is the beach in this world! response:	With all these people here,
context: Well...\I think it was a normal family.\I was raised normally.\They had me go to college.\After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while.\That's a normal human family? response:	Probably.
context: I think it was a normal family.\I was raised normally.\They had me go to college.\After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while.\That's a normal human family?\Probably. response:	Then why did Miss Kobayashi accept a dragon like me?
context: I was raised normally.\They had me go to college.\After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while.\That's a normal human family?\Probably.\Then why did Miss Kobayashi accept a dragon like me? response:	Why would someone born and raised normally...
context: They had me go to college.\After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while.\That's a normal human family?\Probably.\Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally... response:	Why?
context: After that, I left home to work.\Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while.\That's a normal human family?\Probably.\Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally...\Why? response:	Does that mean...
context: Every now and then I talk to my parents on the phone to tell them how I'm doing.\Oh, I haven't seen them in a while.\That's a normal human family?\Probably.\Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally...\Why?\Does that mean... response:	the humans of this world could accept dragons?
context: Oh, I haven't seen them in a while.\That's a normal human family?\Probably.\Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally...\Why?\Does that mean...\the humans of this world could accept dragons? response:	Kill them! Humans are evil! Kill them all!
context: That's a normal human family?\Probably.\Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally...\Why?\Does that mean...\the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all! response:	What's wrong, Tohru?
context: Probably.\Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally...\Why?\Does that mean...\the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all!\What's wrong, Tohru? response:	Oh, it's nothing.
context: Then why did Miss Kobayashi accept a dragon like me?\Why would someone born and raised normally...\Why?\Does that mean...\the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all!\What's wrong, Tohru?\Oh, it's nothing. response:	It's just, well...
context: Why would someone born and raised normally...\Why?\Does that mean...\the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all!\What's wrong, Tohru?\Oh, it's nothing.\It's just, well... response:	I'm feeling listless.
context: Why?\Does that mean...\the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all!\What's wrong, Tohru?\Oh, it's nothing.\It's just, well...\I'm feeling listless. response:	Tohru.
context: Does that mean...\the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all!\What's wrong, Tohru?\Oh, it's nothing.\It's just, well...\I'm feeling listless.\Tohru. response:	Can I ride you?
context: the humans of this world could accept dragons?\Kill them! Humans are evil! Kill them all!\What's wrong, Tohru?\Oh, it's nothing.\It's just, well...\I'm feeling listless.\Tohru.\Can I ride you? response:	This really is incredible.
context: Kill them! Humans are evil! Kill them all!\What's wrong, Tohru?\Oh, it's nothing.\It's just, well...\I'm feeling listless.\Tohru.\Can I ride you?\This really is incredible. response:	It's been a while, so I'm excited!
context: What's wrong, Tohru?\Oh, it's nothing.\It's just, well...\I'm feeling listless.\Tohru.\Can I ride you?\This really is incredible.\It's been a while, so I'm excited! response:	Hup.
context: Oh, it's nothing.\It's just, well...\I'm feeling listless.\Tohru.\Can I ride you?\This really is incredible.\It's been a while, so I'm excited!\Hup. response:	Tohru, aren't you homesick?
context: It's just, well...\I'm feeling listless.\Tohru.\Can I ride you?\This really is incredible.\It's been a while, so I'm excited!\Hup.\Tohru, aren't you homesick? response:	That's not the case.
context: I'm feeling listless.\Tohru.\Can I ride you?\This really is incredible.\It's been a while, so I'm excited!\Hup.\Tohru, aren't you homesick?\That's not the case. response:	But I feel like seeing my parents after what we just talked about.
context: Tohru.\Can I ride you?\This really is incredible.\It's been a while, so I'm excited!\Hup.\Tohru, aren't you homesick?\That's not the case.\But I feel like seeing my parents after what we just talked about. response:	Every now and then I would like to see my parents.
context: Can I ride you?\This really is incredible.\It's been a while, so I'm excited!\Hup.\Tohru, aren't you homesick?\That's not the case.\But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents. response:	But it's all right.
context: This really is incredible.\It's been a while, so I'm excited!\Hup.\Tohru, aren't you homesick?\That's not the case.\But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents.\But it's all right. response:	Really?
context: It's been a while, so I'm excited!\Hup.\Tohru, aren't you homesick?\That's not the case.\But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents.\But it's all right.\Really? response:	Then what's bugging you?
context: Hup.\Tohru, aren't you homesick?\That's not the case.\But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents.\But it's all right.\Really?\Then what's bugging you? response:	I thought about introducing you to my parents.
context: Tohru, aren't you homesick?\That's not the case.\But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents.\But it's all right.\Really?\Then what's bugging you?\I thought about introducing you to my parents. response:	You should.
context: That's not the case.\But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents.\But it's all right.\Really?\Then what's bugging you?\I thought about introducing you to my parents.\You should. response:	I can't.
context: But I feel like seeing my parents after what we just talked about.\Every now and then I would like to see my parents.\But it's all right.\Really?\Then what's bugging you?\I thought about introducing you to my parents.\You should.\I can't. response:	Why not?
context: Every now and then I would like to see my parents.\But it's all right.\Really?\Then what's bugging you?\I thought about introducing you to my parents.\You should.\I can't.\Why not? response:	Because I'm sure they'd kill you.
context: But it's all right.\Really?\Then what's bugging you?\I thought about introducing you to my parents.\You should.\I can't.\Why not?\Because I'm sure they'd kill you. response:	That sounds violent, but I guess that's common sense in your world, huh.
context: Really?\Then what's bugging you?\I thought about introducing you to my parents.\You should.\I can't.\Why not?\Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh. response:	It is.
context: Then what's bugging you?\I thought about introducing you to my parents.\You should.\I can't.\Why not?\Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh.\It is. response:	From my parent's point of view,
context: I thought about introducing you to my parents.\You should.\I can't.\Why not?\Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh.\It is.\From my parent's point of view, response:	I'm definitely the weird one, not common sense.
context: You should.\I can't.\Why not?\Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh.\It is.\From my parent's point of view,\I'm definitely the weird one, not common sense. response:	It's sad.
context: I can't.\Why not?\Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh.\It is.\From my parent's point of view,\I'm definitely the weird one, not common sense.\It's sad. response:	Talking to Tohru about things like this is kind of heavy. And sad.
context: Why not?\Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh.\It is.\From my parent's point of view,\I'm definitely the weird one, not common sense.\It's sad.\Talking to Tohru about things like this is kind of heavy. And sad. response:	It drives home the difference between understanding words
context: Because I'm sure they'd kill you.\That sounds violent, but I guess that's common sense in your world, huh.\It is.\From my parent's point of view,\I'm definitely the weird one, not common sense.\It's sad.\Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words response:	and understanding each other.
context: That sounds violent, but I guess that's common sense in your world, huh.\It is.\From my parent's point of view,\I'm definitely the weird one, not common sense.\It's sad.\Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words\and understanding each other. response:	It makes me realize we've lived in vastly different worlds.
context: It is.\From my parent's point of view,\I'm definitely the weird one, not common sense.\It's sad.\Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words\and understanding each other.\It makes me realize we've lived in vastly different worlds. response:	But maybe that's all the more reason I want to cherish this time we have together.
context: From my parent's point of view,\I'm definitely the weird one, not common sense.\It's sad.\Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words\and understanding each other.\It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together. response:	I think that means you've become independent.
context: I'm definitely the weird one, not common sense.\It's sad.\Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words\and understanding each other.\It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent. response:	Independent?
context: It's sad.\Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words\and understanding each other.\It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent.\Independent? response:	Yeah. You've developed your own unique set of values.
context: Talking to Tohru about things like this is kind of heavy. And sad.\It drives home the difference between understanding words\and understanding each other.\It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent.\Independent?\Yeah. You've developed your own unique set of values. response:	You mean I've become an adult?
context: It drives home the difference between understanding words\and understanding each other.\It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent.\Independent?\Yeah. You've developed your own unique set of values.\You mean I've become an adult? response:	Who knows?
context: and understanding each other.\It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent.\Independent?\Yeah. You've developed your own unique set of values.\You mean I've become an adult?\Who knows? response:	I'm not sure.
context: It makes me realize we've lived in vastly different worlds.\But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent.\Independent?\Yeah. You've developed your own unique set of values.\You mean I've become an adult?\Who knows?\I'm not sure. response:	Most people don't try to become adults, they just can't stay children any longer.
context: But maybe that's all the more reason I want to cherish this time we have together.\I think that means you've become independent.\Independent?\Yeah. You've developed your own unique set of values.\You mean I've become an adult?\Who knows?\I'm not sure.\Most people don't try to become adults, they just can't stay children any longer. response:	Oh, you've hooked something, Miss Kobayashi.
context: I think that means you've become independent.\Independent?\Yeah. You've developed your own unique set of values.\You mean I've become an adult?\Who knows?\I'm not sure.\Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi. response:	Tiny.
context: Independent?\Yeah. You've developed your own unique set of values.\You mean I've become an adult?\Who knows?\I'm not sure.\Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi.\Tiny. response:	Shall we head back?
context: Yeah. You've developed your own unique set of values.\You mean I've become an adult?\Who knows?\I'm not sure.\Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi.\Tiny.\Shall we head back? response:	Yes.
context: You mean I've become an adult?\Who knows?\I'm not sure.\Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi.\Tiny.\Shall we head back?\Yes. response:	Dragon fireworks?
context: Who knows?\I'm not sure.\Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi.\Tiny.\Shall we head back?\Yes.\Dragon fireworks? response:	Yeah. I won them in a lottery at the shopping district.
context: I'm not sure.\Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi.\Tiny.\Shall we head back?\Yes.\Dragon fireworks?\Yeah. I won them in a lottery at the shopping district. response:	That's it?
context: Most people don't try to become adults, they just can't stay children any longer.\Oh, you've hooked something, Miss Kobayashi.\Tiny.\Shall we head back?\Yes.\Dragon fireworks?\Yeah. I won them in a lottery at the shopping district.\That's it? response:	Yeah.
context: Oh, you've hooked something, Miss Kobayashi.\Tiny.\Shall we head back?\Yes.\Dragon fireworks?\Yeah. I won them in a lottery at the shopping district.\That's it?\Yeah. response:	Huh?!
context: Tiny.\Shall we head back?\Yes.\Dragon fireworks?\Yeah. I won them in a lottery at the shopping district.\That's it?\Yeah.\Huh?! response:	A real dragon is way better than that!
context: Shall we head back?\Yes.\Dragon fireworks?\Yeah. I won them in a lottery at the shopping district.\That's it?\Yeah.\Huh?!\A real dragon is way better than that! response:	Impressive, Lady Tohru!
context: Yes.\Dragon fireworks?\Yeah. I won them in a lottery at the shopping district.\That's it?\Yeah.\Huh?!\A real dragon is way better than that!\Impressive, Lady Tohru! response:	See, see! How's that, Miss Kobayashi?!
context: Dragon fireworks?\Yeah. I won them in a lottery at the shopping district.\That's it?\Yeah.\Huh?!\A real dragon is way better than that!\Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?! response:	Shee, shee! How'f thah, Mih Chofahashi?!
context: Yeah. I won them in a lottery at the shopping district.\That's it?\Yeah.\Huh?!\A real dragon is way better than that!\Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?! response:	I can't understand anything you're saying.
context: That's it?\Yeah.\Huh?!\A real dragon is way better than that!\Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying. response:	Episode 7
context: Yeah.\Huh?!\A real dragon is way better than that!\Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying.\Episode 7 response:	Summer's Staples! (The Fanservice Episode, Frankly)
context: Huh?!\A real dragon is way better than that!\Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying.\Episode 7\Summer's Staples! (The Fanservice Episode, Frankly) response:	What on Earth is this?!
context: A real dragon is way better than that!\Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying.\Episode 7\Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?! response:	The admission line for Comiket.
context: Impressive, Lady Tohru!\See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying.\Episode 7\Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?!\The admission line for Comiket. response:	So we're supposed to provide cover for Takiya here?
context: See, see! How's that, Miss Kobayashi?!\Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying.\Episode 7\Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?!\The admission line for Comiket.\So we're supposed to provide cover for Takiya here? response:	Not cover. Help.
context: Shee, shee! How'f thah, Mih Chofahashi?!\I can't understand anything you're saying.\Episode 7\Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?!\The admission line for Comiket.\So we're supposed to provide cover for Takiya here?\Not cover. Help. response:	Apparently two of his sellers suddenly collapsed.
context: I can't understand anything you're saying.\Episode 7\Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?!\The admission line for Comiket.\So we're supposed to provide cover for Takiya here?\Not cover. Help.\Apparently two of his sellers suddenly collapsed. response:	Leave it to me!
context: Episode 7\Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?!\The admission line for Comiket.\So we're supposed to provide cover for Takiya here?\Not cover. Help.\Apparently two of his sellers suddenly collapsed.\Leave it to me! response:	With my power, it will be easy to exterminate them all.
context: Summer's Staples! (The Fanservice Episode, Frankly)\What on Earth is this?!\The admission line for Comiket.\So we're supposed to provide cover for Takiya here?\Not cover. Help.\Apparently two of his sellers suddenly collapsed.\Leave it to me!\With my power, it will be easy to exterminate them all. response:	Don't.
context: What on Earth is this?!\The admission line for Comiket.\So we're supposed to provide cover for Takiya here?\Not cover. Help.\Apparently two of his sellers suddenly collapsed.\Leave it to me!\With my power, it will be easy to exterminate them all.\Don't. response:	By the way, was leaving Kanna behind a good idea?
context: The admission line for Comiket.\So we're supposed to provide cover for Takiya here?\Not cover. Help.\Apparently two of his sellers suddenly collapsed.\Leave it to me!\With my power, it will be easy to exterminate them all.\Don't.\By the way, was leaving Kanna behind a good idea? response:	There's a lot here that can't be shown to children.
context: So we're supposed to provide cover for Takiya here?\Not cover. Help.\Apparently two of his sellers suddenly collapsed.\Leave it to me!\With my power, it will be easy to exterminate them all.\Don't.\By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children. response:	Man, thanks, you two!
context: Not cover. Help.\Apparently two of his sellers suddenly collapsed.\Leave it to me!\With my power, it will be easy to exterminate them all.\Don't.\By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children.\Man, thanks, you two! response:	You're a lifesaver!
context: Apparently two of his sellers suddenly collapsed.\Leave it to me!\With my power, it will be easy to exterminate them all.\Don't.\By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children.\Man, thanks, you two!\You're a lifesaver! response:	I owe you quite a bit anyway.
context: Leave it to me!\With my power, it will be easy to exterminate them all.\Don't.\By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children.\Man, thanks, you two!\You're a lifesaver!\I owe you quite a bit anyway. response:	You didn't ask Mr. Fafnir?
context: With my power, it will be easy to exterminate them all.\Don't.\By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children.\Man, thanks, you two!\You're a lifesaver!\I owe you quite a bit anyway.\You didn't ask Mr. Fafnir? response:	Water Dragon Shrine
context: Don't.\By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children.\Man, thanks, you two!\You're a lifesaver!\I owe you quite a bit anyway.\You didn't ask Mr. Fafnir?\Water Dragon Shrine response:	Bullet Hell Games
context: By the way, was leaving Kanna behind a good idea?\There's a lot here that can't be shown to children.\Man, thanks, you two!\You're a lifesaver!\I owe you quite a bit anyway.\You didn't ask Mr. Fafnir?\Water Dragon Shrine\Bullet Hell Games response:	Oh, he's participating as a circle.
context: There's a lot here that can't be shown to children.\Man, thanks, you two!\You're a lifesaver!\I owe you quite a bit anyway.\You didn't ask Mr. Fafnir?\Water Dragon Shrine\Bullet Hell Games\Oh, he's participating as a circle. response:	Curse Anthology
context: Man, thanks, you two!\You're a lifesaver!\I owe you quite a bit anyway.\You didn't ask Mr. Fafnir?\Water Dragon Shrine\Bullet Hell Games\Oh, he's participating as a circle.\Curse Anthology response:	Huh?!
context: You're a lifesaver!\I owe you quite a bit anyway.\You didn't ask Mr. Fafnir?\Water Dragon Shrine\Bullet Hell Games\Oh, he's participating as a circle.\Curse Anthology\Huh?! response:	Participating as a circle?
context: I owe you quite a bit anyway.\You didn't ask Mr. Fafnir?\Water Dragon Shrine\Bullet Hell Games\Oh, he's participating as a circle.\Curse Anthology\Huh?!\Participating as a circle? response:	A circle's a group of people like us, who sell things they made to other fans.
context: You didn't ask Mr. Fafnir?\Water Dragon Shrine\Bullet Hell Games\Oh, he's participating as a circle.\Curse Anthology\Huh?!\Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans. response:	I see. So why did Mr. Fafnir do that?
context: Water Dragon Shrine\Bullet Hell Games\Oh, he's participating as a circle.\Curse Anthology\Huh?!\Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that? response:	I recommended all kinds of anime and games to him,
context: Bullet Hell Games\Oh, he's participating as a circle.\Curse Anthology\Huh?!\Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him, response:	and at some point he started drawing his own.
context: Oh, he's participating as a circle.\Curse Anthology\Huh?!\Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him,\and at some point he started drawing his own. response:	He's totally enjoying this world, isn't he?
context: Curse Anthology\Huh?!\Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him,\and at some point he started drawing his own.\He's totally enjoying this world, isn't he? response:	Well, Kobayashi-san, if you could handle sales,
context: Huh?!\Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him,\and at some point he started drawing his own.\He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales, response:	and Tohru-chan, if you could manage the line please.
context: Participating as a circle?\A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him,\and at some point he started drawing his own.\He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please. response:	Sure thing.
context: A circle's a group of people like us, who sell things they made to other fans.\I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him,\and at some point he started drawing his own.\He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please.\Sure thing. response:	Hmph. All right then.
context: I see. So why did Mr. Fafnir do that?\I recommended all kinds of anime and games to him,\and at some point he started drawing his own.\He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please.\Sure thing.\Hmph. All right then. response:	As of this moment, the third day of Comic Market has begun.
context: I recommended all kinds of anime and games to him,\and at some point he started drawing his own.\He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please.\Sure thing.\Hmph. All right then.\As of this moment, the third day of Comic Market has begun. response:	Wh-What's this?
context: and at some point he started drawing his own.\He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please.\Sure thing.\Hmph. All right then.\As of this moment, the third day of Comic Market has begun.\Wh-What's this? response:	Please don't run.
context: He's totally enjoying this world, isn't he?\Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please.\Sure thing.\Hmph. All right then.\As of this moment, the third day of Comic Market has begun.\Wh-What's this?\Please don't run. response:	Please don't run.
context: Well, Kobayashi-san, if you could handle sales,\and Tohru-chan, if you could manage the line please.\Sure thing.\Hmph. All right then.\As of this moment, the third day of Comic Market has begun.\Wh-What's this?\Please don't run.\Please don't run. response:	Everyone's just barely on the verge of running!
context: and Tohru-chan, if you could manage the line please.\Sure thing.\Hmph. All right then.\As of this moment, the third day of Comic Market has begun.\Wh-What's this?\Please don't run.\Please don't run.\Everyone's just barely on the verge of running! response:	Desires
context: Sure thing.\Hmph. All right then.\As of this moment, the third day of Comic Market has begun.\Wh-What's this?\Please don't run.\Please don't run.\Everyone's just barely on the verge of running!\Desires response:	Something powerful is holding back their selfish impulses!
context: Hmph. All right then.\As of this moment, the third day of Comic Market has begun.\Wh-What's this?\Please don't run.\Please don't run.\Everyone's just barely on the verge of running!\Desires\Something powerful is holding back their selfish impulses! response:	What in the world?!
context: As of this moment, the third day of Comic Market has begun.\Wh-What's this?\Please don't run.\Please don't run.\Everyone's just barely on the verge of running!\Desires\Something powerful is holding back their selfish impulses!\What in the world?! response:	Water Dragon Shrine
context: Wh-What's this?\Please don't run.\Please don't run.\Everyone's just barely on the verge of running!\Desires\Something powerful is holding back their selfish impulses!\What in the world?!\Water Dragon Shrine response:	The new one, please.
context: Please don't run.\Please don't run.\Everyone's just barely on the verge of running!\Desires\Something powerful is holding back their selfish impulses!\What in the world?!\Water Dragon Shrine\The new one, please. response:	That's 1,000 yen.
context: Please don't run.\Everyone's just barely on the verge of running!\Desires\Something powerful is holding back their selfish impulses!\What in the world?!\Water Dragon Shrine\The new one, please.\That's 1,000 yen. response:	Water Dragon Shrine
context: Everyone's just barely on the verge of running!\Desires\Something powerful is holding back their selfish impulses!\What in the world?!\Water Dragon Shrine\The new one, please.\That's 1,000 yen.\Water Dragon Shrine response:	Here, thank you very much.
context: Desires\Something powerful is holding back their selfish impulses!\What in the world?!\Water Dragon Shrine\The new one, please.\That's 1,000 yen.\Water Dragon Shrine\Here, thank you very much. response:	The new one and the previous one, please.
context: Something powerful is holding back their selfish impulses!\What in the world?!\Water Dragon Shrine\The new one, please.\That's 1,000 yen.\Water Dragon Shrine\Here, thank you very much.\The new one and the previous one, please. response:	Water Dragon Shrine WA-91 End of Line
context: What in the world?!\Water Dragon Shrine\The new one, please.\That's 1,000 yen.\Water Dragon Shrine\Here, thank you very much.\The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line response:	The end of the line for Water Dragon Shrine starts here!
context: Water Dragon Shrine\The new one, please.\That's 1,000 yen.\Water Dragon Shrine\Here, thank you very much.\The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here! response:	I'm sorry, please group closer together.
context: The new one, please.\That's 1,000 yen.\Water Dragon Shrine\Here, thank you very much.\The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together. response:	Hmm, for tens of thousands of individuals to be able take such
context: That's 1,000 yen.\Water Dragon Shrine\Here, thank you very much.\The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such response:	unified action without any prior exercises or training...
context: Water Dragon Shrine\Here, thank you very much.\The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training... response:	Something powerful must be influencing them.
context: Here, thank you very much.\The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training...\Something powerful must be influencing them. response:	Um, excuse me.
context: The new one and the previous one, please.\Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training...\Something powerful must be influencing them.\Um, excuse me. response:	Yes?
context: Water Dragon Shrine WA-91 End of Line\The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training...\Something powerful must be influencing them.\Um, excuse me.\Yes? response:	Are you a cosplayer?
context: The end of the line for Water Dragon Shrine starts here!\I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training...\Something powerful must be influencing them.\Um, excuse me.\Yes?\Are you a cosplayer? response:	No, I'm not.
context: I'm sorry, please group closer together.\Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training...\Something powerful must be influencing them.\Um, excuse me.\Yes?\Are you a cosplayer?\No, I'm not. response:	Oh, I see. I'm sorry.
context: Hmm, for tens of thousands of individuals to be able take such\unified action without any prior exercises or training...\Something powerful must be influencing them.\Um, excuse me.\Yes?\Are you a cosplayer?\No, I'm not.\Oh, I see. I'm sorry. response:	I thought you were a cosplayer from abroad.
context: unified action without any prior exercises or training...\Something powerful must be influencing them.\Um, excuse me.\Yes?\Are you a cosplayer?\No, I'm not.\Oh, I see. I'm sorry.\I thought you were a cosplayer from abroad. response:	I'm a real maid!
context: Something powerful must be influencing them.\Um, excuse me.\Yes?\Are you a cosplayer?\No, I'm not.\Oh, I see. I'm sorry.\I thought you were a cosplayer from abroad.\I'm a real maid! response:	Oh, I get it.
context: Um, excuse me.\Yes?\Are you a cosplayer?\No, I'm not.\Oh, I see. I'm sorry.\I thought you were a cosplayer from abroad.\I'm a real maid!\Oh, I get it. response:	You're in character.
context: Yes?\Are you a cosplayer?\No, I'm not.\Oh, I see. I'm sorry.\I thought you were a cosplayer from abroad.\I'm a real maid!\Oh, I get it.\You're in character. response:	Wonderful.
context: Are you a cosplayer?\No, I'm not.\Oh, I see. I'm sorry.\I thought you were a cosplayer from abroad.\I'm a real maid!\Oh, I get it.\You're in character.\Wonderful. response:	No, I'm the real thing!
