context: Oh, no! response:	Not only has Jellal been resurrected, but the seal on Nirvana has...
context: Moshimoshi?\Sagittarius?\What is with this traitorous horse?\N-No, it's not me!\I would never... do something like...\Hibiki, hang in there!\Are you manipulating my Spirits?\Yes! Right now, I can do everything you can. response:	I apologize, Lucy-dono, Hibiki-dono...
context: Sagittarius?\What is with this traitorous horse?\N-No, it's not me!\I would never... do something like...\Hibiki, hang in there!\Are you manipulating my Spirits?\Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono... response:	My body is moving on its own...
context: What is with this traitorous horse?\N-No, it's not me!\I would never... do something like...\Hibiki, hang in there!\Are you manipulating my Spirits?\Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own... response:	Carla! Take Wendy and escape! This guy's dangerous!
context: N-No, it's not me!\I would never... do something like...\Hibiki, hang in there!\Are you manipulating my Spirits?\Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous! response:	I would even if you didn't tell me to!
context: I would never... do something like...\Hibiki, hang in there!\Are you manipulating my Spirits?\Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to! response:	Sagittarius, I'm going to force your gate closed! You take a break for a while!
context: Hibiki, hang in there!\Are you manipulating my Spirits?\Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while! response:	I truly apologize, as it were. Moshimoshi.
context: Are you manipulating my Spirits?\Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi. response:	In that case... Gate of the Archer, I open thee!
context: Yes! Right now, I can do everything you can.\I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee! response:	Sagittarius!
context: I apologize, Lucy-dono, Hibiki-dono...\My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee!\Sagittarius! response:	You called? Moshimoshi.
context: My body is moving on its own...\Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee!\Sagittarius!\You called? Moshimoshi. response:	Uh, what?
context: Carla! Take Wendy and escape! This guy's dangerous!\I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee!\Sagittarius!\You called? Moshimoshi.\Uh, what? response:	What in the world is going on? Moshimoshi.
context: I would even if you didn't tell me to!\Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee!\Sagittarius!\You called? Moshimoshi.\Uh, what?\What in the world is going on? Moshimoshi. response:	I'm the one who summoned you.
context: Sagittarius, I'm going to force your gate closed! You take a break for a while!\I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee!\Sagittarius!\You called? Moshimoshi.\Uh, what?\What in the world is going on? Moshimoshi.\I'm the one who summoned you. response:	So that means I'm your owner right now.
context: I truly apologize, as it were. Moshimoshi.\In that case... Gate of the Archer, I open thee!\Sagittarius!\You called? Moshimoshi.\Uh, what?\What in the world is going on? Moshimoshi.\I'm the one who summoned you.\So that means I'm your owner right now. response:	That is very true. Moshimoshi.
context: In that case... Gate of the Archer, I open thee!\Sagittarius!\You called? Moshimoshi.\Uh, what?\What in the world is going on? Moshimoshi.\I'm the one who summoned you.\So that means I'm your owner right now.\That is very true. Moshimoshi. response:	So with that settled, would you shoot down that flying cat for me?
context: Sagittarius!\You called? Moshimoshi.\Uh, what?\What in the world is going on? Moshimoshi.\I'm the one who summoned you.\So that means I'm your owner right now.\That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me? response:	W-Well, I...
context: You called? Moshimoshi.\Uh, what?\What in the world is going on? Moshimoshi.\I'm the one who summoned you.\So that means I'm your owner right now.\That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me?\W-Well, I... response:	What is it?
context: Uh, what?\What in the world is going on? Moshimoshi.\I'm the one who summoned you.\So that means I'm your owner right now.\That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me?\W-Well, I...\What is it? response:	Are you disobeying your owner?
context: What in the world is going on? Moshimoshi.\I'm the one who summoned you.\So that means I'm your owner right now.\That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me?\W-Well, I...\What is it?\Are you disobeying your owner? response:	Even if your body and abilities are the same...
context: I'm the one who summoned you.\So that means I'm your owner right now.\That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me?\W-Well, I...\What is it?\Are you disobeying your owner?\Even if your body and abilities are the same... response:	You are not the real Lucy-dono!
context: So that means I'm your owner right now.\That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me?\W-Well, I...\What is it?\Are you disobeying your owner?\Even if your body and abilities are the same...\You are not the real Lucy-dono! response:	Even though I know this...
context: That is very true. Moshimoshi.\So with that settled, would you shoot down that flying cat for me?\W-Well, I...\What is it?\Are you disobeying your owner?\Even if your body and abilities are the same...\You are not the real Lucy-dono!\Even though I know this... response:	Don't do it, Sagittarius!
context: So with that settled, would you shoot down that flying cat for me?\W-Well, I...\What is it?\Are you disobeying your owner?\Even if your body and abilities are the same...\You are not the real Lucy-dono!\Even though I know this...\Don't do it, Sagittarius! response:	L-Lucy-dono...
context: W-Well, I...\What is it?\Are you disobeying your owner?\Even if your body and abilities are the same...\You are not the real Lucy-dono!\Even though I know this...\Don't do it, Sagittarius!\L-Lucy-dono... response:	Understood!
context: What is it?\Are you disobeying your owner?\Even if your body and abilities are the same...\You are not the real Lucy-dono!\Even though I know this...\Don't do it, Sagittarius!\L-Lucy-dono...\Understood! response:	Sagittarius, forced closure!
context: Are you disobeying your owner?\Even if your body and abilities are the same...\You are not the real Lucy-dono!\Even though I know this...\Don't do it, Sagittarius!\L-Lucy-dono...\Understood!\Sagittarius, forced closure! response:	Not gonna work. I summoned him, after all.
context: Even if your body and abilities are the same...\You are not the real Lucy-dono!\Even though I know this...\Don't do it, Sagittarius!\L-Lucy-dono...\Understood!\Sagittarius, forced closure!\Not gonna work. I summoned him, after all. response:	Only I can do a forced closure.
context: You are not the real Lucy-dono!\Even though I know this...\Don't do it, Sagittarius!\L-Lucy-dono...\Understood!\Sagittarius, forced closure!\Not gonna work. I summoned him, after all.\Only I can do a forced closure. response:	But...
context: Even though I know this...\Don't do it, Sagittarius!\L-Lucy-dono...\Understood!\Sagittarius, forced closure!\Not gonna work. I summoned him, after all.\Only I can do a forced closure.\But... response:	Now, hurry up and shoot that cat!
context: Don't do it, Sagittarius!\L-Lucy-dono...\Understood!\Sagittarius, forced closure!\Not gonna work. I summoned him, after all.\Only I can do a forced closure.\But...\Now, hurry up and shoot that cat! response:	Oh, don't worry about her.
context: L-Lucy-dono...\Understood!\Sagittarius, forced closure!\Not gonna work. I summoned him, after all.\Only I can do a forced closure.\But...\Now, hurry up and shoot that cat!\Oh, don't worry about her. response:	Now that we've found Nirvana, that brat's role is over.
context: Understood!\Sagittarius, forced closure!\Not gonna work. I summoned him, after all.\Only I can do a forced closure.\But...\Now, hurry up and shoot that cat!\Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over. response:	Oh, I see!
context: Sagittarius, forced closure!\Not gonna work. I summoned him, after all.\Only I can do a forced closure.\But...\Now, hurry up and shoot that cat!\Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over.\Oh, I see! response:	Sagittarius!
context: Not gonna work. I summoned him, after all.\Only I can do a forced closure.\But...\Now, hurry up and shoot that cat!\Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over.\Oh, I see!\Sagittarius! response:	Lucy-dono... Next time I'll be more helpful, really!
context: Only I can do a forced closure.\But...\Now, hurry up and shoot that cat!\Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over.\Oh, I see!\Sagittarius!\Lucy-dono... Next time I'll be more helpful, really! response:	Moshimoshi...
context: But...\Now, hurry up and shoot that cat!\Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over.\Oh, I see!\Sagittarius!\Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi... response:	Hi, Lucy-chan!
context: Now, hurry up and shoot that cat!\Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over.\Oh, I see!\Sagittarius!\Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi...\Hi, Lucy-chan! response:	Angel-chan is here!
context: Oh, don't worry about her.\Now that we've found Nirvana, that brat's role is over.\Oh, I see!\Sagittarius!\Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi...\Hi, Lucy-chan!\Angel-chan is here! response:	You're one of Oracion Seis!
context: Now that we've found Nirvana, that brat's role is over.\Oh, I see!\Sagittarius!\Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi...\Hi, Lucy-chan!\Angel-chan is here!\You're one of Oracion Seis! response:	Yup!
context: Oh, I see!\Sagittarius!\Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi...\Hi, Lucy-chan!\Angel-chan is here!\You're one of Oracion Seis!\Yup! response:	And these guys can copy the body, powers, and thoughts of their opponent completely!
context: Sagittarius!\Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi...\Hi, Lucy-chan!\Angel-chan is here!\You're one of Oracion Seis!\Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely! response:	I'm Gemi!
context: Lucy-dono... Next time I'll be more helpful, really!\Moshimoshi...\Hi, Lucy-chan!\Angel-chan is here!\You're one of Oracion Seis!\Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi! response:	And I'm Mini!
context: Moshimoshi...\Hi, Lucy-chan!\Angel-chan is here!\You're one of Oracion Seis!\Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi!\And I'm Mini! response:	The Twin Spirits, Gemini.
context: Hi, Lucy-chan!\Angel-chan is here!\You're one of Oracion Seis!\Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi!\And I'm Mini!\The Twin Spirits, Gemini. response:	I'm a Celestial Wizard too.
context: Angel-chan is here!\You're one of Oracion Seis!\Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi!\And I'm Mini!\The Twin Spirits, Gemini.\I'm a Celestial Wizard too. response:	A Celestial Wizard? Just like me...
context: You're one of Oracion Seis!\Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi!\And I'm Mini!\The Twin Spirits, Gemini.\I'm a Celestial Wizard too.\A Celestial Wizard? Just like me... response:	Just like it's not certain that we'll fall into darkness,
context: Yup!\And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi!\And I'm Mini!\The Twin Spirits, Gemini.\I'm a Celestial Wizard too.\A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness, response:	Oracion Seis isn't going to turn good so easily either.
context: And these guys can copy the body, powers, and thoughts of their opponent completely!\I'm Gemi!\And I'm Mini!\The Twin Spirits, Gemini.\I'm a Celestial Wizard too.\A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either. response:	Right now, Nirvana's effect doesn't matter!
context: I'm Gemi!\And I'm Mini!\The Twin Spirits, Gemini.\I'm a Celestial Wizard too.\A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter! response:	Hibiki and Natsu can't fight.
context: And I'm Mini!\The Twin Spirits, Gemini.\I'm a Celestial Wizard too.\A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight. response:	I have to do something!
context: The Twin Spirits, Gemini.\I'm a Celestial Wizard too.\A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight.\I have to do something! response:	Thankfully, there's a stream here... with water!
context: I'm a Celestial Wizard too.\A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight.\I have to do something!\Thankfully, there's a stream here... with water! response:	I'd like those keys you have.
context: A Celestial Wizard? Just like me...\Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight.\I have to do something!\Thankfully, there's a stream here... with water!\I'd like those keys you have. response:	I'm going to wipe you out and take your Spirits.
context: Just like it's not certain that we'll fall into darkness,\Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight.\I have to do something!\Thankfully, there's a stream here... with water!\I'd like those keys you have.\I'm going to wipe you out and take your Spirits. response:	I won't let you do that!
context: Oracion Seis isn't going to turn good so easily either.\Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight.\I have to do something!\Thankfully, there's a stream here... with water!\I'd like those keys you have.\I'm going to wipe you out and take your Spirits.\I won't let you do that! response:	Gate of the Water Bearer, I open thee!
context: Right now, Nirvana's effect doesn't matter!\Hibiki and Natsu can't fight.\I have to do something!\Thankfully, there's a stream here... with water!\I'd like those keys you have.\I'm going to wipe you out and take your Spirits.\I won't let you do that!\Gate of the Water Bearer, I open thee! response:	Gemini, gate closure.
context: Hibiki and Natsu can't fight.\I have to do something!\Thankfully, there's a stream here... with water!\I'd like those keys you have.\I'm going to wipe you out and take your Spirits.\I won't let you do that!\Gate of the Water Bearer, I open thee!\Gemini, gate closure. response:	Aquarius!
context: I have to do something!\Thankfully, there's a stream here... with water!\I'd like those keys you have.\I'm going to wipe you out and take your Spirits.\I won't let you do that!\Gate of the Water Bearer, I open thee!\Gemini, gate closure.\Aquarius! response:	Get her! I don't care if I get swept up in it!
context: Thankfully, there's a stream here... with water!\I'd like those keys you have.\I'm going to wipe you out and take your Spirits.\I won't let you do that!\Gate of the Water Bearer, I open thee!\Gemini, gate closure.\Aquarius!\Get her! I don't care if I get swept up in it! response:	That's what I was intending from the start.
context: I'd like those keys you have.\I'm going to wipe you out and take your Spirits.\I won't let you do that!\Gate of the Water Bearer, I open thee!\Gemini, gate closure.\Aquarius!\Get her! I don't care if I get swept up in it!\That's what I was intending from the start. response:	From the start?
context: I'm going to wipe you out and take your Spirits.\I won't let you do that!\Gate of the Water Bearer, I open thee!\Gemini, gate closure.\Aquarius!\Get her! I don't care if I get swept up in it!\That's what I was intending from the start.\From the start? response:	I blow everyone away!
context: I won't let you do that!\Gate of the Water Bearer, I open thee!\Gemini, gate closure.\Aquarius!\Get her! I don't care if I get swept up in it!\That's what I was intending from the start.\From the start?\I blow everyone away! response:	Gate of the Scorpion, I open thee!
context: Gate of the Water Bearer, I open thee!\Gemini, gate closure.\Aquarius!\Get her! I don't care if I get swept up in it!\That's what I was intending from the start.\From the start?\I blow everyone away!\Gate of the Scorpion, I open thee! response:	The Scorpion? That's one of the Zodiac!
context: Gemini, gate closure.\Aquarius!\Get her! I don't care if I get swept up in it!\That's what I was intending from the start.\From the start?\I blow everyone away!\Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac! response:	Scorpio!
context: Aquarius!\Get her! I don't care if I get swept up in it!\That's what I was intending from the start.\From the start?\I blow everyone away!\Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac!\Scorpio! response:	We are! Yeah!
context: Get her! I don't care if I get swept up in it!\That's what I was intending from the start.\From the start?\I blow everyone away!\Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac!\Scorpio!\We are! Yeah! response:	Scorpio!
context: That's what I was intending from the start.\From the start?\I blow everyone away!\Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac!\Scorpio!\We are! Yeah!\Scorpio! response:	What?!
context: From the start?\I blow everyone away!\Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac!\Scorpio!\We are! Yeah!\Scorpio!\What?! response:	We are! How you been, Aquarius?
context: I blow everyone away!\Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac!\Scorpio!\We are! Yeah!\Scorpio!\What?!\We are! How you been, Aquarius? response:	It's been a while, yeah!
context: Gate of the Scorpion, I open thee!\The Scorpion? That's one of the Zodiac!\Scorpio!\We are! Yeah!\Scorpio!\What?!\We are! How you been, Aquarius?\It's been a while, yeah! response:	I was so lonely! *sob-sob*
context: The Scorpion? That's one of the Zodiac!\Scorpio!\We are! Yeah!\Scorpio!\What?!\We are! How you been, Aquarius?\It's been a while, yeah!\I was so lonely! *sob-sob* response:	Don't tell me... That boyfriend you talk about...
context: Scorpio!\We are! Yeah!\Scorpio!\What?!\We are! How you been, Aquarius?\It's been a while, yeah!\I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about... response:	Yup! This is him!
context: We are! Yeah!\Scorpio!\What?!\We are! How you been, Aquarius?\It's been a while, yeah!\I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about...\Yup! This is him! response:	We are!
context: Scorpio!\What?!\We are! How you been, Aquarius?\It's been a while, yeah!\I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about...\Yup! This is him!\We are! response:	How do you do, Aquarius's owner?
context: What?!\We are! How you been, Aquarius?\It's been a while, yeah!\I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about...\Yup! This is him!\We are!\How do you do, Aquarius's owner? response:	Yeah!
context: We are! How you been, Aquarius?\It's been a while, yeah!\I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about...\Yup! This is him!\We are!\How do you do, Aquarius's owner?\Yeah! response:	Bam! And wait, what does this do to Aquarius's character?
context: It's been a while, yeah!\I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about...\Yup! This is him!\We are!\How do you do, Aquarius's owner?\Yeah!\Bam! And wait, what does this do to Aquarius's character? response:	Just try saying something negative about my Scorpio...
context: I was so lonely! *sob-sob*\Don't tell me... That boyfriend you talk about...\Yup! This is him!\We are!\How do you do, Aquarius's owner?\Yeah!\Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio... response:	You ain't never gonna recover, you got it?
context: Don't tell me... That boyfriend you talk about...\Yup! This is him!\We are!\How do you do, Aquarius's owner?\Yeah!\Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it? response:	Yes.
context: Yup! This is him!\We are!\How do you do, Aquarius's owner?\Yeah!\Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it?\Yes. response:	She was totally serious!
context: We are!\How do you do, Aquarius's owner?\Yeah!\Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it?\Yes.\She was totally serious! response:	We are! There's a restaurant where we can see Aurora...
context: How do you do, Aquarius's owner?\Yeah!\Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it?\Yes.\She was totally serious!\We are! There's a restaurant where we can see Aurora... response:	So anyway, can I go back, Angel?
context: Yeah!\Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it?\Yes.\She was totally serious!\We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel? response:	Yeah...
context: Bam! And wait, what does this do to Aquarius's character?\Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it?\Yes.\She was totally serious!\We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel?\Yeah... response:	Go ahead!
context: Just try saying something negative about my Scorpio...\You ain't never gonna recover, you got it?\Yes.\She was totally serious!\We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel?\Yeah...\Go ahead! response:	Aquarius, wait!
context: You ain't never gonna recover, you got it?\Yes.\She was totally serious!\We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel?\Yeah...\Go ahead!\Aquarius, wait! response:	A little girl who doesn't even know about the relationship between Spirits...
context: Yes.\She was totally serious!\We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel?\Yeah...\Go ahead!\Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits... response:	What'll I do? My most powerful Spirit is blocked...
context: She was totally serious!\We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel?\Yeah...\Go ahead!\Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked... response:	Wait! I have another one!
context: We are! There's a restaurant where we can see Aurora...\So anyway, can I go back, Angel?\Yeah...\Go ahead!\Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked...\Wait! I have another one! response:	The most powerful Spirit!
context: So anyway, can I go back, Angel?\Yeah...\Go ahead!\Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked...\Wait! I have another one!\The most powerful Spirit! response:	Your prince has arrived.
context: Yeah...\Go ahead!\Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked...\Wait! I have another one!\The most powerful Spirit!\Your prince has arrived. response:	L-Leo?
context: Go ahead!\Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked...\Wait! I have another one!\The most powerful Spirit!\Your prince has arrived.\L-Leo? response:	Please! If you don't defeat her, then the guild will be...
context: Aquarius, wait!\A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked...\Wait! I have another one!\The most powerful Spirit!\Your prince has arrived.\L-Leo?\Please! If you don't defeat her, then the guild will be... response:	No sweat.
context: A little girl who doesn't even know about the relationship between Spirits...\What'll I do? My most powerful Spirit is blocked...\Wait! I have another one!\The most powerful Spirit!\Your prince has arrived.\L-Leo?\Please! If you don't defeat her, then the guild will be...\No sweat. response:	Perhaps I didn't tell you?
context: What'll I do? My most powerful Spirit is blocked...\Wait! I have another one!\The most powerful Spirit!\Your prince has arrived.\L-Leo?\Please! If you don't defeat her, then the guild will be...\No sweat.\Perhaps I didn't tell you? response:	What's most important is the relationship between the Spirits.
context: Wait! I have another one!\The most powerful Spirit!\Your prince has arrived.\L-Leo?\Please! If you don't defeat her, then the guild will be...\No sweat.\Perhaps I didn't tell you?\What's most important is the relationship between the Spirits. response:	Gate of the Ram, I open thee.
context: The most powerful Spirit!\Your prince has arrived.\L-Leo?\Please! If you don't defeat her, then the guild will be...\No sweat.\Perhaps I didn't tell you?\What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee. response:	Aries!
context: Your prince has arrived.\L-Leo?\Please! If you don't defeat her, then the guild will be...\No sweat.\Perhaps I didn't tell you?\What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee.\Aries! response:	I'm sorry, Leo...
context: L-Leo?\Please! If you don't defeat her, then the guild will be...\No sweat.\Perhaps I didn't tell you?\What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee.\Aries!\I'm sorry, Leo... response:	Aries?
context: Please! If you don't defeat her, then the guild will be...\No sweat.\Perhaps I didn't tell you?\What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee.\Aries!\I'm sorry, Leo...\Aries? response:	She was... Karen's...
context: No sweat.\Perhaps I didn't tell you?\What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee.\Aries!\I'm sorry, Leo...\Aries?\She was... Karen's... response:	Karen's Spirit Aries...
context: Perhaps I didn't tell you?\What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee.\Aries!\I'm sorry, Leo...\Aries?\She was... Karen's...\Karen's Spirit Aries... response:	Why is she here?
context: What's most important is the relationship between the Spirits.\Gate of the Ram, I open thee.\Aries!\I'm sorry, Leo...\Aries?\She was... Karen's...\Karen's Spirit Aries...\Why is she here? response:	Loke can't fight like this!
context: Gate of the Ram, I open thee.\Aries!\I'm sorry, Leo...\Aries?\She was... Karen's...\Karen's Spirit Aries...\Why is she here?\Loke can't fight like this! response:	Aries...
context: Aries!\I'm sorry, Leo...\Aries?\She was... Karen's...\Karen's Spirit Aries...\Why is she here?\Loke can't fight like this!\Aries... response:	Karen's Spirit?
context: I'm sorry, Leo...\Aries?\She was... Karen's...\Karen's Spirit Aries...\Why is she here?\Loke can't fight like this!\Aries...\Karen's Spirit? response:	Why do you have Karen's Spirit?
context: Aries?\She was... Karen's...\Karen's Spirit Aries...\Why is she here?\Loke can't fight like this!\Aries...\Karen's Spirit?\Why do you have Karen's Spirit? response:	Because I'm the one that offed her!
context: She was... Karen's...\Karen's Spirit Aries...\Why is she here?\Loke can't fight like this!\Aries...\Karen's Spirit?\Why do you have Karen's Spirit?\Because I'm the one that offed her! response:	This here is just the spoils of battle.
context: Karen's Spirit Aries...\Why is she here?\Loke can't fight like this!\Aries...\Karen's Spirit?\Why do you have Karen's Spirit?\Because I'm the one that offed her!\This here is just the spoils of battle. response:	I'm sorry!
context: Why is she here?\Loke can't fight like this!\Aries...\Karen's Spirit?\Why do you have Karen's Spirit?\Because I'm the one that offed her!\This here is just the spoils of battle.\I'm sorry! response:	Even though that woman didn't have much magic power,
context: Loke can't fight like this!\Aries...\Karen's Spirit?\Why do you have Karen's Spirit?\Because I'm the one that offed her!\This here is just the spoils of battle.\I'm sorry!\Even though that woman didn't have much magic power, response:	she tried to force a simultaneous release of two spirits.
context: Aries...\Karen's Spirit?\Why do you have Karen's Spirit?\Because I'm the one that offed her!\This here is just the spoils of battle.\I'm sorry!\Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits. response:	She did herself in.
context: Karen's Spirit?\Why do you have Karen's Spirit?\Because I'm the one that offed her!\This here is just the spoils of battle.\I'm sorry!\Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits.\She did herself in. response:	Although I was the one that finished her off.
context: Why do you have Karen's Spirit?\Because I'm the one that offed her!\This here is just the spoils of battle.\I'm sorry!\Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits.\She did herself in.\Although I was the one that finished her off. response:	I've taken the keys of all kinds of Celestial Wizards that I've wiped out.
context: Because I'm the one that offed her!\This here is just the spoils of battle.\I'm sorry!\Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits.\She did herself in.\Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out. response:	I'm also gonna take those Spirits you use.
context: This here is just the spoils of battle.\I'm sorry!\Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits.\She did herself in.\Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use. response:	Karen...
