context: This is the place, right? response:	Yep, I looked it up on the internet.
context: That was a one-word card!\Aren't those supposed to be mine?!\But you were too slow.\For you, I head out to the fields to pick spring greens\One of mine!\now together, I guard it dear\Darn, I guessed wrong.\It's okay. response:	while snow falls upon my sleeves
context: Aren't those supposed to be mine?!\But you were too slow.\For you, I head out to the fields to pick spring greens\One of mine!\now together, I guard it dear\Darn, I guessed wrong.\It's okay.\while snow falls upon my sleeves response:	I took the right card.
context: But you were too slow.\For you, I head out to the fields to pick spring greens\One of mine!\now together, I guard it dear\Darn, I guessed wrong.\It's okay.\while snow falls upon my sleeves\I took the right card. response:	But we touched the wrong card,
context: For you, I head out to the fields to pick spring greens\One of mine!\now together, I guard it dear\Darn, I guessed wrong.\It's okay.\while snow falls upon my sleeves\I took the right card.\But we touched the wrong card, response:	so they get to pass one of theirs to us.
context: One of mine!\now together, I guard it dear\Darn, I guessed wrong.\It's okay.\while snow falls upon my sleeves\I took the right card.\But we touched the wrong card,\so they get to pass one of theirs to us. response:	It's a wash.
context: now together, I guard it dear\Darn, I guessed wrong.\It's okay.\while snow falls upon my sleeves\I took the right card.\But we touched the wrong card,\so they get to pass one of theirs to us.\It's a wash. response:	I'll help you on the long shot cards.
context: Darn, I guessed wrong.\It's okay.\while snow falls upon my sleeves\I took the right card.\But we touched the wrong card,\so they get to pass one of theirs to us.\It's a wash.\I'll help you on the long shot cards. response:	Even if you take the wrong card, we still won't fall behind.
context: It's okay.\while snow falls upon my sleeves\I took the right card.\But we touched the wrong card,\so they get to pass one of theirs to us.\It's a wash.\I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind. response:	Th-This isn't called playing as a team, you bastard!
context: while snow falls upon my sleeves\I took the right card.\But we touched the wrong card,\so they get to pass one of theirs to us.\It's a wash.\I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard! response:	He doesn't trust us to do anything!
context: I took the right card.\But we touched the wrong card,\so they get to pass one of theirs to us.\It's a wash.\I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything! response:	Doctor?!
context: But we touched the wrong card,\so they get to pass one of theirs to us.\It's a wash.\I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything!\Doctor?! response:	He's celebrating this lucky pickup, right?
context: so they get to pass one of theirs to us.\It's a wash.\I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything!\Doctor?!\He's celebrating this lucky pickup, right? response:	The boy with the glasses is more than just good.
context: It's a wash.\I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything!\Doctor?!\He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good. response:	Rain takes longer to dry in the autumn time
context: I'll help you on the long shot cards.\Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything!\Doctor?!\He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time response:	He took my card again!
context: Even if you take the wrong card, we still won't fall behind.\Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything!\Doctor?!\He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time\He took my card again! response:	I'm so mad!
context: Th-This isn't called playing as a team, you bastard!\He doesn't trust us to do anything!\Doctor?!\He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time\He took my card again!\I'm so mad! response:	I won't lose next time!
context: He doesn't trust us to do anything!\Doctor?!\He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time\He took my card again!\I'm so mad!\I won't lose next time! response:	Why?
context: Doctor?!\He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time\He took my card again!\I'm so mad!\I won't lose next time!\Why? response:	There's no reason to be upset when he's so much better.
context: He's celebrating this lucky pickup, right?\The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time\He took my card again!\I'm so mad!\I won't lose next time!\Why?\There's no reason to be upset when he's so much better. response:	Chihaya...
context: The boy with the glasses is more than just good.\Rain takes longer to dry in the autumn time\He took my card again!\I'm so mad!\I won't lose next time!\Why?\There's no reason to be upset when he's so much better.\Chihaya... response:	There's no reason to try so hard.
context: Rain takes longer to dry in the autumn time\He took my card again!\I'm so mad!\I won't lose next time!\Why?\There's no reason to be upset when he's so much better.\Chihaya...\There's no reason to try so hard. response:	Wataya said that he wanted to play as a team,
context: He took my card again!\I'm so mad!\I won't lose next time!\Why?\There's no reason to be upset when he's so much better.\Chihaya...\There's no reason to try so hard.\Wataya said that he wanted to play as a team, response:	but he wasn't expecting anything from us.
context: I'm so mad!\I won't lose next time!\Why?\There's no reason to be upset when he's so much better.\Chihaya...\There's no reason to try so hard.\Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us. response:	He wasn't expecting anything.
context: I won't lose next time!\Why?\There's no reason to be upset when he's so much better.\Chihaya...\There's no reason to try so hard.\Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us.\He wasn't expecting anything. response:	The hazy early morning mist over the Kawagiri River
context: Why?\There's no reason to be upset when he's so much better.\Chihaya...\There's no reason to try so hard.\Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us.\He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River response:	Awesome! I got the right card, Wataya!
context: There's no reason to be upset when he's so much better.\Chihaya...\There's no reason to try so hard.\Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us.\He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya! response:	but from the crystal white snow of Yoshino
context: Chihaya...\There's no reason to try so hard.\Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us.\He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino response:	That's the other the hazy early morning card.
context: There's no reason to try so hard.\Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us.\He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino\That's the other the hazy early morning card. response:	Nice job, Taichi!
context: Wataya said that he wanted to play as a team,\but he wasn't expecting anything from us.\He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino\That's the other the hazy early morning card.\Nice job, Taichi! response:	Huh?
context: but he wasn't expecting anything from us.\He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino\That's the other the hazy early morning card.\Nice job, Taichi!\Huh? response:	Listen.
context: He wasn't expecting anything.\The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino\That's the other the hazy early morning card.\Nice job, Taichi!\Huh?\Listen. response:	Listen.
context: The hazy early morning mist over the Kawagiri River\Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino\That's the other the hazy early morning card.\Nice job, Taichi!\Huh?\Listen.\Listen. response:	Listen.
context: Awesome! I got the right card, Wataya!\but from the crystal white snow of Yoshino\That's the other the hazy early morning card.\Nice job, Taichi!\Huh?\Listen.\Listen.\Listen. response:	hence the name fall leaves
context: but from the crystal white snow of Yoshino\That's the other the hazy early morning card.\Nice job, Taichi!\Huh?\Listen.\Listen.\Listen.\hence the name fall leaves response:	I did it!
context: That's the other the hazy early morning card.\Nice job, Taichi!\Huh?\Listen.\Listen.\Listen.\hence the name fall leaves\I did it! response:	I finally got a card!
context: Nice job, Taichi!\Huh?\Listen.\Listen.\Listen.\hence the name fall leaves\I did it!\I finally got a card! response:	Sorry, Doctor! Did that hurt?!
context: Huh?\Listen.\Listen.\Listen.\hence the name fall leaves\I did it!\I finally got a card!\Sorry, Doctor! Did that hurt?! response:	Was that supposed to be gust of wind?
context: Listen.\Listen.\Listen.\hence the name fall leaves\I did it!\I finally got a card!\Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind? response:	No...
context: Listen.\Listen.\hence the name fall leaves\I did it!\I finally got a card!\Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind?\No... response:	I couldn't hear the gust.
context: Listen.\hence the name fall leaves\I did it!\I finally got a card!\Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind?\No...\I couldn't hear the gust. response:	Doctor! This is the first time I've ever taken
context: hence the name fall leaves\I did it!\I finally got a card!\Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind?\No...\I couldn't hear the gust.\Doctor! This is the first time I've ever taken response:	a card the way the real players do!
context: I did it!\I finally got a card!\Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind?\No...\I couldn't hear the gust.\Doctor! This is the first time I've ever taken\a card the way the real players do! response:	My first card!
context: I finally got a card!\Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind?\No...\I couldn't hear the gust.\Doctor! This is the first time I've ever taken\a card the way the real players do!\My first card! response:	A room full of experienced adults,
context: Sorry, Doctor! Did that hurt?!\Was that supposed to be gust of wind?\No...\I couldn't hear the gust.\Doctor! This is the first time I've ever taken\a card the way the real players do!\My first card!\A room full of experienced adults, response:	and she was the only one who moved.
context: Was that supposed to be gust of wind?\No...\I couldn't hear the gust.\Doctor! This is the first time I've ever taken\a card the way the real players do!\My first card!\A room full of experienced adults,\and she was the only one who moved. response:	My first card.
context: No...\I couldn't hear the gust.\Doctor! This is the first time I've ever taken\a card the way the real players do!\My first card!\A room full of experienced adults,\and she was the only one who moved.\My first card. response:	hence the name fall leaves
context: I couldn't hear the gust.\Doctor! This is the first time I've ever taken\a card the way the real players do!\My first card!\A room full of experienced adults,\and she was the only one who moved.\My first card.\hence the name fall leaves response:	Karuta feels so good!
context: Doctor! This is the first time I've ever taken\a card the way the real players do!\My first card!\A room full of experienced adults,\and she was the only one who moved.\My first card.\hence the name fall leaves\Karuta feels so good! response:	That's what happened last time.
context: a card the way the real players do!\My first card!\A room full of experienced adults,\and she was the only one who moved.\My first card.\hence the name fall leaves\Karuta feels so good!\That's what happened last time. response:	I didn't drop my guard or anything.
context: My first card!\A room full of experienced adults,\and she was the only one who moved.\My first card.\hence the name fall leaves\Karuta feels so good!\That's what happened last time.\I didn't drop my guard or anything. response:	I lose to Chihaya when it comes to first syllable cards?
context: A room full of experienced adults,\and she was the only one who moved.\My first card.\hence the name fall leaves\Karuta feels so good!\That's what happened last time.\I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards? response:	Th-These kids are fun!
context: and she was the only one who moved.\My first card.\hence the name fall leaves\Karuta feels so good!\That's what happened last time.\I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun! response:	hence the name fall leaves
context: My first card.\hence the name fall leaves\Karuta feels so good!\That's what happened last time.\I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun!\hence the name fall leaves response:	Thank you very much!
context: hence the name fall leaves\Karuta feels so good!\That's what happened last time.\I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun!\hence the name fall leaves\Thank you very much! response:	I only took one card!
context: Karuta feels so good!\That's what happened last time.\I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun!\hence the name fall leaves\Thank you very much!\I only took one card! response:	Stop it, guys.
context: That's what happened last time.\I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun!\hence the name fall leaves\Thank you very much!\I only took one card!\Stop it, guys. response:	Only five cards...
context: I didn't drop my guard or anything.\I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun!\hence the name fall leaves\Thank you very much!\I only took one card!\Stop it, guys.\Only five cards... response:	Retro-kun... Oh, sorry.
context: I lose to Chihaya when it comes to first syllable cards?\Th-These kids are fun!\hence the name fall leaves\Thank you very much!\I only took one card!\Stop it, guys.\Only five cards...\Retro-kun... Oh, sorry. response:	Hiro-kun...
context: Th-These kids are fun!\hence the name fall leaves\Thank you very much!\I only took one card!\Stop it, guys.\Only five cards...\Retro-kun... Oh, sorry.\Hiro-kun... response:	Tell me your names.
context: hence the name fall leaves\Thank you very much!\I only took one card!\Stop it, guys.\Only five cards...\Retro-kun... Oh, sorry.\Hiro-kun...\Tell me your names. response:	Are you going to join the Karuta Society?
context: Thank you very much!\I only took one card!\Stop it, guys.\Only five cards...\Retro-kun... Oh, sorry.\Hiro-kun...\Tell me your names.\Are you going to join the Karuta Society? response:	I will!
context: I only took one card!\Stop it, guys.\Only five cards...\Retro-kun... Oh, sorry.\Hiro-kun...\Tell me your names.\Are you going to join the Karuta Society?\I will! response:	I'm Wataya Arata! A sixth-grader!
context: Stop it, guys.\Only five cards...\Retro-kun... Oh, sorry.\Hiro-kun...\Tell me your names.\Are you going to join the Karuta Society?\I will!\I'm Wataya Arata! A sixth-grader! response:	Wataya Arata?!
context: Only five cards...\Retro-kun... Oh, sorry.\Hiro-kun...\Tell me your names.\Are you going to join the Karuta Society?\I will!\I'm Wataya Arata! A sixth-grader!\Wataya Arata?! response:	He's won the national championship for his grade the past five years!
context: Retro-kun... Oh, sorry.\Hiro-kun...\Tell me your names.\Are you going to join the Karuta Society?\I will!\I'm Wataya Arata! A sixth-grader!\Wataya Arata?!\He's won the national championship for his grade the past five years! response:	Huh?
context: Hiro-kun...\Tell me your names.\Are you going to join the Karuta Society?\I will!\I'm Wataya Arata! A sixth-grader!\Wataya Arata?!\He's won the national championship for his grade the past five years!\Huh? response:	That's not all.
context: Tell me your names.\Are you going to join the Karuta Society?\I will!\I'm Wataya Arata! A sixth-grader!\Wataya Arata?!\He's won the national championship for his grade the past five years!\Huh?\That's not all. response:	The name Wataya is...
context: Are you going to join the Karuta Society?\I will!\I'm Wataya Arata! A sixth-grader!\Wataya Arata?!\He's won the national championship for his grade the past five years!\Huh?\That's not all.\The name Wataya is... response:	Is he the grandson of the Eternal Master from Fukui,
context: I will!\I'm Wataya Arata! A sixth-grader!\Wataya Arata?!\He's won the national championship for his grade the past five years!\Huh?\That's not all.\The name Wataya is...\Is he the grandson of the Eternal Master from Fukui, response:	Wataya Hajime, who won seven straight years in the 80s?!
context: I'm Wataya Arata! A sixth-grader!\Wataya Arata?!\He's won the national championship for his grade the past five years!\Huh?\That's not all.\The name Wataya is...\Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?! response:	And what about you kids?
context: Wataya Arata?!\He's won the national championship for his grade the past five years!\Huh?\That's not all.\The name Wataya is...\Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids? response:	Uh... I'm, well...
context: He's won the national championship for his grade the past five years!\Huh?\That's not all.\The name Wataya is...\Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids?\Uh... I'm, well... response:	Doctor, Doctor!
context: Huh?\That's not all.\The name Wataya is...\Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids?\Uh... I'm, well...\Doctor, Doctor! response:	Hmm?
context: That's not all.\The name Wataya is...\Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids?\Uh... I'm, well...\Doctor, Doctor!\Hmm? response:	I can't memorize the cards!
context: The name Wataya is...\Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids?\Uh... I'm, well...\Doctor, Doctor!\Hmm?\I can't memorize the cards! response:	I get more confused when there are more cards!
context: Is he the grandson of the Eternal Master from Fukui,\Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids?\Uh... I'm, well...\Doctor, Doctor!\Hmm?\I can't memorize the cards!\I get more confused when there are more cards! response:	I can never memorize 100 of them!
context: Wataya Hajime, who won seven straight years in the 80s?!\And what about you kids?\Uh... I'm, well...\Doctor, Doctor!\Hmm?\I can't memorize the cards!\I get more confused when there are more cards!\I can never memorize 100 of them! response:	Really now?
context: And what about you kids?\Uh... I'm, well...\Doctor, Doctor!\Hmm?\I can't memorize the cards!\I get more confused when there are more cards!\I can never memorize 100 of them!\Really now? response:	But I'm sure there are a few you have perfectly memorized.
context: Uh... I'm, well...\Doctor, Doctor!\Hmm?\I can't memorize the cards!\I get more confused when there are more cards!\I can never memorize 100 of them!\Really now?\But I'm sure there are a few you have perfectly memorized. response:	There's the gust of wind card I took today.
context: Doctor, Doctor!\Hmm?\I can't memorize the cards!\I get more confused when there are more cards!\I can never memorize 100 of them!\Really now?\But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today. response:	And then there's the chihaya furu card!
context: Hmm?\I can't memorize the cards!\I get more confused when there are more cards!\I can never memorize 100 of them!\Really now?\But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today.\And then there's the chihaya furu card! response:	Wataya-kun said that the card has the same name as me!
context: I can't memorize the cards!\I get more confused when there are more cards!\I can never memorize 100 of them!\Really now?\But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today.\And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me! response:	Uh-huh.
context: I get more confused when there are more cards!\I can never memorize 100 of them!\Really now?\But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today.\And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me!\Uh-huh. response:	You will learn to take the cards you are
context: I can never memorize 100 of them!\Really now?\But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today.\And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me!\Uh-huh.\You will learn to take the cards you are response:	most attached to faster than anyone else can.
context: Really now?\But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today.\And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me!\Uh-huh.\You will learn to take the cards you are\most attached to faster than anyone else can. response:	There are a total of 100 poems in Hundred Poets.
context: But I'm sure there are a few you have perfectly memorized.\There's the gust of wind card I took today.\And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me!\Uh-huh.\You will learn to take the cards you are\most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets. response:	Think of it as making 100 new friends.
context: There's the gust of wind card I took today.\And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me!\Uh-huh.\You will learn to take the cards you are\most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends. response:	What about you, Eyebrows?
context: And then there's the chihaya furu card!\Wataya-kun said that the card has the same name as me!\Uh-huh.\You will learn to take the cards you are\most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends.\What about you, Eyebrows? response:	Uh, er... I have cram school...
context: Wataya-kun said that the card has the same name as me!\Uh-huh.\You will learn to take the cards you are\most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends.\What about you, Eyebrows?\Uh, er... I have cram school... response:	But I'll come!
context: Uh-huh.\You will learn to take the cards you are\most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends.\What about you, Eyebrows?\Uh, er... I have cram school...\But I'll come! response:	I'll come when I can!
context: You will learn to take the cards you are\most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends.\What about you, Eyebrows?\Uh, er... I have cram school...\But I'll come!\I'll come when I can! response:	There's a tournament in March.
context: most attached to faster than anyone else can.\There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends.\What about you, Eyebrows?\Uh, er... I have cram school...\But I'll come!\I'll come when I can!\There's a tournament in March. response:	You should practice for it.
context: There are a total of 100 poems in Hundred Poets.\Think of it as making 100 new friends.\What about you, Eyebrows?\Uh, er... I have cram school...\But I'll come!\I'll come when I can!\There's a tournament in March.\You should practice for it. response:	Tournament?
context: Think of it as making 100 new friends.\What about you, Eyebrows?\Uh, er... I have cram school...\But I'll come!\I'll come when I can!\There's a tournament in March.\You should practice for it.\Tournament? response:	It's for teams of three.
context: What about you, Eyebrows?\Uh, er... I have cram school...\But I'll come!\I'll come when I can!\There's a tournament in March.\You should practice for it.\Tournament?\It's for teams of three. response:	It'll be the last tournament you can participate in as 6th graders.
context: Uh, er... I have cram school...\But I'll come!\I'll come when I can!\There's a tournament in March.\You should practice for it.\Tournament?\It's for teams of three.\It'll be the last tournament you can participate in as 6th graders. response:	I wanna participate!
context: But I'll come!\I'll come when I can!\There's a tournament in March.\You should practice for it.\Tournament?\It's for teams of three.\It'll be the last tournament you can participate in as 6th graders.\I wanna participate! response:	Right, Taichi?
context: I'll come when I can!\There's a tournament in March.\You should practice for it.\Tournament?\It's for teams of three.\It'll be the last tournament you can participate in as 6th graders.\I wanna participate!\Right, Taichi? response:	The three of us will win together, right?
context: There's a tournament in March.\You should practice for it.\Tournament?\It's for teams of three.\It'll be the last tournament you can participate in as 6th graders.\I wanna participate!\Right, Taichi?\The three of us will win together, right? response:	Yep!
context: You should practice for it.\Tournament?\It's for teams of three.\It'll be the last tournament you can participate in as 6th graders.\I wanna participate!\Right, Taichi?\The three of us will win together, right?\Yep! response:	But in this tournament...
context: Tournament?\It's for teams of three.\It'll be the last tournament you can participate in as 6th graders.\I wanna participate!\Right, Taichi?\The three of us will win together, right?\Yep!\But in this tournament... response:	We'll be playing individually instead of together.
context: It's for teams of three.\It'll be the last tournament you can participate in as 6th graders.\I wanna participate!\Right, Taichi?\The three of us will win together, right?\Yep!\But in this tournament...\We'll be playing individually instead of together. response:	Two of us have to win.
context: It'll be the last tournament you can participate in as 6th graders.\I wanna participate!\Right, Taichi?\The three of us will win together, right?\Yep!\But in this tournament...\We'll be playing individually instead of together.\Two of us have to win. response:	I know I'll win,
context: I wanna participate!\Right, Taichi?\The three of us will win together, right?\Yep!\But in this tournament...\We'll be playing individually instead of together.\Two of us have to win.\I know I'll win, response:	but can either of you win a match?
context: Right, Taichi?\The three of us will win together, right?\Yep!\But in this tournament...\We'll be playing individually instead of together.\Two of us have to win.\I know I'll win,\but can either of you win a match? response:	We'll need to train!
context: The three of us will win together, right?\Yep!\But in this tournament...\We'll be playing individually instead of together.\Two of us have to win.\I know I'll win,\but can either of you win a match?\We'll need to train! response:	Train?
context: Yep!\But in this tournament...\We'll be playing individually instead of together.\Two of us have to win.\I know I'll win,\but can either of you win a match?\We'll need to train!\Train? response:	Train!
context: But in this tournament...\We'll be playing individually instead of together.\Two of us have to win.\I know I'll win,\but can either of you win a match?\We'll need to train!\Train?\Train! response:	Train!
context: We'll be playing individually instead of together.\Two of us have to win.\I know I'll win,\but can either of you win a match?\We'll need to train!\Train?\Train!\Train! response:	I'm home!
context: Two of us have to win.\I know I'll win,\but can either of you win a match?\We'll need to train!\Train?\Train!\Train!\I'm home! response:	You're late!
context: I know I'll win,\but can either of you win a match?\We'll need to train!\Train?\Train!\Train!\I'm home!\You're late! response:	I have an audition for a commercial tomorrow,
context: but can either of you win a match?\We'll need to train!\Train?\Train!\Train!\I'm home!\You're late!\I have an audition for a commercial tomorrow, response:	so they bought me a bunch of clothes.
context: We'll need to train!\Train?\Train!\Train!\I'm home!\You're late!\I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes. response:	Isn't this nice?
context: Train?\Train!\Train!\I'm home!\You're late!\I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes.\Isn't this nice? response:	Nice!
context: Train!\Train!\I'm home!\You're late!\I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes.\Isn't this nice?\Nice! response:	I also like this outfit.
context: Train!\I'm home!\You're late!\I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes.\Isn't this nice?\Nice!\I also like this outfit. response:	Me too!
context: I'm home!\You're late!\I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes.\Isn't this nice?\Nice!\I also like this outfit.\Me too! response:	Chihaya is her sister's number one fan.
context: You're late!\I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes.\Isn't this nice?\Nice!\I also like this outfit.\Me too!\Chihaya is her sister's number one fan. response:	Is your dream still to see your sister become the best in Japan?
context: I have an audition for a commercial tomorrow,\so they bought me a bunch of clothes.\Isn't this nice?\Nice!\I also like this outfit.\Me too!\Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan? response:	Chihaya?
context: so they bought me a bunch of clothes.\Isn't this nice?\Nice!\I also like this outfit.\Me too!\Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan?\Chihaya? response:	Sorry, Sis.
context: Isn't this nice?\Nice!\I also like this outfit.\Me too!\Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan?\Chihaya?\Sorry, Sis. response:	There's something else I want to do!
context: Nice!\I also like this outfit.\Me too!\Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan?\Chihaya?\Sorry, Sis.\There's something else I want to do! response:	Huh?
context: I also like this outfit.\Me too!\Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan?\Chihaya?\Sorry, Sis.\There's something else I want to do!\Huh? response:	As I wait for someone,
context: Me too!\Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan?\Chihaya?\Sorry, Sis.\There's something else I want to do!\Huh?\As I wait for someone, response:	my body burns like the seaweed...
context: Chihaya is her sister's number one fan.\Is your dream still to see your sister become the best in Japan?\Chihaya?\Sorry, Sis.\There's something else I want to do!\Huh?\As I wait for someone,\my body burns like the seaweed... response:	What is she thinking?
context: Is your dream still to see your sister become the best in Japan?\Chihaya?\Sorry, Sis.\There's something else I want to do!\Huh?\As I wait for someone,\my body burns like the seaweed...\What is she thinking? response:	Waiting for burnt seaweed... Waiting for burnt seaweed...
context: Chihaya?\Sorry, Sis.\There's something else I want to do!\Huh?\As I wait for someone,\my body burns like the seaweed...\What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed... response:	I don't see a problem.
context: Sorry, Sis.\There's something else I want to do!\Huh?\As I wait for someone,\my body burns like the seaweed...\What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem. response:	At least she's found something she's interested in.
context: There's something else I want to do!\Huh?\As I wait for someone,\my body burns like the seaweed...\What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem.\At least she's found something she's interested in. response:	She has nothing to gain from it.
context: Huh?\As I wait for someone,\my body burns like the seaweed...\What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem.\At least she's found something she's interested in.\She has nothing to gain from it. response:	What?
context: As I wait for someone,\my body burns like the seaweed...\What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem.\At least she's found something she's interested in.\She has nothing to gain from it.\What? response:	Chihaya should just keep gushing about how great I am.
context: my body burns like the seaweed...\What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem.\At least she's found something she's interested in.\She has nothing to gain from it.\What?\Chihaya should just keep gushing about how great I am. response:	A mountain stream...
context: What is she thinking?\Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem.\At least she's found something she's interested in.\She has nothing to gain from it.\What?\Chihaya should just keep gushing about how great I am.\A mountain stream... response:	Your motion needs to be sharp and straight.
context: Waiting for burnt seaweed... Waiting for burnt seaweed...\I don't see a problem.\At least she's found something she's interested in.\She has nothing to gain from it.\What?\Chihaya should just keep gushing about how great I am.\A mountain stream...\Your motion needs to be sharp and straight. response:	Waiting for burnt seaweed... Waiting for burnt seaweed...
