context: Four years ago... response:	Back when the darkness of night was a far bluer hue than now...
context: are the two of you here today for a meeting?\Dazai just happened to be here when I walked in.\I just had a feeling I'd run into you two\if I came here tonight.\Did you need something from us?\Nothing really.\I just thought\tonight might become the usual night if I did come. response:	That's all.
context: Dazai just happened to be here when I walked in.\I just had a feeling I'd run into you two\if I came here tonight.\Did you need something from us?\Nothing really.\I just thought\tonight might become the usual night if I did come.\That's all. response:	What are we toasting?
context: I just had a feeling I'd run into you two\if I came here tonight.\Did you need something from us?\Nothing really.\I just thought\tonight might become the usual night if I did come.\That's all.\What are we toasting? response:	Anything's fine.
context: if I came here tonight.\Did you need something from us?\Nothing really.\I just thought\tonight might become the usual night if I did come.\That's all.\What are we toasting?\Anything's fine. response:	I don't really need a reason.
context: Did you need something from us?\Nothing really.\I just thought\tonight might become the usual night if I did come.\That's all.\What are we toasting?\Anything's fine.\I don't really need a reason. response:	To the stray dogs.
context: Nothing really.\I just thought\tonight might become the usual night if I did come.\That's all.\What are we toasting?\Anything's fine.\I don't really need a reason.\To the stray dogs. response:	To the stray dogs.
context: I just thought\tonight might become the usual night if I did come.\That's all.\What are we toasting?\Anything's fine.\I don't really need a reason.\To the stray dogs.\To the stray dogs. response:	Hey, Ango, do you have a camera in your bag by any chance?
context: tonight might become the usual night if I did come.\That's all.\What are we toasting?\Anything's fine.\I don't really need a reason.\To the stray dogs.\To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance? response:	Yeah, though it's for work.
context: That's all.\What are we toasting?\Anything's fine.\I don't really need a reason.\To the stray dogs.\To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work. response:	Let's take a photo to remember.
context: What are we toasting?\Anything's fine.\I don't really need a reason.\To the stray dogs.\To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work.\Let's take a photo to remember. response:	To remember?
context: Anything's fine.\I don't really need a reason.\To the stray dogs.\To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work.\Let's take a photo to remember.\To remember? response:	Remember what?
context: I don't really need a reason.\To the stray dogs.\To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work.\Let's take a photo to remember.\To remember?\Remember what? response:	That the three of us were gathered here today.
context: To the stray dogs.\To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work.\Let's take a photo to remember.\To remember?\Remember what?\That the three of us were gathered here today. response:	But the three of us are always drinking here.
context: To the stray dogs.\Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work.\Let's take a photo to remember.\To remember?\Remember what?\That the three of us were gathered here today.\But the three of us are always drinking here. response:	As the executive wishes.
context: Hey, Ango, do you have a camera in your bag by any chance?\Yeah, though it's for work.\Let's take a photo to remember.\To remember?\Remember what?\That the three of us were gathered here today.\But the three of us are always drinking here.\As the executive wishes. response:	Make sure you take a good photo of me.
context: Yeah, though it's for work.\Let's take a photo to remember.\To remember?\Remember what?\That the three of us were gathered here today.\But the three of us are always drinking here.\As the executive wishes.\Make sure you take a good photo of me. response:	Taking it from this angle makes me look more manly.
context: Let's take a photo to remember.\To remember?\Remember what?\That the three of us were gathered here today.\But the three of us are always drinking here.\As the executive wishes.\Make sure you take a good photo of me.\Taking it from this angle makes me look more manly. response:	Dazai Osamu
context: To remember?\Remember what?\That the three of us were gathered here today.\But the three of us are always drinking here.\As the executive wishes.\Make sure you take a good photo of me.\Taking it from this angle makes me look more manly.\Dazai Osamu response:	Ability: No Longer Human
context: Remember what?\That the three of us were gathered here today.\But the three of us are always drinking here.\As the executive wishes.\Make sure you take a good photo of me.\Taking it from this angle makes me look more manly.\Dazai Osamu\Ability: No Longer Human response:	Sakaguchi Ango
context: That the three of us were gathered here today.\But the three of us are always drinking here.\As the executive wishes.\Make sure you take a good photo of me.\Taking it from this angle makes me look more manly.\Dazai Osamu\Ability: No Longer Human\Sakaguchi Ango response:	I don't need my photo taken.
context: But the three of us are always drinking here.\As the executive wishes.\Make sure you take a good photo of me.\Taking it from this angle makes me look more manly.\Dazai Osamu\Ability: No Longer Human\Sakaguchi Ango\I don't need my photo taken. response:	Ability: Discourse on Decadence
context: As the executive wishes.\Make sure you take a good photo of me.\Taking it from this angle makes me look more manly.\Dazai Osamu\Ability: No Longer Human\Sakaguchi Ango\I don't need my photo taken.\Ability: Discourse on Decadence response:	Oda Sakunosuke
context: Make sure you take a good photo of me.\Taking it from this angle makes me look more manly.\Dazai Osamu\Ability: No Longer Human\Sakaguchi Ango\I don't need my photo taken.\Ability: Discourse on Decadence\Oda Sakunosuke response:	Ability: Flawless
context: Taking it from this angle makes me look more manly.\Dazai Osamu\Ability: No Longer Human\Sakaguchi Ango\I don't need my photo taken.\Ability: Discourse on Decadence\Oda Sakunosuke\Ability: Flawless response:	Why do you want photos all of a sudden?
context: Dazai Osamu\Ability: No Longer Human\Sakaguchi Ango\I don't need my photo taken.\Ability: Discourse on Decadence\Oda Sakunosuke\Ability: Flawless\Why do you want photos all of a sudden? response:	I just feel like if we don't do it now,
context: Ability: No Longer Human\Sakaguchi Ango\I don't need my photo taken.\Ability: Discourse on Decadence\Oda Sakunosuke\Ability: Flawless\Why do you want photos all of a sudden?\I just feel like if we don't do it now, response:	there'll be nothing left to show that we hung out like this.
context: Sakaguchi Ango\I don't need my photo taken.\Ability: Discourse on Decadence\Oda Sakunosuke\Ability: Flawless\Why do you want photos all of a sudden?\I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this. response:	Odasaku, the camera.
context: I don't need my photo taken.\Ability: Discourse on Decadence\Oda Sakunosuke\Ability: Flawless\Why do you want photos all of a sudden?\I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this.\Odasaku, the camera. response:	And it turned out just like he said.
context: Ability: Discourse on Decadence\Oda Sakunosuke\Ability: Flawless\Why do you want photos all of a sudden?\I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this.\Odasaku, the camera.\And it turned out just like he said. response:	That day became the last time that we could record
context: Oda Sakunosuke\Ability: Flawless\Why do you want photos all of a sudden?\I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this.\Odasaku, the camera.\And it turned out just like he said.\That day became the last time that we could record response:	the invisible something we shared between us in a photograph.
context: Ability: Flawless\Why do you want photos all of a sudden?\I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this.\Odasaku, the camera.\And it turned out just like he said.\That day became the last time that we could record\the invisible something we shared between us in a photograph. response:	Because one of us died soon after.
context: Why do you want photos all of a sudden?\I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this.\Odasaku, the camera.\And it turned out just like he said.\That day became the last time that we could record\the invisible something we shared between us in a photograph.\Because one of us died soon after. response:	The lowest-ranking member would never
context: I just feel like if we don't do it now,\there'll be nothing left to show that we hung out like this.\Odasaku, the camera.\And it turned out just like he said.\That day became the last time that we could record\the invisible something we shared between us in a photograph.\Because one of us died soon after.\The lowest-ranking member would never response:	enter the Port Mafia headquarters under normal circumstances.
context: there'll be nothing left to show that we hung out like this.\Odasaku, the camera.\And it turned out just like he said.\That day became the last time that we could record\the invisible something we shared between us in a photograph.\Because one of us died soon after.\The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances. response:	No one knows what he wants from me,
context: Odasaku, the camera.\And it turned out just like he said.\That day became the last time that we could record\the invisible something we shared between us in a photograph.\Because one of us died soon after.\The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me, response:	but, as far as this organization is concerned, his word is absolute.
context: And it turned out just like he said.\That day became the last time that we could record\the invisible something we shared between us in a photograph.\Because one of us died soon after.\The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute. response:	I'm Oda.
context: That day became the last time that we could record\the invisible something we shared between us in a photograph.\Because one of us died soon after.\The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute.\I'm Oda. response:	I am here because I received a summons from the boss.
context: the invisible something we shared between us in a photograph.\Because one of us died soon after.\The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute.\I'm Oda.\I am here because I received a summons from the boss. response:	I'm Oda.
context: Because one of us died soon after.\The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute.\I'm Oda.\I am here because I received a summons from the boss.\I'm Oda. response:	Boss, it's Oda.
context: The lowest-ranking member would never\enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute.\I'm Oda.\I am here because I received a summons from the boss.\I'm Oda.\Boss, it's Oda. response:	I'm coming in.
context: enter the Port Mafia headquarters under normal circumstances.\No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute.\I'm Oda.\I am here because I received a summons from the boss.\I'm Oda.\Boss, it's Oda.\I'm coming in. response:	Come on, Elise-chan.
context: No one knows what he wants from me,\but, as far as this organization is concerned, his word is absolute.\I'm Oda.\I am here because I received a summons from the boss.\I'm Oda.\Boss, it's Oda.\I'm coming in.\Come on, Elise-chan. response:	Please wear the dress.
context: but, as far as this organization is concerned, his word is absolute.\I'm Oda.\I am here because I received a summons from the boss.\I'm Oda.\Boss, it's Oda.\I'm coming in.\Come on, Elise-chan.\Please wear the dress. response:	Just for a little bit!
context: I'm Oda.\I am here because I received a summons from the boss.\I'm Oda.\Boss, it's Oda.\I'm coming in.\Come on, Elise-chan.\Please wear the dress.\Just for a little bit! response:	Just put it on for a quick second!
context: I am here because I received a summons from the boss.\I'm Oda.\Boss, it's Oda.\I'm coming in.\Come on, Elise-chan.\Please wear the dress.\Just for a little bit!\Just put it on for a quick second! response:	I don't want to!
context: I'm Oda.\Boss, it's Oda.\I'm coming in.\Come on, Elise-chan.\Please wear the dress.\Just for a little bit!\Just put it on for a quick second!\I don't want to! response:	Never!
context: Boss, it's Oda.\I'm coming in.\Come on, Elise-chan.\Please wear the dress.\Just for a little bit!\Just put it on for a quick second!\I don't want to!\Never! response:	Come on, Elise-chan.
context: I'm coming in.\Come on, Elise-chan.\Please wear the dress.\Just for a little bit!\Just put it on for a quick second!\I don't want to!\Never!\Come on, Elise-chan. response:	Please try it on, okay?
context: Come on, Elise-chan.\Please wear the dress.\Just for a little bit!\Just put it on for a quick second!\I don't want to!\Never!\Come on, Elise-chan.\Please try it on, okay? response:	I put a lot of thought into picking it out.
context: Please wear the dress.\Just for a little bit!\Just put it on for a quick second!\I don't want to!\Never!\Come on, Elise-chan.\Please try it on, okay?\I put a lot of thought into picking it out. response:	Look at these crimson frills!
context: Just for a little bit!\Just put it on for a quick second!\I don't want to!\Never!\Come on, Elise-chan.\Please try it on, okay?\I put a lot of thought into picking it out.\Look at these crimson frills! response:	They're like flower petals!
context: Just put it on for a quick second!\I don't want to!\Never!\Come on, Elise-chan.\Please try it on, okay?\I put a lot of thought into picking it out.\Look at these crimson frills!\They're like flower petals! response:	I'm sure you'll look great in it.
context: I don't want to!\Never!\Come on, Elise-chan.\Please try it on, okay?\I put a lot of thought into picking it out.\Look at these crimson frills!\They're like flower petals!\I'm sure you'll look great in it. response:	I don't dislike pretty clothes.
context: Never!\Come on, Elise-chan.\Please try it on, okay?\I put a lot of thought into picking it out.\Look at these crimson frills!\They're like flower petals!\I'm sure you'll look great in it.\I don't dislike pretty clothes. response:	But I hate your desperation, Rintaro!
context: Come on, Elise-chan.\Please try it on, okay?\I put a lot of thought into picking it out.\Look at these crimson frills!\They're like flower petals!\I'm sure you'll look great in it.\I don't dislike pretty clothes.\But I hate your desperation, Rintaro! response:	Boss.
context: Please try it on, okay?\I put a lot of thought into picking it out.\Look at these crimson frills!\They're like flower petals!\I'm sure you'll look great in it.\I don't dislike pretty clothes.\But I hate your desperation, Rintaro!\Boss. response:	I came under your orders.
context: I put a lot of thought into picking it out.\Look at these crimson frills!\They're like flower petals!\I'm sure you'll look great in it.\I don't dislike pretty clothes.\But I hate your desperation, Rintaro!\Boss.\I came under your orders. response:	So, Oda-kun.
context: Look at these crimson frills!\They're like flower petals!\I'm sure you'll look great in it.\I don't dislike pretty clothes.\But I hate your desperation, Rintaro!\Boss.\I came under your orders.\So, Oda-kun. response:	Yes, Boss.
context: They're like flower petals!\I'm sure you'll look great in it.\I don't dislike pretty clothes.\But I hate your desperation, Rintaro!\Boss.\I came under your orders.\So, Oda-kun.\Yes, Boss. response:	You did not see anything, understand?
context: I'm sure you'll look great in it.\I don't dislike pretty clothes.\But I hate your desperation, Rintaro!\Boss.\I came under your orders.\So, Oda-kun.\Yes, Boss.\You did not see anything, understand? response:	Yes, I did not see anything.
context: I don't dislike pretty clothes.\But I hate your desperation, Rintaro!\Boss.\I came under your orders.\So, Oda-kun.\Yes, Boss.\You did not see anything, understand?\Yes, I did not see anything. response:	You made time for someone like me,
context: But I hate your desperation, Rintaro!\Boss.\I came under your orders.\So, Oda-kun.\Yes, Boss.\You did not see anything, understand?\Yes, I did not see anything.\You made time for someone like me, response:	even though you were busy getting a young girl to change her clothes.
context: Boss.\I came under your orders.\So, Oda-kun.\Yes, Boss.\You did not see anything, understand?\Yes, I did not see anything.\You made time for someone like me,\even though you were busy getting a young girl to change her clothes. response:	Why did you call me here?
context: I came under your orders.\So, Oda-kun.\Yes, Boss.\You did not see anything, understand?\Yes, I did not see anything.\You made time for someone like me,\even though you were busy getting a young girl to change her clothes.\Why did you call me here? response:	Well...
context: So, Oda-kun.\Yes, Boss.\You did not see anything, understand?\Yes, I did not see anything.\You made time for someone like me,\even though you were busy getting a young girl to change her clothes.\Why did you call me here?\Well... response:	Never mind.
context: Yes, Boss.\You did not see anything, understand?\Yes, I did not see anything.\You made time for someone like me,\even though you were busy getting a young girl to change her clothes.\Why did you call me here?\Well...\Never mind. response:	I called you here for one reason and one reason alone.
context: You did not see anything, understand?\Yes, I did not see anything.\You made time for someone like me,\even though you were busy getting a young girl to change her clothes.\Why did you call me here?\Well...\Never mind.\I called you here for one reason and one reason alone. response:	I need you to find someone.
context: Yes, I did not see anything.\You made time for someone like me,\even though you were busy getting a young girl to change her clothes.\Why did you call me here?\Well...\Never mind.\I called you here for one reason and one reason alone.\I need you to find someone. response:	Find someone?
context: You made time for someone like me,\even though you were busy getting a young girl to change her clothes.\Why did you call me here?\Well...\Never mind.\I called you here for one reason and one reason alone.\I need you to find someone.\Find someone? response:	You're asking me, an ordinary member?
context: even though you were busy getting a young girl to change her clothes.\Why did you call me here?\Well...\Never mind.\I called you here for one reason and one reason alone.\I need you to find someone.\Find someone?\You're asking me, an ordinary member? response:	I've heard good things about you.
context: Why did you call me here?\Well...\Never mind.\I called you here for one reason and one reason alone.\I need you to find someone.\Find someone?\You're asking me, an ordinary member?\I've heard good things about you. response:	I want to ask you specifically to carry out this job.
context: Well...\Never mind.\I called you here for one reason and one reason alone.\I need you to find someone.\Find someone?\You're asking me, an ordinary member?\I've heard good things about you.\I want to ask you specifically to carry out this job. response:	The missing person is Sakaguchi Ango-kun, an intelligence officer.
context: Never mind.\I called you here for one reason and one reason alone.\I need you to find someone.\Find someone?\You're asking me, an ordinary member?\I've heard good things about you.\I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer. response:	Ango-kun went missing last night.
context: I called you here for one reason and one reason alone.\I need you to find someone.\Find someone?\You're asking me, an ordinary member?\I've heard good things about you.\I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night. response:	He never got home.
context: I need you to find someone.\Find someone?\You're asking me, an ordinary member?\I've heard good things about you.\I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night.\He never got home. response:	He may have chosen to vanish of his own free will,
context: Find someone?\You're asking me, an ordinary member?\I've heard good things about you.\I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night.\He never got home.\He may have chosen to vanish of his own free will, response:	or he may have been abducted. We do not know which is the case.
context: You're asking me, an ordinary member?\I've heard good things about you.\I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night.\He never got home.\He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case. response:	As you well know, Ango-kun is a Port Mafia intelligence officer.
context: I've heard good things about you.\I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night.\He never got home.\He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer. response:	His head is full of secrets that would be enough
context: I want to ask you specifically to carry out this job.\The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night.\He never got home.\He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough response:	to crush us if he were to sell them to other organizations.
context: The missing person is Sakaguchi Ango-kun, an intelligence officer.\Ango-kun went missing last night.\He never got home.\He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations. response:	However...
context: Ango-kun went missing last night.\He never got home.\He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations.\However... response:	Even if that were not the case,
context: He never got home.\He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations.\However...\Even if that were not the case, response:	Ango-kun is a competent and important staff member to me.
context: He may have chosen to vanish of his own free will,\or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations.\However...\Even if that were not the case,\Ango-kun is a competent and important staff member to me. response:	I want to help him if something has happened.
context: or he may have been abducted. We do not know which is the case.\As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations.\However...\Even if that were not the case,\Ango-kun is a competent and important staff member to me.\I want to help him if something has happened. response:	This is the Silver Oracle.
context: As you well know, Ango-kun is a Port Mafia intelligence officer.\His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations.\However...\Even if that were not the case,\Ango-kun is a competent and important staff member to me.\I want to help him if something has happened.\This is the Silver Oracle. response:	Take it.
context: His head is full of secrets that would be enough\to crush us if he were to sell them to other organizations.\However...\Even if that were not the case,\Ango-kun is a competent and important staff member to me.\I want to help him if something has happened.\This is the Silver Oracle.\Take it. response:	Show this to anyone in the organization,
context: to crush us if he were to sell them to other organizations.\However...\Even if that were not the case,\Ango-kun is a competent and important staff member to me.\I want to help him if something has happened.\This is the Silver Oracle.\Take it.\Show this to anyone in the organization, response:	and you'll receive some form of assistance.
context: However...\Even if that were not the case,\Ango-kun is a competent and important staff member to me.\I want to help him if something has happened.\This is the Silver Oracle.\Take it.\Show this to anyone in the organization,\and you'll receive some form of assistance. response:	You can even order executives around.
context: Even if that were not the case,\Ango-kun is a competent and important staff member to me.\I want to help him if something has happened.\This is the Silver Oracle.\Take it.\Show this to anyone in the organization,\and you'll receive some form of assistance.\You can even order executives around. response:	I've heard that you have personal relations with an executive named Dazai-kun.
context: Ango-kun is a competent and important staff member to me.\I want to help him if something has happened.\This is the Silver Oracle.\Take it.\Show this to anyone in the organization,\and you'll receive some form of assistance.\You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun. response:	A friendship that surpasses hierarchical bounds, I see.
context: I want to help him if something has happened.\This is the Silver Oracle.\Take it.\Show this to anyone in the organization,\and you'll receive some form of assistance.\You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see. response:	His capabilities are astounding.
context: This is the Silver Oracle.\Take it.\Show this to anyone in the organization,\and you'll receive some form of assistance.\You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding. response:	In four, five years,
context: Take it.\Show this to anyone in the organization,\and you'll receive some form of assistance.\You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding.\In four, five years, response:	I'm sure he'll have killed me to sit on the throne himself.
context: Show this to anyone in the organization,\and you'll receive some form of assistance.\You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding.\In four, five years,\I'm sure he'll have killed me to sit on the throne himself. response:	Oda-kun...
context: and you'll receive some form of assistance.\You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding.\In four, five years,\I'm sure he'll have killed me to sit on the throne himself.\Oda-kun... response:	Yes, Boss?
context: You can even order executives around.\I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding.\In four, five years,\I'm sure he'll have killed me to sit on the throne himself.\Oda-kun...\Yes, Boss? response:	Rumors have it that you've never killed anyone with that gun of yours.
context: I've heard that you have personal relations with an executive named Dazai-kun.\A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding.\In four, five years,\I'm sure he'll have killed me to sit on the throne himself.\Oda-kun...\Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours. response:	Why is that?
context: A friendship that surpasses hierarchical bounds, I see.\His capabilities are astounding.\In four, five years,\I'm sure he'll have killed me to sit on the throne himself.\Oda-kun...\Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours.\Why is that? response:	Are you commanding me as the leader of our organization to respond?
context: His capabilities are astounding.\In four, five years,\I'm sure he'll have killed me to sit on the throne himself.\Oda-kun...\Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours.\Why is that?\Are you commanding me as the leader of our organization to respond? response:	No, it's a personal question. Just simple curiosity.
context: In four, five years,\I'm sure he'll have killed me to sit on the throne himself.\Oda-kun...\Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours.\Why is that?\Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity. response:	Then I prefer not to answer.
context: I'm sure he'll have killed me to sit on the throne himself.\Oda-kun...\Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours.\Why is that?\Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity.\Then I prefer not to answer. response:	Very well.
context: Oda-kun...\Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours.\Why is that?\Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity.\Then I prefer not to answer.\Very well. response:	Go.
context: Yes, Boss?\Rumors have it that you've never killed anyone with that gun of yours.\Why is that?\Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity.\Then I prefer not to answer.\Very well.\Go. response:	I await good news.
context: Rumors have it that you've never killed anyone with that gun of yours.\Why is that?\Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity.\Then I prefer not to answer.\Very well.\Go.\I await good news. response:	Ensure that the city police do not hear of this.
context: Why is that?\Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity.\Then I prefer not to answer.\Very well.\Go.\I await good news.\Ensure that the city police do not hear of this. response:	Call the cleaners, too.
context: Are you commanding me as the leader of our organization to respond?\No, it's a personal question. Just simple curiosity.\Then I prefer not to answer.\Very well.\Go.\I await good news.\Ensure that the city police do not hear of this.\Call the cleaners, too. response:	They need to transport the bodies.
context: No, it's a personal question. Just simple curiosity.\Then I prefer not to answer.\Very well.\Go.\I await good news.\Ensure that the city police do not hear of this.\Call the cleaners, too.\They need to transport the bodies. response:	Find out if these three have families.
context: Then I prefer not to answer.\Very well.\Go.\I await good news.\Ensure that the city police do not hear of this.\Call the cleaners, too.\They need to transport the bodies.\Find out if these three have families. response:	If they do, I'll contact them.
context: Very well.\Go.\I await good news.\Ensure that the city police do not hear of this.\Call the cleaners, too.\They need to transport the bodies.\Find out if these three have families.\If they do, I'll contact them. response:	Also, an executive will be here shortly.
context: Go.\I await good news.\Ensure that the city police do not hear of this.\Call the cleaners, too.\They need to transport the bodies.\Find out if these three have families.\If they do, I'll contact them.\Also, an executive will be here shortly. response:	Good morning, everyone!
context: I await good news.\Ensure that the city police do not hear of this.\Call the cleaners, too.\They need to transport the bodies.\Find out if these three have families.\If they do, I'll contact them.\Also, an executive will be here shortly.\Good morning, everyone! response:	Hang on just one second.
context: Ensure that the city police do not hear of this.\Call the cleaners, too.\They need to transport the bodies.\Find out if these three have families.\If they do, I'll contact them.\Also, an executive will be here shortly.\Good morning, everyone!\Hang on just one second. response:	I'm about to clear this difficult level.
context: Call the cleaners, too.\They need to transport the bodies.\Find out if these three have families.\If they do, I'll contact them.\Also, an executive will be here shortly.\Good morning, everyone!\Hang on just one second.\I'm about to clear this difficult level. response:	Oh, crap! He's ahead!
context: They need to transport the bodies.\Find out if these three have families.\If they do, I'll contact them.\Also, an executive will be here shortly.\Good morning, everyone!\Hang on just one second.\I'm about to clear this difficult level.\Oh, crap! He's ahead! response:	Take this attack!
context: Find out if these three have families.\If they do, I'll contact them.\Also, an executive will be here shortly.\Good morning, everyone!\Hang on just one second.\I'm about to clear this difficult level.\Oh, crap! He's ahead!\Take this attack! response:	Damn, he dodged it!
context: If they do, I'll contact them.\Also, an executive will be here shortly.\Good morning, everyone!\Hang on just one second.\I'm about to clear this difficult level.\Oh, crap! He's ahead!\Take this attack!\Damn, he dodged it! response:	Dazai-dono, thank you for taking the trouble to come out here.
context: Also, an executive will be here shortly.\Good morning, everyone!\Hang on just one second.\I'm about to clear this difficult level.\Oh, crap! He's ahead!\Take this attack!\Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here. response:	Our armory guards were killed.
context: Good morning, everyone!\Hang on just one second.\I'm about to clear this difficult level.\Oh, crap! He's ahead!\Take this attack!\Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here.\Our armory guards were killed. response:	It's been a while since we last
context: Hang on just one second.\I'm about to clear this difficult level.\Oh, crap! He's ahead!\Take this attack!\Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here.\Our armory guards were killed.\It's been a while since we last response:	had anyone reckless enough to target a Port Mafia armory.
context: I'm about to clear this difficult level.\Oh, crap! He's ahead!\Take this attack!\Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here.\Our armory guards were killed.\It's been a while since we last\had anyone reckless enough to target a Port Mafia armory. response:	Each died on the spot after being hit with between ten and twenty 9mm rounds.
context: Oh, crap! He's ahead!\Take this attack!\Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here.\Our armory guards were killed.\It's been a while since we last\had anyone reckless enough to target a Port Mafia armory.\Each died on the spot after being hit with between ten and twenty 9mm rounds. response:	Firearms were taken from the armory.
context: Take this attack!\Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here.\Our armory guards were killed.\It's been a while since we last\had anyone reckless enough to target a Port Mafia armory.\Each died on the spot after being hit with between ten and twenty 9mm rounds.\Firearms were taken from the armory. response:	Then I'll go take a look.
context: Damn, he dodged it!\Dazai-dono, thank you for taking the trouble to come out here.\Our armory guards were killed.\It's been a while since we last\had anyone reckless enough to target a Port Mafia armory.\Each died on the spot after being hit with between ten and twenty 9mm rounds.\Firearms were taken from the armory.\Then I'll go take a look. response:	Take care of this, will you?
