context: Sorry about that. response:	There's a pickled plum in it.
context: She's not here yet.\And we were taking our time getting up here, too.\W-Wait!\To be late today of all days...\You really are amazing, Manaka.\Huh?\Seriously. She really may be the greatest of us all.\Um... response:	You guys aren't complimenting me... right?
context: And we were taking our time getting up here, too.\W-Wait!\To be late today of all days...\You really are amazing, Manaka.\Huh?\Seriously. She really may be the greatest of us all.\Um...\You guys aren't complimenting me... right? response:	Duh.
context: W-Wait!\To be late today of all days...\You really are amazing, Manaka.\Huh?\Seriously. She really may be the greatest of us all.\Um...\You guys aren't complimenting me... right?\Duh. response:	Jeez...
context: To be late today of all days...\You really are amazing, Manaka.\Huh?\Seriously. She really may be the greatest of us all.\Um...\You guys aren't complimenting me... right?\Duh.\Jeez... response:	But Grandma was falling out of her futon.
context: You really are amazing, Manaka.\Huh?\Seriously. She really may be the greatest of us all.\Um...\You guys aren't complimenting me... right?\Duh.\Jeez...\But Grandma was falling out of her futon. response:	Well, well...
context: Huh?\Seriously. She really may be the greatest of us all.\Um...\You guys aren't complimenting me... right?\Duh.\Jeez...\But Grandma was falling out of her futon.\Well, well... response:	You're all quite lively considering we're all about to sleep.
context: Seriously. She really may be the greatest of us all.\Um...\You guys aren't complimenting me... right?\Duh.\Jeez...\But Grandma was falling out of her futon.\Well, well...\You're all quite lively considering we're all about to sleep. response:	Uroko-sama...
context: Um...\You guys aren't complimenting me... right?\Duh.\Jeez...\But Grandma was falling out of her futon.\Well, well...\You're all quite lively considering we're all about to sleep.\Uroko-sama... response:	We came to say our greetings.
context: You guys aren't complimenting me... right?\Duh.\Jeez...\But Grandma was falling out of her futon.\Well, well...\You're all quite lively considering we're all about to sleep.\Uroko-sama...\We came to say our greetings. response:	We're about to go do the Ofunehiki.
context: Duh.\Jeez...\But Grandma was falling out of her futon.\Well, well...\You're all quite lively considering we're all about to sleep.\Uroko-sama...\We came to say our greetings.\We're about to go do the Ofunehiki. response:	You said it'd be pointless, but we're going to do it anyway.
context: Jeez...\But Grandma was falling out of her futon.\Well, well...\You're all quite lively considering we're all about to sleep.\Uroko-sama...\We came to say our greetings.\We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway. response:	Do as you wish.
context: But Grandma was falling out of her futon.\Well, well...\You're all quite lively considering we're all about to sleep.\Uroko-sama...\We came to say our greetings.\We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway.\Do as you wish. response:	I will not be able to change anything.
context: Well, well...\You're all quite lively considering we're all about to sleep.\Uroko-sama...\We came to say our greetings.\We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway.\Do as you wish.\I will not be able to change anything. response:	However, all of you may actually be able to change something.
context: You're all quite lively considering we're all about to sleep.\Uroko-sama...\We came to say our greetings.\We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway.\Do as you wish.\I will not be able to change anything.\However, all of you may actually be able to change something. response:	Yes.
context: Uroko-sama...\We came to say our greetings.\We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway.\Do as you wish.\I will not be able to change anything.\However, all of you may actually be able to change something.\Yes. response:	Apparently you've grown before I even realized it, as well.
context: We came to say our greetings.\We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway.\Do as you wish.\I will not be able to change anything.\However, all of you may actually be able to change something.\Yes.\Apparently you've grown before I even realized it, as well. response:	Dad...
context: We're about to go do the Ofunehiki.\You said it'd be pointless, but we're going to do it anyway.\Do as you wish.\I will not be able to change anything.\However, all of you may actually be able to change something.\Yes.\Apparently you've grown before I even realized it, as well.\Dad... response:	Go.
context: You said it'd be pointless, but we're going to do it anyway.\Do as you wish.\I will not be able to change anything.\However, all of you may actually be able to change something.\Yes.\Apparently you've grown before I even realized it, as well.\Dad...\Go. response:	I have nothing more to say to you.
context: Do as you wish.\I will not be able to change anything.\However, all of you may actually be able to change something.\Yes.\Apparently you've grown before I even realized it, as well.\Dad...\Go.\I have nothing more to say to you. response:	Only... Since this started because of what you said...
context: I will not be able to change anything.\However, all of you may actually be able to change something.\Yes.\Apparently you've grown before I even realized it, as well.\Dad...\Go.\I have nothing more to say to you.\Only... Since this started because of what you said... response:	Make sure you don't run away, no matter what happens.
context: However, all of you may actually be able to change something.\Yes.\Apparently you've grown before I even realized it, as well.\Dad...\Go.\I have nothing more to say to you.\Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens. response:	You don't have to tell me that.
context: Yes.\Apparently you've grown before I even realized it, as well.\Dad...\Go.\I have nothing more to say to you.\Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens.\You don't have to tell me that. response:	Tell Akari... to be happy.
context: Apparently you've grown before I even realized it, as well.\Dad...\Go.\I have nothing more to say to you.\Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens.\You don't have to tell me that.\Tell Akari... to be happy. response:	<Ofunehiki Festival>
context: Dad...\Go.\I have nothing more to say to you.\Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens.\You don't have to tell me that.\Tell Akari... to be happy.\<Ofunehiki Festival> response:	It's finally happening.
context: Go.\I have nothing more to say to you.\Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens.\You don't have to tell me that.\Tell Akari... to be happy.\<Ofunehiki Festival>\It's finally happening. response:	A lot happened, but who knew it'd get this big.
context: I have nothing more to say to you.\Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens.\You don't have to tell me that.\Tell Akari... to be happy.\<Ofunehiki Festival>\It's finally happening.\A lot happened, but who knew it'd get this big. response:	It's all thanks to you guys.
context: Only... Since this started because of what you said...\Make sure you don't run away, no matter what happens.\You don't have to tell me that.\Tell Akari... to be happy.\<Ofunehiki Festival>\It's finally happening.\A lot happened, but who knew it'd get this big.\It's all thanks to you guys. response:	Seriously, thank you.
context: Make sure you don't run away, no matter what happens.\You don't have to tell me that.\Tell Akari... to be happy.\<Ofunehiki Festival>\It's finally happening.\A lot happened, but who knew it'd get this big.\It's all thanks to you guys.\Seriously, thank you. response:	What are you being all serious for?
context: You don't have to tell me that.\Tell Akari... to be happy.\<Ofunehiki Festival>\It's finally happening.\A lot happened, but who knew it'd get this big.\It's all thanks to you guys.\Seriously, thank you.\What are you being all serious for? response:	You're embarrassing us! Jeez...
context: Tell Akari... to be happy.\<Ofunehiki Festival>\It's finally happening.\A lot happened, but who knew it'd get this big.\It's all thanks to you guys.\Seriously, thank you.\What are you being all serious for?\You're embarrassing us! Jeez... response:	More importantly, Hikari,
context: <Ofunehiki Festival>\It's finally happening.\A lot happened, but who knew it'd get this big.\It's all thanks to you guys.\Seriously, thank you.\What are you being all serious for?\You're embarrassing us! Jeez...\More importantly, Hikari, response:	are you planning to be the guide of the Ofunehiki dressed like that?
context: It's finally happening.\A lot happened, but who knew it'd get this big.\It's all thanks to you guys.\Seriously, thank you.\What are you being all serious for?\You're embarrassing us! Jeez...\More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that? response:	Why not?
context: A lot happened, but who knew it'd get this big.\It's all thanks to you guys.\Seriously, thank you.\What are you being all serious for?\You're embarrassing us! Jeez...\More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that?\Why not? response:	It's just my school uniform.
context: It's all thanks to you guys.\Seriously, thank you.\What are you being all serious for?\You're embarrassing us! Jeez...\More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that?\Why not?\It's just my school uniform. response:	Nope.
context: Seriously, thank you.\What are you being all serious for?\You're embarrassing us! Jeez...\More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that?\Why not?\It's just my school uniform.\Nope. response:	You're a man of the sea, now.
context: What are you being all serious for?\You're embarrassing us! Jeez...\More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that?\Why not?\It's just my school uniform.\Nope.\You're a man of the sea, now. response:	And the uniform for a man of the sea is...
context: You're embarrassing us! Jeez...\More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that?\Why not?\It's just my school uniform.\Nope.\You're a man of the sea, now.\And the uniform for a man of the sea is... response:	That!
context: More importantly, Hikari,\are you planning to be the guide of the Ofunehiki dressed like that?\Why not?\It's just my school uniform.\Nope.\You're a man of the sea, now.\And the uniform for a man of the sea is...\That! response:	What's up?
context: are you planning to be the guide of the Ofunehiki dressed like that?\Why not?\It's just my school uniform.\Nope.\You're a man of the sea, now.\And the uniform for a man of the sea is...\That!\What's up? response:	Uh, I am a person from the sea, but I'm not a man of the sea...
context: Why not?\It's just my school uniform.\Nope.\You're a man of the sea, now.\And the uniform for a man of the sea is...\That!\What's up?\Uh, I am a person from the sea, but I'm not a man of the sea... response:	Shut up. We're taking you in.
context: It's just my school uniform.\Nope.\You're a man of the sea, now.\And the uniform for a man of the sea is...\That!\What's up?\Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in. response:	Hey, Pops. Could you turn him into a proper man of the sea, too?
context: Nope.\You're a man of the sea, now.\And the uniform for a man of the sea is...\That!\What's up?\Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too? response:	Huh? What?!
context: You're a man of the sea, now.\And the uniform for a man of the sea is...\That!\What's up?\Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?! response:	Mo-Mom... M-Mo-Mom...
context: And the uniform for a man of the sea is...\That!\What's up?\Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?!\Mo-Mom... M-Mo-Mom... response:	M-M-Mom!
context: That!\What's up?\Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?!\Mo-Mom... M-Mo-Mom...\M-M-Mom! response:	I'm sure that'll make Akari-san really happy.
context: What's up?\Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?!\Mo-Mom... M-Mo-Mom...\M-M-Mom!\I'm sure that'll make Akari-san really happy. response:	You... think so?
context: Uh, I am a person from the sea, but I'm not a man of the sea...\Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?!\Mo-Mom... M-Mo-Mom...\M-M-Mom!\I'm sure that'll make Akari-san really happy.\You... think so? response:	Yeah!
context: Shut up. We're taking you in.\Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?!\Mo-Mom... M-Mo-Mom...\M-M-Mom!\I'm sure that'll make Akari-san really happy.\You... think so?\Yeah! response:	Miuna, there's trouble!
context: Hey, Pops. Could you turn him into a proper man of the sea, too?\Huh? What?!\Mo-Mom... M-Mo-Mom...\M-M-Mom!\I'm sure that'll make Akari-san really happy.\You... think so?\Yeah!\Miuna, there's trouble! response:	Akari transformed!
context: Huh? What?!\Mo-Mom... M-Mo-Mom...\M-M-Mom!\I'm sure that'll make Akari-san really happy.\You... think so?\Yeah!\Miuna, there's trouble!\Akari transformed! response:	Miuna, it's amazing! Look!
context: Mo-Mom... M-Mo-Mom...\M-M-Mom!\I'm sure that'll make Akari-san really happy.\You... think so?\Yeah!\Miuna, there's trouble!\Akari transformed!\Miuna, it's amazing! Look! response:	I am...
context: M-M-Mom!\I'm sure that'll make Akari-san really happy.\You... think so?\Yeah!\Miuna, there's trouble!\Akari transformed!\Miuna, it's amazing! Look!\I am... response:	Miuna, Itaru-san, thank you so much for listening to my selfish wish.
context: I'm sure that'll make Akari-san really happy.\You... think so?\Yeah!\Miuna, there's trouble!\Akari transformed!\Miuna, it's amazing! Look!\I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish. response:	It's fine.
context: You... think so?\Yeah!\Miuna, there's trouble!\Akari transformed!\Miuna, it's amazing! Look!\I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine. response:	We're going to be together forever now anyway, right, Aka-cha
context: Yeah!\Miuna, there's trouble!\Akari transformed!\Miuna, it's amazing! Look!\I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine.\We're going to be together forever now anyway, right, Aka-cha response:	M-Mo
context: Miuna, there's trouble!\Akari transformed!\Miuna, it's amazing! Look!\I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine.\We're going to be together forever now anyway, right, Aka-cha\M-Mo response:	I can't!
context: Akari transformed!\Miuna, it's amazing! Look!\I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine.\We're going to be together forever now anyway, right, Aka-cha\M-Mo\I can't! response:	If I look at you now, even though this is just for show,
context: Miuna, it's amazing! Look!\I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine.\We're going to be together forever now anyway, right, Aka-cha\M-Mo\I can't!\If I look at you now, even though this is just for show, response:	I won't be able to let you go marry the Sea God.
context: I am...\Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine.\We're going to be together forever now anyway, right, Aka-cha\M-Mo\I can't!\If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God. response:	So I can't look! I'll never look!
context: Miuna, Itaru-san, thank you so much for listening to my selfish wish.\It's fine.\We're going to be together forever now anyway, right, Aka-cha\M-Mo\I can't!\If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God.\So I can't look! I'll never look! response:	D-Daddy?!
context: It's fine.\We're going to be together forever now anyway, right, Aka-cha\M-Mo\I can't!\If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God.\So I can't look! I'll never look!\D-Daddy?! response:	Aka-chan!
context: We're going to be together forever now anyway, right, Aka-cha\M-Mo\I can't!\If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God.\So I can't look! I'll never look!\D-Daddy?!\Aka-chan! response:	Once this is over, I have something I want to tell you.
context: M-Mo\I can't!\If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God.\So I can't look! I'll never look!\D-Daddy?!\Aka-chan!\Once this is over, I have something I want to tell you. response:	So...
context: I can't!\If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God.\So I can't look! I'll never look!\D-Daddy?!\Aka-chan!\Once this is over, I have something I want to tell you.\So... response:	All right.
context: If I look at you now, even though this is just for show,\I won't be able to let you go marry the Sea God.\So I can't look! I'll never look!\D-Daddy?!\Aka-chan!\Once this is over, I have something I want to tell you.\So...\All right. response:	I'll see you later, then, Miuna.
context: I won't be able to let you go marry the Sea God.\So I can't look! I'll never look!\D-Daddy?!\Aka-chan!\Once this is over, I have something I want to tell you.\So...\All right.\I'll see you later, then, Miuna. response:	Uroko-sama.
context: So I can't look! I'll never look!\D-Daddy?!\Aka-chan!\Once this is over, I have something I want to tell you.\So...\All right.\I'll see you later, then, Miuna.\Uroko-sama. response:	Let us begin.
context: D-Daddy?!\Aka-chan!\Once this is over, I have something I want to tell you.\So...\All right.\I'll see you later, then, Miuna.\Uroko-sama.\Let us begin. response:	Let's go!
context: Aka-chan!\Once this is over, I have something I want to tell you.\So...\All right.\I'll see you later, then, Miuna.\Uroko-sama.\Let us begin.\Let's go! response:	Fishery Cooperative
context: Once this is over, I have something I want to tell you.\So...\All right.\I'll see you later, then, Miuna.\Uroko-sama.\Let us begin.\Let's go!\Fishery Cooperative response:	Akari, accept this.
context: So...\All right.\I'll see you later, then, Miuna.\Uroko-sama.\Let us begin.\Let's go!\Fishery Cooperative\Akari, accept this. response:	It is our gift to you.
context: All right.\I'll see you later, then, Miuna.\Uroko-sama.\Let us begin.\Let's go!\Fishery Cooperative\Akari, accept this.\It is our gift to you. response:	The sea...
context: I'll see you later, then, Miuna.\Uroko-sama.\Let us begin.\Let's go!\Fishery Cooperative\Akari, accept this.\It is our gift to you.\The sea... response:	Dad...
context: Uroko-sama.\Let us begin.\Let's go!\Fishery Cooperative\Akari, accept this.\It is our gift to you.\The sea...\Dad... response:	Wow.
context: Let us begin.\Let's go!\Fishery Cooperative\Akari, accept this.\It is our gift to you.\The sea...\Dad...\Wow. response:	They're being led by sacred fire.
context: Let's go!\Fishery Cooperative\Akari, accept this.\It is our gift to you.\The sea...\Dad...\Wow.\They're being led by sacred fire. response:	Akari...
context: Fishery Cooperative\Akari, accept this.\It is our gift to you.\The sea...\Dad...\Wow.\They're being led by sacred fire.\Akari... response:	Can you see, Sea God?
context: Akari, accept this.\It is our gift to you.\The sea...\Dad...\Wow.\They're being led by sacred fire.\Akari...\Can you see, Sea God? response:	In this wide ocean, we may be small, insignificant beings.
context: It is our gift to you.\The sea...\Dad...\Wow.\They're being led by sacred fire.\Akari...\Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings. response:	But the people of the sea and the people of the surface
context: The sea...\Dad...\Wow.\They're being led by sacred fire.\Akari...\Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface response:	are all doing their best to live.
context: Dad...\Wow.\They're being led by sacred fire.\Akari...\Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface\are all doing their best to live. response:	We all want to be together forever...
context: Wow.\They're being led by sacred fire.\Akari...\Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface\are all doing their best to live.\We all want to be together forever... response:	With the people who are precious to us, forever.
context: They're being led by sacred fire.\Akari...\Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface\are all doing their best to live.\We all want to be together forever...\With the people who are precious to us, forever. response:	So, Sea God, if you're really out there...
context: Akari...\Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface\are all doing their best to live.\We all want to be together forever...\With the people who are precious to us, forever.\So, Sea God, if you're really out there... response:	Please, Sea God.
context: Can you see, Sea God?\In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface\are all doing their best to live.\We all want to be together forever...\With the people who are precious to us, forever.\So, Sea God, if you're really out there...\Please, Sea God. response:	Please...
context: In this wide ocean, we may be small, insignificant beings.\But the people of the sea and the people of the surface\are all doing their best to live.\We all want to be together forever...\With the people who are precious to us, forever.\So, Sea God, if you're really out there...\Please, Sea God.\Please... response:	Hear... Our wish!
context: But the people of the sea and the people of the surface\are all doing their best to live.\We all want to be together forever...\With the people who are precious to us, forever.\So, Sea God, if you're really out there...\Please, Sea God.\Please...\Hear... Our wish! response:	Wh-What is that?
context: are all doing their best to live.\We all want to be together forever...\With the people who are precious to us, forever.\So, Sea God, if you're really out there...\Please, Sea God.\Please...\Hear... Our wish!\Wh-What is that? response:	Could it be...
context: We all want to be together forever...\With the people who are precious to us, forever.\So, Sea God, if you're really out there...\Please, Sea God.\Please...\Hear... Our wish!\Wh-What is that?\Could it be... response:	The Sea God really...
context: With the people who are precious to us, forever.\So, Sea God, if you're really out there...\Please, Sea God.\Please...\Hear... Our wish!\Wh-What is that?\Could it be...\The Sea God really... response:	Akari!
context: So, Sea God, if you're really out there...\Please, Sea God.\Please...\Hear... Our wish!\Wh-What is that?\Could it be...\The Sea God really...\Akari! response:	Akari-san!
context: Please, Sea God.\Please...\Hear... Our wish!\Wh-What is that?\Could it be...\The Sea God really...\Akari!\Akari-san! response:	Mukaido!
context: Please...\Hear... Our wish!\Wh-What is that?\Could it be...\The Sea God really...\Akari!\Akari-san!\Mukaido! response:	Tsumugu-kun!
context: Hear... Our wish!\Wh-What is that?\Could it be...\The Sea God really...\Akari!\Akari-san!\Mukaido!\Tsumugu-kun! response:	Akari-san!
context: Wh-What is that?\Could it be...\The Sea God really...\Akari!\Akari-san!\Mukaido!\Tsumugu-kun!\Akari-san! response:	It's no use...
context: Could it be...\The Sea God really...\Akari!\Akari-san!\Mukaido!\Tsumugu-kun!\Akari-san!\It's no use... response:	It's like my body won't listen to me...
context: The Sea God really...\Akari!\Akari-san!\Mukaido!\Tsumugu-kun!\Akari-san!\It's no use...\It's like my body won't listen to me... response:	Ah...
context: Akari!\Akari-san!\Mukaido!\Tsumugu-kun!\Akari-san!\It's no use...\It's like my body won't listen to me...\Ah... response:	It's so pretty...
context: Akari-san!\Mukaido!\Tsumugu-kun!\Akari-san!\It's no use...\It's like my body won't listen to me...\Ah...\It's so pretty... response:	Uroko-sama! What's going on?!
context: Mukaido!\Tsumugu-kun!\Akari-san!\It's no use...\It's like my body won't listen to me...\Ah...\It's so pretty...\Uroko-sama! What's going on?! response:	Forgive me.
context: Tsumugu-kun!\Akari-san!\It's no use...\It's like my body won't listen to me...\Ah...\It's so pretty...\Uroko-sama! What's going on?!\Forgive me. response:	In the end, I am the scale of the Sea God.
context: Akari-san!\It's no use...\It's like my body won't listen to me...\Ah...\It's so pretty...\Uroko-sama! What's going on?!\Forgive me.\In the end, I am the scale of the Sea God. response:	Hurry!
context: It's no use...\It's like my body won't listen to me...\Ah...\It's so pretty...\Uroko-sama! What's going on?!\Forgive me.\In the end, I am the scale of the Sea God.\Hurry! response:	If we don't get up to the surface soon,
context: It's like my body won't listen to me...\Ah...\It's so pretty...\Uroko-sama! What's going on?!\Forgive me.\In the end, I am the scale of the Sea God.\Hurry!\If we don't get up to the surface soon, response:	Tsumugu-kun will...
context: Ah...\It's so pretty...\Uroko-sama! What's going on?!\Forgive me.\In the end, I am the scale of the Sea God.\Hurry!\If we don't get up to the surface soon,\Tsumugu-kun will... response:	Kaname?
context: It's so pretty...\Uroko-sama! What's going on?!\Forgive me.\In the end, I am the scale of the Sea God.\Hurry!\If we don't get up to the surface soon,\Tsumugu-kun will...\Kaname? response:	One, and...
context: Uroko-sama! What's going on?!\Forgive me.\In the end, I am the scale of the Sea God.\Hurry!\If we don't get up to the surface soon,\Tsumugu-kun will...\Kaname?\One, and... response:	Tsumugu-kun!
context: Forgive me.\In the end, I am the scale of the Sea God.\Hurry!\If we don't get up to the surface soon,\Tsumugu-kun will...\Kaname?\One, and...\Tsumugu-kun! response:	Look! The bridge pier!
context: In the end, I am the scale of the Sea God.\Hurry!\If we don't get up to the surface soon,\Tsumugu-kun will...\Kaname?\One, and...\Tsumugu-kun!\Look! The bridge pier! response:	No!
context: Hurry!\If we don't get up to the surface soon,\Tsumugu-kun will...\Kaname?\One, and...\Tsumugu-kun!\Look! The bridge pier!\No! response:	Please stop!
context: If we don't get up to the surface soon,\Tsumugu-kun will...\Kaname?\One, and...\Tsumugu-kun!\Look! The bridge pier!\No!\Please stop! response:	Akari-san has people waiting for her!
context: Tsumugu-kun will...\Kaname?\One, and...\Tsumugu-kun!\Look! The bridge pier!\No!\Please stop!\Akari-san has people waiting for her! response:	Please!
context: Kaname?\One, and...\Tsumugu-kun!\Look! The bridge pier!\No!\Please stop!\Akari-san has people waiting for her!\Please! response:	Don't take her away.
context: One, and...\Tsumugu-kun!\Look! The bridge pier!\No!\Please stop!\Akari-san has people waiting for her!\Please!\Don't take her away. response:	Everyone...
context: Tsumugu-kun!\Look! The bridge pier!\No!\Please stop!\Akari-san has people waiting for her!\Please!\Don't take her away.\Everyone... response:	Is someone precious to someone!
context: Look! The bridge pier!\No!\Please stop!\Akari-san has people waiting for her!\Please!\Don't take her away.\Everyone...\Is someone precious to someone! response:	Please don't try to forcefully rip apart those who love each other!
context: No!\Please stop!\Akari-san has people waiting for her!\Please!\Don't take her away.\Everyone...\Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other! response:	If you insist on taking someone...
context: Please stop!\Akari-san has people waiting for her!\Please!\Don't take her away.\Everyone...\Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone... response:	Manaka!
context: Akari-san has people waiting for her!\Please!\Don't take her away.\Everyone...\Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone...\Manaka! response:	Manaka!
context: Please!\Don't take her away.\Everyone...\Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone...\Manaka!\Manaka! response:	Hii-kun.
context: Don't take her away.\Everyone...\Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone...\Manaka!\Manaka!\Hii-kun. response:	Manaka!
context: Everyone...\Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone...\Manaka!\Manaka!\Hii-kun.\Manaka! response:	Look over there!
context: Is someone precious to someone!\Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone...\Manaka!\Manaka!\Hii-kun.\Manaka!\Look over there! response:	Someone's floating!
context: Please don't try to forcefully rip apart those who love each other!\If you insist on taking someone...\Manaka!\Manaka!\Hii-kun.\Manaka!\Look over there!\Someone's floating! response:	Get the boat out!
context: If you insist on taking someone...\Manaka!\Manaka!\Hii-kun.\Manaka!\Look over there!\Someone's floating!\Get the boat out! response:	Hurry!
context: Manaka!\Manaka!\Hii-kun.\Manaka!\Look over there!\Someone's floating!\Get the boat out!\Hurry! response:	Mom!
context: Manaka!\Hii-kun.\Manaka!\Look over there!\Someone's floating!\Get the boat out!\Hurry!\Mom! response:	Akari!
context: Hii-kun.\Manaka!\Look over there!\Someone's floating!\Get the boat out!\Hurry!\Mom!\Akari! response:	Even now, I look from here...
context: Manaka!\Look over there!\Someone's floating!\Get the boat out!\Hurry!\Mom!\Akari!\Even now, I look from here... response:	To the sea where Hikari and the others are.
context: Look over there!\Someone's floating!\Get the boat out!\Hurry!\Mom!\Akari!\Even now, I look from here...\To the sea where Hikari and the others are. response:	Episode Fourteen: The Promised Day
