context: It's hot. response:	And I can't turn on the air conditioning since nobody else is here.
context: I felt a strange aura from that cave.\A Clow Card?\No.\Then maybe a g-g-g'\Are you trying to say ghost?\I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago.\I think I just saw something. response:	Stop it!
context: A Clow Card?\No.\Then maybe a g-g-g'\Are you trying to say ghost?\I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago.\I think I just saw something.\Stop it! response:	Let's talk about something else. OK? OK?
context: No.\Then maybe a g-g-g'\Are you trying to say ghost?\I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago.\I think I just saw something.\Stop it!\Let's talk about something else. OK? OK? response:	You're the one who asked.
context: Then maybe a g-g-g'\Are you trying to say ghost?\I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago.\I think I just saw something.\Stop it!\Let's talk about something else. OK? OK?\You're the one who asked. response:	You came from Hong Kong right?
context: Are you trying to say ghost?\I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago.\I think I just saw something.\Stop it!\Let's talk about something else. OK? OK?\You're the one who asked.\You came from Hong Kong right? response:	Yeah.
context: I can't tell what it is yet.\I felt a strange aura from the cliff just a little while ago.\I think I just saw something.\Stop it!\Let's talk about something else. OK? OK?\You're the one who asked.\You came from Hong Kong right?\Yeah. response:	With your whole family?
context: I felt a strange aura from the cliff just a little while ago.\I think I just saw something.\Stop it!\Let's talk about something else. OK? OK?\You're the one who asked.\You came from Hong Kong right?\Yeah.\With your whole family? response:	No.
context: I think I just saw something.\Stop it!\Let's talk about something else. OK? OK?\You're the one who asked.\You came from Hong Kong right?\Yeah.\With your whole family?\No. response:	By yourself?
context: Stop it!\Let's talk about something else. OK? OK?\You're the one who asked.\You came from Hong Kong right?\Yeah.\With your whole family?\No.\By yourself? response:	Along with Wei.
context: Let's talk about something else. OK? OK?\You're the one who asked.\You came from Hong Kong right?\Yeah.\With your whole family?\No.\By yourself?\Along with Wei. response:	Wei?
context: You're the one who asked.\You came from Hong Kong right?\Yeah.\With your whole family?\No.\By yourself?\Along with Wei.\Wei? response:	A person who has been taking care of me since I was little.
context: You came from Hong Kong right?\Yeah.\With your whole family?\No.\By yourself?\Along with Wei.\Wei?\A person who has been taking care of me since I was little. response:	He must be a nice person.
context: Yeah.\With your whole family?\No.\By yourself?\Along with Wei.\Wei?\A person who has been taking care of me since I was little.\He must be a nice person. response:	Why do you know that?
context: With your whole family?\No.\By yourself?\Along with Wei.\Wei?\A person who has been taking care of me since I was little.\He must be a nice person.\Why do you know that? response:	You seem somehow happy.
context: No.\By yourself?\Along with Wei.\Wei?\A person who has been taking care of me since I was little.\He must be a nice person.\Why do you know that?\You seem somehow happy. response:	I'm going to sleep.
context: By yourself?\Along with Wei.\Wei?\A person who has been taking care of me since I was little.\He must be a nice person.\Why do you know that?\You seem somehow happy.\I'm going to sleep. response:	Wait. Li-kun!
context: Along with Wei.\Wei?\A person who has been taking care of me since I was little.\He must be a nice person.\Why do you know that?\You seem somehow happy.\I'm going to sleep.\Wait. Li-kun! response:	If you couldn't sleep you should have woken me up.
context: Wei?\A person who has been taking care of me since I was little.\He must be a nice person.\Why do you know that?\You seem somehow happy.\I'm going to sleep.\Wait. Li-kun!\If you couldn't sleep you should have woken me up. response:	I would feel bad doing that,
context: A person who has been taking care of me since I was little.\He must be a nice person.\Why do you know that?\You seem somehow happy.\I'm going to sleep.\Wait. Li-kun!\If you couldn't sleep you should have woken me up.\I would feel bad doing that, response:	and I talked to Li-kun on the beach anyway.
context: He must be a nice person.\Why do you know that?\You seem somehow happy.\I'm going to sleep.\Wait. Li-kun!\If you couldn't sleep you should have woken me up.\I would feel bad doing that,\and I talked to Li-kun on the beach anyway. response:	He walked me back to the bungalow.
context: Why do you know that?\You seem somehow happy.\I'm going to sleep.\Wait. Li-kun!\If you couldn't sleep you should have woken me up.\I would feel bad doing that,\and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow. response:	Is something wrong?
context: You seem somehow happy.\I'm going to sleep.\Wait. Li-kun!\If you couldn't sleep you should have woken me up.\I would feel bad doing that,\and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow.\Is something wrong? response:	No, it's nothing.
context: I'm going to sleep.\Wait. Li-kun!\If you couldn't sleep you should have woken me up.\I would feel bad doing that,\and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow.\Is something wrong?\No, it's nothing. response:	Sorry to keep you waiting,
context: Wait. Li-kun!\If you couldn't sleep you should have woken me up.\I would feel bad doing that,\and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow.\Is something wrong?\No, it's nothing.\Sorry to keep you waiting, response:	we are going to start the kimodameshi
context: If you couldn't sleep you should have woken me up.\I would feel bad doing that,\and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow.\Is something wrong?\No, it's nothing.\Sorry to keep you waiting,\we are going to start the kimodameshi response:	you have been waiting for.
context: I would feel bad doing that,\and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow.\Is something wrong?\No, it's nothing.\Sorry to keep you waiting,\we are going to start the kimodameshi\you have been waiting for. response:	Deep in the cave, there's a small lake.
context: and I talked to Li-kun on the beach anyway.\He walked me back to the bungalow.\Is something wrong?\No, it's nothing.\Sorry to keep you waiting,\we are going to start the kimodameshi\you have been waiting for.\Deep in the cave, there's a small lake. response:	There you will leave your candle behind.
context: He walked me back to the bungalow.\Is something wrong?\No, it's nothing.\Sorry to keep you waiting,\we are going to start the kimodameshi\you have been waiting for.\Deep in the cave, there's a small lake.\There you will leave your candle behind. response:	Got that?
context: Is something wrong?\No, it's nothing.\Sorry to keep you waiting,\we are going to start the kimodameshi\you have been waiting for.\Deep in the cave, there's a small lake.\There you will leave your candle behind.\Got that? response:	Yeah!
context: No, it's nothing.\Sorry to keep you waiting,\we are going to start the kimodameshi\you have been waiting for.\Deep in the cave, there's a small lake.\There you will leave your candle behind.\Got that?\Yeah! response:	It's the same as Naoko-chan's story.
context: Sorry to keep you waiting,\we are going to start the kimodameshi\you have been waiting for.\Deep in the cave, there's a small lake.\There you will leave your candle behind.\Got that?\Yeah!\It's the same as Naoko-chan's story. response:	It's a common story.
context: we are going to start the kimodameshi\you have been waiting for.\Deep in the cave, there's a small lake.\There you will leave your candle behind.\Got that?\Yeah!\It's the same as Naoko-chan's story.\It's a common story. response:	Naoko-chan seems to be having fun.
context: you have been waiting for.\Deep in the cave, there's a small lake.\There you will leave your candle behind.\Got that?\Yeah!\It's the same as Naoko-chan's story.\It's a common story.\Naoko-chan seems to be having fun. response:	In your groups split into smaller groups of two or three.
context: Deep in the cave, there's a small lake.\There you will leave your candle behind.\Got that?\Yeah!\It's the same as Naoko-chan's story.\It's a common story.\Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three. response:	The cave is a one way path
context: There you will leave your candle behind.\Got that?\Yeah!\It's the same as Naoko-chan's story.\It's a common story.\Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three.\The cave is a one way path response:	and ends at the shrine,
context: Got that?\Yeah!\It's the same as Naoko-chan's story.\It's a common story.\Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three.\The cave is a one way path\and ends at the shrine, response:	so you don't need to worry about getting lost.
context: Yeah!\It's the same as Naoko-chan's story.\It's a common story.\Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three.\The cave is a one way path\and ends at the shrine,\so you don't need to worry about getting lost. response:	Once you leave your candle, come straight back here.
context: It's the same as Naoko-chan's story.\It's a common story.\Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three.\The cave is a one way path\and ends at the shrine,\so you don't need to worry about getting lost.\Once you leave your candle, come straight back here. response:	Well, let's begin.
context: It's a common story.\Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three.\The cave is a one way path\and ends at the shrine,\so you don't need to worry about getting lost.\Once you leave your candle, come straight back here.\Well, let's begin. response:	The first group.
context: Naoko-chan seems to be having fun.\In your groups split into smaller groups of two or three.\The cave is a one way path\and ends at the shrine,\so you don't need to worry about getting lost.\Once you leave your candle, come straight back here.\Well, let's begin.\The first group. response:	OK.
context: In your groups split into smaller groups of two or three.\The cave is a one way path\and ends at the shrine,\so you don't need to worry about getting lost.\Once you leave your candle, come straight back here.\Well, let's begin.\The first group.\OK. response:	All right, next.
context: The cave is a one way path\and ends at the shrine,\so you don't need to worry about getting lost.\Once you leave your candle, come straight back here.\Well, let's begin.\The first group.\OK.\All right, next. response:	Yeah.
context: and ends at the shrine,\so you don't need to worry about getting lost.\Once you leave your candle, come straight back here.\Well, let's begin.\The first group.\OK.\All right, next.\Yeah. response:	All right, next.
context: so you don't need to worry about getting lost.\Once you leave your candle, come straight back here.\Well, let's begin.\The first group.\OK.\All right, next.\Yeah.\All right, next. response:	OK.
context: Once you leave your candle, come straight back here.\Well, let's begin.\The first group.\OK.\All right, next.\Yeah.\All right, next.\OK. response:	It's almost to us.
context: Well, let's begin.\The first group.\OK.\All right, next.\Yeah.\All right, next.\OK.\It's almost to us. response:	It's OK.
context: The first group.\OK.\All right, next.\Yeah.\All right, next.\OK.\It's almost to us.\It's OK. response:	I am sure there is a teacher in there to scare us.
context: OK.\All right, next.\Yeah.\All right, next.\OK.\It's almost to us.\It's OK.\I am sure there is a teacher in there to scare us. response:	I hope it's scary.
context: All right, next.\Yeah.\All right, next.\OK.\It's almost to us.\It's OK.\I am sure there is a teacher in there to scare us.\I hope it's scary. response:	Kinomoto seems pretty pale.
context: Yeah.\All right, next.\OK.\It's almost to us.\It's OK.\I am sure there is a teacher in there to scare us.\I hope it's scary.\Kinomoto seems pretty pale. response:	Are you scared?
context: All right, next.\OK.\It's almost to us.\It's OK.\I am sure there is a teacher in there to scare us.\I hope it's scary.\Kinomoto seems pretty pale.\Are you scared? response:	Are you OK?
context: OK.\It's almost to us.\It's OK.\I am sure there is a teacher in there to scare us.\I hope it's scary.\Kinomoto seems pretty pale.\Are you scared?\Are you OK? response:	I'm excited.
context: It's almost to us.\It's OK.\I am sure there is a teacher in there to scare us.\I hope it's scary.\Kinomoto seems pretty pale.\Are you scared?\Are you OK?\I'm excited. response:	Naoko-chan.
context: It's OK.\I am sure there is a teacher in there to scare us.\I hope it's scary.\Kinomoto seems pretty pale.\Are you scared?\Are you OK?\I'm excited.\Naoko-chan. response:	Next. Next. Next. We're next.
context: I am sure there is a teacher in there to scare us.\I hope it's scary.\Kinomoto seems pretty pale.\Are you scared?\Are you OK?\I'm excited.\Naoko-chan.\Next. Next. Next. We're next. response:	It's all right. Everything is fine.
context: I hope it's scary.\Kinomoto seems pretty pale.\Are you scared?\Are you OK?\I'm excited.\Naoko-chan.\Next. Next. Next. We're next.\It's all right. Everything is fine. response:	OK, next group.
context: Kinomoto seems pretty pale.\Are you scared?\Are you OK?\I'm excited.\Naoko-chan.\Next. Next. Next. We're next.\It's all right. Everything is fine.\OK, next group. response:	I wonder if Kinomoto will be all right.
context: Are you scared?\Are you OK?\I'm excited.\Naoko-chan.\Next. Next. Next. We're next.\It's all right. Everything is fine.\OK, next group.\I wonder if Kinomoto will be all right. response:	It's Terada-sensei.
context: Are you OK?\I'm excited.\Naoko-chan.\Next. Next. Next. We're next.\It's all right. Everything is fine.\OK, next group.\I wonder if Kinomoto will be all right.\It's Terada-sensei. response:	See.
context: I'm excited.\Naoko-chan.\Next. Next. Next. We're next.\It's all right. Everything is fine.\OK, next group.\I wonder if Kinomoto will be all right.\It's Terada-sensei.\See. response:	It's fun to surprise Kinomoto.
context: Naoko-chan.\Next. Next. Next. We're next.\It's all right. Everything is fine.\OK, next group.\I wonder if Kinomoto will be all right.\It's Terada-sensei.\See.\It's fun to surprise Kinomoto. response:	Well, be careful.
context: Next. Next. Next. We're next.\It's all right. Everything is fine.\OK, next group.\I wonder if Kinomoto will be all right.\It's Terada-sensei.\See.\It's fun to surprise Kinomoto.\Well, be careful. response:	Yes!
context: It's all right. Everything is fine.\OK, next group.\I wonder if Kinomoto will be all right.\It's Terada-sensei.\See.\It's fun to surprise Kinomoto.\Well, be careful.\Yes! response:	But it's strange isn't it?
context: OK, next group.\I wonder if Kinomoto will be all right.\It's Terada-sensei.\See.\It's fun to surprise Kinomoto.\Well, be careful.\Yes!\But it's strange isn't it? response:	Eh?
context: I wonder if Kinomoto will be all right.\It's Terada-sensei.\See.\It's fun to surprise Kinomoto.\Well, be careful.\Yes!\But it's strange isn't it?\Eh? response:	After the first Terada-sensei
context: It's Terada-sensei.\See.\It's fun to surprise Kinomoto.\Well, be careful.\Yes!\But it's strange isn't it?\Eh?\After the first Terada-sensei response:	there haven't been any teachers to scare us.
context: See.\It's fun to surprise Kinomoto.\Well, be careful.\Yes!\But it's strange isn't it?\Eh?\After the first Terada-sensei\there haven't been any teachers to scare us. response:	That's right.
context: It's fun to surprise Kinomoto.\Well, be careful.\Yes!\But it's strange isn't it?\Eh?\After the first Terada-sensei\there haven't been any teachers to scare us.\That's right. response:	And I wonder why we don't pass anybody going the other way.
context: Well, be careful.\Yes!\But it's strange isn't it?\Eh?\After the first Terada-sensei\there haven't been any teachers to scare us.\That's right.\And I wonder why we don't pass anybody going the other way. response:	There should only be one path through this cave.
context: Yes!\But it's strange isn't it?\Eh?\After the first Terada-sensei\there haven't been any teachers to scare us.\That's right.\And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave. response:	It's strange not to meet anybody
context: But it's strange isn't it?\Eh?\After the first Terada-sensei\there haven't been any teachers to scare us.\That's right.\And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave.\It's strange not to meet anybody response:	who has left their candle and is on their way back.
context: Eh?\After the first Terada-sensei\there haven't been any teachers to scare us.\That's right.\And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave.\It's strange not to meet anybody\who has left their candle and is on their way back. response:	It's the same as Naoko-chan's story.
context: After the first Terada-sensei\there haven't been any teachers to scare us.\That's right.\And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave.\It's strange not to meet anybody\who has left their candle and is on their way back.\It's the same as Naoko-chan's story. response:	Tomoyo-chan!
context: there haven't been any teachers to scare us.\That's right.\And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave.\It's strange not to meet anybody\who has left their candle and is on their way back.\It's the same as Naoko-chan's story.\Tomoyo-chan! response:	Naoko-chan! Naoko-chan!
context: That's right.\And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave.\It's strange not to meet anybody\who has left their candle and is on their way back.\It's the same as Naoko-chan's story.\Tomoyo-chan!\Naoko-chan! Naoko-chan! response:	It's Chiharu-chan's voice.
context: And I wonder why we don't pass anybody going the other way.\There should only be one path through this cave.\It's strange not to meet anybody\who has left their candle and is on their way back.\It's the same as Naoko-chan's story.\Tomoyo-chan!\Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice. response:	I wonder what happened.
context: There should only be one path through this cave.\It's strange not to meet anybody\who has left their candle and is on their way back.\It's the same as Naoko-chan's story.\Tomoyo-chan!\Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice.\I wonder what happened. response:	Let's go check.
context: It's strange not to meet anybody\who has left their candle and is on their way back.\It's the same as Naoko-chan's story.\Tomoyo-chan!\Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice.\I wonder what happened.\Let's go check. response:	What happened?
context: who has left their candle and is on their way back.\It's the same as Naoko-chan's story.\Tomoyo-chan!\Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice.\I wonder what happened.\Let's go check.\What happened? response:	Naoko-chan disappeared.
context: It's the same as Naoko-chan's story.\Tomoyo-chan!\Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice.\I wonder what happened.\Let's go check.\What happened?\Naoko-chan disappeared. response:	What do you mean disappeared?
context: Tomoyo-chan!\Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice.\I wonder what happened.\Let's go check.\What happened?\Naoko-chan disappeared.\What do you mean disappeared? response:	I don't know why,
context: Naoko-chan! Naoko-chan!\It's Chiharu-chan's voice.\I wonder what happened.\Let's go check.\What happened?\Naoko-chan disappeared.\What do you mean disappeared?\I don't know why, response:	but she disappeared.
context: It's Chiharu-chan's voice.\I wonder what happened.\Let's go check.\What happened?\Naoko-chan disappeared.\What do you mean disappeared?\I don't know why,\but she disappeared. response:	Right in front of my eyes.
context: I wonder what happened.\Let's go check.\What happened?\Naoko-chan disappeared.\What do you mean disappeared?\I don't know why,\but she disappeared.\Right in front of my eyes. response:	Right, Rika-chan?
context: Let's go check.\What happened?\Naoko-chan disappeared.\What do you mean disappeared?\I don't know why,\but she disappeared.\Right in front of my eyes.\Right, Rika-chan? response:	Rika-chan!
context: What happened?\Naoko-chan disappeared.\What do you mean disappeared?\I don't know why,\but she disappeared.\Right in front of my eyes.\Right, Rika-chan?\Rika-chan! response:	It's the same, Naoko-chan disappeared in the same way.
context: Naoko-chan disappeared.\What do you mean disappeared?\I don't know why,\but she disappeared.\Right in front of my eyes.\Right, Rika-chan?\Rika-chan!\It's the same, Naoko-chan disappeared in the same way. response:	Chiharu-chan.
context: What do you mean disappeared?\I don't know why,\but she disappeared.\Right in front of my eyes.\Right, Rika-chan?\Rika-chan!\It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan. response:	She disappeared.
context: I don't know why,\but she disappeared.\Right in front of my eyes.\Right, Rika-chan?\Rika-chan!\It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan.\She disappeared. response:	This is the same as Naoko-chan's story after all!
context: but she disappeared.\Right in front of my eyes.\Right, Rika-chan?\Rika-chan!\It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan.\She disappeared.\This is the same as Naoko-chan's story after all! response:	Let's go back and let the teachers know.
context: Right in front of my eyes.\Right, Rika-chan?\Rika-chan!\It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan.\She disappeared.\This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know. response:	What's wrong?
context: Right, Rika-chan?\Rika-chan!\It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan.\She disappeared.\This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know.\What's wrong? response:	Li-kun?
context: Rika-chan!\It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan.\She disappeared.\This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know.\What's wrong?\Li-kun? response:	Tomoyo-chan and everybody'
context: It's the same, Naoko-chan disappeared in the same way.\Chiharu-chan.\She disappeared.\This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know.\What's wrong?\Li-kun?\Tomoyo-chan and everybody' response:	They disappeared?
context: Chiharu-chan.\She disappeared.\This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know.\What's wrong?\Li-kun?\Tomoyo-chan and everybody'\They disappeared? response:	Yamazaki who was with me also disappeared.
context: She disappeared.\This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know.\What's wrong?\Li-kun?\Tomoyo-chan and everybody'\They disappeared?\Yamazaki who was with me also disappeared. response:	Is it a ghost?
context: This is the same as Naoko-chan's story after all!\Let's go back and let the teachers know.\What's wrong?\Li-kun?\Tomoyo-chan and everybody'\They disappeared?\Yamazaki who was with me also disappeared.\Is it a ghost? response:	A ghost erased Tomoyo-chan and the others?
context: Let's go back and let the teachers know.\What's wrong?\Li-kun?\Tomoyo-chan and everybody'\They disappeared?\Yamazaki who was with me also disappeared.\Is it a ghost?\A ghost erased Tomoyo-chan and the others? response:	That's not it.
context: What's wrong?\Li-kun?\Tomoyo-chan and everybody'\They disappeared?\Yamazaki who was with me also disappeared.\Is it a ghost?\A ghost erased Tomoyo-chan and the others?\That's not it. response:	Calm down and read the aura.
context: Li-kun?\Tomoyo-chan and everybody'\They disappeared?\Yamazaki who was with me also disappeared.\Is it a ghost?\A ghost erased Tomoyo-chan and the others?\That's not it.\Calm down and read the aura. response:	It's the aura of a Clow Card.
context: Tomoyo-chan and everybody'\They disappeared?\Yamazaki who was with me also disappeared.\Is it a ghost?\A ghost erased Tomoyo-chan and the others?\That's not it.\Calm down and read the aura.\It's the aura of a Clow Card. response:	Over there?
context: They disappeared?\Yamazaki who was with me also disappeared.\Is it a ghost?\A ghost erased Tomoyo-chan and the others?\That's not it.\Calm down and read the aura.\It's the aura of a Clow Card.\Over there? response:	Yeah.
context: Yamazaki who was with me also disappeared.\Is it a ghost?\A ghost erased Tomoyo-chan and the others?\That's not it.\Calm down and read the aura.\It's the aura of a Clow Card.\Over there?\Yeah. response:	The problem is how to get close.
context: Is it a ghost?\A ghost erased Tomoyo-chan and the others?\That's not it.\Calm down and read the aura.\It's the aura of a Clow Card.\Over there?\Yeah.\The problem is how to get close. response:	Can't we use Fly?
context: A ghost erased Tomoyo-chan and the others?\That's not it.\Calm down and read the aura.\It's the aura of a Clow Card.\Over there?\Yeah.\The problem is how to get close.\Can't we use Fly? response:	We should get close as quietly as possible.
context: That's not it.\Calm down and read the aura.\It's the aura of a Clow Card.\Over there?\Yeah.\The problem is how to get close.\Can't we use Fly?\We should get close as quietly as possible. response:	So the card doesn't notice us.
context: Calm down and read the aura.\It's the aura of a Clow Card.\Over there?\Yeah.\The problem is how to get close.\Can't we use Fly?\We should get close as quietly as possible.\So the card doesn't notice us. response:	I'll try it.
context: It's the aura of a Clow Card.\Over there?\Yeah.\The problem is how to get close.\Can't we use Fly?\We should get close as quietly as possible.\So the card doesn't notice us.\I'll try it. response:	Envelop me and carry me to that land.
context: Over there?\Yeah.\The problem is how to get close.\Can't we use Fly?\We should get close as quietly as possible.\So the card doesn't notice us.\I'll try it.\Envelop me and carry me to that land. response:	Float!
context: Yeah.\The problem is how to get close.\Can't we use Fly?\We should get close as quietly as possible.\So the card doesn't notice us.\I'll try it.\Envelop me and carry me to that land.\Float! response:	Since we don't know our opponent's identity,
context: The problem is how to get close.\Can't we use Fly?\We should get close as quietly as possible.\So the card doesn't notice us.\I'll try it.\Envelop me and carry me to that land.\Float!\Since we don't know our opponent's identity, response:	we need to first find its true form.
context: Can't we use Fly?\We should get close as quietly as possible.\So the card doesn't notice us.\I'll try it.\Envelop me and carry me to that land.\Float!\Since we don't know our opponent's identity,\we need to first find its true form. response:	My compass can't find it's exact position.
context: We should get close as quietly as possible.\So the card doesn't notice us.\I'll try it.\Envelop me and carry me to that land.\Float!\Since we don't know our opponent's identity,\we need to first find its true form.\My compass can't find it's exact position. response:	It worked.
context: So the card doesn't notice us.\I'll try it.\Envelop me and carry me to that land.\Float!\Since we don't know our opponent's identity,\we need to first find its true form.\My compass can't find it's exact position.\It worked. response:	Li-kun!
context: I'll try it.\Envelop me and carry me to that land.\Float!\Since we don't know our opponent's identity,\we need to first find its true form.\My compass can't find it's exact position.\It worked.\Li-kun! response:	You're disappearing too.
context: Envelop me and carry me to that land.\Float!\Since we don't know our opponent's identity,\we need to first find its true form.\My compass can't find it's exact position.\It worked.\Li-kun!\You're disappearing too. response:	Calm down. Since the card is acting
context: Float!\Since we don't know our opponent's identity,\we need to first find its true form.\My compass can't find it's exact position.\It worked.\Li-kun!\You're disappearing too.\Calm down. Since the card is acting response:	you should be able to find it's location.
context: Since we don't know our opponent's identity,\we need to first find its true form.\My compass can't find it's exact position.\It worked.\Li-kun!\You're disappearing too.\Calm down. Since the card is acting\you should be able to find it's location. response:	Concentrate.
context: we need to first find its true form.\My compass can't find it's exact position.\It worked.\Li-kun!\You're disappearing too.\Calm down. Since the card is acting\you should be able to find it's location.\Concentrate. response:	Can you let everybody disappear?
context: My compass can't find it's exact position.\It worked.\Li-kun!\You're disappearing too.\Calm down. Since the card is acting\you should be able to find it's location.\Concentrate.\Can you let everybody disappear? response:	I'll do it!
context: It worked.\Li-kun!\You're disappearing too.\Calm down. Since the card is acting\you should be able to find it's location.\Concentrate.\Can you let everybody disappear?\I'll do it! response:	Over there!
context: Li-kun!\You're disappearing too.\Calm down. Since the card is acting\you should be able to find it's location.\Concentrate.\Can you let everybody disappear?\I'll do it!\Over there! response:	Now!
context: You're disappearing too.\Calm down. Since the card is acting\you should be able to find it's location.\Concentrate.\Can you let everybody disappear?\I'll do it!\Over there!\Now! response:	Return to your rightful form,
context: Calm down. Since the card is acting\you should be able to find it's location.\Concentrate.\Can you let everybody disappear?\I'll do it!\Over there!\Now!\Return to your rightful form, response:	Clow Card!
context: you should be able to find it's location.\Concentrate.\Can you let everybody disappear?\I'll do it!\Over there!\Now!\Return to your rightful form,\Clow Card! response:	It's the Erase card.
context: Concentrate.\Can you let everybody disappear?\I'll do it!\Over there!\Now!\Return to your rightful form,\Clow Card!\It's the Erase card. response:	So that's why everybody disappeared?
context: Can you let everybody disappear?\I'll do it!\Over there!\Now!\Return to your rightful form,\Clow Card!\It's the Erase card.\So that's why everybody disappeared? response:	Here.
context: I'll do it!\Over there!\Now!\Return to your rightful form,\Clow Card!\It's the Erase card.\So that's why everybody disappeared?\Here. response:	This is yours.
context: Over there!\Now!\Return to your rightful form,\Clow Card!\It's the Erase card.\So that's why everybody disappeared?\Here.\This is yours. response:	Without you
context: Now!\Return to your rightful form,\Clow Card!\It's the Erase card.\So that's why everybody disappeared?\Here.\This is yours.\Without you response:	I would have just been crying and not been able to do anything.
context: Return to your rightful form,\Clow Card!\It's the Erase card.\So that's why everybody disappeared?\Here.\This is yours.\Without you\I would have just been crying and not been able to do anything. response:	That is yours.
context: Clow Card!\It's the Erase card.\So that's why everybody disappeared?\Here.\This is yours.\Without you\I would have just been crying and not been able to do anything.\That is yours. response:	Li-kun.
context: It's the Erase card.\So that's why everybody disappeared?\Here.\This is yours.\Without you\I would have just been crying and not been able to do anything.\That is yours.\Li-kun. response:	Bring out Float.
context: So that's why everybody disappeared?\Here.\This is yours.\Without you\I would have just been crying and not been able to do anything.\That is yours.\Li-kun.\Bring out Float. response:	Sure.
context: Here.\This is yours.\Without you\I would have just been crying and not been able to do anything.\That is yours.\Li-kun.\Bring out Float.\Sure. response:	We've waited kimodameshi for a long time,
context: This is yours.\Without you\I would have just been crying and not been able to do anything.\That is yours.\Li-kun.\Bring out Float.\Sure.\We've waited kimodameshi for a long time, response:	I don't remember anything about what happened in the kimodameshi.
context: Without you\I would have just been crying and not been able to do anything.\That is yours.\Li-kun.\Bring out Float.\Sure.\We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi. response:	Me too.
context: I would have just been crying and not been able to do anything.\That is yours.\Li-kun.\Bring out Float.\Sure.\We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi.\Me too. response:	It was the same for me.
context: That is yours.\Li-kun.\Bring out Float.\Sure.\We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi.\Me too.\It was the same for me. response:	Me too.
context: Li-kun.\Bring out Float.\Sure.\We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi.\Me too.\It was the same for me.\Me too. response:	I don't remember anything at all either.
context: Bring out Float.\Sure.\We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi.\Me too.\It was the same for me.\Me too.\I don't remember anything at all either. response:	Was it a Clow Card after all?
context: Sure.\We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi.\Me too.\It was the same for me.\Me too.\I don't remember anything at all either.\Was it a Clow Card after all? response:	Yeah.
context: We've waited kimodameshi for a long time,\I don't remember anything about what happened in the kimodameshi.\Me too.\It was the same for me.\Me too.\I don't remember anything at all either.\Was it a Clow Card after all?\Yeah. response:	Nobody remembers anything.
context: I don't remember anything about what happened in the kimodameshi.\Me too.\It was the same for me.\Me too.\I don't remember anything at all either.\Was it a Clow Card after all?\Yeah.\Nobody remembers anything. response:	Why is that, Li-kun?
context: Me too.\It was the same for me.\Me too.\I don't remember anything at all either.\Was it a Clow Card after all?\Yeah.\Nobody remembers anything.\Why is that, Li-kun? response:	Erase also made their memory go away.
