context: Passing the Night response:	Ever since I was a baby, there was a shogi board in front of me.
context: That's not good!\He'll have me checkmated before lunch!\After that, it was just...\Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang!\I was writhing until morning, and then...\Huh? What did I want to say again? response:	Huh?
context: He'll have me checkmated before lunch!\After that, it was just...\Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang!\I was writhing until morning, and then...\Huh? What did I want to say again?\Huh? response:	Yes, this is why I'm telling you that you need to rest.
context: After that, it was just...\Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang!\I was writhing until morning, and then...\Huh? What did I want to say again?\Huh?\Yes, this is why I'm telling you that you need to rest. response:	Yeah. I see. You're right.
context: Struggle Struggle Flail Flail\I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang!\I was writhing until morning, and then...\Huh? What did I want to say again?\Huh?\Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right. response:	Got it. So...
context: I was racking my brain, trying to think of a way I could still stick it out.\And my stomach was going bang bang!\I was writhing until morning, and then...\Huh? What did I want to say again?\Huh?\Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right.\Got it. So... response:	I'll go with a static rook. Would you go with a ranging rook?
context: And my stomach was going bang bang!\I was writhing until morning, and then...\Huh? What did I want to say again?\Huh?\Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right.\Got it. So...\I'll go with a static rook. Would you go with a ranging rook? response:	You're not listening to me at all, are you?
context: I was writhing until morning, and then...\Huh? What did I want to say again?\Huh?\Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right.\Got it. So...\I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you? response:	Um...
context: Huh? What did I want to say again?\Huh?\Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right.\Got it. So...\I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you?\Um... response:	Are you okay with this?
context: Huh?\Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right.\Got it. So...\I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you?\Um...\Are you okay with this? response:	Am I being useful to you at all?
context: Yes, this is why I'm telling you that you need to rest.\Yeah. I see. You're right.\Got it. So...\I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you?\Um...\Are you okay with this?\Am I being useful to you at all? response:	Am I the only one here who's benefiting?
context: Yeah. I see. You're right.\Got it. So...\I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you?\Um...\Are you okay with this?\Am I being useful to you at all?\Am I the only one here who's benefiting? response:	I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.
context: Got it. So...\I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you?\Um...\Are you okay with this?\Am I being useful to you at all?\Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada. response:	But am I giving you anything in return?
context: I'll go with a static rook. Would you go with a ranging rook?\You're not listening to me at all, are you?\Um...\Are you okay with this?\Am I being useful to you at all?\Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return? response:	You say the same things sometimes.
context: You're not listening to me at all, are you?\Um...\Are you okay with this?\Am I being useful to you at all?\Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return?\You say the same things sometimes. response:	Remember?
context: Um...\Are you okay with this?\Am I being useful to you at all?\Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return?\You say the same things sometimes.\Remember? response:	You said, It's disturbing.
context: Are you okay with this?\Am I being useful to you at all?\Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return?\You say the same things sometimes.\Remember?\You said, It's disturbing. response:	Um... How can I put it?
context: Am I being useful to you at all?\Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return?\You say the same things sometimes.\Remember?\You said, It's disturbing.\Um... How can I put it? response:	It's disturbing... or like...
context: Am I the only one here who's benefiting?\I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return?\You say the same things sometimes.\Remember?\You said, It's disturbing.\Um... How can I put it?\It's disturbing... or like... response:	When Souya saw that 3-g-Silver, he said the same thing in the waiting room.
context: I'm C-1 and you're Rank A, so I'm learning a lot by playing against you, Mr. Shimada.\But am I giving you anything in return?\You say the same things sometimes.\Remember?\You said, It's disturbing.\Um... How can I put it?\It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room. response:	That 3-g-Silver is disturbing.
context: But am I giving you anything in return?\You say the same things sometimes.\Remember?\You said, It's disturbing.\Um... How can I put it?\It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing. response:	So, you two are kind of similar.
context: You say the same things sometimes.\Remember?\You said, It's disturbing.\Um... How can I put it?\It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing.\So, you two are kind of similar. response:	It's not anything in particular,
context: Remember?\You said, It's disturbing.\Um... How can I put it?\It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing.\So, you two are kind of similar.\It's not anything in particular, response:	if anything, maybe I'd say it's your viewpoints.
context: You said, It's disturbing.\Um... How can I put it?\It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing.\So, you two are kind of similar.\It's not anything in particular,\if anything, maybe I'd say it's your viewpoints. response:	Of course, you're both all-rounders,
context: Um... How can I put it?\It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing.\So, you two are kind of similar.\It's not anything in particular,\if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders, response:	and your flexibility in switching between offense and defense,
context: It's disturbing... or like...\When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing.\So, you two are kind of similar.\It's not anything in particular,\if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders,\and your flexibility in switching between offense and defense, response:	and the timing of your judgment when pressed for an answer.
context: When Souya saw that 3-g-Silver, he said the same thing in the waiting room.\That 3-g-Silver is disturbing.\So, you two are kind of similar.\It's not anything in particular,\if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders,\and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer. response:	So when you're sitting across from me and playing as you like,
context: That 3-g-Silver is disturbing.\So, you two are kind of similar.\It's not anything in particular,\if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders,\and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like, response:	it feels a little like I've captured the feeling of a viewpoint similar to Souya's.
context: So, you two are kind of similar.\It's not anything in particular,\if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders,\and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's. response:	It's probably just a stopgap, but it's better than doing nothing.
context: It's not anything in particular,\if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders,\and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing. response:	What's Master Souya like?
context: if anything, maybe I'd say it's your viewpoints.\Of course, you're both all-rounders,\and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like? response:	Oh, that's right.
context: Of course, you're both all-rounders,\and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like?\Oh, that's right. response:	When you have that many titles, you don't really show up at the Shogi Hall.
context: and your flexibility in switching between offense and defense,\and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like?\Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall. response:	Maybe to sign certificates.
context: and the timing of your judgment when pressed for an answer.\So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like?\Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates. response:	So, let's see...
context: So when you're sitting across from me and playing as you like,\it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like?\Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates.\So, let's see... response:	He reminds me of a bird.
context: it feels a little like I've captured the feeling of a viewpoint similar to Souya's.\It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like?\Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates.\So, let's see...\He reminds me of a bird. response:	A bird?
context: It's probably just a stopgap, but it's better than doing nothing.\What's Master Souya like?\Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates.\So, let's see...\He reminds me of a bird.\A bird? response:	Yes. Quiet, white, and gentle, like an egret or crane.
context: What's Master Souya like?\Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates.\So, let's see...\He reminds me of a bird.\A bird?\Yes. Quiet, white, and gentle, like an egret or crane. response:	One of those thin big birds.
context: Oh, that's right.\When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates.\So, let's see...\He reminds me of a bird.\A bird?\Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds. response:	You know The Tortoise and the Hare, right?
context: When you have that many titles, you don't really show up at the Shogi Hall.\Maybe to sign certificates.\So, let's see...\He reminds me of a bird.\A bird?\Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds.\You know The Tortoise and the Hare, right? response:	He's higher than the hare.
context: Maybe to sign certificates.\So, let's see...\He reminds me of a bird.\A bird?\Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds.\You know The Tortoise and the Hare, right?\He's higher than the hare. response:	Not a hare, but a bird.
context: So, let's see...\He reminds me of a bird.\A bird?\Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds.\You know The Tortoise and the Hare, right?\He's higher than the hare.\Not a hare, but a bird. response:	When I look at Souya, I feel like a tortoise or a bug crawling on the ground.
context: He reminds me of a bird.\A bird?\Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds.\You know The Tortoise and the Hare, right?\He's higher than the hare.\Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground. response:	I'm not belittling myself. That's just the image I see.
context: A bird?\Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds.\You know The Tortoise and the Hare, right?\He's higher than the hare.\Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see. response:	What stumps me is the hare self-destructs by being overconfident,
context: Yes. Quiet, white, and gentle, like an egret or crane.\One of those thin big birds.\You know The Tortoise and the Hare, right?\He's higher than the hare.\Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident, response:	but Souya...
context: One of those thin big birds.\You know The Tortoise and the Hare, right?\He's higher than the hare.\Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident,\but Souya... response:	even though he is someone who is labeled as a genius, he doesn't slack off.
context: You know The Tortoise and the Hare, right?\He's higher than the hare.\Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident,\but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off. response:	No matter how high he climbs, he never relaxes and is never overconfident.
context: He's higher than the hare.\Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident,\but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident. response:	That's why I can't reduce the distance.
context: Not a hare, but a bird.\When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident,\but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance. response:	No matter how far I go.
context: When I look at Souya, I feel like a tortoise or a bug crawling on the ground.\I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident,\but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance.\No matter how far I go. response:	I would always just watch.
context: I'm not belittling myself. That's just the image I see.\What stumps me is the hare self-destructs by being overconfident,\but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance.\No matter how far I go.\I would always just watch. response:	I watched as Souya, the same age as me, blew in and out of the association like a wind.
context: What stumps me is the hare self-destructs by being overconfident,\but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance.\No matter how far I go.\I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind. response:	I watched as he became a professional and quickly ascended the ranks.
context: but Souya...\even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance.\No matter how far I go.\I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks. response:	But just because the distance between us isnt decreasing,
context: even though he is someone who is labeled as a genius, he doesn't slack off.\No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance.\No matter how far I go.\I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing, response:	thats no reason for me to stop trying to progress.
context: No matter how high he climbs, he never relaxes and is never overconfident.\That's why I can't reduce the distance.\No matter how far I go.\I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress. response:	Just because it's obvious that I couldn't get ahead of him
context: That's why I can't reduce the distance.\No matter how far I go.\I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him response:	is not an excuse for me to not make an effort.
context: No matter how far I go.\I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort. response:	Mr. Shimada?
context: I would always just watch.\I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort.\Mr. Shimada? response:	We should go see a doctor. Please, let me take you to one.
context: I watched as Souya, the same age as me, blew in and out of the association like a wind.\I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort.\Mr. Shimada?\We should go see a doctor. Please, let me take you to one. response:	No, I'm fine. I already go to the doctor.
context: I watched as he became a professional and quickly ascended the ranks.\But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort.\Mr. Shimada?\We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor. response:	But Mr. Shimada...
context: But just because the distance between us isnt decreasing,\thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort.\Mr. Shimada?\We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor.\But Mr. Shimada... response:	I've got plenty of medicine, too.
context: thats no reason for me to stop trying to progress.\Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort.\Mr. Shimada?\We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor.\But Mr. Shimada...\I've got plenty of medicine, too. response:	I've been living with stomach pain since my teens, you know.
context: Just because it's obvious that I couldn't get ahead of him\is not an excuse for me to not make an effort.\Mr. Shimada?\We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor.\But Mr. Shimada...\I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know. response:	It's part of my daily life now.
context: is not an excuse for me to not make an effort.\Mr. Shimada?\We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor.\But Mr. Shimada...\I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know.\It's part of my daily life now. response:	I sure hate it though.
context: Mr. Shimada?\We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor.\But Mr. Shimada...\I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know.\It's part of my daily life now.\I sure hate it though. response:	My innards are the only thing I can't train to be stronger.
context: We should go see a doctor. Please, let me take you to one.\No, I'm fine. I already go to the doctor.\But Mr. Shimada...\I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know.\It's part of my daily life now.\I sure hate it though.\My innards are the only thing I can't train to be stronger. response:	Sorry, Kiriyama, could you get me some water?
context: No, I'm fine. I already go to the doctor.\But Mr. Shimada...\I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know.\It's part of my daily life now.\I sure hate it though.\My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water? response:	Sure.
context: But Mr. Shimada...\I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know.\It's part of my daily life now.\I sure hate it though.\My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water?\Sure. response:	Sorry for summoning you here when I'm like this.
context: I've got plenty of medicine, too.\I've been living with stomach pain since my teens, you know.\It's part of my daily life now.\I sure hate it though.\My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water?\Sure.\Sorry for summoning you here when I'm like this. response:	Please, stop with that.
context: I've been living with stomach pain since my teens, you know.\It's part of my daily life now.\I sure hate it though.\My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water?\Sure.\Sorry for summoning you here when I'm like this.\Please, stop with that. response:	I don't mind at all.
context: It's part of my daily life now.\I sure hate it though.\My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water?\Sure.\Sorry for summoning you here when I'm like this.\Please, stop with that.\I don't mind at all. response:	All right. Will you hang out with me for a little longer?
context: I sure hate it though.\My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water?\Sure.\Sorry for summoning you here when I'm like this.\Please, stop with that.\I don't mind at all.\All right. Will you hang out with me for a little longer? response:	I won the right to challenge him.
context: My innards are the only thing I can't train to be stronger.\Sorry, Kiriyama, could you get me some water?\Sure.\Sorry for summoning you here when I'm like this.\Please, stop with that.\I don't mind at all.\All right. Will you hang out with me for a little longer?\I won the right to challenge him. response:	I just don't want it to come to a pathetic end, no matter what.
context: Sorry, Kiriyama, could you get me some water?\Sure.\Sorry for summoning you here when I'm like this.\Please, stop with that.\I don't mind at all.\All right. Will you hang out with me for a little longer?\I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what. response:	That would be inexcusable.
context: Sure.\Sorry for summoning you here when I'm like this.\Please, stop with that.\I don't mind at all.\All right. Will you hang out with me for a little longer?\I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable. response:	After all, they've still got it hanging up
context: Sorry for summoning you here when I'm like this.\Please, stop with that.\I don't mind at all.\All right. Will you hang out with me for a little longer?\I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable.\After all, they've still got it hanging up response:	at my local train station, even today.
context: Please, stop with that.\I don't mind at all.\All right. Will you hang out with me for a little longer?\I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable.\After all, they've still got it hanging up\at my local train station, even today. response:	What makes it worse is I'm the only one.
context: I don't mind at all.\All right. Will you hang out with me for a little longer?\I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable.\After all, they've still got it hanging up\at my local train station, even today.\What makes it worse is I'm the only one. response:	I'm the only Rank B or higher from Yamagata.
context: All right. Will you hang out with me for a little longer?\I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable.\After all, they've still got it hanging up\at my local train station, even today.\What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata. response:	That's why I have to do this.
context: I won the right to challenge him.\I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable.\After all, they've still got it hanging up\at my local train station, even today.\What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata.\That's why I have to do this. response:	From the City of Shogi, Tendou, Let's Get a Master!
context: I just don't want it to come to a pathetic end, no matter what.\That would be inexcusable.\After all, they've still got it hanging up\at my local train station, even today.\What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata.\That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master! response:	No matter what, I just can't let that banner hang there and become stained.
context: That would be inexcusable.\After all, they've still got it hanging up\at my local train station, even today.\What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata.\That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained. response:	Passing the Night
context: After all, they've still got it hanging up\at my local train station, even today.\What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata.\That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained.\Passing the Night response:	Kyoto (Part 1)
context: at my local train station, even today.\What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata.\That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained.\Passing the Night\Kyoto (Part 1) response:	And, there.
context: What makes it worse is I'm the only one.\I'm the only Rank B or higher from Yamagata.\That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained.\Passing the Night\Kyoto (Part 1)\And, there. response:	Nozomi 15 will be departing at 8:05.
context: I'm the only Rank B or higher from Yamagata.\That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained.\Passing the Night\Kyoto (Part 1)\And, there.\Nozomi 15 will be departing at 8:05. response:	Here's a blanket.
context: That's why I have to do this.\From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained.\Passing the Night\Kyoto (Part 1)\And, there.\Nozomi 15 will be departing at 8:05.\Here's a blanket. response:	And if you'd like some warm tea...
context: From the City of Shogi, Tendou, Let's Get a Master!\No matter what, I just can't let that banner hang there and become stained.\Passing the Night\Kyoto (Part 1)\And, there.\Nozomi 15 will be departing at 8:05.\Here's a blanket.\And if you'd like some warm tea... response:	I'll put it in the front pocket.
context: No matter what, I just can't let that banner hang there and become stained.\Passing the Night\Kyoto (Part 1)\And, there.\Nozomi 15 will be departing at 8:05.\Here's a blanket.\And if you'd like some warm tea...\I'll put it in the front pocket. response:	Sorry for the trouble, Kiriyama.
context: Passing the Night\Kyoto (Part 1)\And, there.\Nozomi 15 will be departing at 8:05.\Here's a blanket.\And if you'd like some warm tea...\I'll put it in the front pocket.\Sorry for the trouble, Kiriyama. response:	It'll take just over two hours.
context: Kyoto (Part 1)\And, there.\Nozomi 15 will be departing at 8:05.\Here's a blanket.\And if you'd like some warm tea...\I'll put it in the front pocket.\Sorry for the trouble, Kiriyama.\It'll take just over two hours. response:	I'll wake you up when we arrive, so please get some sleep.
context: And, there.\Nozomi 15 will be departing at 8:05.\Here's a blanket.\And if you'd like some warm tea...\I'll put it in the front pocket.\Sorry for the trouble, Kiriyama.\It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep. response:	Thanks, I'm counting on you.
context: Nozomi 15 will be departing at 8:05.\Here's a blanket.\And if you'd like some warm tea...\I'll put it in the front pocket.\Sorry for the trouble, Kiriyama.\It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you. response:	Sure.
context: Here's a blanket.\And if you'd like some warm tea...\I'll put it in the front pocket.\Sorry for the trouble, Kiriyama.\It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you.\Sure. response:	From then...
context: And if you'd like some warm tea...\I'll put it in the front pocket.\Sorry for the trouble, Kiriyama.\It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you.\Sure.\From then... response:	It's already do-or-die
context: I'll put it in the front pocket.\Sorry for the trouble, Kiriyama.\It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you.\Sure.\From then...\It's already do-or-die response:	Straight losses... That's the one thing I don't want.
context: Sorry for the trouble, Kiriyama.\It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you.\Sure.\From then...\It's already do-or-die\Straight losses... That's the one thing I don't want. response:	I continued practicing with him, even in that state.
context: It'll take just over two hours.\I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you.\Sure.\From then...\It's already do-or-die\Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state. response:	I'll go with you.
context: I'll wake you up when we arrive, so please get some sleep.\Thanks, I'm counting on you.\Sure.\From then...\It's already do-or-die\Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state.\I'll go with you. response:	I can't let you go alone.
context: Thanks, I'm counting on you.\Sure.\From then...\It's already do-or-die\Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state.\I'll go with you.\I can't let you go alone. response:	Alright.
context: Sure.\From then...\It's already do-or-die\Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state.\I'll go with you.\I can't let you go alone.\Alright. response:	However...
context: From then...\It's already do-or-die\Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state.\I'll go with you.\I can't let you go alone.\Alright.\However... response:	looking at Mr. Shimada's pale sleeping face,
context: It's already do-or-die\Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state.\I'll go with you.\I can't let you go alone.\Alright.\However...\looking at Mr. Shimada's pale sleeping face, response:	I had the feeling I should have refused everything
