context: Is this the place that the monk spoke of?! response:	A hair cord...
context: Hey, are you two listening?!\Inuyasha...\I will never let you go.\Come with me to hell.\He's being dragged in!\Inuyasha, what're you doing?! You must get away!\No! He's unconscious!\Kikyo! You can hear me, I know! response:	You coward!
context: Inuyasha...\I will never let you go.\Come with me to hell.\He's being dragged in!\Inuyasha, what're you doing?! You must get away!\No! He's unconscious!\Kikyo! You can hear me, I know!\You coward! response:	Inuyasha said he wants to be with you...
context: I will never let you go.\Come with me to hell.\He's being dragged in!\Inuyasha, what're you doing?! You must get away!\No! He's unconscious!\Kikyo! You can hear me, I know!\You coward!\Inuyasha said he wants to be with you... response:	but he never said he wanted to die with you!
context: Come with me to hell.\He's being dragged in!\Inuyasha, what're you doing?! You must get away!\No! He's unconscious!\Kikyo! You can hear me, I know!\You coward!\Inuyasha said he wants to be with you...\but he never said he wanted to die with you! response:	Unlike you, Inuyasha must go after Naraku...
context: He's being dragged in!\Inuyasha, what're you doing?! You must get away!\No! He's unconscious!\Kikyo! You can hear me, I know!\You coward!\Inuyasha said he wants to be with you...\but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku... response:	who tricked him fifty years ago!
context: Inuyasha, what're you doing?! You must get away!\No! He's unconscious!\Kikyo! You can hear me, I know!\You coward!\Inuyasha said he wants to be with you...\but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago! response:	More than anything, Inuyasha wants to live to fight!
context: No! He's unconscious!\Kikyo! You can hear me, I know!\You coward!\Inuyasha said he wants to be with you...\but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight! response:	Inuyasha is determined to avenge your death as well!
context: Kikyo! You can hear me, I know!\You coward!\Inuyasha said he wants to be with you...\but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well! response:	You understand?
context: You coward!\Inuyasha said he wants to be with you...\but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well!\You understand? response:	Kikyo!
context: Inuyasha said he wants to be with you...\but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well!\You understand?\Kikyo! response:	Will getting revenge bring this body back to life?!
context: but he never said he wanted to die with you!\Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well!\You understand?\Kikyo!\Will getting revenge bring this body back to life?! response:	Inuyasha...
context: Unlike you, Inuyasha must go after Naraku...\who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well!\You understand?\Kikyo!\Will getting revenge bring this body back to life?!\Inuyasha... response:	Rather than live with my memory...
context: who tricked him fifty years ago!\More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well!\You understand?\Kikyo!\Will getting revenge bring this body back to life?!\Inuyasha...\Rather than live with my memory... response:	come with me.
context: More than anything, Inuyasha wants to live to fight!\Inuyasha is determined to avenge your death as well!\You understand?\Kikyo!\Will getting revenge bring this body back to life?!\Inuyasha...\Rather than live with my memory...\come with me. response:	You and I have the same wish.
context: Inuyasha is determined to avenge your death as well!\You understand?\Kikyo!\Will getting revenge bring this body back to life?!\Inuyasha...\Rather than live with my memory...\come with me.\You and I have the same wish. response:	How dare you!
context: You understand?\Kikyo!\Will getting revenge bring this body back to life?!\Inuyasha...\Rather than live with my memory...\come with me.\You and I have the same wish.\How dare you! response:	If Inuyasha were conscious, he would never follow you!
context: Kikyo!\Will getting revenge bring this body back to life?!\Inuyasha...\Rather than live with my memory...\come with me.\You and I have the same wish.\How dare you!\If Inuyasha were conscious, he would never follow you! response:	No way!
context: Will getting revenge bring this body back to life?!\Inuyasha...\Rather than live with my memory...\come with me.\You and I have the same wish.\How dare you!\If Inuyasha were conscious, he would never follow you!\No way! response:	Get away from Inuyasha!
context: Inuyasha...\Rather than live with my memory...\come with me.\You and I have the same wish.\How dare you!\If Inuyasha were conscious, he would never follow you!\No way!\Get away from Inuyasha! response:	Do... not... touch... Inuyasha!
context: Rather than live with my memory...\come with me.\You and I have the same wish.\How dare you!\If Inuyasha were conscious, he would never follow you!\No way!\Get away from Inuyasha!\Do... not... touch... Inuyasha! response:	This girl...
context: come with me.\You and I have the same wish.\How dare you!\If Inuyasha were conscious, he would never follow you!\No way!\Get away from Inuyasha!\Do... not... touch... Inuyasha!\This girl... response:	She's taking my souls once again!
context: You and I have the same wish.\How dare you!\If Inuyasha were conscious, he would never follow you!\No way!\Get away from Inuyasha!\Do... not... touch... Inuyasha!\This girl...\She's taking my souls once again! response:	Before this body is completely emptied...
context: How dare you!\If Inuyasha were conscious, he would never follow you!\No way!\Get away from Inuyasha!\Do... not... touch... Inuyasha!\This girl...\She's taking my souls once again!\Before this body is completely emptied... response:	Inuyasha! Come!
context: If Inuyasha were conscious, he would never follow you!\No way!\Get away from Inuyasha!\Do... not... touch... Inuyasha!\This girl...\She's taking my souls once again!\Before this body is completely emptied...\Inuyasha! Come! response:	No! Wake up, Inuyasha!
context: No way!\Get away from Inuyasha!\Do... not... touch... Inuyasha!\This girl...\She's taking my souls once again!\Before this body is completely emptied...\Inuyasha! Come!\No! Wake up, Inuyasha! response:	Inuyasha! Inuyasha!
context: Get away from Inuyasha!\Do... not... touch... Inuyasha!\This girl...\She's taking my souls once again!\Before this body is completely emptied...\Inuyasha! Come!\No! Wake up, Inuyasha!\Inuyasha! Inuyasha! response:	No! Wake up!
context: Do... not... touch... Inuyasha!\This girl...\She's taking my souls once again!\Before this body is completely emptied...\Inuyasha! Come!\No! Wake up, Inuyasha!\Inuyasha! Inuyasha!\No! Wake up! response:	Inuyasha! Inuyasha!
context: This girl...\She's taking my souls once again!\Before this body is completely emptied...\Inuyasha! Come!\No! Wake up, Inuyasha!\Inuyasha! Inuyasha!\No! Wake up!\Inuyasha! Inuyasha! response:	Kagome's voice...
context: She's taking my souls once again!\Before this body is completely emptied...\Inuyasha! Come!\No! Wake up, Inuyasha!\Inuyasha! Inuyasha!\No! Wake up!\Inuyasha! Inuyasha!\Kagome's voice... response:	Kagome...is...here?
context: Before this body is completely emptied...\Inuyasha! Come!\No! Wake up, Inuyasha!\Inuyasha! Inuyasha!\No! Wake up!\Inuyasha! Inuyasha!\Kagome's voice...\Kagome...is...here? response:	Ka...go...me?
context: Inuyasha! Come!\No! Wake up, Inuyasha!\Inuyasha! Inuyasha!\No! Wake up!\Inuyasha! Inuyasha!\Kagome's voice...\Kagome...is...here?\Ka...go...me? response:	Kagome!
context: No! Wake up, Inuyasha!\Inuyasha! Inuyasha!\No! Wake up!\Inuyasha! Inuyasha!\Kagome's voice...\Kagome...is...here?\Ka...go...me?\Kagome! response:	Kagome!
context: Inuyasha! Inuyasha!\No! Wake up!\Inuyasha! Inuyasha!\Kagome's voice...\Kagome...is...here?\Ka...go...me?\Kagome!\Kagome! response:	What're you doing here?
context: No! Wake up!\Inuyasha! Inuyasha!\Kagome's voice...\Kagome...is...here?\Ka...go...me?\Kagome!\Kagome!\What're you doing here? response:	Huh!? What about you?
context: Inuyasha! Inuyasha!\Kagome's voice...\Kagome...is...here?\Ka...go...me?\Kagome!\Kagome!\What're you doing here?\Huh!? What about you? response:	Me? Well... err...
context: Kagome's voice...\Kagome...is...here?\Ka...go...me?\Kagome!\Kagome!\What're you doing here?\Huh!? What about you?\Me? Well... err... response:	Kikyo!
context: Kagome...is...here?\Ka...go...me?\Kagome!\Kagome!\What're you doing here?\Huh!? What about you?\Me? Well... err...\Kikyo! response:	Is that girl more dear to you?
context: Ka...go...me?\Kagome!\Kagome!\What're you doing here?\Huh!? What about you?\Me? Well... err...\Kikyo!\Is that girl more dear to you? response:	Huh... uh...
context: Kagome!\Kagome!\What're you doing here?\Huh!? What about you?\Me? Well... err...\Kikyo!\Is that girl more dear to you?\Huh... uh... response:	Wait, Kikyo!
context: Kagome!\What're you doing here?\Huh!? What about you?\Me? Well... err...\Kikyo!\Is that girl more dear to you?\Huh... uh...\Wait, Kikyo! response:	Inuyasha, do not forget.
context: What're you doing here?\Huh!? What about you?\Me? Well... err...\Kikyo!\Is that girl more dear to you?\Huh... uh...\Wait, Kikyo!\Inuyasha, do not forget. response:	My feeling when my lips were against yours...
context: Huh!? What about you?\Me? Well... err...\Kikyo!\Is that girl more dear to you?\Huh... uh...\Wait, Kikyo!\Inuyasha, do not forget.\My feeling when my lips were against yours... response:	was real.
context: Me? Well... err...\Kikyo!\Is that girl more dear to you?\Huh... uh...\Wait, Kikyo!\Inuyasha, do not forget.\My feeling when my lips were against yours...\was real. response:	Do not forget.
context: Kikyo!\Is that girl more dear to you?\Huh... uh...\Wait, Kikyo!\Inuyasha, do not forget.\My feeling when my lips were against yours...\was real.\Do not forget. response:	Kikyo...
context: Is that girl more dear to you?\Huh... uh...\Wait, Kikyo!\Inuyasha, do not forget.\My feeling when my lips were against yours...\was real.\Do not forget.\Kikyo... response:	H-hey!
context: Huh... uh...\Wait, Kikyo!\Inuyasha, do not forget.\My feeling when my lips were against yours...\was real.\Do not forget.\Kikyo...\H-hey! response:	Don't come!
context: Wait, Kikyo!\Inuyasha, do not forget.\My feeling when my lips were against yours...\was real.\Do not forget.\Kikyo...\H-hey!\Don't come! response:	What're you so mad about?
context: Inuyasha, do not forget.\My feeling when my lips were against yours...\was real.\Do not forget.\Kikyo...\H-hey!\Don't come!\What're you so mad about? response:	You know, Inuyasha...
context: My feeling when my lips were against yours...\was real.\Do not forget.\Kikyo...\H-hey!\Don't come!\What're you so mad about?\You know, Inuyasha... response:	do you think you can find the Sacred Jewels alone?
context: was real.\Do not forget.\Kikyo...\H-hey!\Don't come!\What're you so mad about?\You know, Inuyasha...\do you think you can find the Sacred Jewels alone? response:	What're you saying?!
context: Do not forget.\Kikyo...\H-hey!\Don't come!\What're you so mad about?\You know, Inuyasha...\do you think you can find the Sacred Jewels alone?\What're you saying?! response:	You're the only one who can see the Jewels.
context: Kikyo...\H-hey!\Don't come!\What're you so mad about?\You know, Inuyasha...\do you think you can find the Sacred Jewels alone?\What're you saying?!\You're the only one who can see the Jewels. response:	Of course, you have to help!
context: H-hey!\Don't come!\What're you so mad about?\You know, Inuyasha...\do you think you can find the Sacred Jewels alone?\What're you saying?!\You're the only one who can see the Jewels.\Of course, you have to help! response:	That's all, right?
context: Don't come!\What're you so mad about?\You know, Inuyasha...\do you think you can find the Sacred Jewels alone?\What're you saying?!\You're the only one who can see the Jewels.\Of course, you have to help!\That's all, right? response:	That's all you need me for.
context: What're you so mad about?\You know, Inuyasha...\do you think you can find the Sacred Jewels alone?\What're you saying?!\You're the only one who can see the Jewels.\Of course, you have to help!\That's all, right?\That's all you need me for. response:	What a thing to say. Sorry! Forget I said that.
context: You know, Inuyasha...\do you think you can find the Sacred Jewels alone?\What're you saying?!\You're the only one who can see the Jewels.\Of course, you have to help!\That's all, right?\That's all you need me for.\What a thing to say. Sorry! Forget I said that. response:	Maybe it's because I'm alone in this strange world.
context: do you think you can find the Sacred Jewels alone?\What're you saying?!\You're the only one who can see the Jewels.\Of course, you have to help!\That's all, right?\That's all you need me for.\What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world. response:	I'm feeling Ionely.
context: What're you saying?!\You're the only one who can see the Jewels.\Of course, you have to help!\That's all, right?\That's all you need me for.\What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world.\I'm feeling Ionely. response:	I'm here!
context: You're the only one who can see the Jewels.\Of course, you have to help!\That's all, right?\That's all you need me for.\What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world.\I'm feeling Ionely.\I'm here! response:	You have me, don't you?!
context: Of course, you have to help!\That's all, right?\That's all you need me for.\What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world.\I'm feeling Ionely.\I'm here!\You have me, don't you?! response:	Inuyasha...
context: That's all, right?\That's all you need me for.\What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world.\I'm feeling Ionely.\I'm here!\You have me, don't you?!\Inuyasha... response:	I get it. You couldn't see me, could you?
context: That's all you need me for.\What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world.\I'm feeling Ionely.\I'm here!\You have me, don't you?!\Inuyasha...\I get it. You couldn't see me, could you? response:	Huh?
context: What a thing to say. Sorry! Forget I said that.\Maybe it's because I'm alone in this strange world.\I'm feeling Ionely.\I'm here!\You have me, don't you?!\Inuyasha...\I get it. You couldn't see me, could you?\Huh? response:	I'm sorry, but I did see it all.
context: Maybe it's because I'm alone in this strange world.\I'm feeling Ionely.\I'm here!\You have me, don't you?!\Inuyasha...\I get it. You couldn't see me, could you?\Huh?\I'm sorry, but I did see it all. response:	See it all?
context: I'm feeling Ionely.\I'm here!\You have me, don't you?!\Inuyasha...\I get it. You couldn't see me, could you?\Huh?\I'm sorry, but I did see it all.\See it all? response:	From the start to finish.
context: I'm here!\You have me, don't you?!\Inuyasha...\I get it. You couldn't see me, could you?\Huh?\I'm sorry, but I did see it all.\See it all?\From the start to finish. response:	So, please leave me alone for a while.
context: You have me, don't you?!\Inuyasha...\I get it. You couldn't see me, could you?\Huh?\I'm sorry, but I did see it all.\See it all?\From the start to finish.\So, please leave me alone for a while. response:	H-hey! What's this about...
context: Inuyasha...\I get it. You couldn't see me, could you?\Huh?\I'm sorry, but I did see it all.\See it all?\From the start to finish.\So, please leave me alone for a while.\H-hey! What's this about... response:	Start to finish?!
context: I get it. You couldn't see me, could you?\Huh?\I'm sorry, but I did see it all.\See it all?\From the start to finish.\So, please leave me alone for a while.\H-hey! What's this about...\Start to finish?! response:	Kagome!
context: Huh?\I'm sorry, but I did see it all.\See it all?\From the start to finish.\So, please leave me alone for a while.\H-hey! What's this about...\Start to finish?!\Kagome! response:	What did I do?
context: I'm sorry, but I did see it all.\See it all?\From the start to finish.\So, please leave me alone for a while.\H-hey! What's this about...\Start to finish?!\Kagome!\What did I do? response:	Hey! Kagome! Tell me!
context: See it all?\From the start to finish.\So, please leave me alone for a while.\H-hey! What's this about...\Start to finish?!\Kagome!\What did I do?\Hey! Kagome! Tell me! response:	Sit!
context: From the start to finish.\So, please leave me alone for a while.\H-hey! What's this about...\Start to finish?!\Kagome!\What did I do?\Hey! Kagome! Tell me!\Sit! response:	Start to finish means everything!
context: So, please leave me alone for a while.\H-hey! What's this about...\Start to finish?!\Kagome!\What did I do?\Hey! Kagome! Tell me!\Sit!\Start to finish means everything! response:	I saw everything! From a front row seat!
context: H-hey! What's this about...\Start to finish?!\Kagome!\What did I do?\Hey! Kagome! Tell me!\Sit!\Start to finish means everything!\I saw everything! From a front row seat! response:	I'm leaving.
context: Start to finish?!\Kagome!\What did I do?\Hey! Kagome! Tell me!\Sit!\Start to finish means everything!\I saw everything! From a front row seat!\I'm leaving. response:	What? You found her?
context: Kagome!\What did I do?\Hey! Kagome! Tell me!\Sit!\Start to finish means everything!\I saw everything! From a front row seat!\I'm leaving.\What? You found her? response:	Inuyasha! What're you doing here?
context: What did I do?\Hey! Kagome! Tell me!\Sit!\Start to finish means everything!\I saw everything! From a front row seat!\I'm leaving.\What? You found her?\Inuyasha! What're you doing here? response:	Have you seen Kagome?
context: Hey! Kagome! Tell me!\Sit!\Start to finish means everything!\I saw everything! From a front row seat!\I'm leaving.\What? You found her?\Inuyasha! What're you doing here?\Have you seen Kagome? response:	I've seen that pose before.
context: Sit!\Start to finish means everything!\I saw everything! From a front row seat!\I'm leaving.\What? You found her?\Inuyasha! What're you doing here?\Have you seen Kagome?\I've seen that pose before. response:	It must mean that Kagome is just fine.
context: Start to finish means everything!\I saw everything! From a front row seat!\I'm leaving.\What? You found her?\Inuyasha! What're you doing here?\Have you seen Kagome?\I've seen that pose before.\It must mean that Kagome is just fine. response:	And that Kagome is full of energy.
context: I saw everything! From a front row seat!\I'm leaving.\What? You found her?\Inuyasha! What're you doing here?\Have you seen Kagome?\I've seen that pose before.\It must mean that Kagome is just fine.\And that Kagome is full of energy. response:	Sister Kikyo!
context: I'm leaving.\What? You found her?\Inuyasha! What're you doing here?\Have you seen Kagome?\I've seen that pose before.\It must mean that Kagome is just fine.\And that Kagome is full of energy.\Sister Kikyo! response:	What's the matter, Kaede?
context: What? You found her?\Inuyasha! What're you doing here?\Have you seen Kagome?\I've seen that pose before.\It must mean that Kagome is just fine.\And that Kagome is full of energy.\Sister Kikyo!\What's the matter, Kaede? response:	Are you afraid of your own sister?
context: Inuyasha! What're you doing here?\Have you seen Kagome?\I've seen that pose before.\It must mean that Kagome is just fine.\And that Kagome is full of energy.\Sister Kikyo!\What's the matter, Kaede?\Are you afraid of your own sister? response:	N-no...
context: Have you seen Kagome?\I've seen that pose before.\It must mean that Kagome is just fine.\And that Kagome is full of energy.\Sister Kikyo!\What's the matter, Kaede?\Are you afraid of your own sister?\N-no... response:	Since the day you fell from the cliff, I thought...
context: I've seen that pose before.\It must mean that Kagome is just fine.\And that Kagome is full of energy.\Sister Kikyo!\What's the matter, Kaede?\Are you afraid of your own sister?\N-no...\Since the day you fell from the cliff, I thought... response:	Yes, I am a dead woman.
context: It must mean that Kagome is just fine.\And that Kagome is full of energy.\Sister Kikyo!\What's the matter, Kaede?\Are you afraid of your own sister?\N-no...\Since the day you fell from the cliff, I thought...\Yes, I am a dead woman. response:	But I guess I still long for this world.
context: And that Kagome is full of energy.\Sister Kikyo!\What's the matter, Kaede?\Are you afraid of your own sister?\N-no...\Since the day you fell from the cliff, I thought...\Yes, I am a dead woman.\But I guess I still long for this world. response:	Do you still seek Inuyasha's life?
context: Sister Kikyo!\What's the matter, Kaede?\Are you afraid of your own sister?\N-no...\Since the day you fell from the cliff, I thought...\Yes, I am a dead woman.\But I guess I still long for this world.\Do you still seek Inuyasha's life? response:	I just met Inuyasha moments ago.
context: What's the matter, Kaede?\Are you afraid of your own sister?\N-no...\Since the day you fell from the cliff, I thought...\Yes, I am a dead woman.\But I guess I still long for this world.\Do you still seek Inuyasha's life?\I just met Inuyasha moments ago. response:	And I barely missed killing him.
context: Are you afraid of your own sister?\N-no...\Since the day you fell from the cliff, I thought...\Yes, I am a dead woman.\But I guess I still long for this world.\Do you still seek Inuyasha's life?\I just met Inuyasha moments ago.\And I barely missed killing him. response:	Tell me, Kaede.
context: N-no...\Since the day you fell from the cliff, I thought...\Yes, I am a dead woman.\But I guess I still long for this world.\Do you still seek Inuyasha's life?\I just met Inuyasha moments ago.\And I barely missed killing him.\Tell me, Kaede. response:	Tell me everything you know about this Naraku.
context: Since the day you fell from the cliff, I thought...\Yes, I am a dead woman.\But I guess I still long for this world.\Do you still seek Inuyasha's life?\I just met Inuyasha moments ago.\And I barely missed killing him.\Tell me, Kaede.\Tell me everything you know about this Naraku. response:	My rotten spirit has some use after all.
context: Yes, I am a dead woman.\But I guess I still long for this world.\Do you still seek Inuyasha's life?\I just met Inuyasha moments ago.\And I barely missed killing him.\Tell me, Kaede.\Tell me everything you know about this Naraku.\My rotten spirit has some use after all. response:	Doesn't it look good? Don't you want to devour me?
context: But I guess I still long for this world.\Do you still seek Inuyasha's life?\I just met Inuyasha moments ago.\And I barely missed killing him.\Tell me, Kaede.\Tell me everything you know about this Naraku.\My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me? response:	I want a body that moves freely.
context: Do you still seek Inuyasha's life?\I just met Inuyasha moments ago.\And I barely missed killing him.\Tell me, Kaede.\Tell me everything you know about this Naraku.\My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me?\I want a body that moves freely. response:	In order to posses the Sacred Jewel... and Kikyo.
context: I just met Inuyasha moments ago.\And I barely missed killing him.\Tell me, Kaede.\Tell me everything you know about this Naraku.\My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me?\I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo. response:	Now eat me!
context: And I barely missed killing him.\Tell me, Kaede.\Tell me everything you know about this Naraku.\My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me?\I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo.\Now eat me! response:	And pass on power... to me!
context: Tell me, Kaede.\Tell me everything you know about this Naraku.\My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me?\I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo.\Now eat me!\And pass on power... to me! response:	Everything started from the evil designs of Onigumo.
context: Tell me everything you know about this Naraku.\My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me?\I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo.\Now eat me!\And pass on power... to me!\Everything started from the evil designs of Onigumo. response:	He called forth the demons and was eaten by them...
context: My rotten spirit has some use after all.\Doesn't it look good? Don't you want to devour me?\I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo.\Now eat me!\And pass on power... to me!\Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them... response:	thus was born the demon Naraku.
context: Doesn't it look good? Don't you want to devour me?\I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo.\Now eat me!\And pass on power... to me!\Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them...\thus was born the demon Naraku. response:	I see... That wild robber.
context: I want a body that moves freely.\In order to posses the Sacred Jewel... and Kikyo.\Now eat me!\And pass on power... to me!\Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them...\thus was born the demon Naraku.\I see... That wild robber. response:	Yes.
context: In order to posses the Sacred Jewel... and Kikyo.\Now eat me!\And pass on power... to me!\Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them...\thus was born the demon Naraku.\I see... That wild robber.\Yes. response:	He used to say that the Sacred Jewel grows in beauty...
context: Now eat me!\And pass on power... to me!\Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them...\thus was born the demon Naraku.\I see... That wild robber.\Yes.\He used to say that the Sacred Jewel grows in beauty... response:	when it is tainted.
context: And pass on power... to me!\Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them...\thus was born the demon Naraku.\I see... That wild robber.\Yes.\He used to say that the Sacred Jewel grows in beauty...\when it is tainted. response:	He caused hatred between myself and Inuyasha...
context: Everything started from the evil designs of Onigumo.\He called forth the demons and was eaten by them...\thus was born the demon Naraku.\I see... That wild robber.\Yes.\He used to say that the Sacred Jewel grows in beauty...\when it is tainted.\He caused hatred between myself and Inuyasha... response:	then stole the Jewel that had been sullied.
context: He called forth the demons and was eaten by them...\thus was born the demon Naraku.\I see... That wild robber.\Yes.\He used to say that the Sacred Jewel grows in beauty...\when it is tainted.\He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied. response:	My sister... Inuyasha was seriously wounded by Naraku again.
context: thus was born the demon Naraku.\I see... That wild robber.\Yes.\He used to say that the Sacred Jewel grows in beauty...\when it is tainted.\He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again. response:	So...
context: I see... That wild robber.\Yes.\He used to say that the Sacred Jewel grows in beauty...\when it is tainted.\He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again.\So... response:	I just thought I should know the circumstances of my death.
context: Yes.\He used to say that the Sacred Jewel grows in beauty...\when it is tainted.\He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again.\So...\I just thought I should know the circumstances of my death. response:	By the way, Inuyasha has changed.
context: He used to say that the Sacred Jewel grows in beauty...\when it is tainted.\He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again.\So...\I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed. response:	His face had a softness.
context: when it is tainted.\He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again.\So...\I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed.\His face had a softness. response:	Back then, he trusted no one... his eyes were cold.
context: He caused hatred between myself and Inuyasha...\then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again.\So...\I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed.\His face had a softness.\Back then, he trusted no one... his eyes were cold. response:	Kagome is a strange child.
context: then stole the Jewel that had been sullied.\My sister... Inuyasha was seriously wounded by Naraku again.\So...\I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed.\His face had a softness.\Back then, he trusted no one... his eyes were cold.\Kagome is a strange child. response:	She has been able to slowly heal Inuyasha's heart.
context: My sister... Inuyasha was seriously wounded by Naraku again.\So...\I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed.\His face had a softness.\Back then, he trusted no one... his eyes were cold.\Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart. response:	That girl again... She's the one who changed him.
context: So...\I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed.\His face had a softness.\Back then, he trusted no one... his eyes were cold.\Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him. response:	If I had lived, I would have been the one to heal his heart.
context: I just thought I should know the circumstances of my death.\By the way, Inuyasha has changed.\His face had a softness.\Back then, he trusted no one... his eyes were cold.\Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart. response:	My sister... are you not able to break away from the past?
context: By the way, Inuyasha has changed.\His face had a softness.\Back then, he trusted no one... his eyes were cold.\Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past? response:	We shall meet again.
context: His face had a softness.\Back then, he trusted no one... his eyes were cold.\Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past?\We shall meet again. response:	How long will you linger... Sister?
context: Back then, he trusted no one... his eyes were cold.\Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past?\We shall meet again.\How long will you linger... Sister? response:	She's gone.
context: Kagome is a strange child.\She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past?\We shall meet again.\How long will you linger... Sister?\She's gone. response:	Inuyasha, Kagome wasn't her usual self.
context: She has been able to slowly heal Inuyasha's heart.\That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past?\We shall meet again.\How long will you linger... Sister?\She's gone.\Inuyasha, Kagome wasn't her usual self. response:	Just what happened with Kikyo?
context: That girl again... She's the one who changed him.\If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past?\We shall meet again.\How long will you linger... Sister?\She's gone.\Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo? response:	What you always do with women...
context: If I had lived, I would have been the one to heal his heart.\My sister... are you not able to break away from the past?\We shall meet again.\How long will you linger... Sister?\She's gone.\Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo?\What you always do with women... response:	Huh?!
context: My sister... are you not able to break away from the past?\We shall meet again.\How long will you linger... Sister?\She's gone.\Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo?\What you always do with women...\Huh?! response:	You! You participated in such an act in front of Kagome?!
