context: Ladies and gentlemen, good evening. response:	On that stormy day that announced the end of spring,
context: I am most grateful to you for allowing me to experience a day such as today.\Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire.\What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length. response:	That just means that compared to the Count, the people of Paris are dull.
context: Not at all. I'm proud that I had the opportunity to introduce you to my parents.\To introduce a man I admire.\What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull. response:	My...
context: To introduce a man I admire.\What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull.\My... response:	You might not know this, Mother, but there's more to the world than Paris.
context: What say you?\I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull.\My...\You might not know this, Mother, but there's more to the world than Paris. response:	Out beyond the walls, there's a world that's endlessly captivating.
context: I would like to invite you to my residence on the Champs-Elysees in the near future.\I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull.\My...\You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating. response:	I think you've changed since your journey to Luna.
context: I'd love to come!\The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull.\My...\You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna. response:	My journey is just beginning.
context: The Count of Monte Cristo was a mysterious man, don't you think?\Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull.\My...\You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna.\My journey is just beginning. response:	Don't go to worlds too far removed from our own.
context: Yes. There was a sternness somewhere in him that keeps people at arm's length.\That just means that compared to the Count, the people of Paris are dull.\My...\You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna.\My journey is just beginning.\Don't go to worlds too far removed from our own. response:	You should exercise moderation in your association with the Count.
context: That just means that compared to the Count, the people of Paris are dull.\My...\You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna.\My journey is just beginning.\Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count. response:	Oh, please, Mother... You sound just like Franz.
context: My...\You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna.\My journey is just beginning.\Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz. response:	Well, even though he seems more than a little shady,
context: You might not know this, Mother, but there's more to the world than Paris.\Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna.\My journey is just beginning.\Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady, response:	Not when this family is about to throw its hat into the political arena.
context: Out beyond the walls, there's a world that's endlessly captivating.\I think you've changed since your journey to Luna.\My journey is just beginning.\Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena. response:	Good grief, why do aristocrats eat like this all the time?
context: I think you've changed since your journey to Luna.\My journey is just beginning.\Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time? response:	Dinner parties, high tea, balls...
context: My journey is just beginning.\Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls... response:	It's probably because they don't have anything else to do.
context: Don't go to worlds too far removed from our own.\You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls...\It's probably because they don't have anything else to do. response:	In other words, if you took away the gluttony, lust, and avarice,
context: You should exercise moderation in your association with the Count.\Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls...\It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice, response:	You need to watch your mouth.
context: Oh, please, Mother... You sound just like Franz.\Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls...\It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth. response:	Didn't you think that their guest today was rather elegant and handsome?
context: Well, even though he seems more than a little shady,\Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls...\It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome? response:	I'm not so sure. He wasn't very refined.
context: Not when this family is about to throw its hat into the political arena.\Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls...\It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined. response:	Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.
context: Good grief, why do aristocrats eat like this all the time?\Dinner parties, high tea, balls...\It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis. response:	What, really? I'd always thought that the master was the only man in the world for the mistress.
context: Dinner parties, high tea, balls...\It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress. response:	I think that any society lady would fall for that Count if he worked his mojo on her.
context: It's probably because they don't have anything else to do.\In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her. response:	Give it a rest, already!
context: In other words, if you took away the gluttony, lust, and avarice,\You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already! response:	That was definitely the face of a woman in love.
context: You need to watch your mouth.\Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already!\That was definitely the face of a woman in love. response:	If you don't stop that, I'm going to report you.
context: Didn't you think that their guest today was rather elegant and handsome?\I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already!\That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you. response:	Oo, I'm so scared...
context: I'm not so sure. He wasn't very refined.\Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already!\That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you.\Oo, I'm so scared... response:	That's preposterous. Mother is the last person in the world who would be capable of...
context: Maybe, but he had a pretty good vibe going with the mistress under the grapevine trellis.\What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already!\That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you.\Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of... response:	Mother?
context: What, really? I'd always thought that the master was the only man in the world for the mistress.\I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already!\That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you.\Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of...\Mother? response:	Who's in that picture she's looking at?
context: I think that any society lady would fall for that Count if he worked his mojo on her.\Give it a rest, already!\That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you.\Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of...\Mother?\Who's in that picture she's looking at? response:	Do you find me a horrible man?
context: Give it a rest, already!\That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you.\Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of...\Mother?\Who's in that picture she's looking at?\Do you find me a horrible man? response:	No. I will stay at your side for as long as I live.
context: That was definitely the face of a woman in love.\If you don't stop that, I'm going to report you.\Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of...\Mother?\Who's in that picture she's looking at?\Do you find me a horrible man?\No. I will stay at your side for as long as I live. response:	Even if that means walking down the path to ruin.
context: If you don't stop that, I'm going to report you.\Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of...\Mother?\Who's in that picture she's looking at?\Do you find me a horrible man?\No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin. response:	It is not we who will be ruined.
context: Oo, I'm so scared...\That's preposterous. Mother is the last person in the world who would be capable of...\Mother?\Who's in that picture she's looking at?\Do you find me a horrible man?\No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin.\It is not we who will be ruined. response:	I have come home, Father.
context: That's preposterous. Mother is the last person in the world who would be capable of...\Mother?\Who's in that picture she's looking at?\Do you find me a horrible man?\No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin.\It is not we who will be ruined.\I have come home, Father. response:	What, you're still here?
context: Mother?\Who's in that picture she's looking at?\Do you find me a horrible man?\No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin.\It is not we who will be ruined.\I have come home, Father.\What, you're still here? response:	Hey, don't touch those!
context: Who's in that picture she's looking at?\Do you find me a horrible man?\No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin.\It is not we who will be ruined.\I have come home, Father.\What, you're still here?\Hey, don't touch those! response:	I hate to break it to you, but I've gotten into your father's good graces,
context: Do you find me a horrible man?\No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin.\It is not we who will be ruined.\I have come home, Father.\What, you're still here?\Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces, response:	His good graces?
context: No. I will stay at your side for as long as I live.\Even if that means walking down the path to ruin.\It is not we who will be ruined.\I have come home, Father.\What, you're still here?\Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces,\His good graces? response:	It means that your father is a man like any other.
context: Even if that means walking down the path to ruin.\It is not we who will be ruined.\I have come home, Father.\What, you're still here?\Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces,\His good graces?\It means that your father is a man like any other. response:	Give those bad jokes a rest.
context: It is not we who will be ruined.\I have come home, Father.\What, you're still here?\Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces,\His good graces?\It means that your father is a man like any other.\Give those bad jokes a rest. response:	Well, setting aside your father for the moment,
context: I have come home, Father.\What, you're still here?\Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces,\His good graces?\It means that your father is a man like any other.\Give those bad jokes a rest.\Well, setting aside your father for the moment, response:	What's that supposed to mean?
context: What, you're still here?\Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces,\His good graces?\It means that your father is a man like any other.\Give those bad jokes a rest.\Well, setting aside your father for the moment,\What's that supposed to mean? response:	I mean, she was staring so wistfully at that picture of a young man...
context: Hey, don't touch those!\I hate to break it to you, but I've gotten into your father's good graces,\His good graces?\It means that your father is a man like any other.\Give those bad jokes a rest.\Well, setting aside your father for the moment,\What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man... response:	You saw that?
context: I hate to break it to you, but I've gotten into your father's good graces,\His good graces?\It means that your father is a man like any other.\Give those bad jokes a rest.\Well, setting aside your father for the moment,\What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man...\You saw that? response:	It was definitely a picture of a man.
context: His good graces?\It means that your father is a man like any other.\Give those bad jokes a rest.\Well, setting aside your father for the moment,\What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man...\You saw that?\It was definitely a picture of a man. response:	A man who wasn't your father.
context: It means that your father is a man like any other.\Give those bad jokes a rest.\Well, setting aside your father for the moment,\What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man...\You saw that?\It was definitely a picture of a man.\A man who wasn't your father. response:	Oh, I can understand.
context: Give those bad jokes a rest.\Well, setting aside your father for the moment,\What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man...\You saw that?\It was definitely a picture of a man.\A man who wasn't your father.\Oh, I can understand. response:	If my mother was staring at a picture of some strange man,
context: Well, setting aside your father for the moment,\What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man...\You saw that?\It was definitely a picture of a man.\A man who wasn't your father.\Oh, I can understand.\If my mother was staring at a picture of some strange man, response:	That's about enough! Get out!
context: What's that supposed to mean?\I mean, she was staring so wistfully at that picture of a young man...\You saw that?\It was definitely a picture of a man.\A man who wasn't your father.\Oh, I can understand.\If my mother was staring at a picture of some strange man,\That's about enough! Get out! response:	Yes, sir!
context: I mean, she was staring so wistfully at that picture of a young man...\You saw that?\It was definitely a picture of a man.\A man who wasn't your father.\Oh, I can understand.\If my mother was staring at a picture of some strange man,\That's about enough! Get out!\Yes, sir! response:	Eugenie? I didn't know you were here.
context: You saw that?\It was definitely a picture of a man.\A man who wasn't your father.\Oh, I can understand.\If my mother was staring at a picture of some strange man,\That's about enough! Get out!\Yes, sir!\Eugenie? I didn't know you were here. response:	Ever the late riser, I see.
context: It was definitely a picture of a man.\A man who wasn't your father.\Oh, I can understand.\If my mother was staring at a picture of some strange man,\That's about enough! Get out!\Yes, sir!\Eugenie? I didn't know you were here.\Ever the late riser, I see. response:	Why are you dressed like that?
context: A man who wasn't your father.\Oh, I can understand.\If my mother was staring at a picture of some strange man,\That's about enough! Get out!\Yes, sir!\Eugenie? I didn't know you were here.\Ever the late riser, I see.\Why are you dressed like that? response:	What's wrong with it?
context: Oh, I can understand.\If my mother was staring at a picture of some strange man,\That's about enough! Get out!\Yes, sir!\Eugenie? I didn't know you were here.\Ever the late riser, I see.\Why are you dressed like that?\What's wrong with it? response:	Skirts just don't work on you.
context: If my mother was staring at a picture of some strange man,\That's about enough! Get out!\Yes, sir!\Eugenie? I didn't know you were here.\Ever the late riser, I see.\Why are you dressed like that?\What's wrong with it?\Skirts just don't work on you. response:	I didn't come here to see you, Albert!
context: That's about enough! Get out!\Yes, sir!\Eugenie? I didn't know you were here.\Ever the late riser, I see.\Why are you dressed like that?\What's wrong with it?\Skirts just don't work on you.\I didn't come here to see you, Albert! response:	Then don't have me dragged out of bed!
context: Yes, sir!\Eugenie? I didn't know you were here.\Ever the late riser, I see.\Why are you dressed like that?\What's wrong with it?\Skirts just don't work on you.\I didn't come here to see you, Albert!\Then don't have me dragged out of bed! response:	I'm the one who had you woken up, Albert.
context: Eugenie? I didn't know you were here.\Ever the late riser, I see.\Why are you dressed like that?\What's wrong with it?\Skirts just don't work on you.\I didn't come here to see you, Albert!\Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert. response:	Is something the matter?
context: Ever the late riser, I see.\Why are you dressed like that?\What's wrong with it?\Skirts just don't work on you.\I didn't come here to see you, Albert!\Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert.\Is something the matter? response:	No, ma'am.
context: Why are you dressed like that?\What's wrong with it?\Skirts just don't work on you.\I didn't come here to see you, Albert!\Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert.\Is something the matter?\No, ma'am. response:	Eugenie is your fiancee, isn't she?
context: What's wrong with it?\Skirts just don't work on you.\I didn't come here to see you, Albert!\Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert.\Is something the matter?\No, ma'am.\Eugenie is your fiancee, isn't she? response:	I think it's only natural that you should greet her when she's over.
context: Skirts just don't work on you.\I didn't come here to see you, Albert!\Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert.\Is something the matter?\No, ma'am.\Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over. response:	Sure, I suppose. Um, are you going somewhere?
context: I didn't come here to see you, Albert!\Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert.\Is something the matter?\No, ma'am.\Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere? response:	Oh, we're just going out to do a little shopping together.
context: Then don't have me dragged out of bed!\I'm the one who had you woken up, Albert.\Is something the matter?\No, ma'am.\Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together. response:	Let's go, Madame!
context: I'm the one who had you woken up, Albert.\Is something the matter?\No, ma'am.\Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together.\Let's go, Madame! response:	Of course.
context: Is something the matter?\No, ma'am.\Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together.\Let's go, Madame!\Of course. response:	That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?
context: No, ma'am.\Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together.\Let's go, Madame!\Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over? response:	How did you know that?
context: Eugenie is your fiancee, isn't she?\I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together.\Let's go, Madame!\Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that? response:	I heard about it from Franz.
context: I think it's only natural that you should greet her when she's over.\Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together.\Let's go, Madame!\Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that?\I heard about it from Franz. response:	He said that he and Maximilien were also invited.
context: Sure, I suppose. Um, are you going somewhere?\Oh, we're just going out to do a little shopping together.\Let's go, Madame!\Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that?\I heard about it from Franz.\He said that he and Maximilien were also invited. response:	They were invited, too?
context: Oh, we're just going out to do a little shopping together.\Let's go, Madame!\Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that?\I heard about it from Franz.\He said that he and Maximilien were also invited.\They were invited, too? response:	What's he...
context: Let's go, Madame!\Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that?\I heard about it from Franz.\He said that he and Maximilien were also invited.\They were invited, too?\What's he... response:	Peppo! What are you doing?
context: Of course.\That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that?\I heard about it from Franz.\He said that he and Maximilien were also invited.\They were invited, too?\What's he...\Peppo! What are you doing? response:	Oh, hi, Albert!
context: That reminds me. What's this I hear about the Count of Monte Cristo inviting you over?\How did you know that?\I heard about it from Franz.\He said that he and Maximilien were also invited.\They were invited, too?\What's he...\Peppo! What are you doing?\Oh, hi, Albert! response:	Don't you Oh, hi! me! Don't play around with Mother's jewelry!
context: How did you know that?\I heard about it from Franz.\He said that he and Maximilien were also invited.\They were invited, too?\What's he...\Peppo! What are you doing?\Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry! response:	But they're so pretty!
context: I heard about it from Franz.\He said that he and Maximilien were also invited.\They were invited, too?\What's he...\Peppo! What are you doing?\Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty! response:	If my father sees you like that, there'll be hell to pay!
context: He said that he and Maximilien were also invited.\They were invited, too?\What's he...\Peppo! What are you doing?\Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty!\If my father sees you like that, there'll be hell to pay! response:	Fine, fine. I'll put them back, then.
context: They were invited, too?\What's he...\Peppo! What are you doing?\Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty!\If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then. response:	You're dying to know what's in there, aren't you?
context: What's he...\Peppo! What are you doing?\Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty!\If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you? response:	It's like your mother's secret treasure is hidden inside.
context: Peppo! What are you doing?\Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty!\If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside. response:	Impossible.
context: Oh, hi, Albert!\Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty!\If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside.\Impossible. response:	Oh, there's no such thing as a human being who doesn't have secrets.
context: Don't you Oh, hi! me! Don't play around with Mother's jewelry!\But they're so pretty!\If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside.\Impossible.\Oh, there's no such thing as a human being who doesn't have secrets. response:	Just like you and I share a certain secret night.
context: But they're so pretty!\If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside.\Impossible.\Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night. response:	That only happened because I was tricked by you!
context: If my father sees you like that, there'll be hell to pay!\Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside.\Impossible.\Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night.\That only happened because I was tricked by you! response:	If you ever want that lock opened, come tell me anytime.
context: Fine, fine. I'll put them back, then.\You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside.\Impossible.\Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night.\That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime. response:	I specialize in getting into people's drawers.
context: You're dying to know what's in there, aren't you?\It's like your mother's secret treasure is hidden inside.\Impossible.\Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night.\That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers. response:	Stop being crude, and get back to work!
context: It's like your mother's secret treasure is hidden inside.\Impossible.\Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night.\That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers.\Stop being crude, and get back to work! response:	Oh. Fine.
context: Impossible.\Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night.\That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers.\Stop being crude, and get back to work!\Oh. Fine. response:	It can't be...
context: Oh, there's no such thing as a human being who doesn't have secrets.\Just like you and I share a certain secret night.\That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers.\Stop being crude, and get back to work!\Oh. Fine.\It can't be... response:	Why would Mother have a picture of the Count?
context: Just like you and I share a certain secret night.\That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers.\Stop being crude, and get back to work!\Oh. Fine.\It can't be...\Why would Mother have a picture of the Count? response:	This is ridiculous. What am I so worried about?
context: That only happened because I was tricked by you!\If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers.\Stop being crude, and get back to work!\Oh. Fine.\It can't be...\Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about? response:	His Excellency General Morcerf! Ten-hut!
context: If you ever want that lock opened, come tell me anytime.\I specialize in getting into people's drawers.\Stop being crude, and get back to work!\Oh. Fine.\It can't be...\Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut! response:	All high and mighty...
context: I specialize in getting into people's drawers.\Stop being crude, and get back to work!\Oh. Fine.\It can't be...\Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut!\All high and mighty... response:	How do I look? Not too strange, I hope?
context: Stop being crude, and get back to work!\Oh. Fine.\It can't be...\Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut!\All high and mighty...\How do I look? Not too strange, I hope? response:	It looks wonderful on you.
context: Oh. Fine.\It can't be...\Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut!\All high and mighty...\How do I look? Not too strange, I hope?\It looks wonderful on you. response:	What?
context: It can't be...\Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut!\All high and mighty...\How do I look? Not too strange, I hope?\It looks wonderful on you.\What? response:	Thank goodness. You're more upbeat than I expected.
context: Why would Mother have a picture of the Count?\This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut!\All high and mighty...\How do I look? Not too strange, I hope?\It looks wonderful on you.\What?\Thank goodness. You're more upbeat than I expected. response:	Gee, thanks.
context: This is ridiculous. What am I so worried about?\His Excellency General Morcerf! Ten-hut!\All high and mighty...\How do I look? Not too strange, I hope?\It looks wonderful on you.\What?\Thank goodness. You're more upbeat than I expected.\Gee, thanks. response:	For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?
context: His Excellency General Morcerf! Ten-hut!\All high and mighty...\How do I look? Not too strange, I hope?\It looks wonderful on you.\What?\Thank goodness. You're more upbeat than I expected.\Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think? response:	Not flamboyant enough?
