context: I haven't seen you here in a while. response:	That will be normal until the plan to
context: That's right.\The spy satellites around our frontline bases\have been destroyed.\It's a clear sign that they're invading.\Understood.\Where is the detailed report?\I have already sent it to your vessel's database.\None of the satellites response:	sensed anything until just before they were destroyed.
context: The spy satellites around our frontline bases\have been destroyed.\It's a clear sign that they're invading.\Understood.\Where is the detailed report?\I have already sent it to your vessel's database.\None of the satellites\sensed anything until just before they were destroyed. response:	Indeed.
context: have been destroyed.\It's a clear sign that they're invading.\Understood.\Where is the detailed report?\I have already sent it to your vessel's database.\None of the satellites\sensed anything until just before they were destroyed.\Indeed. response:	Lacking intel on the enemy forces,
context: It's a clear sign that they're invading.\Understood.\Where is the detailed report?\I have already sent it to your vessel's database.\None of the satellites\sensed anything until just before they were destroyed.\Indeed.\Lacking intel on the enemy forces, response:	we cannot afford to mobilize the base's main force.
context: Understood.\Where is the detailed report?\I have already sent it to your vessel's database.\None of the satellites\sensed anything until just before they were destroyed.\Indeed.\Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force. response:	I'm counting on you.
context: Where is the detailed report?\I have already sent it to your vessel's database.\None of the satellites\sensed anything until just before they were destroyed.\Indeed.\Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force.\I'm counting on you. response:	Sir! I will set out immediately!
context: I have already sent it to your vessel's database.\None of the satellites\sensed anything until just before they were destroyed.\Indeed.\Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force.\I'm counting on you.\Sir! I will set out immediately! response:	Are you all right?
context: None of the satellites\sensed anything until just before they were destroyed.\Indeed.\Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force.\I'm counting on you.\Sir! I will set out immediately!\Are you all right? response:	Yeah!
context: sensed anything until just before they were destroyed.\Indeed.\Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force.\I'm counting on you.\Sir! I will set out immediately!\Are you all right?\Yeah! response:	Drawing manga like always?
context: Indeed.\Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force.\I'm counting on you.\Sir! I will set out immediately!\Are you all right?\Yeah!\Drawing manga like always? response:	Care to take a look?
context: Lacking intel on the enemy forces,\we cannot afford to mobilize the base's main force.\I'm counting on you.\Sir! I will set out immediately!\Are you all right?\Yeah!\Drawing manga like always?\Care to take a look? response:	It's good...
context: we cannot afford to mobilize the base's main force.\I'm counting on you.\Sir! I will set out immediately!\Are you all right?\Yeah!\Drawing manga like always?\Care to take a look?\It's good... response:	Izuru is acting weird!
context: I'm counting on you.\Sir! I will set out immediately!\Are you all right?\Yeah!\Drawing manga like always?\Care to take a look?\It's good...\Izuru is acting weird! response:	Is that really anything new?
context: Sir! I will set out immediately!\Are you all right?\Yeah!\Drawing manga like always?\Care to take a look?\It's good...\Izuru is acting weird!\Is that really anything new? response:	His manga was good!
context: Are you all right?\Yeah!\Drawing manga like always?\Care to take a look?\It's good...\Izuru is acting weird!\Is that really anything new?\His manga was good! response:	That IS weird!
context: Yeah!\Drawing manga like always?\Care to take a look?\It's good...\Izuru is acting weird!\Is that really anything new?\His manga was good!\That IS weird! response:	Yo! Hangin' in there?
context: Drawing manga like always?\Care to take a look?\It's good...\Izuru is acting weird!\Is that really anything new?\His manga was good!\That IS weird!\Yo! Hangin' in there? response:	I'm fine!
context: Care to take a look?\It's good...\Izuru is acting weird!\Is that really anything new?\His manga was good!\That IS weird!\Yo! Hangin' in there?\I'm fine! response:	Aren't ya acting a bit different?
context: It's good...\Izuru is acting weird!\Is that really anything new?\His manga was good!\That IS weird!\Yo! Hangin' in there?\I'm fine!\Aren't ya acting a bit different? response:	Who, me?
context: Izuru is acting weird!\Is that really anything new?\His manga was good!\That IS weird!\Yo! Hangin' in there?\I'm fine!\Aren't ya acting a bit different?\Who, me? response:	I'm still me!
context: Is that really anything new?\His manga was good!\That IS weird!\Yo! Hangin' in there?\I'm fine!\Aren't ya acting a bit different?\Who, me?\I'm still me! response:	True enough...
context: His manga was good!\That IS weird!\Yo! Hangin' in there?\I'm fine!\Aren't ya acting a bit different?\Who, me?\I'm still me!\True enough... response:	Then I guess everything's cool.
context: That IS weird!\Yo! Hangin' in there?\I'm fine!\Aren't ya acting a bit different?\Who, me?\I'm still me!\True enough...\Then I guess everything's cool. response:	What? Leaving already?
context: Yo! Hangin' in there?\I'm fine!\Aren't ya acting a bit different?\Who, me?\I'm still me!\True enough...\Then I guess everything's cool.\What? Leaving already? response:	Gotta train! I can't let ya show me up.
context: I'm fine!\Aren't ya acting a bit different?\Who, me?\I'm still me!\True enough...\Then I guess everything's cool.\What? Leaving already?\Gotta train! I can't let ya show me up. response:	You've got my back!
context: Aren't ya acting a bit different?\Who, me?\I'm still me!\True enough...\Then I guess everything's cool.\What? Leaving already?\Gotta train! I can't let ya show me up.\You've got my back! response:	I checked on him.
context: Who, me?\I'm still me!\True enough...\Then I guess everything's cool.\What? Leaving already?\Gotta train! I can't let ya show me up.\You've got my back!\I checked on him. response:	He really was weird.
context: I'm still me!\True enough...\Then I guess everything's cool.\What? Leaving already?\Gotta train! I can't let ya show me up.\You've got my back!\I checked on him.\He really was weird. response:	So are you.
context: True enough...\Then I guess everything's cool.\What? Leaving already?\Gotta train! I can't let ya show me up.\You've got my back!\I checked on him.\He really was weird.\So are you. response:	Pickled Squid Guts
context: Then I guess everything's cool.\What? Leaving already?\Gotta train! I can't let ya show me up.\You've got my back!\I checked on him.\He really was weird.\So are you.\Pickled Squid Guts response:	He was strangely cool...
context: What? Leaving already?\Gotta train! I can't let ya show me up.\You've got my back!\I checked on him.\He really was weird.\So are you.\Pickled Squid Guts\He was strangely cool... response:	No, no, no! There's just no way!
context: Gotta train! I can't let ya show me up.\You've got my back!\I checked on him.\He really was weird.\So are you.\Pickled Squid Guts\He was strangely cool...\No, no, no! There's just no way! response:	What's wrong?
context: You've got my back!\I checked on him.\He really was weird.\So are you.\Pickled Squid Guts\He was strangely cool...\No, no, no! There's just no way!\What's wrong? response:	Well, uh, ummm...
context: I checked on him.\He really was weird.\So are you.\Pickled Squid Guts\He was strangely cool...\No, no, no! There's just no way!\What's wrong?\Well, uh, ummm... response:	I have some free time.
context: He really was weird.\So are you.\Pickled Squid Guts\He was strangely cool...\No, no, no! There's just no way!\What's wrong?\Well, uh, ummm...\I have some free time. response:	Maybe I could offer a word of advice.
context: So are you.\Pickled Squid Guts\He was strangely cool...\No, no, no! There's just no way!\What's wrong?\Well, uh, ummm...\I have some free time.\Maybe I could offer a word of advice. response:	There was this guy I never really noticed before,
context: Pickled Squid Guts\He was strangely cool...\No, no, no! There's just no way!\What's wrong?\Well, uh, ummm...\I have some free time.\Maybe I could offer a word of advice.\There was this guy I never really noticed before, response:	but now he seems so cool...
context: He was strangely cool...\No, no, no! There's just no way!\What's wrong?\Well, uh, ummm...\I have some free time.\Maybe I could offer a word of advice.\There was this guy I never really noticed before,\but now he seems so cool... response:	What do you think?
context: No, no, no! There's just no way!\What's wrong?\Well, uh, ummm...\I have some free time.\Maybe I could offer a word of advice.\There was this guy I never really noticed before,\but now he seems so cool...\What do you think? response:	Well, could it be the Suspension Bridge Effect?
context: What's wrong?\Well, uh, ummm...\I have some free time.\Maybe I could offer a word of advice.\There was this guy I never really noticed before,\but now he seems so cool...\What do you think?\Well, could it be the Suspension Bridge Effect? response:	That's it! That!
context: Well, uh, ummm...\I have some free time.\Maybe I could offer a word of advice.\There was this guy I never really noticed before,\but now he seems so cool...\What do you think?\Well, could it be the Suspension Bridge Effect?\That's it! That! response:	It's a big theory that some psychologists proposed a long time ago!
context: I have some free time.\Maybe I could offer a word of advice.\There was this guy I never really noticed before,\but now he seems so cool...\What do you think?\Well, could it be the Suspension Bridge Effect?\That's it! That!\It's a big theory that some psychologists proposed a long time ago! response:	They conducted experiments to see if someone
context: Maybe I could offer a word of advice.\There was this guy I never really noticed before,\but now he seems so cool...\What do you think?\Well, could it be the Suspension Bridge Effect?\That's it! That!\It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone response:	who was physically excited would realize that he was in love!
context: There was this guy I never really noticed before,\but now he seems so cool...\What do you think?\Well, could it be the Suspension Bridge Effect?\That's it! That!\It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone\who was physically excited would realize that he was in love! response:	Y-you sure know a lot about it.
context: but now he seems so cool...\What do you think?\Well, could it be the Suspension Bridge Effect?\That's it! That!\It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone\who was physically excited would realize that he was in love!\Y-you sure know a lot about it. response:	I actually study stuff related to romance.
context: What do you think?\Well, could it be the Suspension Bridge Effect?\That's it! That!\It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone\who was physically excited would realize that he was in love!\Y-you sure know a lot about it.\I actually study stuff related to romance. response:	They said that you notice your subconscious feelings
context: Well, could it be the Suspension Bridge Effect?\That's it! That!\It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone\who was physically excited would realize that he was in love!\Y-you sure know a lot about it.\I actually study stuff related to romance.\They said that you notice your subconscious feelings response:	for the person after something special happens.
context: That's it! That!\It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone\who was physically excited would realize that he was in love!\Y-you sure know a lot about it.\I actually study stuff related to romance.\They said that you notice your subconscious feelings\for the person after something special happens. response:	No, no, no! This can't possibly be love!
context: It's a big theory that some psychologists proposed a long time ago!\They conducted experiments to see if someone\who was physically excited would realize that he was in love!\Y-you sure know a lot about it.\I actually study stuff related to romance.\They said that you notice your subconscious feelings\for the person after something special happens.\No, no, no! This can't possibly be love! response:	Is there a problem...
context: They conducted experiments to see if someone\who was physically excited would realize that he was in love!\Y-you sure know a lot about it.\I actually study stuff related to romance.\They said that you notice your subconscious feelings\for the person after something special happens.\No, no, no! This can't possibly be love!\Is there a problem... response:	Kitty?
context: who was physically excited would realize that he was in love!\Y-you sure know a lot about it.\I actually study stuff related to romance.\They said that you notice your subconscious feelings\for the person after something special happens.\No, no, no! This can't possibly be love!\Is there a problem...\Kitty? response:	This is love!
context: Y-you sure know a lot about it.\I actually study stuff related to romance.\They said that you notice your subconscious feelings\for the person after something special happens.\No, no, no! This can't possibly be love!\Is there a problem...\Kitty?\This is love! response:	Yo! What's up?
context: I actually study stuff related to romance.\They said that you notice your subconscious feelings\for the person after something special happens.\No, no, no! This can't possibly be love!\Is there a problem...\Kitty?\This is love!\Yo! What's up? response:	I came to bring this.
context: They said that you notice your subconscious feelings\for the person after something special happens.\No, no, no! This can't possibly be love!\Is there a problem...\Kitty?\This is love!\Yo! What's up?\I came to bring this. response:	How'd you know that I was out of paper?
context: for the person after something special happens.\No, no, no! This can't possibly be love!\Is there a problem...\Kitty?\This is love!\Yo! What's up?\I came to bring this.\How'd you know that I was out of paper? response:	Kei told me.
context: No, no, no! This can't possibly be love!\Is there a problem...\Kitty?\This is love!\Yo! What's up?\I came to bring this.\How'd you know that I was out of paper?\Kei told me. response:	Yeah? It isn't easy being popular!
context: Is there a problem...\Kitty?\This is love!\Yo! What's up?\I came to bring this.\How'd you know that I was out of paper?\Kei told me.\Yeah? It isn't easy being popular! response:	How is it? Any good?
context: Kitty?\This is love!\Yo! What's up?\I came to bring this.\How'd you know that I was out of paper?\Kei told me.\Yeah? It isn't easy being popular!\How is it? Any good? response:	Yeah, it's goo-
context: This is love!\Yo! What's up?\I came to bring this.\How'd you know that I was out of paper?\Kei told me.\Yeah? It isn't easy being popular!\How is it? Any good?\Yeah, it's goo- response:	By the way, are you okay?
context: Yo! What's up?\I came to bring this.\How'd you know that I was out of paper?\Kei told me.\Yeah? It isn't easy being popular!\How is it? Any good?\Yeah, it's goo-\By the way, are you okay? response:	Of course I'm just fine!
context: I came to bring this.\How'd you know that I was out of paper?\Kei told me.\Yeah? It isn't easy being popular!\How is it? Any good?\Yeah, it's goo-\By the way, are you okay?\Of course I'm just fine! response:	In fact, I almost feel too good.
context: How'd you know that I was out of paper?\Kei told me.\Yeah? It isn't easy being popular!\How is it? Any good?\Yeah, it's goo-\By the way, are you okay?\Of course I'm just fine!\In fact, I almost feel too good. response:	You get knocked down and pop right back up, huh?
context: Kei told me.\Yeah? It isn't easy being popular!\How is it? Any good?\Yeah, it's goo-\By the way, are you okay?\Of course I'm just fine!\In fact, I almost feel too good.\You get knocked down and pop right back up, huh? response:	Well, I am a hero.
context: Yeah? It isn't easy being popular!\How is it? Any good?\Yeah, it's goo-\By the way, are you okay?\Of course I'm just fine!\In fact, I almost feel too good.\You get knocked down and pop right back up, huh?\Well, I am a hero. response:	A hero? I suppose so.
context: How is it? Any good?\Yeah, it's goo-\By the way, are you okay?\Of course I'm just fine!\In fact, I almost feel too good.\You get knocked down and pop right back up, huh?\Well, I am a hero.\A hero? I suppose so. response:	I'm counting on you, Hero!
context: Yeah, it's goo-\By the way, are you okay?\Of course I'm just fine!\In fact, I almost feel too good.\You get knocked down and pop right back up, huh?\Well, I am a hero.\A hero? I suppose so.\I'm counting on you, Hero! response:	I'm fighting for you.
context: By the way, are you okay?\Of course I'm just fine!\In fact, I almost feel too good.\You get knocked down and pop right back up, huh?\Well, I am a hero.\A hero? I suppose so.\I'm counting on you, Hero!\I'm fighting for you. response:	No doubt about it! He's weird.
context: Of course I'm just fine!\In fact, I almost feel too good.\You get knocked down and pop right back up, huh?\Well, I am a hero.\A hero? I suppose so.\I'm counting on you, Hero!\I'm fighting for you.\No doubt about it! He's weird. response:	Isn't he?
context: In fact, I almost feel too good.\You get knocked down and pop right back up, huh?\Well, I am a hero.\A hero? I suppose so.\I'm counting on you, Hero!\I'm fighting for you.\No doubt about it! He's weird.\Isn't he? response:	You're acting weird, too.
context: You get knocked down and pop right back up, huh?\Well, I am a hero.\A hero? I suppose so.\I'm counting on you, Hero!\I'm fighting for you.\No doubt about it! He's weird.\Isn't he?\You're acting weird, too. response:	They didn't respond until after it had been destroyed!
context: Well, I am a hero.\A hero? I suppose so.\I'm counting on you, Hero!\I'm fighting for you.\No doubt about it! He's weird.\Isn't he?\You're acting weird, too.\They didn't respond until after it had been destroyed! response:	Either they truly are understaffed or their staff is incompetent.
context: A hero? I suppose so.\I'm counting on you, Hero!\I'm fighting for you.\No doubt about it! He's weird.\Isn't he?\You're acting weird, too.\They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent. response:	I'm getting something on my sensor!
context: I'm counting on you, Hero!\I'm fighting for you.\No doubt about it! He's weird.\Isn't he?\You're acting weird, too.\They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor! response:	Enemy attack!
context: I'm fighting for you.\No doubt about it! He's weird.\Isn't he?\You're acting weird, too.\They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor!\Enemy attack! response:	Commence battle!
context: No doubt about it! He's weird.\Isn't he?\You're acting weird, too.\They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor!\Enemy attack!\Commence battle! response:	Roger!
context: Isn't he?\You're acting weird, too.\They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor!\Enemy attack!\Commence battle!\Roger! response:	It's good...
context: You're acting weird, too.\They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor!\Enemy attack!\Commence battle!\Roger!\It's good... response:	A pine?
context: They didn't respond until after it had been destroyed!\Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor!\Enemy attack!\Commence battle!\Roger!\It's good...\A pine? response:	Potted plants are inauspicious in a hospital room!
context: Either they truly are understaffed or their staff is incompetent.\I'm getting something on my sensor!\Enemy attack!\Commence battle!\Roger!\It's good...\A pine?\Potted plants are inauspicious in a hospital room! response:	Hey, Kei! You came to see me?
context: I'm getting something on my sensor!\Enemy attack!\Commence battle!\Roger!\It's good...\A pine?\Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me? response:	I brought get-well treats, but you might not like them.
context: Enemy attack!\Commence battle!\Roger!\It's good...\A pine?\Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them. response:	If you made them for me, anything is awesome.
context: Commence battle!\Roger!\It's good...\A pine?\Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome. response:	Izuru, hang in there! Don't die!
context: Roger!\It's good...\A pine?\Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome.\Izuru, hang in there! Don't die! response:	May I help you?
context: It's good...\A pine?\Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome.\Izuru, hang in there! Don't die!\May I help you? response:	Hello? Can you hear me?
context: A pine?\Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome.\Izuru, hang in there! Don't die!\May I help you?\Hello? Can you hear me? response:	He's unconscious! Airway, clear!
context: Potted plants are inauspicious in a hospital room!\Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome.\Izuru, hang in there! Don't die!\May I help you?\Hello? Can you hear me?\He's unconscious! Airway, clear! response:	He isn't breathing! I need the respirator!
context: Hey, Kei! You came to see me?\I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome.\Izuru, hang in there! Don't die!\May I help you?\Hello? Can you hear me?\He's unconscious! Airway, clear!\He isn't breathing! I need the respirator! response:	Beginning cardiac massage!
context: I brought get-well treats, but you might not like them.\If you made them for me, anything is awesome.\Izuru, hang in there! Don't die!\May I help you?\Hello? Can you hear me?\He's unconscious! Airway, clear!\He isn't breathing! I need the respirator!\Beginning cardiac massage! response:	Chest compression! It's ineffective!
context: If you made them for me, anything is awesome.\Izuru, hang in there! Don't die!\May I help you?\Hello? Can you hear me?\He's unconscious! Airway, clear!\He isn't breathing! I need the respirator!\Beginning cardiac massage!\Chest compression! It's ineffective! response:	Preparing the AED!
context: Izuru, hang in there! Don't die!\May I help you?\Hello? Can you hear me?\He's unconscious! Airway, clear!\He isn't breathing! I need the respirator!\Beginning cardiac massage!\Chest compression! It's ineffective!\Preparing the AED! response:	Paddle electrodes, ready!
context: May I help you?\Hello? Can you hear me?\He's unconscious! Airway, clear!\He isn't breathing! I need the respirator!\Beginning cardiac massage!\Chest compression! It's ineffective!\Preparing the AED!\Paddle electrodes, ready! response:	Analyzing the cardiogram!
context: Hello? Can you hear me?\He's unconscious! Airway, clear!\He isn't breathing! I need the respirator!\Beginning cardiac massage!\Chest compression! It's ineffective!\Preparing the AED!\Paddle electrodes, ready!\Analyzing the cardiogram! response:	This is going to emit a shock, so get back!
context: He's unconscious! Airway, clear!\He isn't breathing! I need the respirator!\Beginning cardiac massage!\Chest compression! It's ineffective!\Preparing the AED!\Paddle electrodes, ready!\Analyzing the cardiogram!\This is going to emit a shock, so get back! response:	Huh? What happened?
context: He isn't breathing! I need the respirator!\Beginning cardiac massage!\Chest compression! It's ineffective!\Preparing the AED!\Paddle electrodes, ready!\Analyzing the cardiogram!\This is going to emit a shock, so get back!\Huh? What happened? response:	He's alive!
context: Beginning cardiac massage!\Chest compression! It's ineffective!\Preparing the AED!\Paddle electrodes, ready!\Analyzing the cardiogram!\This is going to emit a shock, so get back!\Huh? What happened?\He's alive! response:	Kei, did something happen?
context: Chest compression! It's ineffective!\Preparing the AED!\Paddle electrodes, ready!\Analyzing the cardiogram!\This is going to emit a shock, so get back!\Huh? What happened?\He's alive!\Kei, did something happen? response:	You had me worried.
context: Preparing the AED!\Paddle electrodes, ready!\Analyzing the cardiogram!\This is going to emit a shock, so get back!\Huh? What happened?\He's alive!\Kei, did something happen?\You had me worried. response:	His Harmonic Level is back to normal?
context: Paddle electrodes, ready!\Analyzing the cardiogram!\This is going to emit a shock, so get back!\Huh? What happened?\He's alive!\Kei, did something happen?\You had me worried.\His Harmonic Level is back to normal? response:	We're up against a company that is
context: Analyzing the cardiogram!\This is going to emit a shock, so get back!\Huh? What happened?\He's alive!\Kei, did something happen?\You had me worried.\His Harmonic Level is back to normal?\We're up against a company that is response:	breaking formation as it draws in.
context: This is going to emit a shock, so get back!\Huh? What happened?\He's alive!\Kei, did something happen?\You had me worried.\His Harmonic Level is back to normal?\We're up against a company that is\breaking formation as it draws in. response:	Make sure to keep your formation
context: Huh? What happened?\He's alive!\Kei, did something happen?\You had me worried.\His Harmonic Level is back to normal?\We're up against a company that is\breaking formation as it draws in.\Make sure to keep your formation response:	so individual fighters don't break through.
context: He's alive!\Kei, did something happen?\You had me worried.\His Harmonic Level is back to normal?\We're up against a company that is\breaking formation as it draws in.\Make sure to keep your formation\so individual fighters don't break through. response:	Roger!
context: Kei, did something happen?\You had me worried.\His Harmonic Level is back to normal?\We're up against a company that is\breaking formation as it draws in.\Make sure to keep your formation\so individual fighters don't break through.\Roger! response:	Tch! These guys are kinda tough!
context: You had me worried.\His Harmonic Level is back to normal?\We're up against a company that is\breaking formation as it draws in.\Make sure to keep your formation\so individual fighters don't break through.\Roger!\Tch! These guys are kinda tough! response:	They're faster than usual!
context: His Harmonic Level is back to normal?\We're up against a company that is\breaking formation as it draws in.\Make sure to keep your formation\so individual fighters don't break through.\Roger!\Tch! These guys are kinda tough!\They're faster than usual! response:	Patrick, don't leave my side!
context: We're up against a company that is\breaking formation as it draws in.\Make sure to keep your formation\so individual fighters don't break through.\Roger!\Tch! These guys are kinda tough!\They're faster than usual!\Patrick, don't leave my side! response:	Damn it!
context: breaking formation as it draws in.\Make sure to keep your formation\so individual fighters don't break through.\Roger!\Tch! These guys are kinda tough!\They're faster than usual!\Patrick, don't leave my side!\Damn it! response:	I'm surrounded!
context: Make sure to keep your formation\so individual fighters don't break through.\Roger!\Tch! These guys are kinda tough!\They're faster than usual!\Patrick, don't leave my side!\Damn it!\I'm surrounded! response:	Their movements seem random, but there is a pattern!
context: so individual fighters don't break through.\Roger!\Tch! These guys are kinda tough!\They're faster than usual!\Patrick, don't leave my side!\Damn it!\I'm surrounded!\Their movements seem random, but there is a pattern! response:	There is an enemy company equipped with optical stealth!
context: Roger!\Tch! These guys are kinda tough!\They're faster than usual!\Patrick, don't leave my side!\Damn it!\I'm surrounded!\Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth! response:	They're hiding behind the other company while in stealth mode!
context: Tch! These guys are kinda tough!\They're faster than usual!\Patrick, don't leave my side!\Damn it!\I'm surrounded!\Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode! response:	Shoot around the ships that stand out!
context: They're faster than usual!\Patrick, don't leave my side!\Damn it!\I'm surrounded!\Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out! response:	Roger!
context: Patrick, don't leave my side!\Damn it!\I'm surrounded!\Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out!\Roger! response:	It worked! Bull's eye!
context: Damn it!\I'm surrounded!\Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out!\Roger!\It worked! Bull's eye! response:	Same here!
context: I'm surrounded!\Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out!\Roger!\It worked! Bull's eye!\Same here! response:	This is Doberman!
context: Their movements seem random, but there is a pattern!\There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out!\Roger!\It worked! Bull's eye!\Same here!\This is Doberman! response:	Enemy reinforcements are approaching Classified Point 004.
context: There is an enemy company equipped with optical stealth!\They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out!\Roger!\It worked! Bull's eye!\Same here!\This is Doberman!\Enemy reinforcements are approaching Classified Point 004. response:	Requesting immediate rescue!
context: They're hiding behind the other company while in stealth mode!\Shoot around the ships that stand out!\Roger!\It worked! Bull's eye!\Same here!\This is Doberman!\Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue! response:	I repeat!
context: Shoot around the ships that stand out!\Roger!\It worked! Bull's eye!\Same here!\This is Doberman!\Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue!\I repeat! response:	Doberman has sent a request for emergency rescue!
context: Roger!\It worked! Bull's eye!\Same here!\This is Doberman!\Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue!\I repeat!\Doberman has sent a request for emergency rescue! response:	You are authorized to sortie.
context: It worked! Bull's eye!\Same here!\This is Doberman!\Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue!\I repeat!\Doberman has sent a request for emergency rescue!\You are authorized to sortie. response:	Emergency take off!
context: Same here!\This is Doberman!\Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue!\I repeat!\Doberman has sent a request for emergency rescue!\You are authorized to sortie.\Emergency take off! response:	Roger!
context: This is Doberman!\Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue!\I repeat!\Doberman has sent a request for emergency rescue!\You are authorized to sortie.\Emergency take off!\Roger! response:	Engines will transfer from idling to full drive in 30 seconds.
context: Enemy reinforcements are approaching Classified Point 004.\Requesting immediate rescue!\I repeat!\Doberman has sent a request for emergency rescue!\You are authorized to sortie.\Emergency take off!\Roger!\Engines will transfer from idling to full drive in 30 seconds. response:	I've finished inputting Navigational Patterns A to N.
context: Requesting immediate rescue!\I repeat!\Doberman has sent a request for emergency rescue!\You are authorized to sortie.\Emergency take off!\Roger!\Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N. response:	Take the fastest route!
context: I repeat!\Doberman has sent a request for emergency rescue!\You are authorized to sortie.\Emergency take off!\Roger!\Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N.\Take the fastest route! response:	Roger!
context: Doberman has sent a request for emergency rescue!\You are authorized to sortie.\Emergency take off!\Roger!\Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N.\Take the fastest route!\Roger! response:	Such is the situation.
context: You are authorized to sortie.\Emergency take off!\Roger!\Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N.\Take the fastest route!\Roger!\Such is the situation. response:	The leader this time will be Toshikazu Asagi.
context: Emergency take off!\Roger!\Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N.\Take the fastest route!\Roger!\Such is the situation.\The leader this time will be Toshikazu Asagi. response:	Izuru Hitachi will remain on standby.
context: Roger!\Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N.\Take the fastest route!\Roger!\Such is the situation.\The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby. response:	I can fight!
context: Engines will transfer from idling to full drive in 30 seconds.\I've finished inputting Navigational Patterns A to N.\Take the fastest route!\Roger!\Such is the situation.\The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby.\I can fight! response:	Red 5 is still undergoing repairs.
context: I've finished inputting Navigational Patterns A to N.\Take the fastest route!\Roger!\Such is the situation.\The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby.\I can fight!\Red 5 is still undergoing repairs. response:	Ange Kuroki will be the forward.
context: Take the fastest route!\Roger!\Such is the situation.\The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby.\I can fight!\Red 5 is still undergoing repairs.\Ange Kuroki will be the forward. response:	Everything else will be the same as usual.
