context: It's so peaceful. response:	I'll say... All the battles we go through seem like a dream.
context: W- what is this Juromaru?\He gives me the creeps!\It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference?\That's why he was shackled and bridled.\Why you...!\What's with him? response:	He's taking my blows straight on.
context: He gives me the creeps!\It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference?\That's why he was shackled and bridled.\Why you...!\What's with him?\He's taking my blows straight on. response:	Is this a trap?
context: It's probably just a demon puppet, but...\he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference?\That's why he was shackled and bridled.\Why you...!\What's with him?\He's taking my blows straight on.\Is this a trap? response:	No...
context: he just slashed the head of Naraku who's supposed to be an ally.\Can't he tell the difference?\That's why he was shackled and bridled.\Why you...!\What's with him?\He's taking my blows straight on.\Is this a trap?\No... response:	No matter how I look at it...
context: Can't he tell the difference?\That's why he was shackled and bridled.\Why you...!\What's with him?\He's taking my blows straight on.\Is this a trap?\No...\No matter how I look at it... response:	he's not capable of thinking up sly tricks to fight.
context: That's why he was shackled and bridled.\Why you...!\What's with him?\He's taking my blows straight on.\Is this a trap?\No...\No matter how I look at it...\he's not capable of thinking up sly tricks to fight. response:	If that's the case...
context: Why you...!\What's with him?\He's taking my blows straight on.\Is this a trap?\No...\No matter how I look at it...\he's not capable of thinking up sly tricks to fight.\If that's the case... response:	I'll just deliver a finishing blow!
context: What's with him?\He's taking my blows straight on.\Is this a trap?\No...\No matter how I look at it...\he's not capable of thinking up sly tricks to fight.\If that's the case...\I'll just deliver a finishing blow! response:	Iron-Reaver, Soul-Stealer!
context: He's taking my blows straight on.\Is this a trap?\No...\No matter how I look at it...\he's not capable of thinking up sly tricks to fight.\If that's the case...\I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer! response:	They're evenly matched!
context: Is this a trap?\No...\No matter how I look at it...\he's not capable of thinking up sly tricks to fight.\If that's the case...\I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer!\They're evenly matched! response:	Inuyasha!
context: No...\No matter how I look at it...\he's not capable of thinking up sly tricks to fight.\If that's the case...\I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer!\They're evenly matched!\Inuyasha! response:	What was that just now?!
context: No matter how I look at it...\he's not capable of thinking up sly tricks to fight.\If that's the case...\I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer!\They're evenly matched!\Inuyasha!\What was that just now?! response:	He elongated his arms!
context: he's not capable of thinking up sly tricks to fight.\If that's the case...\I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer!\They're evenly matched!\Inuyasha!\What was that just now?!\He elongated his arms! response:	He can transform his body?!
context: If that's the case...\I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer!\They're evenly matched!\Inuyasha!\What was that just now?!\He elongated his arms!\He can transform his body?! response:	Did you find Naraku?
context: I'll just deliver a finishing blow!\Iron-Reaver, Soul-Stealer!\They're evenly matched!\Inuyasha!\What was that just now?!\He elongated his arms!\He can transform his body?!\Did you find Naraku? response:	Why did you return?
context: Iron-Reaver, Soul-Stealer!\They're evenly matched!\Inuyasha!\What was that just now?!\He elongated his arms!\He can transform his body?!\Did you find Naraku?\Why did you return? response:	Or did you run away?
context: They're evenly matched!\Inuyasha!\What was that just now?!\He elongated his arms!\He can transform his body?!\Did you find Naraku?\Why did you return?\Or did you run away? response:	Just my instinct.
context: Inuyasha!\What was that just now?!\He elongated his arms!\He can transform his body?!\Did you find Naraku?\Why did you return?\Or did you run away?\Just my instinct. response:	Naraku is one thing...
context: What was that just now?!\He elongated his arms!\He can transform his body?!\Did you find Naraku?\Why did you return?\Or did you run away?\Just my instinct.\Naraku is one thing... response:	but that thing he brought along looked so dumb.
context: He elongated his arms!\He can transform his body?!\Did you find Naraku?\Why did you return?\Or did you run away?\Just my instinct.\Naraku is one thing...\but that thing he brought along looked so dumb. response:	I got a really bad feeling about him.
context: He can transform his body?!\Did you find Naraku?\Why did you return?\Or did you run away?\Just my instinct.\Naraku is one thing...\but that thing he brought along looked so dumb.\I got a really bad feeling about him. response:	I trust my instincts.
context: Did you find Naraku?\Why did you return?\Or did you run away?\Just my instinct.\Naraku is one thing...\but that thing he brought along looked so dumb.\I got a really bad feeling about him.\I trust my instincts. response:	He's probably being beaten to a pulp by that Juromaru.
context: Why did you return?\Or did you run away?\Just my instinct.\Naraku is one thing...\but that thing he brought along looked so dumb.\I got a really bad feeling about him.\I trust my instincts.\He's probably being beaten to a pulp by that Juromaru. response:	You saw Inuyasha?
context: Or did you run away?\Just my instinct.\Naraku is one thing...\but that thing he brought along looked so dumb.\I got a really bad feeling about him.\I trust my instincts.\He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha? response:	Well yeah...
context: Just my instinct.\Naraku is one thing...\but that thing he brought along looked so dumb.\I got a really bad feeling about him.\I trust my instincts.\He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha?\Well yeah... response:	Umm... Koga...
context: Naraku is one thing...\but that thing he brought along looked so dumb.\I got a really bad feeling about him.\I trust my instincts.\He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha?\Well yeah...\Umm... Koga... response:	we may be out of line about this...
context: but that thing he brought along looked so dumb.\I got a really bad feeling about him.\I trust my instincts.\He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha?\Well yeah...\Umm... Koga...\we may be out of line about this... response:	But doesn't it mean that Kagome who's with Inuyasha is in danger?
context: I got a really bad feeling about him.\I trust my instincts.\He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha?\Well yeah...\Umm... Koga...\we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger? response:	Huh?! Stupid! Why didn't you say so earlier?!
context: I trust my instincts.\He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha?\Well yeah...\Umm... Koga...\we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?! response:	You should've realized it yourself!!
context: He's probably being beaten to a pulp by that Juromaru.\You saw Inuyasha?\Well yeah...\Umm... Koga...\we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!! response:	Why you!
context: You saw Inuyasha?\Well yeah...\Umm... Koga...\we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!!\Why you! response:	What's going on?!
context: Well yeah...\Umm... Koga...\we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!!\Why you!\What's going on?! response:	I didn't feel the arm sever!
context: Umm... Koga...\we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!!\Why you!\What's going on?!\I didn't feel the arm sever! response:	It just sort of separated from Juromaru...
context: we may be out of line about this...\But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!!\Why you!\What's going on?!\I didn't feel the arm sever!\It just sort of separated from Juromaru... response:	The arm's intact!
context: But doesn't it mean that Kagome who's with Inuyasha is in danger?\Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!!\Why you!\What's going on?!\I didn't feel the arm sever!\It just sort of separated from Juromaru...\The arm's intact! response:	I knew it! That wasn't his arm that got cut off!
context: Huh?! Stupid! Why didn't you say so earlier?!\You should've realized it yourself!!\Why you!\What's going on?!\I didn't feel the arm sever!\It just sort of separated from Juromaru...\The arm's intact!\I knew it! That wasn't his arm that got cut off! response:	Huh?! The ground!
context: You should've realized it yourself!!\Why you!\What's going on?!\I didn't feel the arm sever!\It just sort of separated from Juromaru...\The arm's intact!\I knew it! That wasn't his arm that got cut off!\Huh?! The ground! response:	Inuyasha!
context: Why you!\What's going on?!\I didn't feel the arm sever!\It just sort of separated from Juromaru...\The arm's intact!\I knew it! That wasn't his arm that got cut off!\Huh?! The ground!\Inuyasha! response:	W-what's that thing?!
context: What's going on?!\I didn't feel the arm sever!\It just sort of separated from Juromaru...\The arm's intact!\I knew it! That wasn't his arm that got cut off!\Huh?! The ground!\Inuyasha!\W-what's that thing?! response:	The fellow's guts tasted pretty good, Juromaru.
context: I didn't feel the arm sever!\It just sort of separated from Juromaru...\The arm's intact!\I knew it! That wasn't his arm that got cut off!\Huh?! The ground!\Inuyasha!\W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru. response:	Damn! So there's another one!
context: It just sort of separated from Juromaru...\The arm's intact!\I knew it! That wasn't his arm that got cut off!\Huh?! The ground!\Inuyasha!\W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one! response:	J-just what are you?!
context: The arm's intact!\I knew it! That wasn't his arm that got cut off!\Huh?! The ground!\Inuyasha!\W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one!\J-just what are you?! response:	I am Kageromaru.
context: I knew it! That wasn't his arm that got cut off!\Huh?! The ground!\Inuyasha!\W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one!\J-just what are you?!\I am Kageromaru. response:	I was fast asleep inside Juromaru's belly.
context: Huh?! The ground!\Inuyasha!\W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one!\J-just what are you?!\I am Kageromaru.\I was fast asleep inside Juromaru's belly. response:	Inside Juromaru's belly?
context: Inuyasha!\W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one!\J-just what are you?!\I am Kageromaru.\I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly? response:	Then!
context: W-what's that thing?!\The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one!\J-just what are you?!\I am Kageromaru.\I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly?\Then! response:	So the bit was to prevent you from coming out!
context: The fellow's guts tasted pretty good, Juromaru.\Damn! So there's another one!\J-just what are you?!\I am Kageromaru.\I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly?\Then!\So the bit was to prevent you from coming out! response:	Juromaru only listens to me.
context: Damn! So there's another one!\J-just what are you?!\I am Kageromaru.\I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly?\Then!\So the bit was to prevent you from coming out!\Juromaru only listens to me. response:	Even if the opponent was Naraku...
context: J-just what are you?!\I am Kageromaru.\I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly?\Then!\So the bit was to prevent you from coming out!\Juromaru only listens to me.\Even if the opponent was Naraku... response:	What?!
context: I am Kageromaru.\I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly?\Then!\So the bit was to prevent you from coming out!\Juromaru only listens to me.\Even if the opponent was Naraku...\What?! response:	Now then, let's feast on the rest of them, Juromaru.
context: I was fast asleep inside Juromaru's belly.\Inside Juromaru's belly?\Then!\So the bit was to prevent you from coming out!\Juromaru only listens to me.\Even if the opponent was Naraku...\What?!\Now then, let's feast on the rest of them, Juromaru. response:	It's all-you-can-eat!
context: Inside Juromaru's belly?\Then!\So the bit was to prevent you from coming out!\Juromaru only listens to me.\Even if the opponent was Naraku...\What?!\Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat! response:	Wind Tunnel!
context: Then!\So the bit was to prevent you from coming out!\Juromaru only listens to me.\Even if the opponent was Naraku...\What?!\Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat!\Wind Tunnel! response:	Miroku!
context: So the bit was to prevent you from coming out!\Juromaru only listens to me.\Even if the opponent was Naraku...\What?!\Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat!\Wind Tunnel!\Miroku! response:	Hiraikotsu!
context: Juromaru only listens to me.\Even if the opponent was Naraku...\What?!\Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat!\Wind Tunnel!\Miroku!\Hiraikotsu! response:	Sango!
context: Even if the opponent was Naraku...\What?!\Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat!\Wind Tunnel!\Miroku!\Hiraikotsu!\Sango! response:	Wind Tunnel!
context: What?!\Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat!\Wind Tunnel!\Miroku!\Hiraikotsu!\Sango!\Wind Tunnel! response:	Just what are you sucking up?
context: Now then, let's feast on the rest of them, Juromaru.\It's all-you-can-eat!\Wind Tunnel!\Miroku!\Hiraikotsu!\Sango!\Wind Tunnel!\Just what are you sucking up? response:	Are you above me?
context: It's all-you-can-eat!\Wind Tunnel!\Miroku!\Hiraikotsu!\Sango!\Wind Tunnel!\Just what are you sucking up?\Are you above me? response:	Too late.
context: Wind Tunnel!\Miroku!\Hiraikotsu!\Sango!\Wind Tunnel!\Just what are you sucking up?\Are you above me?\Too late. response:	And you think you can defeat us with that speed?
context: Miroku!\Hiraikotsu!\Sango!\Wind Tunnel!\Just what are you sucking up?\Are you above me?\Too late.\And you think you can defeat us with that speed? response:	Miroku!
context: Hiraikotsu!\Sango!\Wind Tunnel!\Just what are you sucking up?\Are you above me?\Too late.\And you think you can defeat us with that speed?\Miroku! response:	Why you!
context: Sango!\Wind Tunnel!\Just what are you sucking up?\Are you above me?\Too late.\And you think you can defeat us with that speed?\Miroku!\Why you! response:	Miroku, are you all right?!
context: Wind Tunnel!\Just what are you sucking up?\Are you above me?\Too late.\And you think you can defeat us with that speed?\Miroku!\Why you!\Miroku, are you all right?! response:	I was more afraid of your sword!
context: Just what are you sucking up?\Are you above me?\Too late.\And you think you can defeat us with that speed?\Miroku!\Why you!\Miroku, are you all right?!\I was more afraid of your sword! response:	Then just pull over the covers and sleep it off!
context: Are you above me?\Too late.\And you think you can defeat us with that speed?\Miroku!\Why you!\Miroku, are you all right?!\I was more afraid of your sword!\Then just pull over the covers and sleep it off! response:	I'm coming!
context: Too late.\And you think you can defeat us with that speed?\Miroku!\Why you!\Miroku, are you all right?!\I was more afraid of your sword!\Then just pull over the covers and sleep it off!\I'm coming! response:	Inuyasha, you mustn't move!
context: And you think you can defeat us with that speed?\Miroku!\Why you!\Miroku, are you all right?!\I was more afraid of your sword!\Then just pull over the covers and sleep it off!\I'm coming!\Inuyasha, you mustn't move! response:	You have a hole in your belly!
context: Miroku!\Why you!\Miroku, are you all right?!\I was more afraid of your sword!\Then just pull over the covers and sleep it off!\I'm coming!\Inuyasha, you mustn't move!\You have a hole in your belly! response:	Shaddup! This is nothing unusual...
context: Why you!\Miroku, are you all right?!\I was more afraid of your sword!\Then just pull over the covers and sleep it off!\I'm coming!\Inuyasha, you mustn't move!\You have a hole in your belly!\Shaddup! This is nothing unusual... response:	I'm taking this girl's life.
context: Miroku, are you all right?!\I was more afraid of your sword!\Then just pull over the covers and sleep it off!\I'm coming!\Inuyasha, you mustn't move!\You have a hole in your belly!\Shaddup! This is nothing unusual...\I'm taking this girl's life. response:	Kagome!
context: I was more afraid of your sword!\Then just pull over the covers and sleep it off!\I'm coming!\Inuyasha, you mustn't move!\You have a hole in your belly!\Shaddup! This is nothing unusual...\I'm taking this girl's life.\Kagome! response:	Kagome!
context: Then just pull over the covers and sleep it off!\I'm coming!\Inuyasha, you mustn't move!\You have a hole in your belly!\Shaddup! This is nothing unusual...\I'm taking this girl's life.\Kagome!\Kagome! response:	Huh?!
context: I'm coming!\Inuyasha, you mustn't move!\You have a hole in your belly!\Shaddup! This is nothing unusual...\I'm taking this girl's life.\Kagome!\Kagome!\Huh?! response:	Are you all right, Kagome?
context: Inuyasha, you mustn't move!\You have a hole in your belly!\Shaddup! This is nothing unusual...\I'm taking this girl's life.\Kagome!\Kagome!\Huh?!\Are you all right, Kagome? response:	K-Koga?
context: You have a hole in your belly!\Shaddup! This is nothing unusual...\I'm taking this girl's life.\Kagome!\Kagome!\Huh?!\Are you all right, Kagome?\K-Koga? response:	Dogface! What's going on?!
context: Shaddup! This is nothing unusual...\I'm taking this girl's life.\Kagome!\Kagome!\Huh?!\Are you all right, Kagome?\K-Koga?\Dogface! What's going on?! response:	How dare you put Kagome in danger!?
context: I'm taking this girl's life.\Kagome!\Kagome!\Huh?!\Are you all right, Kagome?\K-Koga?\Dogface! What's going on?!\How dare you put Kagome in danger!? response:	Shaddup!
context: Kagome!\Kagome!\Huh?!\Are you all right, Kagome?\K-Koga?\Dogface! What's going on?!\How dare you put Kagome in danger!?\Shaddup! response:	You ran off with your tail between your legs!
context: Kagome!\Huh?!\Are you all right, Kagome?\K-Koga?\Dogface! What's going on?!\How dare you put Kagome in danger!?\Shaddup!\You ran off with your tail between your legs! response:	But I'll thank you for just now! Stupid!
context: Huh?!\Are you all right, Kagome?\K-Koga?\Dogface! What's going on?!\How dare you put Kagome in danger!?\Shaddup!\You ran off with your tail between your legs!\But I'll thank you for just now! Stupid! response:	Was I in danger just now?
context: Are you all right, Kagome?\K-Koga?\Dogface! What's going on?!\How dare you put Kagome in danger!?\Shaddup!\You ran off with your tail between your legs!\But I'll thank you for just now! Stupid!\Was I in danger just now? response:	Looks like it.
context: K-Koga?\Dogface! What's going on?!\How dare you put Kagome in danger!?\Shaddup!\You ran off with your tail between your legs!\But I'll thank you for just now! Stupid!\Was I in danger just now?\Looks like it. response:	So what is that stupid looking demon?
context: Dogface! What's going on?!\How dare you put Kagome in danger!?\Shaddup!\You ran off with your tail between your legs!\But I'll thank you for just now! Stupid!\Was I in danger just now?\Looks like it.\So what is that stupid looking demon? response:	He came out of Juromaru's gut.
context: How dare you put Kagome in danger!?\Shaddup!\You ran off with your tail between your legs!\But I'll thank you for just now! Stupid!\Was I in danger just now?\Looks like it.\So what is that stupid looking demon?\He came out of Juromaru's gut. response:	No wonder... The cold I sensed coming from Juromaru...
context: Shaddup!\You ran off with your tail between your legs!\But I'll thank you for just now! Stupid!\Was I in danger just now?\Looks like it.\So what is that stupid looking demon?\He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru... response:	It was him.
context: You ran off with your tail between your legs!\But I'll thank you for just now! Stupid!\Was I in danger just now?\Looks like it.\So what is that stupid looking demon?\He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru...\It was him. response:	That Kageromaru is so swift, we can't keep up.
context: But I'll thank you for just now! Stupid!\Was I in danger just now?\Looks like it.\So what is that stupid looking demon?\He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru...\It was him.\That Kageromaru is so swift, we can't keep up. response:	Just who do you think I am?
context: Was I in danger just now?\Looks like it.\So what is that stupid looking demon?\He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru...\It was him.\That Kageromaru is so swift, we can't keep up.\Just who do you think I am? response:	There's no one who can outrun these legs.
context: Looks like it.\So what is that stupid looking demon?\He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru...\It was him.\That Kageromaru is so swift, we can't keep up.\Just who do you think I am?\There's no one who can outrun these legs. response:	It seems talk is all you have.
context: So what is that stupid looking demon?\He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru...\It was him.\That Kageromaru is so swift, we can't keep up.\Just who do you think I am?\There's no one who can outrun these legs.\It seems talk is all you have. response:	Well, that does it!
context: He came out of Juromaru's gut.\No wonder... The cold I sensed coming from Juromaru...\It was him.\That Kageromaru is so swift, we can't keep up.\Just who do you think I am?\There's no one who can outrun these legs.\It seems talk is all you have.\Well, that does it! response:	I'll twist your head off!
context: No wonder... The cold I sensed coming from Juromaru...\It was him.\That Kageromaru is so swift, we can't keep up.\Just who do you think I am?\There's no one who can outrun these legs.\It seems talk is all you have.\Well, that does it!\I'll twist your head off! response:	You're not worth your talk.
context: It was him.\That Kageromaru is so swift, we can't keep up.\Just who do you think I am?\There's no one who can outrun these legs.\It seems talk is all you have.\Well, that does it!\I'll twist your head off!\You're not worth your talk. response:	Is that as fast as you can go?
context: That Kageromaru is so swift, we can't keep up.\Just who do you think I am?\There's no one who can outrun these legs.\It seems talk is all you have.\Well, that does it!\I'll twist your head off!\You're not worth your talk.\Is that as fast as you can go? response:	Damn!
context: Just who do you think I am?\There's no one who can outrun these legs.\It seems talk is all you have.\Well, that does it!\I'll twist your head off!\You're not worth your talk.\Is that as fast as you can go?\Damn! response:	Juromaru! I'm your opponent!
context: There's no one who can outrun these legs.\It seems talk is all you have.\Well, that does it!\I'll twist your head off!\You're not worth your talk.\Is that as fast as you can go?\Damn!\Juromaru! I'm your opponent! response:	Inuyasha!
context: It seems talk is all you have.\Well, that does it!\I'll twist your head off!\You're not worth your talk.\Is that as fast as you can go?\Damn!\Juromaru! I'm your opponent!\Inuyasha! response:	Shame on you, dogface!
context: Well, that does it!\I'll twist your head off!\You're not worth your talk.\Is that as fast as you can go?\Damn!\Juromaru! I'm your opponent!\Inuyasha!\Shame on you, dogface! response:	A stupid demon like that should be an easy prey!
context: I'll twist your head off!\You're not worth your talk.\Is that as fast as you can go?\Damn!\Juromaru! I'm your opponent!\Inuyasha!\Shame on you, dogface!\A stupid demon like that should be an easy prey! response:	What?!
context: You're not worth your talk.\Is that as fast as you can go?\Damn!\Juromaru! I'm your opponent!\Inuyasha!\Shame on you, dogface!\A stupid demon like that should be an easy prey!\What?! response:	You!
context: Is that as fast as you can go?\Damn!\Juromaru! I'm your opponent!\Inuyasha!\Shame on you, dogface!\A stupid demon like that should be an easy prey!\What?!\You! response:	What about you?! Haven't caught Kageromaru yet?
context: Damn!\Juromaru! I'm your opponent!\Inuyasha!\Shame on you, dogface!\A stupid demon like that should be an easy prey!\What?!\You!\What about you?! Haven't caught Kageromaru yet? response:	Don't compare me to you!
context: Juromaru! I'm your opponent!\Inuyasha!\Shame on you, dogface!\A stupid demon like that should be an easy prey!\What?!\You!\What about you?! Haven't caught Kageromaru yet?\Don't compare me to you! response:	Whoa!
context: Inuyasha!\Shame on you, dogface!\A stupid demon like that should be an easy prey!\What?!\You!\What about you?! Haven't caught Kageromaru yet?\Don't compare me to you!\Whoa! response:	I can see you now!
context: Shame on you, dogface!\A stupid demon like that should be an easy prey!\What?!\You!\What about you?! Haven't caught Kageromaru yet?\Don't compare me to you!\Whoa!\I can see you now! response:	Right here!
context: A stupid demon like that should be an easy prey!\What?!\You!\What about you?! Haven't caught Kageromaru yet?\Don't compare me to you!\Whoa!\I can see you now!\Right here! response:	He's anticipating Kageromaru's moves.
context: What?!\You!\What about you?! Haven't caught Kageromaru yet?\Don't compare me to you!\Whoa!\I can see you now!\Right here!\He's anticipating Kageromaru's moves. response:	Amazing!
context: You!\What about you?! Haven't caught Kageromaru yet?\Don't compare me to you!\Whoa!\I can see you now!\Right here!\He's anticipating Kageromaru's moves.\Amazing! response:	Finishing blow!
context: What about you?! Haven't caught Kageromaru yet?\Don't compare me to you!\Whoa!\I can see you now!\Right here!\He's anticipating Kageromaru's moves.\Amazing!\Finishing blow! response:	He did it!
context: Don't compare me to you!\Whoa!\I can see you now!\Right here!\He's anticipating Kageromaru's moves.\Amazing!\Finishing blow!\He did it! response:	Gone! He escaped!
context: Whoa!\I can see you now!\Right here!\He's anticipating Kageromaru's moves.\Amazing!\Finishing blow!\He did it!\Gone! He escaped! response:	W-what! From beneath the soil!
context: I can see you now!\Right here!\He's anticipating Kageromaru's moves.\Amazing!\Finishing blow!\He did it!\Gone! He escaped!\W-what! From beneath the soil! response:	Inuyasha!
context: Right here!\He's anticipating Kageromaru's moves.\Amazing!\Finishing blow!\He did it!\Gone! He escaped!\W-what! From beneath the soil!\Inuyasha! response:	Damn! He went under again!
context: He's anticipating Kageromaru's moves.\Amazing!\Finishing blow!\He did it!\Gone! He escaped!\W-what! From beneath the soil!\Inuyasha!\Damn! He went under again! response:	No! With his leg injured, there's no way he can win!
context: Amazing!\Finishing blow!\He did it!\Gone! He escaped!\W-what! From beneath the soil!\Inuyasha!\Damn! He went under again!\No! With his leg injured, there's no way he can win! response:	Inuyasha is still unconscious.
context: Finishing blow!\He did it!\Gone! He escaped!\W-what! From beneath the soil!\Inuyasha!\Damn! He went under again!\No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious. response:	Now then... I think I'll have that girl's liver.
context: He did it!\Gone! He escaped!\W-what! From beneath the soil!\Inuyasha!\Damn! He went under again!\No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver. response:	W-what?!
context: Gone! He escaped!\W-what! From beneath the soil!\Inuyasha!\Damn! He went under again!\No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver.\W-what?! response:	Kageromaru, don't you dare touch Kagome...!
context: W-what! From beneath the soil!\Inuyasha!\Damn! He went under again!\No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver.\W-what?!\Kageromaru, don't you dare touch Kagome...! response:	I'll eat her bones and all!
context: Inuyasha!\Damn! He went under again!\No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver.\W-what?!\Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all! response:	No way!
context: Damn! He went under again!\No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver.\W-what?!\Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all!\No way! response:	Too late!
context: No! With his leg injured, there's no way he can win!\Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver.\W-what?!\Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all!\No way!\Too late! response:	Inuyasha!
context: Inuyasha is still unconscious.\Now then... I think I'll have that girl's liver.\W-what?!\Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all!\No way!\Too late!\Inuyasha! response:	Why you...!
context: Now then... I think I'll have that girl's liver.\W-what?!\Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all!\No way!\Too late!\Inuyasha!\Why you...! response:	Inuyasha... did the sword become light?
context: W-what?!\Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all!\No way!\Too late!\Inuyasha!\Why you...!\Inuyasha... did the sword become light? response:	He's wielding the Tetsusaiga with one hand.
context: Kageromaru, don't you dare touch Kagome...!\I'll eat her bones and all!\No way!\Too late!\Inuyasha!\Why you...!\Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand. response:	He's so simple-minded.
context: I'll eat her bones and all!\No way!\Too late!\Inuyasha!\Why you...!\Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand.\He's so simple-minded. response:	He got so mad, he forgot how heavy it is.
context: No way!\Too late!\Inuyasha!\Why you...!\Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand.\He's so simple-minded.\He got so mad, he forgot how heavy it is. response:	He heard me?
context: Too late!\Inuyasha!\Why you...!\Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand.\He's so simple-minded.\He got so mad, he forgot how heavy it is.\He heard me? response:	Did he go under again?
context: Inuyasha!\Why you...!\Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand.\He's so simple-minded.\He got so mad, he forgot how heavy it is.\He heard me?\Did he go under again? response:	Inuyasha!
context: Why you...!\Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand.\He's so simple-minded.\He got so mad, he forgot how heavy it is.\He heard me?\Did he go under again?\Inuyasha! response:	Kagome, are you all right?
context: Inuyasha... did the sword become light?\He's wielding the Tetsusaiga with one hand.\He's so simple-minded.\He got so mad, he forgot how heavy it is.\He heard me?\Did he go under again?\Inuyasha!\Kagome, are you all right? response:	Yes... but look at your wound, it looks so terrible.
context: He's wielding the Tetsusaiga with one hand.\He's so simple-minded.\He got so mad, he forgot how heavy it is.\He heard me?\Did he go under again?\Inuyasha!\Kagome, are you all right?\Yes... but look at your wound, it looks so terrible. response:	Dogface, he's still alive?
