context: When I must hide these burning feelings, response:	Did you see that?
context: I don't know if it's coincidence or fate,\Excuse me. Can I take a picture?\but the current Master and Queen\Then can you and the Master stand next to each other.\have no teacher figures.\What a waste...\A person who never had a teacher\can't become a teacher. response:	Oh, my, everyone?
context: Excuse me. Can I take a picture?\but the current Master and Queen\Then can you and the Master stand next to each other.\have no teacher figures.\What a waste...\A person who never had a teacher\can't become a teacher.\Oh, my, everyone? response:	Why does everyone look so sad?
context: but the current Master and Queen\Then can you and the Master stand next to each other.\have no teacher figures.\What a waste...\A person who never had a teacher\can't become a teacher.\Oh, my, everyone?\Why does everyone look so sad? response:	Oh, dear. It's already six.
context: Then can you and the Master stand next to each other.\have no teacher figures.\What a waste...\A person who never had a teacher\can't become a teacher.\Oh, my, everyone?\Why does everyone look so sad?\Oh, dear. It's already six. response:	I'm sure your parents are getting worried.
context: have no teacher figures.\What a waste...\A person who never had a teacher\can't become a teacher.\Oh, my, everyone?\Why does everyone look so sad?\Oh, dear. It's already six.\I'm sure your parents are getting worried. response:	Not good enough...
context: What a waste...\A person who never had a teacher\can't become a teacher.\Oh, my, everyone?\Why does everyone look so sad?\Oh, dear. It's already six.\I'm sure your parents are getting worried.\Not good enough... response:	Not good enough.
context: A person who never had a teacher\can't become a teacher.\Oh, my, everyone?\Why does everyone look so sad?\Oh, dear. It's already six.\I'm sure your parents are getting worried.\Not good enough...\Not good enough. response:	Not good enough.
context: can't become a teacher.\Oh, my, everyone?\Why does everyone look so sad?\Oh, dear. It's already six.\I'm sure your parents are getting worried.\Not good enough...\Not good enough.\Not good enough. response:	Not good enough, not good enough.
context: Oh, my, everyone?\Why does everyone look so sad?\Oh, dear. It's already six.\I'm sure your parents are getting worried.\Not good enough...\Not good enough.\Not good enough.\Not good enough, not good enough. response:	Not good enough.
context: Why does everyone look so sad?\Oh, dear. It's already six.\I'm sure your parents are getting worried.\Not good enough...\Not good enough.\Not good enough.\Not good enough, not good enough.\Not good enough. response:	Well, Chihaya-chan, see you later.
context: Oh, dear. It's already six.\I'm sure your parents are getting worried.\Not good enough...\Not good enough.\Not good enough.\Not good enough, not good enough.\Not good enough.\Well, Chihaya-chan, see you later. response:	Catch you at practice.
context: I'm sure your parents are getting worried.\Not good enough...\Not good enough.\Not good enough.\Not good enough, not good enough.\Not good enough.\Well, Chihaya-chan, see you later.\Catch you at practice. response:	Uh-huh, bye.
context: Not good enough...\Not good enough.\Not good enough.\Not good enough, not good enough.\Not good enough.\Well, Chihaya-chan, see you later.\Catch you at practice.\Uh-huh, bye. response:	Desktomu-kun, watch where you're going.
context: Not good enough.\Not good enough.\Not good enough, not good enough.\Not good enough.\Well, Chihaya-chan, see you later.\Catch you at practice.\Uh-huh, bye.\Desktomu-kun, watch where you're going. response:	Ayase!
context: Not good enough.\Not good enough, not good enough.\Not good enough.\Well, Chihaya-chan, see you later.\Catch you at practice.\Uh-huh, bye.\Desktomu-kun, watch where you're going.\Ayase! response:	20 cards!
context: Not good enough, not good enough.\Not good enough.\Well, Chihaya-chan, see you later.\Catch you at practice.\Uh-huh, bye.\Desktomu-kun, watch where you're going.\Ayase!\20 cards! response:	You have 20!
context: Not good enough.\Well, Chihaya-chan, see you later.\Catch you at practice.\Uh-huh, bye.\Desktomu-kun, watch where you're going.\Ayase!\20 cards!\You have 20! response:	20 what?
context: Well, Chihaya-chan, see you later.\Catch you at practice.\Uh-huh, bye.\Desktomu-kun, watch where you're going.\Ayase!\20 cards!\You have 20!\20 what? response:	20 what?
context: Catch you at practice.\Uh-huh, bye.\Desktomu-kun, watch where you're going.\Ayase!\20 cards!\You have 20!\20 what?\20 what? response:	20 one-syllable cards!
context: Uh-huh, bye.\Desktomu-kun, watch where you're going.\Ayase!\20 cards!\You have 20!\20 what?\20 what?\20 one-syllable cards! response:	How am I supposed to stay motivated?
context: Desktomu-kun, watch where you're going.\Ayase!\20 cards!\You have 20!\20 what?\20 what?\20 one-syllable cards!\How am I supposed to stay motivated? response:	What should I do?
context: Ayase!\20 cards!\You have 20!\20 what?\20 what?\20 one-syllable cards!\How am I supposed to stay motivated?\What should I do? response:	Incoming Call Taichi
context: 20 cards!\You have 20!\20 what?\20 what?\20 one-syllable cards!\How am I supposed to stay motivated?\What should I do?\Incoming Call Taichi response:	Ta-Taichi!
context: You have 20!\20 what?\20 what?\20 one-syllable cards!\How am I supposed to stay motivated?\What should I do?\Incoming Call Taichi\Ta-Taichi! response:	Happy New Year!
context: 20 what?\20 what?\20 one-syllable cards!\How am I supposed to stay motivated?\What should I do?\Incoming Call Taichi\Ta-Taichi!\Happy New Year! response:	It's a little late for that.
context: 20 what?\20 one-syllable cards!\How am I supposed to stay motivated?\What should I do?\Incoming Call Taichi\Ta-Taichi!\Happy New Year!\It's a little late for that. response:	Well, it doesn't hurt.
context: 20 one-syllable cards!\How am I supposed to stay motivated?\What should I do?\Incoming Call Taichi\Ta-Taichi!\Happy New Year!\It's a little late for that.\Well, it doesn't hurt. response:	Did you watch the Master match today?
context: How am I supposed to stay motivated?\What should I do?\Incoming Call Taichi\Ta-Taichi!\Happy New Year!\It's a little late for that.\Well, it doesn't hurt.\Did you watch the Master match today? response:	Yeah, I did.
context: What should I do?\Incoming Call Taichi\Ta-Taichi!\Happy New Year!\It's a little late for that.\Well, it doesn't hurt.\Did you watch the Master match today?\Yeah, I did. response:	I've actually been doing some thinking.
context: Incoming Call Taichi\Ta-Taichi!\Happy New Year!\It's a little late for that.\Well, it doesn't hurt.\Did you watch the Master match today?\Yeah, I did.\I've actually been doing some thinking. response:	Thinking?
context: Ta-Taichi!\Happy New Year!\It's a little late for that.\Well, it doesn't hurt.\Did you watch the Master match today?\Yeah, I did.\I've actually been doing some thinking.\Thinking? response:	Yeah, about the Master's card positioning.
context: Happy New Year!\It's a little late for that.\Well, it doesn't hurt.\Did you watch the Master match today?\Yeah, I did.\I've actually been doing some thinking.\Thinking?\Yeah, about the Master's card positioning. response:	I asked some Nagumo society members,
context: It's a little late for that.\Well, it doesn't hurt.\Did you watch the Master match today?\Yeah, I did.\I've actually been doing some thinking.\Thinking?\Yeah, about the Master's card positioning.\I asked some Nagumo society members, response:	who were there in person, to fill me in
context: Well, it doesn't hurt.\Did you watch the Master match today?\Yeah, I did.\I've actually been doing some thinking.\Thinking?\Yeah, about the Master's card positioning.\I asked some Nagumo society members,\who were there in person, to fill me in response:	on the games that weren't broadcast,
context: Did you watch the Master match today?\Yeah, I did.\I've actually been doing some thinking.\Thinking?\Yeah, about the Master's card positioning.\I asked some Nagumo society members,\who were there in person, to fill me in\on the games that weren't broadcast, response:	so I could line up the cards.
context: Yeah, I did.\I've actually been doing some thinking.\Thinking?\Yeah, about the Master's card positioning.\I asked some Nagumo society members,\who were there in person, to fill me in\on the games that weren't broadcast,\so I could line up the cards. response:	It helps me understand the Master better.
context: I've actually been doing some thinking.\Thinking?\Yeah, about the Master's card positioning.\I asked some Nagumo society members,\who were there in person, to fill me in\on the games that weren't broadcast,\so I could line up the cards.\It helps me understand the Master better. response:	Playing with cards by yourself in Master Wataya's room?
context: Thinking?\Yeah, about the Master's card positioning.\I asked some Nagumo society members,\who were there in person, to fill me in\on the games that weren't broadcast,\so I could line up the cards.\It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room? response:	You haven't grown up, huh?
context: Yeah, about the Master's card positioning.\I asked some Nagumo society members,\who were there in person, to fill me in\on the games that weren't broadcast,\so I could line up the cards.\It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh? response:	Well, let's play.
context: I asked some Nagumo society members,\who were there in person, to fill me in\on the games that weren't broadcast,\so I could line up the cards.\It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh?\Well, let's play. response:	Arata? Arata?
context: who were there in person, to fill me in\on the games that weren't broadcast,\so I could line up the cards.\It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh?\Well, let's play.\Arata? Arata? response:	I have to give it a shot!
context: on the games that weren't broadcast,\so I could line up the cards.\It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh?\Well, let's play.\Arata? Arata?\I have to give it a shot! response:	Like I said!
context: so I could line up the cards.\It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh?\Well, let's play.\Arata? Arata?\I have to give it a shot!\Like I said! response:	I have notes from your practice games
context: It helps me understand the Master better.\Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh?\Well, let's play.\Arata? Arata?\I have to give it a shot!\Like I said!\I have notes from your practice games response:	and your games in official tournaments.
context: Playing with cards by yourself in Master Wataya's room?\You haven't grown up, huh?\Well, let's play.\Arata? Arata?\I have to give it a shot!\Like I said!\I have notes from your practice games\and your games in official tournaments. response:	After reviewing them,
context: You haven't grown up, huh?\Well, let's play.\Arata? Arata?\I have to give it a shot!\Like I said!\I have notes from your practice games\and your games in official tournaments.\After reviewing them, response:	I determined that there are about 20 cards.
context: Well, let's play.\Arata? Arata?\I have to give it a shot!\Like I said!\I have notes from your practice games\and your games in official tournaments.\After reviewing them,\I determined that there are about 20 cards. response:	Of course, it depends on the reader and your condition,
context: Arata? Arata?\I have to give it a shot!\Like I said!\I have notes from your practice games\and your games in official tournaments.\After reviewing them,\I determined that there are about 20 cards.\Of course, it depends on the reader and your condition, response:	When I , When the , Impassionate,
context: I have to give it a shot!\Like I said!\I have notes from your practice games\and your games in official tournaments.\After reviewing them,\I determined that there are about 20 cards.\Of course, it depends on the reader and your condition,\When I , When the , Impassionate, response:	Though I , and Though my
context: Like I said!\I have notes from your practice games\and your games in official tournaments.\After reviewing them,\I determined that there are about 20 cards.\Of course, it depends on the reader and your condition,\When I , When the , Impassionate,\Though I , and Though my response:	are all cards you take on the first syllable, I think.
context: I have notes from your practice games\and your games in official tournaments.\After reviewing them,\I determined that there are about 20 cards.\Of course, it depends on the reader and your condition,\When I , When the , Impassionate,\Though I , and Though my\are all cards you take on the first syllable, I think. response:	You must have noticed this?
context: and your games in official tournaments.\After reviewing them,\I determined that there are about 20 cards.\Of course, it depends on the reader and your condition,\When I , When the , Impassionate,\Though I , and Though my\are all cards you take on the first syllable, I think.\You must have noticed this? response:	I-I kind of did...
context: After reviewing them,\I determined that there are about 20 cards.\Of course, it depends on the reader and your condition,\When I , When the , Impassionate,\Though I , and Though my\are all cards you take on the first syllable, I think.\You must have noticed this?\I-I kind of did... response:	Only kind of...
context: I determined that there are about 20 cards.\Of course, it depends on the reader and your condition,\When I , When the , Impassionate,\Though I , and Though my\are all cards you take on the first syllable, I think.\You must have noticed this?\I-I kind of did...\Only kind of... response:	Do I really recognize them on the...
context: Of course, it depends on the reader and your condition,\When I , When the , Impassionate,\Though I , and Though my\are all cards you take on the first syllable, I think.\You must have noticed this?\I-I kind of did...\Only kind of...\Do I really recognize them on the... response:	Trust my data!
context: When I , When the , Impassionate,\Though I , and Though my\are all cards you take on the first syllable, I think.\You must have noticed this?\I-I kind of did...\Only kind of...\Do I really recognize them on the...\Trust my data! response:	Sorry!
context: Though I , and Though my\are all cards you take on the first syllable, I think.\You must have noticed this?\I-I kind of did...\Only kind of...\Do I really recognize them on the...\Trust my data!\Sorry! response:	You and Master Suo aren't the only ones who can do this.
context: are all cards you take on the first syllable, I think.\You must have noticed this?\I-I kind of did...\Only kind of...\Do I really recognize them on the...\Trust my data!\Sorry!\You and Master Suo aren't the only ones who can do this. response:	Most people with good game sense will have a few cards
context: You must have noticed this?\I-I kind of did...\Only kind of...\Do I really recognize them on the...\Trust my data!\Sorry!\You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards response:	where they can anticipate the next sound.
context: I-I kind of did...\Only kind of...\Do I really recognize them on the...\Trust my data!\Sorry!\You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards\where they can anticipate the next sound. response:	I wish I could do that.
context: Only kind of...\Do I really recognize them on the...\Trust my data!\Sorry!\You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards\where they can anticipate the next sound.\I wish I could do that. response:	What?! I don't want this.
context: Do I really recognize them on the...\Trust my data!\Sorry!\You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards\where they can anticipate the next sound.\I wish I could do that.\What?! I don't want this. response:	Uh, hey!
context: Trust my data!\Sorry!\You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards\where they can anticipate the next sound.\I wish I could do that.\What?! I don't want this.\Uh, hey! response:	I-I'll find something better to give you in return!
context: Sorry!\You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards\where they can anticipate the next sound.\I wish I could do that.\What?! I don't want this.\Uh, hey!\I-I'll find something better to give you in return! response:	What?
context: You and Master Suo aren't the only ones who can do this.\Most people with good game sense will have a few cards\where they can anticipate the next sound.\I wish I could do that.\What?! I don't want this.\Uh, hey!\I-I'll find something better to give you in return!\What? response:	Oh, it's Ayase-san!
context: Most people with good game sense will have a few cards\where they can anticipate the next sound.\I wish I could do that.\What?! I don't want this.\Uh, hey!\I-I'll find something better to give you in return!\What?\Oh, it's Ayase-san! response:	Gotta admit that she's cute.
context: where they can anticipate the next sound.\I wish I could do that.\What?! I don't want this.\Uh, hey!\I-I'll find something better to give you in return!\What?\Oh, it's Ayase-san!\Gotta admit that she's cute. response:	She's so fine.
context: I wish I could do that.\What?! I don't want this.\Uh, hey!\I-I'll find something better to give you in return!\What?\Oh, it's Ayase-san!\Gotta admit that she's cute.\She's so fine. response:	No, I take it back.
context: What?! I don't want this.\Uh, hey!\I-I'll find something better to give you in return!\What?\Oh, it's Ayase-san!\Gotta admit that she's cute.\She's so fine.\No, I take it back. response:	She's muttering some kind of curse.
context: Uh, hey!\I-I'll find something better to give you in return!\What?\Oh, it's Ayase-san!\Gotta admit that she's cute.\She's so fine.\No, I take it back.\She's muttering some kind of curse. response:	Yeah, not her.
context: I-I'll find something better to give you in return!\What?\Oh, it's Ayase-san!\Gotta admit that she's cute.\She's so fine.\No, I take it back.\She's muttering some kind of curse.\Yeah, not her. response:	Scary! Let's go around.
context: What?\Oh, it's Ayase-san!\Gotta admit that she's cute.\She's so fine.\No, I take it back.\She's muttering some kind of curse.\Yeah, not her.\Scary! Let's go around. response:	Out of the question.
context: Oh, it's Ayase-san!\Gotta admit that she's cute.\She's so fine.\No, I take it back.\She's muttering some kind of curse.\Yeah, not her.\Scary! Let's go around.\Out of the question. response:	Chi-Chihaya-chan!
context: Gotta admit that she's cute.\She's so fine.\No, I take it back.\She's muttering some kind of curse.\Yeah, not her.\Scary! Let's go around.\Out of the question.\Chi-Chihaya-chan! response:	Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my
context: She's so fine.\No, I take it back.\She's muttering some kind of curse.\Yeah, not her.\Scary! Let's go around.\Out of the question.\Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my response:	Since the dew...
context: No, I take it back.\She's muttering some kind of curse.\Yeah, not her.\Scary! Let's go around.\Out of the question.\Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew... response:	Since I could not...
context: She's muttering some kind of curse.\Yeah, not her.\Scary! Let's go around.\Out of the question.\Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew...\Since I could not... response:	Like a boatsman...
context: Yeah, not her.\Scary! Let's go around.\Out of the question.\Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew...\Since I could not...\Like a boatsman... response:	Like the sound...
context: Scary! Let's go around.\Out of the question.\Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew...\Since I could not...\Like a boatsman...\Like the sound... response:	When I must hide...
context: Out of the question.\Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide... response:	When the misty bridge...
context: Chi-Chihaya-chan!\Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge... response:	You have 20!
context: Since the, Since I, Like the, Like a, When I, When the, Impassionate, Would the, Would this, In the, For the, Though I, Though my\Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\You have 20! response:	Impassionate gods...
context: Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\You have 20!\Impassionate gods... response:	The number isn't important.
context: Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\You have 20!\Impassionate gods...\The number isn't important. response:	What matters is that...
context: Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\You have 20!\Impassionate gods...\The number isn't important.\What matters is that... response:	Trust me!
context: Like the sound...\When I must hide...\When the misty bridge...\You have 20!\Impassionate gods...\The number isn't important.\What matters is that...\Trust me! response:	Desktomu-kun figured it out for me.
context: When I must hide...\When the misty bridge...\You have 20!\Impassionate gods...\The number isn't important.\What matters is that...\Trust me!\Desktomu-kun figured it out for me. response:	He was able to tell me what I was hearing.
context: When the misty bridge...\You have 20!\Impassionate gods...\The number isn't important.\What matters is that...\Trust me!\Desktomu-kun figured it out for me.\He was able to tell me what I was hearing. response:	I wish I could do that.
context: You have 20!\Impassionate gods...\The number isn't important.\What matters is that...\Trust me!\Desktomu-kun figured it out for me.\He was able to tell me what I was hearing.\I wish I could do that. response:	Though I prayed...
context: Impassionate gods...\The number isn't important.\What matters is that...\Trust me!\Desktomu-kun figured it out for me.\He was able to tell me what I was hearing.\I wish I could do that.\Though I prayed... response:	Though my hatred...
context: The number isn't important.\What matters is that...\Trust me!\Desktomu-kun figured it out for me.\He was able to tell me what I was hearing.\I wish I could do that.\Though I prayed...\Though my hatred... response:	For the cold nights...
context: What matters is that...\Trust me!\Desktomu-kun figured it out for me.\He was able to tell me what I was hearing.\I wish I could do that.\Though I prayed...\Though my hatred...\For the cold nights... response:	Would the mountain cherry blossoms...
context: Trust me!\Desktomu-kun figured it out for me.\He was able to tell me what I was hearing.\I wish I could do that.\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms... response:	Would this old palace courtyard...
context: Desktomu-kun figured it out for me.\He was able to tell me what I was hearing.\I wish I could do that.\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard... response:	I hope I'm able to return the favor some day.
context: He was able to tell me what I was hearing.\I wish I could do that.\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\I hope I'm able to return the favor some day. response:	In the sleepy...
context: I wish I could do that.\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\I hope I'm able to return the favor some day.\In the sleepy... response:	Since the dew...
context: Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\I hope I'm able to return the favor some day.\In the sleepy...\Since the dew... response:	Since I could not...
context: Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\I hope I'm able to return the favor some day.\In the sleepy...\Since the dew...\Since I could not... response:	Like a boatsman...
context: For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\I hope I'm able to return the favor some day.\In the sleepy...\Since the dew...\Since I could not...\Like a boatsman... response:	Like the sound...
context: Would the mountain cherry blossoms...\Would this old palace courtyard...\I hope I'm able to return the favor some day.\In the sleepy...\Since the dew...\Since I could not...\Like a boatsman...\Like the sound... response:	When I must hide...
context: Would this old palace courtyard...\I hope I'm able to return the favor some day.\In the sleepy...\Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide... response:	When the misty bridge...
context: I hope I'm able to return the favor some day.\In the sleepy...\Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge... response:	Impassionate gods...
context: In the sleepy...\Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\Impassionate gods... response:	Though I prayed...
context: Since the dew...\Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\Impassionate gods...\Though I prayed... response:	Though my hatred...
context: Since I could not...\Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\Impassionate gods...\Though I prayed...\Though my hatred... response:	For the cold nights...
context: Like a boatsman...\Like the sound...\When I must hide...\When the misty bridge...\Impassionate gods...\Though I prayed...\Though my hatred...\For the cold nights... response:	Would the mountain cherry blossoms...
context: Like the sound...\When I must hide...\When the misty bridge...\Impassionate gods...\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms... response:	Would this old palace courtyard...
context: When I must hide...\When the misty bridge...\Impassionate gods...\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard... response:	In the sleepy...
context: When the misty bridge...\Impassionate gods...\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\In the sleepy... response:	Since the dew...
context: Impassionate gods...\Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\In the sleepy...\Since the dew... response:	I believe it was Ki no Tsurayuki who said
context: Though I prayed...\Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\In the sleepy...\Since the dew...\I believe it was Ki no Tsurayuki who said response:	Since I could not...
context: Though my hatred...\For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\In the sleepy...\Since the dew...\I believe it was Ki no Tsurayuki who said\Since I could not... response:	that the poetification of words
context: For the cold nights...\Would the mountain cherry blossoms...\Would this old palace courtyard...\In the sleepy...\Since the dew...\I believe it was Ki no Tsurayuki who said\Since I could not...\that the poetification of words response:	was as natural as birds and animals crying out.
context: Would the mountain cherry blossoms...\Would this old palace courtyard...\In the sleepy...\Since the dew...\I believe it was Ki no Tsurayuki who said\Since I could not...\that the poetification of words\was as natural as birds and animals crying out. response:	As long as the emotion is there,
context: Would this old palace courtyard...\In the sleepy...\Since the dew...\I believe it was Ki no Tsurayuki who said\Since I could not...\that the poetification of words\was as natural as birds and animals crying out.\As long as the emotion is there, response:	a short phrase can sound like a poem.
context: In the sleepy...\Since the dew...\I believe it was Ki no Tsurayuki who said\Since I could not...\that the poetification of words\was as natural as birds and animals crying out.\As long as the emotion is there,\a short phrase can sound like a poem. response:	Whoa!
context: Since the dew...\I believe it was Ki no Tsurayuki who said\Since I could not...\that the poetification of words\was as natural as birds and animals crying out.\As long as the emotion is there,\a short phrase can sound like a poem.\Whoa! response:	You scared me, Kana-chan!
context: I believe it was Ki no Tsurayuki who said\Since I could not...\that the poetification of words\was as natural as birds and animals crying out.\As long as the emotion is there,\a short phrase can sound like a poem.\Whoa!\You scared me, Kana-chan! response:	Yeah, it's all wasted once she moves.
context: Since I could not...\that the poetification of words\was as natural as birds and animals crying out.\As long as the emotion is there,\a short phrase can sound like a poem.\Whoa!\You scared me, Kana-chan!\Yeah, it's all wasted once she moves. response:	Out of nowhere! How long have you been there?!
context: that the poetification of words\was as natural as birds and animals crying out.\As long as the emotion is there,\a short phrase can sound like a poem.\Whoa!\You scared me, Kana-chan!\Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?! response:	Ah! You saw me acting weird!
context: was as natural as birds and animals crying out.\As long as the emotion is there,\a short phrase can sound like a poem.\Whoa!\You scared me, Kana-chan!\Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?!\Ah! You saw me acting weird! response:	So she realizes that it's weird.
context: As long as the emotion is there,\a short phrase can sound like a poem.\Whoa!\You scared me, Kana-chan!\Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?!\Ah! You saw me acting weird!\So she realizes that it's weird. response:	What should I do?!
context: a short phrase can sound like a poem.\Whoa!\You scared me, Kana-chan!\Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?!\Ah! You saw me acting weird!\So she realizes that it's weird.\What should I do?! response:	Chihaya-chan.
context: Whoa!\You scared me, Kana-chan!\Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?!\Ah! You saw me acting weird!\So she realizes that it's weird.\What should I do?!\Chihaya-chan. response:	Huh?
context: You scared me, Kana-chan!\Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?!\Ah! You saw me acting weird!\So she realizes that it's weird.\What should I do?!\Chihaya-chan.\Huh? response:	I actually have a dream now.
context: Yeah, it's all wasted once she moves.\Out of nowhere! How long have you been there?!\Ah! You saw me acting weird!\So she realizes that it's weird.\What should I do?!\Chihaya-chan.\Huh?\I actually have a dream now. response:	I'm very interested in reading cards.
context: Out of nowhere! How long have you been there?!\Ah! You saw me acting weird!\So she realizes that it's weird.\What should I do?!\Chihaya-chan.\Huh?\I actually have a dream now.\I'm very interested in reading cards. response:	I-I want to become a certified reader.
context: Ah! You saw me acting weird!\So she realizes that it's weird.\What should I do?!\Chihaya-chan.\Huh?\I actually have a dream now.\I'm very interested in reading cards.\I-I want to become a certified reader. response:	I want to become a certified reader...
context: So she realizes that it's weird.\What should I do?!\Chihaya-chan.\Huh?\I actually have a dream now.\I'm very interested in reading cards.\I-I want to become a certified reader.\I want to become a certified reader... response:	and read for your Queen match.
context: What should I do?!\Chihaya-chan.\Huh?\I actually have a dream now.\I'm very interested in reading cards.\I-I want to become a certified reader.\I want to become a certified reader...\and read for your Queen match. response:	Ka-Kana-chan, are you serious?!
context: Chihaya-chan.\Huh?\I actually have a dream now.\I'm very interested in reading cards.\I-I want to become a certified reader.\I want to become a certified reader...\and read for your Queen match.\Ka-Kana-chan, are you serious?! response:	Dead serious?!
context: Huh?\I actually have a dream now.\I'm very interested in reading cards.\I-I want to become a certified reader.\I want to become a certified reader...\and read for your Queen match.\Ka-Kana-chan, are you serious?!\Dead serious?! response:	Y-Yes.
context: I actually have a dream now.\I'm very interested in reading cards.\I-I want to become a certified reader.\I want to become a certified reader...\and read for your Queen match.\Ka-Kana-chan, are you serious?!\Dead serious?!\Y-Yes. response:	I don't know how difficult it will be yet...
context: I'm very interested in reading cards.\I-I want to become a certified reader.\I want to become a certified reader...\and read for your Queen match.\Ka-Kana-chan, are you serious?!\Dead serious?!\Y-Yes.\I don't know how difficult it will be yet... response:	That's great! Do your best, Kana-chan!
context: I-I want to become a certified reader.\I want to become a certified reader...\and read for your Queen match.\Ka-Kana-chan, are you serious?!\Dead serious?!\Y-Yes.\I don't know how difficult it will be yet...\That's great! Do your best, Kana-chan! response:	I will...
context: I want to become a certified reader...\and read for your Queen match.\Ka-Kana-chan, are you serious?!\Dead serious?!\Y-Yes.\I don't know how difficult it will be yet...\That's great! Do your best, Kana-chan!\I will... response:	I mean, you have to be...
context: and read for your Queen match.\Ka-Kana-chan, are you serious?!\Dead serious?!\Y-Yes.\I don't know how difficult it will be yet...\That's great! Do your best, Kana-chan!\I will...\I mean, you have to be... response:	a Class A player to become a certified reader!
context: Ka-Kana-chan, are you serious?!\Dead serious?!\Y-Yes.\I don't know how difficult it will be yet...\That's great! Do your best, Kana-chan!\I will...\I mean, you have to be...\a Class A player to become a certified reader! response:	Huh?
context: Dead serious?!\Y-Yes.\I don't know how difficult it will be yet...\That's great! Do your best, Kana-chan!\I will...\I mean, you have to be...\a Class A player to become a certified reader!\Huh? response:	You have to be a Class A player to become a certified reader!
