context: I see. response:	You found the candidate who could become the next queen?
context: Mel... tan?\You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster.\But what do you want with us?\It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable. response:	Wait, before that...
context: You've met before?\Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster.\But what do you want with us?\It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable.\Wait, before that... response:	I don't like a Cardinal Hero using dragon material in his equipment.
context: Yes. I ran into her on the way back to the capital after a diplomatic visit.\So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster.\But what do you want with us?\It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable.\Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment. response:	It serves as precious fodder to develop my shield.
context: So you've made a habit of that, huh?\Anyway, I'm grateful that you took out that monster.\But what do you want with us?\It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable.\Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield. response:	And I already sense an ominous aura in your shield.
context: Anyway, I'm grateful that you took out that monster.\But what do you want with us?\It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable.\Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield. response:	Curse powers are certainly immense, but so are their consequences.
context: But what do you want with us?\It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable.\Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences. response:	You mustn't use them.
context: It's a long story, and this isn't a great place for a chat.\Let me take you somewhere more suitable.\Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences.\You mustn't use them. response:	It's not a problem. I have it under control.
context: Let me take you somewhere more suitable.\Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences.\You mustn't use them.\It's not a problem. I have it under control. response:	Not for long.
context: Wait, before that...\I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences.\You mustn't use them.\It's not a problem. I have it under control.\Not for long. response:	Regardless, I need dragon material and the Rage Shield in order to survive.
context: I don't like a Cardinal Hero using dragon material in his equipment.\It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences.\You mustn't use them.\It's not a problem. I have it under control.\Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive. response:	Fine. Do as you wish.
context: It serves as precious fodder to develop my shield.\And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences.\You mustn't use them.\It's not a problem. I have it under control.\Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish. response:	That does it.
context: And I already sense an ominous aura in your shield.\Curse powers are certainly immense, but so are their consequences.\You mustn't use them.\It's not a problem. I have it under control.\Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish.\That does it. response:	Are you finished?
context: Curse powers are certainly immense, but so are their consequences.\You mustn't use them.\It's not a problem. I have it under control.\Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish.\That does it.\Are you finished? response:	Yeah. But the rest of this...
context: You mustn't use them.\It's not a problem. I have it under control.\Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish.\That does it.\Are you finished?\Yeah. But the rest of this... response:	I'll order my family to bring it along.
context: It's not a problem. I have it under control.\Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish.\That does it.\Are you finished?\Yeah. But the rest of this...\I'll order my family to bring it along. response:	Thanks.
context: Not for long.\Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish.\That does it.\Are you finished?\Yeah. But the rest of this...\I'll order my family to bring it along.\Thanks. response:	Get in the carriage.
context: Regardless, I need dragon material and the Rage Shield in order to survive.\Fine. Do as you wish.\That does it.\Are you finished?\Yeah. But the rest of this...\I'll order my family to bring it along.\Thanks.\Get in the carriage. response:	I'll need you to answer several questions when we get there.
context: Fine. Do as you wish.\That does it.\Are you finished?\Yeah. But the rest of this...\I'll order my family to bring it along.\Thanks.\Get in the carriage.\I'll need you to answer several questions when we get there. response:	Portal.
context: That does it.\Are you finished?\Yeah. But the rest of this...\I'll order my family to bring it along.\Thanks.\Get in the carriage.\I'll need you to answer several questions when we get there.\Portal. response:	Wh-What just happened?
context: Are you finished?\Yeah. But the rest of this...\I'll order my family to bring it along.\Thanks.\Get in the carriage.\I'll need you to answer several questions when we get there.\Portal.\Wh-What just happened? response:	Did we travel instantly?
context: Yeah. But the rest of this...\I'll order my family to bring it along.\Thanks.\Get in the carriage.\I'll need you to answer several questions when we get there.\Portal.\Wh-What just happened?\Did we travel instantly? response:	Wow.
context: I'll order my family to bring it along.\Thanks.\Get in the carriage.\I'll need you to answer several questions when we get there.\Portal.\Wh-What just happened?\Did we travel instantly?\Wow. response:	Ruins, huh?
context: Thanks.\Get in the carriage.\I'll need you to answer several questions when we get there.\Portal.\Wh-What just happened?\Did we travel instantly?\Wow.\Ruins, huh? response:	You can practically feel their history.
context: Get in the carriage.\I'll need you to answer several questions when we get there.\Portal.\Wh-What just happened?\Did we travel instantly?\Wow.\Ruins, huh?\You can practically feel their history. response:	What a dump.
context: I'll need you to answer several questions when we get there.\Portal.\Wh-What just happened?\Did we travel instantly?\Wow.\Ruins, huh?\You can practically feel their history.\What a dump. response:	I hear it's considered the remains of the civilization the original heroes defended.
context: Portal.\Wh-What just happened?\Did we travel instantly?\Wow.\Ruins, huh?\You can practically feel their history.\What a dump.\I hear it's considered the remains of the civilization the original heroes defended. response:	You don't sound very sure.
context: Wh-What just happened?\Did we travel instantly?\Wow.\Ruins, huh?\You can practically feel their history.\What a dump.\I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure. response:	It existed before I was born. For what it's worth, I'm watching over it.
context: Did we travel instantly?\Wow.\Ruins, huh?\You can practically feel their history.\What a dump.\I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it. response:	Is this a filolial sanctuary?
context: Wow.\Ruins, huh?\You can practically feel their history.\What a dump.\I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary? response:	Yes. I'm not supposed to bring humans here.
context: Ruins, huh?\You can practically feel their history.\What a dump.\I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here. response:	Wow...
context: You can practically feel their history.\What a dump.\I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here.\Wow... response:	Then I guess we'll be safe here for the time being.
context: What a dump.\I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here.\Wow...\Then I guess we'll be safe here for the time being. response:	I think you should get some rest.
context: I hear it's considered the remains of the civilization the original heroes defended.\You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here.\Wow...\Then I guess we'll be safe here for the time being.\I think you should get some rest. response:	Let's take a break, then.
context: You don't sound very sure.\It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here.\Wow...\Then I guess we'll be safe here for the time being.\I think you should get some rest.\Let's take a break, then. response:	Yay!
context: It existed before I was born. For what it's worth, I'm watching over it.\Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here.\Wow...\Then I guess we'll be safe here for the time being.\I think you should get some rest.\Let's take a break, then.\Yay! response:	That was one long day.
context: Is this a filolial sanctuary?\Yes. I'm not supposed to bring humans here.\Wow...\Then I guess we'll be safe here for the time being.\I think you should get some rest.\Let's take a break, then.\Yay!\That was one long day. response:	I wonder if Keel-kun and the other kids are all right.
context: Yes. I'm not supposed to bring humans here.\Wow...\Then I guess we'll be safe here for the time being.\I think you should get some rest.\Let's take a break, then.\Yay!\That was one long day.\I wonder if Keel-kun and the other kids are all right. response:	They've got Van and those demi-humans with them.
context: Wow...\Then I guess we'll be safe here for the time being.\I think you should get some rest.\Let's take a break, then.\Yay!\That was one long day.\I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them. response:	They should be fine.
context: Then I guess we'll be safe here for the time being.\I think you should get some rest.\Let's take a break, then.\Yay!\That was one long day.\I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them.\They should be fine. response:	You're right.
context: I think you should get some rest.\Let's take a break, then.\Yay!\That was one long day.\I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them.\They should be fine.\You're right. response:	First, let's eat.
context: Let's take a break, then.\Yay!\That was one long day.\I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them.\They should be fine.\You're right.\First, let's eat. response:	I bet you're all hungry.
context: Yay!\That was one long day.\I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them.\They should be fine.\You're right.\First, let's eat.\I bet you're all hungry. response:	Time to dig in!
context: That was one long day.\I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them.\They should be fine.\You're right.\First, let's eat.\I bet you're all hungry.\Time to dig in! response:	U-Uh, you know...
context: I wonder if Keel-kun and the other kids are all right.\They've got Van and those demi-humans with them.\They should be fine.\You're right.\First, let's eat.\I bet you're all hungry.\Time to dig in!\U-Uh, you know... response:	I feel too guilty to eat.
context: They've got Van and those demi-humans with them.\They should be fine.\You're right.\First, let's eat.\I bet you're all hungry.\Time to dig in!\U-Uh, you know...\I feel too guilty to eat. response:	Same here.
context: They should be fine.\You're right.\First, let's eat.\I bet you're all hungry.\Time to dig in!\U-Uh, you know...\I feel too guilty to eat.\Same here. response:	Isn't it yummy?
context: You're right.\First, let's eat.\I bet you're all hungry.\Time to dig in!\U-Uh, you know...\I feel too guilty to eat.\Same here.\Isn't it yummy? response:	It's great.
context: First, let's eat.\I bet you're all hungry.\Time to dig in!\U-Uh, you know...\I feel too guilty to eat.\Same here.\Isn't it yummy?\It's great. response:	They're like sisters.
context: I bet you're all hungry.\Time to dig in!\U-Uh, you know...\I feel too guilty to eat.\Same here.\Isn't it yummy?\It's great.\They're like sisters. response:	Right? They even eat in the same sloppy manner.
context: Time to dig in!\U-Uh, you know...\I feel too guilty to eat.\Same here.\Isn't it yummy?\It's great.\They're like sisters.\Right? They even eat in the same sloppy manner. response:	Um, Naofumi-sama?
context: U-Uh, you know...\I feel too guilty to eat.\Same here.\Isn't it yummy?\It's great.\They're like sisters.\Right? They even eat in the same sloppy manner.\Um, Naofumi-sama? response:	God, fine! I'll make you some!
context: I feel too guilty to eat.\Same here.\Isn't it yummy?\It's great.\They're like sisters.\Right? They even eat in the same sloppy manner.\Um, Naofumi-sama?\God, fine! I'll make you some! response:	Bring me some huge pots and a ton of ingredients!
context: Same here.\Isn't it yummy?\It's great.\They're like sisters.\Right? They even eat in the same sloppy manner.\Um, Naofumi-sama?\God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients! response:	Why'd I even have to feed this KFC farm?
context: Isn't it yummy?\It's great.\They're like sisters.\Right? They even eat in the same sloppy manner.\Um, Naofumi-sama?\God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm? response:	What? You're not getting any seconds.
context: It's great.\They're like sisters.\Right? They even eat in the same sloppy manner.\Um, Naofumi-sama?\God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm?\What? You're not getting any seconds. response:	I know.
context: They're like sisters.\Right? They even eat in the same sloppy manner.\Um, Naofumi-sama?\God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm?\What? You're not getting any seconds.\I know. response:	It's time to talk.
context: Right? They even eat in the same sloppy manner.\Um, Naofumi-sama?\God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm?\What? You're not getting any seconds.\I know.\It's time to talk. response:	I want to know how that monster was released from its seal.
context: Um, Naofumi-sama?\God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm?\What? You're not getting any seconds.\I know.\It's time to talk.\I want to know how that monster was released from its seal. response:	I thought you came to save us because you knew.
context: God, fine! I'll make you some!\Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm?\What? You're not getting any seconds.\I know.\It's time to talk.\I want to know how that monster was released from its seal.\I thought you came to save us because you knew. response:	I was there because I was told a new queen candidate had been found.
context: Bring me some huge pots and a ton of ingredients!\Why'd I even have to feed this KFC farm?\What? You're not getting any seconds.\I know.\It's time to talk.\I want to know how that monster was released from its seal.\I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found. response:	A queen candidate? You mean Filo?
context: Why'd I even have to feed this KFC farm?\What? You're not getting any seconds.\I know.\It's time to talk.\I want to know how that monster was released from its seal.\I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo? response:	Yup.
context: What? You're not getting any seconds.\I know.\It's time to talk.\I want to know how that monster was released from its seal.\I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo?\Yup. response:	Can I ask you something?
context: I know.\It's time to talk.\I want to know how that monster was released from its seal.\I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo?\Yup.\Can I ask you something? response:	What?
context: It's time to talk.\I want to know how that monster was released from its seal.\I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo?\Yup.\Can I ask you something?\What? response:	Why is Filo growing so differently than other filolials?
context: I want to know how that monster was released from its seal.\I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo?\Yup.\Can I ask you something?\What?\Why is Filo growing so differently than other filolials? response:	That's because...
context: I thought you came to save us because you knew.\I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo?\Yup.\Can I ask you something?\What?\Why is Filo growing so differently than other filolials?\That's because... response:	a hero is raising her.
context: I was there because I was told a new queen candidate had been found.\A queen candidate? You mean Filo?\Yup.\Can I ask you something?\What?\Why is Filo growing so differently than other filolials?\That's because...\a hero is raising her. response:	Tell me. Why was the seal removed?
context: A queen candidate? You mean Filo?\Yup.\Can I ask you something?\What?\Why is Filo growing so differently than other filolials?\That's because...\a hero is raising her.\Tell me. Why was the seal removed? response:	What?
context: Yup.\Can I ask you something?\What?\Why is Filo growing so differently than other filolials?\That's because...\a hero is raising her.\Tell me. Why was the seal removed?\What? response:	I'm appalled at you Cardinal Heroes
context: Can I ask you something?\What?\Why is Filo growing so differently than other filolials?\That's because...\a hero is raising her.\Tell me. Why was the seal removed?\What?\I'm appalled at you Cardinal Heroes response:	for squabbling with the Wave nearly here.
context: What?\Why is Filo growing so differently than other filolials?\That's because...\a hero is raising her.\Tell me. Why was the seal removed?\What?\I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here. response:	Hey, they started it!
context: Why is Filo growing so differently than other filolials?\That's because...\a hero is raising her.\Tell me. Why was the seal removed?\What?\I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here.\Hey, they started it! response:	I know the Shield Hero has always been scorned by human supremacist countries.
context: That's because...\a hero is raising her.\Tell me. Why was the seal removed?\What?\I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here.\Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries. response:	Then you should understand.
context: a hero is raising her.\Tell me. Why was the seal removed?\What?\I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here.\Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand. response:	That's why we're trying to cross the border
context: Tell me. Why was the seal removed?\What?\I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here.\Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand.\That's why we're trying to cross the border response:	That won't solve a thing.
context: What?\I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here.\Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand.\That's why we're trying to cross the border\That won't solve a thing. response:	Talk it out.
context: I'm appalled at you Cardinal Heroes\for squabbling with the Wave nearly here.\Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand.\That's why we're trying to cross the border\That won't solve a thing.\Talk it out. response:	As much as humans and demi-humans might hate each other,
context: for squabbling with the Wave nearly here.\Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand.\That's why we're trying to cross the border\That won't solve a thing.\Talk it out.\As much as humans and demi-humans might hate each other, response:	it is unacceptable for heroes to be fighting.
context: Hey, they started it!\I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand.\That's why we're trying to cross the border\That won't solve a thing.\Talk it out.\As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting. response:	Don't you Cardinal Heroes know about the hourglass?
context: I know the Shield Hero has always been scorned by human supremacist countries.\Then you should understand.\That's why we're trying to cross the border\That won't solve a thing.\Talk it out.\As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass? response:	You mean the dragon hourglass?
context: Then you should understand.\That's why we're trying to cross the border\That won't solve a thing.\Talk it out.\As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass? response:	We do know about it.
context: That's why we're trying to cross the border\That won't solve a thing.\Talk it out.\As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass?\We do know about it. response:	Then why aren't you fighting Waves across the world?
context: That won't solve a thing.\Talk it out.\As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass?\We do know about it.\Then why aren't you fighting Waves across the world? response:	Are you saying the Waves happen outside of Melromarc, too?
context: Talk it out.\As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass?\We do know about it.\Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too? response:	The Four Cardinal Heroes are meant to be summoned to one country each
context: As much as humans and demi-humans might hate each other,\it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass?\We do know about it.\Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each response:	and help them fight the Waves.
context: it is unacceptable for heroes to be fighting.\Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass?\We do know about it.\Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves. response:	First I've heard of that.
context: Don't you Cardinal Heroes know about the hourglass?\You mean the dragon hourglass?\We do know about it.\Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves.\First I've heard of that. response:	I'm going wherever I'm asked.
context: You mean the dragon hourglass?\We do know about it.\Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves.\First I've heard of that.\I'm going wherever I'm asked. response:	But you four aren't taking part in any other battles.
context: We do know about it.\Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves.\First I've heard of that.\I'm going wherever I'm asked.\But you four aren't taking part in any other battles. response:	Hell, I only found out recently that other countries had their own hourglasses.
context: Then why aren't you fighting Waves across the world?\Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves.\First I've heard of that.\I'm going wherever I'm asked.\But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses. response:	Honestly, I don't care about what happens to humans.
context: Are you saying the Waves happen outside of Melromarc, too?\The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves.\First I've heard of that.\I'm going wherever I'm asked.\But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans. response:	I fight because the hero who raised me asked me to.
context: The Four Cardinal Heroes are meant to be summoned to one country each\and help them fight the Waves.\First I've heard of that.\I'm going wherever I'm asked.\But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to. response:	A hero asked you to?
context: and help them fight the Waves.\First I've heard of that.\I'm going wherever I'm asked.\But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to.\A hero asked you to? response:	My job is to protect the world.
context: First I've heard of that.\I'm going wherever I'm asked.\But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to.\A hero asked you to?\My job is to protect the world. response:	She wants to save the world when she doesn't care about humans?
context: I'm going wherever I'm asked.\But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to.\A hero asked you to?\My job is to protect the world.\She wants to save the world when she doesn't care about humans? response:	But I can't protect it all by myself. I need the heroes.
context: But you four aren't taking part in any other battles.\Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to.\A hero asked you to?\My job is to protect the world.\She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes. response:	But you seem far more capable than us.
context: Hell, I only found out recently that other countries had their own hourglasses.\Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to.\A hero asked you to?\My job is to protect the world.\She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us. response:	Maybe I am now.
context: Honestly, I don't care about what happens to humans.\I fight because the hero who raised me asked me to.\A hero asked you to?\My job is to protect the world.\She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us.\Maybe I am now. response:	But eventually,
context: I fight because the hero who raised me asked me to.\A hero asked you to?\My job is to protect the world.\She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us.\Maybe I am now.\But eventually, response:	I won't be able to save a thing.
context: A hero asked you to?\My job is to protect the world.\She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us.\Maybe I am now.\But eventually,\I won't be able to save a thing. response:	And that's why you need the heroes?
context: My job is to protect the world.\She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us.\Maybe I am now.\But eventually,\I won't be able to save a thing.\And that's why you need the heroes? response:	Exactly.
context: She wants to save the world when she doesn't care about humans?\But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us.\Maybe I am now.\But eventually,\I won't be able to save a thing.\And that's why you need the heroes?\Exactly. response:	Is this the place?
context: But I can't protect it all by myself. I need the heroes.\But you seem far more capable than us.\Maybe I am now.\But eventually,\I won't be able to save a thing.\And that's why you need the heroes?\Exactly.\Is this the place? response:	Looks like it.
context: But you seem far more capable than us.\Maybe I am now.\But eventually,\I won't be able to save a thing.\And that's why you need the heroes?\Exactly.\Is this the place?\Looks like it. response:	Yeah, it definitely seems like the Three Heroes Church is hiding something.
context: Maybe I am now.\But eventually,\I won't be able to save a thing.\And that's why you need the heroes?\Exactly.\Is this the place?\Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something. response:	I can't believe Naofumi was right.
context: But eventually,\I won't be able to save a thing.\And that's why you need the heroes?\Exactly.\Is this the place?\Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right. response:	Is this an archive?
context: I won't be able to save a thing.\And that's why you need the heroes?\Exactly.\Is this the place?\Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right.\Is this an archive? response:	Let's check it out.
context: And that's why you need the heroes?\Exactly.\Is this the place?\Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right.\Is this an archive?\Let's check it out. response:	Keep your noses out of this!
context: Exactly.\Is this the place?\Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right.\Is this an archive?\Let's check it out.\Keep your noses out of this! response:	You're telling me to make up with those guys?
context: Is this the place?\Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right.\Is this an archive?\Let's check it out.\Keep your noses out of this!\You're telling me to make up with those guys? response:	Heroes are supposed to work together.
context: Looks like it.\Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right.\Is this an archive?\Let's check it out.\Keep your noses out of this!\You're telling me to make up with those guys?\Heroes are supposed to work together. response:	That is an absolute necessity in order to protect the world.
context: Yeah, it definitely seems like the Three Heroes Church is hiding something.\I can't believe Naofumi was right.\Is this an archive?\Let's check it out.\Keep your noses out of this!\You're telling me to make up with those guys?\Heroes are supposed to work together.\That is an absolute necessity in order to protect the world. response:	Not happening.
context: I can't believe Naofumi was right.\Is this an archive?\Let's check it out.\Keep your noses out of this!\You're telling me to make up with those guys?\Heroes are supposed to work together.\That is an absolute necessity in order to protect the world.\Not happening. response:	That country, along with those guys, is trying to get rid of me.
context: Is this an archive?\Let's check it out.\Keep your noses out of this!\You're telling me to make up with those guys?\Heroes are supposed to work together.\That is an absolute necessity in order to protect the world.\Not happening.\That country, along with those guys, is trying to get rid of me. response:	I've heard the gist of what's been happening.
context: Let's check it out.\Keep your noses out of this!\You're telling me to make up with those guys?\Heroes are supposed to work together.\That is an absolute necessity in order to protect the world.\Not happening.\That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening. response:	But heroes mustn't fight among themselves.
context: Keep your noses out of this!\You're telling me to make up with those guys?\Heroes are supposed to work together.\That is an absolute necessity in order to protect the world.\Not happening.\That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening.\But heroes mustn't fight among themselves. response:	You seem rather obsessed with that.
context: You're telling me to make up with those guys?\Heroes are supposed to work together.\That is an absolute necessity in order to protect the world.\Not happening.\That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening.\But heroes mustn't fight among themselves.\You seem rather obsessed with that. response:	Because it's unacceptable, that's why.
context: Heroes are supposed to work together.\That is an absolute necessity in order to protect the world.\Not happening.\That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening.\But heroes mustn't fight among themselves.\You seem rather obsessed with that.\Because it's unacceptable, that's why. response:	They don't wanna play nice. It's a lost cause now.
