context: Isn't there a way to destroy him?! response:	Why, that!
context: wanted to kill Kikyo.\Wasn't that you!?\That was not me.\I am Naraku. You should know that.\Shut up!\All I wanted was to make Kikyo mine!\Damn!\Kikyo was resurrected. response:	Looking exactly the same as before.
context: Wasn't that you!?\That was not me.\I am Naraku. You should know that.\Shut up!\All I wanted was to make Kikyo mine!\Damn!\Kikyo was resurrected.\Looking exactly the same as before. response:	What?
context: That was not me.\I am Naraku. You should know that.\Shut up!\All I wanted was to make Kikyo mine!\Damn!\Kikyo was resurrected.\Looking exactly the same as before.\What? response:	Although, she's not exactly the same.
context: I am Naraku. You should know that.\Shut up!\All I wanted was to make Kikyo mine!\Damn!\Kikyo was resurrected.\Looking exactly the same as before.\What?\Although, she's not exactly the same. response:	Kikyo is alive?
context: Shut up!\All I wanted was to make Kikyo mine!\Damn!\Kikyo was resurrected.\Looking exactly the same as before.\What?\Although, she's not exactly the same.\Kikyo is alive? response:	Want her?
context: All I wanted was to make Kikyo mine!\Damn!\Kikyo was resurrected.\Looking exactly the same as before.\What?\Although, she's not exactly the same.\Kikyo is alive?\Want her? response:	Where is she? Where is Kikyo?!
context: Damn!\Kikyo was resurrected.\Looking exactly the same as before.\What?\Although, she's not exactly the same.\Kikyo is alive?\Want her?\Where is she? Where is Kikyo?! response:	I cannot grant your wish.
context: Kikyo was resurrected.\Looking exactly the same as before.\What?\Although, she's not exactly the same.\Kikyo is alive?\Want her?\Where is she? Where is Kikyo?!\I cannot grant your wish. response:	Come back, Muso.
context: Looking exactly the same as before.\What?\Although, she's not exactly the same.\Kikyo is alive?\Want her?\Where is she? Where is Kikyo?!\I cannot grant your wish.\Come back, Muso. response:	As if I would!
context: What?\Although, she's not exactly the same.\Kikyo is alive?\Want her?\Where is she? Where is Kikyo?!\I cannot grant your wish.\Come back, Muso.\As if I would! response:	This time, I'll make Kikyo mine!
context: Although, she's not exactly the same.\Kikyo is alive?\Want her?\Where is she? Where is Kikyo?!\I cannot grant your wish.\Come back, Muso.\As if I would!\This time, I'll make Kikyo mine! response:	Give it up.
context: Kikyo is alive?\Want her?\Where is she? Where is Kikyo?!\I cannot grant your wish.\Come back, Muso.\As if I would!\This time, I'll make Kikyo mine!\Give it up. response:	You persistent bastard! Just leave me alone!
context: Want her?\Where is she? Where is Kikyo?!\I cannot grant your wish.\Come back, Muso.\As if I would!\This time, I'll make Kikyo mine!\Give it up.\You persistent bastard! Just leave me alone! response:	I cannot.
context: Where is she? Where is Kikyo?!\I cannot grant your wish.\Come back, Muso.\As if I would!\This time, I'll make Kikyo mine!\Give it up.\You persistent bastard! Just leave me alone!\I cannot. response:	Muso is trying to escape from Naraku's clutches?
context: I cannot grant your wish.\Come back, Muso.\As if I would!\This time, I'll make Kikyo mine!\Give it up.\You persistent bastard! Just leave me alone!\I cannot.\Muso is trying to escape from Naraku's clutches? response:	Is he planning to defy Naraku?
context: Come back, Muso.\As if I would!\This time, I'll make Kikyo mine!\Give it up.\You persistent bastard! Just leave me alone!\I cannot.\Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku? response:	I get it!
context: As if I would!\This time, I'll make Kikyo mine!\Give it up.\You persistent bastard! Just leave me alone!\I cannot.\Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku?\I get it! response:	Naraku doesn't control Muso's life!
context: This time, I'll make Kikyo mine!\Give it up.\You persistent bastard! Just leave me alone!\I cannot.\Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku?\I get it!\Naraku doesn't control Muso's life! response:	So that's the difference between him and me.
context: Give it up.\You persistent bastard! Just leave me alone!\I cannot.\Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku?\I get it!\Naraku doesn't control Muso's life!\So that's the difference between him and me. response:	You will return to my body.
context: You persistent bastard! Just leave me alone!\I cannot.\Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku?\I get it!\Naraku doesn't control Muso's life!\So that's the difference between him and me.\You will return to my body. response:	What's going on, Naraku?!
context: I cannot.\Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku?\I get it!\Naraku doesn't control Muso's life!\So that's the difference between him and me.\You will return to my body.\What's going on, Naraku?! response:	Inuyasha...
context: Muso is trying to escape from Naraku's clutches?\Is he planning to defy Naraku?\I get it!\Naraku doesn't control Muso's life!\So that's the difference between him and me.\You will return to my body.\What's going on, Naraku?!\Inuyasha... response:	You have no use for Onigumo's human heart.
context: Is he planning to defy Naraku?\I get it!\Naraku doesn't control Muso's life!\So that's the difference between him and me.\You will return to my body.\What's going on, Naraku?!\Inuyasha...\You have no use for Onigumo's human heart. response:	So you dug him out of your flesh and cast him out!
context: I get it!\Naraku doesn't control Muso's life!\So that's the difference between him and me.\You will return to my body.\What's going on, Naraku?!\Inuyasha...\You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out! response:	So why're you trying to take him back?
context: Naraku doesn't control Muso's life!\So that's the difference between him and me.\You will return to my body.\What's going on, Naraku?!\Inuyasha...\You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out!\So why're you trying to take him back? response:	I thought Muso would be able to kill you, but I was wrong.
context: So that's the difference between him and me.\You will return to my body.\What's going on, Naraku?!\Inuyasha...\You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out!\So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong. response:	That's why I'm taking him back. That's all.
context: You will return to my body.\What's going on, Naraku?!\Inuyasha...\You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out!\So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all. response:	I don't think so.
context: What's going on, Naraku?!\Inuyasha...\You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out!\So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all.\I don't think so. response:	Something very precious got mixed in and was released with Muso.
context: Inuyasha...\You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out!\So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all.\I don't think so.\Something very precious got mixed in and was released with Muso. response:	Otherwise, you wouldn't try to take back
context: You have no use for Onigumo's human heart.\So you dug him out of your flesh and cast him out!\So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all.\I don't think so.\Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back response:	Onigumo's heart which you purposely threw out.
context: So you dug him out of your flesh and cast him out!\So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all.\I don't think so.\Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out. response:	Oh? Inuyasha, you actually use that brain of yours sometimes?
context: So why're you trying to take him back?\I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all.\I don't think so.\Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes? response:	What will you do?
context: I thought Muso would be able to kill you, but I was wrong.\That's why I'm taking him back. That's all.\I don't think so.\Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do? response:	I can destroy Muso anytime.
context: That's why I'm taking him back. That's all.\I don't think so.\Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do?\I can destroy Muso anytime. response:	I'll take care of you first!
context: I don't think so.\Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do?\I can destroy Muso anytime.\I'll take care of you first! response:	Is he serious?
context: Something very precious got mixed in and was released with Muso.\Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do?\I can destroy Muso anytime.\I'll take care of you first!\Is he serious? response:	Damn!
context: Otherwise, you wouldn't try to take back\Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do?\I can destroy Muso anytime.\I'll take care of you first!\Is he serious?\Damn! response:	Why, you!
context: Onigumo's heart which you purposely threw out.\Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do?\I can destroy Muso anytime.\I'll take care of you first!\Is he serious?\Damn!\Why, you! response:	Die!
context: Oh? Inuyasha, you actually use that brain of yours sometimes?\What will you do?\I can destroy Muso anytime.\I'll take care of you first!\Is he serious?\Damn!\Why, you!\Die! response:	What're you doing, Kagura?
context: What will you do?\I can destroy Muso anytime.\I'll take care of you first!\Is he serious?\Damn!\Why, you!\Die!\What're you doing, Kagura? response:	Go after Muso.
context: I can destroy Muso anytime.\I'll take care of you first!\Is he serious?\Damn!\Why, you!\Die!\What're you doing, Kagura?\Go after Muso. response:	Don't let him get away.
context: I'll take care of you first!\Is he serious?\Damn!\Why, you!\Die!\What're you doing, Kagura?\Go after Muso.\Don't let him get away. response:	Muso and I were both created from Naraku's flesh.
context: Is he serious?\Damn!\Why, you!\Die!\What're you doing, Kagura?\Go after Muso.\Don't let him get away.\Muso and I were both created from Naraku's flesh. response:	I act according to Naraku's wishes.
context: Damn!\Why, you!\Die!\What're you doing, Kagura?\Go after Muso.\Don't let him get away.\Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes. response:	But Muso is escaping...
context: Why, you!\Die!\What're you doing, Kagura?\Go after Muso.\Don't let him get away.\Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes.\But Muso is escaping... response:	That guy!
context: Die!\What're you doing, Kagura?\Go after Muso.\Don't let him get away.\Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes.\But Muso is escaping...\That guy! response:	On guard!
context: What're you doing, Kagura?\Go after Muso.\Don't let him get away.\Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes.\But Muso is escaping...\That guy!\On guard! response:	Inuyasha!
context: Go after Muso.\Don't let him get away.\Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes.\But Muso is escaping...\That guy!\On guard!\Inuyasha! response:	You're late!
context: Don't let him get away.\Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes.\But Muso is escaping...\That guy!\On guard!\Inuyasha!\You're late! response:	W-Why is Naraku here?!
context: Muso and I were both created from Naraku's flesh.\I act according to Naraku's wishes.\But Muso is escaping...\That guy!\On guard!\Inuyasha!\You're late!\W-Why is Naraku here?! response:	He's trying to take Muso back.
context: I act according to Naraku's wishes.\But Muso is escaping...\That guy!\On guard!\Inuyasha!\You're late!\W-Why is Naraku here?!\He's trying to take Muso back. response:	I'll bet releasing Muso made you weak, huh?
context: But Muso is escaping...\That guy!\On guard!\Inuyasha!\You're late!\W-Why is Naraku here?!\He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh? response:	Isn't that so, Naraku?!
context: That guy!\On guard!\Inuyasha!\You're late!\W-Why is Naraku here?!\He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?! response:	Die!
context: On guard!\Inuyasha!\You're late!\W-Why is Naraku here?!\He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?!\Die! response:	Don't underestimate me, Inuyasha.
context: Inuyasha!\You're late!\W-Why is Naraku here?!\He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?!\Die!\Don't underestimate me, Inuyasha. response:	You're nothing...
context: You're late!\W-Why is Naraku here?!\He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?!\Die!\Don't underestimate me, Inuyasha.\You're nothing... response:	Muso!
context: W-Why is Naraku here?!\He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?!\Die!\Don't underestimate me, Inuyasha.\You're nothing...\Muso! response:	It can't be! He killed Naraku?!
context: He's trying to take Muso back.\I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?!\Die!\Don't underestimate me, Inuyasha.\You're nothing...\Muso!\It can't be! He killed Naraku?! response:	He did it! He killed Naraku!
context: I'll bet releasing Muso made you weak, huh?\Isn't that so, Naraku?!\Die!\Don't underestimate me, Inuyasha.\You're nothing...\Muso!\It can't be! He killed Naraku?!\He did it! He killed Naraku! response:	Fool! You didn't think I'd let you go!
context: Isn't that so, Naraku?!\Die!\Don't underestimate me, Inuyasha.\You're nothing...\Muso!\It can't be! He killed Naraku?!\He did it! He killed Naraku!\Fool! You didn't think I'd let you go! response:	My arm's being absorbed!
context: Die!\Don't underestimate me, Inuyasha.\You're nothing...\Muso!\It can't be! He killed Naraku?!\He did it! He killed Naraku!\Fool! You didn't think I'd let you go!\My arm's being absorbed! response:	You saved me trouble, Muso. I need you.
context: Don't underestimate me, Inuyasha.\You're nothing...\Muso!\It can't be! He killed Naraku?!\He did it! He killed Naraku!\Fool! You didn't think I'd let you go!\My arm's being absorbed!\You saved me trouble, Muso. I need you. response:	Why, you!
context: You're nothing...\Muso!\It can't be! He killed Naraku?!\He did it! He killed Naraku!\Fool! You didn't think I'd let you go!\My arm's being absorbed!\You saved me trouble, Muso. I need you.\Why, you! response:	My body won't listen to me!
context: Muso!\It can't be! He killed Naraku?!\He did it! He killed Naraku!\Fool! You didn't think I'd let you go!\My arm's being absorbed!\You saved me trouble, Muso. I need you.\Why, you!\My body won't listen to me! response:	Lemme go! Lemme go!
context: It can't be! He killed Naraku?!\He did it! He killed Naraku!\Fool! You didn't think I'd let you go!\My arm's being absorbed!\You saved me trouble, Muso. I need you.\Why, you!\My body won't listen to me!\Lemme go! Lemme go! response:	Is that my fate, too? If I defy him?
context: He did it! He killed Naraku!\Fool! You didn't think I'd let you go!\My arm's being absorbed!\You saved me trouble, Muso. I need you.\Why, you!\My body won't listen to me!\Lemme go! Lemme go!\Is that my fate, too? If I defy him? response:	Damn! Lemme see Kikyo!
context: Fool! You didn't think I'd let you go!\My arm's being absorbed!\You saved me trouble, Muso. I need you.\Why, you!\My body won't listen to me!\Lemme go! Lemme go!\Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo! response:	Kikyo! Kikyo!
context: My arm's being absorbed!\You saved me trouble, Muso. I need you.\Why, you!\My body won't listen to me!\Lemme go! Lemme go!\Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo!\Kikyo! Kikyo! response:	Kikyo! Kikyo!
context: You saved me trouble, Muso. I need you.\Why, you!\My body won't listen to me!\Lemme go! Lemme go!\Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo!\Kikyo! Kikyo!\Kikyo! Kikyo! response:	Kikyo!
context: Why, you!\My body won't listen to me!\Lemme go! Lemme go!\Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo!\Kikyo! Kikyo!\Kikyo! Kikyo!\Kikyo! response:	This bitterness... This greed.
context: My body won't listen to me!\Lemme go! Lemme go!\Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo!\Kikyo! Kikyo!\Kikyo! Kikyo!\Kikyo!\This bitterness... This greed. response:	You must give it up, Muso.
context: Lemme go! Lemme go!\Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo!\Kikyo! Kikyo!\Kikyo! Kikyo!\Kikyo!\This bitterness... This greed.\You must give it up, Muso. response:	Kikyo is just like you.
context: Is that my fate, too? If I defy him?\Damn! Lemme see Kikyo!\Kikyo! Kikyo!\Kikyo! Kikyo!\Kikyo!\This bitterness... This greed.\You must give it up, Muso.\Kikyo is just like you. response:	Made of clay and bones.
context: Damn! Lemme see Kikyo!\Kikyo! Kikyo!\Kikyo! Kikyo!\Kikyo!\This bitterness... This greed.\You must give it up, Muso.\Kikyo is just like you.\Made of clay and bones. response:	And her soul just a phantom of the past.
context: Kikyo! Kikyo!\Kikyo! Kikyo!\Kikyo!\This bitterness... This greed.\You must give it up, Muso.\Kikyo is just like you.\Made of clay and bones.\And her soul just a phantom of the past. response:	He absorbed Muso!
context: Kikyo! Kikyo!\Kikyo!\This bitterness... This greed.\You must give it up, Muso.\Kikyo is just like you.\Made of clay and bones.\And her soul just a phantom of the past.\He absorbed Muso! response:	I need Onigumo as a link for my body.
context: Kikyo!\This bitterness... This greed.\You must give it up, Muso.\Kikyo is just like you.\Made of clay and bones.\And her soul just a phantom of the past.\He absorbed Muso!\I need Onigumo as a link for my body. response:	Your guess was quite accurate.
context: This bitterness... This greed.\You must give it up, Muso.\Kikyo is just like you.\Made of clay and bones.\And her soul just a phantom of the past.\He absorbed Muso!\I need Onigumo as a link for my body.\Your guess was quite accurate. response:	Link?
context: You must give it up, Muso.\Kikyo is just like you.\Made of clay and bones.\And her soul just a phantom of the past.\He absorbed Muso!\I need Onigumo as a link for my body.\Your guess was quite accurate.\Link? response:	Then... let me ask you.
context: Kikyo is just like you.\Made of clay and bones.\And her soul just a phantom of the past.\He absorbed Muso!\I need Onigumo as a link for my body.\Your guess was quite accurate.\Link?\Then... let me ask you. response:	Once more, you've swallowed Onigumo's heart.
context: Made of clay and bones.\And her soul just a phantom of the past.\He absorbed Muso!\I need Onigumo as a link for my body.\Your guess was quite accurate.\Link?\Then... let me ask you.\Once more, you've swallowed Onigumo's heart. response:	Does that make you a half-demon?
context: And her soul just a phantom of the past.\He absorbed Muso!\I need Onigumo as a link for my body.\Your guess was quite accurate.\Link?\Then... let me ask you.\Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon? response:	Why ask me that?
context: He absorbed Muso!\I need Onigumo as a link for my body.\Your guess was quite accurate.\Link?\Then... let me ask you.\Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon?\Why ask me that? response:	Awhile back, the barrier around your castle weakened.
context: I need Onigumo as a link for my body.\Your guess was quite accurate.\Link?\Then... let me ask you.\Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon?\Why ask me that?\Awhile back, the barrier around your castle weakened. response:	Inuyasha, Koga...
context: Your guess was quite accurate.\Link?\Then... let me ask you.\Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon?\Why ask me that?\Awhile back, the barrier around your castle weakened.\Inuyasha, Koga... response:	Anyone with a keen scent could find it.
context: Link?\Then... let me ask you.\Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon?\Why ask me that?\Awhile back, the barrier around your castle weakened.\Inuyasha, Koga...\Anyone with a keen scent could find it. response:	That wasn't on purpose.
context: Then... let me ask you.\Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon?\Why ask me that?\Awhile back, the barrier around your castle weakened.\Inuyasha, Koga...\Anyone with a keen scent could find it.\That wasn't on purpose. response:	What is Miroku trying to find out?
context: Once more, you've swallowed Onigumo's heart.\Does that make you a half-demon?\Why ask me that?\Awhile back, the barrier around your castle weakened.\Inuyasha, Koga...\Anyone with a keen scent could find it.\That wasn't on purpose.\What is Miroku trying to find out? response:	I see, Priest.
context: Does that make you a half-demon?\Why ask me that?\Awhile back, the barrier around your castle weakened.\Inuyasha, Koga...\Anyone with a keen scent could find it.\That wasn't on purpose.\What is Miroku trying to find out?\I see, Priest. response:	You think that even I, Naraku, have periods of weakness?
context: Why ask me that?\Awhile back, the barrier around your castle weakened.\Inuyasha, Koga...\Anyone with a keen scent could find it.\That wasn't on purpose.\What is Miroku trying to find out?\I see, Priest.\You think that even I, Naraku, have periods of weakness? response:	Like all half-demons.
context: Awhile back, the barrier around your castle weakened.\Inuyasha, Koga...\Anyone with a keen scent could find it.\That wasn't on purpose.\What is Miroku trying to find out?\I see, Priest.\You think that even I, Naraku, have periods of weakness?\Like all half-demons. response:	I know that your powers had weakened that time.
context: Inuyasha, Koga...\Anyone with a keen scent could find it.\That wasn't on purpose.\What is Miroku trying to find out?\I see, Priest.\You think that even I, Naraku, have periods of weakness?\Like all half-demons.\I know that your powers had weakened that time. response:	W-What?!
context: Anyone with a keen scent could find it.\That wasn't on purpose.\What is Miroku trying to find out?\I see, Priest.\You think that even I, Naraku, have periods of weakness?\Like all half-demons.\I know that your powers had weakened that time.\W-What?! response:	But when that occurs is a half-demon's deepest secret.
context: That wasn't on purpose.\What is Miroku trying to find out?\I see, Priest.\You think that even I, Naraku, have periods of weakness?\Like all half-demons.\I know that your powers had weakened that time.\W-What?!\But when that occurs is a half-demon's deepest secret. response:	Inuyasha, what about you?
context: What is Miroku trying to find out?\I see, Priest.\You think that even I, Naraku, have periods of weakness?\Like all half-demons.\I know that your powers had weakened that time.\W-What?!\But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you? response:	What?!
context: I see, Priest.\You think that even I, Naraku, have periods of weakness?\Like all half-demons.\I know that your powers had weakened that time.\W-What?!\But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you?\What?! response:	Do you, like other half-demons, lose your powers
context: You think that even I, Naraku, have periods of weakness?\Like all half-demons.\I know that your powers had weakened that time.\W-What?!\But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you?\What?!\Do you, like other half-demons, lose your powers response:	and hide in fear of your enemies during such times?
context: Like all half-demons.\I know that your powers had weakened that time.\W-What?!\But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you?\What?!\Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times? response:	W-Why, you!
context: I know that your powers had weakened that time.\W-What?!\But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you?\What?!\Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times?\W-Why, you! response:	Judging from what Naraku just said,
context: W-What?!\But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you?\What?!\Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times?\W-Why, you!\Judging from what Naraku just said, response:	Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.
context: But when that occurs is a half-demon's deepest secret.\Inuyasha, what about you?\What?!\Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times?\W-Why, you!\Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon. response:	Monk...
context: Inuyasha, what about you?\What?!\Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times?\W-Why, you!\Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk... response:	As you surmised, I have periods when I cannot move.
context: What?!\Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times?\W-Why, you!\Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk...\As you surmised, I have periods when I cannot move. response:	However, I can choose my time, by my own will.
context: Do you, like other half-demons, lose your powers\and hide in fear of your enemies during such times?\W-Why, you!\Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk...\As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will. response:	What?!
context: and hide in fear of your enemies during such times?\W-Why, you!\Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk...\As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will.\What?! response:	As if you can do such a thing!
context: W-Why, you!\Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk...\As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will.\What?!\As if you can do such a thing! response:	You, borne from a human and a demon,
context: Judging from what Naraku just said,\Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk...\As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will.\What?!\As if you can do such a thing!\You, borne from a human and a demon, response:	and I, Naraku, are vastly different.
context: Kagura hasn't told him that Inuyasha's night of weakness is during the new moon.\Monk...\As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will.\What?!\As if you can do such a thing!\You, borne from a human and a demon,\and I, Naraku, are vastly different. response:	Don't you agree, Kagura?
context: Monk...\As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will.\What?!\As if you can do such a thing!\You, borne from a human and a demon,\and I, Naraku, are vastly different.\Don't you agree, Kagura? response:	Naraku's appearance that time...
context: As you surmised, I have periods when I cannot move.\However, I can choose my time, by my own will.\What?!\As if you can do such a thing!\You, borne from a human and a demon,\and I, Naraku, are vastly different.\Don't you agree, Kagura?\Naraku's appearance that time... response:	It looked like he was reconstructing his body.
context: However, I can choose my time, by my own will.\What?!\As if you can do such a thing!\You, borne from a human and a demon,\and I, Naraku, are vastly different.\Don't you agree, Kagura?\Naraku's appearance that time...\It looked like he was reconstructing his body. response:	During that time, I experiment.
context: What?!\As if you can do such a thing!\You, borne from a human and a demon,\and I, Naraku, are vastly different.\Don't you agree, Kagura?\Naraku's appearance that time...\It looked like he was reconstructing his body.\During that time, I experiment. response:	And what is strong, I make stronger.
context: As if you can do such a thing!\You, borne from a human and a demon,\and I, Naraku, are vastly different.\Don't you agree, Kagura?\Naraku's appearance that time...\It looked like he was reconstructing his body.\During that time, I experiment.\And what is strong, I make stronger. response:	And what is weak, I cast out and become even stronger.
context: You, borne from a human and a demon,\and I, Naraku, are vastly different.\Don't you agree, Kagura?\Naraku's appearance that time...\It looked like he was reconstructing his body.\During that time, I experiment.\And what is strong, I make stronger.\And what is weak, I cast out and become even stronger. response:	He can reconstruct his own body?
context: and I, Naraku, are vastly different.\Don't you agree, Kagura?\Naraku's appearance that time...\It looked like he was reconstructing his body.\During that time, I experiment.\And what is strong, I make stronger.\And what is weak, I cast out and become even stronger.\He can reconstruct his own body? response:	You!
context: Don't you agree, Kagura?\Naraku's appearance that time...\It looked like he was reconstructing his body.\During that time, I experiment.\And what is strong, I make stronger.\And what is weak, I cast out and become even stronger.\He can reconstruct his own body?\You! response:	No mistake, I am a half-demon right now.
context: Naraku's appearance that time...\It looked like he was reconstructing his body.\During that time, I experiment.\And what is strong, I make stronger.\And what is weak, I cast out and become even stronger.\He can reconstruct his own body?\You!\No mistake, I am a half-demon right now. response:	But I don't lose my powers and cower in fear...
context: It looked like he was reconstructing his body.\During that time, I experiment.\And what is strong, I make stronger.\And what is weak, I cast out and become even stronger.\He can reconstruct his own body?\You!\No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear... response:	like some other pitiful half-demons!
context: During that time, I experiment.\And what is strong, I make stronger.\And what is weak, I cast out and become even stronger.\He can reconstruct his own body?\You!\No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear...\like some other pitiful half-demons! response:	I'll make you shut up now!
context: And what is strong, I make stronger.\And what is weak, I cast out and become even stronger.\He can reconstruct his own body?\You!\No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear...\like some other pitiful half-demons!\I'll make you shut up now! response:	Die!
context: And what is weak, I cast out and become even stronger.\He can reconstruct his own body?\You!\No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear...\like some other pitiful half-demons!\I'll make you shut up now!\Die! response:	W-What?!
context: He can reconstruct his own body?\You!\No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear...\like some other pitiful half-demons!\I'll make you shut up now!\Die!\W-What?! response:	A barrier?
context: You!\No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear...\like some other pitiful half-demons!\I'll make you shut up now!\Die!\W-What?!\A barrier? response:	It won't hold me back!
context: No mistake, I am a half-demon right now.\But I don't lose my powers and cower in fear...\like some other pitiful half-demons!\I'll make you shut up now!\Die!\W-What?!\A barrier?\It won't hold me back! response:	Wind Scar!
context: But I don't lose my powers and cower in fear...\like some other pitiful half-demons!\I'll make you shut up now!\Die!\W-What?!\A barrier?\It won't hold me back!\Wind Scar! response:	The Wind Scar doesn't work.
context: like some other pitiful half-demons!\I'll make you shut up now!\Die!\W-What?!\A barrier?\It won't hold me back!\Wind Scar!\The Wind Scar doesn't work. response:	Naraku's barriers haven't been as strong as this!
