context: I'm Kinoshita Kazuya, twenty years old, response:	and I'm a college student living by myself in Tokyo.
context: Here.\Huh? W-We're not ma\We're dating!\No, we're not even that.\We're total strangers,\aren't we?\Technically.\Oh, uh... I guess I'll split your purchases up. response:	Sure. We can be whatever you want us to be, Kazuya-kun.
context: Huh? W-We're not ma\We're dating!\No, we're not even that.\We're total strangers,\aren't we?\Technically.\Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun. response:	Look, Kazuya-kun! Neon tetras!
context: We're dating!\No, we're not even that.\We're total strangers,\aren't we?\Technically.\Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras! response:	Oh, yeah.
context: No, we're not even that.\We're total strangers,\aren't we?\Technically.\Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras!\Oh, yeah. response:	Cute!
context: We're total strangers,\aren't we?\Technically.\Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras!\Oh, yeah.\Cute! response:	Garden eels hide in the sand because they're afraid, right?
context: aren't we?\Technically.\Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras!\Oh, yeah.\Cute!\Garden eels hide in the sand because they're afraid, right? response:	Wow... She must've read up on them.
context: Technically.\Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras!\Oh, yeah.\Cute!\Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them. response:	She did her homework... all for today's date.
context: Oh, uh... I guess I'll split your purchases up.\Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras!\Oh, yeah.\Cute!\Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them.\She did her homework... all for today's date. response:	Enough already.
context: Sure. We can be whatever you want us to be, Kazuya-kun.\Look, Kazuya-kun! Neon tetras!\Oh, yeah.\Cute!\Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them.\She did her homework... all for today's date.\Enough already. response:	Seriously, what is that gonna achieve?
context: Look, Kazuya-kun! Neon tetras!\Oh, yeah.\Cute!\Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them.\She did her homework... all for today's date.\Enough already.\Seriously, what is that gonna achieve? response:	Is that just your professionalism? It's meaningless!
context: Oh, yeah.\Cute!\Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them.\She did her homework... all for today's date.\Enough already.\Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless! response:	Not like these relationships last more than a day!
context: Cute!\Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them.\She did her homework... all for today's date.\Enough already.\Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day! response:	Hey, what's gotten into you, Kazuya-kun?
context: Garden eels hide in the sand because they're afraid, right?\Wow... She must've read up on them.\She did her homework... all for today's date.\Enough already.\Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun? response:	You just break up immediately!
context: Wow... She must've read up on them.\She did her homework... all for today's date.\Enough already.\Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun?\You just break up immediately! response:	It doesn't matter how much you care for your partner!
context: She did her homework... all for today's date.\Enough already.\Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun?\You just break up immediately!\It doesn't matter how much you care for your partner! response:	Let's get out of here.
context: Enough already.\Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun?\You just break up immediately!\It doesn't matter how much you care for your partner!\Let's get out of here. response:	I know that was stupid...
context: Seriously, what is that gonna achieve?\Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun?\You just break up immediately!\It doesn't matter how much you care for your partner!\Let's get out of here.\I know that was stupid... response:	But I got it off my chest!
context: Is that just your professionalism? It's meaningless!\Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun?\You just break up immediately!\It doesn't matter how much you care for your partner!\Let's get out of here.\I know that was stupid...\But I got it off my chest! response:	Why do all these girls get into fake relationships
context: Not like these relationships last more than a day!\Hey, what's gotten into you, Kazuya-kun?\You just break up immediately!\It doesn't matter how much you care for your partner!\Let's get out of here.\I know that was stupid...\But I got it off my chest!\Why do all these girls get into fake relationships response:	with people they don't even like?!
context: Hey, what's gotten into you, Kazuya-kun?\You just break up immediately!\It doesn't matter how much you care for your partner!\Let's get out of here.\I know that was stupid...\But I got it off my chest!\Why do all these girls get into fake relationships\with people they don't even like?! response:	Okay, look...
context: You just break up immediately!\It doesn't matter how much you care for your partner!\Let's get out of here.\I know that was stupid...\But I got it off my chest!\Why do all these girls get into fake relationships\with people they don't even like?!\Okay, look... response:	What is wrong with you? Are you stupid?!
context: It doesn't matter how much you care for your partner!\Let's get out of here.\I know that was stupid...\But I got it off my chest!\Why do all these girls get into fake relationships\with people they don't even like?!\Okay, look...\What is wrong with you? Are you stupid?! response:	Yelling like that in a public place... Way to get everyone's eyes on us!
context: Let's get out of here.\I know that was stupid...\But I got it off my chest!\Why do all these girls get into fake relationships\with people they don't even like?!\Okay, look...\What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us! response:	What's your problem, anyway?
context: I know that was stupid...\But I got it off my chest!\Why do all these girls get into fake relationships\with people they don't even like?!\Okay, look...\What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway? response:	All day you've been like, Don't you feel empty inside? and We're total strangers!
context: But I got it off my chest!\Why do all these girls get into fake relationships\with people they don't even like?!\Okay, look...\What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers! response:	Seriously, are you stupid?
context: Why do all these girls get into fake relationships\with people they don't even like?!\Okay, look...\What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid? response:	U-Uh...
context: with people they don't even like?!\Okay, look...\What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid?\U-Uh... response:	I'm your rental girlfriend! This is just how it works!
context: Okay, look...\What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid?\U-Uh...\I'm your rental girlfriend! This is just how it works! response:	Weren't you the one who made the request?!
context: What is wrong with you? Are you stupid?!\Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid?\U-Uh...\I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?! response:	You saw the user agreement and clicked I agree, didn't you?!
context: Yelling like that in a public place... Way to get everyone's eyes on us!\What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid?\U-Uh...\I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?! response:	I did... I'm sorry.
context: What's your problem, anyway?\All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid?\U-Uh...\I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry. response:	Also, why did you give me a one-star review?!
context: All day you've been like, Don't you feel empty inside? and We're total strangers!\Seriously, are you stupid?\U-Uh...\I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry.\Also, why did you give me a one-star review?! response:	Did I do anything wrong on our date?!
context: Seriously, are you stupid?\U-Uh...\I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry.\Also, why did you give me a one-star review?!\Did I do anything wrong on our date?! response:	That brought my rating down a whole 0.3 points, you know!
context: U-Uh...\I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry.\Also, why did you give me a one-star review?!\Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know! response:	I'd only ever gotten five-star reviews before that.
context: I'm your rental girlfriend! This is just how it works!\Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry.\Also, why did you give me a one-star review?!\Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that. response:	Here we go.
context: Weren't you the one who made the request?!\You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry.\Also, why did you give me a one-star review?!\Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that.\Here we go. response:	And I'm proud of that fact!
context: You saw the user agreement and clicked I agree, didn't you?!\I did... I'm sorry.\Also, why did you give me a one-star review?!\Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that.\Here we go.\And I'm proud of that fact! response:	This is the real Mizuhara Chizuru.
context: I did... I'm sorry.\Also, why did you give me a one-star review?!\Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that.\Here we go.\And I'm proud of that fact!\This is the real Mizuhara Chizuru. response:	I've always given this job my all, including this date.
context: Also, why did you give me a one-star review?!\Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that.\Here we go.\And I'm proud of that fact!\This is the real Mizuhara Chizuru.\I've always given this job my all, including this date. response:	I don't even like fish, but I went and bought a book about them for this date,
context: Did I do anything wrong on our date?!\That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that.\Here we go.\And I'm proud of that fact!\This is the real Mizuhara Chizuru.\I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date, response:	She's a completely different person than before.
context: That brought my rating down a whole 0.3 points, you know!\I'd only ever gotten five-star reviews before that.\Here we go.\And I'm proud of that fact!\This is the real Mizuhara Chizuru.\I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before. response:	and this is how you treat me?!
context: I'd only ever gotten five-star reviews before that.\Here we go.\And I'm proud of that fact!\This is the real Mizuhara Chizuru.\I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before.\and this is how you treat me?! response:	All I can say for sure is...
context: Here we go.\And I'm proud of that fact!\This is the real Mizuhara Chizuru.\I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before.\and this is how you treat me?!\All I can say for sure is... response:	Could you not get in the way of my work?
context: And I'm proud of that fact!\This is the real Mizuhara Chizuru.\I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before.\and this is how you treat me?!\All I can say for sure is...\Could you not get in the way of my work? response:	I can't believe you!
context: This is the real Mizuhara Chizuru.\I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before.\and this is how you treat me?!\All I can say for sure is...\Could you not get in the way of my work?\I can't believe you! response:	Ugh, this sucks! Guess I'm getting another one-star review!
context: I've always given this job my all, including this date.\I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before.\and this is how you treat me?!\All I can say for sure is...\Could you not get in the way of my work?\I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review! response:	I'm sorry...
context: I don't even like fish, but I went and bought a book about them for this date,\She's a completely different person than before.\and this is how you treat me?!\All I can say for sure is...\Could you not get in the way of my work?\I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry... response:	I'm totally in the wrong.
context: She's a completely different person than before.\and this is how you treat me?!\All I can say for sure is...\Could you not get in the way of my work?\I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry...\I'm totally in the wrong. response:	So, what now?
context: and this is how you treat me?!\All I can say for sure is...\Could you not get in the way of my work?\I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry...\I'm totally in the wrong.\So, what now? response:	Do you want to continue?
context: All I can say for sure is...\Could you not get in the way of my work?\I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry...\I'm totally in the wrong.\So, what now?\Do you want to continue? response:	We hhstill have time.
context: Could you not get in the way of my work?\I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry...\I'm totally in the wrong.\So, what now?\Do you want to continue?\We hhstill have time. response:	I'll tag along if you want to keep going.
context: I can't believe you!\Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry...\I'm totally in the wrong.\So, what now?\Do you want to continue?\We hhstill have time.\I'll tag along if you want to keep going. response:	Hello? What?
context: Ugh, this sucks! Guess I'm getting another one-star review!\I'm sorry...\I'm totally in the wrong.\So, what now?\Do you want to continue?\We hhstill have time.\I'll tag along if you want to keep going.\Hello? What? response:	Hey! We're not done talking here!
context: I'm sorry...\I'm totally in the wrong.\So, what now?\Do you want to continue?\We hhstill have time.\I'll tag along if you want to keep going.\Hello? What?\Hey! We're not done talking here! response:	What? Seriously?
context: I'm totally in the wrong.\So, what now?\Do you want to continue?\We hhstill have time.\I'll tag along if you want to keep going.\Hello? What?\Hey! We're not done talking here!\What? Seriously? response:	Got it!
context: So, what now?\Do you want to continue?\We hhstill have time.\I'll tag along if you want to keep going.\Hello? What?\Hey! We're not done talking here!\What? Seriously?\Got it! response:	My grandma collapsed...
context: Do you want to continue?\We hhstill have time.\I'll tag along if you want to keep going.\Hello? What?\Hey! We're not done talking here!\What? Seriously?\Got it!\My grandma collapsed... response:	Huh?
context: We hhstill have time.\I'll tag along if you want to keep going.\Hello? What?\Hey! We're not done talking here!\What? Seriously?\Got it!\My grandma collapsed...\Huh? response:	I gotta go!
context: I'll tag along if you want to keep going.\Hello? What?\Hey! We're not done talking here!\What? Seriously?\Got it!\My grandma collapsed...\Huh?\I gotta go! response:	H-Hey!
context: Hello? What?\Hey! We're not done talking here!\What? Seriously?\Got it!\My grandma collapsed...\Huh?\I gotta go!\H-Hey! response:	You still have time left!
context: Hey! We're not done talking here!\What? Seriously?\Got it!\My grandma collapsed...\Huh?\I gotta go!\H-Hey!\You still have time left! response:	Itabashi Third Hospital
context: What? Seriously?\Got it!\My grandma collapsed...\Huh?\I gotta go!\H-Hey!\You still have time left!\Itabashi Third Hospital response:	It's not such a big deal. I only fainted.
context: Got it!\My grandma collapsed...\Huh?\I gotta go!\H-Hey!\You still have time left!\Itabashi Third Hospital\It's not such a big deal. I only fainted. response:	But of course we would worry, Mother! Your health is important!
context: My grandma collapsed...\Huh?\I gotta go!\H-Hey!\You still have time left!\Itabashi Third Hospital\It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important! response:	Mom, you need to realize that you aren't young anymore.
context: Huh?\I gotta go!\H-Hey!\You still have time left!\Itabashi Third Hospital\It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore. response:	We do have a shop to run...
context: I gotta go!\H-Hey!\You still have time left!\Itabashi Third Hospital\It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore.\We do have a shop to run... response:	And this isn't the first time you've been hospitalized.
context: H-Hey!\You still have time left!\Itabashi Third Hospital\It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore.\We do have a shop to run...\And this isn't the first time you've been hospitalized. response:	Does this room have Wi-Fi?
context: You still have time left!\Itabashi Third Hospital\It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore.\We do have a shop to run...\And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi? response:	The phone is probably a bad idea...
context: Itabashi Third Hospital\It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore.\We do have a shop to run...\And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi?\The phone is probably a bad idea... response:	I'll get you some magazines for senior citizens!
context: It's not such a big deal. I only fainted.\But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore.\We do have a shop to run...\And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi?\The phone is probably a bad idea...\I'll get you some magazines for senior citizens! response:	Would you like something soft to eat?
context: But of course we would worry, Mother! Your health is important!\Mom, you need to realize that you aren't young anymore.\We do have a shop to run...\And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi?\The phone is probably a bad idea...\I'll get you some magazines for senior citizens!\Would you like something soft to eat? response:	Don't act like I'm on my last legs!
context: Mom, you need to realize that you aren't young anymore.\We do have a shop to run...\And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi?\The phone is probably a bad idea...\I'll get you some magazines for senior citizens!\Would you like something soft to eat?\Don't act like I'm on my last legs! response:	Anyway,
context: We do have a shop to run...\And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi?\The phone is probably a bad idea...\I'll get you some magazines for senior citizens!\Would you like something soft to eat?\Don't act like I'm on my last legs!\Anyway, response:	who might that young lady be?
context: And this isn't the first time you've been hospitalized.\Does this room have Wi-Fi?\The phone is probably a bad idea...\I'll get you some magazines for senior citizens!\Would you like something soft to eat?\Don't act like I'm on my last legs!\Anyway,\who might that young lady be? response:	I brought her in because she was with Kazuya.
context: Does this room have Wi-Fi?\The phone is probably a bad idea...\I'll get you some magazines for senior citizens!\Would you like something soft to eat?\Don't act like I'm on my last legs!\Anyway,\who might that young lady be?\I brought her in because she was with Kazuya. response:	Are you his classmate from college?
context: The phone is probably a bad idea...\I'll get you some magazines for senior citizens!\Would you like something soft to eat?\Don't act like I'm on my last legs!\Anyway,\who might that young lady be?\I brought her in because she was with Kazuya.\Are you his classmate from college? response:	E-Er...
context: I'll get you some magazines for senior citizens!\Would you like something soft to eat?\Don't act like I'm on my last legs!\Anyway,\who might that young lady be?\I brought her in because she was with Kazuya.\Are you his classmate from college?\E-Er... response:	You couldn't be his girlfriend, right?
context: Would you like something soft to eat?\Don't act like I'm on my last legs!\Anyway,\who might that young lady be?\I brought her in because she was with Kazuya.\Are you his classmate from college?\E-Er...\You couldn't be his girlfriend, right? response:	Not happening with Kazuya.
context: Don't act like I'm on my last legs!\Anyway,\who might that young lady be?\I brought her in because she was with Kazuya.\Are you his classmate from college?\E-Er...\You couldn't be his girlfriend, right?\Not happening with Kazuya. response:	We are talking about Kazuya here.
context: Anyway,\who might that young lady be?\I brought her in because she was with Kazuya.\Are you his classmate from college?\E-Er...\You couldn't be his girlfriend, right?\Not happening with Kazuya.\We are talking about Kazuya here. response:	Kazuya
context: who might that young lady be?\I brought her in because she was with Kazuya.\Are you his classmate from college?\E-Er...\You couldn't be his girlfriend, right?\Not happening with Kazuya.\We are talking about Kazuya here.\Kazuya response:	Kazuya
context: I brought her in because she was with Kazuya.\Are you his classmate from college?\E-Er...\You couldn't be his girlfriend, right?\Not happening with Kazuya.\We are talking about Kazuya here.\Kazuya\Kazuya response:	Kazuya
context: Are you his classmate from college?\E-Er...\You couldn't be his girlfriend, right?\Not happening with Kazuya.\We are talking about Kazuya here.\Kazuya\Kazuya\Kazuya response:	No way, honey. This is Kazuya we're talking about.
context: E-Er...\You couldn't be his girlfriend, right?\Not happening with Kazuya.\We are talking about Kazuya here.\Kazuya\Kazuya\Kazuya\No way, honey. This is Kazuya we're talking about. response:	Right. It's Kazuya.
context: You couldn't be his girlfriend, right?\Not happening with Kazuya.\We are talking about Kazuya here.\Kazuya\Kazuya\Kazuya\No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya. response:	Kazuya?
context: Not happening with Kazuya.\We are talking about Kazuya here.\Kazuya\Kazuya\Kazuya\No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya.\Kazuya? response:	G-Girlfriend...
context: We are talking about Kazuya here.\Kazuya\Kazuya\Kazuya\No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya.\Kazuya?\G-Girlfriend... response:	She's my girlfriend!
context: Kazuya\Kazuya\Kazuya\No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya.\Kazuya?\G-Girlfriend...\She's my girlfriend! response:	It's a pleasure to meet you.
context: Kazuya\Kazuya\No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya.\Kazuya?\G-Girlfriend...\She's my girlfriend!\It's a pleasure to meet you. response:	My name is Mizuhara Chizuru.
context: Kazuya\No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya.\Kazuya?\G-Girlfriend...\She's my girlfriend!\It's a pleasure to meet you.\My name is Mizuhara Chizuru. response:	Rent - a - Girlfriend
context: No way, honey. This is Kazuya we're talking about.\Right. It's Kazuya.\Kazuya?\G-Girlfriend...\She's my girlfriend!\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Rent - a - Girlfriend response:	It's a pleasure to meet you.
context: Right. It's Kazuya.\Kazuya?\G-Girlfriend...\She's my girlfriend!\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Rent - a - Girlfriend\It's a pleasure to meet you. response:	My name is Mizuhara Chizuru.
context: Kazuya?\G-Girlfriend...\She's my girlfriend!\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Rent - a - Girlfriend\It's a pleasure to meet you.\My name is Mizuhara Chizuru. response:	Perfect.
context: G-Girlfriend...\She's my girlfriend!\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Rent - a - Girlfriend\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Perfect. response:	It's a shame I had to introduce myself under such circumstances,
context: She's my girlfriend!\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Rent - a - Girlfriend\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Perfect.\It's a shame I had to introduce myself under such circumstances, response:	but I'm glad to meet you all nonetheless.
context: It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Rent - a - Girlfriend\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Perfect.\It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless. response:	Get me discharged!
context: My name is Mizuhara Chizuru.\Rent - a - Girlfriend\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Perfect.\It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless.\Get me discharged! response:	What?!
context: Rent - a - Girlfriend\It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Perfect.\It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless.\Get me discharged!\What?! response:	We need to get home and prepare for a party!
context: It's a pleasure to meet you.\My name is Mizuhara Chizuru.\Perfect.\It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless.\Get me discharged!\What?!\We need to get home and prepare for a party! response:	Rip
context: My name is Mizuhara Chizuru.\Perfect.\It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless.\Get me discharged!\What?!\We need to get home and prepare for a party!\Rip response:	Rip
context: Perfect.\It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless.\Get me discharged!\What?!\We need to get home and prepare for a party!\Rip\Rip response:	Don't be absurd, Mom!
context: It's a shame I had to introduce myself under such circumstances,\but I'm glad to meet you all nonetheless.\Get me discharged!\What?!\We need to get home and prepare for a party!\Rip\Rip\Don't be absurd, Mom! response:	You should get other tests done while you're here!
context: but I'm glad to meet you all nonetheless.\Get me discharged!\What?!\We need to get home and prepare for a party!\Rip\Rip\Don't be absurd, Mom!\You should get other tests done while you're here! response:	Listen to yourself!
context: Get me discharged!\What?!\We need to get home and prepare for a party!\Rip\Rip\Don't be absurd, Mom!\You should get other tests done while you're here!\Listen to yourself! response:	Kazuya's brought home a real hale and hearty hottie!
context: What?!\We need to get home and prepare for a party!\Rip\Rip\Don't be absurd, Mom!\You should get other tests done while you're here!\Listen to yourself!\Kazuya's brought home a real hale and hearty hottie! response:	H-Hale and hearty hottie?!
context: We need to get home and prepare for a party!\Rip\Rip\Don't be absurd, Mom!\You should get other tests done while you're here!\Listen to yourself!\Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?! response:	Hale and hearty hottie!?
context: Rip\Rip\Don't be absurd, Mom!\You should get other tests done while you're here!\Listen to yourself!\Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?!\Hale and hearty hottie!? response:	Can you believe it? Our Kazuya...
context: Rip\Don't be absurd, Mom!\You should get other tests done while you're here!\Listen to yourself!\Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?!\Hale and hearty hottie!?\Can you believe it? Our Kazuya... response:	Mom!
context: Don't be absurd, Mom!\You should get other tests done while you're here!\Listen to yourself!\Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?!\Hale and hearty hottie!?\Can you believe it? Our Kazuya...\Mom! response:	He has such a beautiful girlfriend! Do you have any idea what this means?!
context: You should get other tests done while you're here!\Listen to yourself!\Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?!\Hale and hearty hottie!?\Can you believe it? Our Kazuya...\Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?! response:	Our Kazuya, of all people!
context: Listen to yourself!\Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?!\Hale and hearty hottie!?\Can you believe it? Our Kazuya...\Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people! response:	After showing no signs of anything resembling a love life for twenty whole years...
context: Kazuya's brought home a real hale and hearty hottie!\H-Hale and hearty hottie?!\Hale and hearty hottie!?\Can you believe it? Our Kazuya...\Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years... response:	Kazuya... Our Kazuya has...
context: H-Hale and hearty hottie?!\Hale and hearty hottie!?\Can you believe it? Our Kazuya...\Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has... response:	We're heading back to the store. Watch over her, Kazuya.
context: Hale and hearty hottie!?\Can you believe it? Our Kazuya...\Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya. response:	Sure.
context: Can you believe it? Our Kazuya...\Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya.\Sure. response:	And make sure you walk your girlfriend back, okay?
context: Mom!\He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya.\Sure.\And make sure you walk your girlfriend back, okay? response:	Chizuru-san, come visit our home sometime.
