context: What's that, Kirino? response:	A guy?
context: I am Saori, the moderator for the'Otaku Girls Unite!' community.\Thank you for showing interest in joining our community.\She sounds like a really polite person.\Her writing sounds very refined.\Like a well-brought-up young lady?\Shut up. You're gross.\I believe we can be good friends as we share similar hobbies.\Isn't that great? response:	I said shut up!
context: Thank you for showing interest in joining our community.\She sounds like a really polite person.\Her writing sounds very refined.\Like a well-brought-up young lady?\Shut up. You're gross.\I believe we can be good friends as we share similar hobbies.\Isn't that great?\I said shut up! response:	If you'd like, please join us at our tea party next week. We will be meeting in...
context: She sounds like a really polite person.\Her writing sounds very refined.\Like a well-brought-up young lady?\Shut up. You're gross.\I believe we can be good friends as we share similar hobbies.\Isn't that great?\I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in... response:	Akihabara!
context: Her writing sounds very refined.\Like a well-brought-up young lady?\Shut up. You're gross.\I believe we can be good friends as we share similar hobbies.\Isn't that great?\I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara! response:	We don't have time to sightsee.
context: Like a well-brought-up young lady?\Shut up. You're gross.\I believe we can be good friends as we share similar hobbies.\Isn't that great?\I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara!\We don't have time to sightsee. response:	You can look around after the meetup.
context: Shut up. You're gross.\I believe we can be good friends as we share similar hobbies.\Isn't that great?\I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara!\We don't have time to sightsee.\You can look around after the meetup. response:	I know that!
context: I believe we can be good friends as we share similar hobbies.\Isn't that great?\I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara!\We don't have time to sightsee.\You can look around after the meetup.\I know that! response:	And don't come near me.
context: Isn't that great?\I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara!\We don't have time to sightsee.\You can look around after the meetup.\I know that!\And don't come near me. response:	I don't want anyone to think we're on a date.
context: I said shut up!\If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara!\We don't have time to sightsee.\You can look around after the meetup.\I know that!\And don't come near me.\I don't want anyone to think we're on a date. response:	So? Where are these otaku girls having their tea party?
context: If you'd like, please join us at our tea party next week. We will be meeting in...\Akihabara!\We don't have time to sightsee.\You can look around after the meetup.\I know that!\And don't come near me.\I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party? response:	The way you say it really pisses me off.
context: Akihabara!\We don't have time to sightsee.\You can look around after the meetup.\I know that!\And don't come near me.\I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party?\The way you say it really pisses me off. response:	I said don't come near!
context: We don't have time to sightsee.\You can look around after the meetup.\I know that!\And don't come near me.\I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party?\The way you say it really pisses me off.\I said don't come near! response:	Fine, do the rest of this yourself!
context: You can look around after the meetup.\I know that!\And don't come near me.\I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party?\The way you say it really pisses me off.\I said don't come near!\Fine, do the rest of this yourself! response:	You think you're not part of this?
context: I know that!\And don't come near me.\I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party?\The way you say it really pisses me off.\I said don't come near!\Fine, do the rest of this yourself!\You think you're not part of this? response:	You're coming too!
context: And don't come near me.\I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party?\The way you say it really pisses me off.\I said don't come near!\Fine, do the rest of this yourself!\You think you're not part of this?\You're coming too! response:	Why?
context: I don't want anyone to think we're on a date.\So? Where are these otaku girls having their tea party?\The way you say it really pisses me off.\I said don't come near!\Fine, do the rest of this yourself!\You think you're not part of this?\You're coming too!\Why? response:	Because this is my first time doing something like this,
context: So? Where are these otaku girls having their tea party?\The way you say it really pisses me off.\I said don't come near!\Fine, do the rest of this yourself!\You think you're not part of this?\You're coming too!\Why?\Because this is my first time doing something like this, response:	and I don't know what kind of people are coming,
context: The way you say it really pisses me off.\I said don't come near!\Fine, do the rest of this yourself!\You think you're not part of this?\You're coming too!\Why?\Because this is my first time doing something like this,\and I don't know what kind of people are coming, response:	so going alone is kinda...
context: I said don't come near!\Fine, do the rest of this yourself!\You think you're not part of this?\You're coming too!\Why?\Because this is my first time doing something like this,\and I don't know what kind of people are coming,\so going alone is kinda... response:	How am I going to be any help?
context: Fine, do the rest of this yourself!\You think you're not part of this?\You're coming too!\Why?\Because this is my first time doing something like this,\and I don't know what kind of people are coming,\so going alone is kinda...\How am I going to be any help? response:	This Otaku Girls Unite! thing is girls-only, right?
context: You think you're not part of this?\You're coming too!\Why?\Because this is my first time doing something like this,\and I don't know what kind of people are coming,\so going alone is kinda...\How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right? response:	How would I join in?
context: You're coming too!\Why?\Because this is my first time doing something like this,\and I don't know what kind of people are coming,\so going alone is kinda...\How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right?\How would I join in? response:	You could cross-dress.
context: Why?\Because this is my first time doing something like this,\and I don't know what kind of people are coming,\so going alone is kinda...\How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right?\How would I join in?\You could cross-dress. response:	They'd know!
context: Because this is my first time doing something like this,\and I don't know what kind of people are coming,\so going alone is kinda...\How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right?\How would I join in?\You could cross-dress.\They'd know! response:	Oh, right.
context: and I don't know what kind of people are coming,\so going alone is kinda...\How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right?\How would I join in?\You could cross-dress.\They'd know!\Oh, right. response:	Why weren't you born a pretty boy?
context: so going alone is kinda...\How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right?\How would I join in?\You could cross-dress.\They'd know!\Oh, right.\Why weren't you born a pretty boy? response:	Shut up.
context: How am I going to be any help?\This Otaku Girls Unite! thing is girls-only, right?\How would I join in?\You could cross-dress.\They'd know!\Oh, right.\Why weren't you born a pretty boy?\Shut up. response:	Well, I guess I need to take some responsibility for the idea.
context: This Otaku Girls Unite! thing is girls-only, right?\How would I join in?\You could cross-dress.\They'd know!\Oh, right.\Why weren't you born a pretty boy?\Shut up.\Well, I guess I need to take some responsibility for the idea. response:	How about this then?
context: How would I join in?\You could cross-dress.\They'd know!\Oh, right.\Why weren't you born a pretty boy?\Shut up.\Well, I guess I need to take some responsibility for the idea.\How about this then? response:	I'll go to the cafe first and sit near where you'll be.
context: You could cross-dress.\They'd know!\Oh, right.\Why weren't you born a pretty boy?\Shut up.\Well, I guess I need to take some responsibility for the idea.\How about this then?\I'll go to the cafe first and sit near where you'll be. response:	I can't say anything, but I'll watch.
context: They'd know!\Oh, right.\Why weren't you born a pretty boy?\Shut up.\Well, I guess I need to take some responsibility for the idea.\How about this then?\I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch. response:	That okay with you?
context: Oh, right.\Why weren't you born a pretty boy?\Shut up.\Well, I guess I need to take some responsibility for the idea.\How about this then?\I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch.\That okay with you? response:	Fine. That's okay.
context: Why weren't you born a pretty boy?\Shut up.\Well, I guess I need to take some responsibility for the idea.\How about this then?\I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch.\That okay with you?\Fine. That's okay. response:	Here?
context: Shut up.\Well, I guess I need to take some responsibility for the idea.\How about this then?\I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch.\That okay with you?\Fine. That's okay.\Here? response:	Master, how would you like to be addressed?
context: Well, I guess I need to take some responsibility for the idea.\How about this then?\I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch.\That okay with you?\Fine. That's okay.\Here?\Master, how would you like to be addressed? response:	What's that?
context: How about this then?\I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch.\That okay with you?\Fine. That's okay.\Here?\Master, how would you like to be addressed?\What's that? response:	You can pick what you want us to call you.
context: I'll go to the cafe first and sit near where you'll be.\I can't say anything, but I'll watch.\That okay with you?\Fine. That's okay.\Here?\Master, how would you like to be addressed?\What's that?\You can pick what you want us to call you. response:	Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.
context: I can't say anything, but I'll watch.\That okay with you?\Fine. That's okay.\Here?\Master, how would you like to be addressed?\What's that?\You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options. response:	Whatever you want.
context: That okay with you?\Fine. That's okay.\Here?\Master, how would you like to be addressed?\What's that?\You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want. response:	Then how about Onii-chan?
context: Fine. That's okay.\Here?\Master, how would you like to be addressed?\What's that?\You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want.\Then how about Onii-chan? response:	Onii-chan!
context: Here?\Master, how would you like to be addressed?\What's that?\You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want.\Then how about Onii-chan?\Onii-chan! response:	Of all things, a little sister?!
context: Master, how would you like to be addressed?\What's that?\You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want.\Then how about Onii-chan?\Onii-chan!\Of all things, a little sister?! response:	Onii-chan, what do you want to eat?
context: What's that?\You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want.\Then how about Onii-chan?\Onii-chan!\Of all things, a little sister?!\Onii-chan, what do you want to eat? response:	Um... How about omelette rice?
context: You can pick what you want us to call you.\Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want.\Then how about Onii-chan?\Onii-chan!\Of all things, a little sister?!\Onii-chan, what do you want to eat?\Um... How about omelette rice? response:	Okay!
context: Master, my lord, whatever-kun, Onii-chan, etc. There are many other options.\Whatever you want.\Then how about Onii-chan?\Onii-chan!\Of all things, a little sister?!\Onii-chan, what do you want to eat?\Um... How about omelette rice?\Okay! response:	I can write a message for you in ketchup. What would you like?
context: Whatever you want.\Then how about Onii-chan?\Onii-chan!\Of all things, a little sister?!\Onii-chan, what do you want to eat?\Um... How about omelette rice?\Okay!\I can write a message for you in ketchup. What would you like? response:	I'll leave it up to you.
context: Then how about Onii-chan?\Onii-chan!\Of all things, a little sister?!\Onii-chan, what do you want to eat?\Um... How about omelette rice?\Okay!\I can write a message for you in ketchup. What would you like?\I'll leave it up to you. response:	Okay!
context: Onii-chan!\Of all things, a little sister?!\Onii-chan, what do you want to eat?\Um... How about omelette rice?\Okay!\I can write a message for you in ketchup. What would you like?\I'll leave it up to you.\Okay! response:	Oh they're here?
context: Of all things, a little sister?!\Onii-chan, what do you want to eat?\Um... How about omelette rice?\Okay!\I can write a message for you in ketchup. What would you like?\I'll leave it up to you.\Okay!\Oh they're here? response:	She's huge!
context: Onii-chan, what do you want to eat?\Um... How about omelette rice?\Okay!\I can write a message for you in ketchup. What would you like?\I'll leave it up to you.\Okay!\Oh they're here?\She's huge! response:	What is she??
context: Um... How about omelette rice?\Okay!\I can write a message for you in ketchup. What would you like?\I'll leave it up to you.\Okay!\Oh they're here?\She's huge!\What is she?? response:	I have a reservation for one hour.
context: Okay!\I can write a message for you in ketchup. What would you like?\I'll leave it up to you.\Okay!\Oh they're here?\She's huge!\What is she??\I have a reservation for one hour. response:	Okay! Under what name?
context: I can write a message for you in ketchup. What would you like?\I'll leave it up to you.\Okay!\Oh they're here?\She's huge!\What is she??\I have a reservation for one hour.\Okay! Under what name? response:	Saori Bajeena.
context: I'll leave it up to you.\Okay!\Oh they're here?\She's huge!\What is she??\I have a reservation for one hour.\Okay! Under what name?\Saori Bajeena. response:	You're Saori-san??
context: Okay!\Oh they're here?\She's huge!\What is she??\I have a reservation for one hour.\Okay! Under what name?\Saori Bajeena.\You're Saori-san?? response:	And why Bajeena?
context: Oh they're here?\She's huge!\What is she??\I have a reservation for one hour.\Okay! Under what name?\Saori Bajeena.\You're Saori-san??\And why Bajeena? response:	Ah! Onii-chan, are you alright?
context: She's huge!\What is she??\I have a reservation for one hour.\Okay! Under what name?\Saori Bajeena.\You're Saori-san??\And why Bajeena?\Ah! Onii-chan, are you alright? response:	S-Sorry...
context: What is she??\I have a reservation for one hour.\Okay! Under what name?\Saori Bajeena.\You're Saori-san??\And why Bajeena?\Ah! Onii-chan, are you alright?\S-Sorry... response:	Take your time drinking, okay?
context: I have a reservation for one hour.\Okay! Under what name?\Saori Bajeena.\You're Saori-san??\And why Bajeena?\Ah! Onii-chan, are you alright?\S-Sorry...\Take your time drinking, okay? response:	Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.
context: Okay! Under what name?\Saori Bajeena.\You're Saori-san??\And why Bajeena?\Ah! Onii-chan, are you alright?\S-Sorry...\Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup. response:	It may be short, but let us talk to one another and deepen our friendship.
context: Saori Bajeena.\You're Saori-san??\And why Bajeena?\Ah! Onii-chan, are you alright?\S-Sorry...\Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship. response:	It may be our first time meeting in person, but we are all drawn together by being otaku.
context: You're Saori-san??\And why Bajeena?\Ah! Onii-chan, are you alright?\S-Sorry...\Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku. response:	We can understand each other's hearts.
context: And why Bajeena?\Ah! Onii-chan, are you alright?\S-Sorry...\Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts. response:	Let us get to know each other through our passion!
context: Ah! Onii-chan, are you alright?\S-Sorry...\Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts.\Let us get to know each other through our passion! response:	Here's some more water, Onii-chan.
context: S-Sorry...\Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts.\Let us get to know each other through our passion!\Here's some more water, Onii-chan. response:	She's not fitting in...
context: Take your time drinking, okay?\Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts.\Let us get to know each other through our passion!\Here's some more water, Onii-chan.\She's not fitting in... response:	Well, she is dressed like that...
context: Well then, I think we can officially begin the Otaku Girls Unite! IRL meetup.\It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts.\Let us get to know each other through our passion!\Here's some more water, Onii-chan.\She's not fitting in...\Well, she is dressed like that... response:	Now then, pleasant chatting!
context: It may be short, but let us talk to one another and deepen our friendship.\It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts.\Let us get to know each other through our passion!\Here's some more water, Onii-chan.\She's not fitting in...\Well, she is dressed like that...\Now then, pleasant chatting! response:	Will she be okay?
context: It may be our first time meeting in person, but we are all drawn together by being otaku.\We can understand each other's hearts.\Let us get to know each other through our passion!\Here's some more water, Onii-chan.\She's not fitting in...\Well, she is dressed like that...\Now then, pleasant chatting!\Will she be okay? response:	Kiririn-san, what coupling do you like in DesGuri?
context: We can understand each other's hearts.\Let us get to know each other through our passion!\Here's some more water, Onii-chan.\She's not fitting in...\Well, she is dressed like that...\Now then, pleasant chatting!\Will she be okay?\Kiririn-san, what coupling do you like in DesGuri? response:	I'm into Anna x Haru.
context: Let us get to know each other through our passion!\Here's some more water, Onii-chan.\She's not fitting in...\Well, she is dressed like that...\Now then, pleasant chatting!\Will she be okay?\Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru. response:	No way! I'm for Anna x Haru too!
context: Here's some more water, Onii-chan.\She's not fitting in...\Well, she is dressed like that...\Now then, pleasant chatting!\Will she be okay?\Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru.\No way! I'm for Anna x Haru too! response:	They're so cute!
context: She's not fitting in...\Well, she is dressed like that...\Now then, pleasant chatting!\Will she be okay?\Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru.\No way! I'm for Anna x Haru too!\They're so cute! response:	That necklace is really pretty.
context: Well, she is dressed like that...\Now then, pleasant chatting!\Will she be okay?\Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru.\No way! I'm for Anna x Haru too!\They're so cute!\That necklace is really pretty. response:	Where'd you get it?
context: Now then, pleasant chatting!\Will she be okay?\Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru.\No way! I'm for Anna x Haru too!\They're so cute!\That necklace is really pretty.\Where'd you get it? response:	Where I got it? It's a limited from Clock.
context: Will she be okay?\Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru.\No way! I'm for Anna x Haru too!\They're so cute!\That necklace is really pretty.\Where'd you get it?\Where I got it? It's a limited from Clock. response:	I saw it at a shoot and ended up buying it.
context: Kiririn-san, what coupling do you like in DesGuri?\I'm into Anna x Haru.\No way! I'm for Anna x Haru too!\They're so cute!\That necklace is really pretty.\Where'd you get it?\Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it. response:	Really?
context: I'm into Anna x Haru.\No way! I'm for Anna x Haru too!\They're so cute!\That necklace is really pretty.\Where'd you get it?\Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it.\Really? response:	It's hard getting tickets these days...
context: No way! I'm for Anna x Haru too!\They're so cute!\That necklace is really pretty.\Where'd you get it?\Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it.\Really?\It's hard getting tickets these days... response:	I know what you mean! It's probably better to go to stuff nearby instead of the city.
context: They're so cute!\That necklace is really pretty.\Where'd you get it?\Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it.\Really?\It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city. response:	Here! Thank you for waiting.
context: That necklace is really pretty.\Where'd you get it?\Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it.\Really?\It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting. response:	I love Onii-chan
context: Where'd you get it?\Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it.\Really?\It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting.\I love Onii-chan response:	There's something we do here to make omelette rice taste really good!
context: Where I got it? It's a limited from Clock.\I saw it at a shoot and ended up buying it.\Really?\It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting.\I love Onii-chan\There's something we do here to make omelette rice taste really good! response:	Yeah, that would work!
context: I saw it at a shoot and ended up buying it.\Really?\It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting.\I love Onii-chan\There's something we do here to make omelette rice taste really good!\Yeah, that would work! response:	So, what character?
context: Really?\It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting.\I love Onii-chan\There's something we do here to make omelette rice taste really good!\Yeah, that would work!\So, what character? response:	I said just listen!
context: It's hard getting tickets these days...\I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting.\I love Onii-chan\There's something we do here to make omelette rice taste really good!\Yeah, that would work!\So, what character?\I said just listen! response:	Alicia from LoveDera.
context: I know what you mean! It's probably better to go to stuff nearby instead of the city.\Here! Thank you for waiting.\I love Onii-chan\There's something we do here to make omelette rice taste really good!\Yeah, that would work!\So, what character?\I said just listen!\Alicia from LoveDera. response:	Wow, that's going to be pretty hard!
context: Here! Thank you for waiting.\I love Onii-chan\There's something we do here to make omelette rice taste really good!\Yeah, that would work!\So, what character?\I said just listen!\Alicia from LoveDera.\Wow, that's going to be pretty hard! response:	Thanks to all your efforts, I declare our first tea party over!
context: I love Onii-chan\There's something we do here to make omelette rice taste really good!\Yeah, that would work!\So, what character?\I said just listen!\Alicia from LoveDera.\Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over! response:	I will inform you of any future events when they are decided. Please join us next time!
context: There's something we do here to make omelette rice taste really good!\Yeah, that would work!\So, what character?\I said just listen!\Alicia from LoveDera.\Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time! response:	I'm still planning more events besides this gift exchange.
context: Yeah, that would work!\So, what character?\I said just listen!\Alicia from LoveDera.\Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange. response:	As for any afterparties, I leave it to your discretion.
context: So, what character?\I said just listen!\Alicia from LoveDera.\Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion. response:	Well then, dismissed!
context: I said just listen!\Alicia from LoveDera.\Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion.\Well then, dismissed! response:	Want to go to Animate?
context: Alicia from LoveDera.\Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion.\Well then, dismissed!\Want to go to Animate? response:	How about Tora after that?
context: Wow, that's going to be pretty hard!\Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion.\Well then, dismissed!\Want to go to Animate?\How about Tora after that? response:	That coupling totally doesn't match...
context: Thanks to all your efforts, I declare our first tea party over!\I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion.\Well then, dismissed!\Want to go to Animate?\How about Tora after that?\That coupling totally doesn't match... response:	Let's go somewhere else to discuss it then.
context: I will inform you of any future events when they are decided. Please join us next time!\I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion.\Well then, dismissed!\Want to go to Animate?\How about Tora after that?\That coupling totally doesn't match...\Let's go somewhere else to discuss it then. response:	Take care, Ojou-sama!
context: I'm still planning more events besides this gift exchange.\As for any afterparties, I leave it to your discretion.\Well then, dismissed!\Want to go to Animate?\How about Tora after that?\That coupling totally doesn't match...\Let's go somewhere else to discuss it then.\Take care, Ojou-sama! response:	You did a good job.
context: As for any afterparties, I leave it to your discretion.\Well then, dismissed!\Want to go to Animate?\How about Tora after that?\That coupling totally doesn't match...\Let's go somewhere else to discuss it then.\Take care, Ojou-sama!\You did a good job. response:	Good to see you've still got life in you.
context: Well then, dismissed!\Want to go to Animate?\How about Tora after that?\That coupling totally doesn't match...\Let's go somewhere else to discuss it then.\Take care, Ojou-sama!\You did a good job.\Good to see you've still got life in you. response:	How about seeing the sights in Akiba since we're already here?
context: Want to go to Animate?\How about Tora after that?\That coupling totally doesn't match...\Let's go somewhere else to discuss it then.\Take care, Ojou-sama!\You did a good job.\Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here? response:	I couldn't talk to anyone.
context: How about Tora after that?\That coupling totally doesn't match...\Let's go somewhere else to discuss it then.\Take care, Ojou-sama!\You did a good job.\Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone. response:	Well, when you're dressed like that, anyone would get scared.
context: That coupling totally doesn't match...\Let's go somewhere else to discuss it then.\Take care, Ojou-sama!\You did a good job.\Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared. response:	They were mostly normal girls, you know.
context: Let's go somewhere else to discuss it then.\Take care, Ojou-sama!\You did a good job.\Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know. response:	Take care!
context: Take care, Ojou-sama!\You did a good job.\Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know.\Take care! response:	Why?
context: You did a good job.\Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know.\Take care!\Why? response:	I did everything like I usually do.
context: Good to see you've still got life in you.\How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know.\Take care!\Why?\I did everything like I usually do. response:	Why did they avoid me?
context: How about seeing the sights in Akiba since we're already here?\I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know.\Take care!\Why?\I did everything like I usually do.\Why did they avoid me? response:	Dammit! Dammit! Dammit!
context: I couldn't talk to anyone.\Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know.\Take care!\Why?\I did everything like I usually do.\Why did they avoid me?\Dammit! Dammit! Dammit! response:	Hey! Miss Kiririn!
context: Well, when you're dressed like that, anyone would get scared.\They were mostly normal girls, you know.\Take care!\Why?\I did everything like I usually do.\Why did they avoid me?\Dammit! Dammit! Dammit!\Hey! Miss Kiririn! response:	I'm glad I managed to catch you!
context: They were mostly normal girls, you know.\Take care!\Why?\I did everything like I usually do.\Why did they avoid me?\Dammit! Dammit! Dammit!\Hey! Miss Kiririn!\I'm glad I managed to catch you! response:	Saori-san?
context: Take care!\Why?\I did everything like I usually do.\Why did they avoid me?\Dammit! Dammit! Dammit!\Hey! Miss Kiririn!\I'm glad I managed to catch you!\Saori-san? response:	Just Saori, please!
context: Why?\I did everything like I usually do.\Why did they avoid me?\Dammit! Dammit! Dammit!\Hey! Miss Kiririn!\I'm glad I managed to catch you!\Saori-san?\Just Saori, please! response:	And this is... your boyfriend?
context: I did everything like I usually do.\Why did they avoid me?\Dammit! Dammit! Dammit!\Hey! Miss Kiririn!\I'm glad I managed to catch you!\Saori-san?\Just Saori, please!\And this is... your boyfriend? response:	No!!
context: Why did they avoid me?\Dammit! Dammit! Dammit!\Hey! Miss Kiririn!\I'm glad I managed to catch you!\Saori-san?\Just Saori, please!\And this is... your boyfriend?\No!! response:	No!!
context: Dammit! Dammit! Dammit!\Hey! Miss Kiririn!\I'm glad I managed to catch you!\Saori-san?\Just Saori, please!\And this is... your boyfriend?\No!!\No!! response:	Oh? No?
context: Hey! Miss Kiririn!\I'm glad I managed to catch you!\Saori-san?\Just Saori, please!\And this is... your boyfriend?\No!!\No!!\Oh? No? response:	I do believe he was staring at you the whole time.
context: I'm glad I managed to catch you!\Saori-san?\Just Saori, please!\And this is... your boyfriend?\No!!\No!!\Oh? No?\I do believe he was staring at you the whole time. response:	I thought it as the look of love!
context: Saori-san?\Just Saori, please!\And this is... your boyfriend?\No!!\No!!\Oh? No?\I do believe he was staring at you the whole time.\I thought it as the look of love! response:	Stop that! Gross!
context: Just Saori, please!\And this is... your boyfriend?\No!!\No!!\Oh? No?\I do believe he was staring at you the whole time.\I thought it as the look of love!\Stop that! Gross! response:	I'm Kousaka Kyousuke. Her brother.
context: And this is... your boyfriend?\No!!\No!!\Oh? No?\I do believe he was staring at you the whole time.\I thought it as the look of love!\Stop that! Gross!\I'm Kousaka Kyousuke. Her brother. response:	I see, I see...
