context: CCG Base to 203, response:	trespassers reported in the 20th Ward at the Aqua Building.
context: Yeah.\I have to say, this is getting ugly.\Yeah.\Word is that eating one person is supposed to last them a month,\but these binge eaters are something else.\Write them off as animals,\and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh? response:	They're worse than livestock, since they're not good for anything.
context: I have to say, this is getting ugly.\Yeah.\Word is that eating one person is supposed to last them a month,\but these binge eaters are something else.\Write them off as animals,\and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything. response:	That's true.
context: Yeah.\Word is that eating one person is supposed to last them a month,\but these binge eaters are something else.\Write them off as animals,\and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything.\That's true. response:	Mr. Kaneki, what's your favorite work by Takatsuki?
context: Word is that eating one person is supposed to last them a month,\but these binge eaters are something else.\Write them off as animals,\and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything.\That's true.\Mr. Kaneki, what's your favorite work by Takatsuki? response:	It would have to be his debut book.
context: but these binge eaters are something else.\Write them off as animals,\and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything.\That's true.\Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book. response:	It was a breakout hit, after all.
context: Write them off as animals,\and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything.\That's true.\Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book.\It was a breakout hit, after all. response:	The delicacy amidst all the extremeness, you might say.
context: and they'd eat any number of people, wouldn't they?\Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything.\That's true.\Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book.\It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say. response:	Y-Yes, exactly. To have that much talent in writing,
context: Ghouls as animals, huh?\They're worse than livestock, since they're not good for anything.\That's true.\Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book.\It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing, response:	and still be in his teens when it came out-
context: They're worse than livestock, since they're not good for anything.\That's true.\Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book.\It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out- response:	Are you all right?
context: That's true.\Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book.\It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out-\Are you all right? response:	I-I'm fine...
context: Mr. Kaneki, what's your favorite work by Takatsuki?\It would have to be his debut book.\It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out-\Are you all right?\I-I'm fine... response:	Er, I mean... that is...
context: It would have to be his debut book.\It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out-\Are you all right?\I-I'm fine...\Er, I mean... that is... response:	Miss Rize, you don't eat much, do you?
context: It was a breakout hit, after all.\The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out-\Are you all right?\I-I'm fine...\Er, I mean... that is...\Miss Rize, you don't eat much, do you? response:	Huh? Oh... Actually, um, I'm on a dietary regimen...
context: The delicacy amidst all the extremeness, you might say.\Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out-\Are you all right?\I-I'm fine...\Er, I mean... that is...\Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen... response:	Excuse me, I need the restroom.
context: Y-Yes, exactly. To have that much talent in writing,\and still be in his teens when it came out-\Are you all right?\I-I'm fine...\Er, I mean... that is...\Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom. response:	She's a girl...
context: and still be in his teens when it came out-\Are you all right?\I-I'm fine...\Er, I mean... that is...\Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom.\She's a girl... response:	Thank you very much for today.
context: Are you all right?\I-I'm fine...\Er, I mean... that is...\Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom.\She's a girl...\Thank you very much for today. response:	No, thank you. It-It's been fun.
context: I-I'm fine...\Er, I mean... that is...\Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom.\She's a girl...\Thank you very much for today.\No, thank you. It-It's been fun. response:	The truth is, I... live near where these recent incidents have been...
context: Er, I mean... that is...\Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom.\She's a girl...\Thank you very much for today.\No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been... response:	Oh, the ghouls?
context: Miss Rize, you don't eat much, do you?\Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom.\She's a girl...\Thank you very much for today.\No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been...\Oh, the ghouls? response:	I'm awfully bad at handling this.
context: Huh? Oh... Actually, um, I'm on a dietary regimen...\Excuse me, I need the restroom.\She's a girl...\Thank you very much for today.\No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been...\Oh, the ghouls?\I'm awfully bad at handling this. response:	Just thinking about it even now, I can't stop from trembling.
context: Excuse me, I need the restroom.\She's a girl...\Thank you very much for today.\No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been...\Oh, the ghouls?\I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling. response:	That's all right.
context: She's a girl...\Thank you very much for today.\No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been...\Oh, the ghouls?\I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling.\That's all right. response:	Please, rest assured. I'll see you home.
context: Thank you very much for today.\No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been...\Oh, the ghouls?\I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling.\That's all right.\Please, rest assured. I'll see you home. response:	Yes, so then Hide asked me, Which do you like better, me or novels?
context: No, thank you. It-It's been fun.\The truth is, I... live near where these recent incidents have been...\Oh, the ghouls?\I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling.\That's all right.\Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels? response:	He sounds like a funny person.
context: The truth is, I... live near where these recent incidents have been...\Oh, the ghouls?\I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling.\That's all right.\Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person. response:	Yes.
context: Oh, the ghouls?\I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling.\That's all right.\Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person.\Yes. response:	Was there something that served to turn you on to books?
context: I'm awfully bad at handling this.\Just thinking about it even now, I can't stop from trembling.\That's all right.\Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person.\Yes.\Was there something that served to turn you on to books? response:	My dad left us a lot of books in our house.
context: Just thinking about it even now, I can't stop from trembling.\That's all right.\Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person.\Yes.\Was there something that served to turn you on to books?\My dad left us a lot of books in our house. response:	Ah...
context: That's all right.\Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person.\Yes.\Was there something that served to turn you on to books?\My dad left us a lot of books in our house.\Ah... response:	I lost my dad before I can even remember. I liked the books he left,
context: Please, rest assured. I'll see you home.\Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person.\Yes.\Was there something that served to turn you on to books?\My dad left us a lot of books in our house.\Ah...\I lost my dad before I can even remember. I liked the books he left, response:	and while my mom was out working, I spent the time reading them.
context: Yes, so then Hide asked me, Which do you like better, me or novels?\He sounds like a funny person.\Yes.\Was there something that served to turn you on to books?\My dad left us a lot of books in our house.\Ah...\I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them. response:	Then, ever since my mom died...
context: He sounds like a funny person.\Yes.\Was there something that served to turn you on to books?\My dad left us a lot of books in our house.\Ah...\I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them.\Then, ever since my mom died... response:	You know, Hide is the only one I've ever told this to.
context: Yes.\Was there something that served to turn you on to books?\My dad left us a lot of books in our house.\Ah...\I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them.\Then, ever since my mom died...\You know, Hide is the only one I've ever told this to. response:	Is that right? Ah...
context: Was there something that served to turn you on to books?\My dad left us a lot of books in our house.\Ah...\I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them.\Then, ever since my mom died...\You know, Hide is the only one I've ever told this to.\Is that right? Ah... response:	It's this way.
context: My dad left us a lot of books in our house.\Ah...\I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them.\Then, ever since my mom died...\You know, Hide is the only one I've ever told this to.\Is that right? Ah...\It's this way. response:	Oh, okay.
context: Ah...\I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them.\Then, ever since my mom died...\You know, Hide is the only one I've ever told this to.\Is that right? Ah...\It's this way.\Oh, okay. response:	Toka, is something wrong?
context: I lost my dad before I can even remember. I liked the books he left,\and while my mom was out working, I spent the time reading them.\Then, ever since my mom died...\You know, Hide is the only one I've ever told this to.\Is that right? Ah...\It's this way.\Oh, okay.\Toka, is something wrong? response:	Mm-mm, not really.
context: and while my mom was out working, I spent the time reading them.\Then, ever since my mom died...\You know, Hide is the only one I've ever told this to.\Is that right? Ah...\It's this way.\Oh, okay.\Toka, is something wrong?\Mm-mm, not really. response:	Well, I'm right over here, so...
context: Then, ever since my mom died...\You know, Hide is the only one I've ever told this to.\Is that right? Ah...\It's this way.\Oh, okay.\Toka, is something wrong?\Mm-mm, not really.\Well, I'm right over here, so... response:	Miss Rize...
context: You know, Hide is the only one I've ever told this to.\Is that right? Ah...\It's this way.\Oh, okay.\Toka, is something wrong?\Mm-mm, not really.\Well, I'm right over here, so...\Miss Rize... response:	Um, if you wouldn't mind, can I see you again?
context: Is that right? Ah...\It's this way.\Oh, okay.\Toka, is something wrong?\Mm-mm, not really.\Well, I'm right over here, so...\Miss Rize...\Um, if you wouldn't mind, can I see you again? response:	We do have a similar taste in books, and we're the same age...
context: It's this way.\Oh, okay.\Toka, is something wrong?\Mm-mm, not really.\Well, I'm right over here, so...\Miss Rize...\Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age... response:	There's a lot we have in common, huh?
context: Oh, okay.\Toka, is something wrong?\Mm-mm, not really.\Well, I'm right over here, so...\Miss Rize...\Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh? response:	Mr. Kaneki...
context: Toka, is something wrong?\Mm-mm, not really.\Well, I'm right over here, so...\Miss Rize...\Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh?\Mr. Kaneki... response:	Y- Yes?
context: Mm-mm, not really.\Well, I'm right over here, so...\Miss Rize...\Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh?\Mr. Kaneki...\Y- Yes? response:	The truth is, I noticed you.
context: Well, I'm right over here, so...\Miss Rize...\Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh?\Mr. Kaneki...\Y- Yes?\The truth is, I noticed you. response:	The way you were looking at me.
context: Miss Rize...\Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh?\Mr. Kaneki...\Y- Yes?\The truth is, I noticed you.\The way you were looking at me. response:	Huh? Then, you mean, you, too...
context: Um, if you wouldn't mind, can I see you again?\We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh?\Mr. Kaneki...\Y- Yes?\The truth is, I noticed you.\The way you were looking at me.\Huh? Then, you mean, you, too... response:	Yes.
context: We do have a similar taste in books, and we're the same age...\There's a lot we have in common, huh?\Mr. Kaneki...\Y- Yes?\The truth is, I noticed you.\The way you were looking at me.\Huh? Then, you mean, you, too...\Yes. response:	I, too...
context: There's a lot we have in common, huh?\Mr. Kaneki...\Y- Yes?\The truth is, I noticed you.\The way you were looking at me.\Huh? Then, you mean, you, too...\Yes.\I, too... response:	happen to be interested...
context: Mr. Kaneki...\Y- Yes?\The truth is, I noticed you.\The way you were looking at me.\Huh? Then, you mean, you, too...\Yes.\I, too...\happen to be interested... response:	in you.
context: Y- Yes?\The truth is, I noticed you.\The way you were looking at me.\Huh? Then, you mean, you, too...\Yes.\I, too...\happen to be interested...\in you. response:	Ah, delicious!
context: The truth is, I noticed you.\The way you were looking at me.\Huh? Then, you mean, you, too...\Yes.\I, too...\happen to be interested...\in you.\Ah, delicious! response:	Mr. Kaneki,
context: The way you were looking at me.\Huh? Then, you mean, you, too...\Yes.\I, too...\happen to be interested...\in you.\Ah, delicious!\Mr. Kaneki, response:	there's something I like even more than reading. Know what it is?
context: Huh? Then, you mean, you, too...\Yes.\I, too...\happen to be interested...\in you.\Ah, delicious!\Mr. Kaneki,\there's something I like even more than reading. Know what it is? response:	It's pulling out all the organs of someone
context: Yes.\I, too...\happen to be interested...\in you.\Ah, delicious!\Mr. Kaneki,\there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone response:	who isn't trying to run away from me.
context: I, too...\happen to be interested...\in you.\Ah, delicious!\Mr. Kaneki,\there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone\who isn't trying to run away from me. response:	That expression! It's fantastic!
context: happen to be interested...\in you.\Ah, delicious!\Mr. Kaneki,\there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone\who isn't trying to run away from me.\That expression! It's fantastic! response:	Would you let me...
context: in you.\Ah, delicious!\Mr. Kaneki,\there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone\who isn't trying to run away from me.\That expression! It's fantastic!\Would you let me... response:	thrill myself even more?!
context: Ah, delicious!\Mr. Kaneki,\there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone\who isn't trying to run away from me.\That expression! It's fantastic!\Would you let me...\thrill myself even more?! response:	No way! No way! No way! No way! No way! No way! No way!
context: Mr. Kaneki,\there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone\who isn't trying to run away from me.\That expression! It's fantastic!\Would you let me...\thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way! response:	I caught you!
context: there's something I like even more than reading. Know what it is?\It's pulling out all the organs of someone\who isn't trying to run away from me.\That expression! It's fantastic!\Would you let me...\thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way!\I caught you! response:	Mr. Kaneki!
context: It's pulling out all the organs of someone\who isn't trying to run away from me.\That expression! It's fantastic!\Would you let me...\thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way!\I caught you!\Mr. Kaneki! response:	I'm going to gently scramble up your insides for you now, okay?
context: who isn't trying to run away from me.\That expression! It's fantastic!\Would you let me...\thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way!\I caught you!\Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay? response:	Uh-oh, did you die?
context: That expression! It's fantastic!\Would you let me...\thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way!\I caught you!\Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die? response:	That's too bad. I really did like you.
context: Would you let me...\thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way!\I caught you!\Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die?\That's too bad. I really did like you. response:	There's just the right amount of fat on you;
context: thrill myself even more?!\No way! No way! No way! No way! No way! No way! No way!\I caught you!\Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die?\That's too bad. I really did like you.\There's just the right amount of fat on you; response:	you look nice and soft, and easy to eat.
context: No way! No way! No way! No way! No way! No way! No way!\I caught you!\Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die?\That's too bad. I really did like you.\There's just the right amount of fat on you;\you look nice and soft, and easy to eat. response:	How...
context: I caught you!\Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die?\That's too bad. I really did like you.\There's just the right amount of fat on you;\you look nice and soft, and easy to eat.\How... response:	could... this...
context: Mr. Kaneki!\I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die?\That's too bad. I really did like you.\There's just the right amount of fat on you;\you look nice and soft, and easy to eat.\How...\could... this... response:	His abdominal organs are ruptured.
context: I'm going to gently scramble up your insides for you now, okay?\Uh-oh, did you die?\That's too bad. I really did like you.\There's just the right amount of fat on you;\you look nice and soft, and easy to eat.\How...\could... this...\His abdominal organs are ruptured. response:	-What is this? -We'll begin operating immediately.
context: Uh-oh, did you die?\That's too bad. I really did like you.\There's just the right amount of fat on you;\you look nice and soft, and easy to eat.\How...\could... this...\His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately. response:	Where is this place?
context: That's too bad. I really did like you.\There's just the right amount of fat on you;\you look nice and soft, and easy to eat.\How...\could... this...\His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately.\Where is this place? response:	I thought I was on a date with Miss Rize...
context: There's just the right amount of fat on you;\you look nice and soft, and easy to eat.\How...\could... this...\His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately.\Where is this place?\I thought I was on a date with Miss Rize... response:	Prepare for organ transplant.
context: you look nice and soft, and easy to eat.\How...\could... this...\His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately.\Where is this place?\I thought I was on a date with Miss Rize...\Prepare for organ transplant. response:	Without the consent of the next of kin?
context: How...\could... this...\His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately.\Where is this place?\I thought I was on a date with Miss Rize...\Prepare for organ transplant.\Without the consent of the next of kin? response:	Organ? Next of kin?
context: could... this...\His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately.\Where is this place?\I thought I was on a date with Miss Rize...\Prepare for organ transplant.\Without the consent of the next of kin?\Organ? Next of kin? response:	What exactly are they talking about?
context: His abdominal organs are ruptured.\-What is this? -We'll begin operating immediately.\Where is this place?\I thought I was on a date with Miss Rize...\Prepare for organ transplant.\Without the consent of the next of kin?\Organ? Next of kin?\What exactly are they talking about? response:	Dr. Kano!
context: -What is this? -We'll begin operating immediately.\Where is this place?\I thought I was on a date with Miss Rize...\Prepare for organ transplant.\Without the consent of the next of kin?\Organ? Next of kin?\What exactly are they talking about?\Dr. Kano! response:	I will accept full responsibility!
context: Where is this place?\I thought I was on a date with Miss Rize...\Prepare for organ transplant.\Without the consent of the next of kin?\Organ? Next of kin?\What exactly are they talking about?\Dr. Kano!\I will accept full responsibility! response:	Transfer her organs into him!
context: I thought I was on a date with Miss Rize...\Prepare for organ transplant.\Without the consent of the next of kin?\Organ? Next of kin?\What exactly are they talking about?\Dr. Kano!\I will accept full responsibility!\Transfer her organs into him! response:	It's warm...
context: Prepare for organ transplant.\Without the consent of the next of kin?\Organ? Next of kin?\What exactly are they talking about?\Dr. Kano!\I will accept full responsibility!\Transfer her organs into him!\It's warm... response:	Is this...?
context: Without the consent of the next of kin?\Organ? Next of kin?\What exactly are they talking about?\Dr. Kano!\I will accept full responsibility!\Transfer her organs into him!\It's warm...\Is this...? response:	That's strange. What's going on here?
context: Organ? Next of kin?\What exactly are they talking about?\Dr. Kano!\I will accept full responsibility!\Transfer her organs into him!\It's warm...\Is this...?\That's strange. What's going on here? response:	Mr. Kaneki!
context: What exactly are they talking about?\Dr. Kano!\I will accept full responsibility!\Transfer her organs into him!\It's warm...\Is this...?\That's strange. What's going on here?\Mr. Kaneki! response:	Is this all you're going to eat?
context: Dr. Kano!\I will accept full responsibility!\Transfer her organs into him!\It's warm...\Is this...?\That's strange. What's going on here?\Mr. Kaneki!\Is this all you're going to eat? response:	Oh, right. Your friend came by again today.
context: I will accept full responsibility!\Transfer her organs into him!\It's warm...\Is this...?\That's strange. What's going on here?\Mr. Kaneki!\Is this all you're going to eat?\Oh, right. Your friend came by again today. response:	Ah, Dr. Kano...
context: Transfer her organs into him!\It's warm...\Is this...?\That's strange. What's going on here?\Mr. Kaneki!\Is this all you're going to eat?\Oh, right. Your friend came by again today.\Ah, Dr. Kano... response:	How are we feeling, Kaneki?
context: It's warm...\Is this...?\That's strange. What's going on here?\Mr. Kaneki!\Is this all you're going to eat?\Oh, right. Your friend came by again today.\Ah, Dr. Kano...\How are we feeling, Kaneki? response:	I hear you haven't eaten anything since you were admitted,
context: Is this...?\That's strange. What's going on here?\Mr. Kaneki!\Is this all you're going to eat?\Oh, right. Your friend came by again today.\Ah, Dr. Kano...\How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted, response:	but there doesn't particularly seem to be anything wrong.
context: That's strange. What's going on here?\Mr. Kaneki!\Is this all you're going to eat?\Oh, right. Your friend came by again today.\Ah, Dr. Kano...\How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong. response:	Um...
context: Mr. Kaneki!\Is this all you're going to eat?\Oh, right. Your friend came by again today.\Ah, Dr. Kano...\How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong.\Um... response:	my sense of taste... isn't right...
context: Is this all you're going to eat?\Oh, right. Your friend came by again today.\Ah, Dr. Kano...\How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong.\Um...\my sense of taste... isn't right... response:	Sense of taste?
context: Oh, right. Your friend came by again today.\Ah, Dr. Kano...\How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong.\Um...\my sense of taste... isn't right...\Sense of taste? response:	It's like everything tastes icky...
context: Ah, Dr. Kano...\How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong.\Um...\my sense of taste... isn't right...\Sense of taste?\It's like everything tastes icky... response:	That could be psychological in nature.
context: How are we feeling, Kaneki?\I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong.\Um...\my sense of taste... isn't right...\Sense of taste?\It's like everything tastes icky...\That could be psychological in nature. response:	It was a pretty serious accident, after all.
context: I hear you haven't eaten anything since you were admitted,\but there doesn't particularly seem to be anything wrong.\Um...\my sense of taste... isn't right...\Sense of taste?\It's like everything tastes icky...\That could be psychological in nature.\It was a pretty serious accident, after all. response:	There's no rush.
context: but there doesn't particularly seem to be anything wrong.\Um...\my sense of taste... isn't right...\Sense of taste?\It's like everything tastes icky...\That could be psychological in nature.\It was a pretty serious accident, after all.\There's no rush. response:	Take all the time you need to heal.
context: Um...\my sense of taste... isn't right...\Sense of taste?\It's like everything tastes icky...\That could be psychological in nature.\It was a pretty serious accident, after all.\There's no rush.\Take all the time you need to heal. response:	I'll be by again later.
context: my sense of taste... isn't right...\Sense of taste?\It's like everything tastes icky...\That could be psychological in nature.\It was a pretty serious accident, after all.\There's no rush.\Take all the time you need to heal.\I'll be by again later. response:	Nothing particularly wrong?
context: Sense of taste?\It's like everything tastes icky...\That could be psychological in nature.\It was a pretty serious accident, after all.\There's no rush.\Take all the time you need to heal.\I'll be by again later.\Nothing particularly wrong? response:	It almost seems like the events of that whole day with Miss Rize
context: It's like everything tastes icky...\That could be psychological in nature.\It was a pretty serious accident, after all.\There's no rush.\Take all the time you need to heal.\I'll be by again later.\Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize response:	were something that never really happened.
context: That could be psychological in nature.\It was a pretty serious accident, after all.\There's no rush.\Take all the time you need to heal.\I'll be by again later.\Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize\were something that never really happened. response:	But one thing is for sure...
context: It was a pretty serious accident, after all.\There's no rush.\Take all the time you need to heal.\I'll be by again later.\Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize\were something that never really happened.\But one thing is for sure... response:	Ever since then, something has been...
context: There's no rush.\Take all the time you need to heal.\I'll be by again later.\Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize\were something that never really happened.\But one thing is for sure...\Ever since then, something has been... response:	something has been strange.
context: Take all the time you need to heal.\I'll be by again later.\Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize\were something that never really happened.\But one thing is for sure...\Ever since then, something has been...\something has been strange. response:	Kaneki!
context: I'll be by again later.\Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize\were something that never really happened.\But one thing is for sure...\Ever since then, something has been...\something has been strange.\Kaneki! response:	Congratulations on your discharge!
context: Nothing particularly wrong?\It almost seems like the events of that whole day with Miss Rize\were something that never really happened.\But one thing is for sure...\Ever since then, something has been...\something has been strange.\Kaneki!\Congratulations on your discharge! response:	Presenting some leftover high-quality ingredients from my place,
context: It almost seems like the events of that whole day with Miss Rize\were something that never really happened.\But one thing is for sure...\Ever since then, something has been...\something has been strange.\Kaneki!\Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place, response:	along with your favorite hamburger.
context: were something that never really happened.\But one thing is for sure...\Ever since then, something has been...\something has been strange.\Kaneki!\Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger. response:	I hope you appreciate it! Wah-ha-ha!
context: But one thing is for sure...\Ever since then, something has been...\something has been strange.\Kaneki!\Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha! response:	It's rough here on my own.
context: Ever since then, something has been...\something has been strange.\Kaneki!\Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha!\It's rough here on my own. response:	Hide...
context: something has been strange.\Kaneki!\Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha!\It's rough here on my own.\Hide... response:	Thanks.
context: Kaneki!\Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha!\It's rough here on my own.\Hide...\Thanks. response:	But I'm sorry.
context: Congratulations on your discharge!\Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha!\It's rough here on my own.\Hide...\Thanks.\But I'm sorry. response:	A ghoul doesn't have any need to eat this much
context: Presenting some leftover high-quality ingredients from my place,\along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha!\It's rough here on my own.\Hide...\Thanks.\But I'm sorry.\A ghoul doesn't have any need to eat this much response:	in this short amount of time in the first place.
context: along with your favorite hamburger.\I hope you appreciate it! Wah-ha-ha!\It's rough here on my own.\Hide...\Thanks.\But I'm sorry.\A ghoul doesn't have any need to eat this much\in this short amount of time in the first place. response:	One dead body will allow them to survive for a month or two.
context: I hope you appreciate it! Wah-ha-ha!\It's rough here on my own.\Hide...\Thanks.\But I'm sorry.\A ghoul doesn't have any need to eat this much\in this short amount of time in the first place.\One dead body will allow them to survive for a month or two. response:	One dead body will allow them to survive for a month or two.
