context: Oursworn enemy: Naraku. response:	Taking possession of more and more Sacred Jewel shards,
context: Naraku, is that yourtrue form?\True form?\No, this is only the beginning.\So... you want my life?\I don't get it.\What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?!\It's close... The Sacred Jewel shard. response:	It bothers me...
context: True form?\No, this is only the beginning.\So... you want my life?\I don't get it.\What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?!\It's close... The Sacred Jewel shard.\It bothers me... response:	that it's so close to Naraku's castle.
context: No, this is only the beginning.\So... you want my life?\I don't get it.\What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?!\It's close... The Sacred Jewel shard.\It bothers me...\that it's so close to Naraku's castle. response:	Yes... and...
context: So... you want my life?\I don't get it.\What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?!\It's close... The Sacred Jewel shard.\It bothers me...\that it's so close to Naraku's castle.\Yes... and... response:	I think there's just one shard.
context: I don't get it.\What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?!\It's close... The Sacred Jewel shard.\It bothers me...\that it's so close to Naraku's castle.\Yes... and...\I think there's just one shard. response:	That's right!
context: What's the point of Naraku killing Sesshomaru?\Could Naraku be planning to?!\It's close... The Sacred Jewel shard.\It bothers me...\that it's so close to Naraku's castle.\Yes... and...\I think there's just one shard.\That's right! response:	Sango's younger brother, Kohaku, has just one shard...
context: Could Naraku be planning to?!\It's close... The Sacred Jewel shard.\It bothers me...\that it's so close to Naraku's castle.\Yes... and...\I think there's just one shard.\That's right!\Sango's younger brother, Kohaku, has just one shard... response:	Could it be... Kohaku?
context: It's close... The Sacred Jewel shard.\It bothers me...\that it's so close to Naraku's castle.\Yes... and...\I think there's just one shard.\That's right!\Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku? response:	It's sweet.
context: It bothers me...\that it's so close to Naraku's castle.\Yes... and...\I think there's just one shard.\That's right!\Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku?\It's sweet. response:	Want another?
context: that it's so close to Naraku's castle.\Yes... and...\I think there's just one shard.\That's right!\Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku?\It's sweet.\Want another? response:	Huh? Yeah...
context: Yes... and...\I think there's just one shard.\That's right!\Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku?\It's sweet.\Want another?\Huh? Yeah... response:	Here.
context: I think there's just one shard.\That's right!\Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku?\It's sweet.\Want another?\Huh? Yeah...\Here. response:	If you like it, I can go steal some more.
context: That's right!\Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku?\It's sweet.\Want another?\Huh? Yeah...\Here.\If you like it, I can go steal some more. response:	You don't remember anything, Kohaku?
context: Sango's younger brother, Kohaku, has just one shard...\Could it be... Kohaku?\It's sweet.\Want another?\Huh? Yeah...\Here.\If you like it, I can go steal some more.\You don't remember anything, Kohaku? response:	No...
context: Could it be... Kohaku?\It's sweet.\Want another?\Huh? Yeah...\Here.\If you like it, I can go steal some more.\You don't remember anything, Kohaku?\No... response:	Even yourma and pa?
context: It's sweet.\Want another?\Huh? Yeah...\Here.\If you like it, I can go steal some more.\You don't remember anything, Kohaku?\No...\Even yourma and pa? response:	I've forgotten them.
context: Want another?\Huh? Yeah...\Here.\If you like it, I can go steal some more.\You don't remember anything, Kohaku?\No...\Even yourma and pa?\I've forgotten them. response:	So there's such a thing?
context: Huh? Yeah...\Here.\If you like it, I can go steal some more.\You don't remember anything, Kohaku?\No...\Even yourma and pa?\I've forgotten them.\So there's such a thing? response:	It's not that.
context: Here.\If you like it, I can go steal some more.\You don't remember anything, Kohaku?\No...\Even yourma and pa?\I've forgotten them.\So there's such a thing?\It's not that. response:	I just feel like I might remember something frightening.
context: If you like it, I can go steal some more.\You don't remember anything, Kohaku?\No...\Even yourma and pa?\I've forgotten them.\So there's such a thing?\It's not that.\I just feel like I might remember something frightening. response:	There are things you don't want to remember.
context: You don't remember anything, Kohaku?\No...\Even yourma and pa?\I've forgotten them.\So there's such a thing?\It's not that.\I just feel like I might remember something frightening.\There are things you don't want to remember. response:	Even me.
context: No...\Even yourma and pa?\I've forgotten them.\So there's such a thing?\It's not that.\I just feel like I might remember something frightening.\There are things you don't want to remember.\Even me. response:	My ma, pa and brothers were attacked by robbers
context: Even yourma and pa?\I've forgotten them.\So there's such a thing?\It's not that.\I just feel like I might remember something frightening.\There are things you don't want to remember.\Even me.\My ma, pa and brothers were attacked by robbers response:	and all of them were...
context: I've forgotten them.\So there's such a thing?\It's not that.\I just feel like I might remember something frightening.\There are things you don't want to remember.\Even me.\My ma, pa and brothers were attacked by robbers\and all of them were... response:	I still have nightmares about it.
context: So there's such a thing?\It's not that.\I just feel like I might remember something frightening.\There are things you don't want to remember.\Even me.\My ma, pa and brothers were attacked by robbers\and all of them were...\I still have nightmares about it. response:	It's scary, huh?
context: It's not that.\I just feel like I might remember something frightening.\There are things you don't want to remember.\Even me.\My ma, pa and brothers were attacked by robbers\and all of them were...\I still have nightmares about it.\It's scary, huh? response:	Am I talking too much?
context: I just feel like I might remember something frightening.\There are things you don't want to remember.\Even me.\My ma, pa and brothers were attacked by robbers\and all of them were...\I still have nightmares about it.\It's scary, huh?\Am I talking too much? response:	I'm always told to be quiet, but...
context: There are things you don't want to remember.\Even me.\My ma, pa and brothers were attacked by robbers\and all of them were...\I still have nightmares about it.\It's scary, huh?\Am I talking too much?\I'm always told to be quiet, but... response:	It's okay.
context: Even me.\My ma, pa and brothers were attacked by robbers\and all of them were...\I still have nightmares about it.\It's scary, huh?\Am I talking too much?\I'm always told to be quiet, but...\It's okay. response:	Been awhile since I talked this much to someone.
context: My ma, pa and brothers were attacked by robbers\and all of them were...\I still have nightmares about it.\It's scary, huh?\Am I talking too much?\I'm always told to be quiet, but...\It's okay.\Been awhile since I talked this much to someone. response:	What's wrong?
context: and all of them were...\I still have nightmares about it.\It's scary, huh?\Am I talking too much?\I'm always told to be quiet, but...\It's okay.\Been awhile since I talked this much to someone.\What's wrong? response:	Be quiet!
context: I still have nightmares about it.\It's scary, huh?\Am I talking too much?\I'm always told to be quiet, but...\It's okay.\Been awhile since I talked this much to someone.\What's wrong?\Be quiet! response:	That woman...
context: It's scary, huh?\Am I talking too much?\I'm always told to be quiet, but...\It's okay.\Been awhile since I talked this much to someone.\What's wrong?\Be quiet!\That woman... response:	Herface... is the one face I can't get out of my mind.
context: Am I talking too much?\I'm always told to be quiet, but...\It's okay.\Been awhile since I talked this much to someone.\What's wrong?\Be quiet!\That woman...\Herface... is the one face I can't get out of my mind. response:	Wait, Kagura!
context: I'm always told to be quiet, but...\It's okay.\Been awhile since I talked this much to someone.\What's wrong?\Be quiet!\That woman...\Herface... is the one face I can't get out of my mind.\Wait, Kagura! response:	If he really remembers everything he did,
context: It's okay.\Been awhile since I talked this much to someone.\What's wrong?\Be quiet!\That woman...\Herface... is the one face I can't get out of my mind.\Wait, Kagura!\If he really remembers everything he did, response:	this kid will truly be destroyed.
context: Been awhile since I talked this much to someone.\What's wrong?\Be quiet!\That woman...\Herface... is the one face I can't get out of my mind.\Wait, Kagura!\If he really remembers everything he did,\this kid will truly be destroyed. response:	It's kindness to let him die without remembering a thing.
context: What's wrong?\Be quiet!\That woman...\Herface... is the one face I can't get out of my mind.\Wait, Kagura!\If he really remembers everything he did,\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing. response:	Kohaku... Are you inside? Kohaku!
context: Be quiet!\That woman...\Herface... is the one face I can't get out of my mind.\Wait, Kagura!\If he really remembers everything he did,\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku! response:	Naraku... such a lowly demon.
context: That woman...\Herface... is the one face I can't get out of my mind.\Wait, Kagura!\If he really remembers everything he did,\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon. response:	The likes of you will never lay a hand on me.
context: Herface... is the one face I can't get out of my mind.\Wait, Kagura!\If he really remembers everything he did,\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon.\The likes of you will never lay a hand on me. response:	How long do you intend to keep up this farce?
context: Wait, Kagura!\If he really remembers everything he did,\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon.\The likes of you will never lay a hand on me.\How long do you intend to keep up this farce? response:	The more you hack away,
context: If he really remembers everything he did,\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon.\The likes of you will never lay a hand on me.\How long do you intend to keep up this farce?\The more you hack away, response:	the more you will be surrounded by parts of my body.
context: this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon.\The likes of you will never lay a hand on me.\How long do you intend to keep up this farce?\The more you hack away,\the more you will be surrounded by parts of my body. response:	Then...
context: It's kindness to let him die without remembering a thing.\Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon.\The likes of you will never lay a hand on me.\How long do you intend to keep up this farce?\The more you hack away,\the more you will be surrounded by parts of my body.\Then... response:	I knew it!
context: Kohaku... Are you inside? Kohaku!\Naraku... such a lowly demon.\The likes of you will never lay a hand on me.\How long do you intend to keep up this farce?\The more you hack away,\the more you will be surrounded by parts of my body.\Then...\I knew it! response:	Naraku is trying to absorb Sesshomaru into his own body.
context: Naraku... such a lowly demon.\The likes of you will never lay a hand on me.\How long do you intend to keep up this farce?\The more you hack away,\the more you will be surrounded by parts of my body.\Then...\I knew it!\Naraku is trying to absorb Sesshomaru into his own body. response:	What's going on?!
context: The likes of you will never lay a hand on me.\How long do you intend to keep up this farce?\The more you hack away,\the more you will be surrounded by parts of my body.\Then...\I knew it!\Naraku is trying to absorb Sesshomaru into his own body.\What's going on?! response:	Sesshomaru's scent?
context: How long do you intend to keep up this farce?\The more you hack away,\the more you will be surrounded by parts of my body.\Then...\I knew it!\Naraku is trying to absorb Sesshomaru into his own body.\What's going on?!\Sesshomaru's scent? response:	But right here, it suddenly ceases like it's been erased.
context: The more you hack away,\the more you will be surrounded by parts of my body.\Then...\I knew it!\Naraku is trying to absorb Sesshomaru into his own body.\What's going on?!\Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased. response:	Could this be Naraku's castle?
context: the more you will be surrounded by parts of my body.\Then...\I knew it!\Naraku is trying to absorb Sesshomaru into his own body.\What's going on?!\Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle? response:	Miasma and toxic fumes... this has gotta be it!
context: Then...\I knew it!\Naraku is trying to absorb Sesshomaru into his own body.\What's going on?!\Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it! response:	This is Naraku's barrier!
context: I knew it!\Naraku is trying to absorb Sesshomaru into his own body.\What's going on?!\Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier! response:	Go for it!
context: Naraku is trying to absorb Sesshomaru into his own body.\What's going on?!\Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Go for it! response:	Tetsusaiga!
context: What's going on?!\Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Go for it!\Tetsusaiga! response:	I can see it! Naraku's castle!
context: Sesshomaru's scent?\But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Go for it!\Tetsusaiga!\I can see it! Naraku's castle! response:	Who is it? Someone is breaking through my barrier!
context: But right here, it suddenly ceases like it's been erased.\Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Go for it!\Tetsusaiga!\I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier! response:	Kagura, go!
context: Could this be Naraku's castle?\Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Go for it!\Tetsusaiga!\I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier!\Kagura, go! response:	An unexpected guest, Naraku?
context: Miasma and toxic fumes... this has gotta be it!\This is Naraku's barrier!\Go for it!\Tetsusaiga!\I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier!\Kagura, go!\An unexpected guest, Naraku? response:	Too bad forhim... coming to visit you...
context: This is Naraku's barrier!\Go for it!\Tetsusaiga!\I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier!\Kagura, go!\An unexpected guest, Naraku?\Too bad forhim... coming to visit you... response:	Only to see you... dead!
context: Go for it!\Tetsusaiga!\I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier!\Kagura, go!\An unexpected guest, Naraku?\Too bad forhim... coming to visit you...\Only to see you... dead! response:	Just a little more...
context: Tetsusaiga!\I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier!\Kagura, go!\An unexpected guest, Naraku?\Too bad forhim... coming to visit you...\Only to see you... dead!\Just a little more... response:	Soon you will be absorbed
context: I can see it! Naraku's castle!\Who is it? Someone is breaking through my barrier!\Kagura, go!\An unexpected guest, Naraku?\Too bad forhim... coming to visit you...\Only to see you... dead!\Just a little more...\Soon you will be absorbed response:	and become one with my flesh!
context: Who is it? Someone is breaking through my barrier!\Kagura, go!\An unexpected guest, Naraku?\Too bad forhim... coming to visit you...\Only to see you... dead!\Just a little more...\Soon you will be absorbed\and become one with my flesh! response:	Huh?! Inuyasha!
context: Kagura, go!\An unexpected guest, Naraku?\Too bad forhim... coming to visit you...\Only to see you... dead!\Just a little more...\Soon you will be absorbed\and become one with my flesh!\Huh?! Inuyasha! response:	Tetsusaiga's blade... is red!
context: An unexpected guest, Naraku?\Too bad forhim... coming to visit you...\Only to see you... dead!\Just a little more...\Soon you will be absorbed\and become one with my flesh!\Huh?! Inuyasha!\Tetsusaiga's blade... is red! response:	Kagura!
context: Too bad forhim... coming to visit you...\Only to see you... dead!\Just a little more...\Soon you will be absorbed\and become one with my flesh!\Huh?! Inuyasha!\Tetsusaiga's blade... is red!\Kagura! response:	So you're the one who broke the barrier, Inuyasha?
context: Only to see you... dead!\Just a little more...\Soon you will be absorbed\and become one with my flesh!\Huh?! Inuyasha!\Tetsusaiga's blade... is red!\Kagura!\So you're the one who broke the barrier, Inuyasha? response:	As you can see!
context: Just a little more...\Soon you will be absorbed\and become one with my flesh!\Huh?! Inuyasha!\Tetsusaiga's blade... is red!\Kagura!\So you're the one who broke the barrier, Inuyasha?\As you can see! response:	Kagura, you're no match forme any longer.
context: Soon you will be absorbed\and become one with my flesh!\Huh?! Inuyasha!\Tetsusaiga's blade... is red!\Kagura!\So you're the one who broke the barrier, Inuyasha?\As you can see!\Kagura, you're no match forme any longer. response:	So if you understand, move away!
context: and become one with my flesh!\Huh?! Inuyasha!\Tetsusaiga's blade... is red!\Kagura!\So you're the one who broke the barrier, Inuyasha?\As you can see!\Kagura, you're no match forme any longer.\So if you understand, move away! response:	Otherwise, I'll kill you!
context: Huh?! Inuyasha!\Tetsusaiga's blade... is red!\Kagura!\So you're the one who broke the barrier, Inuyasha?\As you can see!\Kagura, you're no match forme any longer.\So if you understand, move away!\Otherwise, I'll kill you! response:	Damn! The Saimyosho...
context: Tetsusaiga's blade... is red!\Kagura!\So you're the one who broke the barrier, Inuyasha?\As you can see!\Kagura, you're no match forme any longer.\So if you understand, move away!\Otherwise, I'll kill you!\Damn! The Saimyosho... response:	I can't move. They're watching me.
context: Kagura!\So you're the one who broke the barrier, Inuyasha?\As you can see!\Kagura, you're no match forme any longer.\So if you understand, move away!\Otherwise, I'll kill you!\Damn! The Saimyosho...\I can't move. They're watching me. response:	I guess I have to put on an act of fighting.
context: So you're the one who broke the barrier, Inuyasha?\As you can see!\Kagura, you're no match forme any longer.\So if you understand, move away!\Otherwise, I'll kill you!\Damn! The Saimyosho...\I can't move. They're watching me.\I guess I have to put on an act of fighting. response:	What's going on?!
context: As you can see!\Kagura, you're no match forme any longer.\So if you understand, move away!\Otherwise, I'll kill you!\Damn! The Saimyosho...\I can't move. They're watching me.\I guess I have to put on an act of fighting.\What's going on?! response:	Kagura's wind has no power.
context: Kagura, you're no match forme any longer.\So if you understand, move away!\Otherwise, I'll kill you!\Damn! The Saimyosho...\I can't move. They're watching me.\I guess I have to put on an act of fighting.\What's going on?!\Kagura's wind has no power. response:	Are you... serious about fighting me?!
context: So if you understand, move away!\Otherwise, I'll kill you!\Damn! The Saimyosho...\I can't move. They're watching me.\I guess I have to put on an act of fighting.\What's going on?!\Kagura's wind has no power.\Are you... serious about fighting me?! response:	Is this all you've got?!
context: Otherwise, I'll kill you!\Damn! The Saimyosho...\I can't move. They're watching me.\I guess I have to put on an act of fighting.\What's going on?!\Kagura's wind has no power.\Are you... serious about fighting me?!\Is this all you've got?! response:	Damn! They've seen through me that I'm not fighting seriously.
context: Damn! The Saimyosho...\I can't move. They're watching me.\I guess I have to put on an act of fighting.\What's going on?!\Kagura's wind has no power.\Are you... serious about fighting me?!\Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously. response:	I guess I have to get real.
context: I can't move. They're watching me.\I guess I have to put on an act of fighting.\What's going on?!\Kagura's wind has no power.\Are you... serious about fighting me?!\Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real. response:	Just in time. Let them handle it.
context: I guess I have to put on an act of fighting.\What's going on?!\Kagura's wind has no power.\Are you... serious about fighting me?!\Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real.\Just in time. Let them handle it. response:	Damn, small fry!
context: What's going on?!\Kagura's wind has no power.\Are you... serious about fighting me?!\Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real.\Just in time. Let them handle it.\Damn, small fry! response:	Wind Scar!
context: Kagura's wind has no power.\Are you... serious about fighting me?!\Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real.\Just in time. Let them handle it.\Damn, small fry!\Wind Scar! response:	Why you!
context: Are you... serious about fighting me?!\Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real.\Just in time. Let them handle it.\Damn, small fry!\Wind Scar!\Why you! response:	I think I overestimated Sesshomaru.
context: Is this all you've got?!\Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real.\Just in time. Let them handle it.\Damn, small fry!\Wind Scar!\Why you!\I think I overestimated Sesshomaru. response:	Move! Why you!
context: Damn! They've seen through me that I'm not fighting seriously.\I guess I have to get real.\Just in time. Let them handle it.\Damn, small fry!\Wind Scar!\Why you!\I think I overestimated Sesshomaru.\Move! Why you! response:	Wind Scar!
context: I guess I have to get real.\Just in time. Let them handle it.\Damn, small fry!\Wind Scar!\Why you!\I think I overestimated Sesshomaru.\Move! Why you!\Wind Scar! response:	Move! Move! Move!
context: Just in time. Let them handle it.\Damn, small fry!\Wind Scar!\Why you!\I think I overestimated Sesshomaru.\Move! Why you!\Wind Scar!\Move! Move! Move! response:	You're in my way!
context: Damn, small fry!\Wind Scar!\Why you!\I think I overestimated Sesshomaru.\Move! Why you!\Wind Scar!\Move! Move! Move!\You're in my way! response:	But... with that sword, Inuyasha could probably defeat Naraku now.
context: Wind Scar!\Why you!\I think I overestimated Sesshomaru.\Move! Why you!\Wind Scar!\Move! Move! Move!\You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now. response:	Then I'll be free...
context: Why you!\I think I overestimated Sesshomaru.\Move! Why you!\Wind Scar!\Move! Move! Move!\You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free... response:	I miscalculated...
context: I think I overestimated Sesshomaru.\Move! Why you!\Wind Scar!\Move! Move! Move!\You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free...\I miscalculated... response:	I didn'texpect Inuyasha to break through and come here.
context: Move! Why you!\Wind Scar!\Move! Move! Move!\You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free...\I miscalculated...\I didn'texpect Inuyasha to break through and come here. response:	I found you, Naraku! I will kill you for sure today!
context: Wind Scar!\Move! Move! Move!\You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free...\I miscalculated...\I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today! response:	Such a fool!
context: Move! Move! Move!\You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free...\I miscalculated...\I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today!\Such a fool! response:	I've completely absorbed Sesshomaru's demon power into my body.
context: You're in my way!\But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free...\I miscalculated...\I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today!\Such a fool!\I've completely absorbed Sesshomaru's demon power into my body. response:	You don't seriously think you can beat me now?
context: But... with that sword, Inuyasha could probably defeat Naraku now.\Then I'll be free...\I miscalculated...\I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today!\Such a fool!\I've completely absorbed Sesshomaru's demon power into my body.\You don't seriously think you can beat me now? response:	Sesshomaru?!
context: Then I'll be free...\I miscalculated...\I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today!\Such a fool!\I've completely absorbed Sesshomaru's demon power into my body.\You don't seriously think you can beat me now?\Sesshomaru?! response:	I don't know whatgood it'll be,
context: I miscalculated...\I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today!\Such a fool!\I've completely absorbed Sesshomaru's demon power into my body.\You don't seriously think you can beat me now?\Sesshomaru?!\I don't know whatgood it'll be, response:	but I'll make you part of my flesh, too!
context: I didn'texpect Inuyasha to break through and come here.\I found you, Naraku! I will kill you for sure today!\Such a fool!\I've completely absorbed Sesshomaru's demon power into my body.\You don't seriously think you can beat me now?\Sesshomaru?!\I don't know whatgood it'll be,\but I'll make you part of my flesh, too! response:	Next on Inuyasha: Vanishing Point; Naraku Disappears
context: I found you, Naraku! I will kill you for sure today!\Such a fool!\I've completely absorbed Sesshomaru's demon power into my body.\You don't seriously think you can beat me now?\Sesshomaru?!\I don't know whatgood it'll be,\but I'll make you part of my flesh, too!\Next on Inuyasha: Vanishing Point; Naraku Disappears response:	Kohaku! Kill Rin!
