context: It's inexcusable to use music for evil. response:	I can't forgive anybody who tries to take away a man's right to love.
context: Music club?\Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now.\Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade... response:	Yusuke Amade!
context: Oh yeah, dry cleaning money...\Sorry, I don't have any money with me right now.\Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade...\Yusuke Amade! response:	See ya!
context: Sorry, I don't have any money with me right now.\Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade...\Yusuke Amade!\See ya! response:	So that was the Yusuke Amade from that CD.
context: Will you call me at this number later?\Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade...\Yusuke Amade!\See ya!\So that was the Yusuke Amade from that CD. response:	That's not important, Usagi!
context: Pianist Yusuke Amade Will you call me at this number later?\Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade...\Yusuke Amade!\See ya!\So that was the Yusuke Amade from that CD.\That's not important, Usagi! response:	The thing that's after him is a monster.
context: Pianist Yusuke Amade\Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade...\Yusuke Amade!\See ya!\So that was the Yusuke Amade from that CD.\That's not important, Usagi!\The thing that's after him is a monster. response:	We can't leave him alone.
context: Pianist Yusuke Amade Yusuke Amade...\Yusuke Amade...\Yusuke Amade!\See ya!\So that was the Yusuke Amade from that CD.\That's not important, Usagi!\The thing that's after him is a monster.\We can't leave him alone. response:	Yeah, it's a chance to understand the world as a grown-up.
context: Yusuke Amade...\Yusuke Amade!\See ya!\So that was the Yusuke Amade from that CD.\That's not important, Usagi!\The thing that's after him is a monster.\We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up. response:	We can't not do anything.
context: Yusuke Amade!\See ya!\So that was the Yusuke Amade from that CD.\That's not important, Usagi!\The thing that's after him is a monster.\We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything. response:	Does she really understand?
context: See ya!\So that was the Yusuke Amade from that CD.\That's not important, Usagi!\The thing that's after him is a monster.\We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything.\Does she really understand? response:	You idiot! You haven't gotten the tape back yet?
context: So that was the Yusuke Amade from that CD.\That's not important, Usagi!\The thing that's after him is a monster.\We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything.\Does she really understand?\You idiot! You haven't gotten the tape back yet? response:	I'm sorry, I almost had him, but he got away.
context: That's not important, Usagi!\The thing that's after him is a monster.\We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything.\Does she really understand?\You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away. response:	Stop giving me excuses.
context: The thing that's after him is a monster.\We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything.\Does she really understand?\You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away.\Stop giving me excuses. response:	Yes, Sir.
context: We can't leave him alone.\Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything.\Does she really understand?\You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away.\Stop giving me excuses.\Yes, Sir. response:	Anyway, proceed as planned. Do you understand?
context: Yeah, it's a chance to understand the world as a grown-up.\We can't not do anything.\Does she really understand?\You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away.\Stop giving me excuses.\Yes, Sir.\Anyway, proceed as planned. Do you understand? response:	If the tape is not returned, consider your life to be over.
context: We can't not do anything.\Does she really understand?\You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away.\Stop giving me excuses.\Yes, Sir.\Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over. response:	Yes, Sir.
context: Does she really understand?\You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away.\Stop giving me excuses.\Yes, Sir.\Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over.\Yes, Sir. response:	So this is the music club?
context: You idiot! You haven't gotten the tape back yet?\I'm sorry, I almost had him, but he got away.\Stop giving me excuses.\Yes, Sir.\Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over.\Yes, Sir.\So this is the music club? response:	Won't they refuse to let children in?
context: I'm sorry, I almost had him, but he got away.\Stop giving me excuses.\Yes, Sir.\Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over.\Yes, Sir.\So this is the music club?\Won't they refuse to let children in? response:	What are you talking about?
context: Stop giving me excuses.\Yes, Sir.\Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over.\Yes, Sir.\So this is the music club?\Won't they refuse to let children in?\What are you talking about? response:	Moon Power, change me into a cool grown-up musician.
context: Yes, Sir.\Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over.\Yes, Sir.\So this is the music club?\Won't they refuse to let children in?\What are you talking about?\Moon Power, change me into a cool grown-up musician. response:	So? Don't I look like an adult now?
context: Anyway, proceed as planned. Do you understand?\If the tape is not returned, consider your life to be over.\Yes, Sir.\So this is the music club?\Won't they refuse to let children in?\What are you talking about?\Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now? response:	But, they may not let cats in.
context: If the tape is not returned, consider your life to be over.\Yes, Sir.\So this is the music club?\Won't they refuse to let children in?\What are you talking about?\Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now?\But, they may not let cats in. response:	There he is!
context: Yes, Sir.\So this is the music club?\Won't they refuse to let children in?\What are you talking about?\Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now?\But, they may not let cats in.\There he is! response:	No, you have to stay still!
context: So this is the music club?\Won't they refuse to let children in?\What are you talking about?\Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now?\But, they may not let cats in.\There he is!\No, you have to stay still! response:	You're supposed to be an accessory.
context: Won't they refuse to let children in?\What are you talking about?\Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now?\But, they may not let cats in.\There he is!\No, you have to stay still!\You're supposed to be an accessory. response:	Have you decided what you would like?
context: What are you talking about?\Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now?\But, they may not let cats in.\There he is!\No, you have to stay still!\You're supposed to be an accessory.\Have you decided what you would like? response:	Um, a cream soda.
context: Moon Power, change me into a cool grown-up musician.\So? Don't I look like an adult now?\But, they may not let cats in.\There he is!\No, you have to stay still!\You're supposed to be an accessory.\Have you decided what you would like?\Um, a cream soda. response:	What?! I'm sorry, we don't have that here.
context: So? Don't I look like an adult now?\But, they may not let cats in.\There he is!\No, you have to stay still!\You're supposed to be an accessory.\Have you decided what you would like?\Um, a cream soda.\What?! I'm sorry, we don't have that here. response:	Oh, nothing then.
context: But, they may not let cats in.\There he is!\No, you have to stay still!\You're supposed to be an accessory.\Have you decided what you would like?\Um, a cream soda.\What?! I'm sorry, we don't have that here.\Oh, nothing then. response:	That old guy looks pretty cool when he is playing the piano.
context: There he is!\No, you have to stay still!\You're supposed to be an accessory.\Have you decided what you would like?\Um, a cream soda.\What?! I'm sorry, we don't have that here.\Oh, nothing then.\That old guy looks pretty cool when he is playing the piano. response:	Usagi!
context: No, you have to stay still!\You're supposed to be an accessory.\Have you decided what you would like?\Um, a cream soda.\What?! I'm sorry, we don't have that here.\Oh, nothing then.\That old guy looks pretty cool when he is playing the piano.\Usagi! response:	He's gone!
context: You're supposed to be an accessory.\Have you decided what you would like?\Um, a cream soda.\What?! I'm sorry, we don't have that here.\Oh, nothing then.\That old guy looks pretty cool when he is playing the piano.\Usagi!\He's gone! response:	Oh, Mr. Amade, I'll give you a ride.
context: Have you decided what you would like?\Um, a cream soda.\What?! I'm sorry, we don't have that here.\Oh, nothing then.\That old guy looks pretty cool when he is playing the piano.\Usagi!\He's gone!\Oh, Mr. Amade, I'll give you a ride. response:	Just meet me in the parking lot. The car is already running.
context: Um, a cream soda.\What?! I'm sorry, we don't have that here.\Oh, nothing then.\That old guy looks pretty cool when he is playing the piano.\Usagi!\He's gone!\Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running. response:	I wrote that song just for her...
context: What?! I'm sorry, we don't have that here.\Oh, nothing then.\That old guy looks pretty cool when he is playing the piano.\Usagi!\He's gone!\Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running.\I wrote that song just for her... response:	I wonder if she's just a bit dense.
context: Oh, nothing then.\That old guy looks pretty cool when he is playing the piano.\Usagi!\He's gone!\Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running.\I wrote that song just for her...\I wonder if she's just a bit dense. response:	It's that old guy's voice!
context: That old guy looks pretty cool when he is playing the piano.\Usagi!\He's gone!\Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running.\I wrote that song just for her...\I wonder if she's just a bit dense.\It's that old guy's voice! response:	Hurry! It's that old guy's voice!
context: Usagi!\He's gone!\Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running.\I wrote that song just for her...\I wonder if she's just a bit dense.\It's that old guy's voice!\Hurry! It's that old guy's voice! response:	Hurry! Okay.
context: He's gone!\Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running.\I wrote that song just for her...\I wonder if she's just a bit dense.\It's that old guy's voice!\Hurry! It's that old guy's voice!\Hurry! Okay. response:	Okay.
context: Oh, Mr. Amade, I'll give you a ride.\Just meet me in the parking lot. The car is already running.\I wrote that song just for her...\I wonder if she's just a bit dense.\It's that old guy's voice!\Hurry! It's that old guy's voice!\Hurry! Okay.\Okay. response:	I'm going to kill you for wasting my time.
context: Just meet me in the parking lot. The car is already running.\I wrote that song just for her...\I wonder if she's just a bit dense.\It's that old guy's voice!\Hurry! It's that old guy's voice!\Hurry! Okay.\Okay.\I'm going to kill you for wasting my time. response:	Mister!
context: I wrote that song just for her...\I wonder if she's just a bit dense.\It's that old guy's voice!\Hurry! It's that old guy's voice!\Hurry! Okay.\Okay.\I'm going to kill you for wasting my time.\Mister! response:	Mister? Are you okay?
context: I wonder if she's just a bit dense.\It's that old guy's voice!\Hurry! It's that old guy's voice!\Hurry! Okay.\Okay.\I'm going to kill you for wasting my time.\Mister!\Mister? Are you okay? response:	My tape... Give it back.
context: It's that old guy's voice!\Hurry! It's that old guy's voice!\Hurry! Okay.\Okay.\I'm going to kill you for wasting my time.\Mister!\Mister? Are you okay?\My tape... Give it back. response:	Tape?
context: Hurry! It's that old guy's voice!\Hurry! Okay.\Okay.\I'm going to kill you for wasting my time.\Mister!\Mister? Are you okay?\My tape... Give it back.\Tape? response:	A Waltz for Akiko.
context: Hurry! Okay.\Okay.\I'm going to kill you for wasting my time.\Mister!\Mister? Are you okay?\My tape... Give it back.\Tape?\A Waltz for Akiko. response:	Usagi, the monster is trying to do something terrible with that tape!
context: Okay.\I'm going to kill you for wasting my time.\Mister!\Mister? Are you okay?\My tape... Give it back.\Tape?\A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape! response:	Hey mister, you're driving like a maniac!
context: I'm going to kill you for wasting my time.\Mister!\Mister? Are you okay?\My tape... Give it back.\Tape?\A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac! response:	I won't let anyone have that tape! Not anyone!
context: Mister!\Mister? Are you okay?\My tape... Give it back.\Tape?\A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone! response:	Even if it's a monster.
context: Mister? Are you okay?\My tape... Give it back.\Tape?\A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone!\Even if it's a monster. response:	You're awfully angry...
context: My tape... Give it back.\Tape?\A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone!\Even if it's a monster.\You're awfully angry... response:	That wasn't just an ordinary demo tape.
context: Tape?\A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone!\Even if it's a monster.\You're awfully angry...\That wasn't just an ordinary demo tape. response:	Because you made it for Ms. Akiko, right?
context: A Waltz for Akiko.\Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone!\Even if it's a monster.\You're awfully angry...\That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right? response:	How did you know that?
context: Usagi, the monster is trying to do something terrible with that tape!\Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone!\Even if it's a monster.\You're awfully angry...\That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right?\How did you know that? response:	I might not look it, but I'm pretty mature too.
context: Hey mister, you're driving like a maniac!\I won't let anyone have that tape! Not anyone!\Even if it's a monster.\You're awfully angry...\That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right?\How did you know that?\I might not look it, but I'm pretty mature too. response:	Of course, I'd notice.
context: I won't let anyone have that tape! Not anyone!\Even if it's a monster.\You're awfully angry...\That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right?\How did you know that?\I might not look it, but I'm pretty mature too.\Of course, I'd notice. response:	It's only a crush. I know it must be funny at this age.
context: Even if it's a monster.\You're awfully angry...\That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right?\How did you know that?\I might not look it, but I'm pretty mature too.\Of course, I'd notice.\It's only a crush. I know it must be funny at this age. response:	Age has nothing to do with it.
context: You're awfully angry...\That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right?\How did you know that?\I might not look it, but I'm pretty mature too.\Of course, I'd notice.\It's only a crush. I know it must be funny at this age.\Age has nothing to do with it. response:	Even an old guy like you has the right to be in love.
context: That wasn't just an ordinary demo tape.\Because you made it for Ms. Akiko, right?\How did you know that?\I might not look it, but I'm pretty mature too.\Of course, I'd notice.\It's only a crush. I know it must be funny at this age.\Age has nothing to do with it.\Even an old guy like you has the right to be in love. response:	Oh, thanks.
context: Because you made it for Ms. Akiko, right?\How did you know that?\I might not look it, but I'm pretty mature too.\Of course, I'd notice.\It's only a crush. I know it must be funny at this age.\Age has nothing to do with it.\Even an old guy like you has the right to be in love.\Oh, thanks. response:	Anyway, why are you following the monster with me?
context: How did you know that?\I might not look it, but I'm pretty mature too.\Of course, I'd notice.\It's only a crush. I know it must be funny at this age.\Age has nothing to do with it.\Even an old guy like you has the right to be in love.\Oh, thanks.\Anyway, why are you following the monster with me? response:	I'm on the side of those in love, on the side of justice.
context: I might not look it, but I'm pretty mature too.\Of course, I'd notice.\It's only a crush. I know it must be funny at this age.\Age has nothing to do with it.\Even an old guy like you has the right to be in love.\Oh, thanks.\Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice. response:	Oh, I get it.
context: Of course, I'd notice.\It's only a crush. I know it must be funny at this age.\Age has nothing to do with it.\Even an old guy like you has the right to be in love.\Oh, thanks.\Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice.\Oh, I get it. response:	Over there! There it is!
context: It's only a crush. I know it must be funny at this age.\Age has nothing to do with it.\Even an old guy like you has the right to be in love.\Oh, thanks.\Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice.\Oh, I get it.\Over there! There it is! response:	The rain has stopped. You can see it with the lights from the city.
context: Age has nothing to do with it.\Even an old guy like you has the right to be in love.\Oh, thanks.\Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice.\Oh, I get it.\Over there! There it is!\The rain has stopped. You can see it with the lights from the city. response:	Okay.
context: Even an old guy like you has the right to be in love.\Oh, thanks.\Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice.\Oh, I get it.\Over there! There it is!\The rain has stopped. You can see it with the lights from the city.\Okay. response:	Hey, little girl. Are you sure it landed here?
context: Oh, thanks.\Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice.\Oh, I get it.\Over there! There it is!\The rain has stopped. You can see it with the lights from the city.\Okay.\Hey, little girl. Are you sure it landed here? response:	Yes, I'm sure of it.
context: Anyway, why are you following the monster with me?\I'm on the side of those in love, on the side of justice.\Oh, I get it.\Over there! There it is!\The rain has stopped. You can see it with the lights from the city.\Okay.\Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it. response:	Jam Records
context: I'm on the side of those in love, on the side of justice.\Oh, I get it.\Over there! There it is!\The rain has stopped. You can see it with the lights from the city.\Okay.\Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it.\Jam Records response:	Oh no, Ms. Akiko and the others are inside.
context: Oh, I get it.\Over there! There it is!\The rain has stopped. You can see it with the lights from the city.\Okay.\Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it.\Jam Records\Oh no, Ms. Akiko and the others are inside. response:	What?
context: Over there! There it is!\The rain has stopped. You can see it with the lights from the city.\Okay.\Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it.\Jam Records\Oh no, Ms. Akiko and the others are inside.\What? response:	I'm going to have you sleep for a while.
context: The rain has stopped. You can see it with the lights from the city.\Okay.\Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it.\Jam Records\Oh no, Ms. Akiko and the others are inside.\What?\I'm going to have you sleep for a while. response:	When you wake up and start recording again,
context: Okay.\Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it.\Jam Records\Oh no, Ms. Akiko and the others are inside.\What?\I'm going to have you sleep for a while.\When you wake up and start recording again, response:	all the music will contain subliminal high-frequency waves.
context: Hey, little girl. Are you sure it landed here?\Yes, I'm sure of it.\Jam Records\Oh no, Ms. Akiko and the others are inside.\What?\I'm going to have you sleep for a while.\When you wake up and start recording again,\all the music will contain subliminal high-frequency waves. response:	Ms. Akiko!
context: Yes, I'm sure of it.\Jam Records\Oh no, Ms. Akiko and the others are inside.\What?\I'm going to have you sleep for a while.\When you wake up and start recording again,\all the music will contain subliminal high-frequency waves.\Ms. Akiko! response:	Stop right there.
context: Jam Records\Oh no, Ms. Akiko and the others are inside.\What?\I'm going to have you sleep for a while.\When you wake up and start recording again,\all the music will contain subliminal high-frequency waves.\Ms. Akiko!\Stop right there. response:	You!
context: Oh no, Ms. Akiko and the others are inside.\What?\I'm going to have you sleep for a while.\When you wake up and start recording again,\all the music will contain subliminal high-frequency waves.\Ms. Akiko!\Stop right there.\You! response:	Give me back the tape.
context: What?\I'm going to have you sleep for a while.\When you wake up and start recording again,\all the music will contain subliminal high-frequency waves.\Ms. Akiko!\Stop right there.\You!\Give me back the tape. response:	What?
context: I'm going to have you sleep for a while.\When you wake up and start recording again,\all the music will contain subliminal high-frequency waves.\Ms. Akiko!\Stop right there.\You!\Give me back the tape.\What? response:	Huh? What?
context: When you wake up and start recording again,\all the music will contain subliminal high-frequency waves.\Ms. Akiko!\Stop right there.\You!\Give me back the tape.\What?\Huh? What? response:	Huh? That isn't my tape.
context: all the music will contain subliminal high-frequency waves.\Ms. Akiko!\Stop right there.\You!\Give me back the tape.\What?\Huh? What?\Huh? That isn't my tape. response:	That isn't my tape.
context: Ms. Akiko!\Stop right there.\You!\Give me back the tape.\What?\Huh? What?\Huh? That isn't my tape.\That isn't my tape. response:	What?
context: Stop right there.\You!\Give me back the tape.\What?\Huh? What?\Huh? That isn't my tape.\That isn't my tape.\What? response:	Give me back the tape!
context: You!\Give me back the tape.\What?\Huh? What?\Huh? That isn't my tape.\That isn't my tape.\What?\Give me back the tape! response:	Are you okay?
context: Give me back the tape.\What?\Huh? What?\Huh? That isn't my tape.\That isn't my tape.\What?\Give me back the tape!\Are you okay? response:	I'm not okay.
context: What?\Huh? What?\Huh? That isn't my tape.\That isn't my tape.\What?\Give me back the tape!\Are you okay?\I'm not okay. response:	If you want her to live, give me the tape.
context: Huh? What?\Huh? That isn't my tape.\That isn't my tape.\What?\Give me back the tape!\Are you okay?\I'm not okay.\If you want her to live, give me the tape. response:	Ms. Akiko!
context: Huh? That isn't my tape.\That isn't my tape.\What?\Give me back the tape!\Are you okay?\I'm not okay.\If you want her to live, give me the tape.\Ms. Akiko! response:	That's so mean!
context: That isn't my tape.\What?\Give me back the tape!\Are you okay?\I'm not okay.\If you want her to live, give me the tape.\Ms. Akiko!\That's so mean! response:	Hurry up!
context: What?\Give me back the tape!\Are you okay?\I'm not okay.\If you want her to live, give me the tape.\Ms. Akiko!\That's so mean!\Hurry up! response:	Yusuke.
context: Give me back the tape!\Are you okay?\I'm not okay.\If you want her to live, give me the tape.\Ms. Akiko!\That's so mean!\Hurry up!\Yusuke. response:	All right...
context: Are you okay?\I'm not okay.\If you want her to live, give me the tape.\Ms. Akiko!\That's so mean!\Hurry up!\Yusuke.\All right... response:	Akiko!
context: I'm not okay.\If you want her to live, give me the tape.\Ms. Akiko!\That's so mean!\Hurry up!\Yusuke.\All right...\Akiko! response:	This is the end. Give it up.
context: If you want her to live, give me the tape.\Ms. Akiko!\That's so mean!\Hurry up!\Yusuke.\All right...\Akiko!\This is the end. Give it up. response:	Usagi!
context: Ms. Akiko!\That's so mean!\Hurry up!\Yusuke.\All right...\Akiko!\This is the end. Give it up.\Usagi! response:	Okay!
context: That's so mean!\Hurry up!\Yusuke.\All right...\Akiko!\This is the end. Give it up.\Usagi!\Okay! response:	Moon Prism Power Makeup!
context: Hurry up!\Yusuke.\All right...\Akiko!\This is the end. Give it up.\Usagi!\Okay!\Moon Prism Power Makeup! response:	Concert Hall
context: Yusuke.\All right...\Akiko!\This is the end. Give it up.\Usagi!\Okay!\Moon Prism Power Makeup!\Concert Hall response:	Sailor warrior of love and justice,
context: All right...\Akiko!\This is the end. Give it up.\Usagi!\Okay!\Moon Prism Power Makeup!\Concert Hall\Sailor warrior of love and justice, response:	Sailor Moon.
context: Akiko!\This is the end. Give it up.\Usagi!\Okay!\Moon Prism Power Makeup!\Concert Hall\Sailor warrior of love and justice,\Sailor Moon. response:	I won't allow you to use music for evil.
context: This is the end. Give it up.\Usagi!\Okay!\Moon Prism Power Makeup!\Concert Hall\Sailor warrior of love and justice,\Sailor Moon.\I won't allow you to use music for evil. response:	Even the father of music Haydn is mad, you know!
context: Usagi!\Okay!\Moon Prism Power Makeup!\Concert Hall\Sailor warrior of love and justice,\Sailor Moon.\I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know! response:	The father of music is Bach!
context: Okay!\Moon Prism Power Makeup!\Concert Hall\Sailor warrior of love and justice,\Sailor Moon.\I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know!\The father of music is Bach! response:	If you hadn't said anything, they wouldn't have noticed.
context: Moon Prism Power Makeup!\Concert Hall\Sailor warrior of love and justice,\Sailor Moon.\I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know!\The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed. response:	Anyway...
context: Concert Hall\Sailor warrior of love and justice,\Sailor Moon.\I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know!\The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed.\Anyway... response:	In the name of the moon, I will punish you.
context: Sailor warrior of love and justice,\Sailor Moon.\I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know!\The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed.\Anyway...\In the name of the moon, I will punish you. response:	This is bad! It's some kind of high-frequency sound wave!
context: Sailor Moon.\I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know!\The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed.\Anyway...\In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave! response:	High-frequency sound wave?
context: I won't allow you to use music for evil.\Even the father of music Haydn is mad, you know!\The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed.\Anyway...\In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave? response:	I get it. Sound, right?
context: Even the father of music Haydn is mad, you know!\The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed.\Anyway...\In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave?\I get it. Sound, right? response:	So, how does it feel to get attacked by your own amplified sound waves?
context: The father of music is Bach!\If you hadn't said anything, they wouldn't have noticed.\Anyway...\In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave?\I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves? response:	Usagi, now!
context: If you hadn't said anything, they wouldn't have noticed.\Anyway...\In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave?\I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now! response:	Moon Tiara Action!
context: Anyway...\In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave?\I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now!\Moon Tiara Action! response:	Jam Records
context: In the name of the moon, I will punish you.\This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave?\I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now!\Moon Tiara Action!\Jam Records response:	Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?
context: This is bad! It's some kind of high-frequency sound wave!\High-frequency sound wave?\I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now!\Moon Tiara Action!\Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand? response:	Yusuke, you are so stupid. What would you do if you hurt your hand?
context: High-frequency sound wave?\I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now!\Moon Tiara Action!\Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand? response:	Then you wouldn't be able to play the piano.
context: I get it. Sound, right?\So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now!\Moon Tiara Action!\Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano. response:	I know.
context: So, how does it feel to get attacked by your own amplified sound waves?\Usagi, now!\Moon Tiara Action!\Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano.\I know. response:	But if something had happened to you...
context: Usagi, now!\Moon Tiara Action!\Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano.\I know.\But if something had happened to you... response:	Then I really wouldn't have been able to play the piano.
context: Moon Tiara Action!\Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano.\I know.\But if something had happened to you...\Then I really wouldn't have been able to play the piano. response:	What?
context: Jam Records\Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano.\I know.\But if something had happened to you...\Then I really wouldn't have been able to play the piano.\What? response:	Yusuke...
