context: This token buys one meal. response:	And this slip of paper can be converted to 100 tokens.
context: Negative 2: My pilot, Ensign Ledo, is currently observing the festival.\The boy ain't in there?\I will now carry out the fishing mission by capturing marine life.\Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money? response:	Alright! Just for today, I'll pick up the tab.
context: The boy ain't in there?\I will now carry out the fishing mission by capturing marine life.\Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab. response:	You can think of this as an example.
context: I will now carry out the fishing mission by capturing marine life.\Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab.\You can think of this as an example. response:	Hey, waitress! Over here!
context: Hey! Take a net!\Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab.\You can think of this as an example.\Hey, waitress! Over here! response:	What do you wanna eat?
context: Yo, Ledo! You did a great job sinking, y'know?\No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab.\You can think of this as an example.\Hey, waitress! Over here!\What do you wanna eat? response:	Seaweed bread.
context: No problem. Chamber is doing it for me.\Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab.\You can think of this as an example.\Hey, waitress! Over here!\What do you wanna eat?\Seaweed bread. response:	Waitress, two special dinners!
context: Aw, don't sulk like that. Hang out with me for a while.\I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab.\You can think of this as an example.\Hey, waitress! Over here!\What do you wanna eat?\Seaweed bread.\Waitress, two special dinners! response:	Got it! Two special dinners.
context: I hear you don't know how to spend your money?\Alright! Just for today, I'll pick up the tab.\You can think of this as an example.\Hey, waitress! Over here!\What do you wanna eat?\Seaweed bread.\Waitress, two special dinners!\Got it! Two special dinners. response:	What, are you homesick? You wanna go back to space?
context: Alright! Just for today, I'll pick up the tab.\You can think of this as an example.\Hey, waitress! Over here!\What do you wanna eat?\Seaweed bread.\Waitress, two special dinners!\Got it! Two special dinners.\What, are you homesick? You wanna go back to space? response:	But I have no map. I can't go back.
context: You can think of this as an example.\Hey, waitress! Over here!\What do you wanna eat?\Seaweed bread.\Waitress, two special dinners!\Got it! Two special dinners.\What, are you homesick? You wanna go back to space?\But I have no map. I can't go back. response:	I see. Then there's nothin' you can do.
context: Hey, waitress! Over here!\What do you wanna eat?\Seaweed bread.\Waitress, two special dinners!\Got it! Two special dinners.\What, are you homesick? You wanna go back to space?\But I have no map. I can't go back.\I see. Then there's nothin' you can do. response:	What do you think about life here?
context: What do you wanna eat?\Seaweed bread.\Waitress, two special dinners!\Got it! Two special dinners.\What, are you homesick? You wanna go back to space?\But I have no map. I can't go back.\I see. Then there's nothin' you can do.\What do you think about life here? response:	Not bad. But great distance between me and everyone.
context: Seaweed bread.\Waitress, two special dinners!\Got it! Two special dinners.\What, are you homesick? You wanna go back to space?\But I have no map. I can't go back.\I see. Then there's nothin' you can do.\What do you think about life here?\Not bad. But great distance between me and everyone. response:	Well, of course! It looks like all you eat is seaweed bread.
context: Waitress, two special dinners!\Got it! Two special dinners.\What, are you homesick? You wanna go back to space?\But I have no map. I can't go back.\I see. Then there's nothin' you can do.\What do you think about life here?\Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread. response:	People do not like seaweed bread?
context: Got it! Two special dinners.\What, are you homesick? You wanna go back to space?\But I have no map. I can't go back.\I see. Then there's nothin' you can do.\What do you think about life here?\Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread? response:	That's not it. People can't see you.
context: What, are you homesick? You wanna go back to space?\But I have no map. I can't go back.\I see. Then there's nothin' you can do.\What do you think about life here?\Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread?\That's not it. People can't see you. response:	People can not see me?
context: But I have no map. I can't go back.\I see. Then there's nothin' you can do.\What do you think about life here?\Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread?\That's not it. People can't see you.\People can not see me? response:	Look, isn't there somethin' you wanna do?
context: I see. Then there's nothin' you can do.\What do you think about life here?\Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread?\That's not it. People can't see you.\People can not see me?\Look, isn't there somethin' you wanna do? response:	I want to return to Alliance battlefront.
context: What do you think about life here?\Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread?\That's not it. People can't see you.\People can not see me?\Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront. response:	No, not that! I mean somethin' right now, on this ship!
context: Not bad. But great distance between me and everyone.\Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread?\That's not it. People can't see you.\People can not see me?\Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship! response:	I don't know.
context: Well, of course! It looks like all you eat is seaweed bread.\People do not like seaweed bread?\That's not it. People can't see you.\People can not see me?\Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship!\I don't know. response:	Is a guy to be trusted if he doesn't even know what he wants?
context: People do not like seaweed bread?\That's not it. People can't see you.\People can not see me?\Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship!\I don't know.\Is a guy to be trusted if he doesn't even know what he wants? response:	Good!
context: That's not it. People can't see you.\People can not see me?\Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship!\I don't know.\Is a guy to be trusted if he doesn't even know what he wants?\Good! response:	Team up with me in the salvage biz.
context: People can not see me?\Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship!\I don't know.\Is a guy to be trusted if he doesn't even know what he wants?\Good!\Team up with me in the salvage biz. response:	Salvage... Work?
context: Look, isn't there somethin' you wanna do?\I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship!\I don't know.\Is a guy to be trusted if he doesn't even know what he wants?\Good!\Team up with me in the salvage biz.\Salvage... Work? response:	Yeah! With you and that tin can of yours, we could search for some big-ass treasures.
context: I want to return to Alliance battlefront.\No, not that! I mean somethin' right now, on this ship!\I don't know.\Is a guy to be trusted if he doesn't even know what he wants?\Good!\Team up with me in the salvage biz.\Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures. response:	If I earn salary, money is too much...
context: No, not that! I mean somethin' right now, on this ship!\I don't know.\Is a guy to be trusted if he doesn't even know what he wants?\Good!\Team up with me in the salvage biz.\Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much... response:	Then when you make money, spend it on tasty eats, for cryin' out loud!
context: I don't know.\Is a guy to be trusted if he doesn't even know what he wants?\Good!\Team up with me in the salvage biz.\Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud! response:	And when you make more money, get yourself a nice boat.
context: Is a guy to be trusted if he doesn't even know what he wants?\Good!\Team up with me in the salvage biz.\Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat. response:	There's no point in just lettin' your money sit there.
context: Good!\Team up with me in the salvage biz.\Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there. response:	Somewhere along the line, you'll get a grip on your desires.
context: Team up with me in the salvage biz.\Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires. response:	Get a grip... on desires...
context: Salvage... Work?\Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires... response:	Hold it right there! I'm not gonna let you steal him away.
context: Yeah! With you and that tin can of yours, we could search for some big-ass treasures.\If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away. response:	Steal him?
context: If I earn salary, money is too much...\Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away.\Steal him? response:	If you're teaming up with anyone, make it me, who does the actual job.
context: Then when you make money, spend it on tasty eats, for cryin' out loud!\And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away.\Steal him?\If you're teaming up with anyone, make it me, who does the actual job. response:	I can train you to be a first-class salvager.
context: And when you make more money, get yourself a nice boat.\There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away.\Steal him?\If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager. response:	I don't understand salvage so much...
context: There's no point in just lettin' your money sit there.\Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away.\Steal him?\If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager.\I don't understand salvage so much... response:	It's simple. I'll teach you.
context: Somewhere along the line, you'll get a grip on your desires.\Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away.\Steal him?\If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager.\I don't understand salvage so much...\It's simple. I'll teach you. response:	Alright? If there's anything you don't understand, all you need do is ask.
context: Get a grip... on desires...\Hold it right there! I'm not gonna let you steal him away.\Steal him?\If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager.\I don't understand salvage so much...\It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask. response:	If you don't know how to do something, you can just imitate me.
context: Hold it right there! I'm not gonna let you steal him away.\Steal him?\If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager.\I don't understand salvage so much...\It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me. response:	Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.
context: Steal him?\If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager.\I don't understand salvage so much...\It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like. response:	I'll teach you how to read the tides. You've got aptitude, so it'll be easy.
context: If you're teaming up with anyone, make it me, who does the actual job.\I can train you to be a first-class salvager.\I don't understand salvage so much...\It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy. response:	With me, you'll be able to drink your fill of quality booze.
context: I can train you to be a first-class salvager.\I don't understand salvage so much...\It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze. response:	You should know how to swim, too.
context: I don't understand salvage so much...\It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too. response:	You can touch as many pretty ladies' rumps as you want!
context: It's simple. I'll teach you.\Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want! response:	Pinion! You're just being vulgar!
context: Alright? If there's anything you don't understand, all you need do is ask.\If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar! response:	Shut up, turtle shell ass!
context: If you don't know how to do something, you can just imitate me.\Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar!\Shut up, turtle shell ass! response:	Who's got a turtle shell ass, you who can't even swim?!
context: Don't listen to this one. Stick with me and you'll eat as much delicious grub as you like.\I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar!\Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?! response:	I can swim, I just can't dive!
context: I'll teach you how to read the tides. You've got aptitude, so it'll be easy.\With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar!\Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive! response:	Thank you for your patience. Here's the main dish.
context: With me, you'll be able to drink your fill of quality booze.\You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar!\Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive!\Thank you for your patience. Here's the main dish. response:	That's what I've been waitin' for!
context: You should know how to swim, too.\You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar!\Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive!\Thank you for your patience. Here's the main dish.\That's what I've been waitin' for! response:	What?!
context: You can touch as many pretty ladies' rumps as you want!\Pinion! You're just being vulgar!\Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive!\Thank you for your patience. Here's the main dish.\That's what I've been waitin' for!\What?! response:	Hideauze!
context: Pinion! You're just being vulgar!\Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive!\Thank you for your patience. Here's the main dish.\That's what I've been waitin' for!\What?!\Hideauze! response:	Hey, what's wrong?!
context: Shut up, turtle shell ass!\Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive!\Thank you for your patience. Here's the main dish.\That's what I've been waitin' for!\What?!\Hideauze!\Hey, what's wrong?! response:	Hideauze... Enemy of human race! Objective: Destroy!
context: Who's got a turtle shell ass, you who can't even swim?!\I can swim, I just can't dive!\Thank you for your patience. Here's the main dish.\That's what I've been waitin' for!\What?!\Hideauze!\Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy! response:	That's just a regular old octopus. And it's yummy...
context: I can swim, I just can't dive!\Thank you for your patience. Here's the main dish.\That's what I've been waitin' for!\What?!\Hideauze!\Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy... response:	If this little octopus surprises you,
context: Thank you for your patience. Here's the main dish.\That's what I've been waitin' for!\What?!\Hideauze!\Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy...\If this little octopus surprises you, response:	you'll be scared out of your wits if you ever encounter a whalesquid.
context: That's what I've been waitin' for!\What?!\Hideauze!\Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy...\If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid. response:	Octopus... You eat?
context: What?!\Hideauze!\Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy...\If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat? response:	Yummy?
context: Hideauze!\Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy...\If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat?\Yummy? response:	Requesting support from pilot, Ensign Ledo.
context: Hey, what's wrong?!\Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy...\If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat?\Yummy?\Requesting support from pilot, Ensign Ledo. response:	Beginning capture.
context: Hideauze... Enemy of human race! Objective: Destroy!\That's just a regular old octopus. And it's yummy...\If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat?\Yummy?\Requesting support from pilot, Ensign Ledo.\Beginning capture. response:	Gravity Waver, fire!
context: That's just a regular old octopus. And it's yummy...\If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat?\Yummy?\Requesting support from pilot, Ensign Ledo.\Beginning capture.\Gravity Waver, fire! response:	Capture complete.
context: If this little octopus surprises you,\you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat?\Yummy?\Requesting support from pilot, Ensign Ledo.\Beginning capture.\Gravity Waver, fire!\Capture complete. response:	Both you and Ledo, what the hell are you thinkin'?!
context: you'll be scared out of your wits if you ever encounter a whalesquid.\Octopus... You eat?\Yummy?\Requesting support from pilot, Ensign Ledo.\Beginning capture.\Gravity Waver, fire!\Capture complete.\Both you and Ledo, what the hell are you thinkin'?! response:	Nutritionally, there are no problems.
context: Octopus... You eat?\Yummy?\Requesting support from pilot, Ensign Ledo.\Beginning capture.\Gravity Waver, fire!\Capture complete.\Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems. response:	That's not the point!
context: Yummy?\Requesting support from pilot, Ensign Ledo.\Beginning capture.\Gravity Waver, fire!\Capture complete.\Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems.\That's not the point! response:	Response status: Unknown.
context: Requesting support from pilot, Ensign Ledo.\Beginning capture.\Gravity Waver, fire!\Capture complete.\Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems.\That's not the point!\Response status: Unknown. response:	I will request support from my pilot, Ensign Ledo.
context: Beginning capture.\Gravity Waver, fire!\Capture complete.\Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems.\That's not the point!\Response status: Unknown.\I will request support from my pilot, Ensign Ledo. response:	What, these are all minced?!
context: Gravity Waver, fire!\Capture complete.\Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems.\That's not the point!\Response status: Unknown.\I will request support from my pilot, Ensign Ledo.\What, these are all minced?! response:	Listen, use a net! Watch and learn from the people around you!
context: Capture complete.\Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems.\That's not the point!\Response status: Unknown.\I will request support from my pilot, Ensign Ledo.\What, these are all minced?!\Listen, use a net! Watch and learn from the people around you! response:	I want as big a net as possible. That and cooperation from the Yunboros.
context: Both you and Ledo, what the hell are you thinkin'?!\Nutritionally, there are no problems.\That's not the point!\Response status: Unknown.\I will request support from my pilot, Ensign Ledo.\What, these are all minced?!\Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros. response:	Now that's what I'm talkin' about!
context: Nutritionally, there are no problems.\That's not the point!\Response status: Unknown.\I will request support from my pilot, Ensign Ledo.\What, these are all minced?!\Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about! response:	I know, right?
context: That's not the point!\Response status: Unknown.\I will request support from my pilot, Ensign Ledo.\What, these are all minced?!\Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about!\I know, right? response:	What are you acting proud for?!
context: Response status: Unknown.\I will request support from my pilot, Ensign Ledo.\What, these are all minced?!\Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about!\I know, right?\What are you acting proud for?! response:	That was delicious!
context: I will request support from my pilot, Ensign Ledo.\What, these are all minced?!\Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about!\I know, right?\What are you acting proud for?!\That was delicious! response:	I'm stuffed!
context: What, these are all minced?!\Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about!\I know, right?\What are you acting proud for?!\That was delicious!\I'm stuffed! response:	Chamber, enemy search!
context: Listen, use a net! Watch and learn from the people around you!\I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about!\I know, right?\What are you acting proud for?!\That was delicious!\I'm stuffed!\Chamber, enemy search! response:	Measuring energy response in the area.
context: I want as big a net as possible. That and cooperation from the Yunboros.\Now that's what I'm talkin' about!\I know, right?\What are you acting proud for?!\That was delicious!\I'm stuffed!\Chamber, enemy search!\Measuring energy response in the area. response:	Danger level: Minimal.
context: Now that's what I'm talkin' about!\I know, right?\What are you acting proud for?!\That was delicious!\I'm stuffed!\Chamber, enemy search!\Measuring energy response in the area.\Danger level: Minimal. response:	It's okay. See, look at that!
context: I know, right?\What are you acting proud for?!\That was delicious!\I'm stuffed!\Chamber, enemy search!\Measuring energy response in the area.\Danger level: Minimal.\It's okay. See, look at that! response:	What is that?
context: What are you acting proud for?!\That was delicious!\I'm stuffed!\Chamber, enemy search!\Measuring energy response in the area.\Danger level: Minimal.\It's okay. See, look at that!\What is that? response:	Those are veils of light.
context: That was delicious!\I'm stuffed!\Chamber, enemy search!\Measuring energy response in the area.\Danger level: Minimal.\It's okay. See, look at that!\What is that?\Those are veils of light. response:	They form when the Swirling Galaxy comes undone.
context: I'm stuffed!\Chamber, enemy search!\Measuring energy response in the area.\Danger level: Minimal.\It's okay. See, look at that!\What is that?\Those are veils of light.\They form when the Swirling Galaxy comes undone. response:	You need to practice the flute more often.
context: Chamber, enemy search!\Measuring energy response in the area.\Danger level: Minimal.\It's okay. See, look at that!\What is that?\Those are veils of light.\They form when the Swirling Galaxy comes undone.\You need to practice the flute more often. response:	Practice... Amy... Practiced dance?
context: Measuring energy response in the area.\Danger level: Minimal.\It's okay. See, look at that!\What is that?\Those are veils of light.\They form when the Swirling Galaxy comes undone.\You need to practice the flute more often.\Practice... Amy... Practiced dance? response:	I want to see... Amy's dance.
context: Danger level: Minimal.\It's okay. See, look at that!\What is that?\Those are veils of light.\They form when the Swirling Galaxy comes undone.\You need to practice the flute more often.\Practice... Amy... Practiced dance?\I want to see... Amy's dance. response:	Okay, then as thanks for before...
context: It's okay. See, look at that!\What is that?\Those are veils of light.\They form when the Swirling Galaxy comes undone.\You need to practice the flute more often.\Practice... Amy... Practiced dance?\I want to see... Amy's dance.\Okay, then as thanks for before... response:	Thanks...
context: What is that?\Those are veils of light.\They form when the Swirling Galaxy comes undone.\You need to practice the flute more often.\Practice... Amy... Practiced dance?\I want to see... Amy's dance.\Okay, then as thanks for before...\Thanks... response:	Here, I brought you a present!
context: Those are veils of light.\They form when the Swirling Galaxy comes undone.\You need to practice the flute more often.\Practice... Amy... Practiced dance?\I want to see... Amy's dance.\Okay, then as thanks for before...\Thanks...\Here, I brought you a present! response:	Hi there.
context: They form when the Swirling Galaxy comes undone.\You need to practice the flute more often.\Practice... Amy... Practiced dance?\I want to see... Amy's dance.\Okay, then as thanks for before...\Thanks...\Here, I brought you a present!\Hi there. response:	Ledo!
context: You need to practice the flute more often.\Practice... Amy... Practiced dance?\I want to see... Amy's dance.\Okay, then as thanks for before...\Thanks...\Here, I brought you a present!\Hi there.\Ledo! response:	Present...
context: Practice... Amy... Practiced dance?\I want to see... Amy's dance.\Okay, then as thanks for before...\Thanks...\Here, I brought you a present!\Hi there.\Ledo!\Present... response:	Thank you, Ledo.
context: I want to see... Amy's dance.\Okay, then as thanks for before...\Thanks...\Here, I brought you a present!\Hi there.\Ledo!\Present...\Thank you, Ledo. response:	Get money, give money, everyone eats good food.
context: Okay, then as thanks for before...\Thanks...\Here, I brought you a present!\Hi there.\Ledo!\Present...\Thank you, Ledo.\Get money, give money, everyone eats good food. response:	The pay you received shows that you supported someone.
context: Thanks...\Here, I brought you a present!\Hi there.\Ledo!\Present...\Thank you, Ledo.\Get money, give money, everyone eats good food.\The pay you received shows that you supported someone. response:	I supported someone?
context: Here, I brought you a present!\Hi there.\Ledo!\Present...\Thank you, Ledo.\Get money, give money, everyone eats good food.\The pay you received shows that you supported someone.\I supported someone? response:	That is... work...
context: Hi there.\Ledo!\Present...\Thank you, Ledo.\Get money, give money, everyone eats good food.\The pay you received shows that you supported someone.\I supported someone?\That is... work... response:	I was invited to work.
context: Ledo!\Present...\Thank you, Ledo.\Get money, give money, everyone eats good food.\The pay you received shows that you supported someone.\I supported someone?\That is... work...\I was invited to work. response:	What is it?!
context: Present...\Thank you, Ledo.\Get money, give money, everyone eats good food.\The pay you received shows that you supported someone.\I supported someone?\That is... work...\I was invited to work.\What is it?! response:	Salvage work with Chamber.
context: Thank you, Ledo.\Get money, give money, everyone eats good food.\The pay you received shows that you supported someone.\I supported someone?\That is... work...\I was invited to work.\What is it?!\Salvage work with Chamber. response:	Lucky!
context: Get money, give money, everyone eats good food.\The pay you received shows that you supported someone.\I supported someone?\That is... work...\I was invited to work.\What is it?!\Salvage work with Chamber.\Lucky! response:	It is good?
context: The pay you received shows that you supported someone.\I supported someone?\That is... work...\I was invited to work.\What is it?!\Salvage work with Chamber.\Lucky!\It is good? response:	Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?
context: I supported someone?\That is... work...\I was invited to work.\What is it?!\Salvage work with Chamber.\Lucky!\It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right? response:	You can find out what was on this planet a long time ago!
context: That is... work...\I was invited to work.\What is it?!\Salvage work with Chamber.\Lucky!\It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago! response:	I want to do salvage.
context: I was invited to work.\What is it?!\Salvage work with Chamber.\Lucky!\It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago!\I want to do salvage. response:	It really helps having you here.
