context: :D response:	I entered middle school when I was twelve.
context: Ryu, if something ever happens to you, I'll comfort you.\Yeah, when that happens.\Let's see what our fortunes will be like.\Very Good.”\Wow.\All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.” response:	Can I do that, though?
context: Yeah, when that happens.\Let's see what our fortunes will be like.\Very Good.”\Wow.\All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.”\Can I do that, though? response:	I wonder what I got.
context: Let's see what our fortunes will be like.\Very Good.”\Wow.\All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.”\Can I do that, though?\I wonder what I got. response:	Maybe Fair.
context: Very Good.”\Wow.\All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.”\Can I do that, though?\I wonder what I got.\Maybe Fair. response:	Probably not Very G
context: Wow.\All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.”\Can I do that, though?\I wonder what I got.\Maybe Fair.\Probably not Very G response:	I expected too much.
context: All will be as you wish.”\Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.”\Can I do that, though?\I wonder what I got.\Maybe Fair.\Probably not Very G\I expected too much. response:	I think I'm too greedy these days.
context: Beware of your temper; be composed and approach everything with calmness.\Take heed of the advice of others.”\Can I do that, though?\I wonder what I got.\Maybe Fair.\Probably not Very G\I expected too much.\I think I'm too greedy these days. response:	Kuronuma, what did you get?
context: Take heed of the advice of others.”\Can I do that, though?\I wonder what I got.\Maybe Fair.\Probably not Very G\I expected too much.\I think I'm too greedy these days.\Kuronuma, what did you get? response:	I uh, well...
context: Can I do that, though?\I wonder what I got.\Maybe Fair.\Probably not Very G\I expected too much.\I think I'm too greedy these days.\Kuronuma, what did you get?\I uh, well... response:	Ah, bad luck.
context: I wonder what I got.\Maybe Fair.\Probably not Very G\I expected too much.\I think I'm too greedy these days.\Kuronuma, what did you get?\I uh, well...\Ah, bad luck. response:	The best...
context: Maybe Fair.\Probably not Very G\I expected too much.\I think I'm too greedy these days.\Kuronuma, what did you get?\I uh, well...\Ah, bad luck.\The best... response:	So true.
context: Probably not Very G\I expected too much.\I think I'm too greedy these days.\Kuronuma, what did you get?\I uh, well...\Ah, bad luck.\The best...\So true. response:	I heard Bad” is actually pretty good.
context: I expected too much.\I think I'm too greedy these days.\Kuronuma, what did you get?\I uh, well...\Ah, bad luck.\The best...\So true.\I heard Bad” is actually pretty good. response:	Because it's not too common.
context: I think I'm too greedy these days.\Kuronuma, what did you get?\I uh, well...\Ah, bad luck.\The best...\So true.\I heard Bad” is actually pretty good.\Because it's not too common. response:	Really?
context: Kuronuma, what did you get?\I uh, well...\Ah, bad luck.\The best...\So true.\I heard Bad” is actually pretty good.\Because it's not too common.\Really? response:	You're supposed to hang these up on trees, aren't you?
context: I uh, well...\Ah, bad luck.\The best...\So true.\I heard Bad” is actually pretty good.\Because it's not too common.\Really?\You're supposed to hang these up on trees, aren't you? response:	Kuronuma,
context: Ah, bad luck.\The best...\So true.\I heard Bad” is actually pretty good.\Because it's not too common.\Really?\You're supposed to hang these up on trees, aren't you?\Kuronuma, response:	have this one.
context: The best...\So true.\I heard Bad” is actually pretty good.\Because it's not too common.\Really?\You're supposed to hang these up on trees, aren't you?\Kuronuma,\have this one. response:	The Very Good you got?
context: So true.\I heard Bad” is actually pretty good.\Because it's not too common.\Really?\You're supposed to hang these up on trees, aren't you?\Kuronuma,\have this one.\The Very Good you got? response:	That's, well...
context: I heard Bad” is actually pretty good.\Because it's not too common.\Really?\You're supposed to hang these up on trees, aren't you?\Kuronuma,\have this one.\The Very Good you got?\That's, well... response:	I think I'd absorb your good fortune.
context: Because it's not too common.\Really?\You're supposed to hang these up on trees, aren't you?\Kuronuma,\have this one.\The Very Good you got?\That's, well...\I think I'd absorb your good fortune. response:	Go ahead.
context: Really?\You're supposed to hang these up on trees, aren't you?\Kuronuma,\have this one.\The Very Good you got?\That's, well...\I think I'd absorb your good fortune.\Go ahead. response:	I've always had good luck.
context: You're supposed to hang these up on trees, aren't you?\Kuronuma,\have this one.\The Very Good you got?\That's, well...\I think I'd absorb your good fortune.\Go ahead.\I've always had good luck. response:	Besides, well...
context: Kuronuma,\have this one.\The Very Good you got?\That's, well...\I think I'd absorb your good fortune.\Go ahead.\I've always had good luck.\Besides, well... response:	I want to give it to you.
context: have this one.\The Very Good you got?\That's, well...\I think I'd absorb your good fortune.\Go ahead.\I've always had good luck.\Besides, well...\I want to give it to you. response:	It's sort of a shabby birthday present, but...
context: The Very Good you got?\That's, well...\I think I'd absorb your good fortune.\Go ahead.\I've always had good luck.\Besides, well...\I want to give it to you.\It's sort of a shabby birthday present, but... response:	T-Thanks.
context: That's, well...\I think I'd absorb your good fortune.\Go ahead.\I've always had good luck.\Besides, well...\I want to give it to you.\It's sort of a shabby birthday present, but...\T-Thanks. response:	Hesitation?
context: I think I'd absorb your good fortune.\Go ahead.\I've always had good luck.\Besides, well...\I want to give it to you.\It's sort of a shabby birthday present, but...\T-Thanks.\Hesitation? response:	Do I have any?
context: Go ahead.\I've always had good luck.\Besides, well...\I want to give it to you.\It's sort of a shabby birthday present, but...\T-Thanks.\Hesitation?\Do I have any? response:	Now that I think of it, I don't know why I wasn't sure I liked him.
context: I've always had good luck.\Besides, well...\I want to give it to you.\It's sort of a shabby birthday present, but...\T-Thanks.\Hesitation?\Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him. response:	How did I see him only with admiration all that time?
context: Besides, well...\I want to give it to you.\It's sort of a shabby birthday present, but...\T-Thanks.\Hesitation?\Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time? response:	Wow, I spent New Year's Eve with Ayane.
context: I want to give it to you.\It's sort of a shabby birthday present, but...\T-Thanks.\Hesitation?\Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane. response:	Finally found you.
context: It's sort of a shabby birthday present, but...\T-Thanks.\Hesitation?\Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane.\Finally found you. response:	You said you'd be at the bonfire.
context: T-Thanks.\Hesitation?\Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane.\Finally found you.\You said you'd be at the bonfire. response:	I'm sorry.
context: Hesitation?\Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane.\Finally found you.\You said you'd be at the bonfire.\I'm sorry. response:	Sorry about my idiot of a son.
context: Do I have any?\Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane.\Finally found you.\You said you'd be at the bonfire.\I'm sorry.\Sorry about my idiot of a son. response:	No, no.
context: Now that I think of it, I don't know why I wasn't sure I liked him.\How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane.\Finally found you.\You said you'd be at the bonfire.\I'm sorry.\Sorry about my idiot of a son.\No, no. response:	We're going home, now.
context: How did I see him only with admiration all that time?\Wow, I spent New Year's Eve with Ayane.\Finally found you.\You said you'd be at the bonfire.\I'm sorry.\Sorry about my idiot of a son.\No, no.\We're going home, now. response:	Ayane!
context: Wow, I spent New Year's Eve with Ayane.\Finally found you.\You said you'd be at the bonfire.\I'm sorry.\Sorry about my idiot of a son.\No, no.\We're going home, now.\Ayane! response:	All these holes in your jacket.
context: Finally found you.\You said you'd be at the bonfire.\I'm sorry.\Sorry about my idiot of a son.\No, no.\We're going home, now.\Ayane!\All these holes in your jacket. response:	You're not getting any new year's allowance.
context: You said you'd be at the bonfire.\I'm sorry.\Sorry about my idiot of a son.\No, no.\We're going home, now.\Ayane!\All these holes in your jacket.\You're not getting any new year's allowance. response:	Oh come on, Mom.
context: I'm sorry.\Sorry about my idiot of a son.\No, no.\We're going home, now.\Ayane!\All these holes in your jacket.\You're not getting any new year's allowance.\Oh come on, Mom. response:	Thank god!
context: Sorry about my idiot of a son.\No, no.\We're going home, now.\Ayane!\All these holes in your jacket.\You're not getting any new year's allowance.\Oh come on, Mom.\Thank god! response:	Dear God, please erase the fact that I spent New Year's Eve with Joe.
context: No, no.\We're going home, now.\Ayane!\All these holes in your jacket.\You're not getting any new year's allowance.\Oh come on, Mom.\Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe. response:	That's all I ask for.
context: We're going home, now.\Ayane!\All these holes in your jacket.\You're not getting any new year's allowance.\Oh come on, Mom.\Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for. response:	They're getting along well.
context: Ayane!\All these holes in your jacket.\You're not getting any new year's allowance.\Oh come on, Mom.\Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for.\They're getting along well. response:	I guess I won't need to get my fortune then.
context: All these holes in your jacket.\You're not getting any new year's allowance.\Oh come on, Mom.\Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for.\They're getting along well.\I guess I won't need to get my fortune then. response:	But man, they really look like a normal couple when they're like that.
context: You're not getting any new year's allowance.\Oh come on, Mom.\Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for.\They're getting along well.\I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that. response:	Come on.
context: Oh come on, Mom.\Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for.\They're getting along well.\I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that.\Come on. response:	Enough, already.
context: Thank god!\Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for.\They're getting along well.\I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that.\Come on.\Enough, already. response:	I said no.
context: Dear God, please erase the fact that I spent New Year's Eve with Joe.\That's all I ask for.\They're getting along well.\I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that.\Come on.\Enough, already.\I said no. response:	Why? Come on. Let's go drink a little.
context: That's all I ask for.\They're getting along well.\I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that.\Come on.\Enough, already.\I said no.\Why? Come on. Let's go drink a little. response:	So many idiots.
context: They're getting along well.\I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that.\Come on.\Enough, already.\I said no.\Why? Come on. Let's go drink a little.\So many idiots. response:	If only Tohru were here.
context: I guess I won't need to get my fortune then.\But man, they really look like a normal couple when they're like that.\Come on.\Enough, already.\I said no.\Why? Come on. Let's go drink a little.\So many idiots.\If only Tohru were here. response:	He'd score with some totally random pick-up.
context: But man, they really look like a normal couple when they're like that.\Come on.\Enough, already.\I said no.\Why? Come on. Let's go drink a little.\So many idiots.\If only Tohru were here.\He'd score with some totally random pick-up. response:	That bastard says he's going to his girlfriend's for the new year.
context: Come on.\Enough, already.\I said no.\Why? Come on. Let's go drink a little.\So many idiots.\If only Tohru were here.\He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year. response:	Marriage my ass!
context: Enough, already.\I said no.\Why? Come on. Let's go drink a little.\So many idiots.\If only Tohru were here.\He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year.\Marriage my ass! response:	Don't look him in the face.
context: I said no.\Why? Come on. Let's go drink a little.\So many idiots.\If only Tohru were here.\He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year.\Marriage my ass!\Don't look him in the face. response:	Hey, are you here alone?
context: Why? Come on. Let's go drink a little.\So many idiots.\If only Tohru were here.\He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year.\Marriage my ass!\Don't look him in the face.\Hey, are you here alone? response:	We finally meet!
context: So many idiots.\If only Tohru were here.\He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year.\Marriage my ass!\Don't look him in the face.\Hey, are you here alone?\We finally meet! response:	Don't people tell you you're cute?
context: If only Tohru were here.\He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year.\Marriage my ass!\Don't look him in the face.\Hey, are you here alone?\We finally meet!\Don't people tell you you're cute? response:	You shall not...
context: He'd score with some totally random pick-up.\That bastard says he's going to his girlfriend's for the new year.\Marriage my ass!\Don't look him in the face.\Hey, are you here alone?\We finally meet!\Don't people tell you you're cute?\You shall not... response:	Give me your e-mail address.
context: That bastard says he's going to his girlfriend's for the new year.\Marriage my ass!\Don't look him in the face.\Hey, are you here alone?\We finally meet!\Don't people tell you you're cute?\You shall not...\Give me your e-mail address. response:	Anything to say about guys with glasses?
context: Marriage my ass!\Don't look him in the face.\Hey, are you here alone?\We finally meet!\Don't people tell you you're cute?\You shall not...\Give me your e-mail address.\Anything to say about guys with glasses? response:	See you!
context: Don't look him in the face.\Hey, are you here alone?\We finally meet!\Don't people tell you you're cute?\You shall not...\Give me your e-mail address.\Anything to say about guys with glasses?\See you! response:	Let's be together in our next lives!
context: Hey, are you here alone?\We finally meet!\Don't people tell you you're cute?\You shall not...\Give me your e-mail address.\Anything to say about guys with glasses?\See you!\Let's be together in our next lives! response:	Tha
context: We finally meet!\Don't people tell you you're cute?\You shall not...\Give me your e-mail address.\Anything to say about guys with glasses?\See you!\Let's be together in our next lives!\Tha response:	What, you think you're good enough to get picked up?
context: Don't people tell you you're cute?\You shall not...\Give me your e-mail address.\Anything to say about guys with glasses?\See you!\Let's be together in our next lives!\Tha\What, you think you're good enough to get picked up? response:	Are you that idiot from earlier?
context: You shall not...\Give me your e-mail address.\Anything to say about guys with glasses?\See you!\Let's be together in our next lives!\Tha\What, you think you're good enough to get picked up?\Are you that idiot from earlier? response:	Why are you following me?
context: Give me your e-mail address.\Anything to say about guys with glasses?\See you!\Let's be together in our next lives!\Tha\What, you think you're good enough to get picked up?\Are you that idiot from earlier?\Why are you following me? response:	I'm not interested in brats.
context: Anything to say about guys with glasses?\See you!\Let's be together in our next lives!\Tha\What, you think you're good enough to get picked up?\Are you that idiot from earlier?\Why are you following me?\I'm not interested in brats. response:	Dammit, stop getting led on.
context: See you!\Let's be together in our next lives!\Tha\What, you think you're good enough to get picked up?\Are you that idiot from earlier?\Why are you following me?\I'm not interested in brats.\Dammit, stop getting led on. response:	Why would I?
context: Let's be together in our next lives!\Tha\What, you think you're good enough to get picked up?\Are you that idiot from earlier?\Why are you following me?\I'm not interested in brats.\Dammit, stop getting led on.\Why would I? response:	I'm going home.
context: Tha\What, you think you're good enough to get picked up?\Are you that idiot from earlier?\Why are you following me?\I'm not interested in brats.\Dammit, stop getting led on.\Why would I?\I'm going home. response:	I'm going home too.
context: What, you think you're good enough to get picked up?\Are you that idiot from earlier?\Why are you following me?\I'm not interested in brats.\Dammit, stop getting led on.\Why would I?\I'm going home.\I'm going home too. response:	You're embarrassing me, go away.
context: Are you that idiot from earlier?\Why are you following me?\I'm not interested in brats.\Dammit, stop getting led on.\Why would I?\I'm going home.\I'm going home too.\You're embarrassing me, go away. response:	Past this hill...
context: Why are you following me?\I'm not interested in brats.\Dammit, stop getting led on.\Why would I?\I'm going home.\I'm going home too.\You're embarrassing me, go away.\Past this hill... response:	And...
context: I'm not interested in brats.\Dammit, stop getting led on.\Why would I?\I'm going home.\I'm going home too.\You're embarrassing me, go away.\Past this hill...\And... response:	This is where I first met you.
context: Dammit, stop getting led on.\Why would I?\I'm going home.\I'm going home too.\You're embarrassing me, go away.\Past this hill...\And...\This is where I first met you. response:	What will this year be like?
context: Why would I?\I'm going home.\I'm going home too.\You're embarrassing me, go away.\Past this hill...\And...\This is where I first met you.\What will this year be like? response:	That's good.
context: I'm going home.\I'm going home too.\You're embarrassing me, go away.\Past this hill...\And...\This is where I first met you.\What will this year be like?\That's good. response:	Yeah, it's good.
context: I'm going home too.\You're embarrassing me, go away.\Past this hill...\And...\This is where I first met you.\What will this year be like?\That's good.\Yeah, it's good. response:	Look, you see that empty house?
context: You're embarrassing me, go away.\Past this hill...\And...\This is where I first met you.\What will this year be like?\That's good.\Yeah, it's good.\Look, you see that empty house? response:	They're there too?
context: Past this hill...\And...\This is where I first met you.\What will this year be like?\That's good.\Yeah, it's good.\Look, you see that empty house?\They're there too? response:	What is?
context: And...\This is where I first met you.\What will this year be like?\That's good.\Yeah, it's good.\Look, you see that empty house?\They're there too?\What is? response:	I'm not telling you.
context: This is where I first met you.\What will this year be like?\That's good.\Yeah, it's good.\Look, you see that empty house?\They're there too?\What is?\I'm not telling you. response:	What? What's there?
context: What will this year be like?\That's good.\Yeah, it's good.\Look, you see that empty house?\They're there too?\What is?\I'm not telling you.\What? What's there? response:	Hey, don't leave me here!
context: That's good.\Yeah, it's good.\Look, you see that empty house?\They're there too?\What is?\I'm not telling you.\What? What's there?\Hey, don't leave me here! response:	Hey, Kurumi, did you make a wish?
context: Yeah, it's good.\Look, you see that empty house?\They're there too?\What is?\I'm not telling you.\What? What's there?\Hey, don't leave me here!\Hey, Kurumi, did you make a wish? response:	What did you write?
context: Look, you see that empty house?\They're there too?\What is?\I'm not telling you.\What? What's there?\Hey, don't leave me here!\Hey, Kurumi, did you make a wish?\What did you write? response:	I'm not telling you.
context: They're there too?\What is?\I'm not telling you.\What? What's there?\Hey, don't leave me here!\Hey, Kurumi, did you make a wish?\What did you write?\I'm not telling you. response:	Come on, tell me.
context: What is?\I'm not telling you.\What? What's there?\Hey, don't leave me here!\Hey, Kurumi, did you make a wish?\What did you write?\I'm not telling you.\Come on, tell me. response:	Just a little bit.
context: I'm not telling you.\What? What's there?\Hey, don't leave me here!\Hey, Kurumi, did you make a wish?\What did you write?\I'm not telling you.\Come on, tell me.\Just a little bit. response:	Okay, just a little.
context: What? What's there?\Hey, don't leave me here!\Hey, Kurumi, did you make a wish?\What did you write?\I'm not telling you.\Come on, tell me.\Just a little bit.\Okay, just a little. response:	This?
context: Hey, don't leave me here!\Hey, Kurumi, did you make a wish?\What did you write?\I'm not telling you.\Come on, tell me.\Just a little bit.\Okay, just a little.\This? response:	Chips?
context: Hey, Kurumi, did you make a wish?\What did you write?\I'm not telling you.\Come on, tell me.\Just a little bit.\Okay, just a little.\This?\Chips? response:	Sounds good.
context: What did you write?\I'm not telling you.\Come on, tell me.\Just a little bit.\Okay, just a little.\This?\Chips?\Sounds good. response:	Okay.
context: I'm not telling you.\Come on, tell me.\Just a little bit.\Okay, just a little.\This?\Chips?\Sounds good.\Okay. response:	Happy New Year.
context: Come on, tell me.\Just a little bit.\Okay, just a little.\This?\Chips?\Sounds good.\Okay.\Happy New Year. response:	What are you up to?
context: Just a little bit.\Okay, just a little.\This?\Chips?\Sounds good.\Okay.\Happy New Year.\What are you up to? response:	Spending the new year together.
context: Okay, just a little.\This?\Chips?\Sounds good.\Okay.\Happy New Year.\What are you up to?\Spending the new year together. response:	Us too.
context: This?\Chips?\Sounds good.\Okay.\Happy New Year.\What are you up to?\Spending the new year together.\Us too. response:	Hey, why don't we hang out together?
context: Chips?\Sounds good.\Okay.\Happy New Year.\What are you up to?\Spending the new year together.\Us too.\Hey, why don't we hang out together? response:	You look like a pervert.
context: Sounds good.\Okay.\Happy New Year.\What are you up to?\Spending the new year together.\Us too.\Hey, why don't we hang out together?\You look like a pervert. response:	Isn't Sawako coming home yet?
context: Okay.\Happy New Year.\What are you up to?\Spending the new year together.\Us too.\Hey, why don't we hang out together?\You look like a pervert.\Isn't Sawako coming home yet? response:	Come on, Dad.
context: Happy New Year.\What are you up to?\Spending the new year together.\Us too.\Hey, why don't we hang out together?\You look like a pervert.\Isn't Sawako coming home yet?\Come on, Dad. response:	Here, it's sweet.
context: What are you up to?\Spending the new year together.\Us too.\Hey, why don't we hang out together?\You look like a pervert.\Isn't Sawako coming home yet?\Come on, Dad.\Here, it's sweet. response:	It's sweet.
context: Spending the new year together.\Us too.\Hey, why don't we hang out together?\You look like a pervert.\Isn't Sawako coming home yet?\Come on, Dad.\Here, it's sweet.\It's sweet. response:	One more.
context: Us too.\Hey, why don't we hang out together?\You look like a pervert.\Isn't Sawako coming home yet?\Come on, Dad.\Here, it's sweet.\It's sweet.\One more. response:	Let's go.
context: Hey, why don't we hang out together?\You look like a pervert.\Isn't Sawako coming home yet?\Come on, Dad.\Here, it's sweet.\It's sweet.\One more.\Let's go. response:	See you.
context: You look like a pervert.\Isn't Sawako coming home yet?\Come on, Dad.\Here, it's sweet.\It's sweet.\One more.\Let's go.\See you. response:	Thanks.
context: Isn't Sawako coming home yet?\Come on, Dad.\Here, it's sweet.\It's sweet.\One more.\Let's go.\See you.\Thanks. response:	I had fun. Really.
context: Come on, Dad.\Here, it's sweet.\It's sweet.\One more.\Let's go.\See you.\Thanks.\I had fun. Really. response:	Me too.
context: Here, it's sweet.\It's sweet.\One more.\Let's go.\See you.\Thanks.\I had fun. Really.\Me too. response:	See you.
context: It's sweet.\One more.\Let's go.\See you.\Thanks.\I had fun. Really.\Me too.\See you. response:	Be safe.
context: One more.\Let's go.\See you.\Thanks.\I had fun. Really.\Me too.\See you.\Be safe. response:	I wonder if I can change my temper.
context: Let's go.\See you.\Thanks.\I had fun. Really.\Me too.\See you.\Be safe.\I wonder if I can change my temper. response:	I don't think I can.
context: See you.\Thanks.\I had fun. Really.\Me too.\See you.\Be safe.\I wonder if I can change my temper.\I don't think I can. response:	Relationships Offer your love. Happiness awaits.”
context: Thanks.\I had fun. Really.\Me too.\See you.\Be safe.\I wonder if I can change my temper.\I don't think I can.\Relationships Offer your love. Happiness awaits.” response:	Classmate,”
context: I had fun. Really.\Me too.\See you.\Be safe.\I wonder if I can change my temper.\I don't think I can.\Relationships Offer your love. Happiness awaits.”\Classmate,” response:	Guy next to me in class”but not my friend.
context: Me too.\See you.\Be safe.\I wonder if I can change my temper.\I don't think I can.\Relationships Offer your love. Happiness awaits.”\Classmate,”\Guy next to me in class”but not my friend. response:	He's more distant than a friend, and I want him to be more than a friend.
context: See you.\Be safe.\I wonder if I can change my temper.\I don't think I can.\Relationships Offer your love. Happiness awaits.”\Classmate,”\Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend. response:	Someone I like.”
context: Be safe.\I wonder if I can change my temper.\I don't think I can.\Relationships Offer your love. Happiness awaits.”\Classmate,”\Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend.\Someone I like.” response:	I just want to know if it's for eternity or not
context: I wonder if I can change my temper.\I don't think I can.\Relationships Offer your love. Happiness awaits.”\Classmate,”\Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend.\Someone I like.”\I just want to know if it's for eternity or not response:	I wish I could live like this forever, but...
context: I don't think I can.\Relationships Offer your love. Happiness awaits.”\Classmate,”\Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend.\Someone I like.”\I just want to know if it's for eternity or not\I wish I could live like this forever, but... response:	I want to be like those paper airplanes filling the sky
context: Relationships Offer your love. Happiness awaits.”\Classmate,”\Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend.\Someone I like.”\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky response:	and I will find only one
context: Classmate,”\Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend.\Someone I like.”\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\and I will find only one response:	Thank you, love grows with being needed
context: Guy next to me in class”but not my friend.\He's more distant than a friend, and I want him to be more than a friend.\Someone I like.”\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\and I will find only one\Thank you, love grows with being needed response:	If only I could smile and enjoy the distance between us
context: He's more distant than a friend, and I want him to be more than a friend.\Someone I like.”\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\and I will find only one\Thank you, love grows with being needed\If only I could smile and enjoy the distance between us response:	I want to tell you the thoughts he accumulated
context: Someone I like.”\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\and I will find only one\Thank you, love grows with being needed\If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated response:	What can I do in a world like that where nobody notices me?
context: I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\and I will find only one\Thank you, love grows with being needed\If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me? response:	I just want to know if it's for eternity or not
context: I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\and I will find only one\Thank you, love grows with being needed\If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me?\I just want to know if it's for eternity or not response:	I wish I could live like this forever, but...
context: I want to be like those paper airplanes filling the sky\and I will find only one\Thank you, love grows with being needed\If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me?\I just want to know if it's for eternity or not\I wish I could live like this forever, but... response:	I want to be like those paper airplanes filling the sky
context: and I will find only one\Thank you, love grows with being needed\If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me?\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky response:	I'm about to cry
context: Thank you, love grows with being needed\If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me?\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\I'm about to cry response:	If the two of us accepted each other more
context: If only I could smile and enjoy the distance between us\I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me?\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\I'm about to cry\If the two of us accepted each other more response:	Look at me just a little bit
context: I want to tell you the thoughts he accumulated\What can I do in a world like that where nobody notices me?\I just want to know if it's for eternity or not\I wish I could live like this forever, but...\I want to be like those paper airplanes filling the sky\I'm about to cry\If the two of us accepted each other more\Look at me just a little bit response:	Flower of love blowing in the wind
