context: I'm sorry... Ayato... response:	During the previous century,
context: The princess must be holding back, don't you think?\No, I'm not!\That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand,\something's off.\I'm going to find out what it is!\Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat? response:	But...
context: No, I'm not!\That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand,\something's off.\I'm going to find out what it is!\Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat?\But... response:	Explode!
context: That would've reduced an average opponent to cinders.\Even though I clearly have the upper hand,\something's off.\I'm going to find out what it is!\Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat?\But...\Explode! response:	All right!
context: Even though I clearly have the upper hand,\something's off.\I'm going to find out what it is!\Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat?\But...\Explode!\All right! response:	An explosion at such close range will surely...
context: something's off.\I'm going to find out what it is!\Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat?\But...\Explode!\All right!\An explosion at such close range will surely... response:	Amagiri
context: I'm going to find out what it is!\Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat?\But...\Explode!\All right!\An explosion at such close range will surely...\Amagiri response:	Amagiri Shinmei Style, Twin Dragons!
context: Burst into bloom, Amaryllis!\So he's going to dodge it and go for close combat?\But...\Explode!\All right!\An explosion at such close range will surely...\Amagiri\Amagiri Shinmei Style, Twin Dragons! response:	Shinmei
context: So he's going to dodge it and go for close combat?\But...\Explode!\All right!\An explosion at such close range will surely...\Amagiri\Amagiri Shinmei Style, Twin Dragons!\Shinmei response:	Style
context: But...\Explode!\All right!\An explosion at such close range will surely...\Amagiri\Amagiri Shinmei Style, Twin Dragons!\Shinmei\Style response:	Twin
context: Explode!\All right!\An explosion at such close range will surely...\Amagiri\Amagiri Shinmei Style, Twin Dragons!\Shinmei\Style\Twin response:	Twin Dragons
context: All right!\An explosion at such close range will surely...\Amagiri\Amagiri Shinmei Style, Twin Dragons!\Shinmei\Style\Twin\Twin Dragons response:	Why, you!
context: An explosion at such close range will surely...\Amagiri\Amagiri Shinmei Style, Twin Dragons!\Shinmei\Style\Twin\Twin Dragons\Why, you! response:	Get down!
context: Amagiri\Amagiri Shinmei Style, Twin Dragons!\Shinmei\Style\Twin\Twin Dragons\Why, you!\Get down! response:	Y-Y-Y-You... what are you...
context: Amagiri Shinmei Style, Twin Dragons!\Shinmei\Style\Twin\Twin Dragons\Why, you!\Get down!\Y-Y-Y-You... what are you... response:	That spear of light... It was clearly aimed at...
context: Shinmei\Style\Twin\Twin Dragons\Why, you!\Get down!\Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at... response:	If that's the case...
context: Style\Twin\Twin Dragons\Why, you!\Get down!\Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at...\If that's the case... response:	What do you think you're doing?
context: Twin\Twin Dragons\Why, you!\Get down!\Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at...\If that's the case...\What do you think you're doing? response:	What am I doing?
context: Twin Dragons\Why, you!\Get down!\Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at...\If that's the case...\What do you think you're doing?\What am I doing? response:	I wish you'd ask the guy who shot it, not me.
context: Why, you!\Get down!\Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at...\If that's the case...\What do you think you're doing?\What am I doing?\I wish you'd ask the guy who shot it, not me. response:	That's not what I meant! Why did you...
context: Get down!\Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at...\If that's the case...\What do you think you're doing?\What am I doing?\I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you... response:	U-Um... Look...
context: Y-Y-Y-You... what are you...\That spear of light... It was clearly aimed at...\If that's the case...\What do you think you're doing?\What am I doing?\I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you...\U-Um... Look... response:	Hey! Look at that bastard, he shoved our princess down!
context: That spear of light... It was clearly aimed at...\If that's the case...\What do you think you're doing?\What am I doing?\I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you...\U-Um... Look...\Hey! Look at that bastard, he shoved our princess down! response:	S-Sorry! Hey, uh, this is so not what it looks like!
context: If that's the case...\What do you think you're doing?\What am I doing?\I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you...\U-Um... Look...\Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like! response:	That's a passionate way to hit on her!
context: What do you think you're doing?\What am I doing?\I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you...\U-Um... Look...\Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her! response:	You...!
context: What am I doing?\I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you...\U-Um... Look...\Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her!\You...! response:	Uh...
context: I wish you'd ask the guy who shot it, not me.\That's not what I meant! Why did you...\U-Um... Look...\Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her!\You...!\Uh... response:	All right, all right...
context: That's not what I meant! Why did you...\U-Um... Look...\Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her!\You...!\Uh...\All right, all right... response:	You can stop right there.
context: U-Um... Look...\Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her!\You...!\Uh...\All right, all right...\You can stop right there. response:	Unfortunately, I'm going to have to invalidate this particular duel.
context: Hey! Look at that bastard, he shoved our princess down!\S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her!\You...!\Uh...\All right, all right...\You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel. response:	Oh, it's you. Who gave you the authority to interfere?!
context: S-Sorry! Hey, uh, this is so not what it looks like!\That's a passionate way to hit on her!\You...!\Uh...\All right, all right...\You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?! response:	By the authority vested in me as chief representative of the Red Lotus,
context: That's a passionate way to hit on her!\You...!\Uh...\All right, all right...\You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus, response:	I hereby void this duel.
context: You...!\Uh...\All right, all right...\You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel. response:	As he has yet to complete his final transfer paperwork,
context: Uh...\All right, all right...\You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel.\As he has yet to complete his final transfer paperwork, response:	technically, Ayato Amagiri is not yet a Seidoukan Academy student.
context: All right, all right...\You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel.\As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student. response:	Thank you very much. Um...
context: You can stop right there.\Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel.\As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um... response:	Right.
context: Unfortunately, I'm going to have to invalidate this particular duel.\Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel.\As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um...\Right. response:	I am the president of the Seidoukan Academy student council, Claudia Enfield.
context: Oh, it's you. Who gave you the authority to interfere?!\By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel.\As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um...\Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield. response:	Very nice to meet you!
context: By the authority vested in me as chief representative of the Red Lotus,\I hereby void this duel.\As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um...\Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you! response:	What? You're a first year, too, Madame President?
context: I hereby void this duel.\As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um...\Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you!\What? You're a first year, too, Madame President? response:	Yes. Since I was in junior high, so this is my third term.
context: As he has yet to complete his final transfer paperwork,\technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um...\Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you!\What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term. response:	Since you and I are in the same grade,
context: technically, Ayato Amagiri is not yet a Seidoukan Academy student.\Thank you very much. Um...\Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you!\What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade, response:	you may speak to me in a more informal manner.
context: Thank you very much. Um...\Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you!\What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade,\you may speak to me in a more informal manner. response:	All right then, Ms. Claudia.
context: Right.\I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you!\What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade,\you may speak to me in a more informal manner.\All right then, Ms. Claudia. response:	Claudia will do.
context: I am the president of the Seidoukan Academy student council, Claudia Enfield.\Very nice to meet you!\What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade,\you may speak to me in a more informal manner.\All right then, Ms. Claudia.\Claudia will do. response:	No, not right off the bat.
context: Very nice to meet you!\What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade,\you may speak to me in a more informal manner.\All right then, Ms. Claudia.\Claudia will do.\No, not right off the bat. response:	Clau. Di. A!
context: What? You're a first year, too, Madame President?\Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade,\you may speak to me in a more informal manner.\All right then, Ms. Claudia.\Claudia will do.\No, not right off the bat.\Clau. Di. A! response:	Roger that, Claudia.
context: Yes. Since I was in junior high, so this is my third term.\Since you and I are in the same grade,\you may speak to me in a more informal manner.\All right then, Ms. Claudia.\Claudia will do.\No, not right off the bat.\Clau. Di. A!\Roger that, Claudia. response:	Right.
context: Since you and I are in the same grade,\you may speak to me in a more informal manner.\All right then, Ms. Claudia.\Claudia will do.\No, not right off the bat.\Clau. Di. A!\Roger that, Claudia.\Right. response:	Well, then you can call me Ayato.
context: you may speak to me in a more informal manner.\All right then, Ms. Claudia.\Claudia will do.\No, not right off the bat.\Clau. Di. A!\Roger that, Claudia.\Right.\Well, then you can call me Ayato. response:	Very well, then, Ayato.
context: All right then, Ms. Claudia.\Claudia will do.\No, not right off the bat.\Clau. Di. A!\Roger that, Claudia.\Right.\Well, then you can call me Ayato.\Very well, then, Ayato. response:	And while you're at it, you can lose the honorifics.
context: Claudia will do.\No, not right off the bat.\Clau. Di. A!\Roger that, Claudia.\Right.\Well, then you can call me Ayato.\Very well, then, Ayato.\And while you're at it, you can lose the honorifics. response:	It is no more than a custom of mine, so please don't think twice about it.
context: No, not right off the bat.\Clau. Di. A!\Roger that, Claudia.\Right.\Well, then you can call me Ayato.\Very well, then, Ayato.\And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it. response:	Custom?
context: Clau. Di. A!\Roger that, Claudia.\Right.\Well, then you can call me Ayato.\Very well, then, Ayato.\And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it.\Custom? response:	Since I am exceedingly scheming,
context: Roger that, Claudia.\Right.\Well, then you can call me Ayato.\Very well, then, Ayato.\And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it.\Custom?\Since I am exceedingly scheming, response:	I must maintain at least an affable outward persona.
context: Right.\Well, then you can call me Ayato.\Very well, then, Ayato.\And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it.\Custom?\Since I am exceedingly scheming,\I must maintain at least an affable outward persona. response:	You're scheming?
context: Well, then you can call me Ayato.\Very well, then, Ayato.\And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it.\Custom?\Since I am exceedingly scheming,\I must maintain at least an affable outward persona.\You're scheming? response:	Oh, yes, you have no idea!
context: Very well, then, Ayato.\And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it.\Custom?\Since I am exceedingly scheming,\I must maintain at least an affable outward persona.\You're scheming?\Oh, yes, you have no idea! response:	Inside, my thoughts are so dark as if someone boiled, then burned some black substance,
context: And while you're at it, you can lose the honorifics.\It is no more than a custom of mine, so please don't think twice about it.\Custom?\Since I am exceedingly scheming,\I must maintain at least an affable outward persona.\You're scheming?\Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance, response:	and poured black honey all over it!
context: It is no more than a custom of mine, so please don't think twice about it.\Custom?\Since I am exceedingly scheming,\I must maintain at least an affable outward persona.\You're scheming?\Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it! response:	Would you like to take a look?
context: Custom?\Since I am exceedingly scheming,\I must maintain at least an affable outward persona.\You're scheming?\Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it!\Would you like to take a look? response:	See? Pitch-black!
context: Since I am exceedingly scheming,\I must maintain at least an affable outward persona.\You're scheming?\Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it!\Would you like to take a look?\See? Pitch-black! response:	Whoa, what's that, all of a sudden?
context: I must maintain at least an affable outward persona.\You're scheming?\Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it!\Would you like to take a look?\See? Pitch-black!\Whoa, what's that, all of a sudden? response:	I'm joking.
context: You're scheming?\Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it!\Would you like to take a look?\See? Pitch-black!\Whoa, what's that, all of a sudden?\I'm joking. response:	Your responses are so adorable.
context: Oh, yes, you have no idea!\Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it!\Would you like to take a look?\See? Pitch-black!\Whoa, what's that, all of a sudden?\I'm joking.\Your responses are so adorable. response:	Please come in.
context: Inside, my thoughts are so dark as if someone boiled, then burned some black substance,\and poured black honey all over it!\Would you like to take a look?\See? Pitch-black!\Whoa, what's that, all of a sudden?\I'm joking.\Your responses are so adorable.\Please come in. response:	All right, once again...
context: and poured black honey all over it!\Would you like to take a look?\See? Pitch-black!\Whoa, what's that, all of a sudden?\I'm joking.\Your responses are so adorable.\Please come in.\All right, once again... response:	Now, then, Ayato.
context: Would you like to take a look?\See? Pitch-black!\Whoa, what's that, all of a sudden?\I'm joking.\Your responses are so adorable.\Please come in.\All right, once again...\Now, then, Ayato. response:	As a scholarship transfer student at our very own Seidoukan Academy,
context: See? Pitch-black!\Whoa, what's that, all of a sudden?\I'm joking.\Your responses are so adorable.\Please come in.\All right, once again...\Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy, response:	there is just one thing we expect of you.
context: Whoa, what's that, all of a sudden?\I'm joking.\Your responses are so adorable.\Please come in.\All right, once again...\Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you. response:	And that is to win.
context: I'm joking.\Your responses are so adorable.\Please come in.\All right, once again...\Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you.\And that is to win. response:	Garrardworth,
context: Your responses are so adorable.\Please come in.\All right, once again...\Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you.\And that is to win.\Garrardworth, response:	Allekant Academy
context: Please come in.\All right, once again...\Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you.\And that is to win.\Garrardworth,\Allekant Academy response:	Allekant,
context: All right, once again...\Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you.\And that is to win.\Garrardworth,\Allekant Academy\Allekant, response:	Jie Long
context: Now, then, Ayato.\As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you.\And that is to win.\Garrardworth,\Allekant Academy\Allekant,\Jie Long response:	Jie Long,
context: As a scholarship transfer student at our very own Seidoukan Academy,\there is just one thing we expect of you.\And that is to win.\Garrardworth,\Allekant Academy\Allekant,\Jie Long\Jie Long, response:	Le Wolfe Black Academy
context: there is just one thing we expect of you.\And that is to win.\Garrardworth,\Allekant Academy\Allekant,\Jie Long\Jie Long,\Le Wolfe Black Academy response:	Le Wolfe,
context: And that is to win.\Garrardworth,\Allekant Academy\Allekant,\Jie Long\Jie Long,\Le Wolfe Black Academy\Le Wolfe, response:	Queenvale Girls Academy
context: Garrardworth,\Allekant Academy\Allekant,\Jie Long\Jie Long,\Le Wolfe Black Academy\Le Wolfe,\Queenvale Girls Academy response:	Queenvale,
context: Allekant Academy\Allekant,\Jie Long\Jie Long,\Le Wolfe Black Academy\Le Wolfe,\Queenvale Girls Academy\Queenvale, response:	Seidoukan Academy
context: Allekant,\Jie Long\Jie Long,\Le Wolfe Black Academy\Le Wolfe,\Queenvale Girls Academy\Queenvale,\Seidoukan Academy response:	and finally, Seidoukan.
context: Jie Long\Jie Long,\Le Wolfe Black Academy\Le Wolfe,\Queenvale Girls Academy\Queenvale,\Seidoukan Academy\and finally, Seidoukan. response:	The cream of the Genestella are hand-picked from all over the world to attend these six schools,
context: Jie Long,\Le Wolfe Black Academy\Le Wolfe,\Queenvale Girls Academy\Queenvale,\Seidoukan Academy\and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools, response:	and they battle for supremacy once a year.
context: Le Wolfe Black Academy\Le Wolfe,\Queenvale Girls Academy\Queenvale,\Seidoukan Academy\and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year. response:	At what we call Festas.
context: Le Wolfe,\Queenvale Girls Academy\Queenvale,\Seidoukan Academy\and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year.\At what we call Festas. response:	These desperate battles that pit mankind's innovation, the Genestella,
context: Queenvale Girls Academy\Queenvale,\Seidoukan Academy\and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year.\At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella, response:	against each other, are a major event drawing worldwide attention,
context: Queenvale,\Seidoukan Academy\and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year.\At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention, response:	and it wouldn't be an overstatement to say that Asterisk exists for them.
context: Seidoukan Academy\and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year.\At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them. response:	However, in recent years, our school's record has been quite dismal.
context: and finally, Seidoukan.\The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year.\At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal. response:	Ayato, please triumph at the Festas.
context: The cream of the Genestella are hand-picked from all over the world to attend these six schools,\and they battle for supremacy once a year.\At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas. response:	Should you do so, our academy will gladly grant you your heart's desire.
context: and they battle for supremacy once a year.\At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire. response:	Anything, so long as it can be realized in this world.
context: At what we call Festas.\These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world. response:	I'm sorry to tell you this, but that kind of thing doesn't really interest me.
context: These desperate battles that pit mankind's innovation, the Genestella,\against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me. response:	Well, well!
context: against each other, are a major event drawing worldwide attention,\and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well! response:	Then why did you come to this school?
context: and it wouldn't be an overstatement to say that Asterisk exists for them.\However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well!\Then why did you come to this school? response:	Claudia, there's something I want to ask you.
context: However, in recent years, our school's record has been quite dismal.\Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well!\Then why did you come to this school?\Claudia, there's something I want to ask you. response:	My older sister...
context: Ayato, please triumph at the Festas.\Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well!\Then why did you come to this school?\Claudia, there's something I want to ask you.\My older sister... response:	Is it true that Haruka Amagiri went here?
context: Should you do so, our academy will gladly grant you your heart's desire.\Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well!\Then why did you come to this school?\Claudia, there's something I want to ask you.\My older sister...\Is it true that Haruka Amagiri went here? response:	Please take a look at this.
context: Anything, so long as it can be realized in this world.\I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well!\Then why did you come to this school?\Claudia, there's something I want to ask you.\My older sister...\Is it true that Haruka Amagiri went here?\Please take a look at this. response:	What's this?
context: I'm sorry to tell you this, but that kind of thing doesn't really interest me.\Well, well!\Then why did you come to this school?\Claudia, there's something I want to ask you.\My older sister...\Is it true that Haruka Amagiri went here?\Please take a look at this.\What's this? response:	The data for a certain female student who once attended this school.
context: Well, well!\Then why did you come to this school?\Claudia, there's something I want to ask you.\My older sister...\Is it true that Haruka Amagiri went here?\Please take a look at this.\What's this?\The data for a certain female student who once attended this school. response:	She matriculated five years ago,
context: Then why did you come to this school?\Claudia, there's something I want to ask you.\My older sister...\Is it true that Haruka Amagiri went here?\Please take a look at this.\What's this?\The data for a certain female student who once attended this school.\She matriculated five years ago, response:	and six months later, due to personal reasons, she withdrew.
context: Claudia, there's something I want to ask you.\My older sister...\Is it true that Haruka Amagiri went here?\Please take a look at this.\What's this?\The data for a certain female student who once attended this school.\She matriculated five years ago,\and six months later, due to personal reasons, she withdrew. response:	All other data has been deleted.
context: My older sister...\Is it true that Haruka Amagiri went here?\Please take a look at this.\What's this?\The data for a certain female student who once attended this school.\She matriculated five years ago,\and six months later, due to personal reasons, she withdrew.\All other data has been deleted. response:	There's no mistake - it's my sister!
context: Is it true that Haruka Amagiri went here?\Please take a look at this.\What's this?\The data for a certain female student who once attended this school.\She matriculated five years ago,\and six months later, due to personal reasons, she withdrew.\All other data has been deleted.\There's no mistake - it's my sister! response:	There's no record of her ever having taken part in the Festas,
context: Please take a look at this.\What's this?\The data for a certain female student who once attended this school.\She matriculated five years ago,\and six months later, due to personal reasons, she withdrew.\All other data has been deleted.\There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas, response:	nor does she seem to have ever been entered into the Named Cults.
context: What's this?\The data for a certain female student who once attended this school.\She matriculated five years ago,\and six months later, due to personal reasons, she withdrew.\All other data has been deleted.\There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults. response:	Actually, whether or not she really did attend this school is quite dubious.
context: The data for a certain female student who once attended this school.\She matriculated five years ago,\and six months later, due to personal reasons, she withdrew.\All other data has been deleted.\There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious. response:	However...
context: She matriculated five years ago,\and six months later, due to personal reasons, she withdrew.\All other data has been deleted.\There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious.\However... response:	Demon Sword of the Black Furnace Seidoukan Academy
context: and six months later, due to personal reasons, she withdrew.\All other data has been deleted.\There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious.\However...\Demon Sword of the Black Furnace Seidoukan Academy response:	What's this?
context: All other data has been deleted.\There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious.\However...\Demon Sword of the Black Furnace Seidoukan Academy\What's this? response:	It's the Ogre Lux owned by Seidoukan... Ser Veresta.
context: There's no mistake - it's my sister!\There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious.\However...\Demon Sword of the Black Furnace Seidoukan Academy\What's this?\It's the Ogre Lux owned by Seidoukan... Ser Veresta. response:	Ogre Lux? You mean...
context: There's no record of her ever having taken part in the Festas,\nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious.\However...\Demon Sword of the Black Furnace Seidoukan Academy\What's this?\It's the Ogre Lux owned by Seidoukan... Ser Veresta.\Ogre Lux? You mean... response:	Yes, an extremely powerful weapon with a core of Urm Manadite.
context: nor does she seem to have ever been entered into the Named Cults.\Actually, whether or not she really did attend this school is quite dubious.\However...\Demon Sword of the Black Furnace Seidoukan Academy\What's this?\It's the Ogre Lux owned by Seidoukan... Ser Veresta.\Ogre Lux? You mean...\Yes, an extremely powerful weapon with a core of Urm Manadite. response:	Pierce the earth, and it will turn into a crucible.
