context: Nishimi... Nishimi... response:	You're back at the head of the class.
context: The reason I started coming here is because I wanted to see your smile!\Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there.\I will.\Kaoru-kun, write me, okay?\Thank you for your patience. response:	Thank you for everything.
context: Ri-chan, your smile always encouraged me, even when things were rough.\I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there.\I will.\Kaoru-kun, write me, okay?\Thank you for your patience.\Thank you for everything. response:	The sleeper express train, Sakura, will depart for Tokyo on track one.
context: I never knew that feeling before meeting you...\Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there.\I will.\Kaoru-kun, write me, okay?\Thank you for your patience.\Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one. response:	Its next stop will be Haiki.
context: Thank you, Ri-chan. Meeting you was a blessing.\Call us as soon as you get there.\I will.\Kaoru-kun, write me, okay?\Thank you for your patience.\Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki. response:	All passengers, please get on board.
context: Call us as soon as you get there.\I will.\Kaoru-kun, write me, okay?\Thank you for your patience.\Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki.\All passengers, please get on board. response:	Hey!
context: I will.\Kaoru-kun, write me, okay?\Thank you for your patience.\Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki.\All passengers, please get on board.\Hey! response:	I made it in time!
context: Kaoru-kun, write me, okay?\Thank you for your patience.\Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki.\All passengers, please get on board.\Hey!\I made it in time! response:	Here, a little going-away gift.
context: Thank you for your patience.\Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki.\All passengers, please get on board.\Hey!\I made it in time!\Here, a little going-away gift. response:	Thanks, Pops.
context: Thank you for everything.\The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki.\All passengers, please get on board.\Hey!\I made it in time!\Here, a little going-away gift.\Thanks, Pops. response:	Um... Is Ri-chan...
context: The sleeper express train, Sakura, will depart for Tokyo on track one.\Its next stop will be Haiki.\All passengers, please get on board.\Hey!\I made it in time!\Here, a little going-away gift.\Thanks, Pops.\Um... Is Ri-chan... response:	Nope. But there's a lunch in there that Ritsuko made for you.
context: Its next stop will be Haiki.\All passengers, please get on board.\Hey!\I made it in time!\Here, a little going-away gift.\Thanks, Pops.\Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you. response:	Well, take care, Richie.
context: All passengers, please get on board.\Hey!\I made it in time!\Here, a little going-away gift.\Thanks, Pops.\Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie. response:	I will. You too, Pops!
context: Hey!\I made it in time!\Here, a little going-away gift.\Thanks, Pops.\Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie.\I will. You too, Pops! response:	See you again!
context: I made it in time!\Here, a little going-away gift.\Thanks, Pops.\Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie.\I will. You too, Pops!\See you again! response:	Ri-chan!
context: Here, a little going-away gift.\Thanks, Pops.\Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie.\I will. You too, Pops!\See you again!\Ri-chan! response:	It's okay.
context: Thanks, Pops.\Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie.\I will. You too, Pops!\See you again!\Ri-chan!\It's okay. response:	When you're sick, you're apt to lose heart,
context: Um... Is Ri-chan...\Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie.\I will. You too, Pops!\See you again!\Ri-chan!\It's okay.\When you're sick, you're apt to lose heart, response:	but like they say, sickness and health start with the mind.
context: Nope. But there's a lunch in there that Ritsuko made for you.\Well, take care, Richie.\I will. You too, Pops!\See you again!\Ri-chan!\It's okay.\When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind. response:	Doctor, you have a good head on your shoulders for someone so young.
context: Well, take care, Richie.\I will. You too, Pops!\See you again!\Ri-chan!\It's okay.\When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young. response:	Oh, no... I'm still a rookie.
context: I will. You too, Pops!\See you again!\Ri-chan!\It's okay.\When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie. response:	Dr. Nishimi, we've got an emergency.
context: See you again!\Ri-chan!\It's okay.\When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency. response:	Okay, I'll be right there!
context: Ri-chan!\It's okay.\When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency.\Okay, I'll be right there! response:	Hey, there's a free bed in the nap room.
context: It's okay.\When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency.\Okay, I'll be right there!\Hey, there's a free bed in the nap room. response:	Why don't you get a little rest?
context: When you're sick, you're apt to lose heart,\but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency.\Okay, I'll be right there!\Hey, there's a free bed in the nap room.\Why don't you get a little rest? response:	No, if I lie down now, it's all over.
context: but like they say, sickness and health start with the mind.\Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency.\Okay, I'll be right there!\Hey, there's a free bed in the nap room.\Why don't you get a little rest?\No, if I lie down now, it's all over. response:	I won't be able to come back.
context: Doctor, you have a good head on your shoulders for someone so young.\Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency.\Okay, I'll be right there!\Hey, there's a free bed in the nap room.\Why don't you get a little rest?\No, if I lie down now, it's all over.\I won't be able to come back. response:	Yeah, being a resident on the night shift is even harder than I heard it'd be.
context: Oh, no... I'm still a rookie.\Dr. Nishimi, we've got an emergency.\Okay, I'll be right there!\Hey, there's a free bed in the nap room.\Why don't you get a little rest?\No, if I lie down now, it's all over.\I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be. response:	It takes a lot of stamina.
context: Dr. Nishimi, we've got an emergency.\Okay, I'll be right there!\Hey, there's a free bed in the nap room.\Why don't you get a little rest?\No, if I lie down now, it's all over.\I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina. response:	Tell me about it...
context: Okay, I'll be right there!\Hey, there's a free bed in the nap room.\Why don't you get a little rest?\No, if I lie down now, it's all over.\I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina.\Tell me about it... response:	Our guest is a popular star who both sings and acts...
context: Hey, there's a free bed in the nap room.\Why don't you get a little rest?\No, if I lie down now, it's all over.\I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina.\Tell me about it...\Our guest is a popular star who both sings and acts... response:	Matsuoka Seiji-san joins us in the studio today!
context: Why don't you get a little rest?\No, if I lie down now, it's all over.\I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina.\Tell me about it...\Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today! response:	Hello! I'm Matsuoka Seiji!
context: No, if I lie down now, it's all over.\I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina.\Tell me about it...\Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji! response:	Guest: Matsuoka Seiji
context: I won't be able to come back.\Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina.\Tell me about it...\Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji response:	I want to start right off with a question.
context: Yeah, being a resident on the night shift is even harder than I heard it'd be.\It takes a lot of stamina.\Tell me about it...\Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji\I want to start right off with a question. response:	Which do you like better, singing or acting?
context: It takes a lot of stamina.\Tell me about it...\Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji\I want to start right off with a question.\Which do you like better, singing or acting? response:	What's wrong?
context: Tell me about it...\Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji\I want to start right off with a question.\Which do you like better, singing or acting?\What's wrong? response:	Th-That's...
context: Our guest is a popular star who both sings and acts...\Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji\I want to start right off with a question.\Which do you like better, singing or acting?\What's wrong?\Th-That's... response:	I like them both...
context: Matsuoka Seiji-san joins us in the studio today!\Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji\I want to start right off with a question.\Which do you like better, singing or acting?\What's wrong?\Th-That's...\I like them both... response:	Huh? My little sister goes nuts over that guy!
context: Hello! I'm Matsuoka Seiji!\Guest: Matsuoka Seiji\I want to start right off with a question.\Which do you like better, singing or acting?\What's wrong?\Th-That's...\I like them both...\Huh? My little sister goes nuts over that guy! response:	And I like jazz, too...
context: Guest: Matsuoka Seiji\I want to start right off with a question.\Which do you like better, singing or acting?\What's wrong?\Th-That's...\I like them both...\Huh? My little sister goes nuts over that guy!\And I like jazz, too... response:	Hey! Get me an autograph!
context: I want to start right off with a question.\Which do you like better, singing or acting?\What's wrong?\Th-That's...\I like them both...\Huh? My little sister goes nuts over that guy!\And I like jazz, too...\Hey! Get me an autograph! response:	Oh, jazz?!
context: Which do you like better, singing or acting?\What's wrong?\Th-That's...\I like them both...\Huh? My little sister goes nuts over that guy!\And I like jazz, too...\Hey! Get me an autograph!\Oh, jazz?! response:	I see. So Matsuoka's dream came true...
context: What's wrong?\Th-That's...\I like them both...\Huh? My little sister goes nuts over that guy!\And I like jazz, too...\Hey! Get me an autograph!\Oh, jazz?!\I see. So Matsuoka's dream came true... response:	Dream...
context: Th-That's...\I like them both...\Huh? My little sister goes nuts over that guy!\And I like jazz, too...\Hey! Get me an autograph!\Oh, jazz?!\I see. So Matsuoka's dream came true...\Dream... response:	I don't believe it...
context: I like them both...\Huh? My little sister goes nuts over that guy!\And I like jazz, too...\Hey! Get me an autograph!\Oh, jazz?!\I see. So Matsuoka's dream came true...\Dream...\I don't believe it... response:	Kaoru-kun?! Kaoru-kun, is that you?!
context: Huh? My little sister goes nuts over that guy!\And I like jazz, too...\Hey! Get me an autograph!\Oh, jazz?!\I see. So Matsuoka's dream came true...\Dream...\I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?! response:	Yurika... san...
context: And I like jazz, too...\Hey! Get me an autograph!\Oh, jazz?!\I see. So Matsuoka's dream came true...\Dream...\I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san... response:	How wonderful! You've become a doctor!
context: Hey! Get me an autograph!\Oh, jazz?!\I see. So Matsuoka's dream came true...\Dream...\I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san...\How wonderful! You've become a doctor! response:	Um...
context: Oh, jazz?!\I see. So Matsuoka's dream came true...\Dream...\I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san...\How wonderful! You've become a doctor!\Um... response:	Oh, I'm six months along. Junichi-san wants a girl, but I wonder...
context: I see. So Matsuoka's dream came true...\Dream...\I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san...\How wonderful! You've become a doctor!\Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder... response:	I think he'd spoil her rotten.
context: Dream...\I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san...\How wonderful! You've become a doctor!\Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten. response:	How are you? Have you been good?
context: I don't believe it...\Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san...\How wonderful! You've become a doctor!\Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten.\How are you? Have you been good? response:	Do you still play the piano?
context: Kaoru-kun?! Kaoru-kun, is that you?!\Yurika... san...\How wonderful! You've become a doctor!\Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten.\How are you? Have you been good?\Do you still play the piano? response:	No...
context: Yurika... san...\How wonderful! You've become a doctor!\Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten.\How are you? Have you been good?\Do you still play the piano?\No... response:	I'd heard that Sentaro had taken off, but you've never seen him since then?
context: How wonderful! You've become a doctor!\Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten.\How are you? Have you been good?\Do you still play the piano?\No...\I'd heard that Sentaro had taken off, but you've never seen him since then? response:	Oh, that's right.
context: Um...\Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten.\How are you? Have you been good?\Do you still play the piano?\No...\I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right. response:	This is no time to be catching up.
context: Oh, I'm six months along. Junichi-san wants a girl, but I wonder...\I think he'd spoil her rotten.\How are you? Have you been good?\Do you still play the piano?\No...\I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right.\This is no time to be catching up. response:	There's something I've been carrying around to show everyone.
context: I think he'd spoil her rotten.\How are you? Have you been good?\Do you still play the piano?\No...\I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right.\This is no time to be catching up.\There's something I've been carrying around to show everyone. response:	A friend from back home sent me this photo,
context: How are you? Have you been good?\Do you still play the piano?\No...\I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right.\This is no time to be catching up.\There's something I've been carrying around to show everyone.\A friend from back home sent me this photo, response:	but don't you think the person on the far left looks like someone we know?
context: Do you still play the piano?\No...\I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right.\This is no time to be catching up.\There's something I've been carrying around to show everyone.\A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know? response:	U-Um...
context: No...\I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right.\This is no time to be catching up.\There's something I've been carrying around to show everyone.\A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know?\U-Um... response:	Can I borrow this photo?
context: I'd heard that Sentaro had taken off, but you've never seen him since then?\Oh, that's right.\This is no time to be catching up.\There's something I've been carrying around to show everyone.\A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know?\U-Um...\Can I borrow this photo? response:	What the hell am I doing?
context: Oh, that's right.\This is no time to be catching up.\There's something I've been carrying around to show everyone.\A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know?\U-Um...\Can I borrow this photo?\What the hell am I doing? response:	I've been trying to forget him all this time, but my heart is beating fast.
context: This is no time to be catching up.\There's something I've been carrying around to show everyone.\A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know?\U-Um...\Can I borrow this photo?\What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast. response:	There's no way I can stop this rhythm in my heart.
context: There's something I've been carrying around to show everyone.\A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know?\U-Um...\Can I borrow this photo?\What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart. response:	If you want the church, it's at the top of the slope.
context: A friend from back home sent me this photo,\but don't you think the person on the far left looks like someone we know?\U-Um...\Can I borrow this photo?\What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope. response:	Young priest? Dunno...
context: but don't you think the person on the far left looks like someone we know?\U-Um...\Can I borrow this photo?\What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope.\Young priest? Dunno... response:	The priest here has been around for years and years.
context: U-Um...\Can I borrow this photo?\What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope.\Young priest? Dunno...\The priest here has been around for years and years. response:	Yeah, I think he helps raise the orphans from around the prefecture...
context: Can I borrow this photo?\What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope.\Young priest? Dunno...\The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture... response:	He raises children?
context: What the hell am I doing?\I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope.\Young priest? Dunno...\The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture...\He raises children? response:	Yes, you mean the priest-in-training.
context: I've been trying to forget him all this time, but my heart is beating fast.\There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope.\Young priest? Dunno...\The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture...\He raises children?\Yes, you mean the priest-in-training. response:	Though I hear he does nothing but cause trouble for the poor priest...
context: There's no way I can stop this rhythm in my heart.\If you want the church, it's at the top of the slope.\Young priest? Dunno...\The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture...\He raises children?\Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest... response:	Th-Thank you!
context: If you want the church, it's at the top of the slope.\Young priest? Dunno...\The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture...\He raises children?\Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you! response:	Could it be...
context: Young priest? Dunno...\The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture...\He raises children?\Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you!\Could it be... response:	Could it be him?!
context: The priest here has been around for years and years.\Yeah, I think he helps raise the orphans from around the prefecture...\He raises children?\Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you!\Could it be...\Could it be him?! response:	Don't see this every day!
context: Yeah, I think he helps raise the orphans from around the prefecture...\He raises children?\Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you!\Could it be...\Could it be him?!\Don't see this every day! response:	Lucky!
context: He raises children?\Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you!\Could it be...\Could it be him?!\Don't see this every day!\Lucky! response:	Pick me up, too!
context: Yes, you mean the priest-in-training.\Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you!\Could it be...\Could it be him?!\Don't see this every day!\Lucky!\Pick me up, too! response:	What's wrong?
context: Though I hear he does nothing but cause trouble for the poor priest...\Th-Thank you!\Could it be...\Could it be him?!\Don't see this every day!\Lucky!\Pick me up, too!\What's wrong? response:	I always thought this day might come sometime...
context: Th-Thank you!\Could it be...\Could it be him?!\Don't see this every day!\Lucky!\Pick me up, too!\What's wrong?\I always thought this day might come sometime... response:	Looks like it's today.
context: Could it be...\Could it be him?!\Don't see this every day!\Lucky!\Pick me up, too!\What's wrong?\I always thought this day might come sometime...\Looks like it's today. response:	Enough! What do you two think you're doing?!
context: Could it be him?!\Don't see this every day!\Lucky!\Pick me up, too!\What's wrong?\I always thought this day might come sometime...\Looks like it's today.\Enough! What do you two think you're doing?! response:	I told you that you can only play on special occasions, but again, you do as you please!
context: Don't see this every day!\Lucky!\Pick me up, too!\What's wrong?\I always thought this day might come sometime...\Looks like it's today.\Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please! response:	Uh-oh! Run, Richie!
context: Lucky!\Pick me up, too!\What's wrong?\I always thought this day might come sometime...\Looks like it's today.\Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie! response:	Hey, wait! Sen!
context: Pick me up, too!\What's wrong?\I always thought this day might come sometime...\Looks like it's today.\Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie!\Hey, wait! Sen! response:	What should I do?
context: What's wrong?\I always thought this day might come sometime...\Looks like it's today.\Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie!\Hey, wait! Sen!\What should I do? response:	I forget what I was like before I met you
context: I always thought this day might come sometime...\Looks like it's today.\Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie!\Hey, wait! Sen!\What should I do?\I forget what I was like before I met you response:	The wind caresses my cheek
context: Looks like it's today.\Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie!\Hey, wait! Sen!\What should I do?\I forget what I was like before I met you\The wind caresses my cheek response:	JLullaby of BirdlandJ
context: Enough! What do you two think you're doing?!\I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie!\Hey, wait! Sen!\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ response:	Kick my heels going down the slope
context: I told you that you can only play on special occasions, but again, you do as you please!\Uh-oh! Run, Richie!\Hey, wait! Sen!\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope response:	As my worthless shadow grows
context: Uh-oh! Run, Richie!\Hey, wait! Sen!\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows response:	It's like an endless summer vacation
context: Hey, wait! Sen!\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation response:	Feels like sneakin' into the swimming pool
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool response:	Hey, let's swim with our clothes on, jump in!!
context: I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!! response:	A shocking seductive spiral
context: The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral response:	This beat that pierces my heart is strange
context: JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange response:	(It flares up, then vanishes)
context: Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes) response:	It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori
context: As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori response:	Every miserable day is swell,
context: It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori\Every miserable day is swell, response:	dress it up
context: Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori\Every miserable day is swell,\dress it up response:	A high-speed swing surrounds us
context: Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori\Every miserable day is swell,\dress it up\A high-speed swing surrounds us response:	(What's this dance called? I can't stop)
context: A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop) response:	Don't you go, it's twined around my ears
context: This beat that pierces my heart is strange\(It flares up, then vanishes)\It's been a long time. How are you? I'm writing now because there's something I want to tell you, Ritsuko-chan. A friend of mine from back home got married at a church, and in a photo of the ceremony that she sent me, there's a priest who resembles Sentaro-san. I'm not sure of it, but thought it would be worth looking into. The church is on a small island, so it should be easy to find. I just wrote this postcard to let you know. If you find anything out, please write back. Yours truly, Yukari Fukahori\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears response:	and won't leave me ever again
