context: Good morning, everyone! response:	It's a beautiful day!
context: R-Ruth... less?\Minchi sure is late...\Yeah...\Minchi!\We all made this together,\but there are some minor adjustments we need to make, so...\No, I refuse.\What? response:	I hate wearing things with frills.
context: Minchi sure is late...\Yeah...\Minchi!\We all made this together,\but there are some minor adjustments we need to make, so...\No, I refuse.\What?\I hate wearing things with frills. response:	B-But, Minchi...
context: Yeah...\Minchi!\We all made this together,\but there are some minor adjustments we need to make, so...\No, I refuse.\What?\I hate wearing things with frills.\B-But, Minchi... response:	Shut up!
context: Minchi!\We all made this together,\but there are some minor adjustments we need to make, so...\No, I refuse.\What?\I hate wearing things with frills.\B-But, Minchi...\Shut up! response:	Wait, Minchi!
context: We all made this together,\but there are some minor adjustments we need to make, so...\No, I refuse.\What?\I hate wearing things with frills.\B-But, Minchi...\Shut up!\Wait, Minchi! response:	I don't mind that you dislike me,
context: but there are some minor adjustments we need to make, so...\No, I refuse.\What?\I hate wearing things with frills.\B-But, Minchi...\Shut up!\Wait, Minchi!\I don't mind that you dislike me, response:	but we made that dress
context: No, I refuse.\What?\I hate wearing things with frills.\B-But, Minchi...\Shut up!\Wait, Minchi!\I don't mind that you dislike me,\but we made that dress response:	together with Yuina for Takako and the young master's wedding!
context: What?\I hate wearing things with frills.\B-But, Minchi...\Shut up!\Wait, Minchi!\I don't mind that you dislike me,\but we made that dress\together with Yuina for Takako and the young master's wedding! response:	We worked really hard on it!
context: I hate wearing things with frills.\B-But, Minchi...\Shut up!\Wait, Minchi!\I don't mind that you dislike me,\but we made that dress\together with Yuina for Takako and the young master's wedding!\We worked really hard on it! response:	How could you-
context: B-But, Minchi...\Shut up!\Wait, Minchi!\I don't mind that you dislike me,\but we made that dress\together with Yuina for Takako and the young master's wedding!\We worked really hard on it!\How could you- response:	Shut up!
context: Shut up!\Wait, Minchi!\I don't mind that you dislike me,\but we made that dress\together with Yuina for Takako and the young master's wedding!\We worked really hard on it!\How could you-\Shut up! response:	Worked really hard?
context: Wait, Minchi!\I don't mind that you dislike me,\but we made that dress\together with Yuina for Takako and the young master's wedding!\We worked really hard on it!\How could you-\Shut up!\Worked really hard? response:	So has Tohru!
context: I don't mind that you dislike me,\but we made that dress\together with Yuina for Takako and the young master's wedding!\We worked really hard on it!\How could you-\Shut up!\Worked really hard?\So has Tohru! response:	But you stepped all over his feelings for you!
context: but we made that dress\together with Yuina for Takako and the young master's wedding!\We worked really hard on it!\How could you-\Shut up!\Worked really hard?\So has Tohru!\But you stepped all over his feelings for you! response:	What? T-Tohru?
context: together with Yuina for Takako and the young master's wedding!\We worked really hard on it!\How could you-\Shut up!\Worked really hard?\So has Tohru!\But you stepped all over his feelings for you!\What? T-Tohru? response:	I-I've decided that I have a one-sided crush on Ko!
context: We worked really hard on it!\How could you-\Shut up!\Worked really hard?\So has Tohru!\But you stepped all over his feelings for you!\What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko! response:	I'm going to be direct like you, Minchi!
context: How could you-\Shut up!\Worked really hard?\So has Tohru!\But you stepped all over his feelings for you!\What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi! response:	So I'm-
context: Shut up!\Worked really hard?\So has Tohru!\But you stepped all over his feelings for you!\What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi!\So I'm- response:	Cut the crap!
context: Worked really hard?\So has Tohru!\But you stepped all over his feelings for you!\What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi!\So I'm-\Cut the crap! response:	Die!
context: So has Tohru!\But you stepped all over his feelings for you!\What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi!\So I'm-\Cut the crap!\Die! response:	Why do you have a crush?!
context: But you stepped all over his feelings for you!\What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi!\So I'm-\Cut the crap!\Die!\Why do you have a crush?! response:	Just go out with Tohru!
context: What? T-Tohru?\I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi!\So I'm-\Cut the crap!\Die!\Why do you have a crush?!\Just go out with Tohru! response:	Die! Die! Die!
context: I-I've decided that I have a one-sided crush on Ko!\I'm going to be direct like you, Minchi!\So I'm-\Cut the crap!\Die!\Why do you have a crush?!\Just go out with Tohru!\Die! Die! Die! response:	No!
context: I'm going to be direct like you, Minchi!\So I'm-\Cut the crap!\Die!\Why do you have a crush?!\Just go out with Tohru!\Die! Die! Die!\No! response:	If I die, I won't be able to go out with anyone!
context: So I'm-\Cut the crap!\Die!\Why do you have a crush?!\Just go out with Tohru!\Die! Die! Die!\No!\If I die, I won't be able to go out with anyone! response:	Besides, I've already decided that I have a crush on Ko!
context: Cut the crap!\Die!\Why do you have a crush?!\Just go out with Tohru!\Die! Die! Die!\No!\If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko! response:	I've decided!
context: Die!\Why do you have a crush?!\Just go out with Tohru!\Die! Die! Die!\No!\If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko!\I've decided! response:	Why?!
context: Why do you have a crush?!\Just go out with Tohru!\Die! Die! Die!\No!\If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko!\I've decided!\Why?! response:	He's just some loser!
context: Just go out with Tohru!\Die! Die! Die!\No!\If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko!\I've decided!\Why?!\He's just some loser! response:	M-Minchi!
context: Die! Die! Die!\No!\If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko!\I've decided!\Why?!\He's just some loser!\M-Minchi! response:	You've never even seen him!
context: No!\If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko!\I've decided!\Why?!\He's just some loser!\M-Minchi!\You've never even seen him! response:	Anyone's a loser compared to Tohru!
context: If I die, I won't be able to go out with anyone!\Besides, I've already decided that I have a crush on Ko!\I've decided!\Why?!\He's just some loser!\M-Minchi!\You've never even seen him!\Anyone's a loser compared to Tohru! response:	Minchi!
context: Besides, I've already decided that I have a crush on Ko!\I've decided!\Why?!\He's just some loser!\M-Minchi!\You've never even seen him!\Anyone's a loser compared to Tohru!\Minchi! response:	Tohru's so handsome! He's perfect!
context: I've decided!\Why?!\He's just some loser!\M-Minchi!\You've never even seen him!\Anyone's a loser compared to Tohru!\Minchi!\Tohru's so handsome! He's perfect! response:	Both of you, stop already!
context: Why?!\He's just some loser!\M-Minchi!\You've never even seen him!\Anyone's a loser compared to Tohru!\Minchi!\Tohru's so handsome! He's perfect!\Both of you, stop already! response:	Minko, you...
context: He's just some loser!\M-Minchi!\You've never even seen him!\Anyone's a loser compared to Tohru!\Minchi!\Tohru's so handsome! He's perfect!\Both of you, stop already!\Minko, you... response:	Wait, Minchi!
context: M-Minchi!\You've never even seen him!\Anyone's a loser compared to Tohru!\Minchi!\Tohru's so handsome! He's perfect!\Both of you, stop already!\Minko, you...\Wait, Minchi! response:	What are you? Stupid?
context: You've never even seen him!\Anyone's a loser compared to Tohru!\Minchi!\Tohru's so handsome! He's perfect!\Both of you, stop already!\Minko, you...\Wait, Minchi!\What are you? Stupid? response:	What?
context: Anyone's a loser compared to Tohru!\Minchi!\Tohru's so handsome! He's perfect!\Both of you, stop already!\Minko, you...\Wait, Minchi!\What are you? Stupid?\What? response:	Well... you're right. I'm kind of interested in Ohana.
context: Minchi!\Tohru's so handsome! He's perfect!\Both of you, stop already!\Minko, you...\Wait, Minchi!\What are you? Stupid?\What?\Well... you're right. I'm kind of interested in Ohana. response:	Perhaps I do like her.
context: Tohru's so handsome! He's perfect!\Both of you, stop already!\Minko, you...\Wait, Minchi!\What are you? Stupid?\What?\Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her. response:	But it's not like I want to do anything.
context: Both of you, stop already!\Minko, you...\Wait, Minchi!\What are you? Stupid?\What?\Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her.\But it's not like I want to do anything. response:	I just get excited watching her,
context: Minko, you...\Wait, Minchi!\What are you? Stupid?\What?\Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her.\But it's not like I want to do anything.\I just get excited watching her, response:	trying to imagine what kind of crazy stunt she'll pull next.
context: Wait, Minchi!\What are you? Stupid?\What?\Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her.\But it's not like I want to do anything.\I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next. response:	On the other hand, you keep me in great suspense.
context: What are you? Stupid?\What?\Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her.\But it's not like I want to do anything.\I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense. response:	H-Hey...
context: What?\Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her.\But it's not like I want to do anything.\I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense.\H-Hey... response:	Sorry, did I just say something awful?!
context: Well... you're right. I'm kind of interested in Ohana.\Perhaps I do like her.\But it's not like I want to do anything.\I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense.\H-Hey...\Sorry, did I just say something awful?! response:	No... No, it's just...
context: Perhaps I do like her.\But it's not like I want to do anything.\I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense.\H-Hey...\Sorry, did I just say something awful?!\No... No, it's just... response:	I'm happy...
context: But it's not like I want to do anything.\I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense.\H-Hey...\Sorry, did I just say something awful?!\No... No, it's just...\I'm happy... response:	You're willing to watch over me without even liking me...
context: I just get excited watching her,\trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense.\H-Hey...\Sorry, did I just say something awful?!\No... No, it's just...\I'm happy...\You're willing to watch over me without even liking me... response:	You really are stupid, aren't you?
context: trying to imagine what kind of crazy stunt she'll pull next.\On the other hand, you keep me in great suspense.\H-Hey...\Sorry, did I just say something awful?!\No... No, it's just...\I'm happy...\You're willing to watch over me without even liking me...\You really are stupid, aren't you? response:	I've got most of the dirt off.
context: On the other hand, you keep me in great suspense.\H-Hey...\Sorry, did I just say something awful?!\No... No, it's just...\I'm happy...\You're willing to watch over me without even liking me...\You really are stupid, aren't you?\I've got most of the dirt off. response:	Ohana!
context: H-Hey...\Sorry, did I just say something awful?!\No... No, it's just...\I'm happy...\You're willing to watch over me without even liking me...\You really are stupid, aren't you?\I've got most of the dirt off.\Ohana! response:	Wh-What?
context: Sorry, did I just say something awful?!\No... No, it's just...\I'm happy...\You're willing to watch over me without even liking me...\You really are stupid, aren't you?\I've got most of the dirt off.\Ohana!\Wh-What? response:	I was really moved!
context: No... No, it's just...\I'm happy...\You're willing to watch over me without even liking me...\You really are stupid, aren't you?\I've got most of the dirt off.\Ohana!\Wh-What?\I was really moved! response:	I've never been in love before,
context: I'm happy...\You're willing to watch over me without even liking me...\You really are stupid, aren't you?\I've got most of the dirt off.\Ohana!\Wh-What?\I was really moved!\I've never been in love before, response:	but I thought what you said was wonderful.
context: You're willing to watch over me without even liking me...\You really are stupid, aren't you?\I've got most of the dirt off.\Ohana!\Wh-What?\I was really moved!\I've never been in love before,\but I thought what you said was wonderful. response:	Wonderful?
context: You really are stupid, aren't you?\I've got most of the dirt off.\Ohana!\Wh-What?\I was really moved!\I've never been in love before,\but I thought what you said was wonderful.\Wonderful? response:	Yeah, about continuing your crush.
context: I've got most of the dirt off.\Ohana!\Wh-What?\I was really moved!\I've never been in love before,\but I thought what you said was wonderful.\Wonderful?\Yeah, about continuing your crush. response:	Fighting isn't nice, but I think both of you are wonderful.
context: Ohana!\Wh-What?\I was really moved!\I've never been in love before,\but I thought what you said was wonderful.\Wonderful?\Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful. response:	You're both able to love someone so much.
context: Wh-What?\I was really moved!\I've never been in love before,\but I thought what you said was wonderful.\Wonderful?\Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much. response:	I'm so moved!
context: I was really moved!\I've never been in love before,\but I thought what you said was wonderful.\Wonderful?\Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much.\I'm so moved! response:	Nakochi...
context: I've never been in love before,\but I thought what you said was wonderful.\Wonderful?\Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much.\I'm so moved!\Nakochi... response:	What do you mean, I'm moved?
context: but I thought what you said was wonderful.\Wonderful?\Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much.\I'm so moved!\Nakochi...\What do you mean, I'm moved? response:	Minchi!
context: Wonderful?\Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much.\I'm so moved!\Nakochi...\What do you mean, I'm moved?\Minchi! response:	Okay.
context: Yeah, about continuing your crush.\Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much.\I'm so moved!\Nakochi...\What do you mean, I'm moved?\Minchi!\Okay. response:	Wow! It looks great on you!
context: Fighting isn't nice, but I think both of you are wonderful.\You're both able to love someone so much.\I'm so moved!\Nakochi...\What do you mean, I'm moved?\Minchi!\Okay.\Wow! It looks great on you! response:	Hey, we should get her to hold some white flowers!
context: You're both able to love someone so much.\I'm so moved!\Nakochi...\What do you mean, I'm moved?\Minchi!\Okay.\Wow! It looks great on you!\Hey, we should get her to hold some white flowers! response:	I've seen it on TV!
context: I'm so moved!\Nakochi...\What do you mean, I'm moved?\Minchi!\Okay.\Wow! It looks great on you!\Hey, we should get her to hold some white flowers!\I've seen it on TV! response:	It's supposed to make it more appealing, right?
context: Nakochi...\What do you mean, I'm moved?\Minchi!\Okay.\Wow! It looks great on you!\Hey, we should get her to hold some white flowers!\I've seen it on TV!\It's supposed to make it more appealing, right? response:	I'll borrow the flowers by the staircase!
context: What do you mean, I'm moved?\Minchi!\Okay.\Wow! It looks great on you!\Hey, we should get her to hold some white flowers!\I've seen it on TV!\It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase! response:	N-Nakochi?
context: Minchi!\Okay.\Wow! It looks great on you!\Hey, we should get her to hold some white flowers!\I've seen it on TV!\It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase!\N-Nakochi? response:	Is your nose okay?
context: Okay.\Wow! It looks great on you!\Hey, we should get her to hold some white flowers!\I've seen it on TV!\It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase!\N-Nakochi?\Is your nose okay? response:	Y-Yeah, absolutely.
context: Wow! It looks great on you!\Hey, we should get her to hold some white flowers!\I've seen it on TV!\It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase!\N-Nakochi?\Is your nose okay?\Y-Yeah, absolutely. response:	See-
context: Hey, we should get her to hold some white flowers!\I've seen it on TV!\It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase!\N-Nakochi?\Is your nose okay?\Y-Yeah, absolutely.\See- response:	I won't give up.
context: I've seen it on TV!\It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase!\N-Nakochi?\Is your nose okay?\Y-Yeah, absolutely.\See-\I won't give up. response:	What?
context: It's supposed to make it more appealing, right?\I'll borrow the flowers by the staircase!\N-Nakochi?\Is your nose okay?\Y-Yeah, absolutely.\See-\I won't give up.\What? response:	I'm not giving up.
context: I'll borrow the flowers by the staircase!\N-Nakochi?\Is your nose okay?\Y-Yeah, absolutely.\See-\I won't give up.\What?\I'm not giving up. response:	A-As in you're going to try and force me to go out with Tohru?
context: N-Nakochi?\Is your nose okay?\Y-Yeah, absolutely.\See-\I won't give up.\What?\I'm not giving up.\A-As in you're going to try and force me to go out with Tohru? response:	No!
context: Is your nose okay?\Y-Yeah, absolutely.\See-\I won't give up.\What?\I'm not giving up.\A-As in you're going to try and force me to go out with Tohru?\No! response:	I want to go out with him, so...
context: Y-Yeah, absolutely.\See-\I won't give up.\What?\I'm not giving up.\A-As in you're going to try and force me to go out with Tohru?\No!\I want to go out with him, so... response:	I'm not going to give that up.
context: See-\I won't give up.\What?\I'm not giving up.\A-As in you're going to try and force me to go out with Tohru?\No!\I want to go out with him, so...\I'm not going to give that up. response:	I want to go out with him,
context: I won't give up.\What?\I'm not giving up.\A-As in you're going to try and force me to go out with Tohru?\No!\I want to go out with him, so...\I'm not going to give that up.\I want to go out with him, response:	so I'm going to continue my crush.
context: What?\I'm not giving up.\A-As in you're going to try and force me to go out with Tohru?\No!\I want to go out with him, so...\I'm not going to give that up.\I want to go out with him,\so I'm going to continue my crush. response:	Minchi...
context: I'm not giving up.\A-As in you're going to try and force me to go out with Tohru?\No!\I want to go out with him, so...\I'm not going to give that up.\I want to go out with him,\so I'm going to continue my crush.\Minchi... response:	I'm going to be direct like you said, so...
context: A-As in you're going to try and force me to go out with Tohru?\No!\I want to go out with him, so...\I'm not going to give that up.\I want to go out with him,\so I'm going to continue my crush.\Minchi...\I'm going to be direct like you said, so... response:	Balut!
context: No!\I want to go out with him, so...\I'm not going to give that up.\I want to go out with him,\so I'm going to continue my crush.\Minchi...\I'm going to be direct like you said, so...\Balut! response:	O-Ohana? Did you two fight ag-
context: I want to go out with him, so...\I'm not going to give that up.\I want to go out with him,\so I'm going to continue my crush.\Minchi...\I'm going to be direct like you said, so...\Balut!\O-Ohana? Did you two fight ag- response:	Balut is back!
context: I'm not going to give that up.\I want to go out with him,\so I'm going to continue my crush.\Minchi...\I'm going to be direct like you said, so...\Balut!\O-Ohana? Did you two fight ag-\Balut is back! response:	And after that, the preparations for the wedding went smoothly.
context: I want to go out with him,\so I'm going to continue my crush.\Minchi...\I'm going to be direct like you said, so...\Balut!\O-Ohana? Did you two fight ag-\Balut is back!\And after that, the preparations for the wedding went smoothly. response:	I sort of decided...
context: so I'm going to continue my crush.\Minchi...\I'm going to be direct like you said, so...\Balut!\O-Ohana? Did you two fight ag-\Balut is back!\And after that, the preparations for the wedding went smoothly.\I sort of decided... response:	that I'd confess to Ko after the wedding.
context: Minchi...\I'm going to be direct like you said, so...\Balut!\O-Ohana? Did you two fight ag-\Balut is back!\And after that, the preparations for the wedding went smoothly.\I sort of decided...\that I'd confess to Ko after the wedding. response:	Wow, amazing!
context: I'm going to be direct like you said, so...\Balut!\O-Ohana? Did you two fight ag-\Balut is back!\And after that, the preparations for the wedding went smoothly.\I sort of decided...\that I'd confess to Ko after the wedding.\Wow, amazing! response:	Perfect!
context: Balut!\O-Ohana? Did you two fight ag-\Balut is back!\And after that, the preparations for the wedding went smoothly.\I sort of decided...\that I'd confess to Ko after the wedding.\Wow, amazing!\Perfect! response:	You decorated in even the smallest of places!
context: O-Ohana? Did you two fight ag-\Balut is back!\And after that, the preparations for the wedding went smoothly.\I sort of decided...\that I'd confess to Ko after the wedding.\Wow, amazing!\Perfect!\You decorated in even the smallest of places! response:	Thanks. I have the feeling that this will
context: Balut is back!\And after that, the preparations for the wedding went smoothly.\I sort of decided...\that I'd confess to Ko after the wedding.\Wow, amazing!\Perfect!\You decorated in even the smallest of places!\Thanks. I have the feeling that this will response:	Thank you so much!
context: And after that, the preparations for the wedding went smoothly.\I sort of decided...\that I'd confess to Ko after the wedding.\Wow, amazing!\Perfect!\You decorated in even the smallest of places!\Thanks. I have the feeling that this will\Thank you so much! response:	be a wonderful wedding thanks to you all.
context: I sort of decided...\that I'd confess to Ko after the wedding.\Wow, amazing!\Perfect!\You decorated in even the smallest of places!\Thanks. I have the feeling that this will\Thank you so much!\be a wonderful wedding thanks to you all. response:	This is wonderful!
context: that I'd confess to Ko after the wedding.\Wow, amazing!\Perfect!\You decorated in even the smallest of places!\Thanks. I have the feeling that this will\Thank you so much!\be a wonderful wedding thanks to you all.\This is wonderful! response:	I think so too!
context: Wow, amazing!\Perfect!\You decorated in even the smallest of places!\Thanks. I have the feeling that this will\Thank you so much!\be a wonderful wedding thanks to you all.\This is wonderful!\I think so too! response:	Minchi, this way!
context: Perfect!\You decorated in even the smallest of places!\Thanks. I have the feeling that this will\Thank you so much!\be a wonderful wedding thanks to you all.\This is wonderful!\I think so too!\Minchi, this way! response:	Please excuse us!
context: You decorated in even the smallest of places!\Thanks. I have the feeling that this will\Thank you so much!\be a wonderful wedding thanks to you all.\This is wonderful!\I think so too!\Minchi, this way!\Please excuse us! response:	You're so pretty, Takako...
context: Thanks. I have the feeling that this will\Thank you so much!\be a wonderful wedding thanks to you all.\This is wonderful!\I think so too!\Minchi, this way!\Please excuse us!\You're so pretty, Takako... response:	Of course!
context: Thank you so much!\be a wonderful wedding thanks to you all.\This is wonderful!\I think so too!\Minchi, this way!\Please excuse us!\You're so pretty, Takako...\Of course! response:	This is the day a woman looks the prettiest in her life!
context: be a wonderful wedding thanks to you all.\This is wonderful!\I think so too!\Minchi, this way!\Please excuse us!\You're so pretty, Takako...\Of course!\This is the day a woman looks the prettiest in her life! response:	In a woman's life...
context: This is wonderful!\I think so too!\Minchi, this way!\Please excuse us!\You're so pretty, Takako...\Of course!\This is the day a woman looks the prettiest in her life!\In a woman's life... response:	I have a favor to ask you.
context: I think so too!\Minchi, this way!\Please excuse us!\You're so pretty, Takako...\Of course!\This is the day a woman looks the prettiest in her life!\In a woman's life...\I have a favor to ask you. response:	About the bouquet toss...
context: Minchi, this way!\Please excuse us!\You're so pretty, Takako...\Of course!\This is the day a woman looks the prettiest in her life!\In a woman's life...\I have a favor to ask you.\About the bouquet toss... response:	All right!
context: Please excuse us!\You're so pretty, Takako...\Of course!\This is the day a woman looks the prettiest in her life!\In a woman's life...\I have a favor to ask you.\About the bouquet toss...\All right! response:	I haven't seen you since college.
context: You're so pretty, Takako...\Of course!\This is the day a woman looks the prettiest in her life!\In a woman's life...\I have a favor to ask you.\About the bouquet toss...\All right!\I haven't seen you since college. response:	When did you start dating Takako?
context: Of course!\This is the day a woman looks the prettiest in her life!\In a woman's life...\I have a favor to ask you.\About the bouquet toss...\All right!\I haven't seen you since college.\When did you start dating Takako? response:	W-Well...
context: This is the day a woman looks the prettiest in her life!\In a woman's life...\I have a favor to ask you.\About the bouquet toss...\All right!\I haven't seen you since college.\When did you start dating Takako?\W-Well... response:	We've become bride and groom on this day,
context: In a woman's life...\I have a favor to ask you.\About the bouquet toss...\All right!\I haven't seen you since college.\When did you start dating Takako?\W-Well...\We've become bride and groom on this day, response:	and we're so happy to be able to announce
context: I have a favor to ask you.\About the bouquet toss...\All right!\I haven't seen you since college.\When did you start dating Takako?\W-Well...\We've become bride and groom on this day,\and we're so happy to be able to announce response:	this to you all this afternoon.
context: About the bouquet toss...\All right!\I haven't seen you since college.\When did you start dating Takako?\W-Well...\We've become bride and groom on this day,\and we're so happy to be able to announce\this to you all this afternoon. response:	We swear to work together as a married couple,
context: All right!\I haven't seen you since college.\When did you start dating Takako?\W-Well...\We've become bride and groom on this day,\and we're so happy to be able to announce\this to you all this afternoon.\We swear to work together as a married couple, response:	and to start up a warm, happy family.
context: I haven't seen you since college.\When did you start dating Takako?\W-Well...\We've become bride and groom on this day,\and we're so happy to be able to announce\this to you all this afternoon.\We swear to work together as a married couple,\and to start up a warm, happy family. response:	Okay, bring it on!
context: When did you start dating Takako?\W-Well...\We've become bride and groom on this day,\and we're so happy to be able to announce\this to you all this afternoon.\We swear to work together as a married couple,\and to start up a warm, happy family.\Okay, bring it on! response:	The wedding ceremony's over!
context: W-Well...\We've become bride and groom on this day,\and we're so happy to be able to announce\this to you all this afternoon.\We swear to work together as a married couple,\and to start up a warm, happy family.\Okay, bring it on!\The wedding ceremony's over! response:	Now we're in a race against time!
context: We've become bride and groom on this day,\and we're so happy to be able to announce\this to you all this afternoon.\We swear to work together as a married couple,\and to start up a warm, happy family.\Okay, bring it on!\The wedding ceremony's over!\Now we're in a race against time! response:	Okay!
context: and we're so happy to be able to announce\this to you all this afternoon.\We swear to work together as a married couple,\and to start up a warm, happy family.\Okay, bring it on!\The wedding ceremony's over!\Now we're in a race against time!\Okay! response:	What should I do...
context: this to you all this afternoon.\We swear to work together as a married couple,\and to start up a warm, happy family.\Okay, bring it on!\The wedding ceremony's over!\Now we're in a race against time!\Okay!\What should I do... response:	I'm nervous about being the master of ceremonies...
context: We swear to work together as a married couple,\and to start up a warm, happy family.\Okay, bring it on!\The wedding ceremony's over!\Now we're in a race against time!\Okay!\What should I do...\I'm nervous about being the master of ceremonies... response:	Hey, Oshimizu,
context: and to start up a warm, happy family.\Okay, bring it on!\The wedding ceremony's over!\Now we're in a race against time!\Okay!\What should I do...\I'm nervous about being the master of ceremonies...\Hey, Oshimizu, response:	does my hair look fine? Is it weird?
context: Okay, bring it on!\The wedding ceremony's over!\Now we're in a race against time!\Okay!\What should I do...\I'm nervous about being the master of ceremonies...\Hey, Oshimizu,\does my hair look fine? Is it weird? response:	It looks fine! Later!
context: The wedding ceremony's over!\Now we're in a race against time!\Okay!\What should I do...\I'm nervous about being the master of ceremonies...\Hey, Oshimizu,\does my hair look fine? Is it weird?\It looks fine! Later! response:	Oshimizu looks so nice when she's hustling!
context: Now we're in a race against time!\Okay!\What should I do...\I'm nervous about being the master of ceremonies...\Hey, Oshimizu,\does my hair look fine? Is it weird?\It looks fine! Later!\Oshimizu looks so nice when she's hustling! response:	A kitchen is a battlefield! Let's go!
context: Okay!\What should I do...\I'm nervous about being the master of ceremonies...\Hey, Oshimizu,\does my hair look fine? Is it weird?\It looks fine! Later!\Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go! response:	Yes, sir!
context: What should I do...\I'm nervous about being the master of ceremonies...\Hey, Oshimizu,\does my hair look fine? Is it weird?\It looks fine! Later!\Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go!\Yes, sir! response:	Good!
context: I'm nervous about being the master of ceremonies...\Hey, Oshimizu,\does my hair look fine? Is it weird?\It looks fine! Later!\Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go!\Yes, sir!\Good! response:	Tohru, give me some orders.
context: Hey, Oshimizu,\does my hair look fine? Is it weird?\It looks fine! Later!\Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go!\Yes, sir!\Good!\Tohru, give me some orders. response:	Huh?
context: does my hair look fine? Is it weird?\It looks fine! Later!\Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go!\Yes, sir!\Good!\Tohru, give me some orders.\Huh? response:	You're in charge today.
context: It looks fine! Later!\Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go!\Yes, sir!\Good!\Tohru, give me some orders.\Huh?\You're in charge today. response:	Okay!
context: Oshimizu looks so nice when she's hustling!\A kitchen is a battlefield! Let's go!\Yes, sir!\Good!\Tohru, give me some orders.\Huh?\You're in charge today.\Okay! response:	Could you parboil those vegetables,
context: A kitchen is a battlefield! Let's go!\Yes, sir!\Good!\Tohru, give me some orders.\Huh?\You're in charge today.\Okay!\Could you parboil those vegetables, response:	descale the carp,
context: Yes, sir!\Good!\Tohru, give me some orders.\Huh?\You're in charge today.\Okay!\Could you parboil those vegetables,\descale the carp, response:	fry those,
context: Good!\Tohru, give me some orders.\Huh?\You're in charge today.\Okay!\Could you parboil those vegetables,\descale the carp,\fry those, response:	and decorate the dishes with the cucumbers?
context: Tohru, give me some orders.\Huh?\You're in charge today.\Okay!\Could you parboil those vegetables,\descale the carp,\fry those,\and decorate the dishes with the cucumbers? response:	Th-That's quite a lot of work.
context: Huh?\You're in charge today.\Okay!\Could you parboil those vegetables,\descale the carp,\fry those,\and decorate the dishes with the cucumbers?\Th-That's quite a lot of work. response:	Okay, I'd like to read the congratulatory greetings now.
