context: I may have needed more soy sauce. response:	I may have needed more soy sauce.
context: They must be quite skilled.\Which report did they take?\Document Number E-7581A.\Why would they take that one?\What's it about?\Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents? response:	The parents were on our side.
context: Which report did they take?\Document Number E-7581A.\Why would they take that one?\What's it about?\Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents?\The parents were on our side. response:	She has her parents' talent.
context: Document Number E-7581A.\Why would they take that one?\What's it about?\Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents?\The parents were on our side.\She has her parents' talent. response:	That's the boat that was on the page.
context: Why would they take that one?\What's it about?\Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents?\The parents were on our side.\She has her parents' talent.\That's the boat that was on the page. response:	I don't trust you.
context: What's it about?\Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents?\The parents were on our side.\She has her parents' talent.\That's the boat that was on the page.\I don't trust you. response:	I don't want your trust.
context: Investigation records that would reduce her punishment.\It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents?\The parents were on our side.\She has her parents' talent.\That's the boat that was on the page.\I don't trust you.\I don't want your trust. response:	Whose trust do you want, then?
context: It's a record of the ability Demon Snow, and her parents whom she killed.\Ability aside, why the parents?\The parents were on our side.\She has her parents' talent.\That's the boat that was on the page.\I don't trust you.\I don't want your trust.\Whose trust do you want, then? response:	Here.
context: Ability aside, why the parents?\The parents were on our side.\She has her parents' talent.\That's the boat that was on the page.\I don't trust you.\I don't want your trust.\Whose trust do you want, then?\Here. response:	It's the briefcase mentioned in the request.
context: The parents were on our side.\She has her parents' talent.\That's the boat that was on the page.\I don't trust you.\I don't want your trust.\Whose trust do you want, then?\Here.\It's the briefcase mentioned in the request. response:	There's nothing inside.
context: She has her parents' talent.\That's the boat that was on the page.\I don't trust you.\I don't want your trust.\Whose trust do you want, then?\Here.\It's the briefcase mentioned in the request.\There's nothing inside. response:	I didn't steal it!
context: That's the boat that was on the page.\I don't trust you.\I don't want your trust.\Whose trust do you want, then?\Here.\It's the briefcase mentioned in the request.\There's nothing inside.\I didn't steal it! response:	There's something in the bottom.
context: I don't trust you.\I don't want your trust.\Whose trust do you want, then?\Here.\It's the briefcase mentioned in the request.\There's nothing inside.\I didn't steal it!\There's something in the bottom. response:	Investigation Report
context: I don't want your trust.\Whose trust do you want, then?\Here.\It's the briefcase mentioned in the request.\There's nothing inside.\I didn't steal it!\There's something in the bottom.\Investigation Report response:	Employment Gift
context: Whose trust do you want, then?\Here.\It's the briefcase mentioned in the request.\There's nothing inside.\I didn't steal it!\There's something in the bottom.\Investigation Report\Employment Gift response:	Employment Gift?
context: Here.\It's the briefcase mentioned in the request.\There's nothing inside.\I didn't steal it!\There's something in the bottom.\Investigation Report\Employment Gift\Employment Gift? response:	The report described the events of the day Kyouka-chan's parents died.
context: It's the briefcase mentioned in the request.\There's nothing inside.\I didn't steal it!\There's something in the bottom.\Investigation Report\Employment Gift\Employment Gift?\The report described the events of the day Kyouka-chan's parents died. response:	Do you know what your parents did for work?
context: There's nothing inside.\I didn't steal it!\There's something in the bottom.\Investigation Report\Employment Gift\Employment Gift?\The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work? response:	I don't know.
context: I didn't steal it!\There's something in the bottom.\Investigation Report\Employment Gift\Employment Gift?\The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work?\I don't know. response:	Three Years Ago
context: There's something in the bottom.\Investigation Report\Employment Gift\Employment Gift?\The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work?\I don't know.\Three Years Ago response:	What's the matter?
context: Investigation Report\Employment Gift\Employment Gift?\The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work?\I don't know.\Three Years Ago\What's the matter? response:	Nothing.
context: Employment Gift\Employment Gift?\The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work?\I don't know.\Three Years Ago\What's the matter?\Nothing. response:	I'm just glad I didn't have to work too late.
context: Employment Gift?\The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work?\I don't know.\Three Years Ago\What's the matter?\Nothing.\I'm just glad I didn't have to work too late. response:	Dinner's delicious, and I get to be with you and our daughter.
context: The report described the events of the day Kyouka-chan's parents died.\Do you know what your parents did for work?\I don't know.\Three Years Ago\What's the matter?\Nothing.\I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter. response:	This is the greatest...
context: Do you know what your parents did for work?\I don't know.\Three Years Ago\What's the matter?\Nothing.\I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter.\This is the greatest... response:	moment of my life.
context: I don't know.\Three Years Ago\What's the matter?\Nothing.\I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter.\This is the greatest...\moment of my life. response:	Kyouka-chan's father was a former government spy.
context: Three Years Ago\What's the matter?\Nothing.\I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter.\This is the greatest...\moment of my life.\Kyouka-chan's father was a former government spy. response:	Her mother was gifted with Demon Snow, a murderous ability.
context: What's the matter?\Nothing.\I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter.\This is the greatest...\moment of my life.\Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability. response:	She and her husband were involved in countless assassinations.
context: Nothing.\I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter.\This is the greatest...\moment of my life.\Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations. response:	My body's moving on its own.
context: I'm just glad I didn't have to work too late.\Dinner's delicious, and I get to be with you and our daughter.\This is the greatest...\moment of my life.\Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations.\My body's moving on its own. response:	Kill me!
context: Dinner's delicious, and I get to be with you and our daughter.\This is the greatest...\moment of my life.\Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations.\My body's moving on its own.\Kill me! response:	It's an ability that uses blood as a medium for mind control.
context: This is the greatest...\moment of my life.\Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations.\My body's moving on its own.\Kill me!\It's an ability that uses blood as a medium for mind control. response:	Demon Snow...
context: moment of my life.\Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations.\My body's moving on its own.\Kill me!\It's an ability that uses blood as a medium for mind control.\Demon Snow... response:	Protect my daughter!
context: Kyouka-chan's father was a former government spy.\Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations.\My body's moving on its own.\Kill me!\It's an ability that uses blood as a medium for mind control.\Demon Snow...\Protect my daughter! response:	Go, Kyouka.
context: Her mother was gifted with Demon Snow, a murderous ability.\She and her husband were involved in countless assassinations.\My body's moving on its own.\Kill me!\It's an ability that uses blood as a medium for mind control.\Demon Snow...\Protect my daughter!\Go, Kyouka. response:	Your mother will always be by your side.
context: She and her husband were involved in countless assassinations.\My body's moving on its own.\Kill me!\It's an ability that uses blood as a medium for mind control.\Demon Snow...\Protect my daughter!\Go, Kyouka.\Your mother will always be by your side. response:	Her parents were struck down by a gifted who had a score to settle with them.
context: My body's moving on its own.\Kill me!\It's an ability that uses blood as a medium for mind control.\Demon Snow...\Protect my daughter!\Go, Kyouka.\Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them. response:	The government, unable to make her parents' existence public,
context: Kill me!\It's an ability that uses blood as a medium for mind control.\Demon Snow...\Protect my daughter!\Go, Kyouka.\Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public, response:	treated it as a case of her having lost control of her ability.
context: It's an ability that uses blood as a medium for mind control.\Demon Snow...\Protect my daughter!\Go, Kyouka.\Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability. response:	But Demon Snow is my ability.
context: Demon Snow...\Protect my daughter!\Go, Kyouka.\Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability.\But Demon Snow is my ability. response:	I've heard that there's a way to transfer abilities to family members.
context: Protect my daughter!\Go, Kyouka.\Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability.\But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members. response:	It seems your mother learned how to do that
context: Go, Kyouka.\Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability.\But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that response:	from a gifted who controlled black shadows.
context: Your mother will always be by your side.\Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability.\But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that\from a gifted who controlled black shadows. response:	But because it was a sudden attack and the transfer was partial,
context: Her parents were struck down by a gifted who had a score to settle with them.\The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability.\But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that\from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial, response:	Demon Snow can only be controlled using that cell phone.
context: The government, unable to make her parents' existence public,\treated it as a case of her having lost control of her ability.\But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that\from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone. response:	A few days before my parents were killed,
context: treated it as a case of her having lost control of her ability.\But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that\from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed, response:	Mother gave me this phone and told me to never let go of it.
context: But Demon Snow is my ability.\I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that\from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it. response:	That's why she never let go of her cell phone, even after she joined the Port Mafia.
context: I've heard that there's a way to transfer abilities to family members.\It seems your mother learned how to do that\from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia. response:	What I saw that day...
context: It seems your mother learned how to do that\from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day... response:	Demon Snow didn't kill them.
context: from a gifted who controlled black shadows.\But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day...\Demon Snow didn't kill them. response:	Kyouka-chan, if there's anything I
context: But because it was a sudden attack and the transfer was partial,\Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day...\Demon Snow didn't kill them.\Kyouka-chan, if there's anything I response:	That hurts. Jeez.
context: Demon Snow can only be controlled using that cell phone.\A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day...\Demon Snow didn't kill them.\Kyouka-chan, if there's anything I\That hurts. Jeez. response:	You're so dense.
context: A few days before my parents were killed,\Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day...\Demon Snow didn't kill them.\Kyouka-chan, if there's anything I\That hurts. Jeez.\You're so dense. response:	She resented her ability for killing her parents,
context: Mother gave me this phone and told me to never let go of it.\That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day...\Demon Snow didn't kill them.\Kyouka-chan, if there's anything I\That hurts. Jeez.\You're so dense.\She resented her ability for killing her parents, response:	when in fact it was the embodiment of her parents' love.
context: That's why she never let go of her cell phone, even after she joined the Port Mafia.\What I saw that day...\Demon Snow didn't kill them.\Kyouka-chan, if there's anything I\That hurts. Jeez.\You're so dense.\She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love. response:	Give her some time to herself.
context: What I saw that day...\Demon Snow didn't kill them.\Kyouka-chan, if there's anything I\That hurts. Jeez.\You're so dense.\She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love.\Give her some time to herself. response:	Her parents' love...
context: Demon Snow didn't kill them.\Kyouka-chan, if there's anything I\That hurts. Jeez.\You're so dense.\She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love.\Give her some time to herself.\Her parents' love... response:	But who put that report in the briefcase?
context: Kyouka-chan, if there's anything I\That hurts. Jeez.\You're so dense.\She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love.\Give her some time to herself.\Her parents' love...\But who put that report in the briefcase? response:	I heard the news.
context: That hurts. Jeez.\You're so dense.\She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love.\Give her some time to herself.\Her parents' love...\But who put that report in the briefcase?\I heard the news. response:	Apparently you used six month's worth of operating budget
context: You're so dense.\She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love.\Give her some time to herself.\Her parents' love...\But who put that report in the briefcase?\I heard the news.\Apparently you used six month's worth of operating budget response:	to obtain information from the Special Operations Division.
context: She resented her ability for killing her parents,\when in fact it was the embodiment of her parents' love.\Give her some time to herself.\Her parents' love...\But who put that report in the briefcase?\I heard the news.\Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division. response:	How generous.
context: when in fact it was the embodiment of her parents' love.\Give her some time to herself.\Her parents' love...\But who put that report in the briefcase?\I heard the news.\Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division.\How generous. response:	I suppose.
context: Give her some time to herself.\Her parents' love...\But who put that report in the briefcase?\I heard the news.\Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division.\How generous.\I suppose. response:	It's her new employment gift.
context: Her parents' love...\But who put that report in the briefcase?\I heard the news.\Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division.\How generous.\I suppose.\It's her new employment gift. response:	It's money well spent.
context: But who put that report in the briefcase?\I heard the news.\Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division.\How generous.\I suppose.\It's her new employment gift.\It's money well spent. response:	Episode 31 Part 2
context: I heard the news.\Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division.\How generous.\I suppose.\It's her new employment gift.\It's money well spent.\Episode 31 Part 2 response:	Portait of a Father
context: Apparently you used six month's worth of operating budget\to obtain information from the Special Operations Division.\How generous.\I suppose.\It's her new employment gift.\It's money well spent.\Episode 31 Part 2\Portait of a Father response:	Atsushi-kun!
context: to obtain information from the Special Operations Division.\How generous.\I suppose.\It's her new employment gift.\It's money well spent.\Episode 31 Part 2\Portait of a Father\Atsushi-kun! response:	Over here.
context: How generous.\I suppose.\It's her new employment gift.\It's money well spent.\Episode 31 Part 2\Portait of a Father\Atsushi-kun!\Over here. response:	Sorry, I'm filling in for Rampo-san.
context: I suppose.\It's her new employment gift.\It's money well spent.\Episode 31 Part 2\Portait of a Father\Atsushi-kun!\Over here.\Sorry, I'm filling in for Rampo-san. response:	Filling in?
context: It's her new employment gift.\It's money well spent.\Episode 31 Part 2\Portait of a Father\Atsushi-kun!\Over here.\Sorry, I'm filling in for Rampo-san.\Filling in? response:	What about Rampo-san?
context: It's money well spent.\Episode 31 Part 2\Portait of a Father\Atsushi-kun!\Over here.\Sorry, I'm filling in for Rampo-san.\Filling in?\What about Rampo-san? response:	Well...
context: Episode 31 Part 2\Portait of a Father\Atsushi-kun!\Over here.\Sorry, I'm filling in for Rampo-san.\Filling in?\What about Rampo-san?\Well... response:	Hey, Atsushi.
context: Portait of a Father\Atsushi-kun!\Over here.\Sorry, I'm filling in for Rampo-san.\Filling in?\What about Rampo-san?\Well...\Hey, Atsushi. response:	Gather'round!
context: Atsushi-kun!\Over here.\Sorry, I'm filling in for Rampo-san.\Filling in?\What about Rampo-san?\Well...\Hey, Atsushi.\Gather'round! response:	Investigation Partnership Request
context: Over here.\Sorry, I'm filling in for Rampo-san.\Filling in?\What about Rampo-san?\Well...\Hey, Atsushi.\Gather'round!\Investigation Partnership Request response:	Rampo E.
context: Sorry, I'm filling in for Rampo-san.\Filling in?\What about Rampo-san?\Well...\Hey, Atsushi.\Gather'round!\Investigation Partnership Request\Rampo E. response:	Investigation of truck collision and unidentified man in Miyagawa, Noge City
context: Filling in?\What about Rampo-san?\Well...\Hey, Atsushi.\Gather'round!\Investigation Partnership Request\Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City response:	Can you go do this for me?
context: What about Rampo-san?\Well...\Hey, Atsushi.\Gather'round!\Investigation Partnership Request\Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me? response:	But the request is for you.
context: Well...\Hey, Atsushi.\Gather'round!\Investigation Partnership Request\Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me?\But the request is for you. response:	I can't.
context: Hey, Atsushi.\Gather'round!\Investigation Partnership Request\Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me?\But the request is for you.\I can't. response:	My baked snacks are nice and fresh right now.
context: Gather'round!\Investigation Partnership Request\Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me?\But the request is for you.\I can't.\My baked snacks are nice and fresh right now. response:	Oh, well. That can't be helped.
context: Investigation Partnership Request\Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me?\But the request is for you.\I can't.\My baked snacks are nice and fresh right now.\Oh, well. That can't be helped. response:	Yeah.
context: Rampo E.\Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me?\But the request is for you.\I can't.\My baked snacks are nice and fresh right now.\Oh, well. That can't be helped.\Yeah. response:	So...
context: Investigation of truck collision and unidentified man in Miyagawa, Noge City\Can you go do this for me?\But the request is for you.\I can't.\My baked snacks are nice and fresh right now.\Oh, well. That can't be helped.\Yeah.\So... response:	The victim is a male in his forties.
context: Can you go do this for me?\But the request is for you.\I can't.\My baked snacks are nice and fresh right now.\Oh, well. That can't be helped.\Yeah.\So...\The victim is a male in his forties. response:	He was struck by the truck and died on impact.
context: But the request is for you.\I can't.\My baked snacks are nice and fresh right now.\Oh, well. That can't be helped.\Yeah.\So...\The victim is a male in his forties.\He was struck by the truck and died on impact. response:	His face was destroyed, so we don't know who he is yet.
context: I can't.\My baked snacks are nice and fresh right now.\Oh, well. That can't be helped.\Yeah.\So...\The victim is a male in his forties.\He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet. response:	According to the driver, he jumped out onto the road.
context: My baked snacks are nice and fresh right now.\Oh, well. That can't be helped.\Yeah.\So...\The victim is a male in his forties.\He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road. response:	It's a newspaper article.
context: Oh, well. That can't be helped.\Yeah.\So...\The victim is a male in his forties.\He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road.\It's a newspaper article. response:	There might be more around here.
context: Yeah.\So...\The victim is a male in his forties.\He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road.\It's a newspaper article.\There might be more around here. response:	Super mystery solver!
context: So...\The victim is a male in his forties.\He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road.\It's a newspaper article.\There might be more around here.\Super mystery solver! response:	Huh?
context: The victim is a male in his forties.\He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road.\It's a newspaper article.\There might be more around here.\Super mystery solver!\Huh? response:	No good.
context: He was struck by the truck and died on impact.\His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road.\It's a newspaper article.\There might be more around here.\Super mystery solver!\Huh?\No good. response:	I can't figure anything out.
context: His face was destroyed, so we don't know who he is yet.\According to the driver, he jumped out onto the road.\It's a newspaper article.\There might be more around here.\Super mystery solver!\Huh?\No good.\I can't figure anything out. response:	Speaking of solving mysteries, before I left, Rampo-san said...
context: According to the driver, he jumped out onto the road.\It's a newspaper article.\There might be more around here.\Super mystery solver!\Huh?\No good.\I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said... response:	This is your case now, but I'll give you one piece of advice.
context: It's a newspaper article.\There might be more around here.\Super mystery solver!\Huh?\No good.\I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice. response:	If you get stumped, find a flower shop.
context: There might be more around here.\Super mystery solver!\Huh?\No good.\I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop. response:	A flower shop?
context: Super mystery solver!\Huh?\No good.\I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop.\A flower shop? response:	Yes.
context: Huh?\No good.\I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop.\A flower shop?\Yes. response:	A flower shop.
context: No good.\I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop.\A flower shop?\Yes.\A flower shop. response:	Tanizaki-san.
context: I can't figure anything out.\Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop.\A flower shop?\Yes.\A flower shop.\Tanizaki-san. response:	Coming.
context: Speaking of solving mysteries, before I left, Rampo-san said...\This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop.\A flower shop?\Yes.\A flower shop.\Tanizaki-san.\Coming. response:	A flower shop, huh?
context: This is your case now, but I'll give you one piece of advice.\If you get stumped, find a flower shop.\A flower shop?\Yes.\A flower shop.\Tanizaki-san.\Coming.\A flower shop, huh? response:	Atsushi-kun.
context: If you get stumped, find a flower shop.\A flower shop?\Yes.\A flower shop.\Tanizaki-san.\Coming.\A flower shop, huh?\Atsushi-kun. response:	They've identified the victim from his fingerprints.
context: A flower shop?\Yes.\A flower shop.\Tanizaki-san.\Coming.\A flower shop, huh?\Atsushi-kun.\They've identified the victim from his fingerprints. response:	This is him.
context: Yes.\A flower shop.\Tanizaki-san.\Coming.\A flower shop, huh?\Atsushi-kun.\They've identified the victim from his fingerprints.\This is him. response:	Atsushi-kun?
context: A flower shop.\Tanizaki-san.\Coming.\A flower shop, huh?\Atsushi-kun.\They've identified the victim from his fingerprints.\This is him.\Atsushi-kun? response:	Why?
context: Tanizaki-san.\Coming.\A flower shop, huh?\Atsushi-kun.\They've identified the victim from his fingerprints.\This is him.\Atsushi-kun?\Why? response:	Why are you here?
context: Coming.\A flower shop, huh?\Atsushi-kun.\They've identified the victim from his fingerprints.\This is him.\Atsushi-kun?\Why?\Why are you here? response:	Why, Headmaster?!
context: A flower shop, huh?\Atsushi-kun.\They've identified the victim from his fingerprints.\This is him.\Atsushi-kun?\Why?\Why are you here?\Why, Headmaster?! response:	I can't believe it.
context: Atsushi-kun.\They've identified the victim from his fingerprints.\This is him.\Atsushi-kun?\Why?\Why are you here?\Why, Headmaster?!\I can't believe it. response:	The headmaster is dead.
context: They've identified the victim from his fingerprints.\This is him.\Atsushi-kun?\Why?\Why are you here?\Why, Headmaster?!\I can't believe it.\The headmaster is dead. response:	Are you all right?
context: This is him.\Atsushi-kun?\Why?\Why are you here?\Why, Headmaster?!\I can't believe it.\The headmaster is dead.\Are you all right? response:	You can take a break if it's too painful.
context: Atsushi-kun?\Why?\Why are you here?\Why, Headmaster?!\I can't believe it.\The headmaster is dead.\Are you all right?\You can take a break if it's too painful. response:	Painful?
context: Why?\Why are you here?\Why, Headmaster?!\I can't believe it.\The headmaster is dead.\Are you all right?\You can take a break if it's too painful.\Painful? response:	Why?
context: Why are you here?\Why, Headmaster?!\I can't believe it.\The headmaster is dead.\Are you all right?\You can take a break if it's too painful.\Painful?\Why? response:	I feel absolutely great.
context: Why, Headmaster?!\I can't believe it.\The headmaster is dead.\Are you all right?\You can take a break if it's too painful.\Painful?\Why?\I feel absolutely great. response:	That headmaster is dead!
context: I can't believe it.\The headmaster is dead.\Are you all right?\You can take a break if it's too painful.\Painful?\Why?\I feel absolutely great.\That headmaster is dead! response:	The reason behind the nightmares that haunt me every night is gone!
context: The headmaster is dead.\Are you all right?\You can take a break if it's too painful.\Painful?\Why?\I feel absolutely great.\That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone! response:	Aren't you curious to know why your headmaster was in town?
context: Are you all right?\You can take a break if it's too painful.\Painful?\Why?\I feel absolutely great.\That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town? response:	I don't even want to know.
context: You can take a break if it's too painful.\Painful?\Why?\I feel absolutely great.\That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town?\I don't even want to know. response:	Back then, I lived every day of my life abandoned.
context: Painful?\Why?\I feel absolutely great.\That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town?\I don't even want to know.\Back then, I lived every day of my life abandoned. response:	Nobody expected anything of me.
context: Why?\I feel absolutely great.\That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town?\I don't even want to know.\Back then, I lived every day of my life abandoned.\Nobody expected anything of me. response:	I never even knew who I was.
context: I feel absolutely great.\That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town?\I don't even want to know.\Back then, I lived every day of my life abandoned.\Nobody expected anything of me.\I never even knew who I was. response:	Do you hate me?
context: That headmaster is dead!\The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town?\I don't even want to know.\Back then, I lived every day of my life abandoned.\Nobody expected anything of me.\I never even knew who I was.\Do you hate me? response:	Do you know why you've been locked up?
context: The reason behind the nightmares that haunt me every night is gone!\Aren't you curious to know why your headmaster was in town?\I don't even want to know.\Back then, I lived every day of my life abandoned.\Nobody expected anything of me.\I never even knew who I was.\Do you hate me?\Do you know why you've been locked up? response:	Because you hate me.
context: Aren't you curious to know why your headmaster was in town?\I don't even want to know.\Back then, I lived every day of my life abandoned.\Nobody expected anything of me.\I never even knew who I was.\Do you hate me?\Do you know why you've been locked up?\Because you hate me. response:	No.
context: I don't even want to know.\Back then, I lived every day of my life abandoned.\Nobody expected anything of me.\I never even knew who I was.\Do you hate me?\Do you know why you've been locked up?\Because you hate me.\No. response:	It's because I became a tiger and wreaked havoc.
