context: So many kinds of weapons! response:	All made from the bones and hides of demons!
context: This priestess must have had immense spiritual power.\The court nobles controlled power at that time.\Wars and famine dragged on and on...\and countless people perished.\By devouring the dead and the near-dead...\demons grew in number.\Many priests and warriors set out to saly them...\but one priestess known as Midoriko... response:	was able to purify demons' souls and render them harmless.
context: The court nobles controlled power at that time.\Wars and famine dragged on and on...\and countless people perished.\By devouring the dead and the near-dead...\demons grew in number.\Many priests and warriors set out to saly them...\but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless. response:	She ranked the strongest of them all.
context: Wars and famine dragged on and on...\and countless people perished.\By devouring the dead and the near-dead...\demons grew in number.\Many priests and warriors set out to saly them...\but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless.\She ranked the strongest of them all. response:	She was able to purify the souls and weaken the demons?
context: and countless people perished.\By devouring the dead and the near-dead...\demons grew in number.\Many priests and warriors set out to saly them...\but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless.\She ranked the strongest of them all.\She was able to purify the souls and weaken the demons? response:	Yes...
context: By devouring the dead and the near-dead...\demons grew in number.\Many priests and warriors set out to saly them...\but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless.\She ranked the strongest of them all.\She was able to purify the souls and weaken the demons?\Yes... response:	In this world...
context: demons grew in number.\Many priests and warriors set out to saly them...\but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless.\She ranked the strongest of them all.\She was able to purify the souls and weaken the demons?\Yes...\In this world... response:	humans, animals, trees, and stones alike...
context: Many priests and warriors set out to saly them...\but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless.\She ranked the strongest of them all.\She was able to purify the souls and weaken the demons?\Yes...\In this world...\humans, animals, trees, and stones alike... response:	all are created through four souls.
context: but one priestess known as Midoriko...\was able to purify demons' souls and render them harmless.\She ranked the strongest of them all.\She was able to purify the souls and weaken the demons?\Yes...\In this world...\humans, animals, trees, and stones alike...\all are created through four souls. response:	Four souls?
context: was able to purify demons' souls and render them harmless.\She ranked the strongest of them all.\She was able to purify the souls and weaken the demons?\Yes...\In this world...\humans, animals, trees, and stones alike...\all are created through four souls.\Four souls? response:	Shikon?
context: She ranked the strongest of them all.\She was able to purify the souls and weaken the demons?\Yes...\In this world...\humans, animals, trees, and stones alike...\all are created through four souls.\Four souls?\Shikon? response:	I've come across it in my readings.
context: She was able to purify the souls and weaken the demons?\Yes...\In this world...\humans, animals, trees, and stones alike...\all are created through four souls.\Four souls?\Shikon?\I've come across it in my readings. response:	The four souls are namely.
context: Yes...\In this world...\humans, animals, trees, and stones alike...\all are created through four souls.\Four souls?\Shikon?\I've come across it in my readings.\The four souls are namely. response:	Aramitama, Nigimitama...
context: In this world...\humans, animals, trees, and stones alike...\all are created through four souls.\Four souls?\Shikon?\I've come across it in my readings.\The four souls are namely.\Aramitama, Nigimitama... response:	Kushimitama and Sakimitama.
context: humans, animals, trees, and stones alike...\all are created through four souls.\Four souls?\Shikon?\I've come across it in my readings.\The four souls are namely.\Aramitama, Nigimitama...\Kushimitama and Sakimitama. response:	Combined they become the soul of one person...
context: all are created through four souls.\Four souls?\Shikon?\I've come across it in my readings.\The four souls are namely.\Aramitama, Nigimitama...\Kushimitama and Sakimitama.\Combined they become the soul of one person... response:	housed inside the heart.
context: Four souls?\Shikon?\I've come across it in my readings.\The four souls are namely.\Aramitama, Nigimitama...\Kushimitama and Sakimitama.\Combined they become the soul of one person...\housed inside the heart. response:	Aramitama governs courage.
context: Shikon?\I've come across it in my readings.\The four souls are namely.\Aramitama, Nigimitama...\Kushimitama and Sakimitama.\Combined they become the soul of one person...\housed inside the heart.\Aramitama governs courage. response:	Nigimitama governs friendship.
context: I've come across it in my readings.\The four souls are namely.\Aramitama, Nigimitama...\Kushimitama and Sakimitama.\Combined they become the soul of one person...\housed inside the heart.\Aramitama governs courage.\Nigimitama governs friendship. response:	Kushimitama governs wisdom.
context: The four souls are namely.\Aramitama, Nigimitama...\Kushimitama and Sakimitama.\Combined they become the soul of one person...\housed inside the heart.\Aramitama governs courage.\Nigimitama governs friendship.\Kushimitama governs wisdom. response:	Sakimitama governs love.
context: Aramitama, Nigimitama...\Kushimitama and Sakimitama.\Combined they become the soul of one person...\housed inside the heart.\Aramitama governs courage.\Nigimitama governs friendship.\Kushimitama governs wisdom.\Sakimitama governs love. response:	When the four souls work properly in harmony...
context: Kushimitama and Sakimitama.\Combined they become the soul of one person...\housed inside the heart.\Aramitama governs courage.\Nigimitama governs friendship.\Kushimitama governs wisdom.\Sakimitama governs love.\When the four souls work properly in harmony... response:	it is called Naobi...
context: Combined they become the soul of one person...\housed inside the heart.\Aramitama governs courage.\Nigimitama governs friendship.\Kushimitama governs wisdom.\Sakimitama governs love.\When the four souls work properly in harmony...\it is called Naobi... response:	and the human heart is filled with good.
context: housed inside the heart.\Aramitama governs courage.\Nigimitama governs friendship.\Kushimitama governs wisdom.\Sakimitama governs love.\When the four souls work properly in harmony...\it is called Naobi...\and the human heart is filled with good. response:	Inuyasha, do you follow me?
context: Aramitama governs courage.\Nigimitama governs friendship.\Kushimitama governs wisdom.\Sakimitama governs love.\When the four souls work properly in harmony...\it is called Naobi...\and the human heart is filled with good.\Inuyasha, do you follow me? response:	W-what?!
context: Nigimitama governs friendship.\Kushimitama governs wisdom.\Sakimitama governs love.\When the four souls work properly in harmony...\it is called Naobi...\and the human heart is filled with good.\Inuyasha, do you follow me?\W-what?! response:	I don't understand at all!
context: Kushimitama governs wisdom.\Sakimitama governs love.\When the four souls work properly in harmony...\it is called Naobi...\and the human heart is filled with good.\Inuyasha, do you follow me?\W-what?!\I don't understand at all! response:	When one does bad deeds...
context: Sakimitama governs love.\When the four souls work properly in harmony...\it is called Naobi...\and the human heart is filled with good.\Inuyasha, do you follow me?\W-what?!\I don't understand at all!\When one does bad deeds... response:	the four spirits energize evil...
context: When the four souls work properly in harmony...\it is called Naobi...\and the human heart is filled with good.\Inuyasha, do you follow me?\W-what?!\I don't understand at all!\When one does bad deeds...\the four spirits energize evil... response:	and the human loses his way.
context: it is called Naobi...\and the human heart is filled with good.\Inuyasha, do you follow me?\W-what?!\I don't understand at all!\When one does bad deeds...\the four spirits energize evil...\and the human loses his way. response:	In other words, with both humans and demons...
context: and the human heart is filled with good.\Inuyasha, do you follow me?\W-what?!\I don't understand at all!\When one does bad deeds...\the four spirits energize evil...\and the human loses his way.\In other words, with both humans and demons... response:	the soul can turn good or bad.
context: Inuyasha, do you follow me?\W-what?!\I don't understand at all!\When one does bad deeds...\the four spirits energize evil...\and the human loses his way.\In other words, with both humans and demons...\the soul can turn good or bad. response:	Midoriko must've been a formidable foe to the demons.
context: W-what?!\I don't understand at all!\When one does bad deeds...\the four spirits energize evil...\and the human loses his way.\In other words, with both humans and demons...\the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons. response:	She was able to purify the souls of demons and make them powerless.
context: I don't understand at all!\When one does bad deeds...\the four spirits energize evil...\and the human loses his way.\In other words, with both humans and demons...\the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless. response:	She fought off an army of demons, but her power didn't last.
context: When one does bad deeds...\the four spirits energize evil...\and the human loses his way.\In other words, with both humans and demons...\the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last. response:	Just means that this Midoriko wasn't much of a priestess.
context: the four spirits energize evil...\and the human loses his way.\In other words, with both humans and demons...\the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess. response:	She hasn't lost the battle yet.
context: and the human loses his way.\In other words, with both humans and demons...\the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet. response:	Not yet?
context: In other words, with both humans and demons...\the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet.\Not yet? response:	What's that...?
context: the soul can turn good or bad.\Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet.\Not yet?\What's that...? response:	After battling for seven days and seven nights...
context: Midoriko must've been a formidable foe to the demons.\She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet.\Not yet?\What's that...?\After battling for seven days and seven nights... response:	a demon got its fangs into Midoriko.
context: She was able to purify the souls of demons and make them powerless.\She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet.\Not yet?\What's that...?\After battling for seven days and seven nights...\a demon got its fangs into Midoriko. response:	With the last ounce of her energy...
context: She fought off an army of demons, but her power didn't last.\Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet.\Not yet?\What's that...?\After battling for seven days and seven nights...\a demon got its fangs into Midoriko.\With the last ounce of her energy... response:	Midoriko seized the demon's soul...
context: Just means that this Midoriko wasn't much of a priestess.\She hasn't lost the battle yet.\Not yet?\What's that...?\After battling for seven days and seven nights...\a demon got its fangs into Midoriko.\With the last ounce of her energy...\Midoriko seized the demon's soul... response:	took it into her own soul, and forced it out of her body.
context: She hasn't lost the battle yet.\Not yet?\What's that...?\After battling for seven days and seven nights...\a demon got its fangs into Midoriko.\With the last ounce of her energy...\Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body. response:	The spot where she forced out her soul...
context: Not yet?\What's that...?\After battling for seven days and seven nights...\a demon got its fangs into Midoriko.\With the last ounce of her energy...\Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body.\The spot where she forced out her soul... response:	is that the hole in her chest?
context: What's that...?\After battling for seven days and seven nights...\a demon got its fangs into Midoriko.\With the last ounce of her energy...\Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body.\The spot where she forced out her soul...\is that the hole in her chest? response:	What she forced out...
context: After battling for seven days and seven nights...\a demon got its fangs into Midoriko.\With the last ounce of her energy...\Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body.\The spot where she forced out her soul...\is that the hole in her chest?\What she forced out... response:	was the Sacred Jewel.
context: a demon got its fangs into Midoriko.\With the last ounce of her energy...\Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body.\The spot where she forced out her soul...\is that the hole in her chest?\What she forced out...\was the Sacred Jewel. response:	She wasn't able to purify the demon's soul.
context: With the last ounce of her energy...\Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body.\The spot where she forced out her soul...\is that the hole in her chest?\What she forced out...\was the Sacred Jewel.\She wasn't able to purify the demon's soul. response:	All she could manage was to seize the demon's soul.
context: Midoriko seized the demon's soul...\took it into her own soul, and forced it out of her body.\The spot where she forced out her soul...\is that the hole in her chest?\What she forced out...\was the Sacred Jewel.\She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul. response:	Although the flesh is gone...
context: took it into her own soul, and forced it out of her body.\The spot where she forced out her soul...\is that the hole in her chest?\What she forced out...\was the Sacred Jewel.\She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul.\Although the flesh is gone... response:	inside the Sacred Jewel...
context: The spot where she forced out her soul...\is that the hole in her chest?\What she forced out...\was the Sacred Jewel.\She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul.\Although the flesh is gone...\inside the Sacred Jewel... response:	a battle still wages between the souls of Midoriko and the demons.
context: is that the hole in her chest?\What she forced out...\was the Sacred Jewel.\She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul.\Although the flesh is gone...\inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons. response:	That is why this fight isn't over yet.
context: What she forced out...\was the Sacred Jewel.\She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul.\Although the flesh is gone...\inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet. response:	Inside the Sacred Jewel... a war still rages on?
context: was the Sacred Jewel.\She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul.\Although the flesh is gone...\inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on? response:	it's all because Naraku came for the fragments...
context: She wasn't able to purify the demon's soul.\All she could manage was to seize the demon's soul.\Although the flesh is gone...\inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments... response:	that the story's become so complicated.
context: All she could manage was to seize the demon's soul.\Although the flesh is gone...\inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments...\that the story's become so complicated. response:	I'm gonna take possession of the Sacred Jewel...
context: Although the flesh is gone...\inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments...\that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel... response:	and use it to become a full-fledged demon!
context: inside the Sacred Jewel...\a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments...\that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon! response:	Then Midoriko can rest in peace!
context: a battle still wages between the souls of Midoriko and the demons.\That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments...\that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon!\Then Midoriko can rest in peace! response:	W-what!
context: That is why this fight isn't over yet.\Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments...\that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon!\Then Midoriko can rest in peace!\W-what! response:	What's going on?!
context: Inside the Sacred Jewel... a war still rages on?\it's all because Naraku came for the fragments...\that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon!\Then Midoriko can rest in peace!\W-what!\What's going on?! response:	People who think like that...
context: it's all because Naraku came for the fragments...\that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon!\Then Midoriko can rest in peace!\W-what!\What's going on?!\People who think like that... response:	will be thrown out of the cave... like that.
context: that the story's become so complicated.\I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon!\Then Midoriko can rest in peace!\W-what!\What's going on?!\People who think like that...\will be thrown out of the cave... like that. response:	It's Midoriko's version of sit!
context: I'm gonna take possession of the Sacred Jewel...\and use it to become a full-fledged demon!\Then Midoriko can rest in peace!\W-what!\What's going on?!\People who think like that...\will be thrown out of the cave... like that.\It's Midoriko's version of sit! response:	It's gotten so late.
context: and use it to become a full-fledged demon!\Then Midoriko can rest in peace!\W-what!\What's going on?!\People who think like that...\will be thrown out of the cave... like that.\It's Midoriko's version of sit!\It's gotten so late. response:	A priestess inside a stalagmite?
context: Then Midoriko can rest in peace!\W-what!\What's going on?!\People who think like that...\will be thrown out of the cave... like that.\It's Midoriko's version of sit!\It's gotten so late.\A priestess inside a stalagmite? response:	Tell me in detail, Shippo.
context: W-what!\What's going on?!\People who think like that...\will be thrown out of the cave... like that.\It's Midoriko's version of sit!\It's gotten so late.\A priestess inside a stalagmite?\Tell me in detail, Shippo. response:	The priestess thrust the Sacred Jewel from her body...
context: What's going on?!\People who think like that...\will be thrown out of the cave... like that.\It's Midoriko's version of sit!\It's gotten so late.\A priestess inside a stalagmite?\Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body... response:	the demon had her in its jaws...
context: People who think like that...\will be thrown out of the cave... like that.\It's Midoriko's version of sit!\It's gotten so late.\A priestess inside a stalagmite?\Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws... response:	and they are set in stone.
context: will be thrown out of the cave... like that.\It's Midoriko's version of sit!\It's gotten so late.\A priestess inside a stalagmite?\Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws...\and they are set in stone. response:	Hmm... Covered in stalagmite...
context: It's Midoriko's version of sit!\It's gotten so late.\A priestess inside a stalagmite?\Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws...\and they are set in stone.\Hmm... Covered in stalagmite... response:	Then as Sango mentioned, several hundred years have passed.
context: It's gotten so late.\A priestess inside a stalagmite?\Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws...\and they are set in stone.\Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed. response:	I believe it has something to do with Midoriko...
context: A priestess inside a stalagmite?\Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws...\and they are set in stone.\Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko... response:	but the villagers worked as Slayers for generations.
context: Tell me in detail, Shippo.\The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws...\and they are set in stone.\Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations. response:	Over the centuries, the Sacred Jewel passed through...
context: The priestess thrust the Sacred Jewel from her body...\the demon had her in its jaws...\and they are set in stone.\Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through... response:	the hands of various humans and demons.
context: the demon had her in its jaws...\and they are set in stone.\Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons. response:	And it returned here, during my grandfather's time.
context: and they are set in stone.\Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons.\And it returned here, during my grandfather's time. response:	It came out of a demon that he slew.
context: Hmm... Covered in stalagmite...\Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons.\And it returned here, during my grandfather's time.\It came out of a demon that he slew. response:	But his life and many others were sacrificed in the fight.
context: Then as Sango mentioned, several hundred years have passed.\I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons.\And it returned here, during my grandfather's time.\It came out of a demon that he slew.\But his life and many others were sacrificed in the fight. response:	The Sacred Jewel which was removed from the demon...
context: I believe it has something to do with Midoriko...\but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons.\And it returned here, during my grandfather's time.\It came out of a demon that he slew.\But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon... response:	was horribly defiled...
context: but the villagers worked as Slayers for generations.\Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons.\And it returned here, during my grandfather's time.\It came out of a demon that he slew.\But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon...\was horribly defiled... response:	and beyond the abilities of the Slayers to handle.
context: Over the centuries, the Sacred Jewel passed through...\the hands of various humans and demons.\And it returned here, during my grandfather's time.\It came out of a demon that he slew.\But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon...\was horribly defiled...\and beyond the abilities of the Slayers to handle. response:	So they put in Kikyo's care...
context: the hands of various humans and demons.\And it returned here, during my grandfather's time.\It came out of a demon that he slew.\But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon...\was horribly defiled...\and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care... response:	Kikyo...
context: And it returned here, during my grandfather's time.\It came out of a demon that he slew.\But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon...\was horribly defiled...\and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care...\Kikyo... response:	I heard of a priestess so named...
context: It came out of a demon that he slew.\But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon...\was horribly defiled...\and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care...\Kikyo...\I heard of a priestess so named... response:	who was able to purify the Jewel.
context: But his life and many others were sacrificed in the fight.\The Sacred Jewel which was removed from the demon...\was horribly defiled...\and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care...\Kikyo...\I heard of a priestess so named...\who was able to purify the Jewel. response:	Naraku learned about her and killer her.
context: The Sacred Jewel which was removed from the demon...\was horribly defiled...\and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care...\Kikyo...\I heard of a priestess so named...\who was able to purify the Jewel.\Naraku learned about her and killer her. response:	When demons and evil men possess it, the Jewel becomes defiled.
context: was horribly defiled...\and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care...\Kikyo...\I heard of a priestess so named...\who was able to purify the Jewel.\Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled. response:	When a pure-hearted human possesses it...
context: and beyond the abilities of the Slayers to handle.\So they put in Kikyo's care...\Kikyo...\I heard of a priestess so named...\who was able to purify the Jewel.\Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it... response:	the Jewel becomes pure.
context: So they put in Kikyo's care...\Kikyo...\I heard of a priestess so named...\who was able to purify the Jewel.\Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it...\the Jewel becomes pure. response:	It's very complicated.
context: Kikyo...\I heard of a priestess so named...\who was able to purify the Jewel.\Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it...\the Jewel becomes pure.\It's very complicated. response:	A Sacred Jewel has the power for good or evil.
context: I heard of a priestess so named...\who was able to purify the Jewel.\Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it...\the Jewel becomes pure.\It's very complicated.\A Sacred Jewel has the power for good or evil. response:	However, I've never heard of an instance...
context: who was able to purify the Jewel.\Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it...\the Jewel becomes pure.\It's very complicated.\A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance... response:	where the Jewel has been used for good.
context: Naraku learned about her and killer her.\When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it...\the Jewel becomes pure.\It's very complicated.\A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance...\where the Jewel has been used for good. response:	As long as Naraku is after it...
context: When demons and evil men possess it, the Jewel becomes defiled.\When a pure-hearted human possesses it...\the Jewel becomes pure.\It's very complicated.\A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance...\where the Jewel has been used for good.\As long as Naraku is after it... response:	there will be more and more bloodshed.
context: When a pure-hearted human possesses it...\the Jewel becomes pure.\It's very complicated.\A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance...\where the Jewel has been used for good.\As long as Naraku is after it...\there will be more and more bloodshed. response:	This karma of the Sacred Jewel.
context: the Jewel becomes pure.\It's very complicated.\A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance...\where the Jewel has been used for good.\As long as Naraku is after it...\there will be more and more bloodshed.\This karma of the Sacred Jewel. response:	We must put an end to it.
context: It's very complicated.\A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance...\where the Jewel has been used for good.\As long as Naraku is after it...\there will be more and more bloodshed.\This karma of the Sacred Jewel.\We must put an end to it. response:	Inuyasha!
context: A Sacred Jewel has the power for good or evil.\However, I've never heard of an instance...\where the Jewel has been used for good.\As long as Naraku is after it...\there will be more and more bloodshed.\This karma of the Sacred Jewel.\We must put an end to it.\Inuyasha! response:	Do not think about using the Sacred Jewel...
context: However, I've never heard of an instance...\where the Jewel has been used for good.\As long as Naraku is after it...\there will be more and more bloodshed.\This karma of the Sacred Jewel.\We must put an end to it.\Inuyasha!\Do not think about using the Sacred Jewel... response:	to become a great demon!
context: where the Jewel has been used for good.\As long as Naraku is after it...\there will be more and more bloodshed.\This karma of the Sacred Jewel.\We must put an end to it.\Inuyasha!\Do not think about using the Sacred Jewel...\to become a great demon! response:	First, I'll kill that Naraku! That's first and foremost.
context: As long as Naraku is after it...\there will be more and more bloodshed.\This karma of the Sacred Jewel.\We must put an end to it.\Inuyasha!\Do not think about using the Sacred Jewel...\to become a great demon!\First, I'll kill that Naraku! That's first and foremost. response:	Good!
context: there will be more and more bloodshed.\This karma of the Sacred Jewel.\We must put an end to it.\Inuyasha!\Do not think about using the Sacred Jewel...\to become a great demon!\First, I'll kill that Naraku! That's first and foremost.\Good! response:	Kirara... my thanks. We made good time coming here.
context: This karma of the Sacred Jewel.\We must put an end to it.\Inuyasha!\Do not think about using the Sacred Jewel...\to become a great demon!\First, I'll kill that Naraku! That's first and foremost.\Good!\Kirara... my thanks. We made good time coming here. response:	Midoriko...
context: We must put an end to it.\Inuyasha!\Do not think about using the Sacred Jewel...\to become a great demon!\First, I'll kill that Naraku! That's first and foremost.\Good!\Kirara... my thanks. We made good time coming here.\Midoriko... response:	I, too, feel compassion for humans.
context: Inuyasha!\Do not think about using the Sacred Jewel...\to become a great demon!\First, I'll kill that Naraku! That's first and foremost.\Good!\Kirara... my thanks. We made good time coming here.\Midoriko...\I, too, feel compassion for humans. response:	However, when one lives long and sees so much death...
context: Do not think about using the Sacred Jewel...\to become a great demon!\First, I'll kill that Naraku! That's first and foremost.\Good!\Kirara... my thanks. We made good time coming here.\Midoriko...\I, too, feel compassion for humans.\However, when one lives long and sees so much death... response:	one becomes accustomed to it.
context: to become a great demon!\First, I'll kill that Naraku! That's first and foremost.\Good!\Kirara... my thanks. We made good time coming here.\Midoriko...\I, too, feel compassion for humans.\However, when one lives long and sees so much death...\one becomes accustomed to it. response:	Forgive me.
context: First, I'll kill that Naraku! That's first and foremost.\Good!\Kirara... my thanks. We made good time coming here.\Midoriko...\I, too, feel compassion for humans.\However, when one lives long and sees so much death...\one becomes accustomed to it.\Forgive me. response:	This afternoon, I was too eager in my pursuit of truth.
context: Good!\Kirara... my thanks. We made good time coming here.\Midoriko...\I, too, feel compassion for humans.\However, when one lives long and sees so much death...\one becomes accustomed to it.\Forgive me.\This afternoon, I was too eager in my pursuit of truth. response:	Since you've allowed me past the barrier...
context: Kirara... my thanks. We made good time coming here.\Midoriko...\I, too, feel compassion for humans.\However, when one lives long and sees so much death...\one becomes accustomed to it.\Forgive me.\This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier... response:	I guess you understand.
context: Midoriko...\I, too, feel compassion for humans.\However, when one lives long and sees so much death...\one becomes accustomed to it.\Forgive me.\This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier...\I guess you understand. response:	Oh, sorry, sorry! I will be finished here soon.
context: I, too, feel compassion for humans.\However, when one lives long and sees so much death...\one becomes accustomed to it.\Forgive me.\This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier...\I guess you understand.\Oh, sorry, sorry! I will be finished here soon. response:	Namu amida butsu...
