context: Okikura here. response:	Hi, it's Fukami, from school.
context: but I imagine it's what roller coasters are like.\Roller...\Okay, I'll come pick you up when it's time.\Yeah, thanks.\You be careful, too\She's like the wind.\Living with her, she's more like a typhoon.\We're here! response:	Look, mountains!
context: Roller...\Okay, I'll come pick you up when it's time.\Yeah, thanks.\You be careful, too\She's like the wind.\Living with her, she's more like a typhoon.\We're here!\Look, mountains! response:	And the ocean!
context: Okay, I'll come pick you up when it's time.\Yeah, thanks.\You be careful, too\She's like the wind.\Living with her, she's more like a typhoon.\We're here!\Look, mountains!\And the ocean! response:	We just came up a mountain, too, you know.
context: Yeah, thanks.\You be careful, too\She's like the wind.\Living with her, she's more like a typhoon.\We're here!\Look, mountains!\And the ocean!\We just came up a mountain, too, you know. response:	What?
context: You be careful, too\She's like the wind.\Living with her, she's more like a typhoon.\We're here!\Look, mountains!\And the ocean!\We just came up a mountain, too, you know.\What? response:	It feels awesome.
context: She's like the wind.\Living with her, she's more like a typhoon.\We're here!\Look, mountains!\And the ocean!\We just came up a mountain, too, you know.\What?\It feels awesome. response:	There's still snow over there.
context: Living with her, she's more like a typhoon.\We're here!\Look, mountains!\And the ocean!\We just came up a mountain, too, you know.\What?\It feels awesome.\There's still snow over there. response:	Isn't that Hinode Mountain?
context: We're here!\Look, mountains!\And the ocean!\We just came up a mountain, too, you know.\What?\It feels awesome.\There's still snow over there.\Isn't that Hinode Mountain? response:	How can I help?
context: Look, mountains!\And the ocean!\We just came up a mountain, too, you know.\What?\It feels awesome.\There's still snow over there.\Isn't that Hinode Mountain?\How can I help? response:	Can you get some water in here?
context: And the ocean!\We just came up a mountain, too, you know.\What?\It feels awesome.\There's still snow over there.\Isn't that Hinode Mountain?\How can I help?\Can you get some water in here? response:	Roger!
context: We just came up a mountain, too, you know.\What?\It feels awesome.\There's still snow over there.\Isn't that Hinode Mountain?\How can I help?\Can you get some water in here?\Roger! response:	Where can we go for water, again?
context: What?\It feels awesome.\There's still snow over there.\Isn't that Hinode Mountain?\How can I help?\Can you get some water in here?\Roger!\Where can we go for water, again? response:	I'll go with you.
context: It feels awesome.\There's still snow over there.\Isn't that Hinode Mountain?\How can I help?\Can you get some water in here?\Roger!\Where can we go for water, again?\I'll go with you. response:	You shouldn't, Sachi.
context: There's still snow over there.\Isn't that Hinode Mountain?\How can I help?\Can you get some water in here?\Roger!\Where can we go for water, again?\I'll go with you.\You shouldn't, Sachi. response:	Yeah. You're probably the weakest one here.
context: Isn't that Hinode Mountain?\How can I help?\Can you get some water in here?\Roger!\Where can we go for water, again?\I'll go with you.\You shouldn't, Sachi.\Yeah. You're probably the weakest one here. response:	I'll go.
context: How can I help?\Can you get some water in here?\Roger!\Where can we go for water, again?\I'll go with you.\You shouldn't, Sachi.\Yeah. You're probably the weakest one here.\I'll go. response:	Then I'll go, too.
context: Can you get some water in here?\Roger!\Where can we go for water, again?\I'll go with you.\You shouldn't, Sachi.\Yeah. You're probably the weakest one here.\I'll go.\Then I'll go, too. response:	You're in charge of the tents, Yukinari.
context: Roger!\Where can we go for water, again?\I'll go with you.\You shouldn't, Sachi.\Yeah. You're probably the weakest one here.\I'll go.\Then I'll go, too.\You're in charge of the tents, Yukinari. response:	I am?
context: Where can we go for water, again?\I'll go with you.\You shouldn't, Sachi.\Yeah. You're probably the weakest one here.\I'll go.\Then I'll go, too.\You're in charge of the tents, Yukinari.\I am? response:	Let's go, Yana-chan.
context: I'll go with you.\You shouldn't, Sachi.\Yeah. You're probably the weakest one here.\I'll go.\Then I'll go, too.\You're in charge of the tents, Yukinari.\I am?\Let's go, Yana-chan. response:	Imagine if we look all over,
context: You shouldn't, Sachi.\Yeah. You're probably the weakest one here.\I'll go.\Then I'll go, too.\You're in charge of the tents, Yukinari.\I am?\Let's go, Yana-chan.\Imagine if we look all over, response:	and it turns out there's water right there.
context: Yeah. You're probably the weakest one here.\I'll go.\Then I'll go, too.\You're in charge of the tents, Yukinari.\I am?\Let's go, Yana-chan.\Imagine if we look all over,\and it turns out there's water right there. response:	Hey, Yana-chan.
context: I'll go.\Then I'll go, too.\You're in charge of the tents, Yukinari.\I am?\Let's go, Yana-chan.\Imagine if we look all over,\and it turns out there's water right there.\Hey, Yana-chan. response:	There's something I wanted to ask you, Touko.
context: Then I'll go, too.\You're in charge of the tents, Yukinari.\I am?\Let's go, Yana-chan.\Imagine if we look all over,\and it turns out there's water right there.\Hey, Yana-chan.\There's something I wanted to ask you, Touko. response:	Oh hey, a creek.
context: You're in charge of the tents, Yukinari.\I am?\Let's go, Yana-chan.\Imagine if we look all over,\and it turns out there's water right there.\Hey, Yana-chan.\There's something I wanted to ask you, Touko.\Oh hey, a creek. response:	It's so pretty.
context: I am?\Let's go, Yana-chan.\Imagine if we look all over,\and it turns out there's water right there.\Hey, Yana-chan.\There's something I wanted to ask you, Touko.\Oh hey, a creek.\It's so pretty. response:	Are you going to go out with Yuki?
context: Let's go, Yana-chan.\Imagine if we look all over,\and it turns out there's water right there.\Hey, Yana-chan.\There's something I wanted to ask you, Touko.\Oh hey, a creek.\It's so pretty.\Are you going to go out with Yuki? response:	What?
context: Imagine if we look all over,\and it turns out there's water right there.\Hey, Yana-chan.\There's something I wanted to ask you, Touko.\Oh hey, a creek.\It's so pretty.\Are you going to go out with Yuki?\What? response:	What are you doing?
context: and it turns out there's water right there.\Hey, Yana-chan.\There's something I wanted to ask you, Touko.\Oh hey, a creek.\It's so pretty.\Are you going to go out with Yuki?\What?\What are you doing? response:	Sorry.
context: Hey, Yana-chan.\There's something I wanted to ask you, Touko.\Oh hey, a creek.\It's so pretty.\Are you going to go out with Yuki?\What?\What are you doing?\Sorry. response:	Hey...
context: There's something I wanted to ask you, Touko.\Oh hey, a creek.\It's so pretty.\Are you going to go out with Yuki?\What?\What are you doing?\Sorry.\Hey... response:	I set up sheets. You can sit down and read.
context: Oh hey, a creek.\It's so pretty.\Are you going to go out with Yuki?\What?\What are you doing?\Sorry.\Hey...\I set up sheets. You can sit down and read. response:	Good luck, dude.
context: It's so pretty.\Are you going to go out with Yuki?\What?\What are you doing?\Sorry.\Hey...\I set up sheets. You can sit down and read.\Good luck, dude. response:	Where are you going?
context: Are you going to go out with Yuki?\What?\What are you doing?\Sorry.\Hey...\I set up sheets. You can sit down and read.\Good luck, dude.\Where are you going? response:	I'm going to find those two.
context: What?\What are you doing?\Sorry.\Hey...\I set up sheets. You can sit down and read.\Good luck, dude.\Where are you going?\I'm going to find those two. response:	Yeah, they're late.
context: What are you doing?\Sorry.\Hey...\I set up sheets. You can sit down and read.\Good luck, dude.\Where are you going?\I'm going to find those two.\Yeah, they're late. response:	Maybe they couldn't figure out where to get water.
context: Sorry.\Hey...\I set up sheets. You can sit down and read.\Good luck, dude.\Where are you going?\I'm going to find those two.\Yeah, they're late.\Maybe they couldn't figure out where to get water. response:	There's a tap just over there.
context: Hey...\I set up sheets. You can sit down and read.\Good luck, dude.\Where are you going?\I'm going to find those two.\Yeah, they're late.\Maybe they couldn't figure out where to get water.\There's a tap just over there. response:	He's pretty thoughtful, too.
context: I set up sheets. You can sit down and read.\Good luck, dude.\Where are you going?\I'm going to find those two.\Yeah, they're late.\Maybe they couldn't figure out where to get water.\There's a tap just over there.\He's pretty thoughtful, too. response:	Do you like yakisoba?
context: Good luck, dude.\Where are you going?\I'm going to find those two.\Yeah, they're late.\Maybe they couldn't figure out where to get water.\There's a tap just over there.\He's pretty thoughtful, too.\Do you like yakisoba? response:	With a lot of pickled red ginger.
context: Where are you going?\I'm going to find those two.\Yeah, they're late.\Maybe they couldn't figure out where to get water.\There's a tap just over there.\He's pretty thoughtful, too.\Do you like yakisoba?\With a lot of pickled red ginger. response:	Got it.
context: I'm going to find those two.\Yeah, they're late.\Maybe they couldn't figure out where to get water.\There's a tap just over there.\He's pretty thoughtful, too.\Do you like yakisoba?\With a lot of pickled red ginger.\Got it. response:	We should be okay here.
context: Yeah, they're late.\Maybe they couldn't figure out where to get water.\There's a tap just over there.\He's pretty thoughtful, too.\Do you like yakisoba?\With a lot of pickled red ginger.\Got it.\We should be okay here. response:	You're so bold.
context: Maybe they couldn't figure out where to get water.\There's a tap just over there.\He's pretty thoughtful, too.\Do you like yakisoba?\With a lot of pickled red ginger.\Got it.\We should be okay here.\You're so bold. response:	Whose fault is that?
context: There's a tap just over there.\He's pretty thoughtful, too.\Do you like yakisoba?\With a lot of pickled red ginger.\Got it.\We should be okay here.\You're so bold.\Whose fault is that? response:	I'm sorry.
context: He's pretty thoughtful, too.\Do you like yakisoba?\With a lot of pickled red ginger.\Got it.\We should be okay here.\You're so bold.\Whose fault is that?\I'm sorry. response:	Well, I just have bad timing.
context: Do you like yakisoba?\With a lot of pickled red ginger.\Got it.\We should be okay here.\You're so bold.\Whose fault is that?\I'm sorry.\Well, I just have bad timing. response:	Yana-chan.
context: With a lot of pickled red ginger.\Got it.\We should be okay here.\You're so bold.\Whose fault is that?\I'm sorry.\Well, I just have bad timing.\Yana-chan. response:	Touko, what did you think about Yuki?
context: Got it.\We should be okay here.\You're so bold.\Whose fault is that?\I'm sorry.\Well, I just have bad timing.\Yana-chan.\Touko, what did you think about Yuki? response:	Honestly,
context: We should be okay here.\You're so bold.\Whose fault is that?\I'm sorry.\Well, I just have bad timing.\Yana-chan.\Touko, what did you think about Yuki?\Honestly, response:	I'm surprised. I don't know.
context: You're so bold.\Whose fault is that?\I'm sorry.\Well, I just have bad timing.\Yana-chan.\Touko, what did you think about Yuki?\Honestly,\I'm surprised. I don't know. response:	Seems like it.
context: Whose fault is that?\I'm sorry.\Well, I just have bad timing.\Yana-chan.\Touko, what did you think about Yuki?\Honestly,\I'm surprised. I don't know.\Seems like it. response:	You wouldn't normally say thanks after being confessed to.
context: I'm sorry.\Well, I just have bad timing.\Yana-chan.\Touko, what did you think about Yuki?\Honestly,\I'm surprised. I don't know.\Seems like it.\You wouldn't normally say thanks after being confessed to. response:	I said that?
context: Well, I just have bad timing.\Yana-chan.\Touko, what did you think about Yuki?\Honestly,\I'm surprised. I don't know.\Seems like it.\You wouldn't normally say thanks after being confessed to.\I said that? response:	Wait, how did you know?
context: Yana-chan.\Touko, what did you think about Yuki?\Honestly,\I'm surprised. I don't know.\Seems like it.\You wouldn't normally say thanks after being confessed to.\I said that?\Wait, how did you know? response:	I saw,
context: Touko, what did you think about Yuki?\Honestly,\I'm surprised. I don't know.\Seems like it.\You wouldn't normally say thanks after being confessed to.\I said that?\Wait, how did you know?\I saw, response:	by accident.
context: Honestly,\I'm surprised. I don't know.\Seems like it.\You wouldn't normally say thanks after being confessed to.\I said that?\Wait, how did you know?\I saw,\by accident. response:	Touko, are you going to go out with him?
context: I'm surprised. I don't know.\Seems like it.\You wouldn't normally say thanks after being confessed to.\I said that?\Wait, how did you know?\I saw,\by accident.\Touko, are you going to go out with him? response:	No.
context: Seems like it.\You wouldn't normally say thanks after being confessed to.\I said that?\Wait, how did you know?\I saw,\by accident.\Touko, are you going to go out with him?\No. response:	Yuki-kun's really cool
context: You wouldn't normally say thanks after being confessed to.\I said that?\Wait, how did you know?\I saw,\by accident.\Touko, are you going to go out with him?\No.\Yuki-kun's really cool response:	but my romance sensor didn't go off.
context: I said that?\Wait, how did you know?\I saw,\by accident.\Touko, are you going to go out with him?\No.\Yuki-kun's really cool\but my romance sensor didn't go off. response:	Your what?
context: Wait, how did you know?\I saw,\by accident.\Touko, are you going to go out with him?\No.\Yuki-kun's really cool\but my romance sensor didn't go off.\Your what? response:	I doubt you have such a thing installed.
context: I saw,\by accident.\Touko, are you going to go out with him?\No.\Yuki-kun's really cool\but my romance sensor didn't go off.\Your what?\I doubt you have such a thing installed. response:	Too bad I can't show you.
context: by accident.\Touko, are you going to go out with him?\No.\Yuki-kun's really cool\but my romance sensor didn't go off.\Your what?\I doubt you have such a thing installed.\Too bad I can't show you. response:	You're not going to, huh?
context: Touko, are you going to go out with him?\No.\Yuki-kun's really cool\but my romance sensor didn't go off.\Your what?\I doubt you have such a thing installed.\Too bad I can't show you.\You're not going to, huh? response:	You'd be a bit more obvious if
context: No.\Yuki-kun's really cool\but my romance sensor didn't go off.\Your what?\I doubt you have such a thing installed.\Too bad I can't show you.\You're not going to, huh?\You'd be a bit more obvious if response:	you liked him, I guess.
context: Yuki-kun's really cool\but my romance sensor didn't go off.\Your what?\I doubt you have such a thing installed.\Too bad I can't show you.\You're not going to, huh?\You'd be a bit more obvious if\you liked him, I guess. response:	Besides, I decided to support you.
context: but my romance sensor didn't go off.\Your what?\I doubt you have such a thing installed.\Too bad I can't show you.\You're not going to, huh?\You'd be a bit more obvious if\you liked him, I guess.\Besides, I decided to support you. response:	won't give up.
context: Your what?\I doubt you have such a thing installed.\Too bad I can't show you.\You're not going to, huh?\You'd be a bit more obvious if\you liked him, I guess.\Besides, I decided to support you.\won't give up. response:	No service
context: I doubt you have such a thing installed.\Too bad I can't show you.\You're not going to, huh?\You'd be a bit more obvious if\you liked him, I guess.\Besides, I decided to support you.\won't give up.\No service response:	You couldn't get lost here even if you tried, but...
context: Too bad I can't show you.\You're not going to, huh?\You'd be a bit more obvious if\you liked him, I guess.\Besides, I decided to support you.\won't give up.\No service\You couldn't get lost here even if you tried, but... response:	What the hell are you doing?
context: You're not going to, huh?\You'd be a bit more obvious if\you liked him, I guess.\Besides, I decided to support you.\won't give up.\No service\You couldn't get lost here even if you tried, but...\What the hell are you doing? response:	Why are you the one screaming?
context: You'd be a bit more obvious if\you liked him, I guess.\Besides, I decided to support you.\won't give up.\No service\You couldn't get lost here even if you tried, but...\What the hell are you doing?\Why are you the one screaming? response:	Get lost!
context: you liked him, I guess.\Besides, I decided to support you.\won't give up.\No service\You couldn't get lost here even if you tried, but...\What the hell are you doing?\Why are you the one screaming?\Get lost! response:	And damn yourself to an eternity of fetching water!
context: Besides, I decided to support you.\won't give up.\No service\You couldn't get lost here even if you tried, but...\What the hell are you doing?\Why are you the one screaming?\Get lost!\And damn yourself to an eternity of fetching water! response:	You're so beautiful,
context: won't give up.\No service\You couldn't get lost here even if you tried, but...\What the hell are you doing?\Why are you the one screaming?\Get lost!\And damn yourself to an eternity of fetching water!\You're so beautiful, response:	the way you're so invested in reading.
context: No service\You couldn't get lost here even if you tried, but...\What the hell are you doing?\Why are you the one screaming?\Get lost!\And damn yourself to an eternity of fetching water!\You're so beautiful,\the way you're so invested in reading. response:	You're like
context: You couldn't get lost here even if you tried, but...\What the hell are you doing?\Why are you the one screaming?\Get lost!\And damn yourself to an eternity of fetching water!\You're so beautiful,\the way you're so invested in reading.\You're like response:	a doll to me.
context: What the hell are you doing?\Why are you the one screaming?\Get lost!\And damn yourself to an eternity of fetching water!\You're so beautiful,\the way you're so invested in reading.\You're like\a doll to me. response:	Pretty. A poem or something?
context: Why are you the one screaming?\Get lost!\And damn yourself to an eternity of fetching water!\You're so beautiful,\the way you're so invested in reading.\You're like\a doll to me.\Pretty. A poem or something? response:	No.
context: Get lost!\And damn yourself to an eternity of fetching water!\You're so beautiful,\the way you're so invested in reading.\You're like\a doll to me.\Pretty. A poem or something?\No. response:	Where're the noodles?
context: And damn yourself to an eternity of fetching water!\You're so beautiful,\the way you're so invested in reading.\You're like\a doll to me.\Pretty. A poem or something?\No.\Where're the noodles? response:	Here.
context: You're so beautiful,\the way you're so invested in reading.\You're like\a doll to me.\Pretty. A poem or something?\No.\Where're the noodles?\Here. response:	Thanks.
context: the way you're so invested in reading.\You're like\a doll to me.\Pretty. A poem or something?\No.\Where're the noodles?\Here.\Thanks. response:	Hot!
context: You're like\a doll to me.\Pretty. A poem or something?\No.\Where're the noodles?\Here.\Thanks.\Hot! response:	Are you okay?
context: a doll to me.\Pretty. A poem or something?\No.\Where're the noodles?\Here.\Thanks.\Hot!\Are you okay? response:	I'm fine.
context: Pretty. A poem or something?\No.\Where're the noodles?\Here.\Thanks.\Hot!\Are you okay?\I'm fine. response:	Water.
context: No.\Where're the noodles?\Here.\Thanks.\Hot!\Are you okay?\I'm fine.\Water. response:	I'm back. What's the water for?
context: Where're the noodles?\Here.\Thanks.\Hot!\Are you okay?\I'm fine.\Water.\I'm back. What's the water for? response:	For Hiro-kun.
context: Here.\Thanks.\Hot!\Are you okay?\I'm fine.\Water.\I'm back. What's the water for?\For Hiro-kun. response:	Do I dump it on his head?
context: Thanks.\Hot!\Are you okay?\I'm fine.\Water.\I'm back. What's the water for?\For Hiro-kun.\Do I dump it on his head? response:	How about I dump it on your head?
context: Hot!\Are you okay?\I'm fine.\Water.\I'm back. What's the water for?\For Hiro-kun.\Do I dump it on his head?\How about I dump it on your head? response:	Seriously, that freaked me out.
context: Are you okay?\I'm fine.\Water.\I'm back. What's the water for?\For Hiro-kun.\Do I dump it on his head?\How about I dump it on your head?\Seriously, that freaked me out. response:	Time to eat!
context: I'm fine.\Water.\I'm back. What's the water for?\For Hiro-kun.\Do I dump it on his head?\How about I dump it on your head?\Seriously, that freaked me out.\Time to eat! response:	It's good.
context: Water.\I'm back. What's the water for?\For Hiro-kun.\Do I dump it on his head?\How about I dump it on your head?\Seriously, that freaked me out.\Time to eat!\It's good. response:	Right? Dig in!
context: I'm back. What's the water for?\For Hiro-kun.\Do I dump it on his head?\How about I dump it on your head?\Seriously, that freaked me out.\Time to eat!\It's good.\Right? Dig in! response:	A token of our friendship.
context: For Hiro-kun.\Do I dump it on his head?\How about I dump it on your head?\Seriously, that freaked me out.\Time to eat!\It's good.\Right? Dig in!\A token of our friendship. response:	I'll have it, then.
context: Do I dump it on his head?\How about I dump it on your head?\Seriously, that freaked me out.\Time to eat!\It's good.\Right? Dig in!\A token of our friendship.\I'll have it, then. response:	Good.
context: How about I dump it on your head?\Seriously, that freaked me out.\Time to eat!\It's good.\Right? Dig in!\A token of our friendship.\I'll have it, then.\Good. response:	Token.
context: Seriously, that freaked me out.\Time to eat!\It's good.\Right? Dig in!\A token of our friendship.\I'll have it, then.\Good.\Token. response:	That sounds good.
context: Time to eat!\It's good.\Right? Dig in!\A token of our friendship.\I'll have it, then.\Good.\Token.\That sounds good. response:	I'll have some if it gets on the menu. Good luck.
context: It's good.\Right? Dig in!\A token of our friendship.\I'll have it, then.\Good.\Token.\That sounds good.\I'll have some if it gets on the menu. Good luck. response:	Yeah.
context: Right? Dig in!\A token of our friendship.\I'll have it, then.\Good.\Token.\That sounds good.\I'll have some if it gets on the menu. Good luck.\Yeah. response:	I'm looking forward to it.
context: A token of our friendship.\I'll have it, then.\Good.\Token.\That sounds good.\I'll have some if it gets on the menu. Good luck.\Yeah.\I'm looking forward to it. response:	You were like a doll to me.
context: I'll have it, then.\Good.\Token.\That sounds good.\I'll have some if it gets on the menu. Good luck.\Yeah.\I'm looking forward to it.\You were like a doll to me. response:	But I realized...
context: Good.\Token.\That sounds good.\I'll have some if it gets on the menu. Good luck.\Yeah.\I'm looking forward to it.\You were like a doll to me.\But I realized... response:	Sacchan.
context: Token.\That sounds good.\I'll have some if it gets on the menu. Good luck.\Yeah.\I'm looking forward to it.\You were like a doll to me.\But I realized...\Sacchan. response:	How's your hand?
context: That sounds good.\I'll have some if it gets on the menu. Good luck.\Yeah.\I'm looking forward to it.\You were like a doll to me.\But I realized...\Sacchan.\How's your hand? response:	Yeah, it's not burnt or anything.
context: I'll have some if it gets on the menu. Good luck.\Yeah.\I'm looking forward to it.\You were like a doll to me.\But I realized...\Sacchan.\How's your hand?\Yeah, it's not burnt or anything. response:	Here.
context: Yeah.\I'm looking forward to it.\You were like a doll to me.\But I realized...\Sacchan.\How's your hand?\Yeah, it's not burnt or anything.\Here. response:	For taking care of me.
context: I'm looking forward to it.\You were like a doll to me.\But I realized...\Sacchan.\How's your hand?\Yeah, it's not burnt or anything.\Here.\For taking care of me. response:	Not at all, thanks to you, t
context: You were like a doll to me.\But I realized...\Sacchan.\How's your hand?\Yeah, it's not burnt or anything.\Here.\For taking care of me.\Not at all, thanks to you, t response:	You can read it now, if you want.
context: But I realized...\Sacchan.\How's your hand?\Yeah, it's not burnt or anything.\Here.\For taking care of me.\Not at all, thanks to you, t\You can read it now, if you want. response:	Sacchan, I,
context: Sacchan.\How's your hand?\Yeah, it's not burnt or anything.\Here.\For taking care of me.\Not at all, thanks to you, t\You can read it now, if you want.\Sacchan, I, response:	well
context: How's your hand?\Yeah, it's not burnt or anything.\Here.\For taking care of me.\Not at all, thanks to you, t\You can read it now, if you want.\Sacchan, I,\well response:	ISachi!
context: Yeah, it's not burnt or anything.\Here.\For taking care of me.\Not at all, thanks to you, t\You can read it now, if you want.\Sacchan, I,\well\ISachi! response:	I like your name.
context: Here.\For taking care of me.\Not at all, thanks to you, t\You can read it now, if you want.\Sacchan, I,\well\ISachi!\I like your name. response:	There's something I need to tell you.
context: For taking care of me.\Not at all, thanks to you, t\You can read it now, if you want.\Sacchan, I,\well\ISachi!\I like your name.\There's something I need to tell you. response:	I think there's someone that's more suited for you.
context: Not at all, thanks to you, t\You can read it now, if you want.\Sacchan, I,\well\ISachi!\I like your name.\There's something I need to tell you.\I think there's someone that's more suited for you. response:	Is there someone you like?
context: You can read it now, if you want.\Sacchan, I,\well\ISachi!\I like your name.\There's something I need to tell you.\I think there's someone that's more suited for you.\Is there someone you like? response:	No.
context: Sacchan, I,\well\ISachi!\I like your name.\There's something I need to tell you.\I think there's someone that's more suited for you.\Is there someone you like?\No. response:	Then
context: well\ISachi!\I like your name.\There's something I need to tell you.\I think there's someone that's more suited for you.\Is there someone you like?\No.\Then response:	I can't.
context: ISachi!\I like your name.\There's something I need to tell you.\I think there's someone that's more suited for you.\Is there someone you like?\No.\Then\I can't. response:	Why?
context: I like your name.\There's something I need to tell you.\I think there's someone that's more suited for you.\Is there someone you like?\No.\Then\I can't.\Why? response:	Because you're a precious friend.
context: There's something I need to tell you.\I think there's someone that's more suited for you.\Is there someone you like?\No.\Then\I can't.\Why?\Because you're a precious friend. response:	I see.
context: I think there's someone that's more suited for you.\Is there someone you like?\No.\Then\I can't.\Why?\Because you're a precious friend.\I see. response:	Sorry to be such a bother.
context: Is there someone you like?\No.\Then\I can't.\Why?\Because you're a precious friend.\I see.\Sorry to be such a bother. response:	No problem.
context: No.\Then\I can't.\Why?\Because you're a precious friend.\I see.\Sorry to be such a bother.\No problem. response:	Wait inside.
context: Then\I can't.\Why?\Because you're a precious friend.\I see.\Sorry to be such a bother.\No problem.\Wait inside. response:	Okay.
context: I can't.\Why?\Because you're a precious friend.\I see.\Sorry to be such a bother.\No problem.\Wait inside.\Okay. response:	Oh yeah, I saw a boar on my way here.
context: Why?\Because you're a precious friend.\I see.\Sorry to be such a bother.\No problem.\Wait inside.\Okay.\Oh yeah, I saw a boar on my way here. response:	It looked pretty vicious, so if you run into one,
context: Because you're a precious friend.\I see.\Sorry to be such a bother.\No problem.\Wait inside.\Okay.\Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one, response:	don't pretend to be asleep.
context: I see.\Sorry to be such a bother.\No problem.\Wait inside.\Okay.\Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one,\don't pretend to be asleep. response:	Isn't that for bears?
context: Sorry to be such a bother.\No problem.\Wait inside.\Okay.\Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one,\don't pretend to be asleep.\Isn't that for bears? response:	Sorry.
context: No problem.\Wait inside.\Okay.\Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one,\don't pretend to be asleep.\Isn't that for bears?\Sorry. response:	Oh, really?
context: Wait inside.\Okay.\Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one,\don't pretend to be asleep.\Isn't that for bears?\Sorry.\Oh, really? response:	Sorry I didn't help.
context: Okay.\Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one,\don't pretend to be asleep.\Isn't that for bears?\Sorry.\Oh, really?\Sorry I didn't help. response:	It didn't take long to pack up, no worries.
context: Oh yeah, I saw a boar on my way here.\It looked pretty vicious, so if you run into one,\don't pretend to be asleep.\Isn't that for bears?\Sorry.\Oh, really?\Sorry I didn't help.\It didn't take long to pack up, no worries. response:	We're done, Nee-chan.
context: It looked pretty vicious, so if you run into one,\don't pretend to be asleep.\Isn't that for bears?\Sorry.\Oh, really?\Sorry I didn't help.\It didn't take long to pack up, no worries.\We're done, Nee-chan. response:	You're getting a ride home, right?
context: don't pretend to be asleep.\Isn't that for bears?\Sorry.\Oh, really?\Sorry I didn't help.\It didn't take long to pack up, no worries.\We're done, Nee-chan.\You're getting a ride home, right? response:	Yes.
context: Isn't that for bears?\Sorry.\Oh, really?\Sorry I didn't help.\It didn't take long to pack up, no worries.\We're done, Nee-chan.\You're getting a ride home, right?\Yes. response:	Cafe next time, then, maybe?
context: Sorry.\Oh, really?\Sorry I didn't help.\It didn't take long to pack up, no worries.\We're done, Nee-chan.\You're getting a ride home, right?\Yes.\Cafe next time, then, maybe? response:	Thanks for everything today, Touko-chan.
context: Oh, really?\Sorry I didn't help.\It didn't take long to pack up, no worries.\We're done, Nee-chan.\You're getting a ride home, right?\Yes.\Cafe next time, then, maybe?\Thanks for everything today, Touko-chan. response:	We're heading out.
context: Sorry I didn't help.\It didn't take long to pack up, no worries.\We're done, Nee-chan.\You're getting a ride home, right?\Yes.\Cafe next time, then, maybe?\Thanks for everything today, Touko-chan.\We're heading out. response:	Be careful, Nee-chan.
context: It didn't take long to pack up, no worries.\We're done, Nee-chan.\You're getting a ride home, right?\Yes.\Cafe next time, then, maybe?\Thanks for everything today, Touko-chan.\We're heading out.\Be careful, Nee-chan. response:	Yeah, yeah.
context: We're done, Nee-chan.\You're getting a ride home, right?\Yes.\Cafe next time, then, maybe?\Thanks for everything today, Touko-chan.\We're heading out.\Be careful, Nee-chan.\Yeah, yeah. response:	Sacchan, are you doing okay?
context: You're getting a ride home, right?\Yes.\Cafe next time, then, maybe?\Thanks for everything today, Touko-chan.\We're heading out.\Be careful, Nee-chan.\Yeah, yeah.\Sacchan, are you doing okay? response:	Okay, let's go, before we run into boars.
context: Yes.\Cafe next time, then, maybe?\Thanks for everything today, Touko-chan.\We're heading out.\Be careful, Nee-chan.\Yeah, yeah.\Sacchan, are you doing okay?\Okay, let's go, before we run into boars. response:	Did you know there are more accidents going down mountains
context: Cafe next time, then, maybe?\Thanks for everything today, Touko-chan.\We're heading out.\Be careful, Nee-chan.\Yeah, yeah.\Sacchan, are you doing okay?\Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains response:	Okay, whatever, let's go.
context: Thanks for everything today, Touko-chan.\We're heading out.\Be careful, Nee-chan.\Yeah, yeah.\Sacchan, are you doing okay?\Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains\Okay, whatever, let's go. response:	than going up?
context: We're heading out.\Be careful, Nee-chan.\Yeah, yeah.\Sacchan, are you doing okay?\Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains\Okay, whatever, let's go.\than going up? response:	Let's go, Touko.
context: Be careful, Nee-chan.\Yeah, yeah.\Sacchan, are you doing okay?\Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains\Okay, whatever, let's go.\than going up?\Let's go, Touko. response:	Okay, thanks.
context: Yeah, yeah.\Sacchan, are you doing okay?\Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains\Okay, whatever, let's go.\than going up?\Let's go, Touko.\Okay, thanks. response:	I'll lead the way.
context: Sacchan, are you doing okay?\Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains\Okay, whatever, let's go.\than going up?\Let's go, Touko.\Okay, thanks.\I'll lead the way. response:	Don't get lost.
context: Okay, let's go, before we run into boars.\Did you know there are more accidents going down mountains\Okay, whatever, let's go.\than going up?\Let's go, Touko.\Okay, thanks.\I'll lead the way.\Don't get lost. response:	Roger.
