context: The Alliance of Official Guilds vs. Oracion Seis! response:	During that fierce battle, Jellal was resurrected!
context: What is over? Take a look.\Go, Fairy Tail!\You are the only ones who can stop this!\Carla, let's head over there!\Right!\Let's get up there as well!\Yes. Take my hand, please.\Helping each other, as allies! response:	This indeed is love! Yes...
context: Go, Fairy Tail!\You are the only ones who can stop this!\Carla, let's head over there!\Right!\Let's get up there as well!\Yes. Take my hand, please.\Helping each other, as allies!\This indeed is love! Yes... response:	We will not give up.
context: You are the only ones who can stop this!\Carla, let's head over there!\Right!\Let's get up there as well!\Yes. Take my hand, please.\Helping each other, as allies!\This indeed is love! Yes...\We will not give up. response:	Our hopes are already connected.
context: Carla, let's head over there!\Right!\Let's get up there as well!\Yes. Take my hand, please.\Helping each other, as allies!\This indeed is love! Yes...\We will not give up.\Our hopes are already connected. response:	We'll run up these and then bust up the main body!
context: Right!\Let's get up there as well!\Yes. Take my hand, please.\Helping each other, as allies!\This indeed is love! Yes...\We will not give up.\Our hopes are already connected.\We'll run up these and then bust up the main body! response:	By the way, why are you guys in matching outfits?
context: Let's get up there as well!\Yes. Take my hand, please.\Helping each other, as allies!\This indeed is love! Yes...\We will not give up.\Our hopes are already connected.\We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits? response:	Don't ask me!
context: Yes. Take my hand, please.\Helping each other, as allies!\This indeed is love! Yes...\We will not give up.\Our hopes are already connected.\We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits?\Don't ask me! response:	Live, and grab the future in front of you.
context: Helping each other, as allies!\This indeed is love! Yes...\We will not give up.\Our hopes are already connected.\We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits?\Don't ask me!\Live, and grab the future in front of you. response:	Jellal...
context: This indeed is love! Yes...\We will not give up.\Our hopes are already connected.\We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits?\Don't ask me!\Live, and grab the future in front of you.\Jellal... response:	Let's go... Together...
context: We will not give up.\Our hopes are already connected.\We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits?\Don't ask me!\Live, and grab the future in front of you.\Jellal...\Let's go... Together... response:	Yes...
context: Our hopes are already connected.\We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits?\Don't ask me!\Live, and grab the future in front of you.\Jellal...\Let's go... Together...\Yes... response:	Men?
context: We'll run up these and then bust up the main body!\By the way, why are you guys in matching outfits?\Don't ask me!\Live, and grab the future in front of you.\Jellal...\Let's go... Together...\Yes...\Men? response:	W-Where am I?
context: By the way, why are you guys in matching outfits?\Don't ask me!\Live, and grab the future in front of you.\Jellal...\Let's go... Together...\Yes...\Men?\W-Where am I? response:	Where did those young whippersnappers run off to?
context: Don't ask me!\Live, and grab the future in front of you.\Jellal...\Let's go... Together...\Yes...\Men?\W-Where am I?\Where did those young whippersnappers run off to? response:	What's going on!?
context: Live, and grab the future in front of you.\Jellal...\Let's go... Together...\Yes...\Men?\W-Where am I?\Where did those young whippersnappers run off to?\What's going on!? response:	Men!!
context: Jellal...\Let's go... Together...\Yes...\Men?\W-Where am I?\Where did those young whippersnappers run off to?\What's going on!?\Men!! response:	What do you think you're doing, Natsu?
context: Let's go... Together...\Yes...\Men?\W-Where am I?\Where did those young whippersnappers run off to?\What's going on!?\Men!!\What do you think you're doing, Natsu? response:	Get it together already,'kay?
context: Yes...\Men?\W-Where am I?\Where did those young whippersnappers run off to?\What's going on!?\Men!!\What do you think you're doing, Natsu?\Get it together already,'kay? response:	This thing's... You know, that...
context: Men?\W-Where am I?\Where did those young whippersnappers run off to?\What's going on!?\Men!!\What do you think you're doing, Natsu?\Get it together already,'kay?\This thing's... You know, that... response:	That?
context: W-Where am I?\Where did those young whippersnappers run off to?\What's going on!?\Men!!\What do you think you're doing, Natsu?\Get it together already,'kay?\This thing's... You know, that...\That? response:	It's t-transportation, right?
context: Where did those young whippersnappers run off to?\What's going on!?\Men!!\What do you think you're doing, Natsu?\Get it together already,'kay?\This thing's... You know, that...\That?\It's t-transportation, right? response:	It's moving, but it's not transportation!
context: What's going on!?\Men!!\What do you think you're doing, Natsu?\Get it together already,'kay?\This thing's... You know, that...\That?\It's t-transportation, right?\It's moving, but it's not transportation! response:	Think of it like that!
context: Men!!\What do you think you're doing, Natsu?\Get it together already,'kay?\This thing's... You know, that...\That?\It's t-transportation, right?\It's moving, but it's not transportation!\Think of it like that! response:	Got it!
context: What do you think you're doing, Natsu?\Get it together already,'kay?\This thing's... You know, that...\That?\It's t-transportation, right?\It's moving, but it's not transportation!\Think of it like that!\Got it! response:	I-I'm gonna hurl...
context: Get it together already,'kay?\This thing's... You know, that...\That?\It's t-transportation, right?\It's moving, but it's not transportation!\Think of it like that!\Got it!\I-I'm gonna hurl... response:	These are octopus legs! You're okay riding animals, right?
context: This thing's... You know, that...\That?\It's t-transportation, right?\It's moving, but it's not transportation!\Think of it like that!\Got it!\I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right? response:	There ain't any octopus in the forest...
context: That?\It's t-transportation, right?\It's moving, but it's not transportation!\Think of it like that!\Got it!\I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest... response:	Stop sweating the details!
context: It's t-transportation, right?\It's moving, but it's not transportation!\Think of it like that!\Got it!\I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest...\Stop sweating the details! response:	Okay! I'm fine now!
context: It's moving, but it's not transportation!\Think of it like that!\Got it!\I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest...\Stop sweating the details!\Okay! I'm fine now! response:	Idiot! Don't let it get to you!
context: Think of it like that!\Got it!\I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest...\Stop sweating the details!\Okay! I'm fine now!\Idiot! Don't let it get to you! response:	I know! Leave it to me!
context: Got it!\I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest...\Stop sweating the details!\Okay! I'm fine now!\Idiot! Don't let it get to you!\I know! Leave it to me! response:	Natsu!
context: I-I'm gonna hurl...\These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest...\Stop sweating the details!\Okay! I'm fine now!\Idiot! Don't let it get to you!\I know! Leave it to me!\Natsu! response:	Happy!
context: These are octopus legs! You're okay riding animals, right?\There ain't any octopus in the forest...\Stop sweating the details!\Okay! I'm fine now!\Idiot! Don't let it get to you!\I know! Leave it to me!\Natsu!\Happy! response:	Aye!
context: There ain't any octopus in the forest...\Stop sweating the details!\Okay! I'm fine now!\Idiot! Don't let it get to you!\I know! Leave it to me!\Natsu!\Happy!\Aye! response:	Happy! Nice catch!
context: Stop sweating the details!\Okay! I'm fine now!\Idiot! Don't let it get to you!\I know! Leave it to me!\Natsu!\Happy!\Aye!\Happy! Nice catch! response:	Man, that guy's gonna give me a heart attack...
context: Okay! I'm fine now!\Idiot! Don't let it get to you!\I know! Leave it to me!\Natsu!\Happy!\Aye!\Happy! Nice catch!\Man, that guy's gonna give me a heart attack... response:	That was too cool, my hero!
context: Idiot! Don't let it get to you!\I know! Leave it to me!\Natsu!\Happy!\Aye!\Happy! Nice catch!\Man, that guy's gonna give me a heart attack...\That was too cool, my hero! response:	How about it, Natsu? Becoming the wind with me feels pretty good, huh?
context: I know! Leave it to me!\Natsu!\Happy!\Aye!\Happy! Nice catch!\Man, that guy's gonna give me a heart attack...\That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh? response:	Yeah! It's totally awesome!
context: Natsu!\Happy!\Aye!\Happy! Nice catch!\Man, that guy's gonna give me a heart attack...\That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome! response:	You guys head to the top like that!
context: Happy!\Aye!\Happy! Nice catch!\Man, that guy's gonna give me a heart attack...\That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome!\You guys head to the top like that! response:	We're going inside that hole over there!
context: Aye!\Happy! Nice catch!\Man, that guy's gonna give me a heart attack...\That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome!\You guys head to the top like that!\We're going inside that hole over there! response:	Right!
context: Happy! Nice catch!\Man, that guy's gonna give me a heart attack...\That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome!\You guys head to the top like that!\We're going inside that hole over there!\Right! response:	Aye, sir!
context: Man, that guy's gonna give me a heart attack...\That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome!\You guys head to the top like that!\We're going inside that hole over there!\Right!\Aye, sir! response:	It's a city... And it looks really old.
context: That was too cool, my hero!\How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome!\You guys head to the top like that!\We're going inside that hole over there!\Right!\Aye, sir!\It's a city... And it looks really old. response:	I-I don't get it.
context: How about it, Natsu? Becoming the wind with me feels pretty good, huh?\Yeah! It's totally awesome!\You guys head to the top like that!\We're going inside that hole over there!\Right!\Aye, sir!\It's a city... And it looks really old.\I-I don't get it. response:	This smell...
context: Yeah! It's totally awesome!\You guys head to the top like that!\We're going inside that hole over there!\Right!\Aye, sir!\It's a city... And it looks really old.\I-I don't get it.\This smell... response:	It's his smell!
context: You guys head to the top like that!\We're going inside that hole over there!\Right!\Aye, sir!\It's a city... And it looks really old.\I-I don't get it.\This smell...\It's his smell! response:	Finally, Brain! We've gotten Nirvana!
context: We're going inside that hole over there!\Right!\Aye, sir!\It's a city... And it looks really old.\I-I don't get it.\This smell...\It's his smell!\Finally, Brain! We've gotten Nirvana! response:	So this is a relic of the ancients?
context: Right!\Aye, sir!\It's a city... And it looks really old.\I-I don't get it.\This smell...\It's his smell!\Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients? response:	Cubellios, this is pretty awesome!
context: Aye, sir!\It's a city... And it looks really old.\I-I don't get it.\This smell...\It's his smell!\Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients?\Cubellios, this is pretty awesome! response:	Look, Cobra.
context: It's a city... And it looks really old.\I-I don't get it.\This smell...\It's his smell!\Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients?\Cubellios, this is pretty awesome!\Look, Cobra. response:	Look at the world spread out below me.
context: I-I don't get it.\This smell...\It's his smell!\Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients?\Cubellios, this is pretty awesome!\Look, Cobra.\Look at the world spread out below me. response:	The city of the ancients...
context: This smell...\It's his smell!\Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients?\Cubellios, this is pretty awesome!\Look, Cobra.\Look at the world spread out below me.\The city of the ancients... response:	That itself is the true identity of Nirvana!
context: It's his smell!\Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients?\Cubellios, this is pretty awesome!\Look, Cobra.\Look at the world spread out below me.\The city of the ancients...\That itself is the true identity of Nirvana! response:	While I stand here on the King's Summit, this city moves exactly as I will it!
context: Finally, Brain! We've gotten Nirvana!\So this is a relic of the ancients?\Cubellios, this is pretty awesome!\Look, Cobra.\Look at the world spread out below me.\The city of the ancients...\That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it! response:	Move? Are we making it go somewhere?
context: So this is a relic of the ancients?\Cubellios, this is pretty awesome!\Look, Cobra.\Look at the world spread out below me.\The city of the ancients...\That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere? response:	I'm aiming for a certain guild, you see...
context: Cubellios, this is pretty awesome!\Look, Cobra.\Look at the world spread out below me.\The city of the ancients...\That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see... response:	Our first target?
context: Look, Cobra.\Look at the world spread out below me.\The city of the ancients...\That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see...\Our first target? response:	Call it the first land to have its light extinguished.
context: Look at the world spread out below me.\The city of the ancients...\That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see...\Our first target?\Call it the first land to have its light extinguished. response:	Go forth, ancient city!
context: The city of the ancients...\That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see...\Our first target?\Call it the first land to have its light extinguished.\Go forth, ancient city! response:	Change our darkness for the light!
context: That itself is the true identity of Nirvana!\While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see...\Our first target?\Call it the first land to have its light extinguished.\Go forth, ancient city!\Change our darkness for the light! response:	I'm gonna stop ya!
context: While I stand here on the King's Summit, this city moves exactly as I will it!\Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see...\Our first target?\Call it the first land to have its light extinguished.\Go forth, ancient city!\Change our darkness for the light!\I'm gonna stop ya! response:	It's you!
context: Move? Are we making it go somewhere?\I'm aiming for a certain guild, you see...\Our first target?\Call it the first land to have its light extinguished.\Go forth, ancient city!\Change our darkness for the light!\I'm gonna stop ya!\It's you! response:	Roar of the Fire Dragon!
context: I'm aiming for a certain guild, you see...\Our first target?\Call it the first land to have its light extinguished.\Go forth, ancient city!\Change our darkness for the light!\I'm gonna stop ya!\It's you!\Roar of the Fire Dragon! response:	Cobra! Don't let him interfere!
context: Our first target?\Call it the first land to have its light extinguished.\Go forth, ancient city!\Change our darkness for the light!\I'm gonna stop ya!\It's you!\Roar of the Fire Dragon!\Cobra! Don't let him interfere! response:	Right! Cubellios!
context: Call it the first land to have its light extinguished.\Go forth, ancient city!\Change our darkness for the light!\I'm gonna stop ya!\It's you!\Roar of the Fire Dragon!\Cobra! Don't let him interfere!\Right! Cubellios! response:	You! I'll burn everything!
context: Go forth, ancient city!\Change our darkness for the light!\I'm gonna stop ya!\It's you!\Roar of the Fire Dragon!\Cobra! Don't let him interfere!\Right! Cubellios!\You! I'll burn everything! response:	Thank you, Happy!
context: Change our darkness for the light!\I'm gonna stop ya!\It's you!\Roar of the Fire Dragon!\Cobra! Don't let him interfere!\Right! Cubellios!\You! I'll burn everything!\Thank you, Happy! response:	Aye...
context: I'm gonna stop ya!\It's you!\Roar of the Fire Dragon!\Cobra! Don't let him interfere!\Right! Cubellios!\You! I'll burn everything!\Thank you, Happy!\Aye... response:	Why, that...
context: It's you!\Roar of the Fire Dragon!\Cobra! Don't let him interfere!\Right! Cubellios!\You! I'll burn everything!\Thank you, Happy!\Aye...\Why, that... response:	What's that? The snake is flying!
context: Roar of the Fire Dragon!\Cobra! Don't let him interfere!\Right! Cubellios!\You! I'll burn everything!\Thank you, Happy!\Aye...\Why, that...\What's that? The snake is flying! response:	Hey. I heard that you couldn't handle transportation...
context: Cobra! Don't let him interfere!\Right! Cubellios!\You! I'll burn everything!\Thank you, Happy!\Aye...\Why, that...\What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation... response:	Happy isn't transportation!
context: Right! Cubellios!\You! I'll burn everything!\Thank you, Happy!\Aye...\Why, that...\What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation...\Happy isn't transportation! response:	That's right!
context: You! I'll burn everything!\Thank you, Happy!\Aye...\Why, that...\What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation...\Happy isn't transportation!\That's right! response:	I see.
context: Thank you, Happy!\Aye...\Why, that...\What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation...\Happy isn't transportation!\That's right!\I see. response:	So that's why you were already flying.
context: Aye...\Why, that...\What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation...\Happy isn't transportation!\That's right!\I see.\So that's why you were already flying. response:	Because you aren't able to stand on Nirvana.
context: Why, that...\What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation...\Happy isn't transportation!\That's right!\I see.\So that's why you were already flying.\Because you aren't able to stand on Nirvana. response:	You're a riot, buddy.
context: What's that? The snake is flying!\Hey. I heard that you couldn't handle transportation...\Happy isn't transportation!\That's right!\I see.\So that's why you were already flying.\Because you aren't able to stand on Nirvana.\You're a riot, buddy. response:	That's none of your business, jerk!
context: Hey. I heard that you couldn't handle transportation...\Happy isn't transportation!\That's right!\I see.\So that's why you were already flying.\Because you aren't able to stand on Nirvana.\You're a riot, buddy.\That's none of your business, jerk! response:	Move it,'cause I'm stopping this big pile of junk!
context: Happy isn't transportation!\That's right!\I see.\So that's why you were already flying.\Because you aren't able to stand on Nirvana.\You're a riot, buddy.\That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk! response:	Go ahead and try.
context: That's right!\I see.\So that's why you were already flying.\Because you aren't able to stand on Nirvana.\You're a riot, buddy.\That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk!\Go ahead and try. response:	I won't let you get near Brain.
context: I see.\So that's why you were already flying.\Because you aren't able to stand on Nirvana.\You're a riot, buddy.\That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk!\Go ahead and try.\I won't let you get near Brain. response:	Brain?
context: So that's why you were already flying.\Because you aren't able to stand on Nirvana.\You're a riot, buddy.\That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk!\Go ahead and try.\I won't let you get near Brain.\Brain? response:	So he's the one that's moving it?
context: Because you aren't able to stand on Nirvana.\You're a riot, buddy.\That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk!\Go ahead and try.\I won't let you get near Brain.\Brain?\So he's the one that's moving it? response:	Come, Dragon Slayer!
context: You're a riot, buddy.\That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk!\Go ahead and try.\I won't let you get near Brain.\Brain?\So he's the one that's moving it?\Come, Dragon Slayer! response:	Comin' right at ya!
context: That's none of your business, jerk!\Move it,'cause I'm stopping this big pile of junk!\Go ahead and try.\I won't let you get near Brain.\Brain?\So he's the one that's moving it?\Come, Dragon Slayer!\Comin' right at ya! response:	Aye!
context: Move it,'cause I'm stopping this big pile of junk!\Go ahead and try.\I won't let you get near Brain.\Brain?\So he's the one that's moving it?\Come, Dragon Slayer!\Comin' right at ya!\Aye! response:	A-Again and again...
context: Go ahead and try.\I won't let you get near Brain.\Brain?\So he's the one that's moving it?\Come, Dragon Slayer!\Comin' right at ya!\Aye!\A-Again and again... response:	He totally predicted your moves!
context: I won't let you get near Brain.\Brain?\So he's the one that's moving it?\Come, Dragon Slayer!\Comin' right at ya!\Aye!\A-Again and again...\He totally predicted your moves! response:	I can hear your movements!
context: Brain?\So he's the one that's moving it?\Come, Dragon Slayer!\Comin' right at ya!\Aye!\A-Again and again...\He totally predicted your moves!\I can hear your movements! response:	What?
context: So he's the one that's moving it?\Come, Dragon Slayer!\Comin' right at ya!\Aye!\A-Again and again...\He totally predicted your moves!\I can hear your movements!\What? response:	Yes, that's better. Let's play.
context: Come, Dragon Slayer!\Comin' right at ya!\Aye!\A-Again and again...\He totally predicted your moves!\I can hear your movements!\What?\Yes, that's better. Let's play. response:	I'm sorry, Carla.
context: Comin' right at ya!\Aye!\A-Again and again...\He totally predicted your moves!\I can hear your movements!\What?\Yes, that's better. Let's play.\I'm sorry, Carla. response:	I shouldn't have pushed you...
context: Aye!\A-Again and again...\He totally predicted your moves!\I can hear your movements!\What?\Yes, that's better. Let's play.\I'm sorry, Carla.\I shouldn't have pushed you... response:	Don't worry about me.
context: A-Again and again...\He totally predicted your moves!\I can hear your movements!\What?\Yes, that's better. Let's play.\I'm sorry, Carla.\I shouldn't have pushed you...\Don't worry about me. response:	Anyway... What are you planning to do now that we're here?
context: He totally predicted your moves!\I can hear your movements!\What?\Yes, that's better. Let's play.\I'm sorry, Carla.\I shouldn't have pushed you...\Don't worry about me.\Anyway... What are you planning to do now that we're here? response:	Are you still chasing after Jellal?
context: I can hear your movements!\What?\Yes, that's better. Let's play.\I'm sorry, Carla.\I shouldn't have pushed you...\Don't worry about me.\Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal? response:	No!
context: What?\Yes, that's better. Let's play.\I'm sorry, Carla.\I shouldn't have pushed you...\Don't worry about me.\Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal?\No! response:	Wendy...
context: Yes, that's better. Let's play.\I'm sorry, Carla.\I shouldn't have pushed you...\Don't worry about me.\Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal?\No!\Wendy... response:	Well, maybe a little.
context: I'm sorry, Carla.\I shouldn't have pushed you...\Don't worry about me.\Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal?\No!\Wendy...\Well, maybe a little. response:	But I have to stop this thing, no matter what.
context: I shouldn't have pushed you...\Don't worry about me.\Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal?\No!\Wendy...\Well, maybe a little.\But I have to stop this thing, no matter what. response:	There's got to be something even I can do, right?
context: Don't worry about me.\Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal?\No!\Wendy...\Well, maybe a little.\But I have to stop this thing, no matter what.\There's got to be something even I can do, right? response:	Yes, you're right...
context: Anyway... What are you planning to do now that we're here?\Are you still chasing after Jellal?\No!\Wendy...\Well, maybe a little.\But I have to stop this thing, no matter what.\There's got to be something even I can do, right?\Yes, you're right... response:	What's the matter, Carla?
context: Are you still chasing after Jellal?\No!\Wendy...\Well, maybe a little.\But I have to stop this thing, no matter what.\There's got to be something even I can do, right?\Yes, you're right...\What's the matter, Carla? response:	It couldn't be... This has to be a coincidence, right?
context: No!\Wendy...\Well, maybe a little.\But I have to stop this thing, no matter what.\There's got to be something even I can do, right?\Yes, you're right...\What's the matter, Carla?\It couldn't be... This has to be a coincidence, right? response:	This shouldn't be...
context: Wendy...\Well, maybe a little.\But I have to stop this thing, no matter what.\There's got to be something even I can do, right?\Yes, you're right...\What's the matter, Carla?\It couldn't be... This has to be a coincidence, right?\This shouldn't be... response:	What is wrong, Carla?
context: Well, maybe a little.\But I have to stop this thing, no matter what.\There's got to be something even I can do, right?\Yes, you're right...\What's the matter, Carla?\It couldn't be... This has to be a coincidence, right?\This shouldn't be...\What is wrong, Carla? response:	It's where we're heading...
context: But I have to stop this thing, no matter what.\There's got to be something even I can do, right?\Yes, you're right...\What's the matter, Carla?\It couldn't be... This has to be a coincidence, right?\This shouldn't be...\What is wrong, Carla?\It's where we're heading... response:	Our guild, Caitshelter, is dead ahead, right in this thing's path!
context: There's got to be something even I can do, right?\Yes, you're right...\What's the matter, Carla?\It couldn't be... This has to be a coincidence, right?\This shouldn't be...\What is wrong, Carla?\It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path! response:	Damn it! I can't hit him with anything!
context: Yes, you're right...\What's the matter, Carla?\It couldn't be... This has to be a coincidence, right?\This shouldn't be...\What is wrong, Carla?\It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything! response:	I wonder what kind of magic he uses?
context: What's the matter, Carla?\It couldn't be... This has to be a coincidence, right?\This shouldn't be...\What is wrong, Carla?\It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything!\I wonder what kind of magic he uses? response:	I have to finish this creep off quick, or I'll never be able to get at that guy!
context: It couldn't be... This has to be a coincidence, right?\This shouldn't be...\What is wrong, Carla?\It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything!\I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy! response:	Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!
context: This shouldn't be...\What is wrong, Carla?\It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything!\I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk! response:	Aye!
context: What is wrong, Carla?\It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything!\I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye! response:	Not gonna happen. You guys will never be able to crush our wish!
context: It's where we're heading...\Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything!\I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye!\Not gonna happen. You guys will never be able to crush our wish! response:	Now, I'm going to enjoy this...
context: Our guild, Caitshelter, is dead ahead, right in this thing's path!\Damn it! I can't hit him with anything!\I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye!\Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this... response:	Damn you! I'm getting fired up!
context: Damn it! I can't hit him with anything!\I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye!\Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this...\Damn you! I'm getting fired up! response:	Natsu! It's a snake, but it has wings and is flying!
context: I wonder what kind of magic he uses?\I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye!\Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this...\Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying! response:	It's totally ripping off my character!
context: I have to finish this creep off quick, or I'll never be able to get at that guy!\Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye!\Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this...\Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying!\It's totally ripping off my character! response:	No, not really.
context: Let's go, Happy... We'll kick both their asses and stop this huge pile of junk!\Aye!\Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this...\Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying!\It's totally ripping off my character!\No, not really. response:	Whatever, just get him! Get him for ripping off my character!
context: Aye!\Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this...\Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying!\It's totally ripping off my character!\No, not really.\Whatever, just get him! Get him for ripping off my character! response:	Hold it... Wouldn't Carla be more of a rip-off?
context: Not gonna happen. You guys will never be able to crush our wish!\Now, I'm going to enjoy this...\Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying!\It's totally ripping off my character!\No, not really.\Whatever, just get him! Get him for ripping off my character!\Hold it... Wouldn't Carla be more of a rip-off? response:	Carla can rip me off all she wants.
context: Now, I'm going to enjoy this...\Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying!\It's totally ripping off my character!\No, not really.\Whatever, just get him! Get him for ripping off my character!\Hold it... Wouldn't Carla be more of a rip-off?\Carla can rip me off all she wants. response:	Next time: Super Aerial Battle! Natsu vs. Cobra!
context: Damn you! I'm getting fired up!\Natsu! It's a snake, but it has wings and is flying!\It's totally ripping off my character!\No, not really.\Whatever, just get him! Get him for ripping off my character!\Hold it... Wouldn't Carla be more of a rip-off?\Carla can rip me off all she wants.\Next time: Super Aerial Battle! Natsu vs. Cobra! response:	I think the snake's actually cooler. It has venom.
