context: So, everything that makes me whole response:	I'll now give to you
context: That was Inori's Void.\Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before.\You'll fight with us.\But, I can't just response:	Remember this, Ouma Shu.
context: Different Voids can be extracted from different people.\Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before.\You'll fight with us.\But, I can't just\Remember this, Ouma Shu. response:	There are only two paths you can choose.
context: Void technology trespasses into the realm of the gods,\and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before.\You'll fight with us.\But, I can't just\Remember this, Ouma Shu.\There are only two paths you can choose. response:	You can sit quietly and be selected out of this world, or you can adapt and change!
context: and what you obtained today is its crowning achievement.\You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before.\You'll fight with us.\But, I can't just\Remember this, Ouma Shu.\There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change! response:	What is it?
context: You are no longer allowed to powerlessly stand by\and turn a blind eye to others' lives like before.\You'll fight with us.\But, I can't just\Remember this, Ouma Shu.\There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change!\What is it? response:	Things have gone sour, Gai.
context: and turn a blind eye to others' lives like before.\You'll fight with us.\But, I can't just\Remember this, Ouma Shu.\There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change!\What is it?\Things have gone sour, Gai. response:	The damn whitecoats have stormed the undergroud parking lot in Area 14.
context: You'll fight with us.\But, I can't just\Remember this, Ouma Shu.\There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change!\What is it?\Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14. response:	The underground parking lot?
context: But, I can't just\Remember this, Ouma Shu.\There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change!\What is it?\Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot? response:	Yeah. Somebody said it was safe,
context: Remember this, Ouma Shu.\There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change!\What is it?\Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot?\Yeah. Somebody said it was safe, response:	and about 100 people taking shelter there got caught all at once.
context: There are only two paths you can choose.\You can sit quietly and be selected out of this world, or you can adapt and change!\What is it?\Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot?\Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once. response:	On top of that, the new-model unit that took down Ayase
context: You can sit quietly and be selected out of this world, or you can adapt and change!\What is it?\Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot?\Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase response:	belonged to Kill-'em-All Daryl.
context: What is it?\Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot?\Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl. response:	That makes things a little tricky.
context: Things have gone sour, Gai.\The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot?\Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl.\That makes things a little tricky. response:	Daryl... ah, the Kaleidoscope, huh?
context: The damn whitecoats have stormed the undergroud parking lot in Area 14.\The underground parking lot?\Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl.\That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh? response:	Gai, this is an unexpected predicament.
context: The underground parking lot?\Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl.\That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament. response:	Given the current difference between our power and theirs,
context: Yeah. Somebody said it was safe,\and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl.\That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament.\Given the current difference between our power and theirs, response:	a rescue mission isn't worth the risk.
context: and about 100 people taking shelter there got caught all at once.\On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl.\That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament.\Given the current difference between our power and theirs,\a rescue mission isn't worth the risk. response:	I recommend we pull out.
context: On top of that, the new-model unit that took down Ayase\belonged to Kill-'em-All Daryl.\That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament.\Given the current difference between our power and theirs,\a rescue mission isn't worth the risk.\I recommend we pull out. response:	No, we can't pass this up.
context: belonged to Kill-'em-All Daryl.\That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament.\Given the current difference between our power and theirs,\a rescue mission isn't worth the risk.\I recommend we pull out.\No, we can't pass this up. response:	This isn't an unexpected predicament. This is divine intervention.
context: That makes things a little tricky.\Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament.\Given the current difference between our power and theirs,\a rescue mission isn't worth the risk.\I recommend we pull out.\No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention. response:	We are about to exterminate the Anti Bodies and rescue the residents of the fort!
context: Daryl... ah, the Kaleidoscope, huh?\Gai, this is an unexpected predicament.\Given the current difference between our power and theirs,\a rescue mission isn't worth the risk.\I recommend we pull out.\No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort! response:	Furthermore, this operation won't be a covert one like the ones so far.
context: Gai, this is an unexpected predicament.\Given the current difference between our power and theirs,\a rescue mission isn't worth the risk.\I recommend we pull out.\No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far. response:	As of this moment,
context: Given the current difference between our power and theirs,\a rescue mission isn't worth the risk.\I recommend we pull out.\No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far.\As of this moment, response:	we, Undertaker, are making our existence known to the world!
context: a rescue mission isn't worth the risk.\I recommend we pull out.\No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far.\As of this moment,\we, Undertaker, are making our existence known to the world! response:	So work with all you've got!
context: I recommend we pull out.\No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far.\As of this moment,\we, Undertaker, are making our existence known to the world!\So work with all you've got! response:	Aye-aye!
context: No, we can't pass this up.\This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far.\As of this moment,\we, Undertaker, are making our existence known to the world!\So work with all you've got!\Aye-aye! response:	All right!
context: This isn't an unexpected predicament. This is divine intervention.\We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far.\As of this moment,\we, Undertaker, are making our existence known to the world!\So work with all you've got!\Aye-aye!\All right! response:	Only you. All right, I'll knock out a script.
context: We are about to exterminate the Anti Bodies and rescue the residents of the fort!\Furthermore, this operation won't be a covert one like the ones so far.\As of this moment,\we, Undertaker, are making our existence known to the world!\So work with all you've got!\Aye-aye!\All right!\Only you. All right, I'll knock out a script. response:	But are you sure this isn't a bit too soon?
context: Furthermore, this operation won't be a covert one like the ones so far.\As of this moment,\we, Undertaker, are making our existence known to the world!\So work with all you've got!\Aye-aye!\All right!\Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon? response:	What's your answer?
context: As of this moment,\we, Undertaker, are making our existence known to the world!\So work with all you've got!\Aye-aye!\All right!\Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon?\What's your answer? response:	It's pointless to resist!
context: we, Undertaker, are making our existence known to the world!\So work with all you've got!\Aye-aye!\All right!\Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon?\What's your answer?\It's pointless to resist! response:	Spill it. Who's your leader?!
context: So work with all you've got!\Aye-aye!\All right!\Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon?\What's your answer?\It's pointless to resist!\Spill it. Who's your leader?! response:	Tell me!
context: Aye-aye!\All right!\Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon?\What's your answer?\It's pointless to resist!\Spill it. Who's your leader?!\Tell me! response:	The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.
context: All right!\Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon?\What's your answer?\It's pointless to resist!\Spill it. Who's your leader?!\Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies. response:	They can unilaterally designate people as symptomatic,
context: Only you. All right, I'll knock out a script.\But are you sure this isn't a bit too soon?\What's your answer?\It's pointless to resist!\Spill it. Who's your leader?!\Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic, response:	and have been granted the authority to dispose of them based on their judgment.
context: But are you sure this isn't a bit too soon?\What's your answer?\It's pointless to resist!\Spill it. Who's your leader?!\Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment. response:	Please, don't!
context: What's your answer?\It's pointless to resist!\Spill it. Who's your leader?!\Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment.\Please, don't! response:	What do you think my husband's done?!
context: It's pointless to resist!\Spill it. Who's your leader?!\Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment.\Please, don't!\What do you think my husband's done?! response:	Mommy, potty!
context: Spill it. Who's your leader?!\Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment.\Please, don't!\What do you think my husband's done?!\Mommy, potty! response:	Wait just a second, Ryo.
context: Tell me!\The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment.\Please, don't!\What do you think my husband's done?!\Mommy, potty!\Wait just a second, Ryo. response:	He isn't sick!
context: The Special Virus Disaster Response Bureau, commonly known as the Anti Bodies.\They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment.\Please, don't!\What do you think my husband's done?!\Mommy, potty!\Wait just a second, Ryo.\He isn't sick! response:	Mama!
context: They can unilaterally designate people as symptomatic,\and have been granted the authority to dispose of them based on their judgment.\Please, don't!\What do you think my husband's done?!\Mommy, potty!\Wait just a second, Ryo.\He isn't sick!\Mama! response:	Please!
context: and have been granted the authority to dispose of them based on their judgment.\Please, don't!\What do you think my husband's done?!\Mommy, potty!\Wait just a second, Ryo.\He isn't sick!\Mama!\Please! response:	What a heartrending sight... my heart quivers.
context: Please, don't!\What do you think my husband's done?!\Mommy, potty!\Wait just a second, Ryo.\He isn't sick!\Mama!\Please!\What a heartrending sight... my heart quivers. response:	Officer!
context: What do you think my husband's done?!\Mommy, potty!\Wait just a second, Ryo.\He isn't sick!\Mama!\Please!\What a heartrending sight... my heart quivers.\Officer! response:	I'm begging you, please spare him!
context: Mommy, potty!\Wait just a second, Ryo.\He isn't sick!\Mama!\Please!\What a heartrending sight... my heart quivers.\Officer!\I'm begging you, please spare him! response:	What do you think you're doing, you filthy hag?!
context: Wait just a second, Ryo.\He isn't sick!\Mama!\Please!\What a heartrending sight... my heart quivers.\Officer!\I'm begging you, please spare him!\What do you think you're doing, you filthy hag?! response:	You'll infect me!
context: He isn't sick!\Mama!\Please!\What a heartrending sight... my heart quivers.\Officer!\I'm begging you, please spare him!\What do you think you're doing, you filthy hag?!\You'll infect me! response:	That's fucking disgusting! How dare you?!
context: Mama!\Please!\What a heartrending sight... my heart quivers.\Officer!\I'm begging you, please spare him!\What do you think you're doing, you filthy hag?!\You'll infect me!\That's fucking disgusting! How dare you?! response:	The cornerstone of GHQ's public security operations
context: Please!\What a heartrending sight... my heart quivers.\Officer!\I'm begging you, please spare him!\What do you think you're doing, you filthy hag?!\You'll infect me!\That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations response:	their cruelest, sharpest fang.
context: What a heartrending sight... my heart quivers.\Officer!\I'm begging you, please spare him!\What do you think you're doing, you filthy hag?!\You'll infect me!\That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations\their cruelest, sharpest fang. response:	That's the enemy we're fighting right now.
context: Officer!\I'm begging you, please spare him!\What do you think you're doing, you filthy hag?!\You'll infect me!\That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations\their cruelest, sharpest fang.\That's the enemy we're fighting right now. response:	No matter. Just do it.
context: I'm begging you, please spare him!\What do you think you're doing, you filthy hag?!\You'll infect me!\That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations\their cruelest, sharpest fang.\That's the enemy we're fighting right now.\No matter. Just do it. response:	Kill them!
context: What do you think you're doing, you filthy hag?!\You'll infect me!\That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations\their cruelest, sharpest fang.\That's the enemy we're fighting right now.\No matter. Just do it.\Kill them! response:	Mommy! Mommy! Mommy!
context: You'll infect me!\That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations\their cruelest, sharpest fang.\That's the enemy we're fighting right now.\No matter. Just do it.\Kill them!\Mommy! Mommy! Mommy! response:	Ugh, this mommy crap...
context: That's fucking disgusting! How dare you?!\The cornerstone of GHQ's public security operations\their cruelest, sharpest fang.\That's the enemy we're fighting right now.\No matter. Just do it.\Kill them!\Mommy! Mommy! Mommy!\Ugh, this mommy crap... response:	No need to be so annoying just because you gave birth to him.
context: The cornerstone of GHQ's public security operations\their cruelest, sharpest fang.\That's the enemy we're fighting right now.\No matter. Just do it.\Kill them!\Mommy! Mommy! Mommy!\Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him. response:	This can't be real.
context: their cruelest, sharpest fang.\That's the enemy we're fighting right now.\No matter. Just do it.\Kill them!\Mommy! Mommy! Mommy!\Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him.\This can't be real. response:	Alpha Team, are you in position?
context: That's the enemy we're fighting right now.\No matter. Just do it.\Kill them!\Mommy! Mommy! Mommy!\Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him.\This can't be real.\Alpha Team, are you in position? response:	Not yet.
context: No matter. Just do it.\Kill them!\Mommy! Mommy! Mommy!\Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him.\This can't be real.\Alpha Team, are you in position?\Not yet. response:	Hurry up!
context: Kill them!\Mommy! Mommy! Mommy!\Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him.\This can't be real.\Alpha Team, are you in position?\Not yet.\Hurry up! response:	I know!
context: Mommy! Mommy! Mommy!\Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him.\This can't be real.\Alpha Team, are you in position?\Not yet.\Hurry up!\I know! response:	Gai!
context: Ugh, this mommy crap...\No need to be so annoying just because you gave birth to him.\This can't be real.\Alpha Team, are you in position?\Not yet.\Hurry up!\I know!\Gai! response:	Begin the operation!
context: No need to be so annoying just because you gave birth to him.\This can't be real.\Alpha Team, are you in position?\Not yet.\Hurry up!\I know!\Gai!\Begin the operation! response:	Missiles incoming!
context: This can't be real.\Alpha Team, are you in position?\Not yet.\Hurry up!\I know!\Gai!\Begin the operation!\Missiles incoming! response:	Intercept them!
context: Alpha Team, are you in position?\Not yet.\Hurry up!\I know!\Gai!\Begin the operation!\Missiles incoming!\Intercept them! response:	Undertaker, eh?
context: Not yet.\Hurry up!\I know!\Gai!\Begin the operation!\Missiles incoming!\Intercept them!\Undertaker, eh? response:	Don't you dare let them go!
context: Hurry up!\I know!\Gai!\Begin the operation!\Missiles incoming!\Intercept them!\Undertaker, eh?\Don't you dare let them go! response:	They're here!
context: I know!\Gai!\Begin the operation!\Missiles incoming!\Intercept them!\Undertaker, eh?\Don't you dare let them go!\They're here! response:	It's started...
context: Gai!\Begin the operation!\Missiles incoming!\Intercept them!\Undertaker, eh?\Don't you dare let them go!\They're here!\It's started... response:	Listen up, Shu.
context: Begin the operation!\Missiles incoming!\Intercept them!\Undertaker, eh?\Don't you dare let them go!\They're here!\It's started...\Listen up, Shu. response:	After Alpha Team's long-range attack,
context: Missiles incoming!\Intercept them!\Undertaker, eh?\Don't you dare let them go!\They're here!\It's started...\Listen up, Shu.\After Alpha Team's long-range attack, response:	we'll draw the Endlaves as far away from the enemy camp as possible.
context: Intercept them!\Undertaker, eh?\Don't you dare let them go!\They're here!\It's started...\Listen up, Shu.\After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible. response:	And once we've drawn them the preset distance,
context: Undertaker, eh?\Don't you dare let them go!\They're here!\It's started...\Listen up, Shu.\After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance, response:	Charlie Team will make its move.
context: Don't you dare let them go!\They're here!\It's started...\Listen up, Shu.\After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance,\Charlie Team will make its move. response:	Points Red, Blue, and Yellow are now under our control.
context: They're here!\It's started...\Listen up, Shu.\After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance,\Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control. response:	Distance to planned point: seven.
context: It's started...\Listen up, Shu.\After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance,\Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven. response:	Now take good care of my babies, Aya!
context: Listen up, Shu.\After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance,\Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven.\Now take good care of my babies, Aya! response:	Leave them to me.
context: After Alpha Team's long-range attack,\we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance,\Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven.\Now take good care of my babies, Aya!\Leave them to me. response:	Look out, I'm gonna step on you!
context: we'll draw the Endlaves as far away from the enemy camp as possible.\And once we've drawn them the preset distance,\Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven.\Now take good care of my babies, Aya!\Leave them to me.\Look out, I'm gonna step on you! response:	Target has reached D-line!
context: And once we've drawn them the preset distance,\Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven.\Now take good care of my babies, Aya!\Leave them to me.\Look out, I'm gonna step on you!\Target has reached D-line! response:	Game... over!
context: Charlie Team will make its move.\Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven.\Now take good care of my babies, Aya!\Leave them to me.\Look out, I'm gonna step on you!\Target has reached D-line!\Game... over! response:	Now!
context: Points Red, Blue, and Yellow are now under our control.\Distance to planned point: seven.\Now take good care of my babies, Aya!\Leave them to me.\Look out, I'm gonna step on you!\Target has reached D-line!\Game... over!\Now! response:	Abort! Abort your attack!
context: Distance to planned point: seven.\Now take good care of my babies, Aya!\Leave them to me.\Look out, I'm gonna step on you!\Target has reached D-line!\Game... over!\Now!\Abort! Abort your attack! response:	What?!
context: Now take good care of my babies, Aya!\Leave them to me.\Look out, I'm gonna step on you!\Target has reached D-line!\Game... over!\Now!\Abort! Abort your attack!\What?! response:	We have multiple missiles locked on!
context: Leave them to me.\Look out, I'm gonna step on you!\Target has reached D-line!\Game... over!\Now!\Abort! Abort your attack!\What?!\We have multiple missiles locked on! response:	How are there too many for us to intercept?!
context: Look out, I'm gonna step on you!\Target has reached D-line!\Game... over!\Now!\Abort! Abort your attack!\What?!\We have multiple missiles locked on!\How are there too many for us to intercept?! response:	A word of advice to Major Guin,
context: Target has reached D-line!\Game... over!\Now!\Abort! Abort your attack!\What?!\We have multiple missiles locked on!\How are there too many for us to intercept?!\A word of advice to Major Guin, response:	commander of GHQ's Anti Bodies Squadron Three.
context: Game... over!\Now!\Abort! Abort your attack!\What?!\We have multiple missiles locked on!\How are there too many for us to intercept?!\A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three. response:	He's on an open channel!
context: Now!\Abort! Abort your attack!\What?!\We have multiple missiles locked on!\How are there too many for us to intercept?!\A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel! response:	We are Undertaker.
context: Abort! Abort your attack!\What?!\We have multiple missiles locked on!\How are there too many for us to intercept?!\A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel!\We are Undertaker. response:	Release your hostages and surrender.
context: What?!\We have multiple missiles locked on!\How are there too many for us to intercept?!\A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel!\We are Undertaker.\Release your hostages and surrender. response:	If you agree, we will spare your lives.
context: We have multiple missiles locked on!\How are there too many for us to intercept?!\A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel!\We are Undertaker.\Release your hostages and surrender.\If you agree, we will spare your lives. response:	What now, Major?
context: How are there too many for us to intercept?!\A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel!\We are Undertaker.\Release your hostages and surrender.\If you agree, we will spare your lives.\What now, Major? response:	We're the ones holding the trump card.
context: A word of advice to Major Guin,\commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel!\We are Undertaker.\Release your hostages and surrender.\If you agree, we will spare your lives.\What now, Major?\We're the ones holding the trump card. response:	Listen up, terrorists! We will never bow to terrorism.
context: commander of GHQ's Anti Bodies Squadron Three.\He's on an open channel!\We are Undertaker.\Release your hostages and surrender.\If you agree, we will spare your lives.\What now, Major?\We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism. response:	If you continue to resist, we'll set off the gas we've planted underground.
context: He's on an open channel!\We are Undertaker.\Release your hostages and surrender.\If you agree, we will spare your lives.\What now, Major?\We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground. response:	If you don't want that, show yourselves!
context: We are Undertaker.\Release your hostages and surrender.\If you agree, we will spare your lives.\What now, Major?\We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves! response:	So, you call yourselves Undertaker?
context: Release your hostages and surrender.\If you agree, we will spare your lives.\What now, Major?\We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves!\So, you call yourselves Undertaker? response:	I assume you must have a leader, correct?
context: If you agree, we will spare your lives.\What now, Major?\We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves!\So, you call yourselves Undertaker?\I assume you must have a leader, correct? response:	I'm the leader.
context: What now, Major?\We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves!\So, you call yourselves Undertaker?\I assume you must have a leader, correct?\I'm the leader. response:	Undertaker is quite the sinister name, isn't it?
context: We're the ones holding the trump card.\Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves!\So, you call yourselves Undertaker?\I assume you must have a leader, correct?\I'm the leader.\Undertaker is quite the sinister name, isn't it? response:	The world always forces a choice on its inhabitants.
context: Listen up, terrorists! We will never bow to terrorism.\If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves!\So, you call yourselves Undertaker?\I assume you must have a leader, correct?\I'm the leader.\Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants. response:	Survival of the fittest...
context: If you continue to resist, we'll set off the gas we've planted underground.\If you don't want that, show yourselves!\So, you call yourselves Undertaker?\I assume you must have a leader, correct?\I'm the leader.\Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants.\Survival of the fittest... response:	that is the law this world operates by.
context: If you don't want that, show yourselves!\So, you call yourselves Undertaker?\I assume you must have a leader, correct?\I'm the leader.\Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants.\Survival of the fittest...\that is the law this world operates by. response:	We continue to offer songs of mourning to the ones selected out.
context: So, you call yourselves Undertaker?\I assume you must have a leader, correct?\I'm the leader.\Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants.\Survival of the fittest...\that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out. response:	Hence Undertaker.
context: I assume you must have a leader, correct?\I'm the leader.\Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants.\Survival of the fittest...\that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out.\Hence Undertaker. response:	The name signifies that we are always on the singing side
context: I'm the leader.\Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants.\Survival of the fittest...\that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out.\Hence Undertaker.\The name signifies that we are always on the singing side response:	that we are the survivors.
context: Undertaker is quite the sinister name, isn't it?\The world always forces a choice on its inhabitants.\Survival of the fittest...\that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out.\Hence Undertaker.\The name signifies that we are always on the singing side\that we are the survivors. response:	You clearly don't understand your position here.
context: The world always forces a choice on its inhabitants.\Survival of the fittest...\that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out.\Hence Undertaker.\The name signifies that we are always on the singing side\that we are the survivors.\You clearly don't understand your position here. response:	Which one of us is about to be selected out?
context: Survival of the fittest...\that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out.\Hence Undertaker.\The name signifies that we are always on the singing side\that we are the survivors.\You clearly don't understand your position here.\Which one of us is about to be selected out? response:	Where's the genetic weapon your people stole?
context: that is the law this world operates by.\We continue to offer songs of mourning to the ones selected out.\Hence Undertaker.\The name signifies that we are always on the singing side\that we are the survivors.\You clearly don't understand your position here.\Which one of us is about to be selected out?\Where's the genetic weapon your people stole? response:	Confess!
context: We continue to offer songs of mourning to the ones selected out.\Hence Undertaker.\The name signifies that we are always on the singing side\that we are the survivors.\You clearly don't understand your position here.\Which one of us is about to be selected out?\Where's the genetic weapon your people stole?\Confess! response:	Well, that's the first I've heard about that.
context: Hence Undertaker.\The name signifies that we are always on the singing side\that we are the survivors.\You clearly don't understand your position here.\Which one of us is about to be selected out?\Where's the genetic weapon your people stole?\Confess!\Well, that's the first I've heard about that. response:	I'll give you a count of ten to tell us.
