context: Eriol, dinner is almost ready. response:	Ok.
context: They're waiting.\Umm' Clow-san! I'm'\Please'\Is that better?\Geez, of course it is.\Kero-chan and Yue-san look so happy.\They both look very happy'\Did you sleep well? response:	Clow! Umm' I'm'
context: Umm' Clow-san! I'm'\Please'\Is that better?\Geez, of course it is.\Kero-chan and Yue-san look so happy.\They both look very happy'\Did you sleep well?\Clow! Umm' I'm' response:	This is a quiet place to rest during the day.
context: Please'\Is that better?\Geez, of course it is.\Kero-chan and Yue-san look so happy.\They both look very happy'\Did you sleep well?\Clow! Umm' I'm'\This is a quiet place to rest during the day. response:	Umm there's something I'd like to ask you'
context: Is that better?\Geez, of course it is.\Kero-chan and Yue-san look so happy.\They both look very happy'\Did you sleep well?\Clow! Umm' I'm'\This is a quiet place to rest during the day.\Umm there's something I'd like to ask you' response:	um' you see'
context: Geez, of course it is.\Kero-chan and Yue-san look so happy.\They both look very happy'\Did you sleep well?\Clow! Umm' I'm'\This is a quiet place to rest during the day.\Umm there's something I'd like to ask you'\um' you see' response:	About the future?
context: Kero-chan and Yue-san look so happy.\They both look very happy'\Did you sleep well?\Clow! Umm' I'm'\This is a quiet place to rest during the day.\Umm there's something I'd like to ask you'\um' you see'\About the future? response:	Eh? Um' yeah.
context: They both look very happy'\Did you sleep well?\Clow! Umm' I'm'\This is a quiet place to rest during the day.\Umm there's something I'd like to ask you'\um' you see'\About the future?\Eh? Um' yeah. response:	What is it you wanted to ask?
context: Did you sleep well?\Clow! Umm' I'm'\This is a quiet place to rest during the day.\Umm there's something I'd like to ask you'\um' you see'\About the future?\Eh? Um' yeah.\What is it you wanted to ask? response:	Uh, well, you see, strange things
context: Clow! Umm' I'm'\This is a quiet place to rest during the day.\Umm there's something I'd like to ask you'\um' you see'\About the future?\Eh? Um' yeah.\What is it you wanted to ask?\Uh, well, you see, strange things response:	are happening and'
context: This is a quiet place to rest during the day.\Umm there's something I'd like to ask you'\um' you see'\About the future?\Eh? Um' yeah.\What is it you wanted to ask?\Uh, well, you see, strange things\are happening and' response:	we always feel your aura when they appear.
context: Umm there's something I'd like to ask you'\um' you see'\About the future?\Eh? Um' yeah.\What is it you wanted to ask?\Uh, well, you see, strange things\are happening and'\we always feel your aura when they appear. response:	So I was wondering if you had done anything?
context: um' you see'\About the future?\Eh? Um' yeah.\What is it you wanted to ask?\Uh, well, you see, strange things\are happening and'\we always feel your aura when they appear.\So I was wondering if you had done anything? response:	If I will, I did.
context: About the future?\Eh? Um' yeah.\What is it you wanted to ask?\Uh, well, you see, strange things\are happening and'\we always feel your aura when they appear.\So I was wondering if you had done anything?\If I will, I did. response:	If I won't, I didn't.
context: Eh? Um' yeah.\What is it you wanted to ask?\Uh, well, you see, strange things\are happening and'\we always feel your aura when they appear.\So I was wondering if you had done anything?\If I will, I did.\If I won't, I didn't. response:	What's that mean?
context: What is it you wanted to ask?\Uh, well, you see, strange things\are happening and'\we always feel your aura when they appear.\So I was wondering if you had done anything?\If I will, I did.\If I won't, I didn't.\What's that mean? response:	Clow! No, don't use the Bubble card!
context: Uh, well, you see, strange things\are happening and'\we always feel your aura when they appear.\So I was wondering if you had done anything?\If I will, I did.\If I won't, I didn't.\What's that mean?\Clow! No, don't use the Bubble card! response:	Stop' please' heh heh'
context: are happening and'\we always feel your aura when they appear.\So I was wondering if you had done anything?\If I will, I did.\If I won't, I didn't.\What's that mean?\Clow! No, don't use the Bubble card!\Stop' please' heh heh' response:	Oh dear.
context: we always feel your aura when they appear.\So I was wondering if you had done anything?\If I will, I did.\If I won't, I didn't.\What's that mean?\Clow! No, don't use the Bubble card!\Stop' please' heh heh'\Oh dear. response:	It's nice here, isn't it'
context: So I was wondering if you had done anything?\If I will, I did.\If I won't, I didn't.\What's that mean?\Clow! No, don't use the Bubble card!\Stop' please' heh heh'\Oh dear.\It's nice here, isn't it' response:	Very peaceful.
context: If I will, I did.\If I won't, I didn't.\What's that mean?\Clow! No, don't use the Bubble card!\Stop' please' heh heh'\Oh dear.\It's nice here, isn't it'\Very peaceful. response:	And how are you?
context: If I won't, I didn't.\What's that mean?\Clow! No, don't use the Bubble card!\Stop' please' heh heh'\Oh dear.\It's nice here, isn't it'\Very peaceful.\And how are you? response:	Do you like these children?
context: What's that mean?\Clow! No, don't use the Bubble card!\Stop' please' heh heh'\Oh dear.\It's nice here, isn't it'\Very peaceful.\And how are you?\Do you like these children? response:	I love them! Kero, Yue,
context: Clow! No, don't use the Bubble card!\Stop' please' heh heh'\Oh dear.\It's nice here, isn't it'\Very peaceful.\And how are you?\Do you like these children?\I love them! Kero, Yue, response:	and the cards!
context: Stop' please' heh heh'\Oh dear.\It's nice here, isn't it'\Very peaceful.\And how are you?\Do you like these children?\I love them! Kero, Yue,\and the cards! response:	But' but I'm not you after all'
context: Oh dear.\It's nice here, isn't it'\Very peaceful.\And how are you?\Do you like these children?\I love them! Kero, Yue,\and the cards!\But' but I'm not you after all' response:	Please wait! Clow-san!
context: It's nice here, isn't it'\Very peaceful.\And how are you?\Do you like these children?\I love them! Kero, Yue,\and the cards!\But' but I'm not you after all'\Please wait! Clow-san! response:	The summer is over so soon.
context: Very peaceful.\And how are you?\Do you like these children?\I love them! Kero, Yue,\and the cards!\But' but I'm not you after all'\Please wait! Clow-san!\The summer is over so soon. response:	Each season passes into the next.
context: And how are you?\Do you like these children?\I love them! Kero, Yue,\and the cards!\But' but I'm not you after all'\Please wait! Clow-san!\The summer is over so soon.\Each season passes into the next. response:	Have you ever thought about how sad it is?
context: Do you like these children?\I love them! Kero, Yue,\and the cards!\But' but I'm not you after all'\Please wait! Clow-san!\The summer is over so soon.\Each season passes into the next.\Have you ever thought about how sad it is? response:	I have.
context: I love them! Kero, Yue,\and the cards!\But' but I'm not you after all'\Please wait! Clow-san!\The summer is over so soon.\Each season passes into the next.\Have you ever thought about how sad it is?\I have. response:	Because I am just like season that passes into next very soon.
context: and the cards!\But' but I'm not you after all'\Please wait! Clow-san!\The summer is over so soon.\Each season passes into the next.\Have you ever thought about how sad it is?\I have.\Because I am just like season that passes into next very soon. response:	Oh! Clow-san!
context: But' but I'm not you after all'\Please wait! Clow-san!\The summer is over so soon.\Each season passes into the next.\Have you ever thought about how sad it is?\I have.\Because I am just like season that passes into next very soon.\Oh! Clow-san! response:	Huh?
context: Please wait! Clow-san!\The summer is over so soon.\Each season passes into the next.\Have you ever thought about how sad it is?\I have.\Because I am just like season that passes into next very soon.\Oh! Clow-san!\Huh? response:	That chair
context: The summer is over so soon.\Each season passes into the next.\Have you ever thought about how sad it is?\I have.\Because I am just like season that passes into next very soon.\Oh! Clow-san!\Huh?\That chair response:	is the same one as the one in Eriol-kun's house.
context: Each season passes into the next.\Have you ever thought about how sad it is?\I have.\Because I am just like season that passes into next very soon.\Oh! Clow-san!\Huh?\That chair\is the same one as the one in Eriol-kun's house. response:	Explain yourself Clow!
context: Have you ever thought about how sad it is?\I have.\Because I am just like season that passes into next very soon.\Oh! Clow-san!\Huh?\That chair\is the same one as the one in Eriol-kun's house.\Explain yourself Clow! response:	What does this mean?
context: I have.\Because I am just like season that passes into next very soon.\Oh! Clow-san!\Huh?\That chair\is the same one as the one in Eriol-kun's house.\Explain yourself Clow!\What does this mean? response:	It's as I told you Yue.
context: Because I am just like season that passes into next very soon.\Oh! Clow-san!\Huh?\That chair\is the same one as the one in Eriol-kun's house.\Explain yourself Clow!\What does this mean?\It's as I told you Yue. response:	I will leave this world today.
context: Oh! Clow-san!\Huh?\That chair\is the same one as the one in Eriol-kun's house.\Explain yourself Clow!\What does this mean?\It's as I told you Yue.\I will leave this world today. response:	That's not something to joke about'
context: Huh?\That chair\is the same one as the one in Eriol-kun's house.\Explain yourself Clow!\What does this mean?\It's as I told you Yue.\I will leave this world today.\That's not something to joke about' response:	I'm sorry, it is not a joke.
context: That chair\is the same one as the one in Eriol-kun's house.\Explain yourself Clow!\What does this mean?\It's as I told you Yue.\I will leave this world today.\That's not something to joke about'\I'm sorry, it is not a joke. response:	Why!?
context: is the same one as the one in Eriol-kun's house.\Explain yourself Clow!\What does this mean?\It's as I told you Yue.\I will leave this world today.\That's not something to joke about'\I'm sorry, it is not a joke.\Why!? response:	It is my time.
context: Explain yourself Clow!\What does this mean?\It's as I told you Yue.\I will leave this world today.\That's not something to joke about'\I'm sorry, it is not a joke.\Why!?\It is my time. response:	Your time?
context: What does this mean?\It's as I told you Yue.\I will leave this world today.\That's not something to joke about'\I'm sorry, it is not a joke.\Why!?\It is my time.\Your time? response:	Impossible.
context: It's as I told you Yue.\I will leave this world today.\That's not something to joke about'\I'm sorry, it is not a joke.\Why!?\It is my time.\Your time?\Impossible. response:	You're the world's greatest magician.
context: I will leave this world today.\That's not something to joke about'\I'm sorry, it is not a joke.\Why!?\It is my time.\Your time?\Impossible.\You're the world's greatest magician. response:	You made us!
context: That's not something to joke about'\I'm sorry, it is not a joke.\Why!?\It is my time.\Your time?\Impossible.\You're the world's greatest magician.\You made us! response:	Even so, everything must die, in time'
context: I'm sorry, it is not a joke.\Why!?\It is my time.\Your time?\Impossible.\You're the world's greatest magician.\You made us!\Even so, everything must die, in time' response:	Even me.
context: Why!?\It is my time.\Your time?\Impossible.\You're the world's greatest magician.\You made us!\Even so, everything must die, in time'\Even me. response:	Why!?
context: It is my time.\Your time?\Impossible.\You're the world's greatest magician.\You made us!\Even so, everything must die, in time'\Even me.\Why!? response:	There will come someone who will care for you in my place.
context: Your time?\Impossible.\You're the world's greatest magician.\You made us!\Even so, everything must die, in time'\Even me.\Why!?\There will come someone who will care for you in my place. response:	I don't want anyone else.
context: Impossible.\You're the world's greatest magician.\You made us!\Even so, everything must die, in time'\Even me.\Why!?\There will come someone who will care for you in my place.\I don't want anyone else. response:	Then this person shall require your approval.
context: You're the world's greatest magician.\You made us!\Even so, everything must die, in time'\Even me.\Why!?\There will come someone who will care for you in my place.\I don't want anyone else.\Then this person shall require your approval. response:	I wouldn't approve of anyone else!
context: You made us!\Even so, everything must die, in time'\Even me.\Why!?\There will come someone who will care for you in my place.\I don't want anyone else.\Then this person shall require your approval.\I wouldn't approve of anyone else! response:	It won't just be up to Yue,
context: Even so, everything must die, in time'\Even me.\Why!?\There will come someone who will care for you in my place.\I don't want anyone else.\Then this person shall require your approval.\I wouldn't approve of anyone else!\It won't just be up to Yue, response:	You'll have to approve as well, Keroberos.
context: Even me.\Why!?\There will come someone who will care for you in my place.\I don't want anyone else.\Then this person shall require your approval.\I wouldn't approve of anyone else!\It won't just be up to Yue,\You'll have to approve as well, Keroberos. response:	Are you serious?
context: Why!?\There will come someone who will care for you in my place.\I don't want anyone else.\Then this person shall require your approval.\I wouldn't approve of anyone else!\It won't just be up to Yue,\You'll have to approve as well, Keroberos.\Are you serious? response:	You two and the Clow cards
context: There will come someone who will care for you in my place.\I don't want anyone else.\Then this person shall require your approval.\I wouldn't approve of anyone else!\It won't just be up to Yue,\You'll have to approve as well, Keroberos.\Are you serious?\You two and the Clow cards response:	used all my effort and magic to create.
context: I don't want anyone else.\Then this person shall require your approval.\I wouldn't approve of anyone else!\It won't just be up to Yue,\You'll have to approve as well, Keroberos.\Are you serious?\You two and the Clow cards\used all my effort and magic to create. response:	So, I sincerely hope that you guys
context: Then this person shall require your approval.\I wouldn't approve of anyone else!\It won't just be up to Yue,\You'll have to approve as well, Keroberos.\Are you serious?\You two and the Clow cards\used all my effort and magic to create.\So, I sincerely hope that you guys response:	will be happy with your new master after I am gone.
context: I wouldn't approve of anyone else!\It won't just be up to Yue,\You'll have to approve as well, Keroberos.\Are you serious?\You two and the Clow cards\used all my effort and magic to create.\So, I sincerely hope that you guys\will be happy with your new master after I am gone. response:	That is my final wish.
context: It won't just be up to Yue,\You'll have to approve as well, Keroberos.\Are you serious?\You two and the Clow cards\used all my effort and magic to create.\So, I sincerely hope that you guys\will be happy with your new master after I am gone.\That is my final wish. response:	Every life comes to an end at some point. Even ours.
context: You'll have to approve as well, Keroberos.\Are you serious?\You two and the Clow cards\used all my effort and magic to create.\So, I sincerely hope that you guys\will be happy with your new master after I am gone.\That is my final wish.\Every life comes to an end at some point. Even ours. response:	It is a part of being alive.
context: Are you serious?\You two and the Clow cards\used all my effort and magic to create.\So, I sincerely hope that you guys\will be happy with your new master after I am gone.\That is my final wish.\Every life comes to an end at some point. Even ours.\It is a part of being alive. response:	What happened to Kero-chan and Yue-san?
context: You two and the Clow cards\used all my effort and magic to create.\So, I sincerely hope that you guys\will be happy with your new master after I am gone.\That is my final wish.\Every life comes to an end at some point. Even ours.\It is a part of being alive.\What happened to Kero-chan and Yue-san? response:	That is why I'm glad that
context: used all my effort and magic to create.\So, I sincerely hope that you guys\will be happy with your new master after I am gone.\That is my final wish.\Every life comes to an end at some point. Even ours.\It is a part of being alive.\What happened to Kero-chan and Yue-san?\That is why I'm glad that response:	you have become their new mistress.
context: So, I sincerely hope that you guys\will be happy with your new master after I am gone.\That is my final wish.\Every life comes to an end at some point. Even ours.\It is a part of being alive.\What happened to Kero-chan and Yue-san?\That is why I'm glad that\you have become their new mistress. response:	But I'm'
context: will be happy with your new master after I am gone.\That is my final wish.\Every life comes to an end at some point. Even ours.\It is a part of being alive.\What happened to Kero-chan and Yue-san?\That is why I'm glad that\you have become their new mistress.\But I'm' response:	No' but you'll do fine.
context: That is my final wish.\Every life comes to an end at some point. Even ours.\It is a part of being alive.\What happened to Kero-chan and Yue-san?\That is why I'm glad that\you have become their new mistress.\But I'm'\No' but you'll do fine. response:	Please take care of them.
context: Every life comes to an end at some point. Even ours.\It is a part of being alive.\What happened to Kero-chan and Yue-san?\That is why I'm glad that\you have become their new mistress.\But I'm'\No' but you'll do fine.\Please take care of them. response:	Ok? Sakura-san.
context: It is a part of being alive.\What happened to Kero-chan and Yue-san?\That is why I'm glad that\you have become their new mistress.\But I'm'\No' but you'll do fine.\Please take care of them.\Ok? Sakura-san. response:	I can't do it!
context: What happened to Kero-chan and Yue-san?\That is why I'm glad that\you have become their new mistress.\But I'm'\No' but you'll do fine.\Please take care of them.\Ok? Sakura-san.\I can't do it! response:	I can't become you!
context: That is why I'm glad that\you have become their new mistress.\But I'm'\No' but you'll do fine.\Please take care of them.\Ok? Sakura-san.\I can't do it!\I can't become you! response:	I don't want them to forget about you'
context: you have become their new mistress.\But I'm'\No' but you'll do fine.\Please take care of them.\Ok? Sakura-san.\I can't do it!\I can't become you!\I don't want them to forget about you' response:	but' but I'm not you'
context: But I'm'\No' but you'll do fine.\Please take care of them.\Ok? Sakura-san.\I can't do it!\I can't become you!\I don't want them to forget about you'\but' but I'm not you' response:	That's what I expected.
context: No' but you'll do fine.\Please take care of them.\Ok? Sakura-san.\I can't do it!\I can't become you!\I don't want them to forget about you'\but' but I'm not you'\That's what I expected. response:	You are you. I don't expect you to be me.
context: Please take care of them.\Ok? Sakura-san.\I can't do it!\I can't become you!\I don't want them to forget about you'\but' but I'm not you'\That's what I expected.\You are you. I don't expect you to be me. response:	There are many things that only you can do.
context: Ok? Sakura-san.\I can't do it!\I can't become you!\I don't want them to forget about you'\but' but I'm not you'\That's what I expected.\You are you. I don't expect you to be me.\There are many things that only you can do. response:	Only me?
context: I can't do it!\I can't become you!\I don't want them to forget about you'\but' but I'm not you'\That's what I expected.\You are you. I don't expect you to be me.\There are many things that only you can do.\Only me? response:	We can't live in the past forever.
context: I can't become you!\I don't want them to forget about you'\but' but I'm not you'\That's what I expected.\You are you. I don't expect you to be me.\There are many things that only you can do.\Only me?\We can't live in the past forever. response:	The future is always ahead of us.
context: I don't want them to forget about you'\but' but I'm not you'\That's what I expected.\You are you. I don't expect you to be me.\There are many things that only you can do.\Only me?\We can't live in the past forever.\The future is always ahead of us. response:	The winter is over.
context: but' but I'm not you'\That's what I expected.\You are you. I don't expect you to be me.\There are many things that only you can do.\Only me?\We can't live in the past forever.\The future is always ahead of us.\The winter is over. response:	A new spring has begun.
context: That's what I expected.\You are you. I don't expect you to be me.\There are many things that only you can do.\Only me?\We can't live in the past forever.\The future is always ahead of us.\The winter is over.\A new spring has begun. response:	Don't worry.
context: You are you. I don't expect you to be me.\There are many things that only you can do.\Only me?\We can't live in the past forever.\The future is always ahead of us.\The winter is over.\A new spring has begun.\Don't worry. response:	I am me, and you are you.
context: There are many things that only you can do.\Only me?\We can't live in the past forever.\The future is always ahead of us.\The winter is over.\A new spring has begun.\Don't worry.\I am me, and you are you. response:	That is the way things are supposed to be.
context: Only me?\We can't live in the past forever.\The future is always ahead of us.\The winter is over.\A new spring has begun.\Don't worry.\I am me, and you are you.\That is the way things are supposed to be. response:	Are you ok, Sakura?
context: We can't live in the past forever.\The future is always ahead of us.\The winter is over.\A new spring has begun.\Don't worry.\I am me, and you are you.\That is the way things are supposed to be.\Are you ok, Sakura? response:	Are you hurt?
context: The future is always ahead of us.\The winter is over.\A new spring has begun.\Don't worry.\I am me, and you are you.\That is the way things are supposed to be.\Are you ok, Sakura?\Are you hurt? response:	No.
context: The winter is over.\A new spring has begun.\Don't worry.\I am me, and you are you.\That is the way things are supposed to be.\Are you ok, Sakura?\Are you hurt?\No. response:	Did you see him?
context: A new spring has begun.\Don't worry.\I am me, and you are you.\That is the way things are supposed to be.\Are you ok, Sakura?\Are you hurt?\No.\Did you see him? response:	Don't tell me you didn't'
context: Don't worry.\I am me, and you are you.\That is the way things are supposed to be.\Are you ok, Sakura?\Are you hurt?\No.\Did you see him?\Don't tell me you didn't' response:	No' I met him'
context: I am me, and you are you.\That is the way things are supposed to be.\Are you ok, Sakura?\Are you hurt?\No.\Did you see him?\Don't tell me you didn't'\No' I met him' response:	But, I didn't get a chance to ask him'
context: That is the way things are supposed to be.\Are you ok, Sakura?\Are you hurt?\No.\Did you see him?\Don't tell me you didn't'\No' I met him'\But, I didn't get a chance to ask him' response:	What were you thinking!?
context: Are you ok, Sakura?\Are you hurt?\No.\Did you see him?\Don't tell me you didn't'\No' I met him'\But, I didn't get a chance to ask him'\What were you thinking!? response:	But,
context: Are you hurt?\No.\Did you see him?\Don't tell me you didn't'\No' I met him'\But, I didn't get a chance to ask him'\What were you thinking!?\But, response:	why was everyone at Eriol's house?
context: No.\Did you see him?\Don't tell me you didn't'\No' I met him'\But, I didn't get a chance to ask him'\What were you thinking!?\But,\why was everyone at Eriol's house? response:	Huh? Eriol, your classmate right?
context: Did you see him?\Don't tell me you didn't'\No' I met him'\But, I didn't get a chance to ask him'\What were you thinking!?\But,\why was everyone at Eriol's house?\Huh? Eriol, your classmate right? response:	That's impossible! Clow died'
context: Don't tell me you didn't'\No' I met him'\But, I didn't get a chance to ask him'\What were you thinking!?\But,\why was everyone at Eriol's house?\Huh? Eriol, your classmate right?\That's impossible! Clow died' response:	Oh, yes' I seems have seen him before'
context: No' I met him'\But, I didn't get a chance to ask him'\What were you thinking!?\But,\why was everyone at Eriol's house?\Huh? Eriol, your classmate right?\That's impossible! Clow died'\Oh, yes' I seems have seen him before' response:	You didn't remember?
context: But, I didn't get a chance to ask him'\What were you thinking!?\But,\why was everyone at Eriol's house?\Huh? Eriol, your classmate right?\That's impossible! Clow died'\Oh, yes' I seems have seen him before'\You didn't remember? response:	My member deteriorates'
context: What were you thinking!?\But,\why was everyone at Eriol's house?\Huh? Eriol, your classmate right?\That's impossible! Clow died'\Oh, yes' I seems have seen him before'\You didn't remember?\My member deteriorates' response:	Yue was at Eriol's house' But he didn't say anything'
context: But,\why was everyone at Eriol's house?\Huh? Eriol, your classmate right?\That's impossible! Clow died'\Oh, yes' I seems have seen him before'\You didn't remember?\My member deteriorates'\Yue was at Eriol's house' But he didn't say anything' response:	Could their memories have been altered?
context: why was everyone at Eriol's house?\Huh? Eriol, your classmate right?\That's impossible! Clow died'\Oh, yes' I seems have seen him before'\You didn't remember?\My member deteriorates'\Yue was at Eriol's house' But he didn't say anything'\Could their memories have been altered? response:	But who would'
context: Huh? Eriol, your classmate right?\That's impossible! Clow died'\Oh, yes' I seems have seen him before'\You didn't remember?\My member deteriorates'\Yue was at Eriol's house' But he didn't say anything'\Could their memories have been altered?\But who would' response:	Clow Reed.
context: That's impossible! Clow died'\Oh, yes' I seems have seen him before'\You didn't remember?\My member deteriorates'\Yue was at Eriol's house' But he didn't say anything'\Could their memories have been altered?\But who would'\Clow Reed. response:	Eriol-kun!
context: Oh, yes' I seems have seen him before'\You didn't remember?\My member deteriorates'\Yue was at Eriol's house' But he didn't say anything'\Could their memories have been altered?\But who would'\Clow Reed.\Eriol-kun! response:	What are you?
context: You didn't remember?\My member deteriorates'\Yue was at Eriol's house' But he didn't say anything'\Could their memories have been altered?\But who would'\Clow Reed.\Eriol-kun!\What are you? response:	I am currently known as Eriol.
context: My member deteriorates'\Yue was at Eriol's house' But he didn't say anything'\Could their memories have been altered?\But who would'\Clow Reed.\Eriol-kun!\What are you?\I am currently known as Eriol. response:	But I used to be called Clow Reed.
