context: The Third Plate response:	Thirteen
context: It's a bit lonely with just the two of us at the table.\There you go. Go ahead.\I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten.\It's fun.\I'm having fun!\U-Um...\May I know your name? response:	It's Saiba.
context: There you go. Go ahead.\I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten.\It's fun.\I'm having fun!\U-Um...\May I know your name?\It's Saiba. response:	That was the first time I ever thought food was wonderful.
context: I can feel a warm glow spreading from deep within...\This is totally different from anything else I've ever eaten.\It's fun.\I'm having fun!\U-Um...\May I know your name?\It's Saiba.\That was the first time I ever thought food was wonderful. response:	Then...
context: This is totally different from anything else I've ever eaten.\It's fun.\I'm having fun!\U-Um...\May I know your name?\It's Saiba.\That was the first time I ever thought food was wonderful.\Then... response:	Never allow an imperfect dish to pass.
context: It's fun.\I'm having fun!\U-Um...\May I know your name?\It's Saiba.\That was the first time I ever thought food was wonderful.\Then...\Never allow an imperfect dish to pass. response:	Anything other than what I, your father, acknowledge is trash.
context: I'm having fun!\U-Um...\May I know your name?\It's Saiba.\That was the first time I ever thought food was wonderful.\Then...\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash. response:	Filth.
context: U-Um...\May I know your name?\It's Saiba.\That was the first time I ever thought food was wonderful.\Then...\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth. response:	Garbage.
context: May I know your name?\It's Saiba.\That was the first time I ever thought food was wonderful.\Then...\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage. response:	Six months later was when Father's education began.
context: It's Saiba.\That was the first time I ever thought food was wonderful.\Then...\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Six months later was when Father's education began. response:	I still remember the wonder I felt when I ate Saiba-sama's cooking.
context: That was the first time I ever thought food was wonderful.\Then...\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking. response:	But... I also understand where Father's principles are coming from.
context: Then...\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from. response:	There are so many imperfect dishes in the world...
context: Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world... response:	I grew up seeing the reality of it for as long as I can remember.
context: Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember. response:	I don't know anymore what food means to me.
context: Filth.\Garbage.\Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me. response:	I'm very lost, not knowing what to believe in.
context: Garbage.\Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in. response:	Hmm...
context: Six months later was when Father's education began.\I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in.\Hmm... response:	Sorry.
context: I still remember the wonder I felt when I ate Saiba-sama's cooking.\But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in.\Hmm...\Sorry. response:	I came here on an impulse,
context: But... I also understand where Father's principles are coming from.\There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in.\Hmm...\Sorry.\I came here on an impulse, response:	but of course I'm just bothering you by telling you all this.
context: There are so many imperfect dishes in the world...\I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in.\Hmm...\Sorry.\I came here on an impulse,\but of course I'm just bothering you by telling you all this. response:	Excuse me.
context: I grew up seeing the reality of it for as long as I can remember.\I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in.\Hmm...\Sorry.\I came here on an impulse,\but of course I'm just bothering you by telling you all this.\Excuse me. response:	Hey, hang on.
context: I don't know anymore what food means to me.\I'm very lost, not knowing what to believe in.\Hmm...\Sorry.\I came here on an impulse,\but of course I'm just bothering you by telling you all this.\Excuse me.\Hey, hang on. response:	Maybe you just need to taste it one more time, huh?
context: I'm very lost, not knowing what to believe in.\Hmm...\Sorry.\I came here on an impulse,\but of course I'm just bothering you by telling you all this.\Excuse me.\Hey, hang on.\Maybe you just need to taste it one more time, huh? response:	I'll make it for you.
context: Hmm...\Sorry.\I came here on an impulse,\but of course I'm just bothering you by telling you all this.\Excuse me.\Hey, hang on.\Maybe you just need to taste it one more time, huh?\I'll make it for you. response:	I'll make Yukihira food for you right here, right now!
context: Sorry.\I came here on an impulse,\but of course I'm just bothering you by telling you all this.\Excuse me.\Hey, hang on.\Maybe you just need to taste it one more time, huh?\I'll make it for you.\I'll make Yukihira food for you right here, right now! response:	Please wait a moment, Nakiri Erina-dono!
context: I came here on an impulse,\but of course I'm just bothering you by telling you all this.\Excuse me.\Hey, hang on.\Maybe you just need to taste it one more time, huh?\I'll make it for you.\I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono! response:	Erina-sama.
context: but of course I'm just bothering you by telling you all this.\Excuse me.\Hey, hang on.\Maybe you just need to taste it one more time, huh?\I'll make it for you.\I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono!\Erina-sama. response:	Erina-sama, where are you?
context: Excuse me.\Hey, hang on.\Maybe you just need to taste it one more time, huh?\I'll make it for you.\I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono!\Erina-sama.\Erina-sama, where are you? response:	Erina-sama!
context: Hey, hang on.\Maybe you just need to taste it one more time, huh?\I'll make it for you.\I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono!\Erina-sama.\Erina-sama, where are you?\Erina-sama! response:	Erina-sama!
context: Maybe you just need to taste it one more time, huh?\I'll make it for you.\I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono!\Erina-sama.\Erina-sama, where are you?\Erina-sama!\Erina-sama! response:	Erina-sama!
context: I'll make it for you.\I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono!\Erina-sama.\Erina-sama, where are you?\Erina-sama!\Erina-sama!\Erina-sama! response:	What's up, Miss Secretary?
context: I'll make Yukihira food for you right here, right now!\Please wait a moment, Nakiri Erina-dono!\Erina-sama.\Erina-sama, where are you?\Erina-sama!\Erina-sama!\Erina-sama!\What's up, Miss Secretary? response:	Don't call me that!
context: Please wait a moment, Nakiri Erina-dono!\Erina-sama.\Erina-sama, where are you?\Erina-sama!\Erina-sama!\Erina-sama!\What's up, Miss Secretary?\Don't call me that! response:	I can't find Erina-sama anywhere!
context: Erina-sama.\Erina-sama, where are you?\Erina-sama!\Erina-sama!\Erina-sama!\What's up, Miss Secretary?\Don't call me that!\I can't find Erina-sama anywhere! response:	Maybe she's using the restroom or taking a bath?
context: Erina-sama, where are you?\Erina-sama!\Erina-sama!\Erina-sama!\What's up, Miss Secretary?\Don't call me that!\I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath? response:	I looked, but she wasn't there!
context: Erina-sama!\Erina-sama!\Erina-sama!\What's up, Miss Secretary?\Don't call me that!\I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there! response:	Azami-dono may have abducted her!
context: Erina-sama!\Erina-sama!\What's up, Miss Secretary?\Don't call me that!\I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there!\Azami-dono may have abducted her! response:	That must be it!
context: Erina-sama!\What's up, Miss Secretary?\Don't call me that!\I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there!\Azami-dono may have abducted her!\That must be it! response:	Azami-dono took her because I let my guard down for a moment!
context: What's up, Miss Secretary?\Don't call me that!\I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there!\Azami-dono may have abducted her!\That must be it!\Azami-dono took her because I let my guard down for a moment! response:	How could this have happened with me by her side?!
context: Don't call me that!\I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there!\Azami-dono may have abducted her!\That must be it!\Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?! response:	I could've prevented this with a body double or 3D printer or body-swap ninja technique
context: I can't find Erina-sama anywhere!\Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there!\Azami-dono may have abducted her!\That must be it!\Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique response:	I think she's in Soma-kun's room...
context: Maybe she's using the restroom or taking a bath?\I looked, but she wasn't there!\Azami-dono may have abducted her!\That must be it!\Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room... response:	What?!
context: I looked, but she wasn't there!\Azami-dono may have abducted her!\That must be it!\Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room...\What?! response:	You're going to have me taste Yukihira food here right now?
context: Azami-dono may have abducted her!\That must be it!\Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room...\What?!\You're going to have me taste Yukihira food here right now? response:	And what would that accomplish, exactly?
context: That must be it!\Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room...\What?!\You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly? response:	The dish Saiba-sama prepared was wonderful beyond comparison
context: Azami-dono took her because I let my guard down for a moment!\How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room...\What?!\You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison response:	to the likes of your crude creations!
context: How could this have happened with me by her side?!\I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room...\What?!\You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations! response:	Oh, you're not all meek anymore! You're back to your normal self.
context: I could've prevented this with a body double or 3D printer or body-swap ninja technique\I think she's in Soma-kun's room...\What?!\You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self. response:	Dad trained me hardcore at home, you know.
context: I think she's in Soma-kun's room...\What?!\You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know. response:	Maybe you'll remember something if you taste some Yukihira food, yeah?
context: What?!\You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah? response:	Hmph.
context: You're going to have me taste Yukihira food here right now?\And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph. response:	And what are you planning to make?
context: And what would that accomplish, exactly?\The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph.\And what are you planning to make? response:	A tempura bowl.
context: The dish Saiba-sama prepared was wonderful beyond comparison\to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph.\And what are you planning to make?\A tempura bowl. response:	A tempura bowl?
context: to the likes of your crude creations!\Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph.\And what are you planning to make?\A tempura bowl.\A tempura bowl? response:	Well, just wait and see.
context: Oh, you're not all meek anymore! You're back to your normal self.\Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph.\And what are you planning to make?\A tempura bowl.\A tempura bowl?\Well, just wait and see. response:	I'll let you taste something I'm really proud of.
context: Dad trained me hardcore at home, you know.\Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph.\And what are you planning to make?\A tempura bowl.\A tempura bowl?\Well, just wait and see.\I'll let you taste something I'm really proud of. response:	He totally just made that face he makes when he's about to create something grotesque!
context: Maybe you'll remember something if you taste some Yukihira food, yeah?\Hmph.\And what are you planning to make?\A tempura bowl.\A tempura bowl?\Well, just wait and see.\I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque! response:	What kind of tempura are you planning on making, Yukihira-kun?
context: Hmph.\And what are you planning to make?\A tempura bowl.\A tempura bowl?\Well, just wait and see.\I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun? response:	He's going to serve that to the God Tongue.
context: And what are you planning to make?\A tempura bowl.\A tempura bowl?\Well, just wait and see.\I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue. response:	If her sensitive palate were to meet one of Yukihira's grotesque dishes...
context: A tempura bowl.\A tempura bowl?\Well, just wait and see.\I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes... response:	In the worst case scenario, death.
context: A tempura bowl?\Well, just wait and see.\I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death. response:	It'll be fine!
context: Well, just wait and see.\I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death.\It'll be fine! response:	Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.
context: I'll let you taste something I'm really proud of.\He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death.\It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand. response:	Megumi...
context: He totally just made that face he makes when he's about to create something grotesque!\What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death.\It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi... response:	Hearing you say it...
context: What kind of tempura are you planning on making, Yukihira-kun?\He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death.\It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi...\Hearing you say it... response:	You've got zero credibility.
context: He's going to serve that to the God Tongue.\If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death.\It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi...\Hearing you say it...\You've got zero credibility. response:	Yukihira...
context: If her sensitive palate were to meet one of Yukihira's grotesque dishes...\In the worst case scenario, death.\It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi...\Hearing you say it...\You've got zero credibility.\Yukihira... response:	Soma-kun...
context: In the worst case scenario, death.\It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi...\Hearing you say it...\You've got zero credibility.\Yukihira...\Soma-kun... response:	Bonito's good.
context: It'll be fine!\Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi...\Hearing you say it...\You've got zero credibility.\Yukihira...\Soma-kun...\Bonito's good. response:	Batter's good.
context: Soma-kun's preparing a dish because he has something he wants Nakiri-san to understand.\Megumi...\Hearing you say it...\You've got zero credibility.\Yukihira...\Soma-kun...\Bonito's good.\Batter's good. response:	I already had some rice soaking, so that was lucky!
context: Megumi...\Hearing you say it...\You've got zero credibility.\Yukihira...\Soma-kun...\Bonito's good.\Batter's good.\I already had some rice soaking, so that was lucky! response:	Hang on tight.
context: Hearing you say it...\You've got zero credibility.\Yukihira...\Soma-kun...\Bonito's good.\Batter's good.\I already had some rice soaking, so that was lucky!\Hang on tight. response:	I'll serve up an unbelievably tasty tempura bowl!
context: You've got zero credibility.\Yukihira...\Soma-kun...\Bonito's good.\Batter's good.\I already had some rice soaking, so that was lucky!\Hang on tight.\I'll serve up an unbelievably tasty tempura bowl! response:	Yukihira Soma, you look just like you did that day...
context: Yukihira...\Soma-kun...\Bonito's good.\Batter's good.\I already had some rice soaking, so that was lucky!\Hang on tight.\I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day... response:	when you were facing the Elite Ten's first seat, Tsukasa Eishi.
context: Soma-kun...\Bonito's good.\Batter's good.\I already had some rice soaking, so that was lucky!\Hang on tight.\I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi. response:	Despite challenging an insurmountable wall,
context: Bonito's good.\Batter's good.\I already had some rice soaking, so that was lucky!\Hang on tight.\I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall, response:	you still looked like you were having an incredible amount of fun cooking.
context: Batter's good.\I already had some rice soaking, so that was lucky!\Hang on tight.\I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking. response:	I'm sure I looked like that when I was little, too.
context: I already had some rice soaking, so that was lucky!\Hang on tight.\I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too. response:	Erina-sama, you have a responsibility to the Nakiri family.
context: Hang on tight.\I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family. response:	Please prioritize the family name over your own self.
context: I'll serve up an unbelievably tasty tempura bowl!\Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self. response:	That's the God Tongue.
context: Yukihira Soma, you look just like you did that day...\when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self.\That's the God Tongue. response:	I should curry favor with her now.
context: when you were facing the Elite Ten's first seat, Tsukasa Eishi.\Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self.\That's the God Tongue.\I should curry favor with her now. response:	Hey, Erina!
context: Despite challenging an insurmountable wall,\you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self.\That's the God Tongue.\I should curry favor with her now.\Hey, Erina! response:	I'm going to become the top chef at Totsuki Academy some day!
context: you still looked like you were having an incredible amount of fun cooking.\I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self.\That's the God Tongue.\I should curry favor with her now.\Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day! response:	I think it'll be really fun to perfect the dishes I love!
context: I'm sure I looked like that when I was little, too.\Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self.\That's the God Tongue.\I should curry favor with her now.\Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love! response:	I'm not going to hold back just because we're cousins!
context: Erina-sama, you have a responsibility to the Nakiri family.\Please prioritize the family name over your own self.\That's the God Tongue.\I should curry favor with her now.\Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins! response:	Let's give it our best, okay?
context: Please prioritize the family name over your own self.\That's the God Tongue.\I should curry favor with her now.\Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins!\Let's give it our best, okay? response:	R-Right. Okay.
context: That's the God Tongue.\I should curry favor with her now.\Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins!\Let's give it our best, okay?\R-Right. Okay. response:	Sorry, Alice.
context: I should curry favor with her now.\Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins!\Let's give it our best, okay?\R-Right. Okay.\Sorry, Alice. response:	I don't think cooking's fun at all...
context: Hey, Erina!\I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins!\Let's give it our best, okay?\R-Right. Okay.\Sorry, Alice.\I don't think cooking's fun at all... response:	You're looking depressed again.
context: I'm going to become the top chef at Totsuki Academy some day!\I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins!\Let's give it our best, okay?\R-Right. Okay.\Sorry, Alice.\I don't think cooking's fun at all...\You're looking depressed again. response:	You're usually all high and mighty,
context: I think it'll be really fun to perfect the dishes I love!\I'm not going to hold back just because we're cousins!\Let's give it our best, okay?\R-Right. Okay.\Sorry, Alice.\I don't think cooking's fun at all...\You're looking depressed again.\You're usually all high and mighty, response:	but you sometimes get like this.
context: I'm not going to hold back just because we're cousins!\Let's give it our best, okay?\R-Right. Okay.\Sorry, Alice.\I don't think cooking's fun at all...\You're looking depressed again.\You're usually all high and mighty,\but you sometimes get like this. response:	Wh-What's your point?
context: Let's give it our best, okay?\R-Right. Okay.\Sorry, Alice.\I don't think cooking's fun at all...\You're looking depressed again.\You're usually all high and mighty,\but you sometimes get like this.\Wh-What's your point? response:	Perk up, will you?
context: R-Right. Okay.\Sorry, Alice.\I don't think cooking's fun at all...\You're looking depressed again.\You're usually all high and mighty,\but you sometimes get like this.\Wh-What's your point?\Perk up, will you? response:	After all, I'm super stoked that I can finally get back at you
context: Sorry, Alice.\I don't think cooking's fun at all...\You're looking depressed again.\You're usually all high and mighty,\but you sometimes get like this.\Wh-What's your point?\Perk up, will you?\After all, I'm super stoked that I can finally get back at you response:	for what happened the day we first met.
context: I don't think cooking's fun at all...\You're looking depressed again.\You're usually all high and mighty,\but you sometimes get like this.\Wh-What's your point?\Perk up, will you?\After all, I'm super stoked that I can finally get back at you\for what happened the day we first met. response:	It's disgusting!
context: You're looking depressed again.\You're usually all high and mighty,\but you sometimes get like this.\Wh-What's your point?\Perk up, will you?\After all, I'm super stoked that I can finally get back at you\for what happened the day we first met.\It's disgusting! response:	Just you wait!
context: You're usually all high and mighty,\but you sometimes get like this.\Wh-What's your point?\Perk up, will you?\After all, I'm super stoked that I can finally get back at you\for what happened the day we first met.\It's disgusting!\Just you wait! response:	I'll make you say delicious!
context: but you sometimes get like this.\Wh-What's your point?\Perk up, will you?\After all, I'm super stoked that I can finally get back at you\for what happened the day we first met.\It's disgusting!\Just you wait!\I'll make you say delicious! response:	Today's the day I'll make you say delicious!
context: Wh-What's your point?\Perk up, will you?\After all, I'm super stoked that I can finally get back at you\for what happened the day we first met.\It's disgusting!\Just you wait!\I'll make you say delicious!\Today's the day I'll make you say delicious! response:	Here you go!
context: Perk up, will you?\After all, I'm super stoked that I can finally get back at you\for what happened the day we first met.\It's disgusting!\Just you wait!\I'll make you say delicious!\Today's the day I'll make you say delicious!\Here you go! response:	You have confidence, if nothing else.
context: After all, I'm super stoked that I can finally get back at you\for what happened the day we first met.\It's disgusting!\Just you wait!\I'll make you say delicious!\Today's the day I'll make you say delicious!\Here you go!\You have confidence, if nothing else. response:	What dish could you have possibly prepared for me?
context: for what happened the day we first met.\It's disgusting!\Just you wait!\I'll make you say delicious!\Today's the day I'll make you say delicious!\Here you go!\You have confidence, if nothing else.\What dish could you have possibly prepared for me? response:	I can answer that.
context: It's disgusting!\Just you wait!\I'll make you say delicious!\Today's the day I'll make you say delicious!\Here you go!\You have confidence, if nothing else.\What dish could you have possibly prepared for me?\I can answer that. response:	It's a Yukihira-Style Chicken's Egg Tempura Bowl!
context: Just you wait!\I'll make you say delicious!\Today's the day I'll make you say delicious!\Here you go!\You have confidence, if nothing else.\What dish could you have possibly prepared for me?\I can answer that.\It's a Yukihira-Style Chicken's Egg Tempura Bowl! response:	Chicken's egg tempura?
context: I'll make you say delicious!\Today's the day I'll make you say delicious!\Here you go!\You have confidence, if nothing else.\What dish could you have possibly prepared for me?\I can answer that.\It's a Yukihira-Style Chicken's Egg Tempura Bowl!\Chicken's egg tempura? response:	What does he mean by that?
context: Today's the day I'll make you say delicious!\Here you go!\You have confidence, if nothing else.\What dish could you have possibly prepared for me?\I can answer that.\It's a Yukihira-Style Chicken's Egg Tempura Bowl!\Chicken's egg tempura?\What does he mean by that? response:	What?
context: Here you go!\You have confidence, if nothing else.\What dish could you have possibly prepared for me?\I can answer that.\It's a Yukihira-Style Chicken's Egg Tempura Bowl!\Chicken's egg tempura?\What does he mean by that?\What? response:	The egg white is barely set,
