context: Sawako! response:	Good morning!
context: So it's a bit early, but...\An apron!\I'm going to wear it when I help at Ryu's.\And coasters for you.\They're so cute.\Did you make them yourself?\Yes.\Maybe I shouldn't have. response:	Impressive.
context: An apron!\I'm going to wear it when I help at Ryu's.\And coasters for you.\They're so cute.\Did you make them yourself?\Yes.\Maybe I shouldn't have.\Impressive. response:	Thanks.
context: I'm going to wear it when I help at Ryu's.\And coasters for you.\They're so cute.\Did you make them yourself?\Yes.\Maybe I shouldn't have.\Impressive.\Thanks. response:	Thanks, I'm going to use it.
context: And coasters for you.\They're so cute.\Did you make them yourself?\Yes.\Maybe I shouldn't have.\Impressive.\Thanks.\Thanks, I'm going to use it. response:	They liked it.
context: They're so cute.\Did you make them yourself?\Yes.\Maybe I shouldn't have.\Impressive.\Thanks.\Thanks, I'm going to use it.\They liked it. response:	What's that?
context: Did you make them yourself?\Yes.\Maybe I shouldn't have.\Impressive.\Thanks.\Thanks, I'm going to use it.\They liked it.\What's that? response:	Oh, this?
context: Yes.\Maybe I shouldn't have.\Impressive.\Thanks.\Thanks, I'm going to use it.\They liked it.\What's that?\Oh, this? response:	I got it from Sawako.
context: Maybe I shouldn't have.\Impressive.\Thanks.\Thanks, I'm going to use it.\They liked it.\What's that?\Oh, this?\I got it from Sawako. response:	Like it?
context: Impressive.\Thanks.\Thanks, I'm going to use it.\They liked it.\What's that?\Oh, this?\I got it from Sawako.\Like it? response:	Christmas gifts.
context: Thanks.\Thanks, I'm going to use it.\They liked it.\What's that?\Oh, this?\I got it from Sawako.\Like it?\Christmas gifts. response:	Really?
context: Thanks, I'm going to use it.\They liked it.\What's that?\Oh, this?\I got it from Sawako.\Like it?\Christmas gifts.\Really? response:	Nice.
context: They liked it.\What's that?\Oh, this?\I got it from Sawako.\Like it?\Christmas gifts.\Really?\Nice. response:	I wonder if he'll take it.
context: What's that?\Oh, this?\I got it from Sawako.\Like it?\Christmas gifts.\Really?\Nice.\I wonder if he'll take it. response:	Nah, no way.
context: Oh, this?\I got it from Sawako.\Like it?\Christmas gifts.\Really?\Nice.\I wonder if he'll take it.\Nah, no way. response:	That's way too much.
context: I got it from Sawako.\Like it?\Christmas gifts.\Really?\Nice.\I wonder if he'll take it.\Nah, no way.\That's way too much. response:	Are you sure you shouldn't have given them on Christmas though?
context: Like it?\Christmas gifts.\Really?\Nice.\I wonder if he'll take it.\Nah, no way.\That's way too much.\Are you sure you shouldn't have given them on Christmas though? response:	Ah, Sawako can't make it.
context: Christmas gifts.\Really?\Nice.\I wonder if he'll take it.\Nah, no way.\That's way too much.\Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it. response:	Sawako's dad is really hyped up about Christmas.
context: Really?\Nice.\I wonder if he'll take it.\Nah, no way.\That's way too much.\Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas. response:	Really?
context: Nice.\I wonder if he'll take it.\Nah, no way.\That's way too much.\Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas.\Really? response:	Let's go.
context: I wonder if he'll take it.\Nah, no way.\That's way too much.\Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas.\Really?\Let's go. response:	I want to.
context: Nah, no way.\That's way too much.\Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas.\Really?\Let's go.\I want to. response:	Yeah.
context: That's way too much.\Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas.\Really?\Let's go.\I want to.\Yeah. response:	Oh.
context: Are you sure you shouldn't have given them on Christmas though?\Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas.\Really?\Let's go.\I want to.\Yeah.\Oh. response:	Kazehaya.
context: Ah, Sawako can't make it.\Sawako's dad is really hyped up about Christmas.\Really?\Let's go.\I want to.\Yeah.\Oh.\Kazehaya. response:	Yo.
context: Sawako's dad is really hyped up about Christmas.\Really?\Let's go.\I want to.\Yeah.\Oh.\Kazehaya.\Yo. response:	We got a reservation for the Christmas party.
context: Really?\Let's go.\I want to.\Yeah.\Oh.\Kazehaya.\Yo.\We got a reservation for the Christmas party. response:	Come here.
context: Let's go.\I want to.\Yeah.\Oh.\Kazehaya.\Yo.\We got a reservation for the Christmas party.\Come here. response:	Thanks.
context: I want to.\Yeah.\Oh.\Kazehaya.\Yo.\We got a reservation for the Christmas party.\Come here.\Thanks. response:	Sawako.
context: Yeah.\Oh.\Kazehaya.\Yo.\We got a reservation for the Christmas party.\Come here.\Thanks.\Sawako. response:	Let's do it on a different day next year.
context: Oh.\Kazehaya.\Yo.\We got a reservation for the Christmas party.\Come here.\Thanks.\Sawako.\Let's do it on a different day next year. response:	Yeah.
context: Kazehaya.\Yo.\We got a reservation for the Christmas party.\Come here.\Thanks.\Sawako.\Let's do it on a different day next year.\Yeah. response:	We could do it on the 25th.
context: Yo.\We got a reservation for the Christmas party.\Come here.\Thanks.\Sawako.\Let's do it on a different day next year.\Yeah.\We could do it on the 25th. response:	Have fun.
context: We got a reservation for the Christmas party.\Come here.\Thanks.\Sawako.\Let's do it on a different day next year.\Yeah.\We could do it on the 25th.\Have fun. response:	Too bad, they invited me too.
context: Come here.\Thanks.\Sawako.\Let's do it on a different day next year.\Yeah.\We could do it on the 25th.\Have fun.\Too bad, they invited me too. response:	Next year.
context: Thanks.\Sawako.\Let's do it on a different day next year.\Yeah.\We could do it on the 25th.\Have fun.\Too bad, they invited me too.\Next year. response:	And on December 24th, Christmas Eve...
context: Sawako.\Let's do it on a different day next year.\Yeah.\We could do it on the 25th.\Have fun.\Too bad, they invited me too.\Next year.\And on December 24th, Christmas Eve... response:	Done.
context: Let's do it on a different day next year.\Yeah.\We could do it on the 25th.\Have fun.\Too bad, they invited me too.\Next year.\And on December 24th, Christmas Eve...\Done. response:	I can't give it to him, but I'm sort of proud.
context: Yeah.\We could do it on the 25th.\Have fun.\Too bad, they invited me too.\Next year.\And on December 24th, Christmas Eve...\Done.\I can't give it to him, but I'm sort of proud. response:	I'll hide Mom and Dad's gifts so that I can surprise them.
context: We could do it on the 25th.\Have fun.\Too bad, they invited me too.\Next year.\And on December 24th, Christmas Eve...\Done.\I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them. response:	Sawako, Dad, are you awake yet?
context: Have fun.\Too bad, they invited me too.\Next year.\And on December 24th, Christmas Eve...\Done.\I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet? response:	Yes.
context: Too bad, they invited me too.\Next year.\And on December 24th, Christmas Eve...\Done.\I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet?\Yes. response:	So cold.
context: Next year.\And on December 24th, Christmas Eve...\Done.\I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet?\Yes.\So cold. response:	The water's ready.
context: And on December 24th, Christmas Eve...\Done.\I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet?\Yes.\So cold.\The water's ready. response:	It looks good on you.
context: Done.\I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet?\Yes.\So cold.\The water's ready.\It looks good on you. response:	It does, right?
context: I can't give it to him, but I'm sort of proud.\I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet?\Yes.\So cold.\The water's ready.\It looks good on you.\It does, right? response:	It's perfect.
context: I'll hide Mom and Dad's gifts so that I can surprise them.\Sawako, Dad, are you awake yet?\Yes.\So cold.\The water's ready.\It looks good on you.\It does, right?\It's perfect. response:	Thanks for the Christmas present, Sawako.
context: Sawako, Dad, are you awake yet?\Yes.\So cold.\The water's ready.\It looks good on you.\It does, right?\It's perfect.\Thanks for the Christmas present, Sawako. response:	You remembered I said my head's cold.
context: Yes.\So cold.\The water's ready.\It looks good on you.\It does, right?\It's perfect.\Thanks for the Christmas present, Sawako.\You remembered I said my head's cold. response:	You have a wide forehead.
context: So cold.\The water's ready.\It looks good on you.\It does, right?\It's perfect.\Thanks for the Christmas present, Sawako.\You remembered I said my head's cold.\You have a wide forehead. response:	It's so warm.
context: The water's ready.\It looks good on you.\It does, right?\It's perfect.\Thanks for the Christmas present, Sawako.\You remembered I said my head's cold.\You have a wide forehead.\It's so warm. response:	I've always wanted something like this.
context: It looks good on you.\It does, right?\It's perfect.\Thanks for the Christmas present, Sawako.\You remembered I said my head's cold.\You have a wide forehead.\It's so warm.\I've always wanted something like this. response:	Thanks, Sawako. Merry Christmas.
context: It does, right?\It's perfect.\Thanks for the Christmas present, Sawako.\You remembered I said my head's cold.\You have a wide forehead.\It's so warm.\I've always wanted something like this.\Thanks, Sawako. Merry Christmas. response:	I'm glad you like it.
context: It's perfect.\Thanks for the Christmas present, Sawako.\You remembered I said my head's cold.\You have a wide forehead.\It's so warm.\I've always wanted something like this.\Thanks, Sawako. Merry Christmas.\I'm glad you like it. response:	I was going to give it to you later.
context: Thanks for the Christmas present, Sawako.\You remembered I said my head's cold.\You have a wide forehead.\It's so warm.\I've always wanted something like this.\Thanks, Sawako. Merry Christmas.\I'm glad you like it.\I was going to give it to you later. response:	Here, Mom.
context: You remembered I said my head's cold.\You have a wide forehead.\It's so warm.\I've always wanted something like this.\Thanks, Sawako. Merry Christmas.\I'm glad you like it.\I was going to give it to you later.\Here, Mom. response:	I couldn't have given it to him anyway.
context: You have a wide forehead.\It's so warm.\I've always wanted something like this.\Thanks, Sawako. Merry Christmas.\I'm glad you like it.\I was going to give it to you later.\Here, Mom.\I couldn't have given it to him anyway. response:	It's better that someone makes use of it.
context: It's so warm.\I've always wanted something like this.\Thanks, Sawako. Merry Christmas.\I'm glad you like it.\I was going to give it to you later.\Here, Mom.\I couldn't have given it to him anyway.\It's better that someone makes use of it. response:	He's so happy too.
context: I've always wanted something like this.\Thanks, Sawako. Merry Christmas.\I'm glad you like it.\I was going to give it to you later.\Here, Mom.\I couldn't have given it to him anyway.\It's better that someone makes use of it.\He's so happy too. response:	I wonder if they're all having fun about now.
context: Thanks, Sawako. Merry Christmas.\I'm glad you like it.\I was going to give it to you later.\Here, Mom.\I couldn't have given it to him anyway.\It's better that someone makes use of it.\He's so happy too.\I wonder if they're all having fun about now. response:	What's up, Sawako?
context: I'm glad you like it.\I was going to give it to you later.\Here, Mom.\I couldn't have given it to him anyway.\It's better that someone makes use of it.\He's so happy too.\I wonder if they're all having fun about now.\What's up, Sawako? response:	Having fun?
context: I was going to give it to you later.\Here, Mom.\I couldn't have given it to him anyway.\It's better that someone makes use of it.\He's so happy too.\I wonder if they're all having fun about now.\What's up, Sawako?\Having fun? response:	Yeah.
context: Here, Mom.\I couldn't have given it to him anyway.\It's better that someone makes use of it.\He's so happy too.\I wonder if they're all having fun about now.\What's up, Sawako?\Having fun?\Yeah. response:	Is the phone ringing?
context: I couldn't have given it to him anyway.\It's better that someone makes use of it.\He's so happy too.\I wonder if they're all having fun about now.\What's up, Sawako?\Having fun?\Yeah.\Is the phone ringing? response:	I'll get it.
context: It's better that someone makes use of it.\He's so happy too.\I wonder if they're all having fun about now.\What's up, Sawako?\Having fun?\Yeah.\Is the phone ringing?\I'll get it. response:	Hello?
context: He's so happy too.\I wonder if they're all having fun about now.\What's up, Sawako?\Having fun?\Yeah.\Is the phone ringing?\I'll get it.\Hello? response:	I can't hear anything.
context: I wonder if they're all having fun about now.\What's up, Sawako?\Having fun?\Yeah.\Is the phone ringing?\I'll get it.\Hello?\I can't hear anything. response:	Hello?
context: What's up, Sawako?\Having fun?\Yeah.\Is the phone ringing?\I'll get it.\Hello?\I can't hear anything.\Hello? response:	Chizu-chan.
context: Having fun?\Yeah.\Is the phone ringing?\I'll get it.\Hello?\I can't hear anything.\Hello?\Chizu-chan. response:	Sawako?
context: Yeah.\Is the phone ringing?\I'll get it.\Hello?\I can't hear anything.\Hello?\Chizu-chan.\Sawako? response:	Dude, shut up.
context: Is the phone ringing?\I'll get it.\Hello?\I can't hear anything.\Hello?\Chizu-chan.\Sawako?\Dude, shut up. response:	I was wondering how you're doing.
context: I'll get it.\Hello?\I can't hear anything.\Hello?\Chizu-chan.\Sawako?\Dude, shut up.\I was wondering how you're doing. response:	It's sort of boring without you.
context: Hello?\I can't hear anything.\Hello?\Chizu-chan.\Sawako?\Dude, shut up.\I was wondering how you're doing.\It's sort of boring without you. response:	Talk to Yano-chin.
context: I can't hear anything.\Hello?\Chizu-chan.\Sawako?\Dude, shut up.\I was wondering how you're doing.\It's sort of boring without you.\Talk to Yano-chin. response:	Here, Yano-chin.
context: Hello?\Chizu-chan.\Sawako?\Dude, shut up.\I was wondering how you're doing.\It's sort of boring without you.\Talk to Yano-chin.\Here, Yano-chin. response:	Hello? Sawako?
context: Chizu-chan.\Sawako?\Dude, shut up.\I was wondering how you're doing.\It's sort of boring without you.\Talk to Yano-chin.\Here, Yano-chin.\Hello? Sawako? response:	Ayane-chan.
context: Sawako?\Dude, shut up.\I was wondering how you're doing.\It's sort of boring without you.\Talk to Yano-chin.\Here, Yano-chin.\Hello? Sawako?\Ayane-chan. response:	You're not lonely, are you?
context: Dude, shut up.\I was wondering how you're doing.\It's sort of boring without you.\Talk to Yano-chin.\Here, Yano-chin.\Hello? Sawako?\Ayane-chan.\You're not lonely, are you? response:	I was sort of worried.
context: I was wondering how you're doing.\It's sort of boring without you.\Talk to Yano-chin.\Here, Yano-chin.\Hello? Sawako?\Ayane-chan.\You're not lonely, are you?\I was sort of worried. response:	Too bad you couldn't come, not even for a little bit.
context: It's sort of boring without you.\Talk to Yano-chin.\Here, Yano-chin.\Hello? Sawako?\Ayane-chan.\You're not lonely, are you?\I was sort of worried.\Too bad you couldn't come, not even for a little bit. response:	Here's your Christmas present, though.
context: Talk to Yano-chin.\Here, Yano-chin.\Hello? Sawako?\Ayane-chan.\You're not lonely, are you?\I was sort of worried.\Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though. response:	Huh, what?
context: Here, Yano-chin.\Hello? Sawako?\Ayane-chan.\You're not lonely, are you?\I was sort of worried.\Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though.\Huh, what? response:	Kuronuma?
context: Hello? Sawako?\Ayane-chan.\You're not lonely, are you?\I was sort of worried.\Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though.\Huh, what?\Kuronuma? response:	Is it you?
context: Ayane-chan.\You're not lonely, are you?\I was sort of worried.\Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though.\Huh, what?\Kuronuma?\Is it you? response:	It's you, right?
context: You're not lonely, are you?\I was sort of worried.\Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though.\Huh, what?\Kuronuma?\Is it you?\It's you, right? response:	I want to go.
context: I was sort of worried.\Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though.\Huh, what?\Kuronuma?\Is it you?\It's you, right?\I want to go. response:	Oh no.
context: Too bad you couldn't come, not even for a little bit.\Here's your Christmas present, though.\Huh, what?\Kuronuma?\Is it you?\It's you, right?\I want to go.\Oh no. response:	I can't speak.
context: Here's your Christmas present, though.\Huh, what?\Kuronuma?\Is it you?\It's you, right?\I want to go.\Oh no.\I can't speak. response:	Sawako, I'll say hi. Pass me the phone.
context: Huh, what?\Kuronuma?\Is it you?\It's you, right?\I want to go.\Oh no.\I can't speak.\Sawako, I'll say hi. Pass me the phone. response:	Hello?
context: Kuronuma?\Is it you?\It's you, right?\I want to go.\Oh no.\I can't speak.\Sawako, I'll say hi. Pass me the phone.\Hello? response:	Sawako's mother speaking.
context: Is it you?\It's you, right?\I want to go.\Oh no.\I can't speak.\Sawako, I'll say hi. Pass me the phone.\Hello?\Sawako's mother speaking. response:	Nice to speak to you again.
context: It's you, right?\I want to go.\Oh no.\I can't speak.\Sawako, I'll say hi. Pass me the phone.\Hello?\Sawako's mother speaking.\Nice to speak to you again. response:	Good evening.
context: I want to go.\Oh no.\I can't speak.\Sawako, I'll say hi. Pass me the phone.\Hello?\Sawako's mother speaking.\Nice to speak to you again.\Good evening. response:	Sounds fun over there.
context: Oh no.\I can't speak.\Sawako, I'll say hi. Pass me the phone.\Hello?\Sawako's mother speaking.\Nice to speak to you again.\Good evening.\Sounds fun over there. response:	Sawako, come here.
context: I can't speak.\Sawako, I'll say hi. Pass me the phone.\Hello?\Sawako's mother speaking.\Nice to speak to you again.\Good evening.\Sounds fun over there.\Sawako, come here. response:	It's fun here.
context: Sawako, I'll say hi. Pass me the phone.\Hello?\Sawako's mother speaking.\Nice to speak to you again.\Good evening.\Sounds fun over there.\Sawako, come here.\It's fun here. response:	But...
context: Hello?\Sawako's mother speaking.\Nice to speak to you again.\Good evening.\Sounds fun over there.\Sawako, come here.\It's fun here.\But... response:	It'd be even more fun with Kuronuma-san here.
context: Sawako's mother speaking.\Nice to speak to you again.\Good evening.\Sounds fun over there.\Sawako, come here.\It's fun here.\But...\It'd be even more fun with Kuronuma-san here. response:	Dad, can I go for a little bit?
context: Nice to speak to you again.\Good evening.\Sounds fun over there.\Sawako, come here.\It's fun here.\But...\It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit? response:	It'll be a lot more fun with Kuronuma here.
context: Good evening.\Sounds fun over there.\Sawako, come here.\It's fun here.\But...\It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here. response:	Open it.
context: Sounds fun over there.\Sawako, come here.\It's fun here.\But...\It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here.\Open it. response:	It's from Santawell, from me.
context: Sawako, come here.\It's fun here.\But...\It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here.\Open it.\It's from Santawell, from me. response:	Go ahead.
context: It's fun here.\But...\It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here.\Open it.\It's from Santawell, from me.\Go ahead. response:	Y-You could have said so earlier.
context: But...\It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here.\Open it.\It's from Santawell, from me.\Go ahead.\Y-You could have said so earlier. response:	I-I'll call if it gets late. Take it.
context: It'd be even more fun with Kuronuma-san here.\Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here.\Open it.\It's from Santawell, from me.\Go ahead.\Y-You could have said so earlier.\I-I'll call if it gets late. Take it. response:	I charged it.
context: Dad, can I go for a little bit?\It'll be a lot more fun with Kuronuma here.\Open it.\It's from Santawell, from me.\Go ahead.\Y-You could have said so earlier.\I-I'll call if it gets late. Take it.\I charged it. response:	Thanks, Dad.
context: It'll be a lot more fun with Kuronuma here.\Open it.\It's from Santawell, from me.\Go ahead.\Y-You could have said so earlier.\I-I'll call if it gets late. Take it.\I charged it.\Thanks, Dad. response:	Did Sawako leave?
context: Open it.\It's from Santawell, from me.\Go ahead.\Y-You could have said so earlier.\I-I'll call if it gets late. Take it.\I charged it.\Thanks, Dad.\Did Sawako leave? response:	Finally, the day's come!
context: It's from Santawell, from me.\Go ahead.\Y-You could have said so earlier.\I-I'll call if it gets late. Take it.\I charged it.\Thanks, Dad.\Did Sawako leave?\Finally, the day's come! response:	This is just the first jab of round one, Dad.
context: Go ahead.\Y-You could have said so earlier.\I-I'll call if it gets late. Take it.\I charged it.\Thanks, Dad.\Did Sawako leave?\Finally, the day's come!\This is just the first jab of round one, Dad. response:	I hope I can make it.
context: Y-You could have said so earlier.\I-I'll call if it gets late. Take it.\I charged it.\Thanks, Dad.\Did Sawako leave?\Finally, the day's come!\This is just the first jab of round one, Dad.\I hope I can make it. response:	Let's get going then.
context: I-I'll call if it gets late. Take it.\I charged it.\Thanks, Dad.\Did Sawako leave?\Finally, the day's come!\This is just the first jab of round one, Dad.\I hope I can make it.\Let's get going then. response:	Bet there'll be less people next year.
context: I charged it.\Thanks, Dad.\Did Sawako leave?\Finally, the day's come!\This is just the first jab of round one, Dad.\I hope I can make it.\Let's get going then.\Bet there'll be less people next year. response:	Cheers!
context: Thanks, Dad.\Did Sawako leave?\Finally, the day's come!\This is just the first jab of round one, Dad.\I hope I can make it.\Let's get going then.\Bet there'll be less people next year.\Cheers! response:	I might not make it.
context: Did Sawako leave?\Finally, the day's come!\This is just the first jab of round one, Dad.\I hope I can make it.\Let's get going then.\Bet there'll be less people next year.\Cheers!\I might not make it. response:	Sawako.
context: Finally, the day's come!\This is just the first jab of round one, Dad.\I hope I can make it.\Let's get going then.\Bet there'll be less people next year.\Cheers!\I might not make it.\Sawako. response:	But I still want to go.
context: This is just the first jab of round one, Dad.\I hope I can make it.\Let's get going then.\Bet there'll be less people next year.\Cheers!\I might not make it.\Sawako.\But I still want to go. response:	Let's go for karaoke next.
context: I hope I can make it.\Let's get going then.\Bet there'll be less people next year.\Cheers!\I might not make it.\Sawako.\But I still want to go.\Let's go for karaoke next. response:	Who's in?
context: Let's get going then.\Bet there'll be less people next year.\Cheers!\I might not make it.\Sawako.\But I still want to go.\Let's go for karaoke next.\Who's in? response:	Let's go, Kazehaya.
context: Bet there'll be less people next year.\Cheers!\I might not make it.\Sawako.\But I still want to go.\Let's go for karaoke next.\Who's in?\Let's go, Kazehaya. response:	I want to go!
context: Cheers!\I might not make it.\Sawako.\But I still want to go.\Let's go for karaoke next.\Who's in?\Let's go, Kazehaya.\I want to go! response:	I thought just maybe...
context: I might not make it.\Sawako.\But I still want to go.\Let's go for karaoke next.\Who's in?\Let's go, Kazehaya.\I want to go!\I thought just maybe... response:	You're here.
context: Sawako.\But I still want to go.\Let's go for karaoke next.\Who's in?\Let's go, Kazehaya.\I want to go!\I thought just maybe...\You're here. response:	The Christmas party and the presents stuff is over already,
context: But I still want to go.\Let's go for karaoke next.\Who's in?\Let's go, Kazehaya.\I want to go!\I thought just maybe...\You're here.\The Christmas party and the presents stuff is over already, response:	but here, for you.
context: Let's go for karaoke next.\Who's in?\Let's go, Kazehaya.\I want to go!\I thought just maybe...\You're here.\The Christmas party and the presents stuff is over already,\but here, for you. response:	Might not be useful, though.
context: Who's in?\Let's go, Kazehaya.\I want to go!\I thought just maybe...\You're here.\The Christmas party and the presents stuff is over already,\but here, for you.\Might not be useful, though. response:	Hey...
context: Let's go, Kazehaya.\I want to go!\I thought just maybe...\You're here.\The Christmas party and the presents stuff is over already,\but here, for you.\Might not be useful, though.\Hey... response:	I don't even know how to use it yet.
context: I want to go!\I thought just maybe...\You're here.\The Christmas party and the presents stuff is over already,\but here, for you.\Might not be useful, though.\Hey...\I don't even know how to use it yet. response:	Give me.
context: I thought just maybe...\You're here.\The Christmas party and the presents stuff is over already,\but here, for you.\Might not be useful, though.\Hey...\I don't even know how to use it yet.\Give me. response:	Sent.
context: You're here.\The Christmas party and the presents stuff is over already,\but here, for you.\Might not be useful, though.\Hey...\I don't even know how to use it yet.\Give me.\Sent. response:	The first name on my first phone is Kazehaya-kun.
context: The Christmas party and the presents stuff is over already,\but here, for you.\Might not be useful, though.\Hey...\I don't even know how to use it yet.\Give me.\Sent.\The first name on my first phone is Kazehaya-kun. response:	Being sad, not making it on time...
context: but here, for you.\Might not be useful, though.\Hey...\I don't even know how to use it yet.\Give me.\Sent.\The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time... response:	Oh yeah, my present for you...
context: Might not be useful, though.\Hey...\I don't even know how to use it yet.\Give me.\Sent.\The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time...\Oh yeah, my present for you... response:	What, really?
context: Hey...\I don't even know how to use it yet.\Give me.\Sent.\The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time...\Oh yeah, my present for you...\What, really? response:	A neck warmer?
context: I don't even know how to use it yet.\Give me.\Sent.\The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time...\Oh yeah, my present for you...\What, really?\A neck warmer? response:	The small miracles, the little mistakes...
context: Give me.\Sent.\The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time...\Oh yeah, my present for you...\What, really?\A neck warmer?\The small miracles, the little mistakes... response:	It's a b-belly wa
context: Sent.\The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time...\Oh yeah, my present for you...\What, really?\A neck warmer?\The small miracles, the little mistakes...\It's a b-belly wa response:	It's all a merry Christmas.
context: The first name on my first phone is Kazehaya-kun.\Being sad, not making it on time...\Oh yeah, my present for you...\What, really?\A neck warmer?\The small miracles, the little mistakes...\It's a b-belly wa\It's all a merry Christmas. response:	The echoes of my ringtone
context: Being sad, not making it on time...\Oh yeah, my present for you...\What, really?\A neck warmer?\The small miracles, the little mistakes...\It's a b-belly wa\It's all a merry Christmas.\The echoes of my ringtone response:	and a small taste of regret.
context: Oh yeah, my present for you...\What, really?\A neck warmer?\The small miracles, the little mistakes...\It's a b-belly wa\It's all a merry Christmas.\The echoes of my ringtone\and a small taste of regret. response:	Next episode: The Two of Us
