context: I'm Aono Tsukune, 15 years old. response:	From this summer on,
context: Such great strength...\It's delicious isn't it?\Yeah...\But, if she's really a vampire...\You are Akashiya Moka, right?\Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san. response:	Tsukune!
context: It's delicious isn't it?\Yeah...\But, if she's really a vampire...\You are Akashiya Moka, right?\Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san.\Tsukune! response:	Wait a minute.
context: Yeah...\But, if she's really a vampire...\You are Akashiya Moka, right?\Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san.\Tsukune!\Wait a minute. response:	Don't bother with that trash, come play with me.
context: But, if she's really a vampire...\You are Akashiya Moka, right?\Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san.\Tsukune!\Wait a minute.\Don't bother with that trash, come play with me. response:	I'm with Tsukune now.
context: You are Akashiya Moka, right?\Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san.\Tsukune!\Wait a minute.\Don't bother with that trash, come play with me.\I'm with Tsukune now. response:	Tsukune!
context: Tsukune!\Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san.\Tsukune!\Wait a minute.\Don't bother with that trash, come play with me.\I'm with Tsukune now.\Tsukune! response:	Are you alright, Tsukune?
context: Can you tell me why a beautiful lady like you is hanging out with such a guy like this?\Moka-san.\Tsukune!\Wait a minute.\Don't bother with that trash, come play with me.\I'm with Tsukune now.\Tsukune!\Are you alright, Tsukune? response:	Yeah, somewhat.
context: Moka-san.\Tsukune!\Wait a minute.\Don't bother with that trash, come play with me.\I'm with Tsukune now.\Tsukune!\Are you alright, Tsukune?\Yeah, somewhat. response:	That was scary... are you really alright, Tsukune?
context: Tsukune!\Wait a minute.\Don't bother with that trash, come play with me.\I'm with Tsukune now.\Tsukune!\Are you alright, Tsukune?\Yeah, somewhat.\That was scary... are you really alright, Tsukune? response:	Yeah, but that was quite a throw.
context: Wait a minute.\Don't bother with that trash, come play with me.\I'm with Tsukune now.\Tsukune!\Are you alright, Tsukune?\Yeah, somewhat.\That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw. response:	Is that the power of a monster?
context: Don't bother with that trash, come play with me.\I'm with Tsukune now.\Tsukune!\Are you alright, Tsukune?\Yeah, somewhat.\That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw.\Is that the power of a monster? response:	Tsukune is weird.
context: I'm with Tsukune now.\Tsukune!\Are you alright, Tsukune?\Yeah, somewhat.\That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw.\Is that the power of a monster?\Tsukune is weird. response:	It's like you're seeing a monster for the first time.
context: Tsukune!\Are you alright, Tsukune?\Yeah, somewhat.\That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw.\Is that the power of a monster?\Tsukune is weird.\It's like you're seeing a monster for the first time. response:	That's right Tsukune, what kind of monster are you?
context: Are you alright, Tsukune?\Yeah, somewhat.\That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw.\Is that the power of a monster?\Tsukune is weird.\It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you? response:	Oh yeah, giving out your identity is against the school rules, sorry about that.
context: Yeah, somewhat.\That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw.\Is that the power of a monster?\Tsukune is weird.\It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that. response:	I take back my question.
context: That was scary... are you really alright, Tsukune?\Yeah, but that was quite a throw.\Is that the power of a monster?\Tsukune is weird.\It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question. response:	But you already revealed to me that you're a vampire.
context: Yeah, but that was quite a throw.\Is that the power of a monster?\Tsukune is weird.\It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question.\But you already revealed to me that you're a vampire. response:	I wasn't aware of the rule back then.
context: Is that the power of a monster?\Tsukune is weird.\It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question.\But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then. response:	But you don't seem like one.
context: Tsukune is weird.\It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question.\But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then.\But you don't seem like one. response:	Only right now,
context: It's like you're seeing a monster for the first time.\That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question.\But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then.\But you don't seem like one.\Only right now, response:	But look at this.
context: That's right Tsukune, what kind of monster are you?\Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question.\But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then.\But you don't seem like one.\Only right now,\But look at this. response:	What... do you want me to see?
context: Oh yeah, giving out your identity is against the school rules, sorry about that.\I take back my question.\But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then.\But you don't seem like one.\Only right now,\But look at this.\What... do you want me to see? response:	Y-You mean your breasts?!
context: I take back my question.\But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then.\But you don't seem like one.\Only right now,\But look at this.\What... do you want me to see?\Y-You mean your breasts?! response:	Yes...the rosary on my chest.
context: But you already revealed to me that you're a vampire.\I wasn't aware of the rule back then.\But you don't seem like one.\Only right now,\But look at this.\What... do you want me to see?\Y-You mean your breasts?!\Yes...the rosary on my chest. response:	Once this rosary is taken off, I'll turn into a terrifying, true vampire.
context: I wasn't aware of the rule back then.\But you don't seem like one.\Only right now,\But look at this.\What... do you want me to see?\Y-You mean your breasts?!\Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire. response:	True...?
context: But you don't seem like one.\Only right now,\But look at this.\What... do you want me to see?\Y-You mean your breasts?!\Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...? response:	That's why this is a protective seal...
context: Only right now,\But look at this.\What... do you want me to see?\Y-You mean your breasts?!\Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...?\That's why this is a protective seal... response:	I can't even take this off myself.
context: But look at this.\What... do you want me to see?\Y-You mean your breasts?!\Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...?\That's why this is a protective seal...\I can't even take this off myself. response:	It's ok,
context: What... do you want me to see?\Y-You mean your breasts?!\Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...?\That's why this is a protective seal...\I can't even take this off myself.\It's ok, response:	Even if you're a little scary...
context: Y-You mean your breasts?!\Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...?\That's why this is a protective seal...\I can't even take this off myself.\It's ok,\Even if you're a little scary... response:	Moka-san is still Moka-san.
context: Yes...the rosary on my chest.\Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...?\That's why this is a protective seal...\I can't even take this off myself.\It's ok,\Even if you're a little scary...\Moka-san is still Moka-san. response:	Thank goodness!
context: Once this rosary is taken off, I'll turn into a terrifying, true vampire.\True...?\That's why this is a protective seal...\I can't even take this off myself.\It's ok,\Even if you're a little scary...\Moka-san is still Moka-san.\Thank goodness! response:	You're my first friend, Tsukune!
context: True...?\That's why this is a protective seal...\I can't even take this off myself.\It's ok,\Even if you're a little scary...\Moka-san is still Moka-san.\Thank goodness!\You're my first friend, Tsukune! response:	Also, one more thing... You're my first love.
context: That's why this is a protective seal...\I can't even take this off myself.\It's ok,\Even if you're a little scary...\Moka-san is still Moka-san.\Thank goodness!\You're my first friend, Tsukune!\Also, one more thing... You're my first love. response:	First?
context: I can't even take this off myself.\It's ok,\Even if you're a little scary...\Moka-san is still Moka-san.\Thank goodness!\You're my first friend, Tsukune!\Also, one more thing... You're my first love.\First? response:	Until today, I've only imbibed tomato juice and blood transfusion packets, so...
context: It's ok,\Even if you're a little scary...\Moka-san is still Moka-san.\Thank goodness!\You're my first friend, Tsukune!\Also, one more thing... You're my first love.\First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so... response:	Sucking real blood like that... Tsukune is...
context: Even if you're a little scary...\Moka-san is still Moka-san.\Thank goodness!\You're my first friend, Tsukune!\Also, one more thing... You're my first love.\First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is... response:	That sweetness, fragrance... That feeling...
context: Moka-san is still Moka-san.\Thank goodness!\You're my first friend, Tsukune!\Also, one more thing... You're my first love.\First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling... response:	I cannot forget them!
context: Thank goodness!\You're my first friend, Tsukune!\Also, one more thing... You're my first love.\First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling...\I cannot forget them! response:	I-I'm sorry!
context: You're my first friend, Tsukune!\Also, one more thing... You're my first love.\First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling...\I cannot forget them!\I-I'm sorry! response:	Oh yeah! I've got to do something.
context: Also, one more thing... You're my first love.\First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling...\I cannot forget them!\I-I'm sorry!\Oh yeah! I've got to do something. response:	Tsukune?
context: First?\Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling...\I cannot forget them!\I-I'm sorry!\Oh yeah! I've got to do something.\Tsukune? response:	That can't be real...
context: Until today, I've only imbibed tomato juice and blood transfusion packets, so...\Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling...\I cannot forget them!\I-I'm sorry!\Oh yeah! I've got to do something.\Tsukune?\That can't be real... response:	Even though Moka-san's so cute!
context: Sucking real blood like that... Tsukune is...\That sweetness, fragrance... That feeling...\I cannot forget them!\I-I'm sorry!\Oh yeah! I've got to do something.\Tsukune?\That can't be real...\Even though Moka-san's so cute! response:	She really is different from me.
context: That sweetness, fragrance... That feeling...\I cannot forget them!\I-I'm sorry!\Oh yeah! I've got to do something.\Tsukune?\That can't be real...\Even though Moka-san's so cute!\She really is different from me. response:	That person... She too.
context: I cannot forget them!\I-I'm sorry!\Oh yeah! I've got to do something.\Tsukune?\That can't be real...\Even though Moka-san's so cute!\She really is different from me.\That person... She too. response:	Everyone is...!
context: I-I'm sorry!\Oh yeah! I've got to do something.\Tsukune?\That can't be real...\Even though Moka-san's so cute!\She really is different from me.\That person... She too.\Everyone is...! response:	This school really is...
context: Oh yeah! I've got to do something.\Tsukune?\That can't be real...\Even though Moka-san's so cute!\She really is different from me.\That person... She too.\Everyone is...!\This school really is... response:	Tsukune!
context: Tsukune?\That can't be real...\Even though Moka-san's so cute!\She really is different from me.\That person... She too.\Everyone is...!\This school really is...\Tsukune! response:	I felt that you were... acting strange, so...
context: That can't be real...\Even though Moka-san's so cute!\She really is different from me.\That person... She too.\Everyone is...!\This school really is...\Tsukune!\I felt that you were... acting strange, so... response:	I was thinking of going to a school for humans.
context: Even though Moka-san's so cute!\She really is different from me.\That person... She too.\Everyone is...!\This school really is...\Tsukune!\I felt that you were... acting strange, so...\I was thinking of going to a school for humans. response:	Humans?
context: She really is different from me.\That person... She too.\Everyone is...!\This school really is...\Tsukune!\I felt that you were... acting strange, so...\I was thinking of going to a school for humans.\Humans? response:	Even though you're a good person Moka-san, it's impossible for me to go to this school!
context: That person... She too.\Everyone is...!\This school really is...\Tsukune!\I felt that you were... acting strange, so...\I was thinking of going to a school for humans.\Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school! response:	You can't!
context: Everyone is...!\This school really is...\Tsukune!\I felt that you were... acting strange, so...\I was thinking of going to a school for humans.\Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't! response:	You can't go to a school for humans!
context: This school really is...\Tsukune!\I felt that you were... acting strange, so...\I was thinking of going to a school for humans.\Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't!\You can't go to a school for humans! response:	Moka-san!
context: Tsukune!\I felt that you were... acting strange, so...\I was thinking of going to a school for humans.\Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't!\You can't go to a school for humans!\Moka-san! response:	I hate humans.
context: I felt that you were... acting strange, so...\I was thinking of going to a school for humans.\Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't!\You can't go to a school for humans!\Moka-san!\I hate humans. response:	I went to a school for humans during junior high.
context: I was thinking of going to a school for humans.\Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't!\You can't go to a school for humans!\Moka-san!\I hate humans.\I went to a school for humans during junior high. response:	I was lonely because humans don't believe in monsters.
context: Humans?\Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't!\You can't go to a school for humans!\Moka-san!\I hate humans.\I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters. response:	I was different from everyone...
context: Even though you're a good person Moka-san, it's impossible for me to go to this school!\You can't!\You can't go to a school for humans!\Moka-san!\I hate humans.\I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters.\I was different from everyone... response:	It'd be better if I didn't exist!
context: You can't!\You can't go to a school for humans!\Moka-san!\I hate humans.\I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters.\I was different from everyone...\It'd be better if I didn't exist! response:	I kept thinking about such things.
context: You can't go to a school for humans!\Moka-san!\I hate humans.\I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters.\I was different from everyone...\It'd be better if I didn't exist!\I kept thinking about such things. response:	But you told me it's alright even if I am a vampire!
context: Moka-san!\I hate humans.\I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters.\I was different from everyone...\It'd be better if I didn't exist!\I kept thinking about such things.\But you told me it's alright even if I am a vampire! response:	That's why for the first time, I didn't feel alone...
context: I hate humans.\I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters.\I was different from everyone...\It'd be better if I didn't exist!\I kept thinking about such things.\But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone... response:	What if...
context: I went to a school for humans during junior high.\I was lonely because humans don't believe in monsters.\I was different from everyone...\It'd be better if I didn't exist!\I kept thinking about such things.\But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone...\What if... response:	What if I am one of those humans that you hate,
context: I was lonely because humans don't believe in monsters.\I was different from everyone...\It'd be better if I didn't exist!\I kept thinking about such things.\But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone...\What if...\What if I am one of those humans that you hate, response:	Would you still accept me?
context: I was different from everyone...\It'd be better if I didn't exist!\I kept thinking about such things.\But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone...\What if...\What if I am one of those humans that you hate,\Would you still accept me? response:	Eh?
context: It'd be better if I didn't exist!\I kept thinking about such things.\But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone...\What if...\What if I am one of those humans that you hate,\Would you still accept me?\Eh? response:	I'm a human.
context: I kept thinking about such things.\But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone...\What if...\What if I am one of those humans that you hate,\Would you still accept me?\Eh?\I'm a human. response:	I'm a human!
context: But you told me it's alright even if I am a vampire!\That's why for the first time, I didn't feel alone...\What if...\What if I am one of those humans that you hate,\Would you still accept me?\Eh?\I'm a human.\I'm a human! response:	I only got into this school because of some mistake!
context: That's why for the first time, I didn't feel alone...\What if...\What if I am one of those humans that you hate,\Would you still accept me?\Eh?\I'm a human.\I'm a human!\I only got into this school because of some mistake! response:	No way...
context: What if...\What if I am one of those humans that you hate,\Would you still accept me?\Eh?\I'm a human.\I'm a human!\I only got into this school because of some mistake!\No way... response:	Humans shouldn't be able to enter this school...
context: What if I am one of those humans that you hate,\Would you still accept me?\Eh?\I'm a human.\I'm a human!\I only got into this school because of some mistake!\No way...\Humans shouldn't be able to enter this school... response:	You really showed that expression...
context: Would you still accept me?\Eh?\I'm a human.\I'm a human!\I only got into this school because of some mistake!\No way...\Humans shouldn't be able to enter this school...\You really showed that expression... response:	Is this true, Tsukune?
context: Eh?\I'm a human.\I'm a human!\I only got into this school because of some mistake!\No way...\Humans shouldn't be able to enter this school...\You really showed that expression...\Is this true, Tsukune? response:	Don't come near me!
context: I'm a human.\I'm a human!\I only got into this school because of some mistake!\No way...\Humans shouldn't be able to enter this school...\You really showed that expression...\Is this true, Tsukune?\Don't come near me! response:	You hate humans, don't you?
context: I'm a human!\I only got into this school because of some mistake!\No way...\Humans shouldn't be able to enter this school...\You really showed that expression...\Is this true, Tsukune?\Don't come near me!\You hate humans, don't you? response:	I don't want to befriend monsters either!
context: I only got into this school because of some mistake!\No way...\Humans shouldn't be able to enter this school...\You really showed that expression...\Is this true, Tsukune?\Don't come near me!\You hate humans, don't you?\I don't want to befriend monsters either! response:	Tsukune!!!
context: No way...\Humans shouldn't be able to enter this school...\You really showed that expression...\Is this true, Tsukune?\Don't come near me!\You hate humans, don't you?\I don't want to befriend monsters either!\Tsukune!!! response:	The bus station... Over there?
context: Humans shouldn't be able to enter this school...\You really showed that expression...\Is this true, Tsukune?\Don't come near me!\You hate humans, don't you?\I don't want to befriend monsters either!\Tsukune!!!\The bus station... Over there? response:	Tsukune...
context: You really showed that expression...\Is this true, Tsukune?\Don't come near me!\You hate humans, don't you?\I don't want to befriend monsters either!\Tsukune!!!\The bus station... Over there?\Tsukune... response:	Where're you off to, Moka-san?
context: Is this true, Tsukune?\Don't come near me!\You hate humans, don't you?\I don't want to befriend monsters either!\Tsukune!!!\The bus station... Over there?\Tsukune...\Where're you off to, Moka-san? response:	I'm very busy.
context: Don't come near me!\You hate humans, don't you?\I don't want to befriend monsters either!\Tsukune!!!\The bus station... Over there?\Tsukune...\Where're you off to, Moka-san?\I'm very busy. response:	I can't stand it anymore!
context: You hate humans, don't you?\I don't want to befriend monsters either!\Tsukune!!!\The bus station... Over there?\Tsukune...\Where're you off to, Moka-san?\I'm very busy.\I can't stand it anymore! response:	This is my real form, an orc!
context: I don't want to befriend monsters either!\Tsukune!!!\The bus station... Over there?\Tsukune...\Where're you off to, Moka-san?\I'm very busy.\I can't stand it anymore!\This is my real form, an orc! response:	No!!!
context: Tsukune!!!\The bus station... Over there?\Tsukune...\Where're you off to, Moka-san?\I'm very busy.\I can't stand it anymore!\This is my real form, an orc!\No!!! response:	Don't tell me it's that Saizou guy?
context: The bus station... Over there?\Tsukune...\Where're you off to, Moka-san?\I'm very busy.\I can't stand it anymore!\This is my real form, an orc!\No!!!\Don't tell me it's that Saizou guy? response:	Even if a human like me went back...
context: Tsukune...\Where're you off to, Moka-san?\I'm very busy.\I can't stand it anymore!\This is my real form, an orc!\No!!!\Don't tell me it's that Saizou guy?\Even if a human like me went back... response:	What's wrong?
context: Where're you off to, Moka-san?\I'm very busy.\I can't stand it anymore!\This is my real form, an orc!\No!!!\Don't tell me it's that Saizou guy?\Even if a human like me went back...\What's wrong? response:	Won't you transform, Moka-san?
context: I'm very busy.\I can't stand it anymore!\This is my real form, an orc!\No!!!\Don't tell me it's that Saizou guy?\Even if a human like me went back...\What's wrong?\Won't you transform, Moka-san? response:	Or are you too frightened?
context: I can't stand it anymore!\This is my real form, an orc!\No!!!\Don't tell me it's that Saizou guy?\Even if a human like me went back...\What's wrong?\Won't you transform, Moka-san?\Or are you too frightened? response:	It's against school rules to transform!
context: This is my real form, an orc!\No!!!\Don't tell me it's that Saizou guy?\Even if a human like me went back...\What's wrong?\Won't you transform, Moka-san?\Or are you too frightened?\It's against school rules to transform! response:	We're outside the school, so it's fine!
context: No!!!\Don't tell me it's that Saizou guy?\Even if a human like me went back...\What's wrong?\Won't you transform, Moka-san?\Or are you too frightened?\It's against school rules to transform!\We're outside the school, so it's fine! response:	Stop it!!!
context: Don't tell me it's that Saizou guy?\Even if a human like me went back...\What's wrong?\Won't you transform, Moka-san?\Or are you too frightened?\It's against school rules to transform!\We're outside the school, so it's fine!\Stop it!!! response:	W-Wait!
context: Even if a human like me went back...\What's wrong?\Won't you transform, Moka-san?\Or are you too frightened?\It's against school rules to transform!\We're outside the school, so it's fine!\Stop it!!!\W-Wait! response:	Get away from Moka-san!
context: What's wrong?\Won't you transform, Moka-san?\Or are you too frightened?\It's against school rules to transform!\We're outside the school, so it's fine!\Stop it!!!\W-Wait!\Get away from Moka-san! response:	Tsukune!
context: Won't you transform, Moka-san?\Or are you too frightened?\It's against school rules to transform!\We're outside the school, so it's fine!\Stop it!!!\W-Wait!\Get away from Moka-san!\Tsukune! response:	What'd you say? You fool!
context: Or are you too frightened?\It's against school rules to transform!\We're outside the school, so it's fine!\Stop it!!!\W-Wait!\Get away from Moka-san!\Tsukune!\What'd you say? You fool! response:	Even though I don't know what monster you are,
context: It's against school rules to transform!\We're outside the school, so it's fine!\Stop it!!!\W-Wait!\Get away from Moka-san!\Tsukune!\What'd you say? You fool!\Even though I don't know what monster you are, response:	You're too weak!
context: We're outside the school, so it's fine!\Stop it!!!\W-Wait!\Get away from Moka-san!\Tsukune!\What'd you say? You fool!\Even though I don't know what monster you are,\You're too weak! response:	Tsukune!!!
context: Stop it!!!\W-Wait!\Get away from Moka-san!\Tsukune!\What'd you say? You fool!\Even though I don't know what monster you are,\You're too weak!\Tsukune!!! response:	Hey, wait up!
context: W-Wait!\Get away from Moka-san!\Tsukune!\What'd you say? You fool!\Even though I don't know what monster you are,\You're too weak!\Tsukune!!!\Hey, wait up! response:	I actually ended up here...
context: Get away from Moka-san!\Tsukune!\What'd you say? You fool!\Even though I don't know what monster you are,\You're too weak!\Tsukune!!!\Hey, wait up!\I actually ended up here... response:	Tsukune!
context: Tsukune!\What'd you say? You fool!\Even though I don't know what monster you are,\You're too weak!\Tsukune!!!\Hey, wait up!\I actually ended up here...\Tsukune! response:	I'm sorry... I'm sorry, Tsukune.
context: What'd you say? You fool!\Even though I don't know what monster you are,\You're too weak!\Tsukune!!!\Hey, wait up!\I actually ended up here...\Tsukune!\I'm sorry... I'm sorry, Tsukune. response:	The differences between humans and monsters are just too much.
context: Even though I don't know what monster you are,\You're too weak!\Tsukune!!!\Hey, wait up!\I actually ended up here...\Tsukune!\I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much. response:	Moka-san...
context: You're too weak!\Tsukune!!!\Hey, wait up!\I actually ended up here...\Tsukune!\I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much.\Moka-san... response:	I'm a vampire,
context: Tsukune!!!\Hey, wait up!\I actually ended up here...\Tsukune!\I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much.\Moka-san...\I'm a vampire, response:	Sucking blood and harming humans.
context: Hey, wait up!\I actually ended up here...\Tsukune!\I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much.\Moka-san...\I'm a vampire,\Sucking blood and harming humans. response:	Back in my previous school, what I had really wanted was a friend...
context: I actually ended up here...\Tsukune!\I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much.\Moka-san...\I'm a vampire,\Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend... response:	Being human or monster doesn't matter,
context: Tsukune!\I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much.\Moka-san...\I'm a vampire,\Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter, response:	But I guess it really is impossible.
context: I'm sorry... I'm sorry, Tsukune.\The differences between humans and monsters are just too much.\Moka-san...\I'm a vampire,\Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter,\But I guess it really is impossible. response:	What the hell are you doing?
context: The differences between humans and monsters are just too much.\Moka-san...\I'm a vampire,\Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter,\But I guess it really is impossible.\What the hell are you doing? response:	Move aside, Moka-san.
context: Moka-san...\I'm a vampire,\Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter,\But I guess it really is impossible.\What the hell are you doing?\Move aside, Moka-san. response:	Tsukune?
context: I'm a vampire,\Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter,\But I guess it really is impossible.\What the hell are you doing?\Move aside, Moka-san.\Tsukune? response:	Indeed, I am weak and worthless, but,
context: Sucking blood and harming humans.\Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter,\But I guess it really is impossible.\What the hell are you doing?\Move aside, Moka-san.\Tsukune?\Indeed, I am weak and worthless, but, response:	Human or monster, I want to be Moka-san's friend!
context: Back in my previous school, what I had really wanted was a friend...\Being human or monster doesn't matter,\But I guess it really is impossible.\What the hell are you doing?\Move aside, Moka-san.\Tsukune?\Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend! response:	Quit your blabbering!
context: Being human or monster doesn't matter,\But I guess it really is impossible.\What the hell are you doing?\Move aside, Moka-san.\Tsukune?\Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend!\Quit your blabbering! response:	Tsukune!
context: But I guess it really is impossible.\What the hell are you doing?\Move aside, Moka-san.\Tsukune?\Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend!\Quit your blabbering!\Tsukune! response:	Even if you're a vampire...
context: What the hell are you doing?\Move aside, Moka-san.\Tsukune?\Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend!\Quit your blabbering!\Tsukune!\Even if you're a vampire... response:	I still like you.
context: Move aside, Moka-san.\Tsukune?\Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend!\Quit your blabbering!\Tsukune!\Even if you're a vampire...\I still like you. response:	The rosary got removed...
context: Tsukune?\Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend!\Quit your blabbering!\Tsukune!\Even if you're a vampire...\I still like you.\The rosary got removed... response:	What's with her?
context: Indeed, I am weak and worthless, but,\Human or monster, I want to be Moka-san's friend!\Quit your blabbering!\Tsukune!\Even if you're a vampire...\I still like you.\The rosary got removed...\What's with her? response:	She's like a totally different person!
context: Human or monster, I want to be Moka-san's friend!\Quit your blabbering!\Tsukune!\Even if you're a vampire...\I still like you.\The rosary got removed...\What's with her?\She's like a totally different person! response:	She's not Akayashi Moka!
context: Quit your blabbering!\Tsukune!\Even if you're a vampire...\I still like you.\The rosary got removed...\What's with her?\She's like a totally different person!\She's not Akayashi Moka! response:	Moka-san...
context: Tsukune!\Even if you're a vampire...\I still like you.\The rosary got removed...\What's with her?\She's like a totally different person!\She's not Akayashi Moka!\Moka-san... response:	Once this rosary gets taken off, I'll turn into a terrifying, true vampire.
context: Even if you're a vampire...\I still like you.\The rosary got removed...\What's with her?\She's like a totally different person!\She's not Akayashi Moka!\Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire. response:	Could this be a true vampire...?
context: I still like you.\The rosary got removed...\What's with her?\She's like a totally different person!\She's not Akayashi Moka!\Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...? response:	It's just like the rumours say...
context: The rosary got removed...\What's with her?\She's like a totally different person!\She's not Akayashi Moka!\Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...?\It's just like the rumours say... response:	Those red eyes,
