context: Laxus... response:	Laxus has come for us!
context: Well, can't say I'm surprised.\We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job.\It is something to see!\For I have completed a new dance!\I name it, the Dance of Greatest Power!\Yeah, sure. Good job there. response:	Hey, Droy... Are you still stuffing yourself?
context: We're getting more famous, and the number of jobs we've got has increased correspondingly.\Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job.\It is something to see!\For I have completed a new dance!\I name it, the Dance of Greatest Power!\Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself? response:	No problem! I can eat all I want and stay thin!
context: Just look at all these requests!\Like it matters to you, Mr. I Never Go on a Job.\It is something to see!\For I have completed a new dance!\I name it, the Dance of Greatest Power!\Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin! response:	Laki, how long has it been?
context: Like it matters to you, Mr. I Never Go on a Job.\It is something to see!\For I have completed a new dance!\I name it, the Dance of Greatest Power!\Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin!\Laki, how long has it been? response:	I had a bunch of long-term jobs in a row.
context: It is something to see!\For I have completed a new dance!\I name it, the Dance of Greatest Power!\Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin!\Laki, how long has it been?\I had a bunch of long-term jobs in a row. response:	You keep pigging out like that, and you're gonna get like Reedus!
context: For I have completed a new dance!\I name it, the Dance of Greatest Power!\Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin!\Laki, how long has it been?\I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus! response:	Oui. I'm large because of magic, that's all.
context: I name it, the Dance of Greatest Power!\Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin!\Laki, how long has it been?\I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all. response:	Dad, I'm back!
context: Yeah, sure. Good job there.\Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin!\Laki, how long has it been?\I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all.\Dad, I'm back! response:	You're late, Romeo!
context: Hey, Droy... Are you still stuffing yourself?\No problem! I can eat all I want and stay thin!\Laki, how long has it been?\I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all.\Dad, I'm back!\You're late, Romeo! response:	Damn it... Lately you keep goin' on every job you can!
context: No problem! I can eat all I want and stay thin!\Laki, how long has it been?\I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all.\Dad, I'm back!\You're late, Romeo!\Damn it... Lately you keep goin' on every job you can! response:	Well, he's a wizard's son, all right!
context: Laki, how long has it been?\I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all.\Dad, I'm back!\You're late, Romeo!\Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right! response:	Although he don't take after his dad, that's for sure.
context: I had a bunch of long-term jobs in a row.\You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all.\Dad, I'm back!\You're late, Romeo!\Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure. response:	Lay off it!
context: You keep pigging out like that, and you're gonna get like Reedus!\Oui. I'm large because of magic, that's all.\Dad, I'm back!\You're late, Romeo!\Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure.\Lay off it! response:	Aww...
context: Oui. I'm large because of magic, that's all.\Dad, I'm back!\You're late, Romeo!\Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure.\Lay off it!\Aww... response:	It's boring without Natsu-nii and the others.
context: Dad, I'm back!\You're late, Romeo!\Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure.\Lay off it!\Aww...\It's boring without Natsu-nii and the others. response:	You want to become like Natsu, don't you, Romeo?
context: You're late, Romeo!\Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure.\Lay off it!\Aww...\It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo? response:	But without them, no matter how many people are in the guild...
context: Damn it... Lately you keep goin' on every job you can!\Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure.\Lay off it!\Aww...\It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild... response:	Yeah. Definitely kind of quiet.
context: Well, he's a wizard's son, all right!\Although he don't take after his dad, that's for sure.\Lay off it!\Aww...\It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet. response:	S Class wizards, the strongest team... Dragon Slayers...
context: Although he don't take after his dad, that's for sure.\Lay off it!\Aww...\It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers... response:	They're now the top in Fiore, aren't they?
context: Lay off it!\Aww...\It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they? response:	Without them, we're...
context: Aww...\It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they?\Without them, we're... response:	Yup, nice and quiet.
context: It's boring without Natsu-nii and the others.\You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they?\Without them, we're...\Yup, nice and quiet. response:	S Class, huh?
context: You want to become like Natsu, don't you, Romeo?\But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they?\Without them, we're...\Yup, nice and quiet.\S Class, huh? response:	I wonder if there is some job that only I can do? That's perfect for me, up there?
context: But without them, no matter how many people are in the guild...\Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they?\Without them, we're...\Yup, nice and quiet.\S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there? response:	How about you choose one of the ones you're staring at, first!
context: Yeah. Definitely kind of quiet.\S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they?\Without them, we're...\Yup, nice and quiet.\S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first! response:	How many years have you been standing there?
context: S Class wizards, the strongest team... Dragon Slayers...\They're now the top in Fiore, aren't they?\Without them, we're...\Yup, nice and quiet.\S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first!\How many years have you been standing there? response:	Wow, the S Class Exam...
context: They're now the top in Fiore, aren't they?\Without them, we're...\Yup, nice and quiet.\S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first!\How many years have you been standing there?\Wow, the S Class Exam... response:	I wonder how it's going?
context: Without them, we're...\Yup, nice and quiet.\S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first!\How many years have you been standing there?\Wow, the S Class Exam...\I wonder how it's going? response:	All of them are really great this year.
context: Yup, nice and quiet.\S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first!\How many years have you been standing there?\Wow, the S Class Exam...\I wonder how it's going?\All of them are really great this year. response:	By the way, why did Wendy go?
context: S Class, huh?\I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first!\How many years have you been standing there?\Wow, the S Class Exam...\I wonder how it's going?\All of them are really great this year.\By the way, why did Wendy go? response:	She was someone's partner, right?
context: I wonder if there is some job that only I can do? That's perfect for me, up there?\How about you choose one of the ones you're staring at, first!\How many years have you been standing there?\Wow, the S Class Exam...\I wonder how it's going?\All of them are really great this year.\By the way, why did Wendy go?\She was someone's partner, right? response:	Wait, no... There were only 7 this year.
context: How about you choose one of the ones you're staring at, first!\How many years have you been standing there?\Wow, the S Class Exam...\I wonder how it's going?\All of them are really great this year.\By the way, why did Wendy go?\She was someone's partner, right?\Wait, no... There were only 7 this year. response:	Getting up in years?
context: How many years have you been standing there?\Wow, the S Class Exam...\I wonder how it's going?\All of them are really great this year.\By the way, why did Wendy go?\She was someone's partner, right?\Wait, no... There were only 7 this year.\Getting up in years? response:	Forgotten who the candidates were again?
context: Wow, the S Class Exam...\I wonder how it's going?\All of them are really great this year.\By the way, why did Wendy go?\She was someone's partner, right?\Wait, no... There were only 7 this year.\Getting up in years?\Forgotten who the candidates were again? response:	You think Natsu-nii can become S Class?
context: I wonder how it's going?\All of them are really great this year.\By the way, why did Wendy go?\She was someone's partner, right?\Wait, no... There were only 7 this year.\Getting up in years?\Forgotten who the candidates were again?\You think Natsu-nii can become S Class? response:	When I grow up, I'm gonna become an S Class wizard for sure!
context: All of them are really great this year.\By the way, why did Wendy go?\She was someone's partner, right?\Wait, no... There were only 7 this year.\Getting up in years?\Forgotten who the candidates were again?\You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure! response:	Hold it there, buddy.
context: By the way, why did Wendy go?\She was someone's partner, right?\Wait, no... There were only 7 this year.\Getting up in years?\Forgotten who the candidates were again?\You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy. response:	You'd better become a wizard first!
context: She was someone's partner, right?\Wait, no... There were only 7 this year.\Getting up in years?\Forgotten who the candidates were again?\You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy.\You'd better become a wizard first! response:	Right! I'm all fired up!
context: Wait, no... There were only 7 this year.\Getting up in years?\Forgotten who the candidates were again?\You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy.\You'd better become a wizard first!\Right! I'm all fired up! response:	We're not going to get anywhere searching all together.
context: Getting up in years?\Forgotten who the candidates were again?\You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy.\You'd better become a wizard first!\Right! I'm all fired up!\We're not going to get anywhere searching all together. response:	Let's split up and search.
context: Forgotten who the candidates were again?\You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy.\You'd better become a wizard first!\Right! I'm all fired up!\We're not going to get anywhere searching all together.\Let's split up and search. response:	Yes! Carla is exactly right!
context: You think Natsu-nii can become S Class?\When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy.\You'd better become a wizard first!\Right! I'm all fired up!\We're not going to get anywhere searching all together.\Let's split up and search.\Yes! Carla is exactly right! response:	Split up...
context: When I grow up, I'm gonna become an S Class wizard for sure!\Hold it there, buddy.\You'd better become a wizard first!\Right! I'm all fired up!\We're not going to get anywhere searching all together.\Let's split up and search.\Yes! Carla is exactly right!\Split up... response:	You mean alone?
context: Hold it there, buddy.\You'd better become a wizard first!\Right! I'm all fired up!\We're not going to get anywhere searching all together.\Let's split up and search.\Yes! Carla is exactly right!\Split up...\You mean alone? response:	You scared?
context: You'd better become a wizard first!\Right! I'm all fired up!\We're not going to get anywhere searching all together.\Let's split up and search.\Yes! Carla is exactly right!\Split up...\You mean alone?\You scared? response:	Absolutely not!
context: Right! I'm all fired up!\We're not going to get anywhere searching all together.\Let's split up and search.\Yes! Carla is exactly right!\Split up...\You mean alone?\You scared?\Absolutely not! response:	We're splitting up!
context: We're not going to get anywhere searching all together.\Let's split up and search.\Yes! Carla is exactly right!\Split up...\You mean alone?\You scared?\Absolutely not!\We're splitting up! response:	Right... Sorry...
context: Let's split up and search.\Yes! Carla is exactly right!\Split up...\You mean alone?\You scared?\Absolutely not!\We're splitting up!\Right... Sorry... response:	Here, perhaps?
context: Yes! Carla is exactly right!\Split up...\You mean alone?\You scared?\Absolutely not!\We're splitting up!\Right... Sorry...\Here, perhaps? response:	Who designed this crazy ship?
context: Split up...\You mean alone?\You scared?\Absolutely not!\We're splitting up!\Right... Sorry...\Here, perhaps?\Who designed this crazy ship? response:	I'm not scared... I'm not scared...
context: You mean alone?\You scared?\Absolutely not!\We're splitting up!\Right... Sorry...\Here, perhaps?\Who designed this crazy ship?\I'm not scared... I'm not scared... response:	This is suspicious.
context: You scared?\Absolutely not!\We're splitting up!\Right... Sorry...\Here, perhaps?\Who designed this crazy ship?\I'm not scared... I'm not scared...\This is suspicious. response:	I see... Came up empty?
context: Absolutely not!\We're splitting up!\Right... Sorry...\Here, perhaps?\Who designed this crazy ship?\I'm not scared... I'm not scared...\This is suspicious.\I see... Came up empty? response:	Ah, well.
context: We're splitting up!\Right... Sorry...\Here, perhaps?\Who designed this crazy ship?\I'm not scared... I'm not scared...\This is suspicious.\I see... Came up empty?\Ah, well. response:	Let's all move further on.
context: Right... Sorry...\Here, perhaps?\Who designed this crazy ship?\I'm not scared... I'm not scared...\This is suspicious.\I see... Came up empty?\Ah, well.\Let's all move further on. response:	R-Right...
context: Here, perhaps?\Who designed this crazy ship?\I'm not scared... I'm not scared...\This is suspicious.\I see... Came up empty?\Ah, well.\Let's all move further on.\R-Right... response:	You little...
context: Who designed this crazy ship?\I'm not scared... I'm not scared...\This is suspicious.\I see... Came up empty?\Ah, well.\Let's all move further on.\R-Right...\You little... response:	You can take a hit, I'll give you that.
context: I'm not scared... I'm not scared...\This is suspicious.\I see... Came up empty?\Ah, well.\Let's all move further on.\R-Right...\You little...\You can take a hit, I'll give you that. response:	We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!
context: This is suspicious.\I see... Came up empty?\Ah, well.\Let's all move further on.\R-Right...\You little...\You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us! response:	Soon, we will finish you off!
context: I see... Came up empty?\Ah, well.\Let's all move further on.\R-Right...\You little...\You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off! response:	Ready?
context: Ah, well.\Let's all move further on.\R-Right...\You little...\You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off!\Ready? response:	Who goes there?
context: Let's all move further on.\R-Right...\You little...\You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off!\Ready?\Who goes there? response:	Give me a friggin' break.
context: R-Right...\You little...\You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off!\Ready?\Who goes there?\Give me a friggin' break. response:	You busted up the exam, hurt my friends...
context: You little...\You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off!\Ready?\Who goes there?\Give me a friggin' break.\You busted up the exam, hurt my friends... response:	You targeted wounded who couldn't move!
context: You can take a hit, I'll give you that.\We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off!\Ready?\Who goes there?\Give me a friggin' break.\You busted up the exam, hurt my friends...\You targeted wounded who couldn't move! response:	We're the ones who gotta pay you back, big time!
context: We wouldn't be Grimoire Heart if we didn't pay you back tenfold for what you did to us!\Soon, we will finish you off!\Ready?\Who goes there?\Give me a friggin' break.\You busted up the exam, hurt my friends...\You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time! response:	Head to Lisanna.
context: Soon, we will finish you off!\Ready?\Who goes there?\Give me a friggin' break.\You busted up the exam, hurt my friends...\You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time!\Head to Lisanna. response:	The runes are done with?
context: Ready?\Who goes there?\Give me a friggin' break.\You busted up the exam, hurt my friends...\You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time!\Head to Lisanna.\The runes are done with? response:	I have completed a minimal defense.
context: Who goes there?\Give me a friggin' break.\You busted up the exam, hurt my friends...\You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time!\Head to Lisanna.\The runes are done with?\I have completed a minimal defense. response:	But the next step is eliminating these two.
context: Give me a friggin' break.\You busted up the exam, hurt my friends...\You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time!\Head to Lisanna.\The runes are done with?\I have completed a minimal defense.\But the next step is eliminating these two. response:	Here we go.
context: You busted up the exam, hurt my friends...\You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time!\Head to Lisanna.\The runes are done with?\I have completed a minimal defense.\But the next step is eliminating these two.\Here we go. response:	Roger that.
context: You targeted wounded who couldn't move!\We're the ones who gotta pay you back, big time!\Head to Lisanna.\The runes are done with?\I have completed a minimal defense.\But the next step is eliminating these two.\Here we go.\Roger that. response:	I see. You're not in the leadership, but you did manage to injure Gajeel that severely...
context: We're the ones who gotta pay you back, big time!\Head to Lisanna.\The runes are done with?\I have completed a minimal defense.\But the next step is eliminating these two.\Here we go.\Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely... response:	The two of them attack together... It's a real pain!
context: Head to Lisanna.\The runes are done with?\I have completed a minimal defense.\But the next step is eliminating these two.\Here we go.\Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain! response:	Hang in there, Elf-niichan!
context: The runes are done with?\I have completed a minimal defense.\But the next step is eliminating these two.\Here we go.\Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain!\Hang in there, Elf-niichan! response:	Listen carefully, Lisanna.
context: I have completed a minimal defense.\But the next step is eliminating these two.\Here we go.\Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain!\Hang in there, Elf-niichan!\Listen carefully, Lisanna. response:	The way to fight a wizard that changes their element back and forth is to work as a team!
context: But the next step is eliminating these two.\Here we go.\Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain!\Hang in there, Elf-niichan!\Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team! response:	You might not be a match alone, but together there's a chance!
context: Here we go.\Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain!\Hang in there, Elf-niichan!\Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance! response:	I have a bad feeling about this!
context: Roger that.\I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain!\Hang in there, Elf-niichan!\Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance!\I have a bad feeling about this! response:	This is an Amaterasu formation...!
context: I see. You're not in the leadership, but you did manage to injure Gajeel that severely...\The two of them attack together... It's a real pain!\Hang in there, Elf-niichan!\Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance!\I have a bad feeling about this!\This is an Amaterasu formation...! response:	Scatter and fall!
context: The two of them attack together... It's a real pain!\Hang in there, Elf-niichan!\Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance!\I have a bad feeling about this!\This is an Amaterasu formation...!\Scatter and fall! response:	Crap!
context: Hang in there, Elf-niichan!\Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance!\I have a bad feeling about this!\This is an Amaterasu formation...!\Scatter and fall!\Crap! response:	Those who are hit by it lose all power in their limbs,
context: Listen carefully, Lisanna.\The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance!\I have a bad feeling about this!\This is an Amaterasu formation...!\Scatter and fall!\Crap!\Those who are hit by it lose all power in their limbs, response:	and it is impossible for them to move at all.
context: The way to fight a wizard that changes their element back and forth is to work as a team!\You might not be a match alone, but together there's a chance!\I have a bad feeling about this!\This is an Amaterasu formation...!\Scatter and fall!\Crap!\Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all. response:	Even if you defend against it, your magic power will be wiped out.
context: You might not be a match alone, but together there's a chance!\I have a bad feeling about this!\This is an Amaterasu formation...!\Scatter and fall!\Crap!\Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out. response:	Whoa!
context: I have a bad feeling about this!\This is an Amaterasu formation...!\Scatter and fall!\Crap!\Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out.\Whoa! response:	Laxus... Were you this strong?
context: This is an Amaterasu formation...!\Scatter and fall!\Crap!\Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out.\Whoa!\Laxus... Were you this strong? response:	That power was just from one leg.
context: Scatter and fall!\Crap!\Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out.\Whoa!\Laxus... Were you this strong?\That power was just from one leg. response:	I've got another one.
context: Crap!\Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out.\Whoa!\Laxus... Were you this strong?\That power was just from one leg.\I've got another one. response:	And both my arms!
context: Those who are hit by it lose all power in their limbs,\and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out.\Whoa!\Laxus... Were you this strong?\That power was just from one leg.\I've got another one.\And both my arms! response:	I have my head, and my entire body.
context: and it is impossible for them to move at all.\Even if you defend against it, your magic power will be wiped out.\Whoa!\Laxus... Were you this strong?\That power was just from one leg.\I've got another one.\And both my arms!\I have my head, and my entire body. response:	If I attack with all of them at once, we're not talkin' two or three times stronger...
context: Even if you defend against it, your magic power will be wiped out.\Whoa!\Laxus... Were you this strong?\That power was just from one leg.\I've got another one.\And both my arms!\I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger... response:	Wanna try me?
context: Whoa!\Laxus... Were you this strong?\That power was just from one leg.\I've got another one.\And both my arms!\I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me? response:	Nice speech!
context: Laxus... Were you this strong?\That power was just from one leg.\I've got another one.\And both my arms!\I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me?\Nice speech! response:	Is this the confidence of youth?
context: That power was just from one leg.\I've got another one.\And both my arms!\I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me?\Nice speech!\Is this the confidence of youth? response:	But youth is not what is needed to walk the path of magic!
context: I've got another one.\And both my arms!\I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me?\Nice speech!\Is this the confidence of youth?\But youth is not what is needed to walk the path of magic! response:	Youth is...
context: And both my arms!\I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me?\Nice speech!\Is this the confidence of youth?\But youth is not what is needed to walk the path of magic!\Youth is... response:	Nonsense!
context: I have my head, and my entire body.\If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me?\Nice speech!\Is this the confidence of youth?\But youth is not what is needed to walk the path of magic!\Youth is...\Nonsense! response:	Not going to work.
context: If I attack with all of them at once, we're not talkin' two or three times stronger...\Wanna try me?\Nice speech!\Is this the confidence of youth?\But youth is not what is needed to walk the path of magic!\Youth is...\Nonsense!\Not going to work. response:	I, a pure soul, will never fall for your attempts to seduce me.
context: Wanna try me?\Nice speech!\Is this the confidence of youth?\But youth is not what is needed to walk the path of magic!\Youth is...\Nonsense!\Not going to work.\I, a pure soul, will never fall for your attempts to seduce me. response:	Who said I was...
context: Nice speech!\Is this the confidence of youth?\But youth is not what is needed to walk the path of magic!\Youth is...\Nonsense!\Not going to work.\I, a pure soul, will never fall for your attempts to seduce me.\Who said I was... response:	Now then, it's about time to finish you off.
context: Is this the confidence of youth?\But youth is not what is needed to walk the path of magic!\Youth is...\Nonsense!\Not going to work.\I, a pure soul, will never fall for your attempts to seduce me.\Who said I was...\Now then, it's about time to finish you off. response:	I will end it quickly in an instant, so that you do not feel pain...
context: But youth is not what is needed to walk the path of magic!\Youth is...\Nonsense!\Not going to work.\I, a pure soul, will never fall for your attempts to seduce me.\Who said I was...\Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain... response:	Cana!
context: Youth is...\Nonsense!\Not going to work.\I, a pure soul, will never fall for your attempts to seduce me.\Who said I was...\Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain...\Cana! response:	That's hot! You burnt my bristle!
context: Nonsense!\Not going to work.\I, a pure soul, will never fall for your attempts to seduce me.\Who said I was...\Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain...\Cana!\That's hot! You burnt my bristle! response:	You there, marshmallow man! Time to take you down a peg!
context: Not going to work.\I, a pure soul, will never fall for your attempts to seduce me.\Who said I was...\Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain...\Cana!\That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg! response:	Who you callin' a marshmallow?!
context: I, a pure soul, will never fall for your attempts to seduce me.\Who said I was...\Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain...\Cana!\That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?! response:	Card Magic, Summoned Lightning!
context: Who said I was...\Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain...\Cana!\That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?!\Card Magic, Summoned Lightning! response:	H-He's...
context: Now then, it's about time to finish you off.\I will end it quickly in an instant, so that you do not feel pain...\Cana!\That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?!\Card Magic, Summoned Lightning!\H-He's... response:	Are you another one that's fallen for my manliness?
context: I will end it quickly in an instant, so that you do not feel pain...\Cana!\That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?!\Card Magic, Summoned Lightning!\H-He's...\Are you another one that's fallen for my manliness? response:	I don't have a particular type of girl I like.
context: Cana!\That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?!\Card Magic, Summoned Lightning!\H-He's...\Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like. response:	I take all comers.
context: That's hot! You burnt my bristle!\You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?!\Card Magic, Summoned Lightning!\H-He's...\Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like.\I take all comers. response:	Huh?
context: You there, marshmallow man! Time to take you down a peg!\Who you callin' a marshmallow?!\Card Magic, Summoned Lightning!\H-He's...\Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like.\I take all comers.\Huh? response:	And my attack isn't working.
