context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot. response:	Just how much farther is it from here?
context: It's too late to postpone it.\Being tactless will send my head flying!\As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji?\Yes, father.\It's dangerous!\Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai! response:	What's this? Outsider's should stay quiet!
context: Being tactless will send my head flying!\As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji?\Yes, father.\It's dangerous!\Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet! response:	She might get killed!
context: As planned, she will depart tomorrow.\You're fine with this too, aren't you, Yukiji?\Yes, father.\It's dangerous!\Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet!\She might get killed! response:	If that happens, then so be it.
context: You're fine with this too, aren't you, Yukiji?\Yes, father.\It's dangerous!\Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet!\She might get killed!\If that happens, then so be it. response:	There's nothing to do except leave her fate to the heavens!
context: Yes, father.\It's dangerous!\Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet!\She might get killed!\If that happens, then so be it.\There's nothing to do except leave her fate to the heavens! response:	No way...!
context: It's dangerous!\Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet!\She might get killed!\If that happens, then so be it.\There's nothing to do except leave her fate to the heavens!\No way...! response:	Nanami,
context: Please reconsider tomorrow's procession!\This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet!\She might get killed!\If that happens, then so be it.\There's nothing to do except leave her fate to the heavens!\No way...!\Nanami, response:	I'm going to make a family of my own blood.
context: This Akura-ou who's targeting Yukiji-san, isn't just some youkai!\What's this? Outsider's should stay quiet!\She might get killed!\If that happens, then so be it.\There's nothing to do except leave her fate to the heavens!\No way...!\Nanami,\I'm going to make a family of my own blood. response:	I'm going to be happy.
context: What's this? Outsider's should stay quiet!\She might get killed!\If that happens, then so be it.\There's nothing to do except leave her fate to the heavens!\No way...!\Nanami,\I'm going to make a family of my own blood.\I'm going to be happy. response:	I must protect her!
context: She might get killed!\If that happens, then so be it.\There's nothing to do except leave her fate to the heavens!\No way...!\Nanami,\I'm going to make a family of my own blood.\I'm going to be happy.\I must protect her! response:	If it's for the sake of Yukiji-san's happy smile,
context: If that happens, then so be it.\There's nothing to do except leave her fate to the heavens!\No way...!\Nanami,\I'm going to make a family of my own blood.\I'm going to be happy.\I must protect her!\If it's for the sake of Yukiji-san's happy smile, response:	I'll be her substitute.
context: There's nothing to do except leave her fate to the heavens!\No way...!\Nanami,\I'm going to make a family of my own blood.\I'm going to be happy.\I must protect her!\If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute. response:	I'll be Yukiji-san's substitute and ride the palanquin.
context: No way...!\Nanami,\I'm going to make a family of my own blood.\I'm going to be happy.\I must protect her!\If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin. response:	What stupid things are you saying!?
context: Nanami,\I'm going to make a family of my own blood.\I'm going to be happy.\I must protect her!\If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!? response:	Nanami, as if I'd let you pretend to be me!
context: I'm going to make a family of my own blood.\I'm going to be happy.\I must protect her!\If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me! response:	That's a good plan.
context: I'm going to be happy.\I must protect her!\If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me!\That's a good plan. response:	You have nearly the same built as Yukiji. This might go well.
context: I must protect her!\If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me!\That's a good plan.\You have nearly the same built as Yukiji. This might go well. response:	Father...!?
context: If it's for the sake of Yukiji-san's happy smile,\I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me!\That's a good plan.\You have nearly the same built as Yukiji. This might go well.\Father...!? response:	In return,
context: I'll be her substitute.\I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me!\That's a good plan.\You have nearly the same built as Yukiji. This might go well.\Father...!?\In return, response:	while I'm acting as her stand-in, I want you to search for a certain someone.
context: I'll be Yukiji-san's substitute and ride the palanquin.\What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me!\That's a good plan.\You have nearly the same built as Yukiji. This might go well.\Father...!?\In return,\while I'm acting as her stand-in, I want you to search for a certain someone. response:	I want you to utilize all the men and horses you employ,
context: What stupid things are you saying!?\Nanami, as if I'd let you pretend to be me!\That's a good plan.\You have nearly the same built as Yukiji. This might go well.\Father...!?\In return,\while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ, response:	to deliver my words to him.
context: Nanami, as if I'd let you pretend to be me!\That's a good plan.\You have nearly the same built as Yukiji. This might go well.\Father...!?\In return,\while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ,\to deliver my words to him. response:	He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.
context: That's a good plan.\You have nearly the same built as Yukiji. This might go well.\Father...!?\In return,\while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ,\to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro. response:	To Mt. Ontake's Kuromaro
context: You have nearly the same built as Yukiji. This might go well.\Father...!?\In return,\while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ,\to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro response:	And also, this white paper will guide you to wherever he is.
context: Father...!?\In return,\while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ,\to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is. response:	These are my terms for being her stand-in.
context: In return,\while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ,\to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in. response:	I'm going to save both Yukiji-san and Tomoe.
context: while I'm acting as her stand-in, I want you to search for a certain someone.\I want you to utilize all the men and horses you employ,\to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe. response:	This is my best strategy!
context: I want you to utilize all the men and horses you employ,\to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe.\This is my best strategy! response:	Alright. I'll prepare my men and horses.
context: to deliver my words to him.\He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe.\This is my best strategy!\Alright. I'll prepare my men and horses. response:	However, there's no assurance of your life.
context: He is a fallen god who resides on Mt. Ontake. His name is Kuromaro.\To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe.\This is my best strategy!\Alright. I'll prepare my men and horses.\However, there's no assurance of your life. response:	From the start, I didn't come here with a half-hearted resolve.
context: To Mt. Ontake's Kuromaro\And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe.\This is my best strategy!\Alright. I'll prepare my men and horses.\However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve. response:	Let's abandon this castle already.
context: And also, this white paper will guide you to wherever he is.\These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe.\This is my best strategy!\Alright. I'll prepare my men and horses.\However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already. response:	It's built on a cliff, so descending from it is bothersome.
context: These are my terms for being her stand-in.\I'm going to save both Yukiji-san and Tomoe.\This is my best strategy!\Alright. I'll prepare my men and horses.\However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome. response:	And the sound of wind within the castle is loud too.
context: I'm going to save both Yukiji-san and Tomoe.\This is my best strategy!\Alright. I'll prepare my men and horses.\However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too. response:	Are you tired of it already, Akura-ou?
context: This is my best strategy!\Alright. I'll prepare my men and horses.\However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou? response:	Even though you said this castle-on-the cliff was cool and killed the owner to get it?
context: Alright. I'll prepare my men and horses.\However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it? response:	Then, how about moving to the sea next?
context: However, there's no assurance of your life.\From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next? response:	It seems like the Dragon King and his palace reside in the ocean depths of the west.
context: From the start, I didn't come here with a half-hearted resolve.\Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west. response:	The Dragon King, huh.
context: Let's abandon this castle already.\It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh. response:	That's a good idea!
context: It's built on a cliff, so descending from it is bothersome.\And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh.\That's a good idea! response:	I heard that the Dragon King's eyes are pills of immortality.
context: And the sound of wind within the castle is loud too.\Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh.\That's a good idea!\I heard that the Dragon King's eyes are pills of immortality. response:	In that case, we'll split them evenly.
context: Are you tired of it already, Akura-ou?\Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh.\That's a good idea!\I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly. response:	Right eye mine, left eye yours.
context: Even though you said this castle-on-the cliff was cool and killed the owner to get it?\Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh.\That's a good idea!\I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly.\Right eye mine, left eye yours. response:	Sounds fun, eh brother?
context: Then, how about moving to the sea next?\It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh.\That's a good idea!\I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly.\Right eye mine, left eye yours.\Sounds fun, eh brother? response:	You've finally returned to your usual self.
context: It seems like the Dragon King and his palace reside in the ocean depths of the west.\The Dragon King, huh.\That's a good idea!\I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly.\Right eye mine, left eye yours.\Sounds fun, eh brother?\You've finally returned to your usual self. response:	Hmmm? Who is it that put this mop in a place like this?
context: The Dragon King, huh.\That's a good idea!\I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly.\Right eye mine, left eye yours.\Sounds fun, eh brother?\You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this? response:	Have you been in excellent spirits, Akura-ou-sama?
context: That's a good idea!\I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly.\Right eye mine, left eye yours.\Sounds fun, eh brother?\You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama? response:	Your faithful servant, Kirakaburi, has returned from Izumo.
context: I heard that the Dragon King's eyes are pills of immortality.\In that case, we'll split them evenly.\Right eye mine, left eye yours.\Sounds fun, eh brother?\You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo. response:	Ohh, Kirakaburi, I have an errand for you.
context: In that case, we'll split them evenly.\Right eye mine, left eye yours.\Sounds fun, eh brother?\You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you. response:	Yes! What could it be?
context: Right eye mine, left eye yours.\Sounds fun, eh brother?\You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be? response:	It seems like a human woman named Yukiji will have her bridal procession tomorrow.
context: Sounds fun, eh brother?\You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow. response:	The guy I sent earlier failed.
context: You've finally returned to your usual self.\Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed. response:	They say she's extraordinarily beautiful.
context: Hmmm? Who is it that put this mop in a place like this?\Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed.\They say she's extraordinarily beautiful. response:	I want to see her face.
context: Have you been in excellent spirits, Akura-ou-sama?\Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed.\They say she's extraordinarily beautiful.\I want to see her face. response:	Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?
context: Your faithful servant, Kirakaburi, has returned from Izumo.\Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed.\They say she's extraordinarily beautiful.\I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face? response:	Except her face, I don't care about the rest.
context: Ohh, Kirakaburi, I have an errand for you.\Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed.\They say she's extraordinarily beautiful.\I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest. response:	Even if it means she can't move.
context: Yes! What could it be?\It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed.\They say she's extraordinarily beautiful.\I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest.\Even if it means she can't move. response:	Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.
context: It seems like a human woman named Yukiji will have her bridal procession tomorrow.\The guy I sent earlier failed.\They say she's extraordinarily beautiful.\I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest.\Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met. response:	So, where is this young woman?
context: The guy I sent earlier failed.\They say she's extraordinarily beautiful.\I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest.\Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman? response:	Ask all the trivial stuff to that furball over there.
context: They say she's extraordinarily beautiful.\I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest.\Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman?\Ask all the trivial stuff to that furball over there. response:	All the information is from him after all.
context: I want to see her face.\Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest.\Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman?\Ask all the trivial stuff to that furball over there.\All the information is from him after all. response:	Hm?
context: Hee! Hearing she's a beauty has gotten me fired up. Do you only want her face?\Except her face, I don't care about the rest.\Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman?\Ask all the trivial stuff to that furball over there.\All the information is from him after all.\Hm? response:	Hmph!
context: Except her face, I don't care about the rest.\Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman?\Ask all the trivial stuff to that furball over there.\All the information is from him after all.\Hm?\Hmph! response:	What is this feeling?
context: Even if it means she can't move.\Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman?\Ask all the trivial stuff to that furball over there.\All the information is from him after all.\Hm?\Hmph!\What is this feeling? response:	Where are you going?
context: Then, this producer of beauty, Kirakaburi, will use all his skills and see to it that your expectations are met.\So, where is this young woman?\Ask all the trivial stuff to that furball over there.\All the information is from him after all.\Hm?\Hmph!\What is this feeling?\Where are you going? response:	I'm going home to sleep.
context: So, where is this young woman?\Ask all the trivial stuff to that furball over there.\All the information is from him after all.\Hm?\Hmph!\What is this feeling?\Where are you going?\I'm going home to sleep. response:	Sweet dreams.
context: Ask all the trivial stuff to that furball over there.\All the information is from him after all.\Hm?\Hmph!\What is this feeling?\Where are you going?\I'm going home to sleep.\Sweet dreams. response:	I don't care!
context: All the information is from him after all.\Hm?\Hmph!\What is this feeling?\Where are you going?\I'm going home to sleep.\Sweet dreams.\I don't care! response:	It's just no fun that the flower I failed to pick is going to be trampled by those guys.
context: Hm?\Hmph!\What is this feeling?\Where are you going?\I'm going home to sleep.\Sweet dreams.\I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys. response:	That's all.
context: Hmph!\What is this feeling?\Where are you going?\I'm going home to sleep.\Sweet dreams.\I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all. response:	Isn't it a bit too reckless?
context: What is this feeling?\Where are you going?\I'm going home to sleep.\Sweet dreams.\I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all.\Isn't it a bit too reckless? response:	A youkai will certainly discover that it's not me.
context: Where are you going?\I'm going home to sleep.\Sweet dreams.\I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all.\Isn't it a bit too reckless?\A youkai will certainly discover that it's not me. response:	Stop with this talk about youkai already!
context: I'm going home to sleep.\Sweet dreams.\I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all.\Isn't it a bit too reckless?\A youkai will certainly discover that it's not me.\Stop with this talk about youkai already! response:	Anyway, I can't lose face before his lordship.
context: Sweet dreams.\I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all.\Isn't it a bit too reckless?\A youkai will certainly discover that it's not me.\Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship. response:	You better hold your tongue and do as I say!
context: I don't care!\It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all.\Isn't it a bit too reckless?\A youkai will certainly discover that it's not me.\Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say! response:	How horrible!
context: It's just no fun that the flower I failed to pick is going to be trampled by those guys.\That's all.\Isn't it a bit too reckless?\A youkai will certainly discover that it's not me.\Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say!\How horrible! response:	Master only thinks about protecting himself.
context: That's all.\Isn't it a bit too reckless?\A youkai will certainly discover that it's not me.\Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say!\How horrible!\Master only thinks about protecting himself. response:	He doesn't care about my lady even a little bit!
context: Isn't it a bit too reckless?\A youkai will certainly discover that it's not me.\Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say!\How horrible!\Master only thinks about protecting himself.\He doesn't care about my lady even a little bit! response:	But father, if the youkai see through the impostor, they might come to attack this mansion.
context: A youkai will certainly discover that it's not me.\Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say!\How horrible!\Master only thinks about protecting himself.\He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion. response:	Hm!? True!
context: Stop with this talk about youkai already!\Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say!\How horrible!\Master only thinks about protecting himself.\He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True! response:	You're their target, so they must be knowing how beautiful you are.
context: Anyway, I can't lose face before his lordship.\You better hold your tongue and do as I say!\How horrible!\Master only thinks about protecting himself.\He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True!\You're their target, so they must be knowing how beautiful you are. response:	A girl that filthy may not be able to fool them.
context: You better hold your tongue and do as I say!\How horrible!\Master only thinks about protecting himself.\He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True!\You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them. response:	Master, Nanami is ready.
context: How horrible!\Master only thinks about protecting himself.\He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True!\You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them.\Master, Nanami is ready. response:	Her loose, rumpled hair have been arranged.
context: Master only thinks about protecting himself.\He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True!\You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them.\Master, Nanami is ready.\Her loose, rumpled hair have been arranged. response:	With this, she shall fill in suitably for Yukiji-sama.
context: He doesn't care about my lady even a little bit!\But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True!\You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them.\Master, Nanami is ready.\Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama. response:	Why, she's barely recognizable!
context: But father, if the youkai see through the impostor, they might come to attack this mansion.\Hm!? True!\You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them.\Master, Nanami is ready.\Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable! response:	To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!
context: Hm!? True!\You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them.\Master, Nanami is ready.\Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her! response:	Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.
context: You're their target, so they must be knowing how beautiful you are.\A girl that filthy may not be able to fool them.\Master, Nanami is ready.\Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong. response:	Their appearances alone are nearly the same.
context: A girl that filthy may not be able to fool them.\Master, Nanami is ready.\Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same. response:	Can two complete strangers look this alike?
context: Master, Nanami is ready.\Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same.\Can two complete strangers look this alike? response:	Perhaps Nanami is Yukiji-sama's relative...?
context: Her loose, rumpled hair have been arranged.\With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same.\Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...? response:	Idiot! Did you think I would thank you for looking like that!?
context: With this, she shall fill in suitably for Yukiji-sama.\Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same.\Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!? response:	I don't want to be happy by letting you die!
context: Why, she's barely recognizable!\To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same.\Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die! response:	It's a nuisance!
