context: Akiteru, how long are you able to stay? response:	I have to go back to work on the 14th,
context: and our only chance to fight them again is at the Spring Tournament.\We're going to beat them, as a team.\I'm going to defeat you, Great King!\That's my line!\Achoo!\I just got a chill...\If you catch a cold, I'm going to punch you.\That's going way too far! response:	Two blockers!
context: We're going to beat them, as a team.\I'm going to defeat you, Great King!\That's my line!\Achoo!\I just got a chill...\If you catch a cold, I'm going to punch you.\That's going way too far!\Two blockers! response:	All right!
context: I'm going to defeat you, Great King!\That's my line!\Achoo!\I just got a chill...\If you catch a cold, I'm going to punch you.\That's going way too far!\Two blockers!\All right! response:	Adults definitely have much more power...
context: That's my line!\Achoo!\I just got a chill...\If you catch a cold, I'm going to punch you.\That's going way too far!\Two blockers!\All right!\Adults definitely have much more power... response:	What the hell?
context: Achoo!\I just got a chill...\If you catch a cold, I'm going to punch you.\That's going way too far!\Two blockers!\All right!\Adults definitely have much more power...\What the hell? response:	You're such a twig!
context: I just got a chill...\If you catch a cold, I'm going to punch you.\That's going way too far!\Two blockers!\All right!\Adults definitely have much more power...\What the hell?\You're such a twig! response:	You eating properly?
context: If you catch a cold, I'm going to punch you.\That's going way too far!\Two blockers!\All right!\Adults definitely have much more power...\What the hell?\You're such a twig!\You eating properly? response:	Can I go home now?
context: That's going way too far!\Two blockers!\All right!\Adults definitely have much more power...\What the hell?\You're such a twig!\You eating properly?\Can I go home now? response:	Now, now, Akaizawa-san. Just watch.
context: Two blockers!\All right!\Adults definitely have much more power...\What the hell?\You're such a twig!\You eating properly?\Can I go home now?\Now, now, Akaizawa-san. Just watch. response:	My little brother will show you a thing or two.
context: All right!\Adults definitely have much more power...\What the hell?\You're such a twig!\You eating properly?\Can I go home now?\Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two. response:	Like I'd lose to this puny little high schooler.
context: Adults definitely have much more power...\What the hell?\You're such a twig!\You eating properly?\Can I go home now?\Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler. response:	Kaji Wild Dogs
context: What the hell?\You're such a twig!\You eating properly?\Can I go home now?\Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler.\Kaji Wild Dogs response:	He loves riling people up.
context: You're such a twig!\You eating properly?\Can I go home now?\Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler.\Kaji Wild Dogs\He loves riling people up. response:	Forgive him.
context: You eating properly?\Can I go home now?\Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler.\Kaji Wild Dogs\He loves riling people up.\Forgive him. response:	Hey, can you stop Ushiwaka, Tsukishima?
context: Can I go home now?\Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler.\Kaji Wild Dogs\He loves riling people up.\Forgive him.\Hey, can you stop Ushiwaka, Tsukishima? response:	You think it's only obvious if you lose, don't you?
context: Now, now, Akaizawa-san. Just watch.\My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler.\Kaji Wild Dogs\He loves riling people up.\Forgive him.\Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you? response:	Maybe that's because you suck.
context: My little brother will show you a thing or two.\Like I'd lose to this puny little high schooler.\Kaji Wild Dogs\He loves riling people up.\Forgive him.\Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you?\Maybe that's because you suck. response:	Tch.
context: Like I'd lose to this puny little high schooler.\Kaji Wild Dogs\He loves riling people up.\Forgive him.\Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you?\Maybe that's because you suck.\Tch. response:	Um...
context: Kaji Wild Dogs\He loves riling people up.\Forgive him.\Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you?\Maybe that's because you suck.\Tch.\Um... response:	Is there a way to stop an opponent's spike
context: He loves riling people up.\Forgive him.\Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you?\Maybe that's because you suck.\Tch.\Um...\Is there a way to stop an opponent's spike response:	when they are taller or stronger than you?
context: Forgive him.\Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you?\Maybe that's because you suck.\Tch.\Um...\Is there a way to stop an opponent's spike\when they are taller or stronger than you? response:	Aoba Johsai Private High School
context: Hey, can you stop Ushiwaka, Tsukishima?\You think it's only obvious if you lose, don't you?\Maybe that's because you suck.\Tch.\Um...\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\Aoba Johsai Private High School response:	Hey!
context: You think it's only obvious if you lose, don't you?\Maybe that's because you suck.\Tch.\Um...\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\Aoba Johsai Private High School\Hey! response:	Now that you've finally decided to show up, you should at least announce yourself!
context: Maybe that's because you suck.\Tch.\Um...\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\Aoba Johsai Private High School\Hey!\Now that you've finally decided to show up, you should at least announce yourself! response:	Now, now, now.
context: Tch.\Um...\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\Aoba Johsai Private High School\Hey!\Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now. response:	Calm down, Yahaba.
context: Um...\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\Aoba Johsai Private High School\Hey!\Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now.\Calm down, Yahaba. response:	Oikawa-san...
context: Is there a way to stop an opponent's spike\when they are taller or stronger than you?\Aoba Johsai Private High School\Hey!\Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now.\Calm down, Yahaba.\Oikawa-san... response:	It's been a while. I've been waiting for you.
context: when they are taller or stronger than you?\Aoba Johsai Private High School\Hey!\Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now.\Calm down, Yahaba.\Oikawa-san...\It's been a while. I've been waiting for you. response:	Haikyu!!
context: Aoba Johsai Private High School\Hey!\Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now.\Calm down, Yahaba.\Oikawa-san...\It's been a while. I've been waiting for you.\Haikyu!! response:	Haikyu!!
context: Hey!\Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now.\Calm down, Yahaba.\Oikawa-san...\It's been a while. I've been waiting for you.\Haikyu!!\Haikyu!! response:	Wait, who's this Mad Dog?
context: Now that you've finally decided to show up, you should at least announce yourself!\Now, now, now.\Calm down, Yahaba.\Oikawa-san...\It's been a while. I've been waiting for you.\Haikyu!!\Haikyu!!\Wait, who's this Mad Dog? response:	A second-year named Kyotani Kentaro.
context: Now, now, now.\Calm down, Yahaba.\Oikawa-san...\It's been a while. I've been waiting for you.\Haikyu!!\Haikyu!!\Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro. response:	Oikawa-san just decided to call him Mad Dog.
context: Calm down, Yahaba.\Oikawa-san...\It's been a while. I've been waiting for you.\Haikyu!!\Haikyu!!\Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog. response:	He was pretty famous in junior high, remember?
context: Oikawa-san...\It's been a while. I've been waiting for you.\Haikyu!!\Haikyu!!\Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember? response:	Oh, yeah. I remember.
context: It's been a while. I've been waiting for you.\Haikyu!!\Haikyu!!\Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember?\Oh, yeah. I remember. response:	Minamisan Junior High was strong just that year.
context: Haikyu!!\Haikyu!!\Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember?\Oh, yeah. I remember.\Minamisan Junior High was strong just that year. response:	Izumitate Minamisan Jr. High
context: Haikyu!!\Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember?\Oh, yeah. I remember.\Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High response:	He was never a team player,
context: Wait, who's this Mad Dog?\A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember?\Oh, yeah. I remember.\Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High\He was never a team player, response:	but his abilities were superb for our grade.
context: A second-year named Kyotani Kentaro.\Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember?\Oh, yeah. I remember.\Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High\He was never a team player,\but his abilities were superb for our grade. response:	As soon as he joined the club,
context: Oikawa-san just decided to call him Mad Dog.\He was pretty famous in junior high, remember?\Oh, yeah. I remember.\Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High\He was never a team player,\but his abilities were superb for our grade.\As soon as he joined the club, response:	he had a chance to be in a practice match...
context: He was pretty famous in junior high, remember?\Oh, yeah. I remember.\Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High\He was never a team player,\but his abilities were superb for our grade.\As soon as he joined the club,\he had a chance to be in a practice match... response:	But he suddenly butted heads with the third-years.
context: Oh, yeah. I remember.\Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High\He was never a team player,\but his abilities were superb for our grade.\As soon as he joined the club,\he had a chance to be in a practice match...\But he suddenly butted heads with the third-years. response:	What he said may have been accurate, but the way he said it...
context: Minamisan Junior High was strong just that year.\Izumitate Minamisan Jr. High\He was never a team player,\but his abilities were superb for our grade.\As soon as he joined the club,\he had a chance to be in a practice match...\But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it... response:	The toss is too far from the net and hard to hit!
context: Izumitate Minamisan Jr. High\He was never a team player,\but his abilities were superb for our grade.\As soon as he joined the club,\he had a chance to be in a practice match...\But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit! response:	You could have totally followed up on that! You suck!
context: He was never a team player,\but his abilities were superb for our grade.\As soon as he joined the club,\he had a chance to be in a practice match...\But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck! response:	His attitude toward the third-years didn't change,
context: but his abilities were superb for our grade.\As soon as he joined the club,\he had a chance to be in a practice match...\But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change, response:	and he eventually stopped showing up.
context: As soon as he joined the club,\he had a chance to be in a practice match...\But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change,\and he eventually stopped showing up. response:	What the hell?
context: he had a chance to be in a practice match...\But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change,\and he eventually stopped showing up.\What the hell? response:	There are still third-years around?
context: But he suddenly butted heads with the third-years.\What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change,\and he eventually stopped showing up.\What the hell?\There are still third-years around? response:	I thought all of you would have retired
context: What he said may have been accurate, but the way he said it...\The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change,\and he eventually stopped showing up.\What the hell?\There are still third-years around?\I thought all of you would have retired response:	after losing in the Inter-High prelims.
context: The toss is too far from the net and hard to hit!\You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change,\and he eventually stopped showing up.\What the hell?\There are still third-years around?\I thought all of you would have retired\after losing in the Inter-High prelims. response:	You're as funny as always, Mad Dog-chan.
context: You could have totally followed up on that! You suck!\His attitude toward the third-years didn't change,\and he eventually stopped showing up.\What the hell?\There are still third-years around?\I thought all of you would have retired\after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan. response:	I wish you'd stop calling me that.
context: His attitude toward the third-years didn't change,\and he eventually stopped showing up.\What the hell?\There are still third-years around?\I thought all of you would have retired\after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that. response:	Ah, I'm so happy I got to play
context: and he eventually stopped showing up.\What the hell?\There are still third-years around?\I thought all of you would have retired\after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that.\Ah, I'm so happy I got to play response:	on the team while Oikawa-san was still here.
context: What the hell?\There are still third-years around?\I thought all of you would have retired\after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that.\Ah, I'm so happy I got to play\on the team while Oikawa-san was still here. response:	I'll make you feel that way.
context: There are still third-years around?\I thought all of you would have retired\after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that.\Ah, I'm so happy I got to play\on the team while Oikawa-san was still here.\I'll make you feel that way. response:	His natural instincts are making him cautious around Oikawa-san?
context: I thought all of you would have retired\after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that.\Ah, I'm so happy I got to play\on the team while Oikawa-san was still here.\I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san? response:	Metropolitan Nekoma High School
context: after losing in the Inter-High prelims.\You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that.\Ah, I'm so happy I got to play\on the team while Oikawa-san was still here.\I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School response:	So, with the prefectural qualifier in October,
context: You're as funny as always, Mad Dog-chan.\I wish you'd stop calling me that.\Ah, I'm so happy I got to play\on the team while Oikawa-san was still here.\I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School\So, with the prefectural qualifier in October, response:	we'll only be able to go Kanto two more times, including this trip.
context: I wish you'd stop calling me that.\Ah, I'm so happy I got to play\on the team while Oikawa-san was still here.\I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School\So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip. response:	Let's make the best of this chance.
context: Ah, I'm so happy I got to play\on the team while Oikawa-san was still here.\I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School\So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance. response:	Right!
context: on the team while Oikawa-san was still here.\I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School\So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance.\Right! response:	Hey, Tsukki!
context: I'll make you feel that way.\His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School\So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance.\Right!\Hey, Tsukki! response:	Jump block for me! Hey, hey, hey!
context: His natural instincts are making him cautious around Oikawa-san?\Metropolitan Nekoma High School\So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance.\Right!\Hey, Tsukki!\Jump block for me! Hey, hey, hey! response:	Hey!
context: Metropolitan Nekoma High School\So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance.\Right!\Hey, Tsukki!\Jump block for me! Hey, hey, hey!\Hey! response:	Hey!
context: So, with the prefectural qualifier in October,\we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance.\Right!\Hey, Tsukki!\Jump block for me! Hey, hey, hey!\Hey!\Hey! response:	This chapter is titles, Boku Gets Rejected by a Student From Another School.
context: we'll only be able to go Kanto two more times, including this trip.\Let's make the best of this chance.\Right!\Hey, Tsukki!\Jump block for me! Hey, hey, hey!\Hey!\Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School. response:	Yes. Thanks for working with me.
context: Let's make the best of this chance.\Right!\Hey, Tsukki!\Jump block for me! Hey, hey, hey!\Hey!\Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me. response:	What?!
context: Right!\Hey, Tsukki!\Jump block for me! Hey, hey, hey!\Hey!\Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me.\What?! response:	Why are you so surprised when you're the one who asked him?
context: Hey, Tsukki!\Jump block for me! Hey, hey, hey!\Hey!\Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me.\What?!\Why are you so surprised when you're the one who asked him? response:	Is there a way to stop an opponent's spike
context: Jump block for me! Hey, hey, hey!\Hey!\Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me.\What?!\Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike response:	when they are taller or stronger than you?
context: Hey!\Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me.\What?!\Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike\when they are taller or stronger than you? response:	What do you think is most important when blocking?
context: Hey!\This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me.\What?!\Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\What do you think is most important when blocking? response:	Height?
context: This chapter is titles, Boku Gets Rejected by a Student From Another School.\Yes. Thanks for working with me.\What?!\Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\What do you think is most important when blocking?\Height? response:	It's timing.
context: Yes. Thanks for working with me.\What?!\Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\What do you think is most important when blocking?\Height?\It's timing. response:	To put it simply, if their hands are above the net,
context: What?!\Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\What do you think is most important when blocking?\Height?\It's timing.\To put it simply, if their hands are above the net, response:	even a grade-schooler could stop one of Tanaka's spikes.
context: Why are you so surprised when you're the one who asked him?\Is there a way to stop an opponent's spike\when they are taller or stronger than you?\What do you think is most important when blocking?\Height?\It's timing.\To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes. response:	What?!
context: Is there a way to stop an opponent's spike\when they are taller or stronger than you?\What do you think is most important when blocking?\Height?\It's timing.\To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes.\What?! response:	Provided their timing is perfect.
context: when they are taller or stronger than you?\What do you think is most important when blocking?\Height?\It's timing.\To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes.\What?!\Provided their timing is perfect. response:	Of course, how you have your hands out,
context: What do you think is most important when blocking?\Height?\It's timing.\To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes.\What?!\Provided their timing is perfect.\Of course, how you have your hands out, response:	and reading the course of the ball is important, too.
context: Height?\It's timing.\To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes.\What?!\Provided their timing is perfect.\Of course, how you have your hands out,\and reading the course of the ball is important, too. response:	But even if I can explain this verbally,
context: It's timing.\To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes.\What?!\Provided their timing is perfect.\Of course, how you have your hands out,\and reading the course of the ball is important, too.\But even if I can explain this verbally, response:	I'm not good enough to actually show you.
context: To put it simply, if their hands are above the net,\even a grade-schooler could stop one of Tanaka's spikes.\What?!\Provided their timing is perfect.\Of course, how you have your hands out,\and reading the course of the ball is important, too.\But even if I can explain this verbally,\I'm not good enough to actually show you. response:	Someone nearby with good individual skills
context: even a grade-schooler could stop one of Tanaka's spikes.\What?!\Provided their timing is perfect.\Of course, how you have your hands out,\and reading the course of the ball is important, too.\But even if I can explain this verbally,\I'm not good enough to actually show you.\Someone nearby with good individual skills response:	who is a good example when it comes to blocking
context: What?!\Provided their timing is perfect.\Of course, how you have your hands out,\and reading the course of the ball is important, too.\But even if I can explain this verbally,\I'm not good enough to actually show you.\Someone nearby with good individual skills\who is a good example when it comes to blocking response:	would probably be Kuroo from Nekoma.
context: Provided their timing is perfect.\Of course, how you have your hands out,\and reading the course of the ball is important, too.\But even if I can explain this verbally,\I'm not good enough to actually show you.\Someone nearby with good individual skills\who is a good example when it comes to blocking\would probably be Kuroo from Nekoma. response:	Lev!
context: Of course, how you have your hands out,\and reading the course of the ball is important, too.\But even if I can explain this verbally,\I'm not good enough to actually show you.\Someone nearby with good individual skills\who is a good example when it comes to blocking\would probably be Kuroo from Nekoma.\Lev! response:	Timing...
context: and reading the course of the ball is important, too.\But even if I can explain this verbally,\I'm not good enough to actually show you.\Someone nearby with good individual skills\who is a good example when it comes to blocking\would probably be Kuroo from Nekoma.\Lev!\Timing... response:	Having the top of the block up
context: But even if I can explain this verbally,\I'm not good enough to actually show you.\Someone nearby with good individual skills\who is a good example when it comes to blocking\would probably be Kuroo from Nekoma.\Lev!\Timing...\Having the top of the block up response:	right when your opponent is about to hit their spike.
context: I'm not good enough to actually show you.\Someone nearby with good individual skills\who is a good example when it comes to blocking\would probably be Kuroo from Nekoma.\Lev!\Timing...\Having the top of the block up\right when your opponent is about to hit their spike. response:	I-I'm going to make it through next time!
context: Someone nearby with good individual skills\who is a good example when it comes to blocking\would probably be Kuroo from Nekoma.\Lev!\Timing...\Having the top of the block up\right when your opponent is about to hit their spike.\I-I'm going to make it through next time! response:	Hey, Tsukki.
context: who is a good example when it comes to blocking\would probably be Kuroo from Nekoma.\Lev!\Timing...\Having the top of the block up\right when your opponent is about to hit their spike.\I-I'm going to make it through next time!\Hey, Tsukki. response:	How long are you just gonna watch?
context: would probably be Kuroo from Nekoma.\Lev!\Timing...\Having the top of the block up\right when your opponent is about to hit their spike.\I-I'm going to make it through next time!\Hey, Tsukki.\How long are you just gonna watch? response:	Sorry.
context: Lev!\Timing...\Having the top of the block up\right when your opponent is about to hit their spike.\I-I'm going to make it through next time!\Hey, Tsukki.\How long are you just gonna watch?\Sorry. response:	Pardon the intrusion.
context: Timing...\Having the top of the block up\right when your opponent is about to hit their spike.\I-I'm going to make it through next time!\Hey, Tsukki.\How long are you just gonna watch?\Sorry.\Pardon the intrusion. response:	Shinzen Karasuno
context: Having the top of the block up\right when your opponent is about to hit their spike.\I-I'm going to make it through next time!\Hey, Tsukki.\How long are you just gonna watch?\Sorry.\Pardon the intrusion.\Shinzen Karasuno response:	It appears that the quick's success rate is still about 70.
context: right when your opponent is about to hit their spike.\I-I'm going to make it through next time!\Hey, Tsukki.\How long are you just gonna watch?\Sorry.\Pardon the intrusion.\Shinzen Karasuno\It appears that the quick's success rate is still about 70. response:	All right!
context: I-I'm going to make it through next time!\Hey, Tsukki.\How long are you just gonna watch?\Sorry.\Pardon the intrusion.\Shinzen Karasuno\It appears that the quick's success rate is still about 70.\All right! response:	Nothing's going to fix that except more practice.
context: Hey, Tsukki.\How long are you just gonna watch?\Sorry.\Pardon the intrusion.\Shinzen Karasuno\It appears that the quick's success rate is still about 70.\All right!\Nothing's going to fix that except more practice. response:	Lev! I told you not to block with your arms spread out!
context: How long are you just gonna watch?\Sorry.\Pardon the intrusion.\Shinzen Karasuno\It appears that the quick's success rate is still about 70.\All right!\Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out! response:	They got through your block!
context: Sorry.\Pardon the intrusion.\Shinzen Karasuno\It appears that the quick's success rate is still about 70.\All right!\Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out!\They got through your block! response:	Your arms need to be together enough so the ball won't go through!
context: Pardon the intrusion.\Shinzen Karasuno\It appears that the quick's success rate is still about 70.\All right!\Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out!\They got through your block!\Your arms need to be together enough so the ball won't go through! response:	Right.
context: Shinzen Karasuno\It appears that the quick's success rate is still about 70.\All right!\Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out!\They got through your block!\Your arms need to be together enough so the ball won't go through!\Right. response:	Karasuno Neighborhood Association
context: It appears that the quick's success rate is still about 70.\All right!\Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out!\They got through your block!\Your arms need to be together enough so the ball won't go through!\Right.\Karasuno Neighborhood Association response:	Karasuno General Athletic Park Indoor Gymnasium
context: All right!\Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out!\They got through your block!\Your arms need to be together enough so the ball won't go through!\Right.\Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium response:	Tokyo Training Camp
context: Nothing's going to fix that except more practice.\Lev! I told you not to block with your arms spread out!\They got through your block!\Your arms need to be together enough so the ball won't go through!\Right.\Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp response:	Qualifier Matches
context: Lev! I told you not to block with your arms spread out!\They got through your block!\Your arms need to be together enough so the ball won't go through!\Right.\Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp\Qualifier Matches response:	Karasuno Nekoma
context: They got through your block!\Your arms need to be together enough so the ball won't go through!\Right.\Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp\Qualifier Matches\Karasuno Nekoma response:	Front! Front!
context: Your arms need to be together enough so the ball won't go through!\Right.\Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp\Qualifier Matches\Karasuno Nekoma\Front! Front! response:	Sorry!
context: Right.\Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp\Qualifier Matches\Karasuno Nekoma\Front! Front!\Sorry! response:	Got it!
context: Karasuno Neighborhood Association\Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp\Qualifier Matches\Karasuno Nekoma\Front! Front!\Sorry!\Got it! response:	Center!
context: Karasuno General Athletic Park Indoor Gymnasium\Tokyo Training Camp\Qualifier Matches\Karasuno Nekoma\Front! Front!\Sorry!\Got it!\Center! response:	Hinata!
context: Tokyo Training Camp\Qualifier Matches\Karasuno Nekoma\Front! Front!\Sorry!\Got it!\Center!\Hinata! response:	Out!
context: Qualifier Matches\Karasuno Nekoma\Front! Front!\Sorry!\Got it!\Center!\Hinata!\Out! response:	Karasuno Nekoma
context: Karasuno Nekoma\Front! Front!\Sorry!\Got it!\Center!\Hinata!\Out!\Karasuno Nekoma response:	Damn it! Sorry about that!
context: Front! Front!\Sorry!\Got it!\Center!\Hinata!\Out!\Karasuno Nekoma\Damn it! Sorry about that! response:	At long last, we can't let our guard down around them.
context: Sorry!\Got it!\Center!\Hinata!\Out!\Karasuno Nekoma\Damn it! Sorry about that!\At long last, we can't let our guard down around them. response:	Yeah.
context: Got it!\Center!\Hinata!\Out!\Karasuno Nekoma\Damn it! Sorry about that!\At long last, we can't let our guard down around them.\Yeah. response:	The nights are cold, even in Tokyo.
context: Center!\Hinata!\Out!\Karasuno Nekoma\Damn it! Sorry about that!\At long last, we can't let our guard down around them.\Yeah.\The nights are cold, even in Tokyo. response:	That's because you didn't put on a jacket after sweating.
context: Hinata!\Out!\Karasuno Nekoma\Damn it! Sorry about that!\At long last, we can't let our guard down around them.\Yeah.\The nights are cold, even in Tokyo.\That's because you didn't put on a jacket after sweating. response:	I can't wait for the match!
context: Out!\Karasuno Nekoma\Damn it! Sorry about that!\At long last, we can't let our guard down around them.\Yeah.\The nights are cold, even in Tokyo.\That's because you didn't put on a jacket after sweating.\I can't wait for the match! response:	Yeah...
context: Karasuno Nekoma\Damn it! Sorry about that!\At long last, we can't let our guard down around them.\Yeah.\The nights are cold, even in Tokyo.\That's because you didn't put on a jacket after sweating.\I can't wait for the match!\Yeah... response:	I've been thinking lately...
