context: What's the status on the Demonic Tool, the Morality Manipulation Machine? response:	Mosquito-sama contacted us earlier.
context: 32 meters until the target.\The passage is 3.2 meters wide.\Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room.\Senrigan, huh?\As expected from a Death Scythe's special ability.\It's reassuring. response:	Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...
context: The passage is 3.2 meters wide.\Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room.\Senrigan, huh?\As expected from a Death Scythe's special ability.\It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but... response:	I'm thankful for being told that.
context: Alright. With this, the map is complete.\Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room.\Senrigan, huh?\As expected from a Death Scythe's special ability.\It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that. response:	Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...
context: Turn right at the hallway 15 meters ahead, then take the stairway on your left.\Our target, the Demonic Tool, is inside that room.\Senrigan, huh?\As expected from a Death Scythe's special ability.\It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance... response:	That certainly isn't something that everyone can do.
context: Our target, the Demonic Tool, is inside that room.\Senrigan, huh?\As expected from a Death Scythe's special ability.\It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do. response:	Proceeding with the plan.
context: Senrigan, huh?\As expected from a Death Scythe's special ability.\It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do.\Proceeding with the plan. response:	May I?
context: As expected from a Death Scythe's special ability.\It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do.\Proceeding with the plan.\May I? response:	Yes, please.
context: It's reassuring.\Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do.\Proceeding with the plan.\May I?\Yes, please. response:	In the target room, even though the response is weak,
context: Since I'm resonating my soul using Sid-san as a medium, I can only see things within a radius of 50 meters, but...\I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do.\Proceeding with the plan.\May I?\Yes, please.\In the target room, even though the response is weak, response:	I feel that response, too...
context: I'm thankful for being told that.\Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do.\Proceeding with the plan.\May I?\Yes, please.\In the target room, even though the response is weak,\I feel that response, too... response:	But our mission is to obtain information and to destroy the Demonic Tool.
context: Even though you're using a wireless radio as a catalyst, we can still achieve Soul Resonance...\That certainly isn't something that everyone can do.\Proceeding with the plan.\May I?\Yes, please.\In the target room, even though the response is weak,\I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool. response:	I have to do it properly.
context: That certainly isn't something that everyone can do.\Proceeding with the plan.\May I?\Yes, please.\In the target room, even though the response is weak,\I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly. response:	Intruder alert! Intruder alert!
context: Proceeding with the plan.\May I?\Yes, please.\In the target room, even though the response is weak,\I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly.\Intruder alert! Intruder alert! response:	Impossible! They found us?
context: May I?\Yes, please.\In the target room, even though the response is weak,\I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly.\Intruder alert! Intruder alert!\Impossible! They found us? response:	Hurry, it's at the main entrance!
context: Yes, please.\In the target room, even though the response is weak,\I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly.\Intruder alert! Intruder alert!\Impossible! They found us?\Hurry, it's at the main entrance! response:	Hurry and get the bodyguard!
context: In the target room, even though the response is weak,\I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly.\Intruder alert! Intruder alert!\Impossible! They found us?\Hurry, it's at the main entrance!\Hurry and get the bodyguard! response:	Main entrance?
context: I feel that response, too...\But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly.\Intruder alert! Intruder alert!\Impossible! They found us?\Hurry, it's at the main entrance!\Hurry and get the bodyguard!\Main entrance? response:	Oi, Azusa, what's going on?
context: But our mission is to obtain information and to destroy the Demonic Tool.\I have to do it properly.\Intruder alert! Intruder alert!\Impossible! They found us?\Hurry, it's at the main entrance!\Hurry and get the bodyguard!\Main entrance?\Oi, Azusa, what's going on? response:	Yes, I'm checking.
context: I have to do it properly.\Intruder alert! Intruder alert!\Impossible! They found us?\Hurry, it's at the main entrance!\Hurry and get the bodyguard!\Main entrance?\Oi, Azusa, what's going on?\Yes, I'm checking. response:	The main entrance is straight ahead through this passage.
context: Intruder alert! Intruder alert!\Impossible! They found us?\Hurry, it's at the main entrance!\Hurry and get the bodyguard!\Main entrance?\Oi, Azusa, what's going on?\Yes, I'm checking.\The main entrance is straight ahead through this passage. response:	Why is a Shibusen student in a place like this?
context: Impossible! They found us?\Hurry, it's at the main entrance!\Hurry and get the bodyguard!\Main entrance?\Oi, Azusa, what's going on?\Yes, I'm checking.\The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this? response:	Keep them coming!
context: Hurry, it's at the main entrance!\Hurry and get the bodyguard!\Main entrance?\Oi, Azusa, what's going on?\Yes, I'm checking.\The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this?\Keep them coming! response:	I'll beat up everybody I see!
context: Hurry and get the bodyguard!\Main entrance?\Oi, Azusa, what's going on?\Yes, I'm checking.\The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this?\Keep them coming!\I'll beat up everybody I see! response:	We have quite a lively guest.
context: Main entrance?\Oi, Azusa, what's going on?\Yes, I'm checking.\The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this?\Keep them coming!\I'll beat up everybody I see!\We have quite a lively guest. response:	Huh? That child...
context: Oi, Azusa, what's going on?\Yes, I'm checking.\The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this?\Keep them coming!\I'll beat up everybody I see!\We have quite a lively guest.\Huh? That child... response:	Ah, you're...!
context: Yes, I'm checking.\The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this?\Keep them coming!\I'll beat up everybody I see!\We have quite a lively guest.\Huh? That child...\Ah, you're...! response:	You bastard...
context: The main entrance is straight ahead through this passage.\Why is a Shibusen student in a place like this?\Keep them coming!\I'll beat up everybody I see!\We have quite a lively guest.\Huh? That child...\Ah, you're...!\You bastard... response:	Mifune, the Bodyguard...
context: Why is a Shibusen student in a place like this?\Keep them coming!\I'll beat up everybody I see!\We have quite a lively guest.\Huh? That child...\Ah, you're...!\You bastard...\Mifune, the Bodyguard... response:	Why are you...?
context: Keep them coming!\I'll beat up everybody I see!\We have quite a lively guest.\Huh? That child...\Ah, you're...!\You bastard...\Mifune, the Bodyguard...\Why are you...? response:	Why?
context: I'll beat up everybody I see!\We have quite a lively guest.\Huh? That child...\Ah, you're...!\You bastard...\Mifune, the Bodyguard...\Why are you...?\Why? response:	For the children's...
context: We have quite a lively guest.\Huh? That child...\Ah, you're...!\You bastard...\Mifune, the Bodyguard...\Why are you...?\Why?\For the children's... response:	For Angela's safety, I draw my sword.
context: Huh? That child...\Ah, you're...!\You bastard...\Mifune, the Bodyguard...\Why are you...?\Why?\For the children's...\For Angela's safety, I draw my sword. response:	Yet, why do children such as yourselves stand before me again?
context: Ah, you're...!\You bastard...\Mifune, the Bodyguard...\Why are you...?\Why?\For the children's...\For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again? response:	What's wrong?
context: You bastard...\Mifune, the Bodyguard...\Why are you...?\Why?\For the children's...\For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again?\What's wrong? response:	Angela-sama, here.
context: Mifune, the Bodyguard...\Why are you...?\Why?\For the children's...\For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again?\What's wrong?\Angela-sama, here. response:	Interesting...
context: Why are you...?\Why?\For the children's...\For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again?\What's wrong?\Angela-sama, here.\Interesting... response:	Very well...
context: Why?\For the children's...\For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again?\What's wrong?\Angela-sama, here.\Interesting...\Very well... response:	My name's Mifune, I'm a samurai.
context: For the children's...\For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again?\What's wrong?\Angela-sama, here.\Interesting...\Very well...\My name's Mifune, I'm a samurai. response:	There's nothing that can cross me that I can't cut down.
context: For Angela's safety, I draw my sword.\Yet, why do children such as yourselves stand before me again?\What's wrong?\Angela-sama, here.\Interesting...\Very well...\My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down. response:	This is...
context: Yet, why do children such as yourselves stand before me again?\What's wrong?\Angela-sama, here.\Interesting...\Very well...\My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down.\This is... response:	It's so cute that I can't cut it down.
context: What's wrong?\Angela-sama, here.\Interesting...\Very well...\My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down.\This is...\It's so cute that I can't cut it down. response:	What regret!
context: Angela-sama, here.\Interesting...\Very well...\My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down.\This is...\It's so cute that I can't cut it down.\What regret! response:	My name's Mifune, I'm a samurai.
context: Interesting...\Very well...\My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down.\This is...\It's so cute that I can't cut it down.\What regret!\My name's Mifune, I'm a samurai. response:	There's mostly nothing that can cross me that I can't cut down.
context: Very well...\My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down.\This is...\It's so cute that I can't cut it down.\What regret!\My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down. response:	This is...
context: My name's Mifune, I'm a samurai.\There's nothing that can cross me that I can't cut down.\This is...\It's so cute that I can't cut it down.\What regret!\My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down.\This is... response:	Her bottom is showing so much that I can't cut it down.
context: There's nothing that can cross me that I can't cut down.\This is...\It's so cute that I can't cut it down.\What regret!\My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down.\This is...\Her bottom is showing so much that I can't cut it down. response:	What regret!
context: This is...\It's so cute that I can't cut it down.\What regret!\My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down.\This is...\Her bottom is showing so much that I can't cut it down.\What regret! response:	I'm coming!
context: It's so cute that I can't cut it down.\What regret!\My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down.\This is...\Her bottom is showing so much that I can't cut it down.\What regret!\I'm coming! response:	Infinite One Sword Style.
context: What regret!\My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down.\This is...\Her bottom is showing so much that I can't cut it down.\What regret!\I'm coming!\Infinite One Sword Style. response:	Even though they're just stuck in the ground, I can feel how dangerous each sword is.
context: My name's Mifune, I'm a samurai.\There's mostly nothing that can cross me that I can't cut down.\This is...\Her bottom is showing so much that I can't cut it down.\What regret!\I'm coming!\Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is. response:	He could withstand Mifune's attack?
context: There's mostly nothing that can cross me that I can't cut down.\This is...\Her bottom is showing so much that I can't cut it down.\What regret!\I'm coming!\Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack? response:	You evaded the sword and followed that up with a prompt counterattack.
context: This is...\Her bottom is showing so much that I can't cut it down.\What regret!\I'm coming!\Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack. response:	With each and every move, I can understand...
context: Her bottom is showing so much that I can't cut it down.\What regret!\I'm coming!\Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand... response:	This is why children...
context: What regret!\I'm coming!\Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand...\This is why children... response:	Don't make me laugh!
context: I'm coming!\Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand...\This is why children...\Don't make me laugh! response:	I've already defeated you once!
context: Infinite One Sword Style.\Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand...\This is why children...\Don't make me laugh!\I've already defeated you once! response:	Stop talking so arrogantly.
context: Even though they're just stuck in the ground, I can feel how dangerous each sword is.\He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand...\This is why children...\Don't make me laugh!\I've already defeated you once!\Stop talking so arrogantly. response:	You're the one who's arrogant!
context: He could withstand Mifune's attack?\You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand...\This is why children...\Don't make me laugh!\I've already defeated you once!\Stop talking so arrogantly.\You're the one who's arrogant! response:	Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.
context: You evaded the sword and followed that up with a prompt counterattack.\With each and every move, I can understand...\This is why children...\Don't make me laugh!\I've already defeated you once!\Stop talking so arrogantly.\You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you. response:	Why would such a person...
context: With each and every move, I can understand...\This is why children...\Don't make me laugh!\I've already defeated you once!\Stop talking so arrogantly.\You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person... response:	I won't tolerate any restraint.
context: This is why children...\Don't make me laugh!\I've already defeated you once!\Stop talking so arrogantly.\You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person...\I won't tolerate any restraint. response:	You get that, right?
context: Don't make me laugh!\I've already defeated you once!\Stop talking so arrogantly.\You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person...\I won't tolerate any restraint.\You get that, right? response:	Even if the opponent is a child, I can't afford to lose twice to the same person.
context: I've already defeated you once!\Stop talking so arrogantly.\You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person...\I won't tolerate any restraint.\You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person. response:	This is meant to be the Demonic Tool?
context: Stop talking so arrogantly.\You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person...\I won't tolerate any restraint.\You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool? response:	Seems like it's supposed to manipulate people's morality.
context: You're the one who's arrogant!\Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person...\I won't tolerate any restraint.\You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality. response:	This is...
context: Mifune cares deeply for children, so he would never be able to fight seriously against a kid like you.\Why would such a person...\I won't tolerate any restraint.\You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality.\This is... response:	I'm taking this back.
context: Why would such a person...\I won't tolerate any restraint.\You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality.\This is...\I'm taking this back. response:	Azusa, what's the situation on the front gate?
context: I won't tolerate any restraint.\You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality.\This is...\I'm taking this back.\Azusa, what's the situation on the front gate? response:	The Shibusen student is fighting the person with the powerful soul.
context: You get that, right?\Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality.\This is...\I'm taking this back.\Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul. response:	However, the power gap...
context: Even if the opponent is a child, I can't afford to lose twice to the same person.\This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality.\This is...\I'm taking this back.\Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul.\However, the power gap... response:	Tsubaki, Chain-Scythe Mode!
context: This is meant to be the Demonic Tool?\Seems like it's supposed to manipulate people's morality.\This is...\I'm taking this back.\Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul.\However, the power gap...\Tsubaki, Chain-Scythe Mode! response:	Yes!
context: Seems like it's supposed to manipulate people's morality.\This is...\I'm taking this back.\Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul.\However, the power gap...\Tsubaki, Chain-Scythe Mode!\Yes! response:	It's about time we destroy the real thing.
context: This is...\I'm taking this back.\Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul.\However, the power gap...\Tsubaki, Chain-Scythe Mode!\Yes!\It's about time we destroy the real thing. response:	It was unexpected, but thanks to that rampaging Shibusen student,
context: I'm taking this back.\Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul.\However, the power gap...\Tsubaki, Chain-Scythe Mode!\Yes!\It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student, response:	I don't know who you are, but wait for me...
context: Azusa, what's the situation on the front gate?\The Shibusen student is fighting the person with the powerful soul.\However, the power gap...\Tsubaki, Chain-Scythe Mode!\Yes!\It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me... response:	I'll use some of your power!
context: The Shibusen student is fighting the person with the powerful soul.\However, the power gap...\Tsubaki, Chain-Scythe Mode!\Yes!\It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me...\I'll use some of your power! response:	You're not getting away!
context: However, the power gap...\Tsubaki, Chain-Scythe Mode!\Yes!\It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me...\I'll use some of your power!\You're not getting away! response:	Three Sword Path!
context: Tsubaki, Chain-Scythe Mode!\Yes!\It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me...\I'll use some of your power!\You're not getting away!\Three Sword Path! response:	Black Star!
context: Yes!\It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me...\I'll use some of your power!\You're not getting away!\Three Sword Path!\Black Star! response:	Smoke Bomb Mode.
context: It's about time we destroy the real thing.\It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me...\I'll use some of your power!\You're not getting away!\Three Sword Path!\Black Star!\Smoke Bomb Mode. response:	Ninja Blade, Chain-Scythe, Smoke Bomb...
context: It was unexpected, but thanks to that rampaging Shibusen student,\I don't know who you are, but wait for me...\I'll use some of your power!\You're not getting away!\Three Sword Path!\Black Star!\Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb... response:	Ninja Blade, Chain-Scythe, Smoke Bomb...
context: I don't know who you are, but wait for me...\I'll use some of your power!\You're not getting away!\Three Sword Path!\Black Star!\Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb... response:	Ninja Blade, Chain-Scythe, Smoke Bomb...
context: I'll use some of your power!\You're not getting away!\Three Sword Path!\Black Star!\Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb... response:	That Demonic Weapon, could it be?
context: You're not getting away!\Three Sword Path!\Black Star!\Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be? response:	You're a lifesaver, Tsubaki.
context: Three Sword Path!\Black Star!\Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki. response:	Demon Blade Mode!
context: Black Star!\Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki.\Demon Blade Mode! response:	There's no mistake...
context: Smoke Bomb Mode.\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki.\Demon Blade Mode!\There's no mistake... response:	A direct relative to the Demonic Weapons Arachne-sama created...
context: Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki.\Demon Blade Mode!\There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created... response:	I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?
context: Ninja Blade, Chain-Scythe, Smoke Bomb...\Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki.\Demon Blade Mode!\There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh? response:	Let's go!
context: Ninja Blade, Chain-Scythe, Smoke Bomb...\That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki.\Demon Blade Mode!\There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go! response:	Such an ominous blade...
context: That Demonic Weapon, could it be?\You're a lifesaver, Tsubaki.\Demon Blade Mode!\There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go!\Such an ominous blade... response:	Tsubaki!
context: You're a lifesaver, Tsubaki.\Demon Blade Mode!\There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go!\Such an ominous blade...\Tsubaki! response:	Yes!
context: Demon Blade Mode!\There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go!\Such an ominous blade...\Tsubaki!\Yes! response:	Shadow Star!
context: There's no mistake...\A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go!\Such an ominous blade...\Tsubaki!\Yes!\Shadow Star! response:	Is that it, Demon Blade?
context: A direct relative to the Demonic Weapons Arachne-sama created...\I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go!\Such an ominous blade...\Tsubaki!\Yes!\Shadow Star!\Is that it, Demon Blade? response:	Is that it, Demon Blade?
context: I heard that the Nakatsukasa family was taken in by Shinigami, but this is it, huh?\Let's go!\Such an ominous blade...\Tsubaki!\Yes!\Shadow Star!\Is that it, Demon Blade?\Is that it, Demon Blade? response:	He broke through!
context: Let's go!\Such an ominous blade...\Tsubaki!\Yes!\Shadow Star!\Is that it, Demon Blade?\Is that it, Demon Blade?\He broke through! response:	Infinite One Sword Style.
context: Such an ominous blade...\Tsubaki!\Yes!\Shadow Star!\Is that it, Demon Blade?\Is that it, Demon Blade?\He broke through!\Infinite One Sword Style. response:	Addition: One Blow!
context: Tsubaki!\Yes!\Shadow Star!\Is that it, Demon Blade?\Is that it, Demon Blade?\He broke through!\Infinite One Sword Style.\Addition: One Blow! response:	Two Blows!
context: Yes!\Shadow Star!\Is that it, Demon Blade?\Is that it, Demon Blade?\He broke through!\Infinite One Sword Style.\Addition: One Blow!\Two Blows! response:	Three Blows!
context: Shadow Star!\Is that it, Demon Blade?\Is that it, Demon Blade?\He broke through!\Infinite One Sword Style.\Addition: One Blow!\Two Blows!\Three Blows! response:	Four Blows!
context: Is that it, Demon Blade?\Is that it, Demon Blade?\He broke through!\Infinite One Sword Style.\Addition: One Blow!\Two Blows!\Three Blows!\Four Blows! response:	Five Blows!
context: Is that it, Demon Blade?\He broke through!\Infinite One Sword Style.\Addition: One Blow!\Two Blows!\Three Blows!\Four Blows!\Five Blows! response:	Six Blows!
context: He broke through!\Infinite One Sword Style.\Addition: One Blow!\Two Blows!\Three Blows!\Four Blows!\Five Blows!\Six Blows! response:	Seven Blows!
context: Infinite One Sword Style.\Addition: One Blow!\Two Blows!\Three Blows!\Four Blows!\Five Blows!\Six Blows!\Seven Blows! response:	Eight!
context: Addition: One Blow!\Two Blows!\Three Blows!\Four Blows!\Five Blows!\Six Blows!\Seven Blows!\Eight! response:	Nine!
context: Two Blows!\Three Blows!\Four Blows!\Five Blows!\Six Blows!\Seven Blows!\Eight!\Nine! response:	Ten!
context: Three Blows!\Four Blows!\Five Blows!\Six Blows!\Seven Blows!\Eight!\Nine!\Ten! response:	Eleven!
context: Four Blows!\Five Blows!\Six Blows!\Seven Blows!\Eight!\Nine!\Ten!\Eleven! response:	Twelve Blows!
context: Five Blows!\Six Blows!\Seven Blows!\Eight!\Nine!\Ten!\Eleven!\Twelve Blows! response:	Multiplication...!
context: Six Blows!\Seven Blows!\Eight!\Nine!\Ten!\Eleven!\Twelve Blows!\Multiplication...! response:	He's striking the surrounding blades?
context: Seven Blows!\Eight!\Nine!\Ten!\Eleven!\Twelve Blows!\Multiplication...!\He's striking the surrounding blades? response:	Twenty-four Blows!
context: Eight!\Nine!\Ten!\Eleven!\Twelve Blows!\Multiplication...!\He's striking the surrounding blades?\Twenty-four Blows! response:	All twelve swords cut him at the same time.
context: Nine!\Ten!\Eleven!\Twelve Blows!\Multiplication...!\He's striking the surrounding blades?\Twenty-four Blows!\All twelve swords cut him at the same time. response:	Black Star!
context: Ten!\Eleven!\Twelve Blows!\Multiplication...!\He's striking the surrounding blades?\Twenty-four Blows!\All twelve swords cut him at the same time.\Black Star! response:	You've had enough, right?
context: Eleven!\Twelve Blows!\Multiplication...!\He's striking the surrounding blades?\Twenty-four Blows!\All twelve swords cut him at the same time.\Black Star!\You've had enough, right? response:	The wounds are shallow.
context: Twelve Blows!\Multiplication...!\He's striking the surrounding blades?\Twenty-four Blows!\All twelve swords cut him at the same time.\Black Star!\You've had enough, right?\The wounds are shallow. response:	You're called Tsubaki, aren't you?
