context: Exams suck! response:	I'm so sick of this.
context: Someone recommended them to me.\Why don't you read one, if you're curious?\I have plenty, too.\Yeah...\Daisuke!\Coming.\Chiba\Chiba high schools response:	Are you up?
context: Why don't you read one, if you're curious?\I have plenty, too.\Yeah...\Daisuke!\Coming.\Chiba\Chiba high schools\Are you up? response:	Yeah, I'm still awake
context: I have plenty, too.\Yeah...\Daisuke!\Coming.\Chiba\Chiba high schools\Are you up?\Yeah, I'm still awake response:	What's up?
context: Yeah...\Daisuke!\Coming.\Chiba\Chiba high schools\Are you up?\Yeah, I'm still awake\What's up? response:	Studying
context: Daisuke!\Coming.\Chiba\Chiba high schools\Are you up?\Yeah, I'm still awake\What's up?\Studying response:	I lied... I was going to study, but I ended up reading... ;
context: Coming.\Chiba\Chiba high schools\Are you up?\Yeah, I'm still awake\What's up?\Studying\I lied... I was going to study, but I ended up reading... ; response:	x_x
context: Chiba\Chiba high schools\Are you up?\Yeah, I'm still awake\What's up?\Studying\I lied... I was going to study, but I ended up reading... ;\x_x response:	GG
context: Chiba high schools\Are you up?\Yeah, I'm still awake\What's up?\Studying\I lied... I was going to study, but I ended up reading... ;\x_x\GG response:	About tomorrow...
context: Are you up?\Yeah, I'm still awake\What's up?\Studying\I lied... I was going to study, but I ended up reading... ;\x_x\GG\About tomorrow... response:	Yeah?
context: Yeah, I'm still awake\What's up?\Studying\I lied... I was going to study, but I ended up reading... ;\x_x\GG\About tomorrow...\Yeah? response:	I think my club will run late, so go home without me >_<
context: What's up?\Studying\I lied... I was going to study, but I ended up reading... ;\x_x\GG\About tomorrow...\Yeah?\I think my club will run late, so go home without me >_< response:	Okay
context: Studying\I lied... I was going to study, but I ended up reading... ;\x_x\GG\About tomorrow...\Yeah?\I think my club will run late, so go home without me >_<\Okay response:	Yes sir!
context: I lied... I was going to study, but I ended up reading... ;\x_x\GG\About tomorrow...\Yeah?\I think my club will run late, so go home without me >_<\Okay\Yes sir! response:	The track meet is coming up
context: x_x\GG\About tomorrow...\Yeah?\I think my club will run late, so go home without me >_<\Okay\Yes sir!\The track meet is coming up response:	I'm gonna practice hard
context: GG\About tomorrow...\Yeah?\I think my club will run late, so go home without me >_<\Okay\Yes sir!\The track meet is coming up\I'm gonna practice hard response:	Me too
context: About tomorrow...\Yeah?\I think my club will run late, so go home without me >_<\Okay\Yes sir!\The track meet is coming up\I'm gonna practice hard\Me too response:	Kawagoe Festival's coming up, so I'm practicing hard!
context: Yeah?\I think my club will run late, so go home without me >_<\Okay\Yes sir!\The track meet is coming up\I'm gonna practice hard\Me too\Kawagoe Festival's coming up, so I'm practicing hard! response:	Woo!
context: I think my club will run late, so go home without me >_<\Okay\Yes sir!\The track meet is coming up\I'm gonna practice hard\Me too\Kawagoe Festival's coming up, so I'm practicing hard!\Woo! response:	Let's do this
context: Okay\Yes sir!\The track meet is coming up\I'm gonna practice hard\Me too\Kawagoe Festival's coming up, so I'm practicing hard!\Woo!\Let's do this response:	Let's do this!!
context: Yes sir!\The track meet is coming up\I'm gonna practice hard\Me too\Kawagoe Festival's coming up, so I'm practicing hard!\Woo!\Let's do this\Let's do this!! response:	Is it your last track meet?
context: The track meet is coming up\I'm gonna practice hard\Me too\Kawagoe Festival's coming up, so I'm practicing hard!\Woo!\Let's do this\Let's do this!!\Is it your last track meet? response:	Yup
context: I'm gonna practice hard\Me too\Kawagoe Festival's coming up, so I'm practicing hard!\Woo!\Let's do this\Let's do this!!\Is it your last track meet?\Yup response:	I think I'm going to be super nervous
context: Me too\Kawagoe Festival's coming up, so I'm practicing hard!\Woo!\Let's do this\Let's do this!!\Is it your last track meet?\Yup\I think I'm going to be super nervous response:	Can I
context: Kawagoe Festival's coming up, so I'm practicing hard!\Woo!\Let's do this\Let's do this!!\Is it your last track meet?\Yup\I think I'm going to be super nervous\Can I response:	come watch the track meet?
context: Woo!\Let's do this\Let's do this!!\Is it your last track meet?\Yup\I think I'm going to be super nervous\Can I\come watch the track meet? response:	EEEk!
context: Let's do this\Let's do this!!\Is it your last track meet?\Yup\I think I'm going to be super nervous\Can I\come watch the track meet?\EEEk! response:	Just Say No
context: Let's do this!!\Is it your last track meet?\Yup\I think I'm going to be super nervous\Can I\come watch the track meet?\EEEk!\Just Say No response:	Sorry
context: Is it your last track meet?\Yup\I think I'm going to be super nervous\Can I\come watch the track meet?\EEEk!\Just Say No\Sorry response:	Aww
context: Yup\I think I'm going to be super nervous\Can I\come watch the track meet?\EEEk!\Just Say No\Sorry\Aww response:	Well... I'd be embarrassed...
context: I think I'm going to be super nervous\Can I\come watch the track meet?\EEEk!\Just Say No\Sorry\Aww\Well... I'd be embarrassed... response:	All right _
context: Can I\come watch the track meet?\EEEk!\Just Say No\Sorry\Aww\Well... I'd be embarrassed...\All right _ response:	I'll be cheering for you from afar
context: come watch the track meet?\EEEk!\Just Say No\Sorry\Aww\Well... I'd be embarrassed...\All right _\I'll be cheering for you from afar response:	Thanks
context: EEEk!\Just Say No\Sorry\Aww\Well... I'd be embarrassed...\All right _\I'll be cheering for you from afar\Thanks response:	I'll do good!
context: Just Say No\Sorry\Aww\Well... I'd be embarrassed...\All right _\I'll be cheering for you from afar\Thanks\I'll do good! response:	Push with a mother's touch
context: Sorry\Aww\Well... I'd be embarrassed...\All right _\I'll be cheering for you from afar\Thanks\I'll do good!\Push with a mother's touch response:	All right.
context: Aww\Well... I'd be embarrassed...\All right _\I'll be cheering for you from afar\Thanks\I'll do good!\Push with a mother's touch\All right. response:	Take care.
context: Well... I'd be embarrassed...\All right _\I'll be cheering for you from afar\Thanks\I'll do good!\Push with a mother's touch\All right.\Take care. response:	I'll come to cheer for you later.
context: All right _\I'll be cheering for you from afar\Thanks\I'll do good!\Push with a mother's touch\All right.\Take care.\I'll come to cheer for you later. response:	Okay.
context: I'll be cheering for you from afar\Thanks\I'll do good!\Push with a mother's touch\All right.\Take care.\I'll come to cheer for you later.\Okay. response:	See you.
context: Thanks\I'll do good!\Push with a mother's touch\All right.\Take care.\I'll come to cheer for you later.\Okay.\See you. response:	It's time.
context: I'll do good!\Push with a mother's touch\All right.\Take care.\I'll come to cheer for you later.\Okay.\See you.\It's time. response:	Yeah.
context: Push with a mother's touch\All right.\Take care.\I'll come to cheer for you later.\Okay.\See you.\It's time.\Yeah. response:	Track and Field Stadium
context: All right.\Take care.\I'll come to cheer for you later.\Okay.\See you.\It's time.\Yeah.\Track and Field Stadium response:	She told me to upload it.
context: Take care.\I'll come to cheer for you later.\Okay.\See you.\It's time.\Yeah.\Track and Field Stadium\She told me to upload it. response:	Together?
context: I'll come to cheer for you later.\Okay.\See you.\It's time.\Yeah.\Track and Field Stadium\She told me to upload it.\Together? response:	I think so.
context: Okay.\See you.\It's time.\Yeah.\Track and Field Stadium\She told me to upload it.\Together?\I think so. response:	Man, my turn's in the afternoon.
context: See you.\It's time.\Yeah.\Track and Field Stadium\She told me to upload it.\Together?\I think so.\Man, my turn's in the afternoon. response:	That's a problem?
context: It's time.\Yeah.\Track and Field Stadium\She told me to upload it.\Together?\I think so.\Man, my turn's in the afternoon.\That's a problem? response:	Well, not really.
context: Yeah.\Track and Field Stadium\She told me to upload it.\Together?\I think so.\Man, my turn's in the afternoon.\That's a problem?\Well, not really. response:	Programs 500 yen each
context: Track and Field Stadium\She told me to upload it.\Together?\I think so.\Man, my turn's in the afternoon.\That's a problem?\Well, not really.\Programs 500 yen each response:	2016 Fall Saitama First Middle School Track Meet
context: She told me to upload it.\Together?\I think so.\Man, my turn's in the afternoon.\That's a problem?\Well, not really.\Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet response:	I'd like one, please.
context: Together?\I think so.\Man, my turn's in the afternoon.\That's a problem?\Well, not really.\Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet\I'd like one, please. response:	Mizuno Akane
context: I think so.\Man, my turn's in the afternoon.\That's a problem?\Well, not really.\Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet\I'd like one, please.\Mizuno Akane response:	I'm running soon.
context: Man, my turn's in the afternoon.\That's a problem?\Well, not really.\Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet\I'd like one, please.\Mizuno Akane\I'm running soon. response:	My last track meet (omg)
context: That's a problem?\Well, not really.\Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet\I'd like one, please.\Mizuno Akane\I'm running soon.\My last track meet (omg) response:	Run like mad
context: Well, not really.\Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet\I'd like one, please.\Mizuno Akane\I'm running soon.\My last track meet (omg)\Run like mad response:	Have fun
context: Programs 500 yen each\2016 Fall Saitama First Middle School Track Meet\I'd like one, please.\Mizuno Akane\I'm running soon.\My last track meet (omg)\Run like mad\Have fun response:	Push with a mother's touch
context: 2016 Fall Saitama First Middle School Track Meet\I'd like one, please.\Mizuno Akane\I'm running soon.\My last track meet (omg)\Run like mad\Have fun\Push with a mother's touch response:	All right.
context: I'd like one, please.\Mizuno Akane\I'm running soon.\My last track meet (omg)\Run like mad\Have fun\Push with a mother's touch\All right. response:	They're going to call for the third-year 100-meter soon.
context: Mizuno Akane\I'm running soon.\My last track meet (omg)\Run like mad\Have fun\Push with a mother's touch\All right.\They're going to call for the third-year 100-meter soon. response:	Let's go, Akane.
context: I'm running soon.\My last track meet (omg)\Run like mad\Have fun\Push with a mother's touch\All right.\They're going to call for the third-year 100-meter soon.\Let's go, Akane. response:	Okay.
context: My last track meet (omg)\Run like mad\Have fun\Push with a mother's touch\All right.\They're going to call for the third-year 100-meter soon.\Let's go, Akane.\Okay. response:	Go, Senpai!
context: Run like mad\Have fun\Push with a mother's touch\All right.\They're going to call for the third-year 100-meter soon.\Let's go, Akane.\Okay.\Go, Senpai! response:	You've got this.
context: Have fun\Push with a mother's touch\All right.\They're going to call for the third-year 100-meter soon.\Let's go, Akane.\Okay.\Go, Senpai!\You've got this. response:	Go!
context: Push with a mother's touch\All right.\They're going to call for the third-year 100-meter soon.\Let's go, Akane.\Okay.\Go, Senpai!\You've got this.\Go! response:	Cheer for us, okay?
context: All right.\They're going to call for the third-year 100-meter soon.\Let's go, Akane.\Okay.\Go, Senpai!\You've got this.\Go!\Cheer for us, okay? response:	Yup!
context: They're going to call for the third-year 100-meter soon.\Let's go, Akane.\Okay.\Go, Senpai!\You've got this.\Go!\Cheer for us, okay?\Yup! response:	There she is!
context: Let's go, Akane.\Okay.\Go, Senpai!\You've got this.\Go!\Cheer for us, okay?\Yup!\There she is! response:	Akane!
context: Okay.\Go, Senpai!\You've got this.\Go!\Cheer for us, okay?\Yup!\There she is!\Akane! response:	Go, Akane!
context: Go, Senpai!\You've got this.\Go!\Cheer for us, okay?\Yup!\There she is!\Akane!\Go, Akane! response:	The eight competitors of group 1 in the girls' 100-meter dash will now enter.
context: You've got this.\Go!\Cheer for us, okay?\Yup!\There she is!\Akane!\Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter. response:	On your marks...
context: Go!\Cheer for us, okay?\Yup!\There she is!\Akane!\Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks... response:	Set...
context: Cheer for us, okay?\Yup!\There she is!\Akane!\Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks...\Set... response:	The eight competitors of group 2 will now enter.
context: Yup!\There she is!\Akane!\Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks...\Set...\The eight competitors of group 2 will now enter. response:	On your marks...
context: There she is!\Akane!\Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks...\Set...\The eight competitors of group 2 will now enter.\On your marks... response:	Set...
context: Akane!\Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks...\Set...\The eight competitors of group 2 will now enter.\On your marks...\Set... response:	Mizuno!
context: Go, Akane!\The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks...\Set...\The eight competitors of group 2 will now enter.\On your marks...\Set...\Mizuno! response:	Go!
context: The eight competitors of group 1 in the girls' 100-meter dash will now enter.\On your marks...\Set...\The eight competitors of group 2 will now enter.\On your marks...\Set...\Mizuno!\Go! response:	Yes!
context: On your marks...\Set...\The eight competitors of group 2 will now enter.\On your marks...\Set...\Mizuno!\Go!\Yes! response:	A new personal best!
context: Set...\The eight competitors of group 2 will now enter.\On your marks...\Set...\Mizuno!\Go!\Yes!\A new personal best! response:	Akane!
context: The eight competitors of group 2 will now enter.\On your marks...\Set...\Mizuno!\Go!\Yes!\A new personal best!\Akane! response:	Man, my nerves...
context: On your marks...\Set...\Mizuno!\Go!\Yes!\A new personal best!\Akane!\Man, my nerves... response:	The boys start at noon, right?
context: Set...\Mizuno!\Go!\Yes!\A new personal best!\Akane!\Man, my nerves...\The boys start at noon, right? response:	Yeah, 400.
context: Mizuno!\Go!\Yes!\A new personal best!\Akane!\Man, my nerves...\The boys start at noon, right?\Yeah, 400. response:	Good job. Personal best.
context: Go!\Yes!\A new personal best!\Akane!\Man, my nerves...\The boys start at noon, right?\Yeah, 400.\Good job. Personal best. response:	Thanks.
context: Yes!\A new personal best!\Akane!\Man, my nerves...\The boys start at noon, right?\Yeah, 400.\Good job. Personal best.\Thanks. response:	Three Years
context: A new personal best!\Akane!\Man, my nerves...\The boys start at noon, right?\Yeah, 400.\Good job. Personal best.\Thanks.\Three Years response:	Good Job
context: Akane!\Man, my nerves...\The boys start at noon, right?\Yeah, 400.\Good job. Personal best.\Thanks.\Three Years\Good Job response:	Jeez, Mom.
context: Man, my nerves...\The boys start at noon, right?\Yeah, 400.\Good job. Personal best.\Thanks.\Three Years\Good Job\Jeez, Mom. response:	What's up?
context: The boys start at noon, right?\Yeah, 400.\Good job. Personal best.\Thanks.\Three Years\Good Job\Jeez, Mom.\What's up? response:	Nothing.
context: Yeah, 400.\Good job. Personal best.\Thanks.\Three Years\Good Job\Jeez, Mom.\What's up?\Nothing. response:	It's over.
context: Good job. Personal best.\Thanks.\Three Years\Good Job\Jeez, Mom.\What's up?\Nothing.\It's over. response:	Yeah.
context: Thanks.\Three Years\Good Job\Jeez, Mom.\What's up?\Nothing.\It's over.\Yeah. response:	This is our last lunch together.
context: Three Years\Good Job\Jeez, Mom.\What's up?\Nothing.\It's over.\Yeah.\This is our last lunch together. response:	Hey, don't say that.
context: Good Job\Jeez, Mom.\What's up?\Nothing.\It's over.\Yeah.\This is our last lunch together.\Hey, don't say that. response:	But...
context: Jeez, Mom.\What's up?\Nothing.\It's over.\Yeah.\This is our last lunch together.\Hey, don't say that.\But... response:	Don't!
context: What's up?\Nothing.\It's over.\Yeah.\This is our last lunch together.\Hey, don't say that.\But...\Don't! response:	We ran so much.
context: Nothing.\It's over.\Yeah.\This is our last lunch together.\Hey, don't say that.\But...\Don't!\We ran so much. response:	Seriously, don't. I'll cry.
context: It's over.\Yeah.\This is our last lunch together.\Hey, don't say that.\But...\Don't!\We ran so much.\Seriously, don't. I'll cry. response:	It was so exhausting.
context: Yeah.\This is our last lunch together.\Hey, don't say that.\But...\Don't!\We ran so much.\Seriously, don't. I'll cry.\It was so exhausting. response:	Chinatsu!
context: This is our last lunch together.\Hey, don't say that.\But...\Don't!\We ran so much.\Seriously, don't. I'll cry.\It was so exhausting.\Chinatsu! response:	She's crying.
context: Hey, don't say that.\But...\Don't!\We ran so much.\Seriously, don't. I'll cry.\It was so exhausting.\Chinatsu!\She's crying. response:	Well...
context: But...\Don't!\We ran so much.\Seriously, don't. I'll cry.\It was so exhausting.\Chinatsu!\She's crying.\Well... response:	Akane.
context: Don't!\We ran so much.\Seriously, don't. I'll cry.\It was so exhausting.\Chinatsu!\She's crying.\Well...\Akane. response:	Thanks for the past three years.
context: We ran so much.\Seriously, don't. I'll cry.\It was so exhausting.\Chinatsu!\She's crying.\Well...\Akane.\Thanks for the past three years. response:	You, too.
context: Seriously, don't. I'll cry.\It was so exhausting.\Chinatsu!\She's crying.\Well...\Akane.\Thanks for the past three years.\You, too. response:	I would've given up without you two.
context: It was so exhausting.\Chinatsu!\She's crying.\Well...\Akane.\Thanks for the past three years.\You, too.\I would've given up without you two. response:	Chinatsu...
context: Chinatsu!\She's crying.\Well...\Akane.\Thanks for the past three years.\You, too.\I would've given up without you two.\Chinatsu... response:	Thanks.
context: She's crying.\Well...\Akane.\Thanks for the past three years.\You, too.\I would've given up without you two.\Chinatsu...\Thanks. response:	Don't laugh.
context: Well...\Akane.\Thanks for the past three years.\You, too.\I would've given up without you two.\Chinatsu...\Thanks.\Don't laugh. response:	Well, your nose is really red.
context: Akane.\Thanks for the past three years.\You, too.\I would've given up without you two.\Chinatsu...\Thanks.\Don't laugh.\Well, your nose is really red. response:	He's right.
context: Thanks for the past three years.\You, too.\I would've given up without you two.\Chinatsu...\Thanks.\Don't laugh.\Well, your nose is really red.\He's right. response:	Bright red.
context: You, too.\I would've given up without you two.\Chinatsu...\Thanks.\Don't laugh.\Well, your nose is really red.\He's right.\Bright red. response:	You're awful!
context: I would've given up without you two.\Chinatsu...\Thanks.\Don't laugh.\Well, your nose is really red.\He's right.\Bright red.\You're awful! response:	Girls'
context: Chinatsu...\Thanks.\Don't laugh.\Well, your nose is really red.\He's right.\Bright red.\You're awful!\Girls' response:	Mizuno Akane
context: Thanks.\Don't laugh.\Well, your nose is really red.\He's right.\Bright red.\You're awful!\Girls'\Mizuno Akane response:	New personal best!!
context: Don't laugh.\Well, your nose is really red.\He's right.\Bright red.\You're awful!\Girls'\Mizuno Akane\New personal best!! response:	Congrats
context: Well, your nose is really red.\He's right.\Bright red.\You're awful!\Girls'\Mizuno Akane\New personal best!!\Congrats response:	Are you continuing?
context: He's right.\Bright red.\You're awful!\Girls'\Mizuno Akane\New personal best!!\Congrats\Are you continuing? response:	Track.
context: Bright red.\You're awful!\Girls'\Mizuno Akane\New personal best!!\Congrats\Are you continuing?\Track. response:	In high school.
context: You're awful!\Girls'\Mizuno Akane\New personal best!!\Congrats\Are you continuing?\Track.\In high school. response:	Are you?
context: Girls'\Mizuno Akane\New personal best!!\Congrats\Are you continuing?\Track.\In high school.\Are you? response:	I am.
context: Mizuno Akane\New personal best!!\Congrats\Are you continuing?\Track.\In high school.\Are you?\I am. response:	I think I want to.
context: New personal best!!\Congrats\Are you continuing?\Track.\In high school.\Are you?\I am.\I think I want to. response:	I like running.
context: Congrats\Are you continuing?\Track.\In high school.\Are you?\I am.\I think I want to.\I like running. response:	You should go to a competitive school, if you're serious about it.
context: Are you continuing?\Track.\In high school.\Are you?\I am.\I think I want to.\I like running.\You should go to a competitive school, if you're serious about it. response:	The equipment and environment are way better.
context: Track.\In high school.\Are you?\I am.\I think I want to.\I like running.\You should go to a competitive school, if you're serious about it.\The equipment and environment are way better. response:	That's what last year's third-years told me.
context: In high school.\Are you?\I am.\I think I want to.\I like running.\You should go to a competitive school, if you're serious about it.\The equipment and environment are way better.\That's what last year's third-years told me. response:	Which school's competitive?
context: Are you?\I am.\I think I want to.\I like running.\You should go to a competitive school, if you're serious about it.\The equipment and environment are way better.\That's what last year's third-years told me.\Which school's competitive? response:	Tokorozawa Sakae, or Saitama Academy...
context: I am.\I think I want to.\I like running.\You should go to a competitive school, if you're serious about it.\The equipment and environment are way better.\That's what last year's third-years told me.\Which school's competitive?\Tokorozawa Sakae, or Saitama Academy... response:	I can't go if I move, though.
context: I think I want to.\I like running.\You should go to a competitive school, if you're serious about it.\The equipment and environment are way better.\That's what last year's third-years told me.\Which school's competitive?\Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though. response:	It's not decided or anything yet.
context: I like running.\You should go to a competitive school, if you're serious about it.\The equipment and environment are way better.\That's what last year's third-years told me.\Which school's competitive?\Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though.\It's not decided or anything yet. response:	Don't tell anyone, okay?
context: You should go to a competitive school, if you're serious about it.\The equipment and environment are way better.\That's what last year's third-years told me.\Which school's competitive?\Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though.\It's not decided or anything yet.\Don't tell anyone, okay? response:	Where to?
context: The equipment and environment are way better.\That's what last year's third-years told me.\Which school's competitive?\Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though.\It's not decided or anything yet.\Don't tell anyone, okay?\Where to? response:	Chiba?
context: That's what last year's third-years told me.\Which school's competitive?\Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though.\It's not decided or anything yet.\Don't tell anyone, okay?\Where to?\Chiba? response:	I think they said Ichikawa.
context: Which school's competitive?\Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though.\It's not decided or anything yet.\Don't tell anyone, okay?\Where to?\Chiba?\I think they said Ichikawa. response:	Chiba...
context: Tokorozawa Sakae, or Saitama Academy...\I can't go if I move, though.\It's not decided or anything yet.\Don't tell anyone, okay?\Where to?\Chiba?\I think they said Ichikawa.\Chiba... response:	I think Koumei's good in Chiba.
context: I can't go if I move, though.\It's not decided or anything yet.\Don't tell anyone, okay?\Where to?\Chiba?\I think they said Ichikawa.\Chiba...\I think Koumei's good in Chiba. response:	I think you could make it in on a recommendation.
context: It's not decided or anything yet.\Don't tell anyone, okay?\Where to?\Chiba?\I think they said Ichikawa.\Chiba...\I think Koumei's good in Chiba.\I think you could make it in on a recommendation. response:	I've heard of it.
context: Don't tell anyone, okay?\Where to?\Chiba?\I think they said Ichikawa.\Chiba...\I think Koumei's good in Chiba.\I think you could make it in on a recommendation.\I've heard of it. response:	My mom said it's good, too.
context: Where to?\Chiba?\I think they said Ichikawa.\Chiba...\I think Koumei's good in Chiba.\I think you could make it in on a recommendation.\I've heard of it.\My mom said it's good, too. response:	Okay.
context: Chiba?\I think they said Ichikawa.\Chiba...\I think Koumei's good in Chiba.\I think you could make it in on a recommendation.\I've heard of it.\My mom said it's good, too.\Okay. response:	You're moving, huh?
context: I think they said Ichikawa.\Chiba...\I think Koumei's good in Chiba.\I think you could make it in on a recommendation.\I've heard of it.\My mom said it's good, too.\Okay.\You're moving, huh? response:	I told you, I don't know.
context: Chiba...\I think Koumei's good in Chiba.\I think you could make it in on a recommendation.\I've heard of it.\My mom said it's good, too.\Okay.\You're moving, huh?\I told you, I don't know. response:	Mizuno-senpai, Sensei's calling.
context: I think Koumei's good in Chiba.\I think you could make it in on a recommendation.\I've heard of it.\My mom said it's good, too.\Okay.\You're moving, huh?\I told you, I don't know.\Mizuno-senpai, Sensei's calling. response:	Okay.
context: I think you could make it in on a recommendation.\I've heard of it.\My mom said it's good, too.\Okay.\You're moving, huh?\I told you, I don't know.\Mizuno-senpai, Sensei's calling.\Okay. response:	And then?
context: I've heard of it.\My mom said it's good, too.\Okay.\You're moving, huh?\I told you, I don't know.\Mizuno-senpai, Sensei's calling.\Okay.\And then? response:	She just randomly started talking to me.
context: My mom said it's good, too.\Okay.\You're moving, huh?\I told you, I don't know.\Mizuno-senpai, Sensei's calling.\Okay.\And then?\She just randomly started talking to me. response:	Seriously?
context: Okay.\You're moving, huh?\I told you, I don't know.\Mizuno-senpai, Sensei's calling.\Okay.\And then?\She just randomly started talking to me.\Seriously? response:	I'm pretty sure we met at some track meet...
context: You're moving, huh?\I told you, I don't know.\Mizuno-senpai, Sensei's calling.\Okay.\And then?\She just randomly started talking to me.\Seriously?\I'm pretty sure we met at some track meet... response:	You remembered her?
context: I told you, I don't know.\Mizuno-senpai, Sensei's calling.\Okay.\And then?\She just randomly started talking to me.\Seriously?\I'm pretty sure we met at some track meet...\You remembered her? response:	Vaguely.
context: Mizuno-senpai, Sensei's calling.\Okay.\And then?\She just randomly started talking to me.\Seriously?\I'm pretty sure we met at some track meet...\You remembered her?\Vaguely. response:	That's amazing.
context: Okay.\And then?\She just randomly started talking to me.\Seriously?\I'm pretty sure we met at some track meet...\You remembered her?\Vaguely.\That's amazing. response:	Sounds like she'll make for a good rival.
context: And then?\She just randomly started talking to me.\Seriously?\I'm pretty sure we met at some track meet...\You remembered her?\Vaguely.\That's amazing.\Sounds like she'll make for a good rival. response:	Hey...
context: She just randomly started talking to me.\Seriously?\I'm pretty sure we met at some track meet...\You remembered her?\Vaguely.\That's amazing.\Sounds like she'll make for a good rival.\Hey... response:	Yeah?
context: Seriously?\I'm pretty sure we met at some track meet...\You remembered her?\Vaguely.\That's amazing.\Sounds like she'll make for a good rival.\Hey...\Yeah? response:	Why don't we all go to the Kawagoe Festival together next month?
context: I'm pretty sure we met at some track meet...\You remembered her?\Vaguely.\That's amazing.\Sounds like she'll make for a good rival.\Hey...\Yeah?\Why don't we all go to the Kawagoe Festival together next month? response:	Sounds good.
context: You remembered her?\Vaguely.\That's amazing.\Sounds like she'll make for a good rival.\Hey...\Yeah?\Why don't we all go to the Kawagoe Festival together next month?\Sounds good. response:	The local train bound for Kawagoe will be arriving momentarily on track 21.
context: Vaguely.\That's amazing.\Sounds like she'll make for a good rival.\Hey...\Yeah?\Why don't we all go to the Kawagoe Festival together next month?\Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21. response:	It'll be the last thing the track club does together.
context: That's amazing.\Sounds like she'll make for a good rival.\Hey...\Yeah?\Why don't we all go to the Kawagoe Festival together next month?\Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together. response:	Yeah, I'll go.
context: Sounds like she'll make for a good rival.\Hey...\Yeah?\Why don't we all go to the Kawagoe Festival together next month?\Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together.\Yeah, I'll go. response:	Are you sure, Akane?
context: Hey...\Yeah?\Why don't we all go to the Kawagoe Festival together next month?\Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together.\Yeah, I'll go.\Are you sure, Akane? response:	For your safety, please stand behind the white line.
context: Yeah?\Why don't we all go to the Kawagoe Festival together next month?\Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together.\Yeah, I'll go.\Are you sure, Akane?\For your safety, please stand behind the white line. response:	What about Azumi-kun?
context: Why don't we all go to the Kawagoe Festival together next month?\Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together.\Yeah, I'll go.\Are you sure, Akane?\For your safety, please stand behind the white line.\What about Azumi-kun? response:	Oh, yeah.
context: Sounds good.\The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together.\Yeah, I'll go.\Are you sure, Akane?\For your safety, please stand behind the white line.\What about Azumi-kun?\Oh, yeah. response:	He's going to be in the hayashi.
context: The local train bound for Kawagoe will be arriving momentarily on track 21.\It'll be the last thing the track club does together.\Yeah, I'll go.\Are you sure, Akane?\For your safety, please stand behind the white line.\What about Azumi-kun?\Oh, yeah.\He's going to be in the hayashi. response:	Oh, yeah.
context: It'll be the last thing the track club does together.\Yeah, I'll go.\Are you sure, Akane?\For your safety, please stand behind the white line.\What about Azumi-kun?\Oh, yeah.\He's going to be in the hayashi.\Oh, yeah. response:	All right, I'll message everyone on LINE later.
context: Yeah, I'll go.\Are you sure, Akane?\For your safety, please stand behind the white line.\What about Azumi-kun?\Oh, yeah.\He's going to be in the hayashi.\Oh, yeah.\All right, I'll message everyone on LINE later. response:	Okay.
context: Are you sure, Akane?\For your safety, please stand behind the white line.\What about Azumi-kun?\Oh, yeah.\He's going to be in the hayashi.\Oh, yeah.\All right, I'll message everyone on LINE later.\Okay. response:	Where should we go?
context: For your safety, please stand behind the white line.\What about Azumi-kun?\Oh, yeah.\He's going to be in the hayashi.\Oh, yeah.\All right, I'll message everyone on LINE later.\Okay.\Where should we go? response:	This is unusual.
context: What about Azumi-kun?\Oh, yeah.\He's going to be in the hayashi.\Oh, yeah.\All right, I'll message everyone on LINE later.\Okay.\Where should we go?\This is unusual. response:	Huh?
