context: Kitty, come on, come here. response:	It's time. Let's go back to the lab.
context: I'll do my best.\And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday.\Another Ashikabi...\So, since you are here, that means you also got the message, right?\Eh?\Don't pretend you don't know. The Green Girl. response:	The Green Girl?
context: And tell Minaka: Someday, the fire that burned lzanami will burn him out, too.\That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday.\Another Ashikabi...\So, since you are here, that means you also got the message, right?\Eh?\Don't pretend you don't know. The Green Girl.\The Green Girl? response:	Oh, more MBI...
context: That guy can't understand such literary expressions.\Then just tell him straight... that I'll kill him someday.\Another Ashikabi...\So, since you are here, that means you also got the message, right?\Eh?\Don't pretend you don't know. The Green Girl.\The Green Girl?\Oh, more MBI... response:	Hey, we're done for today. You guys can leave now.
context: Then just tell him straight... that I'll kill him someday.\Another Ashikabi...\So, since you are here, that means you also got the message, right?\Eh?\Don't pretend you don't know. The Green Girl.\The Green Girl?\Oh, more MBI...\Hey, we're done for today. You guys can leave now. response:	Already? What happened?
context: Another Ashikabi...\So, since you are here, that means you also got the message, right?\Eh?\Don't pretend you don't know. The Green Girl.\The Green Girl?\Oh, more MBI...\Hey, we're done for today. You guys can leave now.\Already? What happened? response:	It's those guys.
context: So, since you are here, that means you also got the message, right?\Eh?\Don't pretend you don't know. The Green Girl.\The Green Girl?\Oh, more MBI...\Hey, we're done for today. You guys can leave now.\Already? What happened?\It's those guys. response:	There's an evacuation order for a two kilometer radius around the arboretum.
context: Eh?\Don't pretend you don't know. The Green Girl.\The Green Girl?\Oh, more MBI...\Hey, we're done for today. You guys can leave now.\Already? What happened?\It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum. response:	An evacuation order?
context: Don't pretend you don't know. The Green Girl.\The Green Girl?\Oh, more MBI...\Hey, we're done for today. You guys can leave now.\Already? What happened?\It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order? response:	I see...
context: The Green Girl?\Oh, more MBI...\Hey, we're done for today. You guys can leave now.\Already? What happened?\It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order?\I see... response:	Hey, how about we go see the Green Girl?
context: Oh, more MBI...\Hey, we're done for today. You guys can leave now.\Already? What happened?\It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order?\I see...\Hey, how about we go see the Green Girl? response:	Oh dear. Dinner's not ready, yet.
context: Hey, we're done for today. You guys can leave now.\Already? What happened?\It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order?\I see...\Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet. response:	Um... Is Minato-san?
context: Already? What happened?\It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order?\I see...\Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet.\Um... Is Minato-san? response:	Sahashi-san? Now that you mention it, he hasn't come back yet.
context: It's those guys.\There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order?\I see...\Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet.\Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet. response:	Musubi-san? Is anything wrong?
context: There's an evacuation order for a two kilometer radius around the arboretum.\An evacuation order?\I see...\Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet.\Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong? response:	Ah... Minato-san forgot this.
context: An evacuation order?\I see...\Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet.\Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong?\Ah... Minato-san forgot this. response:	His cell phone?
context: I see...\Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet.\Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong?\Ah... Minato-san forgot this.\His cell phone? response:	I feel uneasy... I've never felt like this.
context: Hey, how about we go see the Green Girl?\Oh dear. Dinner's not ready, yet.\Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong?\Ah... Minato-san forgot this.\His cell phone?\I feel uneasy... I've never felt like this. response:	I will bring this to Minato-san.
context: Oh dear. Dinner's not ready, yet.\Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong?\Ah... Minato-san forgot this.\His cell phone?\I feel uneasy... I've never felt like this.\I will bring this to Minato-san. response:	Musubi-san.
context: Um... Is Minato-san?\Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong?\Ah... Minato-san forgot this.\His cell phone?\I feel uneasy... I've never felt like this.\I will bring this to Minato-san.\Musubi-san. response:	Yes?
context: Sahashi-san? Now that you mention it, he hasn't come back yet.\Musubi-san? Is anything wrong?\Ah... Minato-san forgot this.\His cell phone?\I feel uneasy... I've never felt like this.\I will bring this to Minato-san.\Musubi-san.\Yes? response:	I'll put a spell on you.
context: Musubi-san? Is anything wrong?\Ah... Minato-san forgot this.\His cell phone?\I feel uneasy... I've never felt like this.\I will bring this to Minato-san.\Musubi-san.\Yes?\I'll put a spell on you. response:	May gods and goddesses protect you.
context: Ah... Minato-san forgot this.\His cell phone?\I feel uneasy... I've never felt like this.\I will bring this to Minato-san.\Musubi-san.\Yes?\I'll put a spell on you.\May gods and goddesses protect you. response:	Thank you!
context: His cell phone?\I feel uneasy... I've never felt like this.\I will bring this to Minato-san.\Musubi-san.\Yes?\I'll put a spell on you.\May gods and goddesses protect you.\Thank you! response:	Hey youngster! Let's go!
context: I feel uneasy... I've never felt like this.\I will bring this to Minato-san.\Musubi-san.\Yes?\I'll put a spell on you.\May gods and goddesses protect you.\Thank you!\Hey youngster! Let's go! response:	Y-Yes!
context: I will bring this to Minato-san.\Musubi-san.\Yes?\I'll put a spell on you.\May gods and goddesses protect you.\Thank you!\Hey youngster! Let's go!\Y-Yes! response:	Dear Mom... I've gotten in with bad company...
context: Musubi-san.\Yes?\I'll put a spell on you.\May gods and goddesses protect you.\Thank you!\Hey youngster! Let's go!\Y-Yes!\Dear Mom... I've gotten in with bad company... response:	Here/ Convenience store/ Bank/ Restaurant
context: Yes?\I'll put a spell on you.\May gods and goddesses protect you.\Thank you!\Hey youngster! Let's go!\Y-Yes!\Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant response:	Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.
context: I'll put a spell on you.\May gods and goddesses protect you.\Thank you!\Hey youngster! Let's go!\Y-Yes!\Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here. response:	Ah... It should be around here.
context: May gods and goddesses protect you.\Thank you!\Hey youngster! Let's go!\Y-Yes!\Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here. response:	Eh?
context: Thank you!\Hey youngster! Let's go!\Y-Yes!\Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here.\Eh? response:	Today's work has finished. - Construction Inc. Eh?
context: Hey youngster! Let's go!\Y-Yes!\Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here.\Eh?\Today's work has finished. - Construction Inc. Eh? response:	Today's work has finished. - Construction Inc.
context: Y-Yes!\Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here.\Eh?\Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc. response:	Minato-san.
context: Dear Mom... I've gotten in with bad company...\Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here.\Eh?\Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc.\Minato-san. response:	It's like a jungle here.
context: Here/ Convenience store/ Bank/ Restaurant\Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here.\Eh?\Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc.\Minato-san.\It's like a jungle here. response:	We got in, but I have no idea where we should go.
context: Here/ Convenience store/ Bank/ Restaurant Ah... It should be around here.\Ah... It should be around here.\Eh?\Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc.\Minato-san.\It's like a jungle here.\We got in, but I have no idea where we should go. response:	Ku-chan?
context: Ah... It should be around here.\Eh?\Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc.\Minato-san.\It's like a jungle here.\We got in, but I have no idea where we should go.\Ku-chan? response:	You are over there?
context: Eh?\Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc.\Minato-san.\It's like a jungle here.\We got in, but I have no idea where we should go.\Ku-chan?\You are over there? response:	Ku-chan!
context: Today's work has finished. - Construction Inc. Eh?\Today's work has finished. - Construction Inc.\Minato-san.\It's like a jungle here.\We got in, but I have no idea where we should go.\Ku-chan?\You are over there?\Ku-chan! response:	What's that, youngster? Do you have a crush on me?
context: Today's work has finished. - Construction Inc.\Minato-san.\It's like a jungle here.\We got in, but I have no idea where we should go.\Ku-chan?\You are over there?\Ku-chan!\What's that, youngster? Do you have a crush on me? response:	I'm sorry!
context: Minato-san.\It's like a jungle here.\We got in, but I have no idea where we should go.\Ku-chan?\You are over there?\Ku-chan!\What's that, youngster? Do you have a crush on me?\I'm sorry! response:	She was wearing a white dress, wasn't she?
context: It's like a jungle here.\We got in, but I have no idea where we should go.\Ku-chan?\You are over there?\Ku-chan!\What's that, youngster? Do you have a crush on me?\I'm sorry!\She was wearing a white dress, wasn't she? response:	Did you also see her, Seo-san?
context: We got in, but I have no idea where we should go.\Ku-chan?\You are over there?\Ku-chan!\What's that, youngster? Do you have a crush on me?\I'm sorry!\She was wearing a white dress, wasn't she?\Did you also see her, Seo-san? response:	- Could you see it? - Nope.
context: Ku-chan?\You are over there?\Ku-chan!\What's that, youngster? Do you have a crush on me?\I'm sorry!\She was wearing a white dress, wasn't she?\Did you also see her, Seo-san?\- Could you see it? - Nope. response:	Is she the one inside here?
context: You are over there?\Ku-chan!\What's that, youngster? Do you have a crush on me?\I'm sorry!\She was wearing a white dress, wasn't she?\Did you also see her, Seo-san?\- Could you see it? - Nope.\Is she the one inside here? response:	I don't know.
context: Ku-chan!\What's that, youngster? Do you have a crush on me?\I'm sorry!\She was wearing a white dress, wasn't she?\Did you also see her, Seo-san?\- Could you see it? - Nope.\Is she the one inside here?\I don't know. response:	But I must go.
context: What's that, youngster? Do you have a crush on me?\I'm sorry!\She was wearing a white dress, wasn't she?\Did you also see her, Seo-san?\- Could you see it? - Nope.\Is she the one inside here?\I don't know.\But I must go. response:	She was crying all alone. So I must go.
context: I'm sorry!\She was wearing a white dress, wasn't she?\Did you also see her, Seo-san?\- Could you see it? - Nope.\Is she the one inside here?\I don't know.\But I must go.\She was crying all alone. So I must go. response:	I just came to see what would happen here, but I've changed my mind.
context: She was wearing a white dress, wasn't she?\Did you also see her, Seo-san?\- Could you see it? - Nope.\Is she the one inside here?\I don't know.\But I must go.\She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind. response:	I'll see you and the Green Girl through.
context: Did you also see her, Seo-san?\- Could you see it? - Nope.\Is she the one inside here?\I don't know.\But I must go.\She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through. response:	How flashy...
context: - Could you see it? - Nope.\Is she the one inside here?\I don't know.\But I must go.\She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through.\How flashy... response:	Who the hell did this? Invading from the front gate openly like this.
context: Is she the one inside here?\I don't know.\But I must go.\She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through.\How flashy...\Who the hell did this? Invading from the front gate openly like this. response:	Oh dear, long time no see, Homura-san.
context: I don't know.\But I must go.\She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through.\How flashy...\Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san. response:	The ringleader herself.
context: But I must go.\She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through.\How flashy...\Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san.\The ringleader herself. response:	Number 43, Yomi!
context: She was crying all alone. So I must go.\I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through.\How flashy...\Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san.\The ringleader herself.\Number 43, Yomi! response:	You call me the ringleader? That's not nice.
context: I just came to see what would happen here, but I've changed my mind.\I'll see you and the Green Girl through.\How flashy...\Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san.\The ringleader herself.\Number 43, Yomi!\You call me the ringleader? That's not nice. response:	I just came to receive her, since the first one wins... The Green Girl.
context: I'll see you and the Green Girl through.\How flashy...\Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san.\The ringleader herself.\Number 43, Yomi!\You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl. response:	I can't hand over number 108 to somebody who says things like the first one wins.
context: How flashy...\Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san.\The ringleader herself.\Number 43, Yomi!\You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins. response:	How nauseating! You're just a rogue Sekirei acting like a guardian.
context: Who the hell did this? Invading from the front gate openly like this.\Oh dear, long time no see, Homura-san.\The ringleader herself.\Number 43, Yomi!\You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian. response:	Akitsu!
context: Oh dear, long time no see, Homura-san.\The ringleader herself.\Number 43, Yomi!\You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu! response:	Your opponent is this girl.
context: The ringleader herself.\Number 43, Yomi!\You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu!\Your opponent is this girl. response:	Now, excuse me!
context: Number 43, Yomi!\You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu!\Your opponent is this girl.\Now, excuse me! response:	Wait!
context: You call me the ringleader? That's not nice.\I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu!\Your opponent is this girl.\Now, excuse me!\Wait! response:	Your opponent is me.
context: I just came to receive her, since the first one wins... The Green Girl.\I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu!\Your opponent is this girl.\Now, excuse me!\Wait!\Your opponent is me. response:	That's my master's wish.
context: I can't hand over number 108 to somebody who says things like the first one wins.\How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu!\Your opponent is this girl.\Now, excuse me!\Wait!\Your opponent is me.\That's my master's wish. response:	If I don't complete the task, I'll get thrown away... again...
context: How nauseating! You're just a rogue Sekirei acting like a guardian.\Akitsu!\Your opponent is this girl.\Now, excuse me!\Wait!\Your opponent is me.\That's my master's wish.\If I don't complete the task, I'll get thrown away... again... response:	The Sekirei symbol on her forehead...
context: Akitsu!\Your opponent is this girl.\Now, excuse me!\Wait!\Your opponent is me.\That's my master's wish.\If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead... response:	Are you... a discarded number?
context: Your opponent is this girl.\Now, excuse me!\Wait!\Your opponent is me.\That's my master's wish.\If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead...\Are you... a discarded number? response:	Ah, it's Kagari-san!
context: Now, excuse me!\Wait!\Your opponent is me.\That's my master's wish.\If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead...\Are you... a discarded number?\Ah, it's Kagari-san! response:	Oh, I made a mistake. Kagari-san doesn't wear a mask.
context: Wait!\Your opponent is me.\That's my master's wish.\If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead...\Are you... a discarded number?\Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask. response:	I'm sorry!
context: Your opponent is me.\That's my master's wish.\If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead...\Are you... a discarded number?\Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry! response:	Wh-What?
context: That's my master's wish.\If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead...\Are you... a discarded number?\Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry!\Wh-What? response:	Take care of your cold.
context: If I don't complete the task, I'll get thrown away... again...\The Sekirei symbol on her forehead...\Are you... a discarded number?\Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry!\Wh-What?\Take care of your cold. response:	Do you have a cold?
context: The Sekirei symbol on her forehead...\Are you... a discarded number?\Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry!\Wh-What?\Take care of your cold.\Do you have a cold? response:	No!
context: Are you... a discarded number?\Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry!\Wh-What?\Take care of your cold.\Do you have a cold?\No! response:	If I catch a cold, it'll be after fighting against you.
context: Ah, it's Kagari-san!\Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry!\Wh-What?\Take care of your cold.\Do you have a cold?\No!\If I catch a cold, it'll be after fighting against you. response:	How much do you know about Sekireis?
context: Oh, I made a mistake. Kagari-san doesn't wear a mask.\I'm sorry!\Wh-What?\Take care of your cold.\Do you have a cold?\No!\If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis? response:	Um...
context: I'm sorry!\Wh-What?\Take care of your cold.\Do you have a cold?\No!\If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis?\Um... response:	Since you are an Ashikabi, you know how to make Sekireis yours...
context: Wh-What?\Take care of your cold.\Do you have a cold?\No!\If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis?\Um...\Since you are an Ashikabi, you know how to make Sekireis yours... response:	How to let them to emerge, don't you?
context: Take care of your cold.\Do you have a cold?\No!\If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis?\Um...\Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you? response:	Eh... emerge?
context: Do you have a cold?\No!\If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis?\Um...\Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you?\Eh... emerge? response:	In short, it's the mucosal contact.
context: No!\If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis?\Um...\Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you?\Eh... emerge?\In short, it's the mucosal contact. response:	Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,
context: If I catch a cold, it'll be after fighting against you.\How much do you know about Sekireis?\Um...\Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you?\Eh... emerge?\In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude, response:	and makes the contact from her side.
context: How much do you know about Sekireis?\Um...\Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you?\Eh... emerge?\In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side. response:	So, under normal conditions, a Sekirei finds her own Ashikabi by herself.
context: Um...\Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you?\Eh... emerge?\In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself. response:	The trouble is that Ashikabi can force a Sekirei to emerge.
context: Since you are an Ashikabi, you know how to make Sekireis yours...\How to let them to emerge, don't you?\Eh... emerge?\In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge. response:	Even if the Sekirei doesn't want to.
context: How to let them to emerge, don't you?\Eh... emerge?\In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to. response:	If she doesn't want to?
context: Eh... emerge?\In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to.\If she doesn't want to? response:	So there are some creepy guys who force Sekireis to emerge,
context: In short, it's the mucosal contact.\Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to.\If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge, response:	to increase the number they possess.
context: Usually, a Sekirei reacts to the DNA of someone with Ashikabi aptitude,\and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to.\If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess. response:	Ah, um... Seo-san, did you?
context: and makes the contact from her side.\So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to.\If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess.\Ah, um... Seo-san, did you? response:	Do you think they'd let anybody force them?
context: So, under normal conditions, a Sekirei finds her own Ashikabi by herself.\The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to.\If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess.\Ah, um... Seo-san, did you?\Do you think they'd let anybody force them? response:	I'm sorry.
context: The trouble is that Ashikabi can force a Sekirei to emerge.\Even if the Sekirei doesn't want to.\If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess.\Ah, um... Seo-san, did you?\Do you think they'd let anybody force them?\I'm sorry. response:	If you are the human who was called by the Green Girl,
context: Even if the Sekirei doesn't want to.\If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess.\Ah, um... Seo-san, did you?\Do you think they'd let anybody force them?\I'm sorry.\If you are the human who was called by the Green Girl, response:	and are supposed to be her Ashikabi...
context: If she doesn't want to?\So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess.\Ah, um... Seo-san, did you?\Do you think they'd let anybody force them?\I'm sorry.\If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi... response:	That there's no such thing as the first one wins in destiny.
context: So there are some creepy guys who force Sekireis to emerge,\to increase the number they possess.\Ah, um... Seo-san, did you?\Do you think they'd let anybody force them?\I'm sorry.\If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny. response:	Big brother?
context: to increase the number they possess.\Ah, um... Seo-san, did you?\Do you think they'd let anybody force them?\I'm sorry.\If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny.\Big brother? response:	So this is where you've been hiding?
context: Ah, um... Seo-san, did you?\Do you think they'd let anybody force them?\I'm sorry.\If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny.\Big brother?\So this is where you've been hiding? response:	Now, come on. Your master is waiting.
context: Do you think they'd let anybody force them?\I'm sorry.\If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny.\Big brother?\So this is where you've been hiding?\Now, come on. Your master is waiting. response:	Hey, why are we running?
context: I'm sorry.\If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny.\Big brother?\So this is where you've been hiding?\Now, come on. Your master is waiting.\Hey, why are we running? response:	I got a sudden feeling that I must run!
context: If you are the human who was called by the Green Girl,\and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny.\Big brother?\So this is where you've been hiding?\Now, come on. Your master is waiting.\Hey, why are we running?\I got a sudden feeling that I must run! response:	What are we doing?
context: and are supposed to be her Ashikabi...\That there's no such thing as the first one wins in destiny.\Big brother?\So this is where you've been hiding?\Now, come on. Your master is waiting.\Hey, why are we running?\I got a sudden feeling that I must run!\What are we doing? response:	Geez, hurry up!
context: That there's no such thing as the first one wins in destiny.\Big brother?\So this is where you've been hiding?\Now, come on. Your master is waiting.\Hey, why are we running?\I got a sudden feeling that I must run!\What are we doing?\Geez, hurry up! response:	No!
context: Big brother?\So this is where you've been hiding?\Now, come on. Your master is waiting.\Hey, why are we running?\I got a sudden feeling that I must run!\What are we doing?\Geez, hurry up!\No! response:	I came all the way out here personally to get you!
context: So this is where you've been hiding?\Now, come on. Your master is waiting.\Hey, why are we running?\I got a sudden feeling that I must run!\What are we doing?\Geez, hurry up!\No!\I came all the way out here personally to get you! response:	Stubborn children like you must be punished.
context: Now, come on. Your master is waiting.\Hey, why are we running?\I got a sudden feeling that I must run!\What are we doing?\Geez, hurry up!\No!\I came all the way out here personally to get you!\Stubborn children like you must be punished. response:	Ku-chan!
context: Hey, why are we running?\I got a sudden feeling that I must run!\What are we doing?\Geez, hurry up!\No!\I came all the way out here personally to get you!\Stubborn children like you must be punished.\Ku-chan! response:	What the heck? You pervert! Get away from me!
context: I got a sudden feeling that I must run!\What are we doing?\Geez, hurry up!\No!\I came all the way out here personally to get you!\Stubborn children like you must be punished.\Ku-chan!\What the heck? You pervert! Get away from me! response:	I won't!
context: What are we doing?\Geez, hurry up!\No!\I came all the way out here personally to get you!\Stubborn children like you must be punished.\Ku-chan!\What the heck? You pervert! Get away from me!\I won't! response:	Hey! Where are you touching?!
context: Geez, hurry up!\No!\I came all the way out here personally to get you!\Stubborn children like you must be punished.\Ku-chan!\What the heck? You pervert! Get away from me!\I won't!\Hey! Where are you touching?! response:	Enough!
context: No!\I came all the way out here personally to get you!\Stubborn children like you must be punished.\Ku-chan!\What the heck? You pervert! Get away from me!\I won't!\Hey! Where are you touching?!\Enough! response:	Yo, weakling, stay still!
context: I came all the way out here personally to get you!\Stubborn children like you must be punished.\Ku-chan!\What the heck? You pervert! Get away from me!\I won't!\Hey! Where are you touching?!\Enough!\Yo, weakling, stay still! response:	Huh?
