context: Miku, what is it you wanted to talk to me about? response:	We don't need to be equals.
context: You can't see very well without your glasses.\Sorry I made such a big deal of this.\You had a hard time telling us, didn't you?\When did you notice?\It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun.\Uesugi-kun!\Ichika calls me by my first name. response:	I may not know you guys perfectly, but I know that much.
context: Sorry I made such a big deal of this.\You had a hard time telling us, didn't you?\When did you notice?\It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun.\Uesugi-kun!\Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much. response:	I hope he found Itsuki-chan.
context: You had a hard time telling us, didn't you?\When did you notice?\It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun.\Uesugi-kun!\Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan. response:	Does Futaro-kun seem like such a bad person to you?
context: When did you notice?\It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun.\Uesugi-kun!\Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you? response:	That's not what I mean.
context: It wasn't until a moment ago that I realized.\It was because you called me Uesugi-kun.\Uesugi-kun!\Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you?\That's not what I mean. response:	But it's different when we're talking relationships.
context: It was because you called me Uesugi-kun.\Uesugi-kun!\Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you?\That's not what I mean.\But it's different when we're talking relationships. response:	I don't know anything about him.
context: Uesugi-kun!\Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you?\That's not what I mean.\But it's different when we're talking relationships.\I don't know anything about him. response:	We need to be more selective when it comes to men.
context: Ichika calls me by my first name.\I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you?\That's not what I mean.\But it's different when we're talking relationships.\I don't know anything about him.\We need to be more selective when it comes to men. response:	Itsuki-chan must still be going after him.
context: I may not know you guys perfectly, but I know that much.\I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you?\That's not what I mean.\But it's different when we're talking relationships.\I don't know anything about him.\We need to be more selective when it comes to men.\Itsuki-chan must still be going after him. response:	Don't worry.
context: I hope he found Itsuki-chan.\Does Futaro-kun seem like such a bad person to you?\That's not what I mean.\But it's different when we're talking relationships.\I don't know anything about him.\We need to be more selective when it comes to men.\Itsuki-chan must still be going after him.\Don't worry. response:	Futaro-kun isn't like Dad.
context: Does Futaro-kun seem like such a bad person to you?\That's not what I mean.\But it's different when we're talking relationships.\I don't know anything about him.\We need to be more selective when it comes to men.\Itsuki-chan must still be going after him.\Don't worry.\Futaro-kun isn't like Dad. response:	I'm sorry.
context: That's not what I mean.\But it's different when we're talking relationships.\I don't know anything about him.\We need to be more selective when it comes to men.\Itsuki-chan must still be going after him.\Don't worry.\Futaro-kun isn't like Dad.\I'm sorry. response:	I wanted to be sure.
context: But it's different when we're talking relationships.\I don't know anything about him.\We need to be more selective when it comes to men.\Itsuki-chan must still be going after him.\Don't worry.\Futaro-kun isn't like Dad.\I'm sorry.\I wanted to be sure. response:	You're so awkward.
context: I don't know anything about him.\We need to be more selective when it comes to men.\Itsuki-chan must still be going after him.\Don't worry.\Futaro-kun isn't like Dad.\I'm sorry.\I wanted to be sure.\You're so awkward. response:	You never follow through all the way.
context: We need to be more selective when it comes to men.\Itsuki-chan must still be going after him.\Don't worry.\Futaro-kun isn't like Dad.\I'm sorry.\I wanted to be sure.\You're so awkward.\You never follow through all the way. response:	U-Um...
context: Itsuki-chan must still be going after him.\Don't worry.\Futaro-kun isn't like Dad.\I'm sorry.\I wanted to be sure.\You're so awkward.\You never follow through all the way.\U-Um... response:	Uesugi-kun?
context: Don't worry.\Futaro-kun isn't like Dad.\I'm sorry.\I wanted to be sure.\You're so awkward.\You never follow through all the way.\U-Um...\Uesugi-kun? response:	You're being too forward...
context: Futaro-kun isn't like Dad.\I'm sorry.\I wanted to be sure.\You're so awkward.\You never follow through all the way.\U-Um...\Uesugi-kun?\You're being too forward... response:	Uh...
context: I'm sorry.\I wanted to be sure.\You're so awkward.\You never follow through all the way.\U-Um...\Uesugi-kun?\You're being too forward...\Uh... response:	Uesugi-kun?
context: I wanted to be sure.\You're so awkward.\You never follow through all the way.\U-Um...\Uesugi-kun?\You're being too forward...\Uh...\Uesugi-kun? response:	Uesugi-kun!
context: You're so awkward.\You never follow through all the way.\U-Um...\Uesugi-kun?\You're being too forward...\Uh...\Uesugi-kun?\Uesugi-kun! response:	We'll be beginning the campfire soon.
context: You never follow through all the way.\U-Um...\Uesugi-kun?\You're being too forward...\Uh...\Uesugi-kun?\Uesugi-kun!\We'll be beginning the campfire soon. response:	All students, please gather at the common area.
context: U-Um...\Uesugi-kun?\You're being too forward...\Uh...\Uesugi-kun?\Uesugi-kun!\We'll be beginning the campfire soon.\All students, please gather at the common area. response:	I'm glad you brought him here.
context: Uesugi-kun?\You're being too forward...\Uh...\Uesugi-kun?\Uesugi-kun!\We'll be beginning the campfire soon.\All students, please gather at the common area.\I'm glad you brought him here. response:	We'll let Uesugi-kun get some rest here and see how he does.
context: You're being too forward...\Uh...\Uesugi-kun?\Uesugi-kun!\We'll be beginning the campfire soon.\All students, please gather at the common area.\I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does. response:	Could someone bring his stuff?
context: Uh...\Uesugi-kun?\Uesugi-kun!\We'll be beginning the campfire soon.\All students, please gather at the common area.\I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff? response:	Okay.
context: Uesugi-kun?\Uesugi-kun!\We'll be beginning the campfire soon.\All students, please gather at the common area.\I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff?\Okay. response:	Sorry, it's my fault.
context: Uesugi-kun!\We'll be beginning the campfire soon.\All students, please gather at the common area.\I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff?\Okay.\Sorry, it's my fault. response:	I'll stay with him.
context: We'll be beginning the campfire soon.\All students, please gather at the common area.\I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff?\Okay.\Sorry, it's my fault.\I'll stay with him. response:	Ichika...
context: All students, please gather at the common area.\I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff?\Okay.\Sorry, it's my fault.\I'll stay with him.\Ichika... response:	I-I'll stay behind, too.
context: I'm glad you brought him here.\We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff?\Okay.\Sorry, it's my fault.\I'll stay with him.\Ichika...\I-I'll stay behind, too. response:	What's the point of you guys being here?
context: We'll let Uesugi-kun get some rest here and see how he does.\Could someone bring his stuff?\Okay.\Sorry, it's my fault.\I'll stay with him.\Ichika...\I-I'll stay behind, too.\What's the point of you guys being here? response:	Let me be alone.
context: Could someone bring his stuff?\Okay.\Sorry, it's my fault.\I'll stay with him.\Ichika...\I-I'll stay behind, too.\What's the point of you guys being here?\Let me be alone. response:	Hey, that's pretty cold.
context: Okay.\Sorry, it's my fault.\I'll stay with him.\Ichika...\I-I'll stay behind, too.\What's the point of you guys being here?\Let me be alone.\Hey, that's pretty cold. response:	We're all worried about you.
context: Sorry, it's my fault.\I'll stay with him.\Ichika...\I-I'll stay behind, too.\What's the point of you guys being here?\Let me be alone.\Hey, that's pretty cold.\We're all worried about you. response:	So there you have it.
context: I'll stay with him.\Ichika...\I-I'll stay behind, too.\What's the point of you guys being here?\Let me be alone.\Hey, that's pretty cold.\We're all worried about you.\So there you have it. response:	Go on ahead.
context: Ichika...\I-I'll stay behind, too.\What's the point of you guys being here?\Let me be alone.\Hey, that's pretty cold.\We're all worried about you.\So there you have it.\Go on ahead. response:	But...
context: I-I'll stay behind, too.\What's the point of you guys being here?\Let me be alone.\Hey, that's pretty cold.\We're all worried about you.\So there you have it.\Go on ahead.\But... response:	From now on, this room is out of bounds.
context: What's the point of you guys being here?\Let me be alone.\Hey, that's pretty cold.\We're all worried about you.\So there you have it.\Go on ahead.\But...\From now on, this room is out of bounds. response:	Now, get in.
context: Let me be alone.\Hey, that's pretty cold.\We're all worried about you.\So there you have it.\Go on ahead.\But...\From now on, this room is out of bounds.\Now, get in. response:	Nino...
context: Hey, that's pretty cold.\We're all worried about you.\So there you have it.\Go on ahead.\But...\From now on, this room is out of bounds.\Now, get in.\Nino... response:	Can I talk to you for a second?
context: We're all worried about you.\So there you have it.\Go on ahead.\But...\From now on, this room is out of bounds.\Now, get in.\Nino...\Can I talk to you for a second? response:	Futaro...
context: So there you have it.\Go on ahead.\But...\From now on, this room is out of bounds.\Now, get in.\Nino...\Can I talk to you for a second?\Futaro... response:	He actually brought himself to come to camp school.
context: Go on ahead.\But...\From now on, this room is out of bounds.\Now, get in.\Nino...\Can I talk to you for a second?\Futaro...\He actually brought himself to come to camp school. response:	Should we really let it end so miserably for him?
context: But...\From now on, this room is out of bounds.\Now, get in.\Nino...\Can I talk to you for a second?\Futaro...\He actually brought himself to come to camp school.\Should we really let it end so miserably for him? response:	What's your plan for the last dance?
context: From now on, this room is out of bounds.\Now, get in.\Nino...\Can I talk to you for a second?\Futaro...\He actually brought himself to come to camp school.\Should we really let it end so miserably for him?\What's your plan for the last dance? response:	I don't know...
context: Now, get in.\Nino...\Can I talk to you for a second?\Futaro...\He actually brought himself to come to camp school.\Should we really let it end so miserably for him?\What's your plan for the last dance?\I don't know... response:	I think I might ask her now.
context: Nino...\Can I talk to you for a second?\Futaro...\He actually brought himself to come to camp school.\Should we really let it end so miserably for him?\What's your plan for the last dance?\I don't know...\I think I might ask her now. response:	I wonder if she already has someone.
context: Can I talk to you for a second?\Futaro...\He actually brought himself to come to camp school.\Should we really let it end so miserably for him?\What's your plan for the last dance?\I don't know...\I think I might ask her now.\I wonder if she already has someone. response:	So I'm wondering if you'd like to dance with me.
context: Futaro...\He actually brought himself to come to camp school.\Should we really let it end so miserably for him?\What's your plan for the last dance?\I don't know...\I think I might ask her now.\I wonder if she already has someone.\So I'm wondering if you'd like to dance with me. response:	How stupid.
context: He actually brought himself to come to camp school.\Should we really let it end so miserably for him?\What's your plan for the last dance?\I don't know...\I think I might ask her now.\I wonder if she already has someone.\So I'm wondering if you'd like to dance with me.\How stupid. response:	Huh? What's wrong, Nino?
context: Should we really let it end so miserably for him?\What's your plan for the last dance?\I don't know...\I think I might ask her now.\I wonder if she already has someone.\So I'm wondering if you'd like to dance with me.\How stupid.\Huh? What's wrong, Nino? response:	You were all hyped up about dancing with your soulmate.
context: What's your plan for the last dance?\I don't know...\I think I might ask her now.\I wonder if she already has someone.\So I'm wondering if you'd like to dance with me.\How stupid.\Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate. response:	I got rejected.
context: I don't know...\I think I might ask her now.\I wonder if she already has someone.\So I'm wondering if you'd like to dance with me.\How stupid.\Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate.\I got rejected. response:	He said something came up that he has to attend to.
context: I think I might ask her now.\I wonder if she already has someone.\So I'm wondering if you'd like to dance with me.\How stupid.\Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate.\I got rejected.\He said something came up that he has to attend to. response:	I ran into him on the slopes, and he asked me to tell you.
context: I wonder if she already has someone.\So I'm wondering if you'd like to dance with me.\How stupid.\Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate.\I got rejected.\He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you. response:	So it was him.
context: So I'm wondering if you'd like to dance with me.\How stupid.\Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate.\I got rejected.\He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you.\So it was him. response:	I wonder if he hates me.
context: How stupid.\Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate.\I got rejected.\He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you.\So it was him.\I wonder if he hates me. response:	No, well...
context: Huh? What's wrong, Nino?\You were all hyped up about dancing with your soulmate.\I got rejected.\He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you.\So it was him.\I wonder if he hates me.\No, well... response:	Well, I guess I'll wait, anyway.
context: You were all hyped up about dancing with your soulmate.\I got rejected.\He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you.\So it was him.\I wonder if he hates me.\No, well...\Well, I guess I'll wait, anyway. response:	Hey, Nino, that was...
context: I got rejected.\He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you.\So it was him.\I wonder if he hates me.\No, well...\Well, I guess I'll wait, anyway.\Hey, Nino, that was... response:	Uesugi!
context: He said something came up that he has to attend to.\I ran into him on the slopes, and he asked me to tell you.\So it was him.\I wonder if he hates me.\No, well...\Well, I guess I'll wait, anyway.\Hey, Nino, that was...\Uesugi! response:	What are you doing?
context: I ran into him on the slopes, and he asked me to tell you.\So it was him.\I wonder if he hates me.\No, well...\Well, I guess I'll wait, anyway.\Hey, Nino, that was...\Uesugi!\What are you doing? response:	Get some rest.
context: So it was him.\I wonder if he hates me.\No, well...\Well, I guess I'll wait, anyway.\Hey, Nino, that was...\Uesugi!\What are you doing?\Get some rest. response:	Sorry.
context: I wonder if he hates me.\No, well...\Well, I guess I'll wait, anyway.\Hey, Nino, that was...\Uesugi!\What are you doing?\Get some rest.\Sorry. response:	Cheer up.
context: No, well...\Well, I guess I'll wait, anyway.\Hey, Nino, that was...\Uesugi!\What are you doing?\Get some rest.\Sorry.\Cheer up. response:	Says the guy who's the most beat up.
context: Well, I guess I'll wait, anyway.\Hey, Nino, that was...\Uesugi!\What are you doing?\Get some rest.\Sorry.\Cheer up.\Says the guy who's the most beat up. response:	You need to worry about yourself for once.
context: Hey, Nino, that was...\Uesugi!\What are you doing?\Get some rest.\Sorry.\Cheer up.\Says the guy who's the most beat up.\You need to worry about yourself for once. response:	I can trust you, right?
context: Uesugi!\What are you doing?\Get some rest.\Sorry.\Cheer up.\Says the guy who's the most beat up.\You need to worry about yourself for once.\I can trust you, right? response:	Yeah.
context: What are you doing?\Get some rest.\Sorry.\Cheer up.\Says the guy who's the most beat up.\You need to worry about yourself for once.\I can trust you, right?\Yeah. response:	Lame.
context: Get some rest.\Sorry.\Cheer up.\Says the guy who's the most beat up.\You need to worry about yourself for once.\I can trust you, right?\Yeah.\Lame. response:	Seriously?
context: Sorry.\Cheer up.\Says the guy who's the most beat up.\You need to worry about yourself for once.\I can trust you, right?\Yeah.\Lame.\Seriously? response:	Huh? Nino?
context: Cheer up.\Says the guy who's the most beat up.\You need to worry about yourself for once.\I can trust you, right?\Yeah.\Lame.\Seriously?\Huh? Nino? response:	I'm going to the washroom.
context: Says the guy who's the most beat up.\You need to worry about yourself for once.\I can trust you, right?\Yeah.\Lame.\Seriously?\Huh? Nino?\I'm going to the washroom. response:	You should hurry. It's about to start.
context: You need to worry about yourself for once.\I can trust you, right?\Yeah.\Lame.\Seriously?\Huh? Nino?\I'm going to the washroom.\You should hurry. It's about to start. response:	I wouldn't mind dancing with you if you don't have anyone.
context: I can trust you, right?\Yeah.\Lame.\Seriously?\Huh? Nino?\I'm going to the washroom.\You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone. response:	S-Sure.
context: Yeah.\Lame.\Seriously?\Huh? Nino?\I'm going to the washroom.\You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone.\S-Sure. response:	For you.
context: Lame.\Seriously?\Huh? Nino?\I'm going to the washroom.\You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone.\S-Sure.\For you. response:	It's important to stay hydrated when you have a cold.
context: Seriously?\Huh? Nino?\I'm going to the washroom.\You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone.\S-Sure.\For you.\It's important to stay hydrated when you have a cold. response:	Th-Thanks.
context: Huh? Nino?\I'm going to the washroom.\You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone.\S-Sure.\For you.\It's important to stay hydrated when you have a cold.\Th-Thanks. response:	Wow, matcha soda comes in hot, too?
context: I'm going to the washroom.\You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone.\S-Sure.\For you.\It's important to stay hydrated when you have a cold.\Th-Thanks.\Wow, matcha soda comes in hot, too? response:	Your fever's gone.
context: You should hurry. It's about to start.\I wouldn't mind dancing with you if you don't have anyone.\S-Sure.\For you.\It's important to stay hydrated when you have a cold.\Th-Thanks.\Wow, matcha soda comes in hot, too?\Your fever's gone. response:	I wonder if I gave him my cold.
context: I wouldn't mind dancing with you if you don't have anyone.\S-Sure.\For you.\It's important to stay hydrated when you have a cold.\Th-Thanks.\Wow, matcha soda comes in hot, too?\Your fever's gone.\I wonder if I gave him my cold. response:	Futaro was weird from the beginning.
context: S-Sure.\For you.\It's important to stay hydrated when you have a cold.\Th-Thanks.\Wow, matcha soda comes in hot, too?\Your fever's gone.\I wonder if I gave him my cold.\Futaro was weird from the beginning. response:	Looking back now, I think he was sick the whole time.
context: For you.\It's important to stay hydrated when you have a cold.\Th-Thanks.\Wow, matcha soda comes in hot, too?\Your fever's gone.\I wonder if I gave him my cold.\Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time. response:	I wish I'd paid more attention.
context: It's important to stay hydrated when you have a cold.\Th-Thanks.\Wow, matcha soda comes in hot, too?\Your fever's gone.\I wonder if I gave him my cold.\Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time.\I wish I'd paid more attention. response:	I was just too busy with my own problems.
context: Th-Thanks.\Wow, matcha soda comes in hot, too?\Your fever's gone.\I wonder if I gave him my cold.\Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time.\I wish I'd paid more attention.\I was just too busy with my own problems. response:	Sorry.
context: Wow, matcha soda comes in hot, too?\Your fever's gone.\I wonder if I gave him my cold.\Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time.\I wish I'd paid more attention.\I was just too busy with my own problems.\Sorry. response:	I should have turned down the dance.
context: Your fever's gone.\I wonder if I gave him my cold.\Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time.\I wish I'd paid more attention.\I was just too busy with my own problems.\Sorry.\I should have turned down the dance. response:	I wish I'd noticed sooner.
context: I wonder if I gave him my cold.\Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time.\I wish I'd paid more attention.\I was just too busy with my own problems.\Sorry.\I should have turned down the dance.\I wish I'd noticed sooner. response:	About the legend...
context: Futaro was weird from the beginning.\Looking back now, I think he was sick the whole time.\I wish I'd paid more attention.\I was just too busy with my own problems.\Sorry.\I should have turned down the dance.\I wish I'd noticed sooner.\About the legend... response:	About your feelings...
context: Looking back now, I think he was sick the whole time.\I wish I'd paid more attention.\I was just too busy with my own problems.\Sorry.\I should have turned down the dance.\I wish I'd noticed sooner.\About the legend...\About your feelings... response:	And my own feelings...
context: I wish I'd paid more attention.\I was just too busy with my own problems.\Sorry.\I should have turned down the dance.\I wish I'd noticed sooner.\About the legend...\About your feelings...\And my own feelings... response:	Miku?
context: I was just too busy with my own problems.\Sorry.\I should have turned down the dance.\I wish I'd noticed sooner.\About the legend...\About your feelings...\And my own feelings...\Miku? response:	It's been bothering me the whole time.
context: Sorry.\I should have turned down the dance.\I wish I'd noticed sooner.\About the legend...\About your feelings...\And my own feelings...\Miku?\It's been bothering me the whole time. response:	About how you and Nino and the others get along with Futaro.
context: I should have turned down the dance.\I wish I'd noticed sooner.\About the legend...\About your feelings...\And my own feelings...\Miku?\It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro. response:	I didn't think it would be fair for me to be special.
context: I wish I'd noticed sooner.\About the legend...\About your feelings...\And my own feelings...\Miku?\It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special. response:	That's not true.
context: About the legend...\About your feelings...\And my own feelings...\Miku?\It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special.\That's not true. response:	But I'm done with that.
context: About your feelings...\And my own feelings...\Miku?\It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special.\That's not true.\But I'm done with that. response:	I want him all for myself.
context: And my own feelings...\Miku?\It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special.\That's not true.\But I'm done with that.\I want him all for myself. response:	I can't lie to myself about feeling that way.
context: Miku?\It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special.\That's not true.\But I'm done with that.\I want him all for myself.\I can't lie to myself about feeling that way. response:	But that's not for now.
context: It's been bothering me the whole time.\About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special.\That's not true.\But I'm done with that.\I want him all for myself.\I can't lie to myself about feeling that way.\But that's not for now. response:	I like Futaro.
context: About how you and Nino and the others get along with Futaro.\I didn't think it would be fair for me to be special.\That's not true.\But I'm done with that.\I want him all for myself.\I can't lie to myself about feeling that way.\But that's not for now.\I like Futaro. response:	So I'm going to do as I wish.
context: I didn't think it would be fair for me to be special.\That's not true.\But I'm done with that.\I want him all for myself.\I can't lie to myself about feeling that way.\But that's not for now.\I like Futaro.\So I'm going to do as I wish. response:	But you and the others can do as you wish, too.
context: That's not true.\But I'm done with that.\I want him all for myself.\I can't lie to myself about feeling that way.\But that's not for now.\I like Futaro.\So I'm going to do as I wish.\But you and the others can do as you wish, too. response:	I'm going to win.
context: But I'm done with that.\I want him all for myself.\I can't lie to myself about feeling that way.\But that's not for now.\I like Futaro.\So I'm going to do as I wish.\But you and the others can do as you wish, too.\I'm going to win. response:	It's exquisitely gross.
context: I want him all for myself.\I can't lie to myself about feeling that way.\But that's not for now.\I like Futaro.\So I'm going to do as I wish.\But you and the others can do as you wish, too.\I'm going to win.\It's exquisitely gross. response:	Is it?
context: I can't lie to myself about feeling that way.\But that's not for now.\I like Futaro.\So I'm going to do as I wish.\But you and the others can do as you wish, too.\I'm going to win.\It's exquisitely gross.\Is it? response:	But it works great.
context: But that's not for now.\I like Futaro.\So I'm going to do as I wish.\But you and the others can do as you wish, too.\I'm going to win.\It's exquisitely gross.\Is it?\But it works great. response:	Thanks.
context: I like Futaro.\So I'm going to do as I wish.\But you and the others can do as you wish, too.\I'm going to win.\It's exquisitely gross.\Is it?\But it works great.\Thanks. response:	Let's get going.
context: So I'm going to do as I wish.\But you and the others can do as you wish, too.\I'm going to win.\It's exquisitely gross.\Is it?\But it works great.\Thanks.\Let's get going. response:	Yeah.
context: But you and the others can do as you wish, too.\I'm going to win.\It's exquisitely gross.\Is it?\But it works great.\Thanks.\Let's get going.\Yeah. response:	If I hadn't pretended to be Ichika...
context: I'm going to win.\It's exquisitely gross.\Is it?\But it works great.\Thanks.\Let's get going.\Yeah.\If I hadn't pretended to be Ichika... response:	Yotsuba.
context: It's exquisitely gross.\Is it?\But it works great.\Thanks.\Let's get going.\Yeah.\If I hadn't pretended to be Ichika...\Yotsuba. response:	Have you gotten Uesugi-kun's stuff yet?
context: Is it?\But it works great.\Thanks.\Let's get going.\Yeah.\If I hadn't pretended to be Ichika...\Yotsuba.\Have you gotten Uesugi-kun's stuff yet? response:	Yotsuba?
context: But it works great.\Thanks.\Let's get going.\Yeah.\If I hadn't pretended to be Ichika...\Yotsuba.\Have you gotten Uesugi-kun's stuff yet?\Yotsuba? response:	These are Uesugi-san's bookmarks.
context: Thanks.\Let's get going.\Yeah.\If I hadn't pretended to be Ichika...\Yotsuba.\Have you gotten Uesugi-kun's stuff yet?\Yotsuba?\These are Uesugi-san's bookmarks. response:	There are so many tabs and memos.
context: Let's get going.\Yeah.\If I hadn't pretended to be Ichika...\Yotsuba.\Have you gotten Uesugi-kun's stuff yet?\Yotsuba?\These are Uesugi-san's bookmarks.\There are so many tabs and memos. response:	School Camp
context: Yeah.\If I hadn't pretended to be Ichika...\Yotsuba.\Have you gotten Uesugi-kun's stuff yet?\Yotsuba?\These are Uesugi-san's bookmarks.\There are so many tabs and memos.\School Camp response:	He was really looking forward to this trip.
context: If I hadn't pretended to be Ichika...\Yotsuba.\Have you gotten Uesugi-kun's stuff yet?\Yotsuba?\These are Uesugi-san's bookmarks.\There are so many tabs and memos.\School Camp\He was really looking forward to this trip. response:	I dragged him around when he was sick and ruined it for him.
context: Yotsuba.\Have you gotten Uesugi-kun's stuff yet?\Yotsuba?\These are Uesugi-san's bookmarks.\There are so many tabs and memos.\School Camp\He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him. response:	I shouldn't have done that.
context: Have you gotten Uesugi-kun's stuff yet?\Yotsuba?\These are Uesugi-san's bookmarks.\There are so many tabs and memos.\School Camp\He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him.\I shouldn't have done that. response:	In the end, we have no way of knowing what he felt
context: Yotsuba?\These are Uesugi-san's bookmarks.\There are so many tabs and memos.\School Camp\He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him.\I shouldn't have done that.\In the end, we have no way of knowing what he felt response:	or what he's thinking.
context: These are Uesugi-san's bookmarks.\There are so many tabs and memos.\School Camp\He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him.\I shouldn't have done that.\In the end, we have no way of knowing what he felt\or what he's thinking. response:	Not unless we ask him.
context: There are so many tabs and memos.\School Camp\He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him.\I shouldn't have done that.\In the end, we have no way of knowing what he felt\or what he's thinking.\Not unless we ask him. response:	But I'm sure it wasn't in vain.
context: School Camp\He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him.\I shouldn't have done that.\In the end, we have no way of knowing what he felt\or what he's thinking.\Not unless we ask him.\But I'm sure it wasn't in vain. response:	Quintuplet games in the car.
context: He was really looking forward to this trip.\I dragged him around when he was sick and ruined it for him.\I shouldn't have done that.\In the end, we have no way of knowing what he felt\or what he's thinking.\Not unless we ask him.\But I'm sure it wasn't in vain.\Quintuplet games in the car. response:	The test of courage prep that Yotsuba helped with.
context: I dragged him around when he was sick and ruined it for him.\I shouldn't have done that.\In the end, we have no way of knowing what he felt\or what he's thinking.\Not unless we ask him.\But I'm sure it wasn't in vain.\Quintuplet games in the car.\The test of courage prep that Yotsuba helped with. response:	Maybe: skiing on the third day. (Yotsuba is supposed to teach me)
context: I shouldn't have done that.\In the end, we have no way of knowing what he felt\or what he's thinking.\Not unless we ask him.\But I'm sure it wasn't in vain.\Quintuplet games in the car.\The test of courage prep that Yotsuba helped with.\Maybe: skiing on the third day. (Yotsuba is supposed to teach me) response:	Surprising stories...
context: In the end, we have no way of knowing what he felt\or what he's thinking.\Not unless we ask him.\But I'm sure it wasn't in vain.\Quintuplet games in the car.\The test of courage prep that Yotsuba helped with.\Maybe: skiing on the third day. (Yotsuba is supposed to teach me)\Surprising stories... response:	Do you think this is true?
context: or what he's thinking.\Not unless we ask him.\But I'm sure it wasn't in vain.\Quintuplet games in the car.\The test of courage prep that Yotsuba helped with.\Maybe: skiing on the third day. (Yotsuba is supposed to teach me)\Surprising stories...\Do you think this is true? response:	Miku said it was a miserable ending, but I wonder if he had fun.
context: Not unless we ask him.\But I'm sure it wasn't in vain.\Quintuplet games in the car.\The test of courage prep that Yotsuba helped with.\Maybe: skiing on the third day. (Yotsuba is supposed to teach me)\Surprising stories...\Do you think this is true?\Miku said it was a miserable ending, but I wonder if he had fun. response:	Who knows?
